
[00:00:00.000 --> 00:00:25.680]   building agents with Amazon Nova Act and MCP I'm excited today because we're going to build
[00:06:04.860 --> 00:06:24.860]   build and manage agents inside AWS and today what we're going to be focused on is the DIY to do-it-yourself approach by using strands agents this is allows you to not just leverage Amazon bedrock but also leverage models through other providers using light LLM
[00:06:24.860 --> 00:06:34.860]   now when we talk about strands agents strands agent was announced about a month ago I want to say something about a month ago this is open source extremely lightweight
[00:06:34.860 --> 00:06:52.860]   so if you use other agents flat frameworks is like that but the implementation is you'll see in the code how easy it is to build an agentic system or agent itself in a few lines of code and already get started I built a multi-agent solution in about under 50 lines of code
[00:06:52.860 --> 00:07:14.860]   and so when we break down strands agents there are three components we have a prompt we have a LLM and we have tools so you create a function called let's say a get weather tool right you define your agent you give it a prompt and it's already implemented and you'll see in the code as
[00:07:14.860 --> 00:07:24.860]   as banjo goes through here in a moment now taking it a step further as danielle presented today on amazon nova act
[00:07:24.860 --> 00:07:42.860]   these models are able to do some really cool things and this is another thing that i'm excited about amazon nova act is a research preview model and the capabilities of this allows you to use a prompt or give instructions and take complex tasks and do the
[00:07:42.860 --> 00:07:52.860]   and take complex tasks and do things like browse the internet to find research or to research or to search on amazon.com to find the top list of widgets
[00:07:52.860 --> 00:08:10.860]   right and then return them and then add them to your card so you'll see how we can leverage this not just using the sdk for amazon nova act but also by leveraging mcp which leads us into the last piece which i think when we're talking about agents i
[00:08:10.860 --> 00:08:17.900]   i don't think we will be here today as fast as we have moved if it wasn't for mcp how many of you are
[00:08:17.900 --> 00:08:23.580]   leveraging mcp today model context protocol how many of you have built your own mcp servers
[00:08:23.580 --> 00:08:31.980]   i built several um i got two that i use all the time one how many of you use obsidian
[00:08:33.580 --> 00:08:41.500]   okay so for my documentation i built obsidian mcp server this allows me to save all my documents
[00:08:41.500 --> 00:08:48.780]   reference all my documents and just my entire workflow is streamlined because of this mcp server i use right
[00:08:48.780 --> 00:08:54.620]   there but i also use one for my bookmarks i built a bookmark manager because every friday i'm restarting my
[00:08:54.620 --> 00:08:59.500]   i'm restarting my computer and i lose my bookmarks i save them and i forget about them but now i can just
[00:08:59.500 --> 00:09:04.380]   say save this bookmark it gives it a description gives it a title give it a date and i can even add
[00:09:04.380 --> 00:09:10.140]   notes so i can remember where this bookmark so now when i open up qcli i can say hey i'm looking on the
[00:09:10.140 --> 00:09:15.260]   topic i'm looking for um some information on mcp can you tell me all the bookmarks that i have then it'll
[00:09:15.260 --> 00:09:20.780]   find it can you tell me the ones i saved last week and so these this is the power that we have today but
[00:09:20.780 --> 00:09:27.500]   but with that being said i think it's time that we all start building banjo is going to take over but
[00:09:27.500 --> 00:09:34.060]   if you you open your laptops and log on to this link this is going to take you to a workshop environment
[00:09:34.060 --> 00:09:39.740]   where you have access to an amazon account where banjo is going to walk you through building out
[00:09:39.740 --> 00:09:46.540]   today's workshop i thank you for your time cool all right so uh this is going to be a hands-on workshop so
[00:09:46.540 --> 00:09:51.180]   we've provisioned an aws account for everybody here so you don't have to install anything on your
[00:09:51.180 --> 00:09:56.220]   computer everything's going to be done through the browser and i always say the hardest part of the
[00:09:56.220 --> 00:10:00.220]   workshop is just getting started so some of my colleagues are also here so raise your hand aws
[00:10:00.220 --> 00:10:05.340]   folks that are here to support so we're going to take some time to just get logged into an environment
[00:10:05.340 --> 00:10:11.340]   we're going to set up a vs code server enable models get the nova act api key so again this is the
[00:10:11.340 --> 00:10:15.980]   hardest part of the workshop that's getting started so let's take some time to just get into the environment
[00:10:16.620 --> 00:10:23.020]   and i'll follow along as well so and this is uh again everything is you don't have to install
[00:10:23.020 --> 00:10:26.380]   anything on your computer you don't have to use your own aws account everything is provisioned for
[00:10:26.380 --> 00:10:30.540]   you so but while that's loading i'm going to briefly walk through the three modules of the workshop
[00:10:30.540 --> 00:10:36.140]   so the workshop is really about how you can use nova act so the first module is just getting started
[00:10:36.140 --> 00:10:41.420]   with nova act we're going to make an api call that the second part of the module is going to make an mcp
[00:10:41.420 --> 00:10:45.900]   server that can leverage an nova act and finally we're going to use the strands agent to cook
[00:10:45.900 --> 00:10:50.380]   everything together so that's kind of the the three steps we'll go through at this workshop and all the
[00:10:50.380 --> 00:10:56.940]   code is available via the link on github so you can try it on your own as well uh but yeah trying to get
[00:10:56.940 --> 00:11:01.740]   started here if you can't follow along i'm going to be doing up here so don't worry too much and again
[00:11:01.740 --> 00:11:09.820]   all the code is available so you can try it out line offline okay so the first things first uh if you're
[00:11:09.820 --> 00:11:15.180]   following along make sure to click this open aws console button again we provision the aws account
[00:11:15.180 --> 00:11:20.460]   you know don't log into your own aws account don't try to create a new one everything is uh pre-visioned
[00:11:20.460 --> 00:11:28.220]   here already so i'm gonna click clicking that button to open up your aws account so logged into my aws account
[00:11:34.940 --> 00:11:39.740]   so the first thing we do in the aws account we're gonna enable uh amazon bedrock models so
[00:11:39.740 --> 00:11:45.340]   amazon bedrock think of as a serverless api to access different foundation models and you can build lots
[00:11:45.340 --> 00:11:51.580]   of agenda for applications in it so it has capabilities like knowledge bases guardrails you can build agents
[00:11:51.580 --> 00:11:57.740]   on top of it for anything you need to build uh ai agents or agenda applications amazon bedrock has
[00:11:57.740 --> 00:12:04.860]   capabilities for that but for this workshop we're just gonna enable specific models so gonna enable
[00:12:04.860 --> 00:12:13.020]   specific models you can click the amazon models and then we'll use the cloud 37 3.5 iq and 3.5 sonnet
[00:12:13.020 --> 00:12:15.580]   so those are the ones we're going to use for this workshop
[00:12:17.820 --> 00:12:21.020]   and that's going to request access there
[00:12:21.020 --> 00:12:31.820]   and again all the instructions are also in this workshop as well so we could follow along but i'm
[00:12:31.820 --> 00:12:37.500]   just going to go through it just for sake of time and then the next part once we get the model access
[00:12:37.500 --> 00:12:41.660]   there's a vs code server that has everything set up already so i'm just going to go in there
[00:12:47.100 --> 00:13:04.220]   and if the url and password is there you can log into your vs code server with everything installed
[00:13:04.220 --> 00:13:11.980]   i'm also going to log into amazon queue so amazon queues are id extension to help you write code
[00:13:14.860 --> 00:13:19.740]   we have time you can sign up through a builder id completely free you don't need uh aw's account
[00:13:19.740 --> 00:13:24.220]   you don't need to put in your credit card you can just log in through there i already have an account
[00:13:24.220 --> 00:13:31.980]   so just feed it up but it puts a nice little ai agent there you can ask questions update code etc so
[00:13:31.980 --> 00:13:36.300]   it's uh i'll show you some examples i'll just go through some of the code so
[00:13:36.300 --> 00:13:44.300]   so who's gotten to this point setting up all the models workshops because this is once you get all this
[00:13:44.300 --> 00:13:49.340]   done then that's when the real fun begins so that's getting a pulse if i need to slow down or
[00:13:49.340 --> 00:13:54.860]   slow down a bit okay i'll wait a bit again raise your hand if you're stuck anywhere questions
[00:13:54.860 --> 00:13:59.740]   we have uh agents that can come around and support you so i'm going to pause for a little bit
[00:13:59.740 --> 00:14:06.140]   any general questions while we're waiting
[00:14:09.660 --> 00:14:15.180]   oh yeah so this workshop uh again all the code is available online uh this workshop available as
[00:14:15.180 --> 00:14:20.620]   well so you can also look through that there's a website called workshops.aws
[00:14:22.860 --> 00:14:29.420]   and when you go there you can do something like uh nova act and then it's the only work that that shows
[00:14:29.420 --> 00:14:35.180]   up so you can always go to workshop.aws that search nova act and this workshop was so up so you can see
[00:14:35.180 --> 00:14:41.740]   see all the instructions all the code and run this uh on your own
[00:14:41.740 --> 00:14:52.300]   okay
[00:14:52.300 --> 00:15:00.460]   okay and then last thing uh because we're going to use nova act we actually need to get a nova act api
[00:15:00.460 --> 00:15:07.900]   key so if you go to nova amazon.com it this is a website that you can use the amazon nova model so
[00:15:07.900 --> 00:15:14.140]   you can do like chatting generating images uh speaking with nova uh generate videos but then also
[00:15:14.140 --> 00:15:20.700]   this is where the act api key is generated so if you're following along and you want to generate your
[00:15:20.700 --> 00:15:26.620]   key again it's free to log in you can use your amazon.com uh like when you order something on
[00:15:26.620 --> 00:15:31.740]   amazon.com account to log into this and then you can just generate a key here and they'll be able to
[00:15:31.740 --> 00:15:34.700]   access that
[00:15:49.420 --> 00:15:56.380]   oops oops okay so i'm going to walk through what module one is uh before again has anybody got
[00:15:56.380 --> 00:16:01.580]   in here just quick pulse check if not you know i'll continue i know the wi-fi is slow so it might be
[00:16:01.580 --> 00:16:08.700]   hard so i'll just continue on uh but yeah the first one we're going to see how nova act works uh how
[00:16:08.700 --> 00:16:14.780]   how the actual code looks like uh generated the key i need to export the key and then kind of running
[00:16:14.780 --> 00:16:18.140]   the first script which is actually going to open amazon.com
[00:16:18.140 --> 00:16:24.460]   uh and we're actually going to look for the first coffee maker so let me see how that code looks like
[00:16:24.460 --> 00:16:27.900]   let's go here make this bigger
[00:16:27.900 --> 00:16:43.980]   so very simple code uh with nova act it's again it's all in python sdk i so i decide what a page to go to
[00:16:43.980 --> 00:16:50.300]   so go to amazon.com i say i want you to search for a coffee maker i say select the first result and i say
[00:16:50.300 --> 00:16:55.740]   get the title of that product page so uh very simple if you've ever done kind of web automation before
[00:16:55.740 --> 00:17:00.380]   of something like uh selenium or playwright you probably have to like look for this diff tag you
[00:17:00.380 --> 00:17:06.060]   know look at this h1 tag grab this information a lot of manual processes of actually inspecting
[00:17:06.060 --> 00:17:10.940]   the actual website here i'm just saying click the search bar find something like i don't have to
[00:17:10.940 --> 00:17:16.300]   specify click this tag do that so it makes it much more easier to engage with the website as a natural
[00:17:16.300 --> 00:17:21.340]   human would instead of like looking through divs and trying to find this p tag specifically so
[00:17:21.900 --> 00:17:29.260]   uh this is a great way to just uh you know use nova act right out of the box so i'm going to uh run this
[00:17:29.260 --> 00:17:31.500]   so you can see
[00:17:31.500 --> 00:17:47.500]   examples all right all right so added my key going to what happens when i run this file
[00:17:47.500 --> 00:18:00.300]   give it a second
[00:18:00.300 --> 00:18:06.940]   oops we failed all right let's start over
[00:18:06.940 --> 00:18:10.060]   put it down three let's write one
[00:18:16.060 --> 00:18:21.100]   ah okay i know
[00:18:21.100 --> 00:18:25.980]   i gotta run it with this let's start that over
[00:18:25.980 --> 00:18:36.700]   yeah question
[00:18:36.700 --> 00:18:45.100]   so just explain why is banjo running that command it's running fxv fb it's a frame buffer where it runs your
[00:18:45.100 --> 00:18:47.660]   x11 system what happens there
[00:18:47.660 --> 00:18:52.780]   nova act actually goes and clicks a mouse on a browser that's why it needs to be run like that
[00:18:52.780 --> 00:18:58.540]   otherwise it has no gui so this is just kind of a way to emulate a graphical user interface on this
[00:18:58.540 --> 00:19:04.060]   linux box thank you daco yeah since we're running everything in the the cloud on a browser i'm saying
[00:19:04.060 --> 00:19:07.980]   you know open a browser again but it's already in a browser so that's why i crashed so i have to put
[00:19:07.980 --> 00:19:13.820]   that a frame buffer command uh and yeah the workshop kind of walks through why we did that but you can
[00:19:13.820 --> 00:19:19.580]   see uh what is going on when nova act says i'm going to search for a copy maker i'm at the amazon home
[00:19:19.580 --> 00:19:23.820]   page my task is to search for this so it's understanding what it's doing i see the search
[00:19:23.820 --> 00:19:30.460]   bark has copy maker i'm at the search spark here and now it actually puts the actual log of the actual
[00:19:30.460 --> 00:19:35.900]   html file so it's taking screenshots you can see what it looks like it got the first results i'm on
[00:19:35.900 --> 00:19:41.580]   the copy maker page it selected it and now i've got the title now it says you know what's the title of
[00:19:41.580 --> 00:19:51.900]   this product page all right got this black decker 12 copy maker my task to return the title of the
[00:19:51.900 --> 00:19:58.380]   product page product title it got that and it ended the session and then it also creates a a video log that
[00:19:58.380 --> 00:20:06.540]   i can actually look at to see what it did for each for everything it did in this webm file so yeah question
[00:20:06.540 --> 00:20:19.180]   yeah we'll repeat that it would be a microphone
[00:20:19.180 --> 00:20:30.140]   so the question was does it reason about the page in terms of pixels or in terms of text
[00:20:30.140 --> 00:20:36.460]   yeah so it's actually looking through the actual uh the page itself so you see in this video it sees
[00:20:36.460 --> 00:20:41.660]   it looks at the page i can see what's in the page so it's it's a large language model train so it can
[00:20:41.660 --> 00:20:47.100]   actually see the actual the page is doing so it's not looking at like like the h1 tag or whatnot and
[00:20:47.100 --> 00:20:51.900]   understand the context of that particular page you can see that's a search box okay i'm going to go
[00:20:51.900 --> 00:20:56.620]   click through that search box so yes it understands the pixel level of what's on that actual page
[00:20:56.620 --> 00:21:04.060]   so this is kind of the video it's hard to see make it bigger sped up
[00:21:06.380 --> 00:21:10.700]   so it opens the page it goes to the able to type in coffee maker there
[00:21:10.700 --> 00:21:16.860]   um it gets that information clicks the button so even if all the ads and everything the video can
[00:21:16.860 --> 00:21:21.900]   understand the task clicks that and it gets the information back so that's and that was a couple
[00:21:21.900 --> 00:21:27.420]   lines of code so you can extrapolate to other type of workflows you can do for searching through things
[00:21:27.420 --> 00:21:33.580]   sorry i have another question yeah so when you what i've experienced with these kind of frameworks is
[00:21:33.580 --> 00:21:39.740]   that when you run this on a server environment um services like cloudflare will block the access and
[00:21:39.740 --> 00:21:46.620]   maybe do a captcha challenge how do we solve that using q yeah so with uh so using amazon nova ad so it
[00:21:46.620 --> 00:21:51.020]   doesn't do captures it doesn't do that nature so it's it's meant for like workflows you understand but
[00:21:51.020 --> 00:21:55.420]   yes it's not going to bypass captures and other things of that nature as well so it's made for
[00:21:55.420 --> 00:22:00.540]   like going to amazon.com or look through a booking site but if something that like requires like a human or
[00:22:00.540 --> 00:22:02.380]   it wants again that you can't bypass that
[00:22:02.380 --> 00:22:10.860]   you you wouldn't use nova act for that use case if you need to pass a capture or something else that
[00:22:10.860 --> 00:22:15.420]   use another technology this is not meant to like overtake humans you know it's more like i'm helping
[00:22:15.420 --> 00:22:19.580]   them augment things but not if there's a capture involved and have to use a different technology for
[00:22:19.580 --> 00:22:25.900]   that it's awesome a preview it's awesome a preview yes this is a research preview as well so if that's
[00:22:25.900 --> 00:22:31.980]   a very good use case you know leave feedback on the nova the website so yeah is is human and loop
[00:22:31.980 --> 00:22:39.500]   possible at all with it yet well this this one it's no because i'm writing all the code here so but
[00:22:39.500 --> 00:22:44.220]   again this is python code so i could probably put in something here like you know ask something make
[00:22:44.220 --> 00:22:49.660]   an api call here so this is you know it's a python code you might be able to create some type of uh
[00:22:49.660 --> 00:22:55.180]   workflow that might augment like wait for a human response or whatnot because the browser is happening
[00:22:55.180 --> 00:22:59.820]   in like headless mode but could you make it work with a browser to human is also seeing at the same time
[00:22:59.820 --> 00:23:04.940]   yes yeah so it can pause and wait for somebody put in like a password credentials or do a capture
[00:23:04.940 --> 00:23:09.740]   and then once it receives that works continue on the workflow you could do yeah because right now i
[00:23:09.740 --> 00:23:14.380]   i ran it in headless mode but yes it can also run uh you know to open up the browser if i ran this on
[00:23:14.380 --> 00:23:20.220]   my macbook i would open up a chrome browser and go through that session also if you're running it and
[00:23:20.220 --> 00:23:27.180]   you wanted to bypass something that's two-factor if you're already logged into say amazon.com and then you
[00:23:27.180 --> 00:23:33.180]   run a code it's going to use your credentials in that browser session to continue on to perform that task
[00:23:33.180 --> 00:23:44.140]   so that's something that you can do as well cool so let me oops and then one other thing you can also
[00:23:44.140 --> 00:23:49.900]   do multi uh you know parallel execution so my last my next example is actually i'm trying to find
[00:23:49.900 --> 00:24:02.540]   multiple monitors and i want to compare them all at once so i'll show you how that code looks like
[00:24:02.540 --> 00:24:09.900]   so i can check for the monitor extract information i'm setting you know i want i'm defining what i
[00:24:09.900 --> 00:24:16.140]   want so again i'm you know saying i want to find the price the rating the size uh go to amazon.com
[00:24:17.260 --> 00:24:22.460]   uh i set it headless mode this time so i don't need to do the frame buffer i start multiple threads
[00:24:22.460 --> 00:24:27.340]   it looks for each monitor simultaneously because each of these are individual tasks so i can paralyze
[00:24:27.340 --> 00:24:33.260]   them instead of waiting it to go through i define the list of monitors i want to go through start the
[00:24:33.260 --> 00:24:38.700]   thread and then it starts executing and finds the results of the monitors so i can run that in the
[00:24:38.700 --> 00:24:49.500]   background it was starting with three parallel threads and it's open so again running in headless mode so
[00:24:49.500 --> 00:24:53.340]   it's going to be able to do this in the background where we can see kind of what the model is thinking
[00:24:53.340 --> 00:25:03.900]   how it navigates through the web page yep all right i have tried to use nova in the past april and uh it worked for
[00:25:03.900 --> 00:25:10.780]   the first time but once i did it again it triggered the capture is this something that has been already
[00:25:10.780 --> 00:25:16.780]   resolved or is this happening because i think the website and it was amazon in this case it was detecting
[00:25:16.780 --> 00:25:25.340]   it was a bot and uh is there like an llms.txt or robots.txt that can declare it so nova actor is a github repo
[00:25:25.340 --> 00:25:30.940]   so you could go there and just grab that but it's it's working now like i'm running it you know i just i this is
[00:25:30.940 --> 00:25:36.380]   this live code i'm doing right now like i just exported my api key started running it so
[00:25:36.380 --> 00:25:41.660]   uh you can try it in the workshop i'll be yeah i mean it's ready to go we're building right now
[00:25:41.660 --> 00:25:47.100]   and you can kind of see that it's going on in the background what it's doing
[00:25:47.100 --> 00:25:52.700]   i've looked at this monitor the dell monitor i'm at the amazon home page it's like it's going through
[00:25:52.700 --> 00:25:57.100]   looking through the search results it's saving things so you can see it's running in parallel it got the
[00:25:57.100 --> 00:26:02.620]   information for the one of the first ones so it's going as i just set that up and it can execute
[00:26:02.620 --> 00:26:07.340]   that so if you have some type of uh i don't know like daily news thing you need to go to the website
[00:26:07.340 --> 00:26:12.300]   and get news or something and i have a report nova and there's no api for that this is one way you can
[00:26:12.300 --> 00:26:15.420]   codify how to do that kind of search and get the information
[00:26:17.500 --> 00:26:22.380]   so if you have a question yeah i'm wondering so how successful is this in terms of like more
[00:26:22.380 --> 00:26:27.020]   ambiguous tasks because i i ran the amazon demo and that worked but i'm wondering could i just add google
[00:26:27.020 --> 00:26:33.580]   there sure and and and how like how big and and sort of how much does it know when it's navigating
[00:26:33.580 --> 00:26:39.820]   through like i was thinking like if i wanted to return a pair of sunglasses that broke would i would i be
[00:26:39.820 --> 00:26:45.340]   able to just say like start in google and then find this company's website find a way to you know
[00:26:45.340 --> 00:26:52.300]   engage support open a ticket like how much sort of like how vague can you be and how smart is it
[00:26:52.300 --> 00:26:56.780]   currently would that would that yeah i mean the more instruction you give obviously better but
[00:26:56.780 --> 00:27:00.620]   it's able to understand how to navigate a website that's what the model is trained on so if you say
[00:27:00.620 --> 00:27:05.180]   you know go to this sunglasses website it doesn't it probably wasn't training a specific sunglass website
[00:27:05.180 --> 00:27:10.060]   but it can understand that button support you know if this buzzes click a ticket so it understand kind
[00:27:10.060 --> 00:27:14.140]   of the general knowledge of how to navigate the website but if there's something very intricate
[00:27:14.140 --> 00:27:17.740]   about that website you're going to have to encode it in the text like make sure you click
[00:27:17.740 --> 00:27:23.500]   button x first or whatever so it understands how to navigate websites got it and does it understand
[00:27:23.500 --> 00:27:29.020]   when it's failed yeah sometimes sometimes i've seen it sometimes get stuck in a loop and like oh no
[00:27:29.020 --> 00:27:33.180]   i keep scrolling i keep scrolling i keep scrolling it doesn't know when to stop so it again this isn't
[00:27:33.180 --> 00:27:37.420]   research preview so things are getting better the model is getting updated behind the scenes but
[00:27:37.420 --> 00:27:44.540]   it's not like it's not agi so that's got it and one last question um how is it in terms of navigating
[00:27:44.540 --> 00:27:49.420]   like distrustful parts of the internet i mean there's a lot on the internet that we see and we know is not
[00:27:49.420 --> 00:27:54.620]   to be trusted or it's something not to be followed how have you sort of worked around that problem yeah
[00:27:54.620 --> 00:27:58.700]   because again it is a model in the background so it's going to understand like if you're doing something
[00:27:58.700 --> 00:28:03.820]   it's not going to want to click that or might be there's safeguards in place so that's built into
[00:28:03.820 --> 00:28:09.100]   the model but again uh it isn't research preview you still have to explicitly say what buttons to press
[00:28:09.100 --> 00:28:14.780]   for certain actions but again the model it is an lm train it's going to be able to understand the nuances
[00:28:14.780 --> 00:28:19.580]   and say if it can't take this action or can't do that that could happen but i haven't seen that use
[00:28:19.580 --> 00:28:23.580]   case but if you keep pushing it maybe you'll find those those things well the thing i had in my mind is
[00:28:23.580 --> 00:28:28.860]   like if you go to a site where you have to download a link sometimes there's an ad that says download
[00:28:28.860 --> 00:28:33.100]   a link and you know that that's just an ad trying to get your attention of course would the model know
[00:28:33.100 --> 00:28:39.020]   or is that some yeah if like for example like in the the amazon.com it shows an ad for something but
[00:28:39.020 --> 00:28:43.180]   i said find the first thing was able to scroll past that ad and click something so the model understands
[00:28:43.180 --> 00:28:51.420]   the task you give it so yes it can understand that thank you all right so this this is finished yeah
[00:28:51.420 --> 00:28:55.820]   that's really quick it showed you got it was able to find all the models give me the size the rating
[00:28:55.820 --> 00:29:01.420]   the price reach of the monitors so again it executed that on parallel it got me the nice information
[00:29:01.420 --> 00:29:05.740]   and that that's kind of the idea of like it can do parallel execution in the background so you don't
[00:29:05.740 --> 00:29:10.060]   have to wait for it and don't see it actually clicking through the the task and you get your information
[00:29:10.060 --> 00:29:18.060]   all right one more question then we'll move on to the mcp part so nova is specifically meant to be used
[00:29:18.060 --> 00:29:26.220]   with the browser correct uh so nova act so amazon nova is a family of models on amazon so if you go to
[00:29:26.220 --> 00:29:32.540]   this website nova amazon.com you see there are different foundation models like nova pro premier
[00:29:32.540 --> 00:29:38.940]   light micro these are like the text understanding models so like your typical llm calls there's also an
[00:29:38.940 --> 00:29:45.100]   image model called nova canvas can generate images that the video real called nova real where can generate
[00:29:45.100 --> 00:29:52.140]   videos and that it's also a speech model text speech to speech called nova sonic so nova is a foundation
[00:29:52.140 --> 00:29:57.820]   of found uh foundation models by amazon to do all these type of tasks and act is just another one for
[00:29:57.820 --> 00:30:04.780]   browser automation are there plans to expand this like beyond the browser so that we can someday take
[00:30:04.780 --> 00:30:13.020]   actions in slack or ide or anything outside of the browser maybe some of the team is here so maybe talk with
[00:30:13.020 --> 00:30:24.540]   them later thank you all right so i'm going to move on to the mcp part vanjo yep nova act is only available in
[00:30:24.540 --> 00:30:32.140]   u.s yes right now nova act is only available in the u.s it's in preview so it's just getting started so
[00:30:32.140 --> 00:30:37.580]   if you log in from like a different uh account like address like uk or something might not it won't work so
[00:30:37.580 --> 00:30:45.260]   it only works in the u.s at the moment yes all right one more question over there and then i'm going to
[00:30:45.260 --> 00:30:50.540]   move on if you live in three monitors um i got the same results as you did but i actually got a different
[00:30:50.540 --> 00:30:54.060]   price with the samsung odyssey why do you think that might be oh
[00:30:54.060 --> 00:31:03.580]   your amazon.com is different i don't know yeah because it is opening up a different browser so it could have
[00:31:03.580 --> 00:31:07.980]   clicked something differently yeah so yeah that's right
[00:31:07.980 --> 00:31:12.780]   we can actually look at the video premium or video playback to see what the results were like
[00:31:12.780 --> 00:31:14.140]   yeah
[00:31:14.140 --> 00:31:23.980]   one more okay one more quick quick one are there plans to support persisting browsing data such
[00:31:23.980 --> 00:31:30.060]   as cookies in the cloud browser so right now it's opening up its own browser but you can also set like
[00:31:30.060 --> 00:31:34.940]   your own like chromium profile and open up that browser so all the thing you have saved there like
[00:31:34.940 --> 00:31:39.420]   you want to log into your stuff you can set your own custom browser but right before it opens up a new
[00:31:39.420 --> 00:31:41.900]   like completely new browser without anything saved
[00:31:41.900 --> 00:31:53.660]   all right so i want to show uh i actually made an mcp server for nova act so a module tool is going through uh mcp
[00:31:53.660 --> 00:31:59.740]   and i can kind of show you what i did for the mcp server uh in fact we can use the amazon q here so i'm
[00:31:59.740 --> 00:32:11.420]   going to ask it uh can you tell me about the nova act mcp server
[00:32:14.620 --> 00:32:20.380]   can you tell me what it does what it does it does and oops
[00:32:20.380 --> 00:32:25.820]   so tell me about the nova act mcp server
[00:32:25.820 --> 00:32:34.060]   so you can see it's going through uh integrates nova act browser at mcp it has the browse session tool
[00:32:34.060 --> 00:32:40.380]   browser action execute parallel tasks take screenshots close browser list results so i created these different
[00:32:40.380 --> 00:32:46.780]   aspects of the mcp server so i could use something like claw desktop or cursor or amazon qcli to that
[00:32:46.780 --> 00:32:53.020]   say you know open amazon.com and find information for me so it's it's portable it understands uh so i
[00:32:53.020 --> 00:32:58.060]   don't have to actually write code i can say so go to amazon.com and find me the cop the first coffee maker
[00:32:58.060 --> 00:33:03.660]   it'll actually write all that code i did in the initial one to do that or the multi-monitor so i wrote a
[00:33:03.660 --> 00:33:08.460]   bunch of code to do this if i just said you know get me these three monitors to get the price it would
[00:33:08.460 --> 00:33:13.100]   actually write all the nova act code it needs to do that using the mcp server so that's kind of the
