
[00:00:00.000 --> 00:00:02.300]   conversational memory has become
[00:02:37.660 --> 00:02:38.620]   well, throughout this notebook,
[00:02:38.620 --> 00:02:41.840]   we're going to be using OpenAI's large language models.
[00:02:41.840 --> 00:02:46.840]   So we want to go ahead and actually save the OpenAI API key.
[00:02:46.840 --> 00:02:52.660]   To get that, you'll need to go over to platform.openai.com.
[00:02:52.660 --> 00:02:55.500]   You log into your account in the top right corner.
[00:02:56.340 --> 00:02:59.900]   Once you have logged in, you can click on view API keys
[00:02:59.900 --> 00:03:02.620]   and then you'll just create a new secret key
[00:03:02.620 --> 00:03:06.380]   and just copy that and then paste it
[00:03:06.380 --> 00:03:11.100]   into the little prompt that we get here in there.
[00:03:11.100 --> 00:03:14.300]   Okay, once we've done that,
[00:03:14.300 --> 00:03:17.300]   we have our OpenAI API key in there
[00:03:17.300 --> 00:03:21.020]   and what we can do is run this first step.
[00:03:21.020 --> 00:03:24.460]   So obviously recently you may have heard
[00:03:24.460 --> 00:03:28.220]   that there is a new chat GPT model that is available to us
[00:03:28.220 --> 00:03:31.020]   and we can actually just put that in here.
[00:03:31.020 --> 00:03:31.920]   And what I'll do is,
[00:03:31.920 --> 00:03:34.360]   whilst we're running through this first example,
[00:03:34.360 --> 00:03:39.180]   I will also show you the examples that we get
[00:03:39.180 --> 00:03:42.120]   when we run with a GPT 3.5 turbo.
[00:03:42.120 --> 00:03:44.020]   But for the majority of this notebook,
[00:03:44.020 --> 00:03:47.460]   we're going to be sticking with the text vintage 003 model
[00:03:47.460 --> 00:03:48.980]   just to show that, you know,
[00:03:48.980 --> 00:03:52.020]   we can use any large language model with this.
[00:03:52.020 --> 00:03:54.740]   It doesn't have to be a large language model
[00:03:54.740 --> 00:03:57.220]   like chat GPT that has been trained specifically
[00:03:57.220 --> 00:03:58.060]   as a chatbot.
[00:03:58.060 --> 00:03:59.580]   It can be any large language model.
[00:03:59.580 --> 00:04:01.980]   So later on, we're going to be using this function here,
[00:04:01.980 --> 00:04:04.420]   count tokens, don't worry about it right now,
[00:04:04.420 --> 00:04:05.260]   we'll skip that.
[00:04:05.260 --> 00:04:08.320]   First thing we want to have a look at is this,
[00:04:08.320 --> 00:04:09.740]   the conversation chain.
[00:04:09.740 --> 00:04:12.900]   So everything that we are about to talk about
[00:04:12.900 --> 00:04:15.780]   is built on top of the conversation chain.
[00:04:15.780 --> 00:04:17.380]   And the conversation chain,
[00:04:17.380 --> 00:04:19.300]   we just pass it a large language model.
[00:04:19.300 --> 00:04:22.140]   So this is going to be the text vintage 003 model
[00:04:22.140 --> 00:04:23.620]   we just created.
[00:04:23.620 --> 00:04:26.100]   And all it's going to do,
[00:04:26.100 --> 00:04:28.980]   or the core part of this conversation chain does
[00:04:28.980 --> 00:04:30.500]   is what you can see here.
[00:04:30.500 --> 00:04:32.380]   So the following is a friendly conversation
[00:04:32.380 --> 00:04:33.740]   between a human and AI.
[00:04:33.740 --> 00:04:38.020]   AI is talkative and provides lots of specific details
[00:04:38.020 --> 00:04:39.580]   from its context.
[00:04:39.580 --> 00:04:41.900]   If the AI does not know the answer to the question,
[00:04:41.900 --> 00:04:44.180]   it truthfully says it does not know, right?
[00:04:44.180 --> 00:04:48.240]   So this is a prompt that essentially primes the model
[00:04:48.240 --> 00:04:50.460]   to behave in a particular way.
[00:04:50.460 --> 00:04:53.900]   So in this case, it's going to behave
[00:04:53.900 --> 00:04:57.420]   like a friendly AI assistant.
[00:04:57.420 --> 00:05:02.420]   And it does this first by having this current conversation,
[00:05:02.420 --> 00:05:04.580]   this is the history that we're going to pass.
[00:05:04.580 --> 00:05:07.700]   So, you know, I said before, these models are stateless.
[00:05:07.700 --> 00:05:09.100]   The reason we can pass a history
[00:05:09.100 --> 00:05:12.480]   is because we're actually taking over the past interactions
[00:05:12.480 --> 00:05:15.380]   and passing them into the model
[00:05:15.380 --> 00:05:17.620]   at this current point in time.
[00:05:17.620 --> 00:05:22.020]   So in that single prompt, we will have our current input,
[00:05:22.020 --> 00:05:23.140]   our current query,
[00:05:23.140 --> 00:05:26.620]   and all of our past interactions with the chatbot.
[00:05:26.620 --> 00:05:28.220]   All right, so all of those past interactions
[00:05:28.220 --> 00:05:30.100]   get passed to history here,
[00:05:30.100 --> 00:05:33.340]   and our current query or current input
[00:05:33.340 --> 00:05:35.300]   is passed to the input.
[00:05:35.300 --> 00:05:37.180]   And then we tell the model,
[00:05:37.180 --> 00:05:41.420]   okay, now it's your time to respond with this AI part.
[00:05:41.420 --> 00:05:44.580]   And beyond that, there's not really anything special
[00:05:44.580 --> 00:05:46.220]   going on with this conversation chain.
[00:05:46.220 --> 00:05:48.820]   So we can see here in these low examples
[00:05:48.820 --> 00:05:50.520]   that Francisco pulled up,
[00:05:50.520 --> 00:05:54.260]   the actual code for the conversation chain here, right?
[00:05:54.260 --> 00:05:55.900]   So which we initialized here,
[00:05:55.900 --> 00:06:00.340]   the code that calls these is exactly the same
[00:06:00.340 --> 00:06:02.900]   as the code that calls the large language model chain.
[00:06:02.900 --> 00:06:05.520]   All right, there's not actually anything else changing
[00:06:05.520 --> 00:06:07.380]   other than this prompt here.
[00:06:07.380 --> 00:06:12.060]   Okay, so let's move on to the different memory types.
[00:06:12.060 --> 00:06:13.500]   So as I mentioned before,
[00:06:13.500 --> 00:06:15.420]   there are a few different memory types
[00:06:15.420 --> 00:06:17.380]   that we are able to use.
[00:06:17.380 --> 00:06:20.700]   Now, these different types of memory in line chain
[00:06:20.700 --> 00:06:24.860]   are essentially just going to change the history part
[00:06:24.860 --> 00:06:26.860]   of that prompt that you saw before.
[00:06:26.860 --> 00:06:30.220]   So these go in and they will essentially
[00:06:30.220 --> 00:06:32.480]   take the conversation history,
[00:06:32.480 --> 00:06:35.100]   format it in a particular way,
[00:06:35.100 --> 00:06:38.300]   and just place it into that history parameter.
[00:06:38.300 --> 00:06:39.460]   But as you may have guessed,
[00:06:39.460 --> 00:06:41.940]   they format things differently.
[00:06:41.940 --> 00:06:43.100]   And because of that,
[00:06:43.100 --> 00:06:46.220]   there are pros and cons to each one of these methods.
[00:06:46.220 --> 00:06:50.760]   So the simplest of those is the conversation buffer memory.
[00:06:50.760 --> 00:06:53.860]   Now, the conversation buffer memory is very simple.
[00:06:53.860 --> 00:06:56.140]   It basically takes all of your past interactions
[00:06:56.140 --> 00:06:58.660]   between you and the AI,
[00:06:58.660 --> 00:07:02.740]   and it just passes them into that history parameter
[00:07:02.740 --> 00:07:04.280]   as the raw text.
[00:07:04.280 --> 00:07:05.460]   There's no processing done.
[00:07:05.460 --> 00:07:08.000]   It is literally just a raw conversation
[00:07:08.000 --> 00:07:10.220]   that you've had up to this point.
[00:07:10.220 --> 00:07:13.180]   Now, to initialize that, we just do this, super simple.
[00:07:13.180 --> 00:07:15.060]   So we have the memory here.
[00:07:15.060 --> 00:07:16.540]   So we have our conversation chain.
[00:07:16.540 --> 00:07:19.100]   This time we're specifying the memory parameter,
[00:07:19.100 --> 00:07:21.500]   and we're using conversational buffer memory.
[00:07:21.500 --> 00:07:24.260]   We run that, and then we can just pass in some input.
[00:07:24.260 --> 00:07:27.080]   So we're going to go with good morning AI.
[00:07:27.080 --> 00:07:28.380]   And we get this response here.
[00:07:28.380 --> 00:07:30.380]   Good morning, it's a beautiful day today, isn't it?
[00:07:30.380 --> 00:07:32.220]   How can I help you?
[00:07:32.220 --> 00:07:33.060]   Cool.
[00:07:33.060 --> 00:07:34.380]   Now, one thing that I do want to do
[00:07:34.380 --> 00:07:36.420]   is actually count the number of tokens that we're using,
[00:07:36.420 --> 00:07:37.740]   'cause that's a very big part
[00:07:37.740 --> 00:07:39.260]   of which one of these methods
[00:07:39.260 --> 00:07:41.460]   we might want to use over the others.
[00:07:41.460 --> 00:07:44.940]   Now, to count those tokens that we're using,
[00:07:44.940 --> 00:07:47.060]   we actually need to refer back
[00:07:47.060 --> 00:07:50.660]   to the count tokens function up here, right?
[00:07:50.660 --> 00:07:52.860]   So this is just a,
[00:07:52.860 --> 00:07:57.080]   so we have this getOpenAI callback from a lang chain here.
[00:07:57.080 --> 00:08:00.300]   And within that callback,
[00:08:00.300 --> 00:08:02.940]   we are actually going to get the total number of tokens
[00:08:02.940 --> 00:08:07.940]   that we just used in our most recent request to OpenAI.
[00:08:08.680 --> 00:08:12.580]   So let's come down here.
[00:08:12.580 --> 00:08:14.660]   To use that count tokens function,
[00:08:14.660 --> 00:08:18.100]   all we're going to do is pass our conversational chain,
[00:08:18.100 --> 00:08:19.700]   and we're going to pass in our input.
[00:08:19.700 --> 00:08:20.980]   So our next input is going to be,
[00:08:20.980 --> 00:08:22.900]   my interest here is to explore the potential
[00:08:22.900 --> 00:08:24.700]   of integrating larger language models
[00:08:24.700 --> 00:08:27.420]   with external knowledge, okay?
[00:08:27.420 --> 00:08:29.620]   We run this, and we see, okay,
[00:08:29.620 --> 00:08:33.000]   we spent a total of 179 tokens so far.
[00:08:33.000 --> 00:08:35.180]   We keep going, I just want to analyze
[00:08:35.180 --> 00:08:38.160]   the different possibilities, so on and so on, right?
[00:08:38.160 --> 00:08:42.460]   And because we're saving the raw interactions
[00:08:42.460 --> 00:08:44.300]   that have happened up to this point,
[00:08:44.300 --> 00:08:46.460]   naturally with every new interaction,
[00:08:46.460 --> 00:08:48.380]   the number of tokens that we're using
[00:08:48.380 --> 00:08:51.140]   with each call increases.
[00:08:51.140 --> 00:08:55.300]   And we just see this keep increasing and increasing.
[00:08:55.300 --> 00:08:59.220]   But each one of these queries that we're making
[00:08:59.220 --> 00:09:02.300]   is considering all the previous interactions,
[00:09:02.300 --> 00:09:04.220]   and we can see that, right?
[00:09:04.220 --> 00:09:06.860]   There is a common thread throughout
[00:09:06.860 --> 00:09:08.720]   each of these interactions,
[00:09:08.720 --> 00:09:10.360]   and the responses that we're getting,
[00:09:10.360 --> 00:09:12.320]   like it's clearly a conversation.
[00:09:12.320 --> 00:09:15.200]   And if you come down to here,
[00:09:15.200 --> 00:09:17.360]   we ask the final question, which is,
[00:09:17.360 --> 00:09:18.620]   what is my aim again?
[00:09:18.620 --> 00:09:22.400]   Now, earlier on, we specified my interest,
[00:09:22.400 --> 00:09:24.200]   we didn't specifically say aim,
[00:09:24.200 --> 00:09:26.560]   we said my interest here is to explore
[00:09:26.560 --> 00:09:29.040]   the potential of integrating large language models
[00:09:29.040 --> 00:09:30.800]   with external knowledge.
[00:09:30.800 --> 00:09:32.120]   And if we come down,
[00:09:32.120 --> 00:09:34.160]   that's basically what we're asking here.
[00:09:34.160 --> 00:09:35.340]   What is my aim?
[00:09:35.340 --> 00:09:37.860]   And it says your aim is to explore the potential
[00:09:37.860 --> 00:09:39.100]   of integrating large language models
[00:09:39.100 --> 00:09:40.140]   with external knowledge.
[00:09:40.140 --> 00:09:42.460]   Okay, so that's just to confirm that, yes,
[00:09:42.460 --> 00:09:45.340]   the model does in fact remember
[00:09:45.340 --> 00:09:47.020]   the start of the conversation.
[00:09:47.020 --> 00:09:49.820]   So clearly that works, right?
[00:09:49.820 --> 00:09:51.780]   And let's wait for those to run.
[00:09:51.780 --> 00:09:54.060]   Okay, cool, and so what you can see here
[00:09:54.060 --> 00:09:56.540]   is we have the conversation chain that we initialize,
[00:09:56.540 --> 00:09:59.060]   and then we have this memory attribute,
[00:09:59.060 --> 00:10:01.540]   and within that, the buffer attribute.
[00:10:01.540 --> 00:10:03.420]   This is literally going to show us
[00:10:03.420 --> 00:10:07.420]   what it is that we're feeding into that history parameter.
[00:10:07.420 --> 00:10:09.940]   And you can just see that it is literally
[00:10:09.940 --> 00:10:11.540]   just the conversation.
[00:10:11.540 --> 00:10:13.220]   Like there is nothing else there.
[00:10:13.220 --> 00:10:16.980]   We're not summarizing, we're not modifying it in any way.
[00:10:16.980 --> 00:10:20.540]   It's just the conversation that we had from above.
[00:10:20.540 --> 00:10:23.500]   Okay, so that is the first one of our memory types.
[00:10:23.500 --> 00:10:27.340]   I think the pros and cons to this are relatively clear,
[00:10:27.340 --> 00:10:29.120]   but let's go through them anyway.
[00:10:29.120 --> 00:10:33.740]   So the pros are that we're storing everything, right?
[00:10:33.740 --> 00:10:36.260]   We're taking the raw interactions.
[00:10:36.260 --> 00:10:38.860]   We're not modifying or shortening them in any way.
[00:10:38.860 --> 00:10:40.220]   And that means that we're storing
[00:10:40.220 --> 00:10:42.020]   the maximum amount of information,
[00:10:42.020 --> 00:10:44.180]   which means we're not losing any information
[00:10:44.180 --> 00:10:45.740]   from the previous interactions.
[00:10:45.740 --> 00:10:49.540]   And to add to that, just storing previous interactions
[00:10:49.540 --> 00:10:50.980]   is a very simple approach.
[00:10:50.980 --> 00:10:54.060]   It's intuitive, it's not complicated in any way.
[00:10:54.060 --> 00:10:56.220]   So that's also a nice benefit.
[00:10:56.220 --> 00:10:59.680]   But they kind of come with a few cons.
[00:10:59.680 --> 00:11:02.680]   And naturally, if we're storing all these tokens,
[00:11:02.680 --> 00:11:05.160]   it means that the response times of the model
[00:11:05.160 --> 00:11:06.240]   are going to be slower,
[00:11:06.240 --> 00:11:08.280]   especially as the conversation continues
[00:11:08.280 --> 00:11:11.560]   and the queries that we're sending get bigger.
[00:11:11.560 --> 00:11:14.920]   And it also means that our costs
[00:11:14.920 --> 00:11:16.880]   are going to increase as well.
[00:11:16.880 --> 00:11:20.280]   And beyond that, it's even completely limiting us.
[00:11:20.280 --> 00:11:24.560]   So right now, the Text Adventure 003 model
[00:11:24.560 --> 00:11:28.260]   and the GPT 3.5 Turbo model
[00:11:28.260 --> 00:11:32.620]   both have a max token limit of,
[00:11:32.620 --> 00:11:36.620]   I think it's 4,096 tokens.
[00:11:36.620 --> 00:11:38.060]   That's pretty big,
[00:11:38.060 --> 00:11:41.320]   but a conversation might go on for longer than this.
[00:11:41.320 --> 00:11:46.320]   So as soon as we hit that limit with this type of memory,
[00:11:46.320 --> 00:11:50.100]   we're actually just going to hit an error and that's it.
[00:11:50.100 --> 00:11:52.260]   Like we can't continue the conversation.
[00:11:52.260 --> 00:11:54.300]   So that's a pretty big downside.
[00:11:54.300 --> 00:11:57.500]   So are there any other types of memory
[00:11:57.500 --> 00:11:59.940]   that can help us remedy these issues?
[00:11:59.940 --> 00:12:00.940]   Yes, there are.
[00:12:00.940 --> 00:12:04.700]   First, we have the conversation summary memory.
[00:12:04.700 --> 00:12:08.080]   This allows us to avoid excessive token usage
[00:12:08.080 --> 00:12:12.020]   by summarizing the previous interactions.
[00:12:12.020 --> 00:12:14.940]   Rather than storing everything, we just summarize it.
[00:12:14.940 --> 00:12:19.500]   So in between us getting our previous interactions
[00:12:19.500 --> 00:12:23.900]   and passing them into the history parameter of our prompt,
[00:12:23.900 --> 00:12:25.940]   they're summarized and obviously shortened
[00:12:25.940 --> 00:12:27.580]   or hopefully shortened.
[00:12:27.580 --> 00:12:30.300]   Now to use this, we run this.
[00:12:30.300 --> 00:12:32.060]   Okay, so we have conversation chain
[00:12:32.060 --> 00:12:35.260]   and our memory is a conversation summary memory.
[00:12:35.260 --> 00:12:37.780]   And to actually do this summarization,
[00:12:37.780 --> 00:12:39.540]   we also need a large language model.
[00:12:39.540 --> 00:12:40.920]   So we're actually just going to use
[00:12:40.920 --> 00:12:43.140]   the same large language model here.
[00:12:43.140 --> 00:12:45.080]   And this conversation summary memory,
[00:12:45.080 --> 00:12:48.020]   just as a quick reminder, is coming from this.
[00:12:48.020 --> 00:12:50.980]   So line chain, chains, conversation.memory,
[00:12:50.980 --> 00:12:54.360]   and then we have all of our memory types imported there.
[00:12:54.360 --> 00:12:59.180]   Okay, and let's have a look at what the prompt is
[00:12:59.180 --> 00:13:01.580]   for this summarization component, right?
[00:13:01.580 --> 00:13:03.460]   Because we're performing two calls here.
[00:13:03.460 --> 00:13:05.220]   We are performing the call
[00:13:05.220 --> 00:13:08.220]   to the summarization large language model,
[00:13:08.220 --> 00:13:11.300]   and then we will be performing the call
[00:13:11.300 --> 00:13:16.300]   to the chatbot or the conversational AI component.
[00:13:16.300 --> 00:13:19.020]   So the first call is that summarization
[00:13:19.020 --> 00:13:20.180]   and it looks like this, okay?
[00:13:20.180 --> 00:13:21.900]   So conversation of some,
[00:13:21.900 --> 00:13:25.380]   so that is just this conversation chain that we have here.
[00:13:25.380 --> 00:13:26.340]   We're looking at the memory
[00:13:26.340 --> 00:13:28.340]   and we're looking at the prompt template.
[00:13:28.340 --> 00:13:30.860]   It is progressively summarizing the lines
[00:13:30.860 --> 00:13:32.240]   of conversation provided,
[00:13:32.240 --> 00:13:33.820]   adding on to the previous summary,
[00:13:33.820 --> 00:13:36.560]   returning a new summary, okay?
[00:13:36.560 --> 00:13:39.120]   So we're going to, this is an example.
[00:13:39.120 --> 00:13:40.220]   Current summary, the human asks
[00:13:40.220 --> 00:13:42.340]   what AI thinks of artificial intelligence.
[00:13:42.340 --> 00:13:45.320]   The AI thinks artificial intelligence is a force for good.
[00:13:45.320 --> 00:13:47.660]   And then it's saying new lines of conversation.
[00:13:47.660 --> 00:13:50.780]   Why do you think AI is a force for good?
[00:13:50.780 --> 00:13:53.980]   Because AI will help humans reach their full potential.
[00:13:53.980 --> 00:13:56.140]   And then it creates a new summary.
[00:13:56.140 --> 00:13:58.220]   The human asks what AI thinks of this.
[00:13:58.220 --> 00:14:03.100]   AI thinks artificial intelligence is a force for good
[00:14:03.100 --> 00:14:05.660]   because it will help humans reach their full potential.
[00:14:05.660 --> 00:14:08.420]   So it's basically just added on to the end
[00:14:08.420 --> 00:14:11.420]   of the previous summary, a little bit more information.
[00:14:11.420 --> 00:14:13.940]   And it will basically keep doing that
[00:14:13.940 --> 00:14:16.060]   with each interaction, right?
[00:14:16.060 --> 00:14:20.060]   So from there, we have the current summary,
[00:14:20.060 --> 00:14:22.980]   we pass in new lines of conversation,
[00:14:22.980 --> 00:14:25.740]   and then we will create a new summary.
[00:14:25.740 --> 00:14:28.820]   Now let's see how we would actually run through all of this.
[00:14:28.820 --> 00:14:33.680]   So we have our conversational summary memory here.
[00:14:33.680 --> 00:14:35.500]   We're going to go through the same conversation again.
[00:14:35.500 --> 00:14:36.820]   So good morning, AI.
[00:14:36.820 --> 00:14:38.340]   And you'll notice that the responses
[00:14:38.340 --> 00:14:39.740]   are going to be slightly different.
[00:14:39.740 --> 00:14:42.300]   And we'll just run through these very quickly.
[00:14:42.300 --> 00:14:44.900]   And what we really want to see is,
[00:14:44.900 --> 00:14:46.500]   although we're summarizing,
[00:14:46.500 --> 00:14:50.020]   is the model able to remember that final question again?
[00:14:50.020 --> 00:14:52.180]   What is my aim again?
[00:14:52.180 --> 00:14:54.820]   And fortunately, we can see that, yeah,
[00:14:54.820 --> 00:14:58.660]   it does have that same correct answer again.
[00:14:58.660 --> 00:15:00.820]   So that's pretty cool.
[00:15:00.820 --> 00:15:03.700]   Now, the only issue I see here is,
[00:15:03.700 --> 00:15:05.460]   okay, we're summarizing
[00:15:05.460 --> 00:15:06.920]   'cause we want to reduce the number of tokens,
[00:15:06.920 --> 00:15:09.740]   but just take a look at this.
[00:15:09.740 --> 00:15:13.980]   We're spending a total of almost 750 tokens here.
[00:15:13.980 --> 00:15:16.420]   That's the second-to-last input.
[00:15:16.420 --> 00:15:18.340]   Let's compare that to up here.
[00:15:18.340 --> 00:15:20.140]   Okay, second-to-last input
[00:15:20.140 --> 00:15:23.260]   for the one where we're just saving everything,
[00:15:23.260 --> 00:15:27.820]   like the raw interactions, is 360,
[00:15:27.820 --> 00:15:32.820]   which is actually less than half the number of tokens.
[00:15:32.820 --> 00:15:35.900]   So what is going on there?
[00:15:35.900 --> 00:15:39.620]   Well, the summaries are generated text,
[00:15:39.620 --> 00:15:43.020]   and they can actually be pretty long.
[00:15:43.020 --> 00:15:47.660]   So we have this conversation, sum, memory, buffer.
[00:15:47.660 --> 00:15:51.100]   Okay, I'm not gonna read it all, but you can go through.
[00:15:51.100 --> 00:15:53.340]   There's clearly a lot of text there.
[00:15:53.340 --> 00:15:56.460]   So is this actually helping us at all?
[00:15:56.460 --> 00:15:57.900]   Well, it can do.
[00:15:57.900 --> 00:16:00.060]   It just requires us to get
[00:16:00.060 --> 00:16:02.300]   to a certain length of conversation.
[00:16:02.300 --> 00:16:04.100]   And we can see here that the actual,
[00:16:04.100 --> 00:16:07.420]   so we're using this TIC token tokenizer,
[00:16:07.420 --> 00:16:10.780]   which is essentially the opening eyes tokenizer,
[00:16:10.780 --> 00:16:13.260]   and we're using it for text of interest 0x03,
[00:16:13.260 --> 00:16:15.860]   which is the current large language model that we're using.
[00:16:15.860 --> 00:16:19.420]   Now, if we look at specifically the memory buffer
[00:16:19.420 --> 00:16:21.900]   and look at the number of tokens that we have in there
[00:16:21.900 --> 00:16:23.740]   versus the actual conversation,
[00:16:23.740 --> 00:16:26.340]   so this is a conversational buffer memory
[00:16:26.340 --> 00:16:27.940]   where we're storing everything,
[00:16:27.940 --> 00:16:29.780]   and this is a summary memory
[00:16:29.780 --> 00:16:31.580]   where we're just storing a summary.
[00:16:31.580 --> 00:16:33.620]   If we compare both of those,
[00:16:33.620 --> 00:16:36.420]   we can actually see that the summary memory
[00:16:36.420 --> 00:16:38.860]   is actually a lot shorter, right?
[00:16:38.860 --> 00:16:40.580]   The only issue is the reason
[00:16:40.580 --> 00:16:42.580]   that we're actually spending more tokens
[00:16:42.580 --> 00:16:45.340]   is because first we're doing that summarization
[00:16:45.340 --> 00:16:46.820]   in the first place,
[00:16:46.820 --> 00:16:49.820]   and you can also see that we have two prompts.
[00:16:49.820 --> 00:16:53.060]   This prompt here is already quite a lot of text.
[00:16:53.060 --> 00:16:55.780]   So, you know, okay, that's great.
[00:16:55.780 --> 00:16:57.260]   It seems like, you know,
[00:16:57.260 --> 00:17:00.140]   I understand that the summary itself is shorter,
[00:17:00.140 --> 00:17:01.260]   but it doesn't matter
[00:17:01.260 --> 00:17:05.300]   because the actual total here is still longer.
[00:17:05.300 --> 00:17:07.500]   And yes, that's true for this conversation,
[00:17:07.500 --> 00:17:09.180]   but for longer conversations,
[00:17:09.180 --> 00:17:12.060]   this is not usually the case.
[00:17:12.060 --> 00:17:13.580]   So we have this visual here,
[00:17:13.580 --> 00:17:16.780]   which I have calculated with using a longer conversation.
[00:17:16.780 --> 00:17:18.460]   The link for the code for that,
[00:17:18.460 --> 00:17:21.180]   you can see at the top of the video right now.
[00:17:21.180 --> 00:17:23.700]   But in this, we can see the comparison
[00:17:23.700 --> 00:17:25.380]   between these two methods.
[00:17:25.380 --> 00:17:27.580]   So the line that you see
[00:17:27.580 --> 00:17:30.300]   just kind of growing linearly right here,
[00:17:30.300 --> 00:17:34.780]   that is our conversation buffer memory, okay?
[00:17:34.780 --> 00:17:36.260]   So the first one we looked at.
[00:17:36.260 --> 00:17:38.580]   And you see that we get to a certain level,
[00:17:38.580 --> 00:17:41.060]   like around 25 interactions.
[00:17:41.060 --> 00:17:41.980]   And at that point,
[00:17:41.980 --> 00:17:45.260]   we actually hit the token limit of the model.
[00:17:45.260 --> 00:17:48.100]   Whereas the summary memory that we're using,
[00:17:48.100 --> 00:17:50.220]   initially, yes, is higher,
[00:17:50.220 --> 00:17:53.300]   but then it kind of, it doesn't grow quite as quickly.
[00:17:53.300 --> 00:17:55.500]   It grows quite quickly towards the end there,
[00:17:55.500 --> 00:17:59.180]   but the overall growth rate is much slower.
[00:17:59.180 --> 00:18:01.100]   So for shorter conversations,
[00:18:01.100 --> 00:18:03.900]   it's actually better to use the direct buffer memory.
[00:18:03.900 --> 00:18:05.980]   But for longer conversations,
[00:18:05.980 --> 00:18:09.700]   summary memory, or you can see here, it works better.
[00:18:09.700 --> 00:18:12.340]   It reduces the number of tokens that you're using overall.
[00:18:12.340 --> 00:18:15.260]   So naturally, which one of those you would use
[00:18:15.260 --> 00:18:16.940]   just depends on your use case.
[00:18:16.940 --> 00:18:20.740]   So I think we can kind of summarize the pros and cons here.
