
[00:00:00.000 --> 00:00:20.880]   I'm Rukma, I work at Google Cloud on our Vertex AI product and at towards the end of the talk for
[00:07:25.480 --> 00:07:31.720]   actually a key piece of the definition where you can separate it from something where the primary
[00:07:31.720 --> 00:07:38.600]   function is just thinking or reasoning or generating with an AI agent you do want to have an action
[00:07:38.600 --> 00:07:44.680]   included so this is where tools come in tools are if that if the model was the brain tools are your AI
[00:07:44.680 --> 00:07:51.960]   agents hands this is where you get to interact you can do things like fetch data from the internet more
[00:07:51.960 --> 00:07:58.360]   complex action calling external APIs to do things like say book flights process payments etc and then
[00:07:58.360 --> 00:08:04.600]   orchestration is the glue that kind of holds everything together it maintains memory and state which is
[00:08:04.600 --> 00:08:10.920]   really important it keeps sort of track of the goals and if in this analogy of brain and hands
[00:08:10.920 --> 00:08:17.160]   orchestration is really the nervous system tying it all kind of together so these three components work
[00:08:17.160 --> 00:08:23.800]   together kind of allowing the AI agent to function autonomously and accomplish tasks that being said
[00:08:23.800 --> 00:08:29.720]   I really quickly want to say that there are different types of AI agents and some of these you could say
[00:08:29.720 --> 00:08:36.120]   have existed for a very long time way before generative AI really you know boomed in the marketplace
[00:08:36.120 --> 00:08:42.040]   so there are deterministic agents generative agents and obviously kind of hybrid agents
[00:08:42.680 --> 00:08:49.560]   deterministic agents are basically following a fixed set of rules or algorithms to make decisions
[00:08:49.560 --> 00:08:56.360]   so given a specific input that type of agent is always consistently going to return the same output
[00:08:56.360 --> 00:09:03.160]   so I'm sure you can tell this is quite different from when you're say prompting with a generative agent
[00:09:03.160 --> 00:09:11.080]   an example a very simple example of this could be a calculator when you give it the input of two plus two it
[00:09:11.080 --> 00:09:16.520]   will always return four unless something's deeply wrong and you're in a mirror dimension let's hope not
[00:09:16.520 --> 00:09:27.400]   generative agents on the other hand are more creative they kind of will work best in use cases
[00:09:27.400 --> 00:09:33.720]   where you want to be creative you want to combine rules in ways that they haven't been combined together
[00:09:33.720 --> 00:09:40.680]   before and they are capable of a much wider range of diverse outputs kind of based on the input they
[00:09:40.680 --> 00:09:46.200]   receive so an example a simple example of a generative agent is a chatbot designed to answer kind of
[00:09:46.200 --> 00:09:52.600]   customer questions a customer service chatbot when asked about kind of a product it will generate generate
[00:09:52.600 --> 00:09:59.080]   and hopefully helpful and informative answers based on whatever data source it has about your company's
[00:09:59.080 --> 00:10:05.640]   products etc and hybrid agents combine sort of the strengths of the two an example of this could be like a financial advisor
[00:10:05.640 --> 00:10:13.320]   that uses deterministic agents to analyze the market and predict the right places to invest but then uses a generative
[00:10:13.320 --> 00:10:19.400]   agent to actually communicate this or go out and talk about this strategy to customers
[00:10:20.600 --> 00:10:28.200]   okay so this is i think where things get really interesting so given the different types of agents
[00:10:28.200 --> 00:10:36.280]   you can actually architect them quite differently across the spectrum so from single agent to multi-agent
[00:10:36.280 --> 00:10:43.080]   architecture i think increases the kind of sophistication and complexity that your agent is capable of
[00:10:43.080 --> 00:10:50.280]   very very very quickly so just to like kind of very quickly go over the single agent one this is not
[00:10:50.280 --> 00:10:55.560]   i think hopefully new to most people this is where a single model is just responsible for everything
[00:10:55.560 --> 00:11:00.600]   reasoning planning acting super straightforward architecture to implement you just provide it with
[00:11:00.600 --> 00:11:08.440]   instructions and a set of tools to kind of achieve a goal right so what is the problem here great like you
[00:11:08.440 --> 00:11:15.160]   know great tell it what to do it's gonna do it it's gonna return the output well have you ever tried
[00:11:15.160 --> 00:11:22.040]   a prompt like count how many instances of the letter a are in the word banana and the model will say four
[00:11:22.040 --> 00:11:27.640]   and then you say hey can you check that and then it will say two and then you say hey can you check that
[00:11:27.640 --> 00:11:34.840]   and then it'll say one so in cases where you're trying to deploy a production ready app something like
[00:11:34.840 --> 00:11:43.000]   this can you know really be a problem so now we get to a much more powerful way to design agents which
[00:11:43.000 --> 00:11:49.560]   is multi-agent architecture so just like complex human systems like let's say a company you work at
[00:11:49.560 --> 00:11:55.240]   have people specialized in different roles working together to achieve a common goal that's what multi-agent
[00:11:55.240 --> 00:12:02.280]   architecture does as an example of this is a customer service system so let's say there's three levels of agent
[00:12:02.280 --> 00:12:08.120]   level one you have a dispatcher agent the job of this agent is simply to triage everything that comes
[00:12:08.120 --> 00:12:15.000]   in assess the customer's issue and determine where to route it so it triages second level agents subject
[00:12:15.000 --> 00:12:21.320]   matter exports these agents are trained in specific subject matters but maybe specific product lines or
[00:12:21.320 --> 00:12:28.520]   specific regions if that's how your company functions and when they are assigned a case by that first agent
[00:12:28.520 --> 00:12:33.640]   they have the expertise to respond and then finally as a level three check you also have a supervisor
[00:12:33.640 --> 00:12:41.240]   agent that quality checks the work against a predefined data set it that agent has the ability to go in and
[00:12:41.240 --> 00:12:49.560]   solve some issues for example um fun story i created a multi-agent kind of architecture once and the
[00:12:49.560 --> 00:12:55.720]   supervisor agent was supposed to return the the sentence this is not good enough please try again if it
[00:12:55.720 --> 00:13:01.880]   wasn't happy with the output and it just kept doing that it did not like anything my first agent did
[00:13:01.880 --> 00:13:10.280]   until i went back and like recreated the whole whole thing okay so as agents are becoming more and more
[00:13:10.280 --> 00:13:15.240]   common across industries we're largely kind of seeing development in four types and i just wanted to
[00:13:15.240 --> 00:13:22.440]   give like show you really quickly like what a set of use cases for agents could look like so with customer
[00:13:22.440 --> 00:13:27.400]   i already talked for example through what it would look like for a customer support agent
[00:13:27.400 --> 00:13:35.720]   but also things like e-commerce being able to support b2b supporting travel if you are a travel vendor
[00:13:35.720 --> 00:13:42.520]   for example there's also internal facing employee agents hr things like enrollment benefits questions
[00:13:42.520 --> 00:13:49.480]   those things sales of course as i'm sure you can see would be a great opportunity payable supply chain
[00:13:50.040 --> 00:13:55.160]   so those are kind of thinking about who the agent is targeted to and then knowledge agents
[00:13:55.160 --> 00:14:02.600]   are specialized agents in terms of what exactly is their subject matter of expertise so you could have
[00:14:02.600 --> 00:14:06.840]   an agent that's specifically very good at answering legal questions for example
[00:14:06.840 --> 00:14:16.520]   and then finally we are also seeing through the use of multimodal use cases a huge uptick in voice agents
[00:14:16.520 --> 00:14:22.920]   especially in scenarios like say a fast food drive-through so i'm sure you can imagine what
[00:14:22.920 --> 00:14:29.320]   like where a voice agent would come in here you go in you make that order using your voice and the agent
[00:14:29.320 --> 00:14:34.600]   basically transcribes that and sends it through to the ordering system so that the person at the delivery
[00:14:34.600 --> 00:14:43.080]   window can go ahead and serve you okay so we're more than halfway through this talk so quick moment so we
[00:14:43.080 --> 00:14:47.880]   looked at why we should care about agent design then we kind of peeked under the hood really quickly to
[00:14:47.880 --> 00:14:53.880]   talk about what what the kind of components of agents are then we thought through architecture a little
[00:14:53.880 --> 00:15:01.160]   bit and kind of looked at what the top use cases are so just before wrapping up the last thing i'm going to do
[00:15:01.160 --> 00:15:08.680]   so you can see my shirt i'm going to talk about tooling and specifically google cloud's developer platform
[00:15:08.680 --> 00:15:16.600]   vertex ai so google cloud's developer platform vertex ai offers essentially a full life cycle
[00:15:16.600 --> 00:15:22.440]   ai development platform so whatever it is you want to do whether it's things i didn't talk about today
[00:15:22.440 --> 00:15:27.800]   like uh calling models and fine tuning them or it is stuff like i talked about today such as building
[00:15:27.800 --> 00:15:35.080]   agents we offer you a spectrum of ways to enable that whether that's super low code even no code in some
[00:15:35.080 --> 00:15:42.040]   cases all the way up to very high customization high code methods to do it vertex offers you access to
[00:15:42.040 --> 00:15:48.600]   150 plus models obviously all of our first party google cloud models but we also have all of anthropics
[00:15:48.600 --> 00:15:55.080]   models on there llama 2 and llama 3 as well as a whole bunch of open source models we try to make it easy
[00:15:55.080 --> 00:16:01.640]   to prototype so you can get apis for all of this and start experimenting start building without having to you
[00:16:01.640 --> 00:16:08.360]   know go through a whole bunch of setup we also want to make it very simple to kind of be able to deploy
[00:16:08.360 --> 00:16:13.800]   and have peace of mind that your security and all those enterprise concerns i was talking about earlier
[00:16:13.800 --> 00:16:20.120]   when it comes to things like data privacy etc are taken care of so we back all of this with google cloud
[00:16:20.120 --> 00:16:27.400]   level enterprise readiness security uh you know things like compute orchestration so you're not ending up
[00:16:27.400 --> 00:16:34.680]   paying too much for something if you don't have to and all of that um i wanted to quickly flash model
[00:16:34.680 --> 00:16:40.200]   garden for you since this is the piece of vertex ai i did not cover in today's talk but model garden is
[00:16:40.200 --> 00:16:47.560]   where you can go in pick your model get you know fine tune it we have a couple of model eval workflows that
[00:16:47.560 --> 00:16:54.680]   you can run to try to match the model to your specific use case as well and then finally agent builder as i
[00:16:54.680 --> 00:17:02.680]   said all the way from no code to kind of full code ways to build those cool exciting agents that i was just
[00:17:02.680 --> 00:17:10.920]   telling you about the last thought i want to leave you with is this we're building four builders vertex ai is
[00:17:10.920 --> 00:17:17.560]   designed with developers first in mind and all the choices we make as we build this from training and
[00:17:17.560 --> 00:17:25.800]   quick start resources all the way through to deployment is for you so we love feedback please stop by our
[00:17:25.800 --> 00:17:32.120]   booth tell us if you've used the product what you love what you hate we would love to learn from all of
[00:17:32.120 --> 00:17:40.920]   you with that i will ask you to please do me a giant favor and take a quick survey to tell us how we did
[00:17:40.920 --> 00:17:48.360]   and mayveveen my colleague in the green skirt there will give you a cute vertex ai branded water bottle if
[00:17:48.360 --> 00:17:59.960]   you show her you completed the survey that's it thank you guys
[00:17:59.960 --> 00:18:05.160]   you

