
[00:00:00.000 --> 00:00:01.400]   I'm gonna take...
[00:05:05.240 --> 00:05:07.400]   Squeeze and Excitation, and then EfficientNets.
[00:05:07.400 --> 00:05:09.760]   So those are going to be very beginner friendly
[00:05:09.760 --> 00:05:12.000]   paper reading groups that we're going to start looking at.
[00:05:12.000 --> 00:05:16.040]   And you see that FastBook also has ResNet in it.
[00:05:16.040 --> 00:05:18.000]   So I think this would be a really good point
[00:05:18.000 --> 00:05:19.440]   if you really want to start.
[00:05:19.440 --> 00:05:23.760]   The reason why we're doing this is so people from FastBook
[00:05:23.760 --> 00:05:27.120]   can transition easily into paper reading groups.
[00:05:27.120 --> 00:05:32.120]   And like the, it does require a good sense of like
[00:05:32.120 --> 00:05:34.120]   being able to read the papers
[00:05:34.120 --> 00:05:36.080]   and being able to understand the papers
[00:05:36.080 --> 00:05:38.200]   to be a really good deep learning practitioner.
[00:05:38.200 --> 00:05:41.080]   So what we want to do at Weights & Biases is we,
[00:05:41.080 --> 00:05:42.840]   as I mentioned, right in the first week
[00:05:42.840 --> 00:05:44.400]   is that we want to support you
[00:05:44.400 --> 00:05:46.280]   become good deep learning practitioners.
[00:05:46.280 --> 00:05:48.680]   And this is going to be the point
[00:05:48.680 --> 00:05:49.960]   that could be a transition point
[00:05:49.960 --> 00:05:52.920]   where we learn the basics about convolutions
[00:05:52.920 --> 00:05:55.320]   and then we go to ResNets and we could shift
[00:05:55.320 --> 00:05:58.960]   to having weekly paper reading groups
[00:05:58.960 --> 00:06:00.640]   or bi-weekly paper reading groups.
[00:06:00.640 --> 00:06:02.440]   So then after that point,
[00:06:02.440 --> 00:06:05.560]   the platform for vision would be set
[00:06:05.560 --> 00:06:07.080]   and then you can go back to like
[00:06:07.080 --> 00:06:08.760]   having more Kaggle competitions
[00:06:08.760 --> 00:06:10.480]   or participating in more Kaggle competitions.
[00:06:10.480 --> 00:06:13.040]   So that's how kind of my journey started as well.
[00:06:13.040 --> 00:06:15.000]   And I'm trying to just mimic that
[00:06:15.000 --> 00:06:17.520]   for what worked, for everything that worked for me.
[00:06:17.520 --> 00:06:19.280]   And I'm just trying to mimic that for this group
[00:06:19.280 --> 00:06:20.600]   and it's worked so far.
[00:06:20.600 --> 00:06:24.120]   So that's this idea that I did want to share
[00:06:24.120 --> 00:06:26.720]   about beginner friendly paper reading groups.
[00:06:26.720 --> 00:06:29.840]   And if I go to the Fastbook reading group
[00:06:29.840 --> 00:06:31.840]   and I get to week 12 discussion thread.
[00:06:31.840 --> 00:06:36.840]   So as is usual, if you go to 1db.me/fastbook12
[00:06:36.840 --> 00:06:40.400]   which is the link that I'm going to paste that
[00:06:40.400 --> 00:06:41.440]   in the chat as well.
[00:06:41.440 --> 00:06:44.440]   So this is the link where we're going to have
[00:06:44.440 --> 00:06:46.000]   all our discussions today.
[00:06:46.000 --> 00:06:49.440]   So if I go to 1db.me/fastbook12,
[00:06:49.440 --> 00:06:51.800]   oh, I think I sent the chat to Angelica,
[00:06:51.800 --> 00:06:52.760]   but she's shared it.
[00:06:52.760 --> 00:06:57.080]   So if you get to 1db.me/fastbook12,
[00:06:57.080 --> 00:06:59.560]   this will bring us to this discussion thread
[00:06:59.560 --> 00:07:00.760]   and this is where we're going to have
[00:07:00.760 --> 00:07:02.080]   all our discussions today.
[00:07:02.080 --> 00:07:06.160]   I usually highlight the blog posts
[00:07:06.160 --> 00:07:10.200]   and through PowerPoint presentations.
[00:07:10.200 --> 00:07:12.000]   I thought maybe let's try something differently.
[00:07:12.000 --> 00:07:14.240]   Angelica has this really nice,
[00:07:14.240 --> 00:07:16.080]   Angelica curated this really nice list.
[00:07:16.080 --> 00:07:18.440]   And I'm so glad to see that many of you
[00:07:18.440 --> 00:07:20.560]   are still coming back even week 12
[00:07:20.560 --> 00:07:23.040]   and you're still writing these wonderful,
[00:07:23.040 --> 00:07:25.680]   wonderful blog posts, which is really great.
[00:07:25.680 --> 00:07:29.480]   So Vinayak wrote about this anime recommender system
[00:07:29.480 --> 00:07:30.680]   with Fast.ai too.
[00:07:30.680 --> 00:07:33.920]   And Ravi Mishra then wrote two blog posts
[00:07:33.920 --> 00:07:35.280]   about part one and part two
[00:07:35.280 --> 00:07:36.920]   about building a movie recommender.
[00:07:36.920 --> 00:07:38.000]   So he's got this Netflix,
[00:07:38.000 --> 00:07:39.960]   which is just everything that we covered
[00:07:39.960 --> 00:07:43.480]   in our last sessions about movie lens.
[00:07:43.480 --> 00:07:45.680]   And then there's this other one,
[00:07:45.680 --> 00:07:47.560]   which is part two that does a recap
[00:07:47.560 --> 00:07:49.560]   and goes more into the detail of like,
[00:07:49.560 --> 00:07:51.120]   what exactly are user embeddings
[00:07:51.120 --> 00:07:54.560]   and like what are biases and everything that we covered.
[00:07:54.560 --> 00:07:56.680]   And we've also got the blog posts from,
[00:07:56.680 --> 00:08:01.120]   we've also got the blog posts from Ravi Chandra,
[00:08:01.120 --> 00:08:02.680]   which is about, again,
[00:08:02.680 --> 00:08:04.680]   he's been coming back week after week.
[00:08:04.680 --> 00:08:06.160]   So you can see how this Fast book
[00:08:06.160 --> 00:08:09.560]   has lots of these wonderful different blog posts.
[00:08:09.560 --> 00:08:13.080]   So that's the resources.
[00:08:13.080 --> 00:08:16.200]   And then one thing I was really excited to see as well
[00:08:16.200 --> 00:08:21.200]   in the forums was in terms of projects and resources,
[00:08:21.200 --> 00:08:24.480]   I saw there's this create a movie recommender,
[00:08:24.480 --> 00:08:27.960]   which is a discussion started by Ravi Mishra.
[00:08:27.960 --> 00:08:30.480]   So I was really excited to see this discussion.
[00:08:30.480 --> 00:08:33.080]   And in this one, Ravi's mentioned
[00:08:33.080 --> 00:08:35.440]   that he's been working on building,
[00:08:35.440 --> 00:08:36.720]   like he's written this blog post
[00:08:36.720 --> 00:08:38.640]   about movie recommender systems.
[00:08:38.640 --> 00:08:43.640]   And the idea is to then use what we learned in chapter two.
[00:08:43.640 --> 00:08:44.880]   So remember in chapter two,
[00:08:44.880 --> 00:08:46.520]   we learned how to put things in production
[00:08:46.520 --> 00:08:49.280]   and we built like a system
[00:08:49.280 --> 00:08:51.040]   that could classify basically images
[00:08:51.040 --> 00:08:53.840]   and it could predict what the image labels are.
[00:08:53.840 --> 00:08:56.320]   Ravi wants to do that for movie recommender systems.
[00:08:56.320 --> 00:08:58.880]   So he wants to build basically an API
[00:08:58.880 --> 00:09:00.840]   and deploy it in the cloud.
[00:09:00.840 --> 00:09:03.200]   And so I think this is a really, really interesting project.
[00:09:03.200 --> 00:09:04.680]   And if you want to be involved,
[00:09:04.680 --> 00:09:06.160]   please come and join this thread.
[00:09:06.160 --> 00:09:09.320]   So let me just post that in the chat as well.
[00:09:09.320 --> 00:09:18.840]   Okay, so with that being said and the background provided,
[00:09:18.840 --> 00:09:23.840]   I think we are now ready to get started with convolutions.
[00:09:23.840 --> 00:09:29.080]   So as part of convolutions, as I've already mentioned,
[00:09:29.080 --> 00:09:31.000]   what we're going to do is we're going to look
[00:09:31.000 --> 00:09:34.840]   at what the exact operations are for convolutions.
[00:09:34.840 --> 00:09:39.840]   So we kind of, I kind of touched upon how convolutions are
[00:09:39.840 --> 00:09:43.480]   things that can be used to like detect edges
[00:09:43.480 --> 00:09:44.800]   or they can be used to,
[00:09:44.800 --> 00:09:47.760]   they can be used to detect horizontal edges
[00:09:47.760 --> 00:09:50.040]   or they can be used to detect vertical edges
[00:09:50.040 --> 00:09:52.440]   or they can be, there's like these convolution filters
[00:09:52.440 --> 00:09:55.520]   that can blur an image or it can sharpen an image.
[00:09:55.520 --> 00:09:57.200]   And there's like all of these different things
[00:09:57.200 --> 00:09:59.440]   that convolution filters can do.
[00:09:59.440 --> 00:10:03.840]   What I didn't touch upon is like how that magic happens.
[00:10:03.840 --> 00:10:07.840]   So it's my, so today I'm going to actually start doing that.
[00:10:07.840 --> 00:10:11.600]   So one thing when we were looking at convolutions last time,
[00:10:11.600 --> 00:10:16.600]   we saw that if you have an image like this
[00:10:16.600 --> 00:10:24.400]   and remember if this is three, right?
[00:10:24.400 --> 00:10:29.400]   So let me just go back to that image that we have here.
[00:10:29.400 --> 00:10:34.400]   So see how this is just a snapshot of that digit three.
[00:10:34.400 --> 00:10:38.120]   So in this one, you'll see like everywhere
[00:10:38.120 --> 00:10:41.540]   where the number is three, like these edges,
[00:10:41.540 --> 00:10:46.780]   every point in this image, that has a darker pixel value.
[00:10:46.780 --> 00:10:51.960]   So all pixel values, if it's a bit image,
[00:10:51.960 --> 00:10:55.420]   all pixel values are between zero and 255.
[00:10:55.420 --> 00:10:58.720]   And as we can see in this kind of data frame,
[00:10:58.720 --> 00:11:02.840]   so in this case, the 255 represents black.
[00:11:02.840 --> 00:11:05.080]   It could be that in different places,
[00:11:05.080 --> 00:11:07.720]   this could mean different things, but for our sake,
[00:11:07.720 --> 00:11:09.040]   when we're trying to look at this chapter,
[00:11:09.040 --> 00:11:11.520]   let's just say 255 represents black.
[00:11:11.520 --> 00:11:16.440]   So all of these pixels that are the digit three themselves,
[00:11:16.440 --> 00:11:17.680]   they're going to be higher value.
[00:11:17.680 --> 00:11:21.040]   So these are going to be of values of around 200
[00:11:21.040 --> 00:11:22.760]   to 255 range, right?
[00:11:22.760 --> 00:11:25.600]   And then everywhere around, everywhere around surrounding,
[00:11:25.600 --> 00:11:26.640]   that's just the background.
[00:11:26.640 --> 00:11:30.320]   So like all of this background that's around,
[00:11:30.320 --> 00:11:32.320]   'cause it's white or it's brighter,
[00:11:32.320 --> 00:11:37.320]   it's going to have a value of between zero.
[00:11:37.320 --> 00:11:41.160]   It's basically going to be closer to zero.
[00:11:41.160 --> 00:11:43.840]   So this is going to be approximately zero
[00:11:43.840 --> 00:11:45.680]   or between say zero and 50.
[00:11:45.680 --> 00:11:47.480]   So it's gonna have much lower values
[00:11:47.480 --> 00:11:49.200]   'cause it's much brighter.
[00:11:49.200 --> 00:11:54.200]   And what we're doing now is when we have a convolution
[00:11:54.280 --> 00:11:58.120]   filter, so what we do next is if we want to detect,
[00:11:58.120 --> 00:12:01.280]   say the edges of this image,
[00:12:01.280 --> 00:12:05.080]   then what you have is you basically have a convolution
[00:12:05.080 --> 00:12:08.400]   filter that looks something like this.
[00:12:08.400 --> 00:12:12.840]   So you have a convolution filter.
[00:12:12.840 --> 00:12:15.040]   So if you want to detect, say top edges,
[00:12:15.040 --> 00:12:17.880]   you go minus one, minus minus one, zero, zero, zero,
[00:12:17.880 --> 00:12:19.000]   one, one, one.
[00:12:19.000 --> 00:12:23.000]   Now what happens is that this convolution filter,
[00:12:23.000 --> 00:12:24.400]   'cause it's a three by three,
[00:12:24.400 --> 00:12:25.840]   will go all over the image.
[00:12:25.840 --> 00:12:28.320]   It's going to go like this, right?
[00:12:28.320 --> 00:12:29.160]   Something like that.
[00:12:29.160 --> 00:12:30.360]   So it's just going to go in the 2D plane,
[00:12:30.360 --> 00:12:32.240]   this convolution filter.
[00:12:32.240 --> 00:12:35.640]   And then when this convolution filter gets to this point
[00:12:35.640 --> 00:12:41.760]   over here, then you start to get like some values
[00:12:41.760 --> 00:12:44.280]   'cause over here, everything is zero, right?
[00:12:44.280 --> 00:12:45.840]   When the convolution filter is here,
[00:12:45.840 --> 00:12:48.840]   minus one, minus one, minus one, and one, one, one.
[00:12:48.840 --> 00:12:52.360]   If you multiply this with the background pixels,
[00:12:52.360 --> 00:12:55.000]   so in a convolution, remember all that was happening,
[00:12:55.000 --> 00:12:56.920]   and this is something we covered last time,
[00:12:56.920 --> 00:13:00.400]   is what you do is if you have an image slice,
[00:13:00.400 --> 00:13:02.080]   which could be this image slice,
[00:13:02.080 --> 00:13:04.240]   and it will have some values like zero.
[00:13:04.240 --> 00:13:07.960]   This would have like values like zero,
[00:13:07.960 --> 00:13:11.520]   one, two, three, four, five, six, seven, some values.
[00:13:11.520 --> 00:13:14.320]   All that happens is like you multiply these things
[00:13:14.320 --> 00:13:15.560]   element by element, right?
[00:13:15.560 --> 00:13:18.280]   That's all that's happening in convolution.
[00:13:18.280 --> 00:13:21.680]   And then what you see is that when this convolution filter
[00:13:21.680 --> 00:13:24.080]   reaches this point, which is just the background,
[00:13:24.080 --> 00:13:27.040]   it's going to have a zero value, correct?
[00:13:27.040 --> 00:13:28.760]   But when it reaches this point,
[00:13:28.760 --> 00:13:31.600]   when it reaches the top edge,
[00:13:31.600 --> 00:13:34.760]   so if it's, say it reaches this point,
[00:13:34.760 --> 00:13:36.080]   what's gonna happen is like,
[00:13:36.080 --> 00:13:39.200]   'cause this filter at the top is minus one,
[00:13:39.200 --> 00:13:41.080]   and the background values are zero,
[00:13:41.080 --> 00:13:44.840]   so this row is going to give me, say, an output of zero.
[00:13:44.840 --> 00:13:47.160]   Then this middle row is also giving me an output of zero
[00:13:47.160 --> 00:13:50.480]   'cause the convolution filter is zero anyway.
[00:13:50.480 --> 00:13:52.440]   And then when it reaches the top edge,
[00:13:52.440 --> 00:13:55.480]   this row is going to give me some positive value.
[00:13:55.480 --> 00:13:58.080]   So the value could be, say, 150.
[00:13:58.080 --> 00:13:59.840]   So what's gonna happen is like,
[00:13:59.840 --> 00:14:02.240]   every time you take this convolution filter
[00:14:02.240 --> 00:14:03.720]   throughout your image,
[00:14:03.720 --> 00:14:07.360]   every time you hit a point where it's going from
[00:14:07.360 --> 00:14:10.120]   white background to dark values,
[00:14:10.120 --> 00:14:12.320]   or basically like smaller pixel values
[00:14:12.320 --> 00:14:13.720]   to dark pixel values,
[00:14:13.720 --> 00:14:15.160]   that's every time where this thing
[00:14:15.160 --> 00:14:16.960]   will give you a positive number.
[00:14:16.960 --> 00:14:19.760]   So everywhere else, like everywhere else in the image
[00:14:19.760 --> 00:14:23.160]   where there's this yellow highlighter,
[00:14:23.160 --> 00:14:24.480]   everywhere else in this image,
[00:14:24.480 --> 00:14:27.400]   this convolution filter is going to give me
[00:14:27.400 --> 00:14:29.960]   a value of zero, right?
[00:14:29.960 --> 00:14:33.360]   So everywhere, it's gonna give me a value of zero.
[00:14:33.360 --> 00:14:35.840]   But at any point where it reaches a point,
[00:14:35.840 --> 00:14:37.400]   like, for example, over here,
[00:14:37.400 --> 00:14:39.720]   any time when it reaches this,
[00:14:39.720 --> 00:14:41.440]   'cause the values are minus one, minus one,
[00:14:41.440 --> 00:14:43.840]   and here are one, one, one,
[00:14:43.840 --> 00:14:46.560]   at this point, it's gonna give me a large positive value,
[00:14:46.560 --> 00:14:48.560]   so maybe like 120.
[00:14:48.560 --> 00:14:51.680]   So what happens is when this filter goes through this image,
[00:14:51.680 --> 00:14:54.720]   'cause it's gonna give me large values at only points
[00:14:54.720 --> 00:14:57.560]   which are top edges,
[00:14:57.560 --> 00:14:59.080]   or which are points that are transitioning
[00:14:59.080 --> 00:15:01.560]   from white background to dark background,
[00:15:01.560 --> 00:15:03.880]   then this is exactly where
[00:15:03.880 --> 00:15:05.520]   it's going to detect the top edge.
[00:15:05.520 --> 00:15:07.640]   So this is how a top edge detector,
[00:15:07.640 --> 00:15:10.640]   basically, this is how manually
[00:15:10.640 --> 00:15:12.200]   these features could be assigned.
[00:15:12.200 --> 00:15:15.200]   So when you say you wanna do something like say,
[00:15:15.200 --> 00:15:18.440]   do basically a vertical edge,
[00:15:18.440 --> 00:15:21.040]   the values of the filter could be changed
[00:15:21.040 --> 00:15:23.240]   to like minus one, minus one, minus one,
[00:15:23.240 --> 00:15:25.320]   zero, zero, zero, one, one, one.
[00:15:25.320 --> 00:15:26.720]   And then what's gonna happen
[00:15:26.720 --> 00:15:28.880]   is when this filter goes through the image,
[00:15:28.880 --> 00:15:30.600]   it's just going to find points
[00:15:30.600 --> 00:15:33.920]   that go from white regions to dark regions,
[00:15:33.920 --> 00:15:35.680]   but in the vertical plane, right?
[00:15:35.680 --> 00:15:37.800]   So it's going minus one, minus one, minus one,
[00:15:37.800 --> 00:15:39.600]   and one, one, one.
[00:15:39.600 --> 00:15:42.160]   So you see, it's going from like white regions
[00:15:42.160 --> 00:15:44.120]   in the background on the left,
[00:15:44.120 --> 00:15:47.400]   and then dark regions of the digit on the right.
[00:15:47.400 --> 00:15:50.160]   So it's actually found vertical edge,
[00:15:50.160 --> 00:15:53.280]   which is the left vertical edge, basically.
[00:15:53.280 --> 00:15:54.880]   So I just wanted to give that background
[00:15:54.880 --> 00:15:58.400]   before I started looking into this,
[00:15:58.400 --> 00:16:01.200]   started showing you like how the top detector works
[00:16:01.200 --> 00:16:03.360]   or how this edge detector works.
[00:16:03.360 --> 00:16:05.520]   And like these are, in this case,
[00:16:05.520 --> 00:16:07.720]   we are manually, like when we're doing this,
[00:16:07.720 --> 00:16:11.000]   in this case, we are manually designing the filters.
[00:16:11.000 --> 00:16:12.840]   So like this, if the filter value
[00:16:12.840 --> 00:16:14.400]   is minus one, minus one, minus one,
[00:16:14.400 --> 00:16:15.960]   and then zero, zero, zero over here,
[00:16:15.960 --> 00:16:17.640]   and then one, one, one on the right,
[00:16:17.640 --> 00:16:20.200]   then that's a vertical detector.
[00:16:20.200 --> 00:16:23.560]   But in a real case, when you say,
[00:16:23.560 --> 00:16:26.240]   in the deep learning model,
[00:16:26.240 --> 00:16:27.680]   when you define your convolution,
[00:16:27.680 --> 00:16:29.800]   or when you say, oh, I need my first layer
[00:16:29.800 --> 00:16:32.240]   as a convolution layer with X amount of filters
[00:16:32.240 --> 00:16:34.160]   or X amount of layers,
[00:16:34.160 --> 00:16:37.080]   then that's when the model is learning these filters.
[00:16:37.080 --> 00:16:38.320]   But we'll get to that very soon.
[00:16:38.320 --> 00:16:40.360]   So don't worry about that now.
[00:16:40.360 --> 00:16:43.000]   I'll just go in and check if there's,
[00:16:43.000 --> 00:16:45.600]   are there any questions on,
[00:16:45.600 --> 00:16:51.360]   oh, thanks for posting this Vinayak.
[00:16:51.360 --> 00:16:53.160]   I missed a Korean's blog post.
[00:16:53.160 --> 00:16:55.560]   So Korean's also written about Week 10,
[00:16:55.560 --> 00:16:57.480]   Embeddings and Recommender Systems.
[00:16:57.480 --> 00:16:59.040]   Thanks very much for pointing this out.
[00:16:59.040 --> 00:17:03.040]   I'll add that to this comment here.
[00:17:03.040 --> 00:17:10.000]   Thanks Naresh for pointing this tutorial.
[00:17:10.000 --> 00:17:11.640]   So are there any questions about,
[00:17:11.640 --> 00:17:14.440]   I'm assuming then there's no questions about like
[00:17:14.440 --> 00:17:17.880]   how the convolution kernel is then able to find edges
[00:17:17.880 --> 00:17:19.920]   or like top edge, left edge, vertical edge,
[00:17:19.920 --> 00:17:21.640]   or like just things like this.
[00:17:21.640 --> 00:17:25.120]   So then if you want to do something like blurring,
[00:17:25.120 --> 00:17:28.880]   or basically then you just change the values of this filter
[00:17:28.880 --> 00:17:31.720]   and then it is able to do different things, right?
[00:17:31.720 --> 00:17:34.320]   So if I make something like, if I make,
[00:17:34.320 --> 00:17:37.400]   and I'm just saying this as an example,
[00:17:37.400 --> 00:17:42.400]   if I make something like one at the bottom
[00:17:42.400 --> 00:17:47.080]   and then maybe like minus 0.2, 0.2, 0.2 around,
[00:17:47.080 --> 00:17:48.240]   then what's that gonna do?
[00:17:48.240 --> 00:17:51.960]   It's just basically gonna have a value of the pixel
[00:17:51.960 --> 00:17:54.280]   in the center and then everything around it
[00:17:54.280 --> 00:17:55.760]   is going to be a low pixel value,
[00:17:55.760 --> 00:17:57.600]   which means it's going to be blurred, right?
[00:17:57.600 --> 00:17:59.240]   So if you pass this to the image,
[00:17:59.240 --> 00:18:01.440]   then you're basically gonna blur the image.
[00:18:01.440 --> 00:18:04.720]   So these are just examples that I wanted to show you.
[00:18:04.720 --> 00:18:07.880]   So when you go back and you read like this section
