
[00:00:00.000 --> 00:00:21.380]   Hello, are you all awake and you just have your coffee, that's great, welcome to my workshop
[00:05:18.800 --> 00:05:29.440]   to get a sense of how these things work. So first technique which I see a lot of programmers not doing is not regenerating.
[00:05:29.440 --> 00:05:37.840]   You'll come in, you'll put some prompt in it and I'll be like either it outputs something great and you're like holy crap or it outputs something that's buggy and you're like ah it doesn't work.
[00:05:37.840 --> 00:05:48.240]   But if you regenerate 10 times you'll see like oh it maybe works three times and five times it outputs something that's like almost working and then two times it's outputting something that's completely random.
[00:05:48.240 --> 00:05:57.440]   The API works better for that because you can up the temperature like I realized chat open AI used to be much more wide in its outputs.
[00:05:57.440 --> 00:06:02.640]   So if you regenerate it often comes out with the same stuff.
[00:06:02.640 --> 00:06:17.440]   Second one is like instead of trying to correct the models and like no this is wrong this is not the right method and stuff like that just go back and edit either your prompt or if your UI allows it like LM studio or Libra chat like other frontends allow you to edit the LLM's response.
[00:06:17.440 --> 00:06:24.440]   So if the LLM outputs bad code just go back fix the code and then the LLM thinks it output the right code.
[00:06:24.440 --> 00:06:27.640]   So it's really useful.
[00:06:27.640 --> 00:06:43.640]   Then a next technique is to often clear the context like I don't think I do more than three four prompts in a conversation and then I just take the output at the end just start a new conversation that tells me if you know my technique is robust.
[00:06:43.640 --> 00:06:48.840]   Because I can't you know if I have a 20 page transcript I don't really know what's going on.
[00:06:48.840 --> 00:06:56.840]   I don't know what the context has been summarized to and usually by the end you're just like in LLL and it works much better with the bigger models now.
[00:06:56.840 --> 00:07:10.840]   So you know maybe this doesn't apply anymore but it's book good practice anyway experiment with different models because they all kind of have different vibes and you get to feel these different vibes and how they change over time or like how smaller models might just need more coaxing.
[00:07:10.840 --> 00:07:18.040]   But can actually do the same stuff than the bigger models and this is all through practice.
[00:07:18.040 --> 00:07:20.040]   So like practice practice practice practice practice.
[00:07:20.040 --> 00:07:30.040]   I have the trouble that I just get rabbit hole when I have a task to solve I try to write the prompt that solves a task and then I try to write the prompt that generates the prompt that solves the task.
[00:07:30.040 --> 00:07:37.240]   But you know practice.
[00:07:37.240 --> 00:07:39.240]   And then this is some very concrete stuff.
[00:07:39.240 --> 00:07:53.240]   Just make like custom system prompts that you can put into like chat open air whatever don't worry about changing them like if you have a session today where you're going to write PHP just change the system prompt to be PHP oriented like which libraries you use maybe what code formatting you use.
[00:07:53.240 --> 00:08:00.440]   Just because it saves like a ton of time that's a very concrete technique there's a prompt on how to do that.
[00:08:00.440 --> 00:08:07.640]   And I want once I get to this slide maybe we can try it out.
[00:08:07.640 --> 00:08:15.640]   Generate helpers like every time you have a problem just ask the model to write a script to solve it right like often I put stuff in my clipboard and I have to like edit it to put it back into my code.
[00:08:15.640 --> 00:08:32.840]   Maybe the imports I don't want to always like have to remove the imports when I paste into my ID so I can ask like a GPT write a shell script that just opens the clipboard and an editor and or open the shell script and just open the clipboard and remove the imports at the beginning.
[00:08:32.840 --> 00:08:38.840]   It's like a simple sad three liner just generate it and at the end of the day you can throw it away or save it.
[00:08:38.840 --> 00:09:02.040]   And this might be the most important technique summarizing your transcript and I want you to do that today to exchange with your neighbor when you try something at the end just like summarize what I did as a read me as a how to as a wiki entry as a RFC and then share it with your neighbor so that they only have to read like one clean document and not like 10 pages of whatever.
[00:09:02.040 --> 00:09:25.240]   So I really want you to do that today if you're like working with your neighbor which I really encourage at the end summarize the transcript and just send them that even if you do like rabbit holes I'm fine trying to solve a problem right like oh what's this type script bug that I have at the end you can summarize your search and just send it over and say like look this is this is how I solve that here's all the links if you want to look at it.
[00:09:25.240 --> 00:09:31.840]   So that's something you would never do before when you were readings like overflow and like Google searching you would never send someone your Google search history.
[00:09:31.840 --> 00:09:49.340]   But now you can and a final technique is like when I ask it to when I try to figure out how to do something I use ridiculous domain examples like instead of working on my app which is often going to be kind of a meta app right like if I do infrastructure.
[00:09:49.340 --> 00:09:58.740]   That's going to be like programming jargon and the model might get confused because I want to you know create a script that create scripts or manage the scripts.
[00:09:58.740 --> 00:10:10.940]   So instead I always ask it to do like you know manage dinosaurs or like zoo animals or like write an operating system about Tolstoy and then you see in the output.
[00:10:10.940 --> 00:10:25.940]   What is Tolstoy relevant is like what it fills into the pattern and then when it says like Colonel driver you know okay that's Colonel driver but if it says like Colonel driver system function interface you're like you're not sure if it's like a driver about functions if it's the function of the driver like.
[00:10:25.940 --> 00:10:54.940]   So I have an example here like write an Arduino Arduino Arduino for remote controlled T-Rex and I'll show that on screen and while you know for the next 10 minutes I want you to try out some of these things like you know write some helpers like create some system prompts or summarize some transcripts that you have research how to how bourbon bourbon is made and summarize you know your research to share with your neighbors like just.
[00:10:54.940 --> 00:11:23.940]   Try different things and while you're doing that I'm going to watch the slack if you have cool examples you can also open PR's on the GitHub on the on the GitHub repo so that everybody can see them later on and I'll answer questions and if no one has questions I'll just do my own stuff in the browser they can look at for inspiration so before we get into that like maybe I'll just show you one of these of these prompts.
[00:11:23.940 --> 00:11:29.940]   And you know the code doesn't need to work but it like gives me an idea of like different concepts.
[00:11:29.940 --> 00:11:31.940]   Can you read this is this big enough.
[00:11:31.940 --> 00:11:40.940]   Real time preemptive.
[00:11:40.940 --> 00:11:41.940]   Prey hunting.
[00:11:41.940 --> 00:11:44.940]   I don't know just mixing up words.
[00:11:44.940 --> 00:11:54.940]   I don't know just mixing up words.
[00:11:54.940 --> 00:11:55.940]   This is amazing.
[00:11:55.940 --> 00:12:00.940]   The artifact stuff is just amazing.
[00:12:00.940 --> 00:12:03.940]   And here you can see right like the tasks are prey detection.
[00:12:03.940 --> 00:12:09.940]   I know okay like it understood that the task name is something different than the tasks thing itself.
[00:12:09.940 --> 00:12:25.940]   But so here I can tell that it used free artists and it's like no implement and artists from scratch and then you can just like rabbit hole right so going to implement it from scratch and I'm going to summarize the transcript and then you can see how that works and how useful it is.
[00:12:25.940 --> 00:12:33.940]   So this doesn't necessarily need to work right but it gives me a bunch of stuff to look at and try to Google maybe.
[00:12:33.940 --> 00:12:35.940]   You know I can just try it out and run it.
[00:12:35.940 --> 00:12:40.940]   But then I'm like okay well where did it kind of fetch this from.
[00:12:40.940 --> 00:12:42.940]   You can probably Google it because it's in the training corpus.
[00:12:42.940 --> 00:12:48.940]   And that gives you like a good start of either a lot of boilerplate that you want to change right.
[00:12:48.940 --> 00:12:55.940]   And then maybe you're like okay well I know how to do a timer interrupt I will replace that with my own.
[00:12:55.940 --> 00:13:01.940]   You can edit the LLM's response to put in your timer interrupt and regenerate and it will be like oh this is how you write interrupts.
[00:13:01.940 --> 00:13:03.940]   I'm going to write interrupts that way as well.
[00:13:03.940 --> 00:13:11.940]   And you have a really efficient thing because it's still two interactions with the LLM right like fast inference and stuff like that.
[00:13:11.940 --> 00:13:16.940]   Summarize this as a read me for my colleagues.
[00:13:16.940 --> 00:13:26.940]   And then this is like high value when you work on a team and you can just be like look this is how my artist works.
[00:13:26.940 --> 00:13:28.940]   I would never have written it by hand.
[00:13:28.940 --> 00:13:30.940]   Documentation of that quality right.
[00:13:30.940 --> 00:13:40.940]   You can say like add examples list of caveats only output new text.
[00:13:40.940 --> 00:13:47.940]   I will make many typos the model doesn't care.
[00:13:47.940 --> 00:13:50.940]   All right.
[00:13:50.940 --> 00:13:51.940]   Your turn.
[00:13:51.940 --> 00:13:56.940]   I'm watching the slack.
[00:13:56.940 --> 00:14:03.940]   If you want to share ideas of stuff to build like feel free to do it so that people who are you know early morning.
[00:14:03.940 --> 00:14:04.940]   Yeah.
[00:14:04.940 --> 00:14:09.940]   But can you later on asking the slack that way I don't have more people can do it.
[00:14:09.940 --> 00:14:10.940]   But go ahead.
[00:14:10.940 --> 00:14:16.940]   I just wanted to say that it works nice for mermint the charts.
[00:14:16.940 --> 00:14:21.940]   You can create the charts of your .
[00:14:21.940 --> 00:14:22.940]   Yeah.
[00:14:22.940 --> 00:14:26.940]   Oh nice.
[00:14:26.940 --> 00:14:31.940]   One more generic technique.
[00:14:31.940 --> 00:14:35.940]   When you talk about doing something just type that into the LLM and then we'll do it.
[00:14:35.940 --> 00:14:39.940]   It's like programming at the speed of mouth.
[00:14:39.940 --> 00:14:40.940]   All right.
[00:14:40.940 --> 00:14:40.940]   All right.
[00:14:40.940 --> 00:14:41.940]   And then.
[00:14:41.940 --> 00:14:42.940]   All right.
[00:14:42.940 --> 00:14:43.940]   All right.
[00:14:43.940 --> 00:14:44.940]   And then.
[00:14:44.940 --> 00:15:14.920]   Thank you.
[00:15:14.920 --> 00:15:44.900]   Thank you.
[00:15:44.900 --> 00:16:14.880]   Thank you.
[00:16:14.880 --> 00:16:44.860]   Thank you.
[00:16:44.860 --> 00:17:14.840]   Thank you.
[00:17:14.840 --> 00:17:44.820]   Thank you.
[00:17:44.820 --> 00:18:14.800]   Thank you.
[00:18:14.800 --> 00:18:18.920]   Could you spend time to join the Slack channel?
[00:18:18.920 --> 00:18:20.840]   Oh, yeah, sorry.
[00:18:20.840 --> 00:18:28.280]   So the Slack channel, to join it, the Slack channel is called LLM working programmer, workshop LLM working programmer.
[00:18:28.960 --> 00:18:37.660]   Sorry about that, maybe I'll just leave this light on you have the handout, maybe, or, and I'll just mess around in a different tab.
[00:18:37.660 --> 00:18:38.660]   Thank you.
[00:18:38.660 --> 00:18:39.660]   Thank you.
[00:18:39.660 --> 00:18:40.660]   Thank you.
[00:18:40.660 --> 00:18:40.660]   Thank you.
[00:18:40.660 --> 00:18:42.200]   Thank you.
[00:18:42.200 --> 00:18:44.200]   Thank you.
[00:18:44.200 --> 00:18:44.200]   Thank you.
[00:18:44.200 --> 00:18:45.200]   Thank you.
[00:18:45.200 --> 00:18:46.200]   Thank you.
[00:18:46.200 --> 00:18:47.200]   Thank you.
[00:18:47.200 --> 00:18:48.200]   Thank you.
[00:18:48.200 --> 00:18:49.460]   Thank you.
[00:18:49.460 --> 00:18:51.200]   Thank you.
[00:18:51.200 --> 00:18:52.200]   Thank you.
[00:18:52.200 --> 00:18:52.200]   Thank you.
[00:18:52.200 --> 00:18:52.200]   Thank you.
[00:18:52.200 --> 00:18:53.200]   Thank you.
[00:18:53.200 --> 00:18:53.200]   Thank you.
[00:18:53.200 --> 00:18:58.200]   Thank you.
[00:18:58.200 --> 00:18:59.200]   Thanks.
[00:18:59.200 --> 00:18:59.200]   Thank you.
[00:18:59.200 --> 00:18:59.200]   Thank you.
[00:18:59.200 --> 00:18:59.200]   Thank you.
[00:18:59.200 --> 00:18:59.200]   Thank you.
[00:18:59.200 --> 00:18:59.200]   Thank you.
[00:18:59.200 --> 00:19:00.200]   Thank you.
[00:19:00.200 --> 00:19:00.200]   Thank you.
[00:19:00.200 --> 00:19:00.200]   Thank you.
[00:19:00.200 --> 00:19:01.200]   Thank you.
[00:19:01.200 --> 00:19:02.200]   Thank you.
[00:19:02.200 --> 00:19:32.180]   Thank you.
[00:19:32.180 --> 00:20:02.160]   Thank you.
[00:20:02.160 --> 00:20:32.140]   Thank you.
[00:20:32.140 --> 00:21:02.120]   Thank you.
[00:21:02.120 --> 00:21:04.120]   Thank you.
[00:21:04.120 --> 00:21:06.120]   Thank you.
[00:21:06.120 --> 00:21:08.120]   Thank you.
[00:21:08.120 --> 00:21:10.120]   Thank you.
[00:21:10.120 --> 00:21:12.120]   Thank you.
[00:21:12.120 --> 00:21:14.120]   Thank you.
[00:21:14.120 --> 00:21:16.120]   Thank you.
[00:21:16.120 --> 00:21:18.120]   Thank you.
[00:21:18.120 --> 00:21:20.120]   Thank you.
[00:21:20.120 --> 00:21:22.120]   Thank you.
[00:21:22.120 --> 00:21:24.120]   Thank you.
[00:21:24.120 --> 00:21:26.120]   Thank you.
[00:21:26.120 --> 00:21:28.120]   Thank you.
[00:21:28.120 --> 00:21:30.120]   Thank you.
[00:21:30.120 --> 00:21:32.120]   Thank you.
[00:21:32.120 --> 00:21:34.120]   Thank you.
[00:21:34.120 --> 00:21:36.120]   Thank you.
[00:21:36.120 --> 00:21:38.120]   Thank you.
[00:21:38.120 --> 00:21:40.120]   Thank you.
[00:21:40.120 --> 00:21:42.120]   Thank you.
[00:21:42.120 --> 00:21:42.120]   Thank you.
[00:21:42.120 --> 00:21:44.120]   Thank you.
[00:21:44.120 --> 00:21:44.120]   Thank you.
[00:21:44.120 --> 00:21:44.120]   Thank you.
[00:21:44.120 --> 00:21:46.120]   Thank you.
[00:21:46.120 --> 00:22:16.100]   Thank you.
[00:22:16.100 --> 00:22:46.080]   Thank you.
[00:22:46.080 --> 00:23:16.060]   Thank you.
[00:23:16.060 --> 00:23:46.040]   Thank you.
[00:23:46.040 --> 00:24:16.020]   I'm going to take a minute showing what I did.
[00:24:16.020 --> 00:24:46.000]   Thank you.
[00:24:46.000 --> 00:25:15.980]   Thank you.
[00:25:15.980 --> 00:25:21.420]   In Slack, so that everybody can see them or make a pull request to the repo.
[00:25:21.420 --> 00:25:27.460]   And for the sake of time, because we have 50 minutes left and I have a lot to show, let's
[00:25:27.460 --> 00:25:28.660]   just move on.
[00:25:28.660 --> 00:25:31.220]   Is there any blocker?
[00:25:31.220 --> 00:25:32.320]   You all good?
[00:25:33.820 --> 00:25:46.500]   All right, so this is the main thing.
[00:25:46.500 --> 00:26:01.580]   Because no one knows how LLMs work, no one knows how LLMs work and we never know how LLMs work, because LLMs are basically these weird computational artifacts that have been trained on whatever gigantic corpus we've trained them on, which no one has the time to read, let alone understand, right?
[00:26:01.580 --> 00:26:17.000]   So no single human will ever understand what is the model, you can just kind of poke at it and connect it to what we know, and so in a way it's not like a computer technology or a math technology or whatever we want to call it, it's like a cultural technology.
[00:26:17.000 --> 00:26:25.540]   It's like based on human culture and if you know your way around human culture, you'll be able to squeeze out more of the model, not just programming, right?
[00:26:26.100 --> 00:26:41.680]   So it's all about language, the model really doesn't care if it's programming language, if like a formal language, or if it's like German or symbols or whatever, because the only thing it does is transform tokens into tokens and it looks back at its own tokens doing so.
[00:26:41.680 --> 00:27:11.660]   So even if we say like, oh please output JSON, it's like, I'm going to output numbers, probabilities of all the numbers that exist, but so if you make the switch away, right, like you're writing code, but like there's no reason that what is in the code isn't actually also like language, suddenly it makes a lot of sense of calling a variable like year over year revenue and not call it A, even though as programmers we think like, ah, that doesn't really matter, right, like, but actually the model, it matters a lot.
[00:27:11.660 --> 00:27:41.640]   Because one is like, the token A, the other one is the token year over year revenue, and then suddenly it's able to access all the like, ah, finance literature to do, to write your code, even though you think that's like just, you know, um, a stupid dashboard, so understanding that means that suddenly things like theater, poetry, marketing literature, like textbooks, mathematical formulas, all of that is like fair game to write code.
[00:27:41.640 --> 00:28:03.640]   So for example, theater, I bring that up as the first one, the models are trained to be nice, right, like they're, they're re-instructed to be like, yeah, I, I, I understand, like please, ah, please tell me what to do, I'm, I'm happy, and you lose a lot of conflict, which is useful, like when you do a code review, I don't want someone to be nice in the code review and give me platitudes, or like, you know, like, shit sandwiches.
[00:28:03.640 --> 00:28:18.640]   I want something, I want something that just like challenges every line I give it, and so if you say like make a theater play, code reviewing my code with like six different people just like arguing about it, then suddenly in one inference you have like a really good code review instead of someone telling me to handle my errors.
[00:28:18.640 --> 00:28:48.620]   So that's kind of the main thing, right, it's like thinking of them as culture, not as technology, ah, or as cultural technology, ah, and so the way to approach is, I think of them as translation engines, right, like there's many, many different kinds of languages, like when I talk to my mom, I have a different language than when I give a talk, I have a different language than when I write Python, I have a different language than when I write Python, I have a different language than when I try to write like a math paper, um, and so some of them are like from less formal to more formal to more formal,
[00:28:48.620 --> 00:29:18.620]   Once you step into the formal language world, you can use a computer to interpret it or do stuff with it more easily, um, but you can also, you know, transfer from one domain to another, you can go from the T-Rex domain to the real-time operating system domain or mix both together, um, it's just tokens, right, um, but so what that means is writing software now is about decomposing the problem that you want to solve into language translation steps and then let the model do these language translation steps, understanding which of these steps
[00:29:18.620 --> 00:29:48.600]   are too much for certain model, or how to do them, like how to prompt it to say, transform, you know, when it outputs JSON, it doesn't output the right JSON, you might put in like, this is important for your career, that's like kind of a cultural technique to get it to output JSON, which, which is a little bit weird as a programmer, um, so here's a bunch of examples, and like, I'm not gonna go through every graph, but like, feel free to look at them in the handout, um, this is, for example, an example of how to transform,
[00:29:48.600 --> 00:30:18.580]   for meeting transcripts, or like on Zoom, or you have like your software planning meeting, everybody interrupts each other, it's like a big chaos, no one's gonna go back at that transcript and try to understand what was discussed, uh, but now you can, right, and so the steps to do that, because if you just ask, like, tell me what we discussed last week, they're getting good at that, like, like, it's a little bit scary, but also, it used to really work not very well, 'cause you, you have like, 28 pages of transcripts, with a lot of, like, just people interrupting each other,
[00:30:18.580 --> 00:30:33.580]   and using colloquial language, so the different steps to do it, that I like doing, is like, first I wanna get a summary, because Claude has gotten really good at, like, figuring out, actually most of the information that's in there is a bullet point list, it's not good at details, I just want, like, which topics did we discuss?
[00:30:33.580 --> 00:30:54.580]   Bam, five bullet points, then I take this translation step, right, from transcript to five topics we discussed, and then for each topic I go back and I select, for each of these topics, tell me exactly what we did, and now it has, like, a direction to know what to grep for in this huge transcript, that's only relevant to it, so you get this, like, pretty good result.
[00:30:54.580 --> 00:31:15.580]   People call that, like, there's plenty of papers about it, I think, right, like, with complicated names or whatever, but technique is really just translation steps, it's like, from a topic to get all the details to that topic, no need to have, like, really fancy names about it, no need for fancy prompts, you just go back, paste the summary, and then for each point in the summary, like, give me the details.
[00:31:15.580 --> 00:31:38.580]   Then the next step is, once you have these technical details, and you take the transcript again, you say, like, oh, give me action points, like, who's going to do what, which we discussed in the planning meeting, and just give me a list of, like, oh, Enrique's going to do that, and Sarah said that maybe we should do this, you know, and you get, like, a clean list of action points for each of these, like, fairly detailed technical summaries of each transcript point.
[00:31:38.580 --> 00:31:41.580]   If you do that one shot, there's no way that that will work.
[00:31:41.580 --> 00:32:05.580]   But if you decompose in these, like, little translation steps, then you get it, and at the end, you can just take the action points and the technical details we discussed, maybe paste some of your code base in there, and create the GitHub issues, which already have, like, a plan laid out, they're assigned to the right person, you can ask to add tags to it, the way you do tags, like, name them correctly with whatever ticket naming convention you use.
[00:32:05.580 --> 00:32:11.580]   So that would be an example of, like, a workflow for transforming transcripts into GitHub issues.
[00:32:11.580 --> 00:32:24.580]   No need to really automate that, like, it's just a list of things you can paste, and then in the conversation, if you're seeing it veering off a little bit, you say, like, oh, no, please tell me what Enrique said about XYZ, I remember it.
[00:32:24.580 --> 00:32:30.580]   I don't want to script and, like, kind of formalize that, just put in transcript tomorrow, I'll forget about it.
[00:32:30.580 --> 00:32:43.580]   So, I have a couple of scripts to help me do prompts, and I'll get back to those, but I zero-shot everything, like, haven't done agents, whatever people call agents.
[00:32:43.580 --> 00:32:45.580]   So that was an example.
[00:32:45.580 --> 00:32:57.580]   You can do other techniques, right, like, take this meeting transcript and the existing docs and code, and just say, like, oh, we talked about refactoring this thing, and now give me a concrete plan.
[00:32:57.580 --> 00:33:00.580]   Like, tell me which API should be renamed to what based on what we discussed.
[00:33:00.580 --> 00:33:02.580]   I don't want to do that by hand.
[00:33:02.580 --> 00:33:04.580]   It's like I need to look for the functions or whatever.
[00:33:04.580 --> 00:33:07.580]   Just paste all the names, say, like, how do you rename them.
[00:33:07.580 --> 00:33:11.580]   Write the script to rename them with said, you know.
[00:33:11.580 --> 00:33:15.580]   You can add in, like, the technical details we worked out, right, from the summary.
[00:33:15.580 --> 00:33:17.580]   We had all these, like, oh, we discussed this way.
[00:33:17.580 --> 00:33:20.580]   You can maybe put in, like, your RFC guidelines.
[00:33:20.580 --> 00:33:25.580]   You know, this is how we write RFCs, and then you get an RFC out of the refactoring planning that we discussed in the meeting.
[00:33:25.580 --> 00:33:34.580]   But with the right function names, maybe with a script or an actual refactoring that you can put into a test branch, for example.
[00:33:34.580 --> 00:33:38.580]   And then you have an RFC that people can discuss, right, and then you can go back.
[00:33:38.580 --> 00:33:44.580]   RFC comments, just put them back with the RFC and the technical details in the summary and just, like, update the RFC.
[00:33:44.580 --> 00:33:50.580]   So this one's a little bit more meta.
[00:33:50.580 --> 00:33:54.580]   And I have to see how much time we have.
[00:33:54.580 --> 00:34:00.580]   This one is, like, once we have the GitHub issues, right, from this transcript, I can formalize them, because just, like, output them as YAML.
[00:34:00.580 --> 00:34:10.580]   Like, make me title, tags, assignee, ticket number, link to your whatever.
[00:34:10.580 --> 00:34:15.580]   And then you have, now you have a formal representation that a computer that we can write programs for, right?
[00:34:15.580 --> 00:34:21.580]   So then I ask it, like, oh, make a shell script to just take this YAML and create the issues for real, like just use the GitHub API.
[00:34:21.580 --> 00:34:25.580]   Models are usually pretty good at zero-shotting that.
[00:34:25.580 --> 00:34:29.580]   If they mess up the GitHub API like they used to do, just paste the API in there.
[00:34:29.580 --> 00:34:31.580]   Then it will usually work.
[00:34:31.580 --> 00:34:35.580]   And then you can take this script, which is pretty simple, but iterate on it, right?
[00:34:35.580 --> 00:34:47.580]   Like, add a help, add a readme, add more flags, maybe confirmation, add, like, colors and little emojis, make, like, an NPM package for it that everybody can install.
[00:34:47.580 --> 00:34:51.580]   That's all, like, little translation steps going from a JavaScript to the package JSON.
[00:34:51.580 --> 00:34:53.580]   It's, like, not really reasoning.
[00:34:53.580 --> 00:34:55.580]   A model can do it great.
[00:34:55.580 --> 00:34:59.580]   But when I do it, like, it's really annoying and tiring.
[00:34:59.580 --> 00:35:05.580]   And then I'll, like, forget that you have to write, like, ID uppercase and ID lowercase, and it costs me the afternoon.
[00:35:05.580 --> 00:35:09.580]   So, what you can do in three minutes, right?
[00:35:09.580 --> 00:35:13.580]   Like, because I was talking about it, but if the model, if I just pasted it into the model, I would be there.
[00:35:13.580 --> 00:35:14.580]   I would have the script.
[00:35:14.580 --> 00:35:15.580]   It would probably work.
[00:35:15.580 --> 00:35:28.580]   So, now, you can actually talk, okay, now that we have the script, how do we change our workflow within the team, within the company, within the open source project to just automate it, right?
[00:35:28.580 --> 00:35:34.580]   Like, we have a meeting transcript where it's, like, create GitHub issues, boom, it's all kind of automated.
[00:35:34.580 --> 00:35:38.580]   You maybe want to look at the YAML before you press fire, right?
[00:35:38.580 --> 00:35:49.580]   But there's a decent chance that at least you get a lot of boilerplate and you can replace, like, a couple of LLM fringe-speak.
[00:35:49.580 --> 00:35:55.580]   What you can do now is just, like, take the script and the Slackbot API and say, like, make a Slackbot for this.
[00:35:55.580 --> 00:35:57.580]   Notify the people that have been assigned the tickets.
[00:35:57.580 --> 00:36:05.580]   You take your GitHub transcript, paste it to the bot, and then everybody gets notified of their GitHub tasks that come out of it.
[00:36:05.580 --> 00:36:10.580]   And then I did some meta-meta stuff, which I'm going to skip.
[00:36:10.580 --> 00:36:16.580]   If we go back to this workflow now, right, which probably took us, like, maybe an hour to build all of this.
[00:36:16.580 --> 00:36:23.580]   A good chance that, you know, if it's annoying to get, like, the Slack access API token, or if you like some OAuth stuff,
[00:36:23.580 --> 00:36:26.580]   you just, like, write me a script to get a Slack API token.
[00:36:26.580 --> 00:36:28.580]   I really don't want to look up how to do it.
[00:36:28.580 --> 00:36:30.580]   Just give me the URL.
[00:36:30.580 --> 00:36:39.580]   And, but what you can do now is that as part of these prompts that we give it, every individual developer that you have on your team,
[00:36:39.580 --> 00:36:41.580]   they can, like, put in their preferences, right?
