
[00:00:00.040 --> 00:00:09.600]   괜찮아
[00:03:58.020 --> 00:03:58.060]   Do you have any money or investments that's not represented in your house or in your retirement accounts?
[00:03:58.060 --> 00:03:58.060]   I do.
[00:03:58.060 --> 00:03:58.060]   I have, let's see, probably about $200,000 outside of that. 100 of it I've kind of earmarked for college savings. And I've already probably have about $30,000 in 529.
[00:03:58.060 --> 00:03:58.060]   So I have about $300,000 in 529.
[00:03:58.060 --> 00:03:58.060]   So I have about $300,000 in 529.
[00:03:58.060 --> 00:03:58.060]   So I have about $300,000 in 529.
[00:03:58.060 --> 00:03:58.060]   So I have about $300,000 in 529.
[00:03:58.060 --> 00:03:58.060]   So I have about $300,000 in 529.
[00:03:58.060 --> 00:03:58.060]   So I have about $300,000 in 529. So I have about $300,000 in 529.
[00:03:58.100 --> 00:04:06.340]   e
[00:04:06.340 --> 00:04:09.520]  'm,
[00:04:57.940 --> 00:04:57.940]   I'm,
[00:04:57.940 --> 00:04:58.020]   I'm,
[00:04:58.020 --> 00:04:58.020]   I'm,
[00:04:58.060 --> 00:05:28.040]  bew.com/biz.
[00:05:39.840 --> 00:05:58.060]   I'm,
[00:05:58.060 --> 00:05:58.060]   I'm,
[00:05:58.060 --> 00:05:58.060]   I'm,
[00:05:58.060 --> 00:05:58.080]   I'm,
[00:05:58.080 --> 00:05:58.080]   I'm,
[00:05:58.120 --> 00:06:01.760]   understand
[00:06:01.760 --> 00:06:26.820]   over within
[00:06:55.720 --> 00:06:55.720]   I
[00:06:55.720 --> 00:06:55.720]   I
[00:06:55.720 --> 00:06:55.720]   I
[00:06:55.720 --> 00:06:55.720]   I I
[00:07:24.580 --> 00:07:31.840]   manage
[00:07:31.840 --> 00:07:38.600]   attend the actually лет
[00:07:38.600 --> 00:07:51.760]   lead. I'm deemed at the, I, I, I, I, go. I, X. gathering E.J.G.G.G. gap buy
[00:07:51.760 --> 00:07:53.300]   winter 1,
[00:07:53.600 --> 00:07:59.480]  nez
[00:07:59.480 --> 00:08:22.200]   E Z -- chem find. This, co, النut, subtract the thing that I would be a Falcon I will the it's the test the giàostenав grandchildren conGLN I'm_帶--N--C-- wins--P--G--G--R-- -- made-- wanted- Eisen-- but--ёл- Orion- all- ch- talk- among- blind- at- small-ni- go - all- down- not- ah-- was- ah- Loren- taken- thank- or-€- good- saber- custom- work- op- T. 100- war- car- con- e. tö-ün- we', the check- Bol- 진-après-bru- Arch-iera- vis- correspond- won- i-
[00:08:22.280 --> 00:08:25.740]   become
[00:08:25.740 --> 00:08:50.080]   never cosa oh,,,,经
[00:08:50.880 --> 00:08:58.140]   cost. But I love this h
[00:08:58.140 --> 00:09:00.780]   the perfect location. So
[00:09:00.780 --> 00:09:00.820]   that's on my radar now. S
[00:09:00.820 --> 00:09:11.820]   are not financially indep
[00:09:11.820 --> 00:09:14.820]   you never have to work ag
[00:09:14.820 --> 00:09:14.860]   life. But I don't use tha
[00:09:14.860 --> 00:09:19.480]   I use that as a nice kind
[00:09:19.480 --> 00:09:19.480]   end of the road. I don't
[00:09:19.480 --> 00:09:19.480]   use that as a nice kind
[00:09:19.480 --> 00:09:19.480]   end of the road. I don't
[00:09:19.480 --> 00:09:19.480]   use that as a nice kind of
[00:09:19.480 --> 00:09:19.480]   use that as a nice kind of end of the road. I use that as
[00:09:20.400 --> 00:09:48.100]  , of the road. I use that as
[00:09:48.100 --> 00:09:48.100]   of the road. I use that as a nice kind of end benchmark. But
[00:09:48.100 --> 00:09:48.180]   a nice kind of end benchmark. But
[00:09:48.180 --> 00:09:49.100]   a nice kind of end benchmark. But I consider you to be financially
[00:09:49.100 --> 00:09:49.140]   I consider you to be financially
[00:09:49.140 --> 00:09:49.140]   I consider you to be financially independent at this point in time. And
[00:09:49.140 --> 00:09:49.180]   independent at this point in time. And
[00:09:49.180 --> 00:10:18.920]   I consider you to be financially independent at this point in time. And I'm not sure if you
[00:10:18.920 --> 00:10:18.920]   independent at this point in time. And I'm not sure if you
[00:10:18.920 --> 00:10:18.920]   independent at this point in time. And I'm not sure if you are going to be a good
[00:10:18.920 --> 00:10:18.920]   independent at this point in time. And I'm not sure if you are going to be a good
[00:10:18.920 --> 00:10:18.920]   independent at this point in time. And I'm not sure if you are going to be a good
[00:10:18.920 --> 00:10:18.920]   independent at this point in time. And I'm not sure if you are going to be a good
[00:10:18.920 --> 00:10:18.920]   independent at this point in time. And I'm not sure if you are going to be a good
[00:10:18.940 --> 00:10:48.580]   The vast majority of U.S. American household have nothing saved and have nothing saved for retirement. You're a millionaire, you have a lot saved. And so you should start thinking like a millionaire thinking like someone who has a lot saved. Pretend today that you never saved any more money for retirement and you just started with what you have right now. So let's put that into a financial calculator to $800,000 of investments currently. I'm going to change it to negative. I can't run a calculator these days. But I'm going to start thinking like a millionaire thinking like someone who has a lot saved. Pretend today that you never saved any more money for retirement and you just started with what you have right now. So let's put that into a financial calculator to $800,000 of investments currently. I'm going to change it to negative. I'm going to change it to negative. I can't run a calculator these days. But I'm not sure if you are going to be a good
[00:10:48.620 --> 00:10:58.680]   bad
[00:10:58.680 --> 00:11:01.860]  , llam the is in Mo M 2021 write,,,,,,, head SCHN IN P conson선 Perd inc
[00:11:01.860 --> 00:11:07.940]   be
[00:11:17.400 --> 00:11:27.200]   goodbye
[00:11:27.200 --> 00:11:27.840]  ,
[00:11:27.840 --> 00:11:44.640]   L I lot Unbelievable
[00:11:46.220 --> 00:11:53.520]   And
[00:11:53.520 --> 00:12:15.880]   Plus M in the
[00:12:16.240 --> 00:12:27.040]   the
[00:12:27.040 --> 00:12:41.960]   we, ,,, even into Prim those B Nin S Tr educación gener golden não Bar, or, they, is, 'G, ', ', ',,,,,,,,,,,,,,,,,, Focus i'm in the day and the end the next 500 lake in the
[00:12:41.960 --> 00:12:44.040]   III the end of the tricky the
[00:12:44.080 --> 00:12:54.160]   I
[00:12:54.160 --> 00:13:11.320]   measure measure, .,
[00:13:13.080 --> 00:13:22.160]   And then suddenly our expenses are more like $4,000 a month.
[00:13:22.160 --> 00:13:31.280]   And we go on and do work that we love to earn that 4,000, not ever touching that nest egg until later down the road.
[00:13:31.280 --> 00:13:32.900]   Yeah, that's what I would do.
[00:13:32.900 --> 00:13:34.340]   I would add one more wrinkle.
[00:13:34.340 --> 00:13:39.140]   I think you should think for, I think you should consider things in two ways.
[00:13:39.140 --> 00:13:42.080]   First, I think that you should think of things in terms
[00:13:42.080 --> 00:13:42.080]   of this 20 year time.
[00:13:42.080 --> 00:13:42.080]   The 20 year time is a very important time for you.
[00:13:42.080 --> 00:13:42.080]   The 20 year time is a very important time for you.
[00:13:42.080 --> 00:13:42.080]   The 20 year time is a very important time for you.
[00:13:42.080 --> 00:13:42.080]   The 20 year time is a very important time for you.
[00:13:42.080 --> 00:13:42.080]   The 20 year time is a very important time for you.
[00:13:42.080 --> 00:13:42.080]   The 20 year time is a very important time for you.
[00:13:42.080 --> 00:13:42.080]   The 20 year time is a very important time for you.
[00:13:43.060 --> 00:14:12.100]   The 20 year time is a very important time for you.
[00:14:12.100 --> 00:14:12.100]   The 20 year time is a very important time for you.
[00:14:12.100 --> 00:14:12.100]   The 20 year time is a very important time for you.
[00:14:12.100 --> 00:14:12.100]   The 20 year time is a very important time for you.
[00:14:12.100 --> 00:14:12.100]   The 20 year time is a very important time for you.
[00:14:12.120 --> 00:14:42.120]   The 20 year time is a very important time for you.
[00:14:42.120 --> 00:14:42.120]   The 20 year time is a very important time for you.
[00:14:42.120 --> 00:14:42.120]   The 20 year time is a very important time for you.
[00:14:42.120 --> 00:14:42.120]   The 20 year time is a very important time for you.
[00:14:42.120 --> 00:14:42.120]   The 20 year time is a very important time for you.
[00:14:42.120 --> 00:14:42.120]   The 20 year time is a very important time for you.
[00:14:42.120 --> 00:14:42.120]   The 20 year time is a very important time for you.
[00:14:42.120 --> 00:14:42.120]   The 20 year time is a very important time for you.
[00:14:42.120 --> 00:14:42.120]   The 20 year time is a very important time for you.
[00:14:42.120 --> 00:14:42.120]   The 20 year time is a very important time for you.
[00:14:42.120 --> 00:14:42.120]   The 20 year time is a very important time for you.
[00:14:42.120 --> 00:14:42.120]   The 20 year time is a very important time for you.
[00:14:42.120 --> 00:14:42.120]   The 20 year time is a very important time for you.
[00:14:42.120 --> 00:14:42.120]   The 20 year time is a very important time for you.
[00:14:42.120 --> 00:14:42.120]   The 20 year time is a very important time for you.
[00:14:42.120 --> 00:15:12.140]   The 20 year time is a very important time for you.
[00:15:12.140 --> 00:15:12.140]   The 20 year time is a very important time for you.
[00:15:12.140 --> 00:15:12.140]   The 20 year time is a very important time for you.
[00:15:12.140 --> 00:15:12.140]   The 20 year time is a very important time for you.
[00:15:12.140 --> 00:15:12.140]   The 20 year time is a very important time for you.
[00:15:12.140 --> 00:15:12.140]   The 20 year time is a very important time for you.
[00:15:12.140 --> 00:15:12.140]   The 20 year time is a very important time for you.
[00:15:12.160 --> 00:15:42.160]   The 20 year time is a very important time for you.
[00:15:42.160 --> 00:15:42.160]   The 20 year time is a very important time for you.
[00:15:42.160 --> 00:15:42.160]   The 20 year time is a very important time for you.
[00:15:42.160 --> 00:15:42.160]   The 20 year time is a very important time for you.
[00:15:42.160 --> 00:15:42.160]   The 20 year time is a very important time for you.
[00:15:42.160 --> 00:15:42.160]   The 20 year time is a very important time for you.
[00:15:42.160 --> 00:15:42.160]   The 20 year time is a very important time for you.
[00:15:42.160 --> 00:15:42.160]   The 20 year time is a very important time for you.
[00:15:42.160 --> 00:15:42.160]   The 20 year time is a very important time for you.
[00:15:42.160 --> 00:15:42.160]   The 20 year time is a very important time for you.
[00:15:42.160 --> 00:15:42.160]   The 20 year time is a very important time for you.
[00:15:42.160 --> 00:15:42.160]   The 20 year time is a very important time for you.
[00:15:42.160 --> 00:15:42.160]   The 20 year time is a very important time for you.
[00:15:42.160 --> 00:15:42.160]   The 20 year time is a very important time for you.
[00:15:42.160 --> 00:15:42.160]   The 20 year time is a very important time for you.
[00:15:42.160 --> 00:16:12.180]   The 20 year time is a very important time for you.
[00:16:12.180 --> 00:16:12.180]   The 20 year time is a very important time for you.
[00:16:12.180 --> 00:16:12.180]   The 20 year time is a very important time for you.
[00:16:12.180 --> 00:16:12.180]   The 20 year time is a very important time for you.
[00:16:12.180 --> 00:16:12.180]   The 20 year time is a very important time for you.
[00:16:12.180 --> 00:16:12.180]   The 20 year time is a very important time for you.
[00:16:12.180 --> 00:16:12.180]   The 20 year time is a very important time for you.
[00:16:12.180 --> 00:16:12.180]   The 20 year time is a very important time for you.
[00:16:12.220 --> 00:16:22.560]  �
[00:16:22.560 --> 00:16:23.820]   descend,,,
[00:16:23.820 --> 00:16:28.600]   Smells D. D. de, traffic, w,,,,,,,�
[00:17:39.400 --> 00:17:41.400]  's
[00:17:41.400 --> 00:17:50.780]   it of
[00:18:07.540 --> 00:18:09.540]   continues
[00:18:09.540 --> 00:18:31.620]  那麼 evening,,,,".
[00:18:31.620 --> 00:18:36.960]   Sil I is notche. I is not Final. I is a . . . . . . . . . . . . . . ., ., I am ., i show godt-- also,ographerDC, and, mountaine, tall, less, shield,ог,inin, tang, salut while, caut Nh cie,
[00:18:37.080 --> 00:19:07.060]   conduct
[00:19:37.160 --> 00:19:46.420]   laps
[00:19:46.420 --> 00:20:01.380]   gather the,,, knead
[00:20:06.440 --> 00:20:35.720]   No.
[00:20:35.720 --> 00:20:35.720]   that you can't do it.
[00:20:35.720 --> 00:20:35.720]   The thing that I'm saying is that
[00:20:35.720 --> 00:20:35.720]   is that I'm saying is that
[00:20:35.720 --> 00:20:35.720]   is that I'm saying is that
[00:20:35.720 --> 00:20:35.720]   is that I'm saying is that
[00:20:35.720 --> 00:20:35.720]   is that I'm saying is that
[00:20:35.720 --> 00:20:35.740]   is that I'm saying is that you can't do it.
[00:20:35.740 --> 00:20:35.800]   you can't do it.
[00:20:35.800 --> 00:20:35.920]   you can't do it.
[00:20:35.920 --> 00:20:36.020]   you can't do it. So this is a huge pet peeve of mine.
[00:20:36.020 --> 00:20:36.060]   So this is a huge pet peeve of mine.
[00:20:36.060 --> 00:20:36.120]   You'll hear me talk about it all the time.
[00:20:36.120 --> 00:21:05.860]  , You'll hear me talk about it all the time.
[00:21:05.860 --> 00:21:05.900]   you'll hear me talk about it all the time.
[00:21:05.900 --> 00:21:05.960]   I'm not saying that you can't do it.
[00:21:05.960 --> 00:21:06.020]   I'm not saying that you can't do it.
[00:21:06.020 --> 00:21:06.120]   I'm not saying that you can't do it.
[00:21:06.120 --> 00:21:06.140]   I'm not saying that you can't do it.
[00:21:06.140 --> 00:21:06.140]   I'm not saying that you can't do it.
[00:21:06.140 --> 00:21:06.140]   I'm not saying that you can't do it.
[00:21:06.140 --> 00:21:06.140]   I'm not saying that you can't do it.
[00:21:06.140 --> 00:21:06.140]   I'm not saying that you can't do it.
[00:21:06.140 --> 00:21:06.140]   I'm not saying that you can't do it.
[00:21:06.140 --> 00:21:06.140]   I'm not saying that you can't do it.
[00:21:06.140 --> 00:21:06.140]   I'm not saying that you can't do it.
[00:21:06.140 --> 00:21:06.140]   I'm not saying that you can't do it.
[00:21:06.140 --> 00:21:06.140]   I'm not saying that you can't do it.
[00:21:06.160 --> 00:21:36.160]   I'm not saying that you can't do it.
[00:21:36.160 --> 00:21:36.160]   I'm not saying that you can't do it.
[00:21:36.160 --> 00:21:36.160]   I'm not saying that you can't do it.
[00:21:36.160 --> 00:21:36.160]   I'm not saying that you can't do it.
[00:21:36.160 --> 00:21:36.160]   I'm not saying that you can't do it.
[00:21:36.160 --> 00:21:36.160]   I'm not saying that you can't do it.
[00:21:36.160 --> 00:21:36.160]   I'm not saying that you can't do it.
[00:21:36.160 --> 00:21:36.160]   I'm not saying that you can't do it.
[00:21:36.160 --> 00:21:36.160]   I'm not saying that you can't do it.
[00:21:36.160 --> 00:21:36.160]   I'm not saying that you can't do it.
[00:21:36.160 --> 00:21:36.160]   I'm not saying that you can't do it.
[00:21:36.160 --> 00:21:36.160]   I'm not saying that you can't do it.
[00:21:36.160 --> 00:21:36.160]   I'm not saying that you can't do it.
[00:21:36.160 --> 00:21:36.160]   I'm not saying that you can't do it.
[00:21:36.160 --> 00:21:36.160]   I'm not saying that you can't do it.
[00:21:36.160 --> 00:21:36.160]   I'm not saying that you can't do it.
[00:21:36.160 --> 00:22:06.180]  ,
[00:22:06.180 --> 00:22:06.180]   So figure out how to earn enough money
[00:22:06.180 --> 00:22:06.180]   So figure out how to earn enough money
[00:22:06.180 --> 00:22:06.180]   for your health insurance.
[00:22:06.180 --> 00:22:06.180]   So figure out how to earn enough money
[00:22:06.180 --> 00:22:06.180]   for your health insurance.
[00:22:06.180 --> 00:22:06.180]   So figure out how to earn enough money
[00:22:06.180 --> 00:22:06.180]   for your health insurance.
[00:22:06.180 --> 00:22:06.180]   So figure out how to earn enough money for your health insurance.
[00:22:06.180 --> 00:22:06.180]   So figure out how to earn enough money for your health insurance.
[00:22:06.180 --> 00:22:06.180]   So figure out how to earn enough money for your health insurance.
[00:22:06.180 --> 00:22:06.180]   So figure out how to earn enough money for your health insurance.
[00:22:06.200 --> 00:22:36.200]   So figure out how to earn enough money for your health insurance.
[00:22:36.200 --> 00:22:36.200]   So figure out how to earn enough money for your health insurance.
[00:22:36.200 --> 00:22:36.200]   So figure out how to earn enough money for your health insurance.
[00:22:36.200 --> 00:22:36.200]   So figure out how to earn enough money for your health insurance.
[00:22:36.200 --> 00:22:36.200]   So figure out how to earn enough money for your health insurance.
[00:22:36.200 --> 00:22:36.200]   So figure out how to earn enough money for your health insurance.
[00:22:36.200 --> 00:22:36.200]   So figure out how to earn enough money for your health insurance.
[00:22:36.200 --> 00:22:36.200]   So figure out how to earn enough money for your health insurance.
[00:22:36.200 --> 00:22:36.200]   and build your lifestyle first, and build your lifestyle first.
[00:22:36.200 --> 00:22:36.200]   I can't do that. I can do that. I can do that. No, this is valuable. Thank you so much. Begin and build from a place of strength you are now financially independent.
[00:22:36.200 --> 00:22:36.200]   and now financially independent.
[00:22:36.240 --> 00:23:06.220]  , and from now going forward you will have increasing levels of financial independence. But don't buy into this lie that the financial advice industry says that you have to have your $3 million now to be financially independent. You are now financially independent. Even if you just earn $30,000 a year for the next five years and your wife quit her work and she came home and did nothing productive that
[00:23:06.220 --> 00:23:06.220]   and your wife quit her work and she came home and did nothing productive that she could do for the next five years.
[00:23:06.220 --> 00:23:06.220]   So figure out how to earn enough money for your health insurance.
[00:23:06.240 --> 00:23:36.240]   So figure out how to earn enough money for your health insurance.
[00:23:36.240 --> 00:23:36.240]   That brought no financial benefit to the family.
[00:23:36.240 --> 00:23:36.240]   That brought no financial benefit to the family.
[00:23:36.240 --> 00:23:36.240]   That brought no financial benefit to the family.
[00:23:36.240 --> 00:23:36.240]   That brought no financial benefit to the family.
[00:23:36.240 --> 00:23:36.240]   That brought no financial benefit to the family.
[00:23:36.240 --> 00:23:36.240]   for the next five years you took $20,000 per year out of your savings so that you could spend your $50,000 a year.
[00:23:36.240 --> 00:23:36.240]   Even if you did that, that would be fine. You could do that if that was what you chose to do.
[00:23:36.240 --> 00:23:36.240]   And you wouldn't be stupid. You've saved this money for a purpose. So break it out into reasonable thoughtful life stages that actually matter versus this monolithic "I'm either working or I'm retired"
[00:23:36.240 --> 00:23:36.240]   doesn't that
[00:23:36.280 --> 00:24:06.260]  , but that's what I meant.
[00:24:06.260 --> 00:24:06.260]   But that's what I meant.
[00:24:06.260 --> 00:24:06.260]   That's what I meant.
[00:24:06.260 --> 00:24:06.260]   but that's what I meant.
[00:24:06.260 --> 00:24:06.260]   Richard in Virginia, welcome to Radical Personal Finance. How can I serve you today?
[00:24:06.260 --> 00:24:06.260]   Hey, Joshua, first-time caller, long-time listener. I'm a retirement plan administrator by day and a husband and a father by night. I'm in the beginning stages of trying to redo my life insurance and I do have about 1.5 million dollars
[00:24:06.260 --> 00:24:06.260]   I'm in the beginning stages of trying to redo my life insurance and I do have about 1.5 million dollars
[00:24:06.260 --> 00:24:06.260]   and I do have about 1.5 million dollars
[00:24:06.260 --> 00:24:06.260]   and I do have about 1.5 million dollars
[00:24:06.260 --> 00:24:06.260]   and I do about 1.5 million dollars in the beginning stages of trying to do a life insurance and I do about 1.5 million dollars.
[00:24:06.280 --> 00:24:16.480]   I do have a young child who's three years old and I haven't redone my insurance since she was born.
[00:24:16.480 --> 00:24:16.520]   and I do have a young child who's three years old and I haven't redone my insurance since she was born.
[00:24:16.520 --> 00:24:23.780]   And my specific question is I already have an existing relationship with an agent,
[00:24:23.780 --> 00:24:23.800]   And my specific question is I already have an existing relationship with an agent,
[00:24:23.800 --> 00:24:24.520]   And my specific question is I already have an existing relationship with an agent,
[00:24:24.520 --> 00:24:31.580]   but he is not able to give me any quotes with any of the mutual insurance companies, to my knowledge.
[00:24:31.580 --> 00:24:36.280]   And just due to my position with my employer, I've had the opportunity to work with a lot of people
[00:24:36.280 --> 00:24:36.280]   And just due to my position with my employer, I've had the opportunity to work with a lot of people
[00:24:36.320 --> 00:25:06.300]  ,
[00:25:06.300 --> 00:25:06.300]   I've had the opportunity to work with a lot of people
[00:25:06.300 --> 00:25:06.300]   and I've had the opportunity to informally interview several financial advisors just by way of the company to see what they offer to our executives,
[00:25:06.300 --> 00:25:06.300]   But I haven't necessarily taken the personal step forward to contacting some of those agents who happen to work for the mutual insurance companies if you will.
[00:25:06.300 --> 00:25:06.300]   And after listening to several of your old podcasts on life insurance and with your particular work experience background, I was wondering if you could talk about the future of life insurance and what you would do with it.
[00:25:06.300 --> 00:25:06.300]   And after listening to several of your old podcasts on life insurance and what you would do with it.
[00:25:06.300 --> 00:25:06.300]   And after listening to several of your old podcasts on life insurance and what you would do with it.
[00:25:06.300 --> 00:25:06.300]   I was wondering if you could talk about the future of life insurance and what you would do with your personal life insurance and what you would do with your personal work experience background.
[00:25:06.320 --> 00:25:36.320]   I was wondering if you could talk about the future of life insurance and what you would do with your personal life experience background.
[00:25:36.320 --> 00:25:36.320]   I was wondering if you could talk about the future of life insurance and what you would do with your personal life experience background.
[00:25:36.320 --> 00:25:36.320]   I was wondering if you could talk about the future of life insurance and what you would do with your personal life experience background.
[00:25:36.320 --> 00:25:36.320]   I was wondering if you could talk about the future of life insurance and what you would do with your personal life experience background.
[00:25:36.320 --> 00:25:36.320]   I was wondering if you could talk about the future of life insurance and what you would do with your personal life experience background.
[00:25:36.320 --> 00:25:36.320]   I was wondering if you could talk about the future of life insurance and what you would do with your personal life experience background.
[00:25:36.320 --> 00:25:36.320]   I was wondering if you could talk about the future of life insurance and what you would do with your personal life experience background.
[00:25:36.320 --> 00:25:36.320]   I was wondering if you could talk about the future of life insurance and what you would do with your personal life experience background.
[00:26:06.340 --> 00:26:06.340]   I was wondering if you could talk about the future of life insurance and what you would do with your personal life experience background.
[00:26:06.340 --> 00:26:06.340]   I was wondering if you could talk about the future of life insurance and what you would do with your personal life experience background.
[00:26:06.340 --> 00:26:06.340]   I was wondering if you could talk about the future of life insurance and what you would do with your personal life experience background.
[00:26:06.340 --> 00:26:06.340]   I was wondering if you could talk about the future of life insurance and what you would do with your personal life experience background.
[00:26:06.340 --> 00:26:06.340]   I was wondering if you could talk about the future of life insurance and what you would do with your personal life experience background.
[00:26:06.340 --> 00:26:06.340]   I was wondering if you could talk about the future of life insurance and what you would do with your personal life experience background.
[00:26:36.360 --> 00:26:36.360]   I was wondering if you could talk about the future of life insurance and what you would do with your personal life experience background.
[00:26:36.360 --> 00:26:36.360]   I was wondering if you could talk about the future of life insurance and what you would do with your personal life experience background.
[00:26:36.360 --> 00:26:36.360]   I was wondering if you could talk about the future of life insurance and what you would do with your personal life experience background.
[00:26:36.360 --> 00:26:36.360]   I was wondering if you could talk about the future of life insurance and what you would do with your personal life experience background.
[00:26:36.360 --> 00:26:36.360]   I was wondering if you could talk about the future of life insurance and what you would do with your personal life experience background.
[00:26:36.360 --> 00:26:36.360]   I was wondering if you could talk about the future of life insurance and what you would do with your personal life insurance background.
[00:26:36.360 --> 00:26:36.360]   I was wondering if you could talk about the future of life insurance and what you would do with your personal life insurance background.
[00:26:36.360 --> 00:26:36.360]   I was wondering if you could talk about the future of life insurance and what you would do with your personal life insurance.
[00:26:36.400 --> 00:27:06.380]  ,
[00:27:06.380 --> 00:27:06.380]   I was wondering if you could talk about the future of life insurance and what you would do with your personal life insurance background.
[00:27:06.380 --> 00:27:06.380]   I was wondering if you could talk about the future of life insurance and what you would do with your personal life insurance background.
[00:27:06.380 --> 00:27:06.380]   I was wondering if you could talk about the future of life insurance and what you would do with your personal life insurance background.
[00:27:06.380 --> 00:27:06.380]   I was wondering if you could talk about the future of life insurance and what you would do with your personal life insurance background.
[00:27:06.380 --> 00:27:06.380]   I was wondering if you could talk about the future of life insurance and what you would do with your personal life insurance background.
[00:27:06.380 --> 00:27:06.380]   I was wondering if you could talk about the future of life insurance and what you would do with your personal life insurance background.
[00:27:06.400 --> 00:27:36.400]   I was wondering if you could talk about the future of life insurance and what you would do with your personal life insurance background.
[00:27:36.400 --> 00:27:36.400]   I was wondering if you could talk about the future of life insurance and what you would do with your personal life insurance background.
[00:27:36.400 --> 00:27:36.400]   I was wondering if you could talk about the future of life insurance and what you would do with your personal life insurance background.
[00:27:36.400 --> 00:27:36.400]   I was wondering if you could talk about the future of life insurance and what you would do with your personal life insurance background.
[00:27:36.400 --> 00:27:36.400]   I was wondering if you could talk about the future of life insurance and what you would do with your personal life insurance background.
[00:27:36.400 --> 00:27:36.400]   I was wondering if you could talk about the future of life insurance and what you would do with your personal life insurance background.
[00:27:36.400 --> 00:27:36.400]   I was wondering if you could talk about the future of life insurance and what you would do with your personal life insurance background.
[00:27:36.400 --> 00:27:36.400]   I was wondering if you could talk about the future of life insurance and what you would do with your personal life insurance background.
[00:27:36.420 --> 00:28:06.420]   I was wondering if you could talk about the future of life insurance and what you would do with your personal life insurance background.
[00:28:06.420 --> 00:28:06.420]   I was wondering if you could talk about the future of life insurance and what you would do with your personal life insurance background.
[00:28:06.420 --> 00:28:06.420]   I was wondering if you could talk about the future of life insurance and what you would do with your personal life insurance background.
[00:28:06.420 --> 00:28:06.420]   I was wondering if you could talk about the future of life insurance and what you would do with your personal life insurance background.
[00:28:06.420 --> 00:28:06.420]   I was wondering if you could talk about the future of life insurance and what you would do with your personal life insurance background.
[00:28:06.420 --> 00:28:06.420]   I was wondering if you could talk about the future of life insurance and what you would do with your personal life insurance background.
[00:28:06.460 --> 00:28:36.440]  ,
[00:28:36.440 --> 00:28:36.440]   I was wondering if you could talk about the future of life insurance and what you would do with your personal life insurance background.
[00:28:36.440 --> 00:28:36.440]   I was wondering if you could talk about the future of life insurance and what you would do with your personal life insurance background.
[00:28:36.440 --> 00:28:36.440]   I was wondering if you could talk about the future of life insurance and what you would do with your personal life insurance background.
[00:28:36.440 --> 00:28:36.440]   I was wondering if you could talk about the future of life insurance and what you would do with your personal life insurance background.
[00:28:36.440 --> 00:28:36.440]   I was wondering if you could talk about the future of life insurance and what you would do with your personal life insurance background.
[00:28:36.440 --> 00:28:36.440]   I was wondering if you could talk about the future of life insurance and what you would do with your personal life insurance background.
[00:28:36.440 --> 00:28:36.440]   I was wondering if you could talk about the future of life insurance and what you would do with your personal life insurance background.
[00:28:36.460 --> 00:29:06.460]   I was wondering if you could talk about the future of life insurance and what you would do with your personal life insurance background.
