
[00:00:00.000 --> 00:00:05.060]   You've been saving, optimizing, and doing all the right things, but what if putting life off
[00:02:23.160 --> 00:02:27.000]   daughters might not want to hang out with us. But right now, they think we're the coolest people in the
[00:02:27.000 --> 00:02:32.180]   world. And we were just brainstorming what we should do because of that. Like it was just timely because
[00:02:32.180 --> 00:02:36.260]   I mentioned that we were talking today. It's like, how do we take advantage of the fact doesn't have to
[00:02:36.260 --> 00:02:41.680]   be today. But like, we've got an expiring window where our children think we're awesome and want to
[00:02:41.680 --> 00:02:47.400]   hang out with us. And when I was in high school, I wasn't like, Oh, I want to just go spend every waking
[00:02:47.400 --> 00:02:52.520]   moment with my parents. But my kids do right now. Yeah, things change. And I think there's some that we know
[00:02:52.520 --> 00:02:57.700]   will change. We can anticipate this might be different. But then honestly, there's things in
[00:02:57.700 --> 00:03:03.740]   life that you didn't know it had an expiration date. You know, your spouse gets MS. And you were like,
[00:03:03.740 --> 00:03:09.280]   I didn't know that like hiking Montju Pichu had an expiration date that was coming up in five years,
[00:03:09.280 --> 00:03:14.540]   someone passes away. And so I think by being intentional of like, what if we just took a little
[00:03:14.540 --> 00:03:21.360]   break? Every three years, every five years, we took a month off or six months off. And we leaned
[00:03:21.360 --> 00:03:26.080]   into the things that might pass us by if we try to wait on it.
[00:03:26.080 --> 00:03:31.020]   So we're going to get into how do you do this? Why is it not just for the super wealthy, like why this
[00:03:31.020 --> 00:03:35.760]   could be for anyone in different ways and shapes. But first, I just want to understand how would you
[00:03:35.760 --> 00:03:37.600]   define a mini retirement?
[00:03:37.600 --> 00:03:44.080]   So for me, a mini retirement has three elements. The first one is a month or longer. I feel like a
[00:03:44.080 --> 00:03:48.780]   month is kind of the minimum effective dose. The second one is stepping away from your primary
[00:03:48.780 --> 00:03:53.740]   career, stepping away from your nine to five. So for a lot of people, it does look like a big adventure
[00:03:53.740 --> 00:03:59.620]   or travel or hobbies or family. But for some people, it can be a professional pivot or starting a side
[00:03:59.620 --> 00:04:04.180]   hustle or just doing something really different volunteering. The third one is to focus on something
[00:04:04.180 --> 00:04:06.720]   that matters to you, something that's meaningful.
[00:04:06.720 --> 00:04:11.820]   And can you partially step away? I'm just thinking out loud like, oh, what if we decided
[00:04:11.820 --> 00:04:17.460]   to make the podcast every other week for three months next summer? Would that count? Because I'm
[00:04:17.460 --> 00:04:21.200]   still working, but not really as much.
[00:04:21.200 --> 00:04:28.880]   So everyone can just, you know, use whatever term they want that fits their prerogative. I do for
[00:04:28.880 --> 00:04:32.820]   self-employed people, I in the book, I have a whole chapter just for self-employed because it's a whole
[00:04:32.820 --> 00:04:39.980]   different bear. But I do encourage people for your first one, maybe start with 10% of the work you
[00:04:39.980 --> 00:04:48.400]   normally do. Because going to 0% is actually for most self-employed people more stressful than doing
[00:04:48.400 --> 00:04:55.260]   10%. So if you normally work 50 hours, like just dedicate an hour a day, five days a week to make
[00:04:55.260 --> 00:05:00.800]   sure nothing's burned down, to do the most critical tasks. Because for a lot of self-employed people,
[00:05:00.800 --> 00:05:07.740]   that little check-in actually allows them to pivot, to go out and have fun for the day and to relax and
[00:05:07.740 --> 00:05:12.740]   be more fully present in their time off. And what kind of impact broadly do you think taking multiple
[00:05:12.740 --> 00:05:18.020]   retirements throughout your life has on your time, your money, your energy? How does it affect those
[00:05:18.020 --> 00:05:23.920]   things? I try to make a case in the book. I think for a lot of people, the personal life one makes
[00:05:23.960 --> 00:05:28.700]   sense. Yeah, I can focus on my health. I can focus on my relationships. I can develop hobbies. Like I can
[00:05:28.700 --> 00:05:35.680]   take care of myself. That is intuitive. What's a little counterintuitive is it can have a massive
[00:05:35.680 --> 00:05:42.940]   positive impact on your financial trajectory and on your career trajectory. So if you're a little bit
[00:05:42.940 --> 00:05:49.880]   strategic of how you time these, of how you use your mini retirements, all three of those areas of
[00:05:49.880 --> 00:05:55.760]   your life can be massively improved by taking consistent mini retirements.
[00:05:55.760 --> 00:06:00.200]   So I think the biggest objection that's coming to my head, and we can talk about others,
[00:06:00.200 --> 00:06:05.760]   is like, okay, well, you want me to stop having income and I haven't yet saved up enough money to
[00:06:05.760 --> 00:06:10.240]   stop working. And now what I just heard you say is, well, actually you might have more money by not
[00:06:10.240 --> 00:06:13.820]   working. I was going to talk about this later, but like, let's just jump right into that now.
[00:06:13.820 --> 00:06:15.000]   How is that possible?
[00:06:15.380 --> 00:06:22.060]   So there's a couple factors at play. One big one for a lot of people, your largest raise and your biggest
[00:06:22.060 --> 00:06:31.140]   promotion comes when you switch companies. It's not with your current employer. So if you're 25, 30, 35,
[00:06:31.140 --> 00:06:38.140]   and kind of mapping out your career, if you were like, what if every five years, I decided to switch
[00:06:38.140 --> 00:06:44.200]   companies, I take a month off, I take three months off in between, and then I find my next job that might
[00:06:44.200 --> 00:06:50.820]   massively increase your lifetime earning potential. Because with each of those bumps up, it carries
[00:06:50.820 --> 00:06:57.180]   forward for decades. A good example of this. I had a friend who took a mini retirement, took a year off.
[00:06:57.180 --> 00:07:03.220]   He came back to a 50% increase at his next job, which you're like, oh my gosh, that's amazing. That
[00:07:03.220 --> 00:07:10.300]   sounds so cool. It was because he had worked as previous employer for 15 years, which meant for a
[00:07:10.300 --> 00:07:16.500]   lot of years, he was being undercompensated. He was not at market value. His market value was 150%
[00:07:16.500 --> 00:07:23.200]   clearly. And so I'm kind of a numbers geek. So if let's say for eight of those years, he was
[00:07:23.200 --> 00:07:27.920]   undercompensated. Well, that's $400,000. Let's say his year off cost him a hundred thousand.
[00:07:27.920 --> 00:07:35.420]   He would still be $300,000 ahead if he would have taken consistent mini retirements. So by the time he
[00:07:35.420 --> 00:07:41.900]   was 65, I don't know, a million dollars, $2 million ahead. Like he left so much money on the table
[00:07:41.900 --> 00:07:46.800]   by being quote unquote, loyal to his employer.
[00:07:46.800 --> 00:07:53.920]   Now to take the contrarian take, if every five years he had switched jobs and never taken a mini
[00:07:53.920 --> 00:07:59.000]   retirement, he would probably be even more ahead financially speaking only, right?
[00:07:59.000 --> 00:08:06.420]   Well, I think personal life, by having those consistent breaks, a mini retirement can be almost
[00:08:06.420 --> 00:08:11.900]   like a capital investment into your personal life. I took a mini retirement in my late twenties. I took
[00:08:11.900 --> 00:08:19.800]   a month off and I did intensive inpatient therapy, like six hours of therapy a day. It was like a full
[00:08:19.800 --> 00:08:26.300]   house renovation. Now I've done a live-in renovation where like you do it real slowly in the middle of
[00:08:26.300 --> 00:08:31.580]   your regular life and it's so painful. But if you can just like renovate a house in a month, and then
[00:08:31.580 --> 00:08:37.200]   you're going to move back into like a fully finished house, much more preferable. And it was
[00:08:37.200 --> 00:08:44.280]   something that that was an investment of time and energy and money. But every year since, I've been
[00:08:44.280 --> 00:08:50.920]   able to build on those renovations that I did then it's benefited me in an ongoing way.
[00:08:50.920 --> 00:08:59.680]   I believe it. Like I think that I would be so much more professionally motivated and productive
[00:08:59.680 --> 00:09:04.220]   if I took a month off and just got all that punch list that's going on in my head of like
[00:09:04.220 --> 00:09:08.600]   all the things I need to do. But then I come back to your definition and I think, oh, wait,
[00:09:08.600 --> 00:09:12.540]   I need to focus on things that matter to me. I imagine if I took a month off and I was like,
[00:09:12.540 --> 00:09:17.160]   I'm going to use this time to focus on things that matter. But first I just got to get all this stuff
[00:09:17.160 --> 00:09:21.060]   done that I haven't been doing in the house, right? Like we want to clean up the storage room.
[00:09:21.060 --> 00:09:27.580]   We want to move the beds around. Like, is it possible that people do this and that punch list of stuff
[00:09:27.580 --> 00:09:33.520]   takes up their entire mini retirement? And how does that like mental overhead home project life
[00:09:33.520 --> 00:09:39.920]   project stuff fit into a mini retirement? One of two ways. It can take up your whole time. And if
[00:09:39.920 --> 00:09:44.240]   that's your goal and your intention, and that's what's meaningful, like, I feel like I'm drowning
[00:09:44.240 --> 00:09:49.580]   and I would rather not feel like I'm drowning every single day. I think that's a worthy goal.
[00:09:49.740 --> 00:09:55.600]   So a lot of people do get caught up on projects on life. I'm guilty of like, sometimes I have over a
[00:09:55.600 --> 00:10:01.760]   hundred tabs open on my phone and then it stops counting. It's just like a little smiley face.
[00:10:01.760 --> 00:10:07.320]   Sometimes you have too many tabs open and closing all those loops out does improve your quality of
[00:10:07.320 --> 00:10:12.360]   life going forward. For some people, it is finishing up a specific project. During one of my
[00:10:12.360 --> 00:10:17.460]   mini retirements, I decluttered and I went through the entire house. I touched every single item and got
[00:10:17.460 --> 00:10:22.840]   covered a 50% of our stuff. I had five little kids at the time, like massive benefit moving forward
[00:10:22.840 --> 00:10:28.580]   to not feel like I was living in a storage unit. So it can be really meaningful. But on the other side,
[00:10:28.580 --> 00:10:34.600]   I encourage people to pick maybe two or three intentions for their time off. Don't do all of
[00:10:34.600 --> 00:10:40.240]   them at the same time, but create kind of phases. And for a lot of people, that first phase is kind of a
[00:10:40.240 --> 00:10:48.620]   get caught up on life, recover from burnout, do some rest, just feel more at their baseline. And that can be a great
[00:10:48.620 --> 00:10:51.360]   way to start a mini retirement, especially the first two or three weeks.
[00:10:51.360 --> 00:10:56.620]   In the book, you outline these four steps. And so I'm going to drill on part of the first one, which is like, there's some
[00:10:56.620 --> 00:11:03.120]   filters for setting goals. How do you think about that goal setting for mini retirements? And maybe before that, what are some common
[00:11:03.120 --> 00:11:07.920]   types beyond the let's declutter or let's travel, which I assume are pretty common?
[00:11:07.920 --> 00:11:17.400]   Yeah. Extended travel, slow travel, super popular. It's stuff that can't fit into nights and weekends. Like you're not going to hike the Camino on a four day weekend.
[00:11:18.360 --> 00:11:46.660]   Or whether you just feel like realistically, it's not going to happen. Should it be able to happen? Cool. Yeah, maybe. About when I turned 40, I realized, oh, I have to take care of my 40 year old body different than my 23 year old body. It has like different requirements. Now it needs vegetables, I think. I don't know. I can't eat candy for breakfast. I was like, I need to figure this out. And it can be easy to be like, yes, while raising five kids and while running a business and while doing all these other things and all these other responsibilities,
[00:11:46.660 --> 00:12:05.440]   I should also learn an entire different way of feeding myself and moving my body. But I just couldn't. So taking some time off and being like, I'm going to do a deep dive. I'm going to reset all my habits. I'm going to reimagine how I care for myself was a really important investment into my future health.
[00:12:05.440 --> 00:12:27.060]   Like we talked about things that have an expiration date. For a lot of people that looks like recovering from burnout. Hard to do sometimes at nights and weekends. Time with people we love, hobbies, personal growth, you know, those dreams that we kind of gave up on because we thought, well, that's not going to be part of my life or that's not realistic.
[00:12:27.440 --> 00:12:46.280]   A mini retirement's a great opportunity to loop back around to that. I always thought I would do social dancing and then I just never did. So last year I took a month off to learn tango and it was amazing. I had so much fun, but sometimes, you know, you thought like I wanted to be in a band. You can start a band and play for a month in your garage. You can do a long hike.
[00:12:46.440 --> 00:12:52.940]   You can loop back around to those dreams that maybe you thought didn't fit into your life and you can give them a go.
[00:12:52.940 --> 00:13:07.740]   This episode is brought to you by Stable, which is a company that has really made my life better this year. And that's because Stable provides you or your business with a mailing address. You can send everything to, and they scan the mail forward packages, deposit checks, and more.
[00:13:07.980 --> 00:13:21.320]   It's really a full dashboard to manage all your physical mail online, and thousands of companies from Formation all the way to Fortune 500 use Stable to automate their mailroom and act as their permanent business address with the IRS, state, and any vendor.
[00:13:21.320 --> 00:13:33.260]   I also love it because you all know I care a lot about privacy, so I actually prefer not to share my personal info with every app or service that asks for a mailing address, so Stable has been incredible for that.
[00:13:33.460 --> 00:13:38.840]   Stable is so easy to use for you or your team, and it'll let you manage your mail from anywhere with a digital mailbox.
[00:13:38.840 --> 00:13:45.180]   And best of all, you can get 50% off your first 12 months at chrishutchins.com slash stable.
[00:13:45.180 --> 00:13:51.620]   That's 50% off your new digital mailbox at chrishutchins.com slash stable, or the link in the description.
[00:13:51.620 --> 00:13:57.580]   For people that hear this and they've got five, six ideas, they're like, well, I'd love to take a month to prioritize my health.
[00:13:57.580 --> 00:14:02.060]   I would love to take a month to spend time with my family, declutter the house.
[00:14:03.140 --> 00:14:09.540]   Obviously, you advocate taking lots of these throughout your life, but how should someone think about which one they should start with?
[00:14:09.540 --> 00:14:12.780]   Yeah, there are a couple ways I think about it.
[00:14:12.780 --> 00:14:17.280]   Starting with kind of what feels urgent and what feels important.
[00:14:17.280 --> 00:14:21.040]   Is there something that you're like, gosh, this has to be first?
[00:14:21.040 --> 00:14:22.360]   Like, I'm so burned out.
[00:14:22.360 --> 00:14:23.180]   I feel crispy.
[00:14:23.180 --> 00:14:25.200]   Yes, I want to maybe start a side hustle.
[00:14:25.200 --> 00:14:28.820]   Yes, I want to travel in Europe, but I feel so exhausted at the moment.
[00:14:29.040 --> 00:14:32.000]   I can't even muster the enthusiasm for those things.
[00:14:32.000 --> 00:14:33.980]   So something feels really urgent.
[00:14:33.980 --> 00:14:39.400]   Or, you know, it was like my mom got cancer and she feels great now, but we don't know what it's going to look like in 12 months.
[00:14:39.400 --> 00:14:42.980]   Like, let's front load those things that feel urgent.
[00:14:42.980 --> 00:14:45.260]   But there's a couple other ways to look at it.
[00:14:45.820 --> 00:14:55.300]   One, if let's say you have a bucket list of 20 different things and you're kind of early in your financial journey, you can front load the things that are more affordable.
[00:14:55.300 --> 00:15:02.940]   All 20 of those things might have a different price tag and it actually makes a big impact in your financial trajectory.
[00:15:02.940 --> 00:15:08.440]   I did a 10-week road trip to 10 national parks with my little kiddos in a pop-up camper.
[00:15:08.440 --> 00:15:10.200]   Super affordable trip.
[00:15:10.320 --> 00:15:14.440]   If I do want to do an around-the-world cruise with a bunch of friends, that one can wait.
[00:15:14.440 --> 00:15:15.440]   And that's the other thing.
[00:15:15.440 --> 00:15:20.560]   Front load the ones that maybe you need to be the most capable and the most healthy to do.
[00:15:20.560 --> 00:15:22.240]   Do them early.
[00:15:22.240 --> 00:15:24.280]   I've seen a lot of 70-year-olds on cruises.
[00:15:24.280 --> 00:15:25.960]   Like, they seem to be having a great time.
[00:15:25.960 --> 00:15:31.040]   If you want to hike the Appalachian Trail, like, maybe let's try that in like your 30s or 40s.
[00:15:31.040 --> 00:15:32.420]   Maybe you can do it at 80.
[00:15:32.600 --> 00:15:33.500]   Like, that'll be awesome.
[00:15:33.500 --> 00:15:35.880]   But you start to kind of roll the dice.
[00:15:35.880 --> 00:15:42.520]   So front load the things that you really want to do in this season, the things with expiration dates, the things that are more affordable.
[00:15:42.520 --> 00:15:49.700]   And if you know things have a high probability or a long shelf life, maybe push those a little bit further down.
[00:15:49.700 --> 00:15:50.420]   I love that.
[00:15:50.420 --> 00:16:02.500]   Are there things people should do to kind of design like a really impactful mini retirement, whether it's how they spend their days or just things that they should be thinking of in advance once they have their big goal in mind?
[00:16:02.700 --> 00:16:03.140]   Absolutely.
[00:16:03.140 --> 00:16:06.080]   This is something that you don't want to wing.
[00:16:06.080 --> 00:16:11.120]   A mini retirement is such a big investment of time and energy and money.
[00:16:11.120 --> 00:16:13.640]   But there can be this temptation to be like, you know what?
[00:16:13.640 --> 00:16:17.880]   All I need is to not be working and I will be peak happiness.
[00:16:17.880 --> 00:16:24.140]   And the reality is happiness can be one part reducing suffering and then one part adding joy.
[00:16:24.140 --> 00:16:27.000]   So we need to kind of focus on both sides.
[00:16:27.000 --> 00:16:30.480]   I really encourage people to kind of come up with a schedule.
[00:16:31.680 --> 00:16:32.680]   What is their ideal day?
[00:16:32.680 --> 00:16:33.960]   What is their ideal week?
[00:16:33.960 --> 00:16:40.980]   How could they structure that day and week to really optimize for whatever the goal is in that phase?
[00:16:40.980 --> 00:16:45.280]   And then do a weekly check-in and like, how is it going?
[00:16:45.280 --> 00:16:47.120]   Am I actually on track?
[00:16:47.120 --> 00:16:49.140]   Am I doing the things I said I would do?
[00:16:49.140 --> 00:16:51.180]   Am I doing the things I wanted to do?
[00:16:51.180 --> 00:16:53.420]   Do I need to pivot anything before next week?
[00:16:53.420 --> 00:16:56.800]   Because your time can definitely get away from you.
[00:16:56.800 --> 00:16:57.940]   It can go really fast.
[00:16:58.360 --> 00:17:00.000]   So I'm already starting to think about this.
[00:17:00.000 --> 00:17:04.840]   We actually talked about how next summer maybe we want to take a month off.
[00:17:04.840 --> 00:17:06.480]   So it's like, okay, how do we want to spend our days?
[00:17:06.480 --> 00:17:07.280]   Kids are out of school.
[00:17:07.280 --> 00:17:08.360]   I've got that figured out.
[00:17:08.360 --> 00:17:13.480]   But I keep coming back to the other objections that either I or other people might have.
[00:17:13.480 --> 00:17:18.160]   And I feel like the biggest one is no income coming in, spending more money.
[00:17:18.160 --> 00:17:25.060]   When you think about the financial side of this, how do you think people should start to approach this so it doesn't feel so daunting?
[00:17:25.060 --> 00:17:25.820]   Yeah.
[00:17:25.820 --> 00:17:30.500]   So if your time off is going to be unpaid, maybe your employer will pay it, but maybe they won't.
[00:17:30.500 --> 00:17:32.680]   Maybe with your business, it will create income.
[00:17:32.880 --> 00:17:39.080]   But worst case scenario is if it's going to be unpaid, you have to cover all of that.
[00:17:39.080 --> 00:17:44.940]   And then you have the additional budget for whatever your kind of activity is.
[00:17:45.060 --> 00:17:52.360]   And I encourage people to try to keep it within 50% of their monthly take-home pay.
[00:17:52.360 --> 00:17:58.220]   So if you bring home, let's say, $5,000 a month, maybe spend an additional $2,500 on your mini-retirement,
[00:17:58.220 --> 00:18:05.080]   which is also one of the reasons that mini-retirements are actually accessible for people at all sorts of income levels
[00:18:05.080 --> 00:18:08.940]   because the cost is very proportional to how much you make.
[00:18:08.940 --> 00:18:14.680]   Now, in the case of an unpaid time off, right, you've stepped away from your job, no one's going to pay you,
[00:18:14.680 --> 00:18:18.200]   then you'd probably have to not save $3,000, but $9,000, right?
[00:18:18.200 --> 00:18:19.420]   Well, it depends how long.
[00:18:19.420 --> 00:18:27.260]   So you have your monthly salary plus up to 50% of whatever that take-home pay is, so per month.
[00:18:27.260 --> 00:18:27.660]   Oh, yeah.
[00:18:27.660 --> 00:18:31.880]   I guess I was assuming three months, but if it was just one month, then yes, yeah, it wouldn't be that much.
[00:18:31.880 --> 00:18:32.000]   Yeah.
[00:18:32.000 --> 00:18:35.860]   That amount times however many months you want to be gone.
[00:18:35.860 --> 00:18:36.520]   Yeah.
[00:18:36.520 --> 00:18:41.120]   And I'll keep people thinking about, you're saying take-home pay, and I think it's really important
[00:18:41.120 --> 00:18:44.940]   because I know a lot of people do the math about how much they make and how much they spend,
[00:18:44.940 --> 00:18:49.620]   and they often use their kind of like gross salary number, and they think,
[00:18:49.620 --> 00:18:54.120]   oh, I make $120,000 a year, I make $10,000 a month, I need to replace that.
[00:18:54.120 --> 00:18:57.520]   And it's like, well, no, if you're not making money, you're not paying taxes on that money either.
[00:18:57.520 --> 00:19:04.940]   It's the after-tax amount, it's the take-home amount, not necessarily the full amount that you are getting paid.
[00:19:05.380 --> 00:19:05.820]   Yeah.
[00:19:05.820 --> 00:19:12.380]   And if we're just talking a month or three months, pausing, you know, your retirement contributions
[00:19:12.380 --> 00:19:16.180]   or other savings of your take-home pay, you're saving 20% of that.
[00:19:16.180 --> 00:19:22.560]   Pausing it for a month probably isn't going to have a huge long-term impact if that kind of makes the whole thing feel more comfortable.
[00:19:22.940 --> 00:19:26.940]   I didn't even realize in preparing for all this, I want to take a mini retirement.
[00:19:26.940 --> 00:19:29.020]   I didn't realize I'd actually, I guess, done one.
[00:19:29.020 --> 00:19:35.460]   There was a time many years ago where my wife and I ended up subletting our place,
[00:19:35.460 --> 00:19:38.420]   and we backpacked around the world for seven and a half months.
[00:19:38.760 --> 00:19:44.560]   So like, I totally have taken a mini retirement, didn't even realize it at the time, maybe financially responsible, maybe not.
[00:19:44.560 --> 00:19:48.840]   You know, we just burned through our savings, but we had the savings, so we didn't go into debt.
[00:19:48.840 --> 00:19:51.140]   We thought about, okay, we want to go on a trip.
[00:19:51.140 --> 00:19:52.140]   We want to see places.
[00:19:52.420 --> 00:19:55.900]   We'd put this map on the wall, and we were like, where are all the places we want to see in the world?
[00:19:55.900 --> 00:19:57.160]   And there were so many.
[00:19:57.160 --> 00:20:03.640]   We thought, how are we ever going to see them all if we don't go for, you know, an extended period of time where travel is actually cheaper?
[00:20:03.640 --> 00:20:06.280]   Like, it's really cheap to go from one country in Africa to another.
[00:20:06.280 --> 00:20:08.900]   It's really expensive to go from the United States to Africa.
[00:20:08.900 --> 00:20:12.260]   And so we took this trip, and we thought, well, we could go anywhere in the world,
[00:20:12.260 --> 00:20:19.540]   but let's go to the places where there's the biggest discrepancy between the cost to rough it and the cost to not rough it.
[00:20:19.860 --> 00:20:26.520]   Like, in Europe, there is every step along the way, but in a lot of Africa, there is not, right?
[00:20:26.520 --> 00:20:31.060]   There's like really beautiful safari lodges, and there's places where you can camp, you know, for free.
[00:20:31.060 --> 00:20:36.220]   And sure, there's some hotels in between, but it didn't feel as easily accessible to transport around.
[00:20:36.220 --> 00:20:41.580]   So we did this big, long overland trip, and we couch surfed and hosteled and camped.
[00:20:41.580 --> 00:20:45.080]   And looking back, my wife and I joke, we're like, that was so awesome.
[00:20:45.080 --> 00:20:48.940]   Maybe her a little more than me, like, never going to do something like that again.
[00:20:49.280 --> 00:20:51.780]   I always joke about taking our daughters later.
[00:20:51.780 --> 00:20:53.840]   I'm like, oh, I'll take them to hostels and all this stuff.
[00:20:53.840 --> 00:20:56.780]   My wife's like, that season, that just season's over.
[00:20:56.780 --> 00:20:58.220]   That doesn't need to be a thing I do.
[00:20:58.220 --> 00:20:59.320]   I like cleaner beds.
[00:20:59.320 --> 00:21:03.520]   We were bringing those sleep sheets because the beds were gross, like all kinds of stuff.
[00:21:03.520 --> 00:21:09.440]   So for us, that was really important, was like, think about the things that we're capable of doing,
[00:21:09.440 --> 00:21:11.820]   but think about the way we're able to do them.
[00:21:11.900 --> 00:21:16.880]   We spent $7,500 each for seven and a half months.
[00:21:16.880 --> 00:21:22.420]   To do that trip with two kids in like a much more comfortable place isn't a little bit more.
[00:21:22.420 --> 00:21:25.120]   It would be wildly and more expensive.
[00:21:25.120 --> 00:21:31.400]   So I hadn't really thought about the fact that I did take one of these, but when we did, we were very intentional about like,
[00:21:31.460 --> 00:21:39.020]   if we're going to rough it and if we're going to be cheap, what places can we see that would be way harder to see if we wanted to do it differently?
[00:21:39.020 --> 00:21:44.360]   When I think about these breaks, like we were lucky in that I was doing some freelance work.
[00:21:44.460 --> 00:21:47.420]   I'm curious for people who have a job, maybe they like their job.
[00:21:47.420 --> 00:21:52.740]   You could quit your job and hope that in the future, you find a new job, that you're making more money.
[00:21:52.740 --> 00:21:55.960]   As you said, that that's often a way to increase your salary.
[00:21:55.960 --> 00:22:04.000]   But if we step back a little, is that the only option or are there other ways that you can approach your employer to make this easier?
[00:22:04.000 --> 00:22:12.060]   If you like your job, if you want to stay there, I would 100% try your hand at negotiating a mini retirement.
[00:22:12.320 --> 00:22:16.220]   I've worked one-on-one with so many people and everyone's like, yeah, it's not really a thing in my company.
[00:22:16.220 --> 00:22:17.860]   Like we don't really have that policy.
[00:22:17.860 --> 00:22:19.200]   Nobody does it.
[00:22:19.200 --> 00:22:28.360]   But with a little bit of planning, usually people have a much better outcome than they even had hoped for, especially if it's one to three months.
[00:22:28.360 --> 00:22:38.640]   Just because logistically the HR backend of leave, most companies have some sort of HR system for people to be gone for up to 12 weeks,
[00:22:38.740 --> 00:22:42.520]   whether it's FMLA or maternity leave or whatever.
[00:22:42.520 --> 00:22:46.060]   If you want a longer leave of absence, it does get a little bit trickier.
[00:22:46.060 --> 00:22:51.780]   Usually what will end up happening is you officially separate from the company with an open invitation.
[00:22:51.780 --> 00:22:54.480]   Like as soon as you're done with your trip, please come back.
[00:22:54.480 --> 00:22:55.240]   Please reapply.
[00:22:55.380 --> 00:22:59.020]   Like we will find a spot for you is probably the two ways that can go.
[00:22:59.020 --> 00:23:07.180]   But within that one to three month period, have you found people who were convinced that their company would say no and managed to make this happen?
[00:23:07.180 --> 00:23:09.400]   And what were the things you coached them through?
[00:23:09.400 --> 00:23:10.840]   Yeah, absolutely.
[00:23:11.080 --> 00:23:13.320]   I would say most people don't think it can happen.
[00:23:13.320 --> 00:23:21.680]   And at least in the cases I've seen, and I've talked to a couple hundred people about their mini retirements, overwhelmingly it's successful.
[00:23:21.680 --> 00:23:25.080]   So there's a couple things that you can do to prepare.
[00:23:25.080 --> 00:23:28.920]   If when you read the book, you'll see like, I've heard every objection.
[00:23:28.920 --> 00:23:29.760]   I've heard every fear.
[00:23:29.760 --> 00:23:31.200]   I've heard every point of confusion.
[00:23:31.200 --> 00:23:34.280]   And so I write it in a way of like, it's not fluffy.
[00:23:34.280 --> 00:23:35.380]   It's not aspirational.
[00:23:35.380 --> 00:23:37.600]   It's like, here's exactly what you need to do.
[00:23:37.600 --> 00:23:38.680]   Here's every step.
[00:23:38.680 --> 00:23:42.540]   One of the first things is to come up with your mini retirement story.
[00:23:42.540 --> 00:23:44.160]   Like you create the narrative.
[00:23:44.160 --> 00:23:48.300]   Don't let other people kind of backfill this with their assumptions.
[00:23:48.300 --> 00:23:50.780]   You really need to get ahead of it.
[00:23:50.780 --> 00:23:55.920]   And I encourage people to think about kind of four elements of this story.
[00:23:55.920 --> 00:23:57.920]   The first one is it needs to be positive.
[00:23:57.920 --> 00:24:01.180]   Even if there's like a negative reason, like you're really burned.
[00:24:01.180 --> 00:24:04.440]   You do not want to go in and say, I am so tired of all you.
