
[00:00:00.500 --> 00:00:01.920]   - Good afternoon.
[00:03:44.440 --> 00:03:46.000]   Well, what do you say to yourself
[00:03:46.000 --> 00:03:49.320]   when you face setback and discouragement and adversity?
[00:03:49.320 --> 00:03:52.680]   Well, what do you say to yourself in trial?
[00:03:52.680 --> 00:03:54.760]   Well, what we don't do in trial
[00:03:54.760 --> 00:03:57.260]   and what we don't do in discouragement and setback
[00:03:57.260 --> 00:04:01.080]   is look to ourselves, to our own resources,
[00:04:01.080 --> 00:04:05.700]   to our own wisdom, our strength, our ability, our scheming.
[00:04:05.700 --> 00:04:08.800]   That's a recipe for disaster
[00:04:08.800 --> 00:04:12.640]   because we're just not that inspiring in those moments.
[00:04:12.640 --> 00:04:14.720]   And to be even more frank,
[00:04:14.720 --> 00:04:17.080]   we're probably the reason half the time
[00:04:17.080 --> 00:04:19.640]   that we are in those difficulties.
[00:04:19.640 --> 00:04:23.480]   No, brothers, we don't look to ourselves.
[00:04:23.480 --> 00:04:25.180]   We look to Christ.
[00:04:25.180 --> 00:04:26.760]   We look to his glory.
[00:04:26.760 --> 00:04:28.280]   We look to his majesty.
[00:04:28.280 --> 00:04:29.760]   We look to his person.
[00:04:29.760 --> 00:04:32.280]   We look to the one who has gone before us,
[00:04:32.280 --> 00:04:34.200]   the one who has gone to the cross
[00:04:34.200 --> 00:04:35.920]   and one who has gone to death
[00:04:35.920 --> 00:04:38.560]   and overcome death in the resurrection
[00:04:38.560 --> 00:04:43.560]   and the one who will return and overcome all things.
[00:04:43.560 --> 00:04:46.680]   Truth triumphs.
[00:04:46.680 --> 00:04:49.160]   And that is what compels us
[00:04:49.160 --> 00:04:51.080]   in the hardest of circumstances
[00:04:51.080 --> 00:04:53.160]   to say with all of our might,
[00:04:53.160 --> 00:04:55.920]   though this moment might be formidable
[00:04:55.920 --> 00:04:58.040]   and it might be fearsome,
[00:04:58.040 --> 00:05:02.560]   this does not have the last say our God does.
[00:05:02.560 --> 00:05:05.680]   And his word is final.
[00:05:05.680 --> 00:05:07.480]   What do we tell ourselves?
[00:05:07.480 --> 00:05:09.400]   We tell ourselves in those moments
[00:05:09.400 --> 00:05:13.000]   and steel in our heart, truth triumphs.
[00:05:13.000 --> 00:05:17.640]   That's the secret to perseverance.
[00:05:17.640 --> 00:05:19.520]   And my responsibility this afternoon
[00:05:19.520 --> 00:05:22.380]   is to take you to the moment,
[00:05:22.380 --> 00:05:27.280]   the initiation of the moment where truth triumphs.
[00:05:27.280 --> 00:05:30.580]   Turn with me to Daniel chapter seven.
[00:05:30.580 --> 00:05:34.320]   Daniel chapter seven.
[00:05:34.320 --> 00:05:35.240]   Now as you turn there,
[00:05:35.240 --> 00:05:37.240]   you might be wondering,
[00:05:37.240 --> 00:05:39.000]   how do you know that this is the moment
[00:05:39.000 --> 00:05:39.960]   that truth triumphs?
[00:05:39.960 --> 00:05:43.520]   How is it really that this text is so compelling?
[00:05:43.520 --> 00:05:46.200]   And perhaps some of you are still wondering
[00:05:46.200 --> 00:05:48.120]   about the underlying assumption,
[00:05:48.120 --> 00:05:50.640]   is it really that truth triumphs
[00:05:50.640 --> 00:05:53.440]   can persevere and preserve the soul?
[00:05:53.440 --> 00:05:56.100]   Can it really facilitate endurance?
[00:05:56.100 --> 00:05:57.960]   The answer to all these questions
[00:05:57.960 --> 00:06:02.960]   can be found in nothing other than the life of Daniel.
[00:06:03.360 --> 00:06:05.760]   Think about this for a second with me.
[00:06:05.760 --> 00:06:09.600]   Daniel's life is absolutely remarkable
[00:06:09.600 --> 00:06:11.820]   if you stop and think about it.
[00:06:11.820 --> 00:06:13.360]   Throughout the whole scriptures,
[00:06:13.360 --> 00:06:16.560]   we know that the Bible portrays human characters
[00:06:16.560 --> 00:06:19.920]   from Abraham to Moses to Peter and Paul,
[00:06:19.920 --> 00:06:22.020]   both with the good and the bad,
[00:06:22.020 --> 00:06:24.400]   so that you have a circumspect perspective
[00:06:24.400 --> 00:06:26.720]   about these individuals.
[00:06:26.720 --> 00:06:29.860]   But it is absolutely then astonishing
[00:06:29.860 --> 00:06:34.860]   that scripture portrays Daniel purely in his integrity.
[00:06:34.860 --> 00:06:38.980]   That is the only comment that the scripture gives
[00:06:38.980 --> 00:06:41.860]   on this man.
[00:06:41.860 --> 00:06:45.180]   And indeed, if you think about this person,
[00:06:45.180 --> 00:06:47.180]   he is uncompromising to God.
[00:06:47.180 --> 00:06:48.420]   He is consistent.
[00:06:48.420 --> 00:06:49.900]   He is faithful.
[00:06:49.900 --> 00:06:51.540]   He is unwavering.
[00:06:51.540 --> 00:06:54.020]   He is absolutely dedicated.
[00:06:54.020 --> 00:06:56.760]   And he is that even in the most difficult,
[00:06:56.760 --> 00:06:58.020]   the most threatening,
[00:06:58.020 --> 00:07:01.220]   the most life-threatening of times.
[00:07:01.220 --> 00:07:03.260]   When there is risk and there is danger,
[00:07:03.260 --> 00:07:06.980]   he is still steadfast.
[00:07:06.980 --> 00:07:09.900]   Sometimes we say, "Man, my life's so hard.
[00:07:09.900 --> 00:07:12.020]   "It's like they're throwing me to the lions."
[00:07:12.020 --> 00:07:14.260]   Daniel was thrown to the lions.
[00:07:14.260 --> 00:07:18.460]   The guy's existence invented the phrase.
[00:07:18.460 --> 00:07:24.500]   You know, when Daniel was eight or 10 or 12 or 13,
[00:07:24.500 --> 00:07:27.580]   depending on how you wanna do the dating of Daniel one,
[00:07:27.580 --> 00:07:32.100]   he was more mature than the entire internet combined.
[00:07:32.100 --> 00:07:34.500]   (congregation laughing)
[00:07:34.500 --> 00:07:37.620]   I know, that's a low bar, but you understand my point.
[00:07:37.620 --> 00:07:43.260]   Daniel's life is so remarkable that in Daniel six,
[00:07:43.260 --> 00:07:46.180]   when his enemies put him under the microscope,
[00:07:46.180 --> 00:07:47.540]   the highest scrutiny,
[00:07:47.540 --> 00:07:49.740]   all that they could find out about him
[00:07:49.740 --> 00:07:53.700]   was that he was loyal and faithful to his God.
[00:07:53.700 --> 00:07:56.140]   That is astounding to think about,
[00:07:56.140 --> 00:08:01.140]   that his dedication is so unwavering and so unrelenting
[00:08:01.140 --> 00:08:04.500]   that he had a faithfulness
[00:08:04.500 --> 00:08:07.780]   that eradicated all moral liabilities.
[00:08:07.780 --> 00:08:11.100]   And the only thing his opponents could see in his life
[00:08:11.100 --> 00:08:13.580]   was the only thing in his life,
[00:08:13.580 --> 00:08:15.800]   the loyalty to the Lord Jesus Christ.
[00:08:15.800 --> 00:08:18.580]   That is an astounding life.
[00:08:18.580 --> 00:08:21.760]   And it would be amazing if he had that for a week.
[00:08:21.760 --> 00:08:26.760]   I would want that for a week or a month or years.
[00:08:26.760 --> 00:08:30.280]   But the scripture is clear.
[00:08:30.280 --> 00:08:34.080]   Daniel lived like that under the microscope in danger,
[00:08:34.080 --> 00:08:37.240]   within political intrigue, with political schemes,
[00:08:37.240 --> 00:08:39.560]   in different kingdoms, in different empires,
[00:08:39.560 --> 00:08:43.520]   in different regimes, day in, day out,
[00:08:43.520 --> 00:08:46.440]   every day of his life for over 80 years.
[00:08:46.440 --> 00:08:50.820]   And no one ever saw him change from that.
[00:08:51.820 --> 00:08:56.180]   That's an amazing life, an amazing life.
[00:08:56.180 --> 00:08:57.380]   I want a life like that.
[00:08:57.380 --> 00:09:01.580]   And the question is, what made him tick?
[00:09:01.580 --> 00:09:04.500]   What made him do that?
[00:09:04.500 --> 00:09:06.100]   What drove him?
[00:09:06.100 --> 00:09:09.220]   What held him in those moments
[00:09:09.220 --> 00:09:12.460]   when there is so much danger surrounding him?
[00:09:12.460 --> 00:09:14.020]   What did he think about?
[00:09:14.020 --> 00:09:16.940]   What was his motivation?
[00:09:16.940 --> 00:09:18.740]   We don't have to speculate.
[00:09:18.740 --> 00:09:20.620]   We don't have to speculate.
[00:09:20.620 --> 00:09:22.740]   It's Daniel chapter seven.
[00:09:22.740 --> 00:09:23.740]   You say, how do you know that?
[00:09:23.740 --> 00:09:25.460]   Well, here's one way to think about it.
[00:09:25.460 --> 00:09:30.460]   Daniel seven is the point of all of Daniel's thinking.
[00:09:30.460 --> 00:09:34.300]   Daniel seven is the point of all of Daniel's thinking.
[00:09:34.300 --> 00:09:36.260]   Daniel, in the book of Daniel,
[00:09:36.260 --> 00:09:40.900]   has been narrating an argument that God is still sovereign.
[00:09:40.900 --> 00:09:43.460]   God is still sovereign, chapter one of Daniel,
[00:09:43.460 --> 00:09:45.580]   even when Israel is sent into exile
[00:09:45.580 --> 00:09:49.220]   as evidenced by the life of Daniel and his friends.
[00:09:49.220 --> 00:09:51.620]   God is still sovereign in Daniel chapter two
[00:09:51.620 --> 00:09:55.380]   because God alone is the one who ordains dreams
[00:09:55.380 --> 00:09:56.580]   and can interpret them.
[00:09:56.580 --> 00:09:59.380]   And this dream dictates the course of history
[00:09:59.380 --> 00:10:00.700]   of all the world.
[00:10:00.700 --> 00:10:03.540]   God is still sovereign in Daniel chapter three,
[00:10:03.540 --> 00:10:06.180]   even when Nebuchadnezzar challenges the plan
[00:10:06.180 --> 00:10:08.660]   that is revealed in Daniel chapter two.
[00:10:08.660 --> 00:10:11.440]   And in Daniel chapter four, God is still sovereign
[00:10:11.440 --> 00:10:14.100]   when Nebuchadnezzar doesn't just challenge God's plan,
[00:10:14.100 --> 00:10:15.900]   he challenges God himself,
[00:10:15.900 --> 00:10:19.580]   assuming that his Nebuchadnezzar was a self-made man
[00:10:19.580 --> 00:10:22.900]   and God shows him, if I'm not sovereign over you,
[00:10:22.900 --> 00:10:24.740]   if I'm not the one who dictates it,
[00:10:24.740 --> 00:10:26.720]   you'll just eat grass like an animal.
[00:10:26.720 --> 00:10:29.660]   God is still sovereign.
[00:10:29.660 --> 00:10:31.440]   God is still sovereign in chapter five
[00:10:31.440 --> 00:10:34.260]   as one kingdom gives way to another kingdom
[00:10:34.260 --> 00:10:37.260]   and just as God had prophesied and planned.
[00:10:37.260 --> 00:10:40.060]   And in Daniel chapter six, God is still sovereign
[00:10:40.060 --> 00:10:42.140]   in a new regime with new dangers,
[00:10:42.140 --> 00:10:44.940]   but nevertheless, the same God rules.
[00:10:44.940 --> 00:10:46.420]   God is still sovereign.
[00:10:46.420 --> 00:10:49.660]   And so God has shown chapter after chapter after chapter
[00:10:49.660 --> 00:10:52.580]   a progression that every king and every kingdom
[00:10:52.580 --> 00:10:54.820]   and every plan and every nuance
[00:10:54.820 --> 00:10:56.940]   is under the sovereign dictate of God.
[00:10:56.940 --> 00:10:59.220]   He is still sovereign and therefore,
[00:10:59.220 --> 00:11:02.440]   all of God's plan is moving through all of history
[00:11:02.440 --> 00:11:06.940]   to a point, to an outcome, Daniel chapter seven.
[00:11:06.940 --> 00:11:09.280]   Daniel seven is the outcome.
[00:11:09.280 --> 00:11:12.860]   It is the point of everything Daniel has been thinking
[00:11:12.860 --> 00:11:16.500]   and everything flows to it and everything flows from it.
[00:11:16.500 --> 00:11:18.220]   But here's another way to think about it.
[00:11:18.220 --> 00:11:21.140]   The book of Daniel was not written chronologically
[00:11:21.140 --> 00:11:25.880]   and there are 12 chapters in the book of Daniel
[00:11:25.880 --> 00:11:30.820]   and guess what chapter is right in the middle of the book?
[00:11:30.820 --> 00:11:33.760]   Daniel chapter seven.
[00:11:33.760 --> 00:11:36.980]   Why is it in the middle of the book?
[00:11:36.980 --> 00:11:38.420]   It's really simple.
[00:11:38.420 --> 00:11:40.820]   It's central to the book
[00:11:40.820 --> 00:11:43.140]   because it's central to Daniel's soul.
[00:11:43.140 --> 00:11:47.880]   Daniel tells you what is his heartbeat.
[00:11:47.880 --> 00:11:50.800]   Daniel tells us what he prizes.
[00:11:50.800 --> 00:11:55.660]   Daniel explains to us what is at the center of his own heart
[00:11:55.660 --> 00:11:58.460]   and what he thought about and what he looked forward to
[00:11:58.460 --> 00:12:01.020]   and what captured him and what drove him
[00:12:01.020 --> 00:12:03.620]   in all of the trials and all of the opposition
[00:12:03.620 --> 00:12:06.620]   and all of the danger so that day after day after day,
[00:12:06.620 --> 00:12:09.940]   he would persevere and endure in faithfulness.
[00:12:09.940 --> 00:12:11.660]   It is Daniel chapter seven.
[00:12:11.660 --> 00:12:12.500]   Why?
[00:12:12.500 --> 00:12:15.780]   Because this is the moment that truth triumphs.
[00:12:15.780 --> 00:12:18.860]   This is the moment Daniel was waiting for
[00:12:18.860 --> 00:12:22.260]   and it captured his life to the very end.
[00:12:22.260 --> 00:12:27.180]   Now, we use that phrase, the moment we've been waiting for
[00:12:27.180 --> 00:12:30.180]   in all kinds of ways, very often in life.
[00:12:30.180 --> 00:12:34.220]   Kids will use it for holidays, for birthdays and Christmas
[00:12:34.220 --> 00:12:36.500]   because that's when they get presents.
[00:12:36.500 --> 00:12:38.260]   And students will use this is the moment
[00:12:38.260 --> 00:12:40.820]   I've been waiting for to talk about graduation
[00:12:40.820 --> 00:12:43.380]   or getting married or getting a job.
[00:12:43.380 --> 00:12:46.060]   And people will use that term when they have a job
[00:12:46.060 --> 00:12:47.980]   to talk about getting a promotion.
[00:12:47.980 --> 00:12:49.860]   And adults will use that term,
[00:12:49.860 --> 00:12:51.960]   this is the moment we've been waiting for
[00:12:51.960 --> 00:12:53.980]   when they become parents and have children.
[00:12:53.980 --> 00:12:55.580]   And then they'll also use that term
[00:12:55.580 --> 00:12:59.440]   when their children leave and when they become grandparents.
[00:12:59.440 --> 00:13:03.340]   People use this term all the time.
[00:13:03.340 --> 00:13:05.780]   You may have a moment you are waiting for.
[00:13:05.780 --> 00:13:07.420]   It's called dinner.
[00:13:07.700 --> 00:13:09.780]   (congregation laughing)
[00:13:09.780 --> 00:13:12.140]   We all have moments that we are waiting for
[00:13:12.140 --> 00:13:14.940]   and they compel us, they drive us,
[00:13:14.940 --> 00:13:19.260]   they give us perspective, they give us determination.
[00:13:19.260 --> 00:13:22.940]   That's the nature of a moment you are waiting for.
[00:13:22.940 --> 00:13:25.700]   And while we may have many moments we are waiting for,
[00:13:25.700 --> 00:13:28.020]   here's what Daniel says about Daniel 7.
[00:13:28.020 --> 00:13:29.120]   This is the moment.
[00:13:29.120 --> 00:13:32.660]   This is the moment you are waiting for.
[00:13:32.660 --> 00:13:35.040]   This is the moment that truth triumphs.
[00:13:35.040 --> 00:13:38.100]   This is the moment you are waiting for.
[00:13:38.100 --> 00:13:42.340]   And Daniel in Daniel 7 provides three realities,
[00:13:42.340 --> 00:13:46.700]   three realities that help us to understand this moment
[00:13:46.700 --> 00:13:48.700]   and help us to understand this moment
[00:13:48.700 --> 00:13:51.020]   as the moment that truth triumphs,
[00:13:51.020 --> 00:13:52.940]   the moment that we are waiting for,
[00:13:52.940 --> 00:13:55.520]   and the moment then that we go back to
[00:13:55.520 --> 00:14:00.060]   over and over and over again like Daniel did
[00:14:00.060 --> 00:14:02.860]   so that we would persevere to the end.
[00:14:02.860 --> 00:14:05.200]   Truth triumphs through promise.
[00:14:05.200 --> 00:14:07.600]   Truth triumphs through prophecy.
[00:14:07.600 --> 00:14:11.340]   And that's what we have right here in Daniel 7.
[00:14:11.340 --> 00:14:16.340]   Three realities in Daniel 7, 1 through 14.
[00:14:16.340 --> 00:14:20.660]   And with this in mind, let's talk about the first
[00:14:20.660 --> 00:14:23.180]   of those three realities.
[00:14:23.180 --> 00:14:28.480]   This is the moment that history waits for.
[00:14:28.480 --> 00:14:31.120]   This is the moment that history waits for.
[00:14:31.120 --> 00:14:36.040]   And we see this in verses 1 through 8, 1 through 8.
[00:14:36.040 --> 00:14:39.060]   Immediately in this vision, what we understand
[00:14:39.060 --> 00:14:40.760]   is that this vision was revealed
[00:14:40.760 --> 00:14:42.860]   with a design toward perseverance.
[00:14:42.860 --> 00:14:46.220]   In the first year of Belshazzar, king of Babylon,
[00:14:46.220 --> 00:14:49.740]   this is a moment that is after Daniel chapter 2,
[00:14:49.740 --> 00:14:53.060]   but before, of course, the kingdom of Babylon falls.
[00:14:53.060 --> 00:14:56.940]   The advent of Belshazzar, king of Babylon,
[00:14:56.940 --> 00:14:59.700]   was marked by tremendous instability,
[00:14:59.700 --> 00:15:01.760]   tremendous political intrigue,
[00:15:01.760 --> 00:15:05.340]   and therefore tremendous danger to Daniel's life.
[00:15:05.340 --> 00:15:08.420]   And so God reveals a vision to Daniel
[00:15:08.420 --> 00:15:11.220]   in order to give him absolute assurance
[00:15:11.220 --> 00:15:12.940]   that God's plan is going through,
[00:15:12.940 --> 00:15:15.860]   to give him absolute stability in the storm.
[00:15:15.860 --> 00:15:19.940]   This vision is all about instilling endurance.
[00:15:19.940 --> 00:15:22.940]   And within this, this vision is the vision of visions,
[00:15:22.940 --> 00:15:24.580]   as verse 1 recounts.
[00:15:24.580 --> 00:15:27.000]   Daniel saw a dream and visions.
[00:15:27.000 --> 00:15:30.340]   This vision is so powerful because it sums up,
[00:15:30.340 --> 00:15:33.520]   it brings together all the dreams and visions that he's had.
[00:15:33.520 --> 00:15:35.880]   And in fact, this vision is so much of a vision,
[00:15:35.880 --> 00:15:37.200]   it's not just one vision,
[00:15:37.200 --> 00:15:41.760]   it's visions, plural, in his head as he laid on his bed.
[00:15:41.760 --> 00:15:45.160]   This vision is so captivating, this vision is so central,
[00:15:45.160 --> 00:15:48.720]   that Daniel ensures that he wrote the dream down
[00:15:48.720 --> 00:15:51.240]   in perpetuity to preserve it.
[00:15:51.240 --> 00:15:53.640]   And he also made sure to not only give
[00:15:53.640 --> 00:15:56.900]   every single detail about it, but the summary of the matter,
[00:15:56.900 --> 00:16:00.880]   so that everyone knew every detail and what it all meant.
[00:16:00.880 --> 00:16:02.920]   This is an epic vision.
[00:16:02.920 --> 00:16:06.680]   This is the vision that is determining of all visions.
[00:16:06.680 --> 00:16:10.240]   This is central to divine revelation.
[00:16:10.240 --> 00:16:13.320]   And in thinking about this then,
[00:16:13.320 --> 00:16:14.920]   there's a question that arises.
[00:16:14.920 --> 00:16:18.600]   And what arises is, if this vision is supposed to be
[00:16:18.600 --> 00:16:21.460]   the summary of all other visions, bringing them all together,
[00:16:21.460 --> 00:16:25.080]   why doesn't Daniel 7 just match other visions
[00:16:25.080 --> 00:16:28.380]   in the book of Daniel, like in Daniel chapter 2?
[00:16:28.380 --> 00:16:31.140]   For example, there's a lot of correlations between them.
[00:16:31.140 --> 00:16:32.960]   We know that they're parallel.
[00:16:32.960 --> 00:16:34.820]   Daniel 2 has four metals.
[00:16:34.820 --> 00:16:36.720]   Daniel 7 has four beasts.
[00:16:36.720 --> 00:16:40.900]   Daniel 2 has a fourth metal that has 10 toes.
[00:16:40.900 --> 00:16:43.800]   And in Daniel 7, you have 10 horns.
[00:16:43.800 --> 00:16:46.700]   And there's a metal in Daniel 2 with iron.
[00:16:46.700 --> 00:16:50.020]   And in Daniel 7, it describes a beast with iron teeth.
[00:16:50.020 --> 00:16:53.240]   There's absolute correspondence between these two visions.
[00:16:53.240 --> 00:16:57.280]   So, why couldn't Daniel be a little bit more American
[00:16:57.280 --> 00:17:00.360]   and just make them totally match in parallel?
[00:17:00.360 --> 00:17:02.480]   It'd just make our lives a lot easier.
[00:17:02.480 --> 00:17:07.440]   And the answer is in the imagery itself.
[00:17:07.440 --> 00:17:08.480]   Think about this with me.
[00:17:08.480 --> 00:17:10.280]   Survey this text with me.
[00:17:10.280 --> 00:17:15.280]   You have the wind, the sky of heaven, and the sea, verse 2.
[00:17:15.280 --> 00:17:18.640]   And then you have great beasts coming.
[00:17:18.640 --> 00:17:20.440]   And then after you have the great beasts coming,
[00:17:20.440 --> 00:17:22.640]   you have a man who rules over it all.
[00:17:22.640 --> 00:17:25.020]   Where do you have in the Bible
[00:17:25.020 --> 00:17:27.160]   that there's a mention of the sky,
[00:17:27.160 --> 00:17:28.880]   and then there's a mention of the sea,
[00:17:28.880 --> 00:17:30.600]   and then there's a mention of animals,
[00:17:30.600 --> 00:17:34.240]   and then there's a mention of even the creation of man?
[00:17:34.240 --> 00:17:37.320]   Genesis chapter 1.
[00:17:37.320 --> 00:17:42.020]   Daniel 7 is meant to match Genesis chapter 1,
[00:17:42.020 --> 00:17:47.280]   because the end will be just like the beginning,
[00:17:47.280 --> 00:17:48.400]   and more to the point.
[00:17:48.400 --> 00:17:50.880]   Genesis 1 has made a thesis.
[00:17:50.880 --> 00:17:55.320]   Genesis 1 has said, this is the way the world was made,
[00:17:55.320 --> 00:17:58.160]   and there is a man who is destined, Adam,
[00:17:58.160 --> 00:18:00.520]   to rule over this world.
[00:18:00.520 --> 00:18:03.720]   And the question that has been raised is a vital question.
[00:18:03.720 --> 00:18:07.080]   Who will fulfill Genesis 1?
[00:18:07.080 --> 00:18:10.240]   Who will fulfill the destiny of creation?
[00:18:10.240 --> 00:18:13.700]   Who will be the last Adam?
[00:18:13.700 --> 00:18:17.800]   And Daniel 7 is answering that question.
[00:18:17.800 --> 00:18:22.160]   Daniel 7, in the end, is showing who will fulfill the role
[00:18:22.160 --> 00:18:26.060]   of the one ordained from the beginning.
[00:18:26.060 --> 00:18:28.520]   And so the world, in its history,
[00:18:28.520 --> 00:18:31.560]   will present the top four candidates, shall we say,
[00:18:31.560 --> 00:18:36.560]   the top four propositions of who might be this final Adam.
[00:18:36.560 --> 00:18:41.760]   And it is four beasts, as Daniel 7, verse 2 discusses.
[00:18:41.760 --> 00:18:42.920]   Daniel answered and said,
[00:18:42.920 --> 00:18:44.540]   "I was looking in my vision by night,
[00:18:44.540 --> 00:18:46.040]   "and behold, the four winds of heaven
[00:18:46.040 --> 00:18:47.340]   "were stirring up the great sea,
[00:18:47.340 --> 00:18:50.280]   "and four beasts were coming up from the sea,
[00:18:50.280 --> 00:18:52.440]   "different from one another."
[00:18:52.440 --> 00:18:54.800]   Top four, top four.
[00:18:54.800 --> 00:18:56.360]   Here's the first one.
[00:18:56.360 --> 00:18:58.920]   Here's the first one, verse 4.
[00:18:58.920 --> 00:19:00.780]   "The first contender was like a lion,
[00:19:00.780 --> 00:19:02.320]   "and had the wings of an eagle.
[00:19:02.320 --> 00:19:04.080]   "I kept looking until its wings were plucked,
[00:19:04.080 --> 00:19:05.160]   "and it was lifted up from the ground
[00:19:05.160 --> 00:19:06.840]   "and made to stand on two feet like a man,
[00:19:06.840 --> 00:19:09.320]   "and a heart of a man was given to it."
[00:19:09.320 --> 00:19:11.720]   This should sound familiar in context.
[00:19:11.720 --> 00:19:15.840]   Who was like an animal, and then God restored his sanity?
[00:19:15.840 --> 00:19:18.320]   It is none other than Nebuchadnezzar.
[00:19:18.320 --> 00:19:19.480]   We know that.
[00:19:19.480 --> 00:19:21.640]   This is a description of Nebuchadnezzar.
[00:19:21.640 --> 00:19:23.120]   He is that contender.
[00:19:23.120 --> 00:19:26.200]   He is the king, and this is representative of the nation,
[00:19:26.200 --> 00:19:30.020]   then, and the kingdom of Babylon, verse 4.
[00:19:30.020 --> 00:19:33.640]   But herein, if you understand that,
[00:19:33.640 --> 00:19:36.840]   lies an important lesson and irony.
[00:19:36.840 --> 00:19:40.960]   Here you have the symbol, the mascot of Babylon.
[00:19:40.960 --> 00:19:43.500]   You even see in an archeological reliefs
[00:19:43.500 --> 00:19:45.960]   a lion, royal and regal,
[00:19:45.960 --> 00:19:48.000]   and having the wings of an eagle,
[00:19:48.000 --> 00:19:50.360]   swift and powerful.
[00:19:50.360 --> 00:19:54.600]   But when Nebuchadnezzar actually becomes that,
[00:19:54.600 --> 00:19:56.960]   because he does in Daniel 4,
[00:19:56.960 --> 00:19:58.940]   he gets on all fours,
[00:19:58.940 --> 00:20:01.560]   he starts growing hair like fur,
[00:20:01.560 --> 00:20:05.040]   he has talons and pinions like an eagle.
[00:20:05.040 --> 00:20:08.920]   That isn't the ultimate epitome of power
[00:20:08.920 --> 00:20:11.800]   and majesty and swiftness and royalty.
[00:20:11.800 --> 00:20:13.740]   When Nebuchadnezzar looks like that,
[00:20:13.740 --> 00:20:18.040]   that's the pinnacle of foolishness and folly.
[00:20:18.040 --> 00:20:19.960]   And here is what you learn,
[00:20:19.960 --> 00:20:21.580]   the height of man's power,
