
[00:00:00.000 --> 00:00:08.460]   So I presented the other three Anthropic SAE kind of Macinturb papers. I think I'll just share
[00:04:03.740 --> 00:04:10.300]   right? There's two levels of reasoning. First step is you have to think, um, what is the state that the city is
[00:04:10.300 --> 00:04:17.260]   in and then what's the capital of that state? So they kind of go through how they do all this, but let's,
[00:04:17.260 --> 00:04:23.980]   let's, let's start off by talking about this previous, um, previous paper that came out like a week ago about circuit
[00:04:23.980 --> 00:04:31.900]   training. So circuit training is where they, they train this, um, transcoder model to replicate the exact input
[00:04:31.900 --> 00:04:39.020]   model. And then they start to do these attribution graphs to figure out what happened. So, um, high level,
[00:04:39.020 --> 00:04:45.740]   here's kind of an overview of what, oops, of what people have done in previous Macinterp work. Um,
[00:04:45.740 --> 00:04:53.740]   um, we had transcoders, transcoders were, you know, alternatives to SAE that let us do replacement models.
[00:04:53.740 --> 00:04:58.860]   Then we have this cross layer transcoder, which is let's do transcoders that go throughout different
[00:04:58.860 --> 00:05:06.380]   model layers. Then we have attribution graphs and linear attribution between features. Um, they prune out the
[00:05:06.380 --> 00:05:10.860]   the ones that are not that relevant. They have a little fill in, we'll go a little quick through
[00:05:10.860 --> 00:05:16.380]   this since it's kind of a second, uh, paper, but they did have a little overview that I thought was
[00:05:16.380 --> 00:05:24.380]   interesting here. Okay. Uh, big in building an interpretable replacement model. So this is kind
[00:05:24.380 --> 00:05:30.860]   of the architecture of what this model is. So once again, they're going to create an entire model,
[00:05:30.860 --> 00:05:37.180]   call it a local replacement model that matches the exact, um, that matches the number of layers for
[00:05:37.180 --> 00:05:42.060]   the original transformer. So they, they train two of these. And so they start to give some statistics
[00:05:42.060 --> 00:05:46.940]   of what it would be like to train another one. And I think they talk about how, how much compute
[00:05:46.940 --> 00:05:52.540]   this requires on like Gemma 2B and like a 9B model. But essentially what they're doing here is they take
[00:05:52.540 --> 00:05:58.540]   a model, they look at the architecture and they freeze the attention. And basically they replace
[00:05:58.540 --> 00:06:04.220]   this MLP. So the feed forward layers, they replace the MLP with this cross layer transcoder,
[00:06:04.220 --> 00:06:08.940]   and then they can start to make this sparse and have features that we can interpret from it.
[00:06:08.940 --> 00:06:13.900]   So a bunch of math that if you're interested is pretty straightforward, actually, it's just,
[00:06:13.900 --> 00:06:19.580]   it's just a straight replacement. It's trained to match the exact input output. Um, so here's a cool
[00:06:19.580 --> 00:06:24.620]   little diagram. Basically you have different layers in a transformer, right? This is an original transformer
[00:06:24.620 --> 00:06:29.660]   model. You have attention blocks and you have the MLP, right? So throughout different layers,
[00:06:29.660 --> 00:06:33.180]   there's attention, then there's feed forward, attention and feed forward. And then eventually
[00:06:33.180 --> 00:06:38.060]   you have output, you pick the most probable token and you know, that's your output. So in the
[00:06:38.060 --> 00:06:44.540]   replacement model, instead of these MLP feed forward networks, they're replacing them with these cross
[00:06:44.540 --> 00:06:49.820]   layer transcoders. These cross layer transcoders speak to each other and we start to interpret,
[00:06:49.820 --> 00:06:54.460]   you know, we want to keep them sparse. So there's a sparsity factor. So only one feature activates,
[00:06:54.460 --> 00:07:00.220]   then we map that to something interpretable. Um, this blog post is actually very long, but
[00:07:00.220 --> 00:07:04.460]   that's how they make this local replacement model. Um, Ted, you have a question?
[00:07:04.460 --> 00:07:11.100]   Not a question, but can, is it okay if I add a little bit of color here? Yeah. Um,
[00:07:11.100 --> 00:07:19.180]   so, so one of the things is the early research along this very same direction on CNNs didn't require any of
[00:07:19.180 --> 00:07:25.180]   this stuff. And the reason is because, um, uh, the conventional wisdom now is that the number of
[00:07:25.180 --> 00:07:32.300]   things that, that people wanted to represent in a CNN was approximately equal to the number of filters,
[00:07:32.300 --> 00:07:38.860]   the number of neurons, uh, uh, layers and such that you have in a CNN. So CNN wants to find vertical
[00:07:38.860 --> 00:07:43.660]   lines, horizontal lines, diagonal lines, and then in the higher layers, triangles, circles, squares,
[00:07:43.660 --> 00:07:49.900]   and then eventually faces, arms, that kind of stuff. And you have approximately as many things in your network
[00:07:49.900 --> 00:07:58.380]   as you do concepts that you're trying to represent. So if all the data lives in, in essentially a vector
[00:07:58.380 --> 00:08:03.740]   space, if you guys remember your linear algebra, then everything can be represented as an orthogonal direction.
[00:08:04.540 --> 00:08:11.260]   And there's this linear representation hypothesis that says that information is encoded in a direction,
[00:08:11.260 --> 00:08:17.660]   not in a magnitude, just in a direction. And if you have a small number of concepts, they can all be completely
[00:08:17.660 --> 00:08:25.100]   orthogonal. And if you take the dot product of a vector with any of your concepts, there will be no interference
[00:08:25.100 --> 00:08:31.180]   between concepts because they're all orthogonal to each other. So if one is due east and one is due north,
[00:08:31.180 --> 00:08:37.500]   and you, you dot something with a canonical north vector to see how, whether or not north is present,
[00:08:37.500 --> 00:08:43.580]   whether you add more east-west or not changes nothing about the dot product in your north direction.
[00:08:43.580 --> 00:08:51.260]   The problem is when we get to LLMs, um, uh, no, uh, operations are additions. There's no rotations in the
[00:08:51.260 --> 00:08:56.540]   linear representation hypothesis. So what you have to do is you have to sort of, if you have something east and
[00:08:56.540 --> 00:09:02.860]   you want to add north, you have to sort of like add a lot of north to make sure that you get north-northeast
[00:09:02.860 --> 00:09:10.780]   enough that your dot product with north is, is not close to zero anymore. So the problem with LLMs is that we
[00:09:10.780 --> 00:09:16.620]   think that there are hundreds of millions, if not billions of concepts that an LLM needs to understand.
[00:09:17.420 --> 00:09:25.020]   And there are not enough neurons in the LLM to uniquely, or sorry, there's not enough space in the
[00:09:25.020 --> 00:09:30.700]   residual stream to uniquely represent all of these concepts. So you might have, um, a model dimension
[00:09:30.700 --> 00:09:37.660]   that's what, 16,000, 30,000, some, somewhere around there, right? In a big model. That's not nearly enough
[00:09:37.660 --> 00:09:43.900]   to represent hundreds of millions or billions of concepts, each with orthogonal directions. So then
[00:09:43.900 --> 00:09:49.740]   ultimately what ends up happening is the model takes advantage of sparsity and it says, well, if I
[00:09:49.740 --> 00:09:58.220]   represented basketball as north and the Eiffel Tower as east, and I represented ethylene glycol as
[00:09:58.220 --> 00:10:04.460]   northeast, the odds that we're going to have the Eiffel Tower and ethylene glycol in the same sentence
[00:10:04.460 --> 00:10:11.260]   are pretty small, same paragraph, same sentence, whatever. Uh, so that if I take the dot product
[00:10:11.260 --> 00:10:16.860]   against northeast, if either the Eiffel Tower or basketball shows up, I'm screwed, but the odds
[00:10:16.860 --> 00:10:23.180]   of them actually showing up at the same time are really small. Okay. So then the, so then that's the
[00:10:23.180 --> 00:10:31.900]   reason why you need an SAE or, um, in this case, a transcoder, uh, because you have more concepts than you
[00:10:31.900 --> 00:10:39.180]   have, uh, dimensions, uh, that you can just straight up analyze. And so the, the, the cross coder has,
[00:10:39.180 --> 00:10:48.060]   uh, uh, uh, uh, uh, uh, a sparsity penalty, uh, akin to, uh, an L1 loss if you're familiar with lasso
[00:10:48.060 --> 00:10:57.660]   regression. Uh, and that's what encourages it to represent each of these different concepts as a unique
[00:10:58.380 --> 00:11:04.620]   column as a unique neuron in the matrix, as it were, um, instead of the current representation,
[00:11:04.620 --> 00:11:09.260]   they're all just sort of jammed in there. Yeah. Um, basically when they train this,
[00:11:09.260 --> 00:11:13.260]   there's, there's two things that they train on. They use a sparsity penalty, which is, you know,
[00:11:13.260 --> 00:11:18.940]   if you've seen the other SAE work, uh, that enforces it to stay sparse. So, you know, single activations
[00:11:18.940 --> 00:11:24.540]   for concepts and then a reconstruction loss reconstruction loss is so that at inference
[00:11:24.540 --> 00:11:31.980]   time, instead of actually running like inference through haiku, we run inference of a prompt through
[00:11:31.980 --> 00:11:38.780]   our CLT model. So our local reconstruction model, it has the exact same output as haiku or whatever
[00:11:38.780 --> 00:11:44.300]   you're training it on. So this toy model that we've trained exactly kind of one-to-one matches.
[00:11:44.300 --> 00:11:48.620]   Of course there's some degradation, but you know, it's trained with reconstruction loss. So it's trained
[00:11:48.620 --> 00:11:53.980]   to match the exact output of the big model that you trained on. So technically, you know, you should be
[00:11:53.980 --> 00:11:58.380]   able to swap it in directly. And a lot of this works because, you know, you're freezing the attention
[00:11:58.380 --> 00:12:04.140]   layers and you're specifically training it on a loss to recreate the inputs. And from there,
[00:12:04.140 --> 00:12:09.260]   that's where we have this model that now has these sparse features. But, um, yeah, thanks for that
[00:12:09.260 --> 00:12:14.220]   overview, Ted. It's, it's a little bit better for the math explanation of what's going on here,
[00:12:14.220 --> 00:12:20.220]   but, um, continuing through this, here's kind of what happened. So they have this, uh, reconstruction
[00:12:20.220 --> 00:12:25.340]   error. These are error nodes that happened between the original output and the replacement model.
[00:12:25.340 --> 00:12:30.380]   Then they start to prune features that aren't. So since the model is sparse, right, there's only a few
[00:12:30.380 --> 00:12:35.820]   features per token that actually activate a different layer. So this is layer wise activation,
[00:12:35.820 --> 00:12:42.140]   right? This is our local replacement model. So for example, for the first layer here, uh, these three
[00:12:42.140 --> 00:12:47.500]   features activated and this one, these three, and this one, these two for these, they look through
[00:12:47.500 --> 00:12:52.780]   the traversal of what activated and what influenced the final output. And then they start to prune,
[00:12:52.780 --> 00:12:58.220]   I think 95% of the ones that didn't have an effect on the output. And now we can see, okay,
[00:12:58.220 --> 00:13:05.020]   what neurons, what kind of activation features impact the output. And there, from there, we can start to,
[00:13:05.020 --> 00:13:10.300]   you know, generate these attribution graphs, attribution graphs, kind of combine these concepts.
[00:13:10.300 --> 00:13:15.740]   So for these two, for these hierarchical, um, categories, once we cluster them and, you
[00:13:15.740 --> 00:13:21.740]   know, add them on top of each other, what do they represent? So we can see what different features make
[00:13:21.740 --> 00:13:27.980]   up, um, these different tokens. So I didn't find this one to be the most, um, you know, interpretable
[00:13:27.980 --> 00:13:33.020]   because it's on a token split, but they have a lot of these features for different, um, different
[00:13:33.020 --> 00:13:38.060]   concepts, right? So for example, for the word digital here, if we look at it, it's starting to activate
[00:13:38.060 --> 00:13:42.700]   once there's words like smartphones, television companies, there's another feature that takes
[00:13:42.700 --> 00:13:48.300]   it in a different representation, right? So, um, in this one, there's digital suicide,
[00:13:48.300 --> 00:13:52.460]   there's color image, you know, this is like a bit of a different understanding of the word digital.
[00:13:52.460 --> 00:13:56.620]   In this one, there's tech director, right? There's a DVD, which is digital.
[00:13:56.620 --> 00:14:04.860]   In this case, there's, um, mobile devices, same thing for analytics. So web analytics, commercial analytics,
[00:14:05.580 --> 00:14:11.100]   this feature talks about data, quantitative assessments, all, all different features that,
[00:14:11.100 --> 00:14:17.660]   you know, all different features that represent analytics in different, in different, um, domains.
[00:14:17.660 --> 00:14:22.860]   So in this case, there's, um, let's see which other ones make sense. So performance metrics are a way to
[00:14:22.860 --> 00:14:29.420]   analyze, to represent analytics, routines or analytics. Um, but yeah, they kind of start to group these
[00:14:29.420 --> 00:14:35.980]   features into these different things. Then it comes to, uh, how they construct it. Basically,
[00:14:35.980 --> 00:14:41.420]   they have output nodes that are output tokens, and then they prune the ones that don't, um,
[00:14:41.420 --> 00:14:46.700]   really have anything. There's input and output nodes as well. And then we kind of have this whole
[00:14:46.700 --> 00:14:53.260]   interactive chart where you can play around with it. Um, they make it very interactive. Um,
[00:14:53.260 --> 00:14:59.980]   um, they kind of explain what this chart is like. So, uh, for labeling features, you know,
[00:14:59.980 --> 00:15:06.700]   they, they say how there's different understandings for different, for the same concept. Um, I think
[00:15:06.700 --> 00:15:12.060]   that's enough on circuit tracing. If there's questions, we can dig a little deeper and we can
[00:15:12.060 --> 00:15:18.780]   always come back to it. But at a high level, what we've done so far is with a sparsity loss and a
[00:15:18.780 --> 00:15:24.060]   recreation loss, we've kind of created a new local model, which is not small, by the way, the model
[00:15:24.060 --> 00:15:29.820]   has to have the same layers as the original model, and you kind of have to retrain it to match output.
[00:15:29.820 --> 00:15:36.060]   So this is not like cheap per se. It's pretty computationally expensive, but now we've been
[00:15:36.060 --> 00:15:42.860]   able to kind of peel back through different layers, what features kind of activate upon, uh, output.
[00:15:42.860 --> 00:15:49.180]   There's an interesting little section here that talks about how expensive this really is. So estimated
[00:15:49.180 --> 00:15:54.380]   compute requirements for CLT training to give a rough sense of compute requirements to train one.
[00:15:54.380 --> 00:16:01.420]   We share estimated costs for CLTs based on the Gemma 2 series. So on a 2B model to, uh, run 2 million
[00:16:01.420 --> 00:16:07.740]   features and train on a billion tokens, it takes about 210 H100 hours on a 9B model. It takes almost
[00:16:07.740 --> 00:16:15.100]   4,000 H100 hours, and that's for 5 million features on 3 billion tokens. Now that's not cheap, right? Like
[00:16:15.100 --> 00:16:21.420]   this is 4,000 H100 hours. Most people don't have access to that. Um, but you know, they're able to do this
[00:16:21.420 --> 00:16:26.700]   on Haiku and then we go back into our main blog post of what features they found and what different
[00:16:26.700 --> 00:16:32.780]   little, um, interesting niches. I'll take a little pause here and see if we have any questions on
[00:16:32.780 --> 00:16:39.660]   circuit tracing, what this CLT transcoder model is, um, any questions, any thoughts, any additions,
[00:16:39.660 --> 00:16:46.780]   any comments, just very high level. What we've done so far is we've retrained a model. It matches the layers.
[00:16:46.780 --> 00:16:51.740]   We call it the local replacement model. It matches the layers of the original transformer.
[00:16:51.740 --> 00:16:58.300]   It freezes attention. It replaces the MLP or the feed forward network with this transcoder.
[00:16:58.300 --> 00:17:04.060]   And basically this transcoder is just trained to re this model is trained to re output the exact same outputs
[00:17:04.060 --> 00:17:09.900]   for inputs. And then we start to dig deeper at these little, um, sparse features and start to map them.
[00:17:09.900 --> 00:17:15.820]   Uh, they do this, they show the cost of how much it would be then for the big one. So in this paper,
[00:17:15.820 --> 00:17:22.540]   they, they train it on two, two models, 18 layer language model, and then also on Claude Haiku.
[00:17:22.540 --> 00:17:28.300]   The Haiku one is a local model that has 30 million features and you know, you can kind of extrapolate
[00:17:28.300 --> 00:17:34.140]   how expensive that would be. But quick pause, any, any thoughts on circuit tracing, any questions,
[00:17:34.140 --> 00:17:39.020]   or otherwise we can start to continue. The next section is let's start to look at some of these
[00:17:39.020 --> 00:17:43.420]   features. Let's see what happened. Can we, uh, they, they have a few different examples here. So
[00:17:43.420 --> 00:17:50.620]   multi-step reasoning, planning and writing poems, features that are multilingual features that kind of
[00:17:50.620 --> 00:17:56.620]   expect that, uh, mess with medical diagnosis, refusals, they start to do some stuff like different
[00:17:56.620 --> 00:18:02.620]   clamping. So they clamp in different features. So for example, in this, what's the capital of Austin,
[00:18:02.620 --> 00:18:08.380]   if we take out Austin, well, you know, let's say we sub, uh, let's say we throw in the feature for
[00:18:08.380 --> 00:18:16.620]   Sacramento. The model will now output, um, California. Okay. Questions. Why can't we just directly train circuits?
[00:18:16.620 --> 00:18:22.460]   So you kind of are training the circuit. So the circuit tracing is this transcoder. What you are
[00:18:22.460 --> 00:18:27.500]   training is this transcoder network, right? You keep attention flat, you replace it with the MLP,
[00:18:27.500 --> 00:18:34.780]   but you're training this circuit. Um, in terms of directly training on circuits, you're, you're kind
[00:18:34.780 --> 00:18:42.060]   of messing with that feed forward network, right? Like technically this is the exact same thing as our MLP
[00:18:42.060 --> 00:18:47.980]   layer. It's just now you're forcing it to be sparse. Like we've trained a model to do the same thing,
[00:18:47.980 --> 00:18:55.420]   but if you train it with a sparse, uh, with a sparsity in fat, like sparsity from scratch,
[00:18:55.420 --> 00:18:59.980]   you probably won't get very far, right? This is like, in my mind, it's similar to distillation where
[00:18:59.980 --> 00:19:05.420]   you can take a big model. You use a teacher forcing distillation loss to get a small model to mimic it.
[00:19:05.420 --> 00:19:08.780]   But that doesn't mean that you can just train a small model to be just as good.
[00:19:08.780 --> 00:19:15.420]   Um, okay. If we predict smile string, I wonder what concept we can see. So there's like a very,
[00:19:15.420 --> 00:19:19.980]   very deep interactive bunch of demos here of different, uh, input output prompts,
[00:19:19.980 --> 00:19:26.860]   and you can see what features activate. So I found, um, global weights.
[00:19:29.020 --> 00:19:35.260]   Okay. Well, we'll find it cause it shows up again in the other, in the other one, but okay. We'll,
[00:19:35.260 --> 00:19:39.820]   we'll start to go through the actual biology of an LLM. So going through this, um,
[00:19:39.820 --> 00:19:47.900]   okay. In this paper, we focus on applying attribution graphs to Claude 3.5 Haiku, which
[00:19:47.900 --> 00:19:53.260]   is Anthropics lightweight model. So they have this introductory example of multi-step reasoning.
[00:19:53.260 --> 00:20:05.180]   Uh, introductory example of multi-step reasoning, planning and poems, multilingual circuits,
[00:20:05.180 --> 00:20:11.340]   addition, where it shows how it does math, medical diagnosis. Uh, we'll start to go through like the
[00:20:11.340 --> 00:20:15.100]   first three of these. And then I think we'll just open it up for people's thoughts and we can dig
[00:20:15.100 --> 00:20:22.220]   through the rest as needed. So brief overview is kind of that circuit training case study walking through
[00:20:22.220 --> 00:20:29.260]   this. Okay. Um, they do talk a lot about limitations. If anyone's interested in Mechinterp, uh, they have
[00:20:29.260 --> 00:20:35.420]   a whole like limitations section. They have a future works questions. They have open questions that they
[00:20:35.420 --> 00:20:41.260]   would expect people to work on. But remember, unlike essays, which you can do on one layer, this stuff is
[00:20:41.260 --> 00:20:47.820]   pretty compute intensive. So pretty big models you're training, but, um, you know, it's always interesting
[00:20:47.820 --> 00:20:52.780]   stuff for people to work on. Okay. Method overview. This is just high level again of what we just
[00:20:52.780 --> 00:21:00.860]   talked about. You freeze MLP, uh, sorry, you freeze attention. You change MLP to the CLT model. Then we
[00:21:00.860 --> 00:21:05.820]   have feature visualization. They have this error nodes that they have to add in. This is the local replacement
[00:21:05.820 --> 00:21:13.500]   model. So Texas capital is Austin. It goes through these different features. Okay. Um, they group these
[00:21:13.500 --> 00:21:20.460]   related nodes on a single layer into super nodes. So we have one, we have, um, graphs, right? So
[00:21:20.460 --> 00:21:25.580]   basically graph networks are kind of useful in this sense because each node is kind of a concept,
[00:21:25.580 --> 00:21:31.340]   but then the edges between them can go throughout layers, right? So on a layer wise, they call these
[00:21:31.340 --> 00:21:36.700]   super nodes and they kind of stack them together. So in this case, let's look at the features that activate
[00:21:36.700 --> 00:21:45.100]   for the word capital. So, um, obviously terms like city, uh, buildings, uh, there's another feature
[00:21:45.100 --> 00:21:52.620]   for, I guess this is a multilingual one. There's one for businesses, you know, capital, uh, cyber attacks
[00:21:52.620 --> 00:21:58.860]   that happen, venture capital. What else have we got? We've got states, we've got the concepts of the United
[00:21:58.860 --> 00:22:05.260]   state, France. So countries, um, now we've got another feature that, you know, it actually fires
[00:22:05.260 --> 00:22:10.700]   up when we talk about specifics. So Connecticut, um, I think there's one here for languages as well,
[00:22:10.700 --> 00:22:16.140]   which was pretty interesting. So like capital letters, you know, um, of course a bunch more cities.
[00:22:16.140 --> 00:22:23.180]   Um, that's kind of the basic graph, right? So for Texas, we've got stuff like income tax, big,
[00:22:23.180 --> 00:22:31.500]   far, um, Austin, different things that Texas is like. So these are kind of these super clusters.
[00:22:31.500 --> 00:22:36.620]   Um, this is their example of intervention. If they clamp down the feature of Texas,
[00:22:36.620 --> 00:22:41.420]   well now, you know, Texas capital, well, instead we're going to go through capital, say a capital,
[00:22:41.420 --> 00:22:47.020]   then we observe that if we take out Texas, it instead decides that Sacramento is pretty important.
[00:22:47.020 --> 00:22:51.820]   It's, it's the capital that it decides to predict. So, uh, we can clamp down on these.
[00:22:51.820 --> 00:22:56.780]   Not sure. I understand why transformer attention KV matrices are needed to be frozen. It's needed to
[00:22:56.780 --> 00:23:01.180]   be frozen because they don't want to train more than what they need in the circuit tracing, right?
[00:23:01.180 --> 00:23:06.540]   They're basically doing this sparsity loss. And once you start messing with attention and training
[00:23:06.540 --> 00:23:11.660]   in this objective, you're kind of going to mess stuff up, right? So all they're really trying to
[00:23:11.660 --> 00:23:17.660]   do in circuit tracing is just train this, um, this replacement layer. They're, they're just training
[00:23:18.220 --> 00:23:23.900]   these sparse transcoders. They're, they're not trying to, they're not trying to mess with attention.
[00:23:23.900 --> 00:23:29.500]   So attention is a lot of the training, but you know, perhaps they could unfreeze it and we'd start to
[00:23:29.500 --> 00:23:37.260]   get a weird aspect where, you know, now you have randomly your zero initialized weights. Um, and it's
[00:23:37.260 --> 00:23:41.980]   not what we're trying to look at, but you could also do this through, um, the, the attention layers
[00:23:41.980 --> 00:23:47.420]   are still kind of mapped. Right. But, um, yeah, that's why we're not freezing. That's why we freeze
[00:23:47.420 --> 00:23:54.780]   attention. Okay. Uh, continuing through this, this is their first example of let's see if we can see
[00:23:54.780 --> 00:24:02.060]   multi-step reasoning in, um, cloud 3.5 Haiku. And this is not a thinking model. This is just a regular
[00:24:02.060 --> 00:24:08.060]   next token prediction model. How does it come to the output? So let's consider the prompt, uh, fact,
[00:24:08.060 --> 00:24:13.100]   the capital of the state containing Dallas is, and then of course, Haiku is pretty straightforward.
[00:24:13.100 --> 00:24:18.140]   It answers, uh, Austin. So this step, this question, this prompt takes two steps, right?
[00:24:18.140 --> 00:24:23.900]   First, you have to realize that it's asking about the state containing Dallas. So, um, it's asking
[00:24:23.900 --> 00:24:29.260]   about the capital of the state containing Dallas. So first, what state is Dallas in? I have to think,
[00:24:29.260 --> 00:24:35.900]   okay, it's in Texas. Second, I have to think, what is the capital of Texas? It's Austin. So kind of two
[00:24:35.900 --> 00:24:41.980]   steps to this answer. Right now, the question is, does Claude actually do these two steps internally
[00:24:41.980 --> 00:24:46.540]   or does it kind of just pattern match shortcut? Like it's been trained enough to just realize,
[00:24:46.540 --> 00:24:51.420]   oh, this is obviously just Austin. So let's peel back what happens at different layers.
[00:24:51.420 --> 00:24:56.700]   Let's see what features activate and see if we have any traces of these, this sort of thinking work,
[00:24:56.700 --> 00:25:03.020]   right? Does it have these two steps? Um, previous work has shown that there is evidence of genuine,
[00:25:03.020 --> 00:25:08.700]   of genuine multi-hop reasoning to various degrees, but let's do it with their attribution graph.
[00:25:08.700 --> 00:25:13.980]   So here's kind of, um, what they visualize. So first we find several features for the word,
[00:25:13.980 --> 00:25:21.740]   the exact word capital. So the word capital has different features, right? So there's a business
[00:25:21.740 --> 00:25:27.020]   capital. There's all this, um, capital of different countries. There's these different
[00:25:27.020 --> 00:25:32.060]   features that they group together. They actually have cities as well. So Berlin, Athens, Bangkok,
[00:25:32.060 --> 00:25:39.260]   Tokyo, Dublin, um, top of buildings. One example, um, there's, there's several features. Okay.
[00:25:39.260 --> 00:25:44.780]   Then there's output features. So landmarks in Texas, these show up for, um,
[00:25:45.900 --> 00:25:52.220]   one feature activates on various landmarks. So there's a feature around suburban district,
[00:25:52.220 --> 00:26:02.060]   Texas history museum, some seafood place. Uh, we also find promote the same capital. Okay. Uh,
[00:26:02.060 --> 00:26:08.140]   features that promote the output of the same capital generally. So responding with a variety of us state
[00:26:08.140 --> 00:26:16.620]   capitals, this feature talks about different capitals. So headquarters, state capital promote
[00:26:16.620 --> 00:26:22.620]   various countries, Maryland, Massachusetts, but going through all that, here's kind of where we get up.
[00:26:22.620 --> 00:26:28.140]   So fact, the capital of the state containing Dallas is when we look at capital, here's the different
[00:26:28.140 --> 00:26:35.420]   meanings of it, you know, um, state Dallas. Then when we go one, one level deeper, it looks like,
[00:26:35.420 --> 00:26:44.060]   oh, there's this super node of say a capital, say a capital has capitals, crazy concept. It maps to
[00:26:44.060 --> 00:26:51.980]   capitals. Texas has, you know, examples of different things in Texas. So Houston, Austin, San Antonio,
[00:26:51.980 --> 00:27:01.180]   uh, features for, you know, different things croquet that happens here, this place teacher stuff. Um,
[00:27:01.980 --> 00:27:07.980]   the attribution graph contains multiple interesting paths. We summarize them below. So the Dallas feature
[00:27:07.980 --> 00:27:13.180]   with some contribution from the state feature activates a group of features that represent concepts
[00:27:13.180 --> 00:27:22.620]   state of, uh, related to the state of Texas. So Dallas and state, Dallas and state have features of Texas.
[00:27:22.620 --> 00:27:28.860]   Um, kind of interesting, right? Dallas and state have features of Texas in parallel features activated by the
[00:27:28.860 --> 00:27:35.580]   world capital activate another cluster used to say the name of a capital. So features of capital
[00:27:35.580 --> 00:27:42.860]   have features of say a capital, Texas features and stay a feature, uh, say a capital eventually
