
[00:00:00.040 --> 00:00:09.540]   granddaughter
[00:04:52.460 --> 00:05:22.500]  , whereas today, Americans sit back and are happy with anywhere from a third to a half of their income going to taxes. So all of the nostalgia about somehow things are better today under a constitution and all this stuff versus how they were under King George is nonsense. So if I could, I'd go back to King George in an instant. I'd give up. You can have your no taxation without representation. You can have your representation and I'll take the no taxation that the previous colonists enjoyed. Much of the kind of American
[00:07:52.740 --> 00:08:22.740]   To the American tax system, there's a lot of examples of taxing. I'm going to give you a little bit of a summary of some of the examples, but I'm going to go through them one by one. So one of the things that's interesting about this is they go through and the author of this article points out why and how Americans are so much higher in terms of the American compliance with the tax rates. And the author tries to go through and identify some of the different reasons why they don't cheat on their taxes.
[00:08:22.740 --> 00:08:22.740]   .
[00:08:52.820 --> 00:09:00.540]   ride
[00:09:00.540 --> 00:09:22.800]   hide. seesTS E I it. is.
[00:09:22.840 --> 00:09:28.800]   hung
[00:09:28.800 --> 00:09:32.400]   over
[00:10:50.320 --> 00:11:19.440]   rendition of the contract.
[00:11:19.440 --> 00:11:19.460]   and I think that's a very important point.
[00:11:19.460 --> 00:11:19.460]   If you're paying taxes at a 50% tax rate, versus if you're paying taxes at a 20% tax rate, it's just a very different scenario. But don't try to propose Europe quite so much until you actually look at the rate of compliance. Again, Germany's is the highest, 68%. The United States, however, is 81% to 84% voluntary compliance rate. Now, the next question that you ask is this. I understand that government wastes a lot of money, but it also does a lot of good. Infrastructure, financing, research, and social media.
[00:11:48.640 --> 00:12:17.800]  obedience.com
[00:12:17.800 --> 00:12:17.820]   and I'll be sure to put that in the comments.
[00:12:17.820 --> 00:12:17.880]   I'll be sure to put that in the comments.
[00:12:17.880 --> 00:12:17.960]   I'll be sure to put that in the comments.
[00:12:17.960 --> 00:12:18.020]   I'll be sure to put that in the comments.
[00:12:18.020 --> 00:12:18.060]   I'll be sure to put that in the comments.
[00:12:18.060 --> 00:12:18.100]   I'll be sure to put that in the comments.
[00:12:18.100 --> 00:12:18.140]   I'll be sure to put that in the comments.
[00:12:18.140 --> 00:12:18.200]   I'll be sure to put that in the comments.
[00:12:18.200 --> 00:12:18.240]   I'll be sure to put that in the comments.
[00:12:18.240 --> 00:12:18.260]   I'll be sure to put that in the comments.
[00:12:18.260 --> 00:12:18.300]   I'll be sure to put that in the comments.
[00:12:18.300 --> 00:12:18.360]   I'll be sure to put that in the comments.
[00:12:18.500 --> 00:12:48.160]   I'll be sure to put that in the comments.
[00:12:48.160 --> 00:12:48.180]   I'll be sure to put that in the comments.
[00:12:48.180 --> 00:12:48.200]   I'll be sure to put that in the comments.
[00:12:48.200 --> 00:12:48.220]   I'll be sure to put that in the comments.
[00:12:48.220 --> 00:12:48.240]   I'll be sure to put that in the comments.
[00:12:48.240 --> 00:12:48.340]   I'll be sure to put that in the comments.
[00:12:48.340 --> 00:12:48.380]   I'll be sure to put that in the comments.
[00:12:48.380 --> 00:12:48.380]   I'll be sure to put that in the comments.
[00:12:48.400 --> 00:13:18.400]   I'll be sure to put that in the comments.
[00:13:18.400 --> 00:13:18.400]   I'll be sure to put that in the comments.
[00:13:18.400 --> 00:13:18.400]   I'll be sure to put that in the comments.
[00:13:18.400 --> 00:13:18.400]   I'll be sure to put that in the comments.
[00:13:18.400 --> 00:13:18.400]   I'll be sure to put that in the comments.
[00:13:18.400 --> 00:13:18.400]   I'll be sure to put that in the comments.
[00:13:18.400 --> 00:13:18.400]   I'll be sure to put that in the comments.
[00:13:18.400 --> 00:13:18.400]   I'll be sure to put that in the comments.
[00:13:18.400 --> 00:13:18.400]   I'll be sure to put that in the comments.
[00:13:18.400 --> 00:13:18.400]   I'll be sure to put that in the comments.
[00:13:18.400 --> 00:13:18.400]   I'll be sure to put that in the comments.
[00:13:18.400 --> 00:13:18.400]   I'll be sure to put that in the comments.
[00:13:18.400 --> 00:13:18.400]   I'll be sure to put that in the comments.
[00:13:18.400 --> 00:13:18.400]   I'll be sure to put that in the comments.
[00:13:18.400 --> 00:13:18.400]   I'll be sure to put that in the comments.
[00:13:18.400 --> 00:13:18.400]   I'll be sure to put that in the comments.
[00:13:18.400 --> 00:13:48.420]   I'll be sure to put that in the comments.
[00:13:48.420 --> 00:13:48.420]   I'll be sure to put that in the comments.
[00:13:48.420 --> 00:13:48.420]   I'll be sure to put that in the comments.
[00:13:48.420 --> 00:13:48.420]   I'll be sure to put that in the comments.
[00:13:48.420 --> 00:13:48.420]   I'll be sure to put that in the comments.
[00:13:48.420 --> 00:13:48.420]   I'll be sure to put that in the comments.
[00:13:48.420 --> 00:13:48.420]   I'll be sure to put that in the comments.
[00:13:48.420 --> 00:13:48.420]   I'll be sure to put that in the comments.
[00:13:48.420 --> 00:13:48.420]   I'll be sure to put that in the comments.
[00:13:48.420 --> 00:13:48.420]   I'll be sure to put that in the comments.
[00:13:48.420 --> 00:13:48.420]   I'll be sure to put that in the comments.
[00:13:48.420 --> 00:13:48.420]   I'll be sure to put that in the comments.
[00:13:48.440 --> 00:14:18.440]   I'll be sure to put that in the comments.
[00:14:18.440 --> 00:14:18.440]   I'll be sure to put that in the comments.
[00:14:18.440 --> 00:14:18.440]   I'll be sure to put that in the comments.
[00:14:18.440 --> 00:14:18.440]   I'll be sure to put that in the comments.
[00:14:18.440 --> 00:14:18.440]   I'll be sure to put that in the comments.
[00:14:18.440 --> 00:14:18.440]   I'll be sure to put that in the comments.
[00:14:18.440 --> 00:14:18.440]   I'll be sure to put that in the comments.
[00:14:18.440 --> 00:14:18.440]   I'll be sure to put that in the comments.
[00:14:18.440 --> 00:14:18.440]   I'll be sure to put that in the comments.
[00:14:18.440 --> 00:14:18.440]   I'll be sure to put that in the comments.
[00:14:18.440 --> 00:14:18.440]   I'll be sure to put that in the comments.
[00:14:18.440 --> 00:14:18.440]   I'll be sure to put that in the comments.
[00:14:18.440 --> 00:14:18.440]   I'll be sure to put that in the comments.
[00:14:18.440 --> 00:14:18.440]   I'll be sure to put that in the comments.
[00:14:18.440 --> 00:14:18.440]   I'll be sure to put that in the comments.
[00:14:18.440 --> 00:14:18.440]   I'll be sure to put that in the comments.
[00:14:18.440 --> 00:14:48.460]   I'll be sure to put that in the comments.
[00:14:48.460 --> 00:14:48.460]   I'll be sure to put that in the comments.
[00:14:48.460 --> 00:14:48.460]   I'll be sure to put that in the comments.
[00:14:48.460 --> 00:14:48.460]   I'll be sure to put that in the comments.
[00:14:48.460 --> 00:14:48.460]   I'll be sure to put that in the comments.
[00:14:48.460 --> 00:14:48.460]   I'll be sure to put that in the comments.
[00:14:48.460 --> 00:14:48.460]   I'll be sure to put that in the comments.
[00:14:48.460 --> 00:14:48.460]   I'll be sure to put that in the comments.
[00:14:48.460 --> 00:14:48.460]   I'll be sure to put that in the comments.
[00:14:48.460 --> 00:14:48.460]   I'll be sure to put that in the comments.
[00:14:48.460 --> 00:14:48.460]   I'll be sure to put that in the comments.
[00:14:48.460 --> 00:14:48.460]   I'll be sure to put that in the comments.
[00:14:48.460 --> 00:14:48.460]   I'll be sure to put that in the comments.
[00:14:48.460 --> 00:14:48.460]   I'll be sure to put that in the comments.
[00:14:48.480 --> 00:15:18.480]   I'll be sure to put that in the comments.
[00:15:18.480 --> 00:15:18.480]   I'll be sure to put that in the comments.
[00:15:18.480 --> 00:15:18.480]   I'll be sure to put that in the comments.
[00:15:18.480 --> 00:15:18.480]   I'll be sure to put that in the comments.
[00:15:18.480 --> 00:15:18.480]   I'll be sure to put that in the comments.
[00:15:18.480 --> 00:15:18.480]   I'll be sure to put that in the comments.
[00:15:18.480 --> 00:15:18.480]   I'll be sure to put that in the comments.
[00:15:18.480 --> 00:15:18.480]   I'll be sure to put that in the comments.
[00:15:18.480 --> 00:15:18.480]   I'll be sure to put that in the comments.
[00:15:18.480 --> 00:15:18.480]   I'll be sure to put that in the comments.
[00:15:18.480 --> 00:15:18.480]   I'll be sure to put that in the comments.
[00:15:18.480 --> 00:15:18.480]   I'll be sure to put that in the comments.
[00:15:18.480 --> 00:15:18.480]   I'll be sure to put that in the comments.
[00:15:18.480 --> 00:15:18.480]   I'll be sure to put that in the comments.
[00:15:18.480 --> 00:15:18.480]   I'll be sure to put that in the comments.
[00:15:18.480 --> 00:15:18.480]   I'll be sure to put that in the comments.
[00:15:18.480 --> 00:15:48.500]   I'll be sure to put that in the comments.
[00:15:48.500 --> 00:15:48.500]   I'll be sure to put that in the comments.
[00:15:48.500 --> 00:15:48.500]   I'll be sure to put that in the comments.
[00:15:48.500 --> 00:15:48.500]   I'll be sure to put that in the comments.
[00:15:48.500 --> 00:15:48.500]   I'll be sure to put that in the comments.
[00:15:48.500 --> 00:15:48.500]   I'll be sure to put that in the comments.
[00:15:48.500 --> 00:15:48.500]   I'll be sure to put that in the comments.
[00:15:48.500 --> 00:15:48.500]   I'll be sure to put that in the comments.
[00:15:48.500 --> 00:15:48.500]   I'll be sure to put that in the comments.
[00:15:48.500 --> 00:15:48.500]   I'll be sure to put that in the comments.
[00:15:48.500 --> 00:15:48.500]   I'll be sure to put that in the comments.
[00:15:48.500 --> 00:15:48.500]   I'll be sure to put that in the comments.
[00:15:48.500 --> 00:15:48.500]   I'll be sure to put that in the comments.
[00:15:48.520 --> 00:16:18.520]   I'll be sure to put that in the comments.
[00:16:18.520 --> 00:16:18.520]   I'll be sure to put that in the comments.
[00:16:18.520 --> 00:16:18.520]   I'll be sure to put that in the comments.
[00:16:18.520 --> 00:16:18.520]   I'll be sure to put that in the comments.
[00:16:18.520 --> 00:16:18.520]   I'll be sure to put that in the comments.
[00:16:18.520 --> 00:16:18.520]   I'll be sure to put that in the comments.
[00:16:18.520 --> 00:16:18.520]   I'll be sure to put that in the comments.
[00:16:18.520 --> 00:16:18.520]   I'll be sure to put that in the comments.
[00:16:18.520 --> 00:16:18.520]   I'll be sure to put that in the comments.
[00:16:18.520 --> 00:16:18.520]   I'll be sure to put that in the comments.
[00:16:18.520 --> 00:16:18.520]   I'll be sure to put that in the comments.
[00:16:18.520 --> 00:16:18.520]   I'll be sure to put that in the comments.
[00:16:18.520 --> 00:16:18.520]   I'll be sure to put that in the comments.
[00:16:18.520 --> 00:16:18.520]   I'll be sure to put that in the comments.
[00:16:18.520 --> 00:16:18.520]   I'll be sure to put that in the comments.
[00:16:18.520 --> 00:16:18.520]   I'll be sure to put that in the comments.
[00:16:18.520 --> 00:16:48.540]   I'll be sure to put that in the comments.
[00:16:48.540 --> 00:16:48.540]   I'll be sure to put that in the comments.
[00:16:48.540 --> 00:16:48.540]   I'll be sure to put that in the comments.
[00:16:48.540 --> 00:16:48.540]   I'll be sure to put that in the comments.
[00:16:48.540 --> 00:16:48.540]   I'll be sure to put that in the comments.
[00:16:48.540 --> 00:16:48.540]   I'll be sure to put that in the comments.
[00:16:48.540 --> 00:16:48.540]   I'll be sure to put that in the comments.
[00:16:48.540 --> 00:16:48.540]   I'll be sure to put that in the comments.
[00:16:48.540 --> 00:16:48.540]   I'll be sure to put that in the comments.
[00:16:48.540 --> 00:16:48.540]   I'll be sure to put that in the comments.
[00:16:48.540 --> 00:16:48.540]   I'll be sure to put that in the comments.
[00:16:48.560 --> 00:17:18.560]   I'll be sure to put that in the comments.
[00:17:18.560 --> 00:17:18.560]   I'll be sure to put that in the comments.
[00:17:18.560 --> 00:17:18.560]   I'll be sure to put that in the comments.
[00:17:18.560 --> 00:17:18.560]   I'll be sure to put that in the comments.
[00:17:18.560 --> 00:17:18.560]   I'll be sure to put that in the comments.
[00:17:18.560 --> 00:17:18.560]   I'll be sure to put that in the comments.
[00:17:18.560 --> 00:17:18.560]   I'll be sure to put that in the comments.
[00:17:18.560 --> 00:17:18.560]   I'll be sure to put that in the comments.
[00:17:18.560 --> 00:17:18.560]   I'll be sure to put that in the comments.
[00:17:18.560 --> 00:17:18.560]   I'll be sure to put that in the comments.
[00:17:18.560 --> 00:17:18.560]   I'll be sure to put that in the comments.
[00:17:18.560 --> 00:17:18.560]   I'll be sure to put that in the comments.
[00:17:18.560 --> 00:17:18.560]   I'll be sure to put that in the comments.
[00:17:18.560 --> 00:17:18.560]   I'll be sure to put that in the comments.
[00:17:18.560 --> 00:17:18.560]   I'll be sure to put that in the comments.
[00:17:18.560 --> 00:17:18.560]   I'll be sure to put that in the comments.
[00:17:18.560 --> 00:17:48.580]   I'll be sure to put that in the comments.
[00:17:48.580 --> 00:17:48.580]   I'll be sure to put that in the comments.
[00:17:48.580 --> 00:17:48.580]   I'll be sure to put that in the comments.
[00:17:48.580 --> 00:17:48.580]   I'll be sure to put that in the comments.
[00:17:48.580 --> 00:17:48.580]   I'll be sure to put that in the comments.
[00:17:48.580 --> 00:17:48.580]   I'll be sure to put that in the comments.
[00:17:48.580 --> 00:17:48.580]   I'll be sure to put that in the comments.
[00:17:48.580 --> 00:17:48.580]   I'll be sure to put that in the comments.
[00:17:48.580 --> 00:17:48.580]   I'll be sure to put that in the comments.
[00:17:48.580 --> 00:17:48.580]   I'll be sure to put that in the comments.
[00:17:48.580 --> 00:17:48.580]   I'll be sure to put that in the comments.
[00:17:48.580 --> 00:17:48.580]   I'll be sure to put that in the comments.
[00:17:48.580 --> 00:17:48.580]   I'll be sure to put that in the comments.
[00:17:48.600 --> 00:18:18.600]   I'll be sure to put that in the comments.
[00:18:18.600 --> 00:18:18.600]   I'll be sure to put that in the comments.
[00:18:18.600 --> 00:18:18.600]   I'll be sure to put that in the comments.
[00:18:18.600 --> 00:18:18.600]   I'll be sure to put that in the comments.
[00:18:18.600 --> 00:18:18.600]   I'll be sure to put that in the comments.
[00:18:18.600 --> 00:18:18.600]   I'll be sure to put that in the comments.
[00:18:18.600 --> 00:18:18.600]   I'll be sure to put that in the comments.
[00:18:18.600 --> 00:18:18.600]   I'll be sure to put that in the comments.
[00:18:18.600 --> 00:18:18.600]   I'll be sure to put that in the comments.
[00:18:18.600 --> 00:18:18.600]   I'll be sure to put that in the comments.
[00:18:18.600 --> 00:18:18.600]   I'll be sure to put that in the comments.
[00:18:18.600 --> 00:18:18.600]   I'll be sure to put that in the comments.
[00:18:18.600 --> 00:18:18.600]   I'll be sure to put that in the comments.
[00:18:18.600 --> 00:18:18.600]   I'll be sure to put that in the comments.
[00:18:18.600 --> 00:18:18.600]   I'll be sure to put that in the comments.
[00:18:18.600 --> 00:18:18.600]   I'll be sure to put that in the comments.
[00:18:18.600 --> 00:18:48.620]   I'll be sure to put that in the comments.
[00:18:48.620 --> 00:18:48.620]   I'll be sure to put that in the comments.
[00:18:48.620 --> 00:18:48.620]   I'll be sure to put that in the comments.
[00:18:48.620 --> 00:18:48.620]   I'll be sure to put that in the comments.
[00:18:48.620 --> 00:18:48.620]   I'll be sure to put that in the comments.
[00:18:48.620 --> 00:18:48.620]   I'll be sure to put that in the comments.
[00:18:48.620 --> 00:18:48.620]   I'll be sure to put that in the comments.
[00:18:48.620 --> 00:18:48.620]   I'll be sure to put that in the comments.
[00:18:48.620 --> 00:18:48.620]   I'll be sure to put that in the comments.
[00:18:48.620 --> 00:18:48.620]   I'll be sure to put that in the comments.
[00:18:48.620 --> 00:18:48.620]   I'll be sure to put that in the comments.
[00:18:48.620 --> 00:18:48.620]   I'll be sure to put that in the comments.
[00:18:48.640 --> 00:19:18.640]   I'll be sure to put that in the comments.
[00:19:18.640 --> 00:19:18.640]   I'll be sure to put that in the comments.
[00:19:18.640 --> 00:19:18.640]   I'll be sure to put that in the comments.
[00:19:18.640 --> 00:19:18.640]   I'll be sure to put that in the comments.
[00:19:18.640 --> 00:19:18.640]   I'll be sure to put that in the comments.
[00:19:18.640 --> 00:19:18.640]   I'll be sure to put that in the comments.
[00:19:18.640 --> 00:19:18.640]   I'll be sure to put that in the comments.
[00:19:18.640 --> 00:19:18.640]   I'll be sure to put that in the comments.
[00:19:18.640 --> 00:19:18.640]   I'll be sure to put that in the comments.
[00:19:18.640 --> 00:19:18.640]   I'll be sure to put that in the comments.
[00:19:18.640 --> 00:19:18.640]   I'll be sure to put that in the comments.
[00:19:18.640 --> 00:19:18.640]   I'll be sure to put that in the comments.
[00:19:18.640 --> 00:19:18.640]   I'll be sure to put that in the comments.
[00:19:18.640 --> 00:19:18.640]   I'll be sure to put that in the comments.
[00:19:18.640 --> 00:19:18.640]   I'll be sure to put that in the comments.
[00:19:18.640 --> 00:19:18.640]   I'll be sure to put that in the comments.
[00:19:18.640 --> 00:19:48.660]   I'll be sure to put that in the comments.
[00:19:48.660 --> 00:19:48.660]   I'll be sure to put that in the comments.
[00:19:48.660 --> 00:19:48.660]   I'll be sure to put that in the comments.
[00:19:48.660 --> 00:19:48.660]   I'll be sure to put that in the comments.
[00:19:48.660 --> 00:19:48.660]   I'll be sure to put that in the comments.
[00:19:48.660 --> 00:19:48.660]   I'll be sure to put that in the comments.
[00:19:48.660 --> 00:19:48.660]   I'll be sure to put that in the comments.
[00:19:48.660 --> 00:19:48.660]   I'll be sure to put that in the comments.
[00:19:48.660 --> 00:19:48.660]   I'll be sure to put that in the comments.
[00:19:48.660 --> 00:19:48.660]   I'll be sure to put that in the comments.
[00:19:48.660 --> 00:19:48.660]   I'll be sure to put that in the comments.
[00:19:48.660 --> 00:19:48.660]   I'll be sure to put that in the comments.
[00:19:48.680 --> 00:20:18.680]   I'll be sure to put that in the comments.
[00:20:18.680 --> 00:20:18.680]   I'll be sure to put that in the comments.
[00:20:18.680 --> 00:20:18.680]   I'll be sure to put that in the comments.
[00:20:18.680 --> 00:20:18.680]   I'll be sure to put that in the comments.
[00:20:18.680 --> 00:20:18.680]   I'll be sure to put that in the comments.
[00:20:18.680 --> 00:20:18.680]   I'll be sure to put that in the comments.
[00:20:18.680 --> 00:20:18.680]   I'll be sure to put that in the comments.
[00:20:18.680 --> 00:20:18.680]   I'll be sure to put that in the comments.
[00:20:18.680 --> 00:20:18.680]   I'll be sure to put that in the comments.
[00:20:18.680 --> 00:20:18.680]   I'll be sure to put that in the comments.
[00:20:18.680 --> 00:20:18.680]   I'll be sure to put that in the comments.
[00:20:18.680 --> 00:20:18.680]   I'll be sure to put that in the comments.
[00:20:18.680 --> 00:20:18.680]   I'll be sure to put that in the comments.
[00:20:18.680 --> 00:20:18.680]   I'll be sure to put that in the comments.
[00:20:18.680 --> 00:20:18.680]   I'll be sure to put that in the comments.
[00:20:18.680 --> 00:20:18.680]   I'll be sure to put that in the comments.
[00:20:18.680 --> 00:20:48.700]   I'll be sure to put that in the comments.
[00:20:48.700 --> 00:20:48.700]   I'll be sure to put that in the comments.
[00:20:48.700 --> 00:20:48.700]   I'll be sure to put that in the comments.
[00:20:48.700 --> 00:20:48.700]   I'll be sure to put that in the comments.
[00:20:48.700 --> 00:20:48.700]   I'll be sure to put that in the comments.
[00:20:48.700 --> 00:20:48.700]   I'll be sure to put that in the comments.
[00:20:48.700 --> 00:20:48.700]   I'll be sure to put that in the comments.
[00:20:48.700 --> 00:20:48.700]   I'll be sure to put that in the comments.
[00:20:48.720 --> 00:21:18.720]   I'll be sure to put that in the comments.
[00:21:18.720 --> 00:21:18.720]   I'll be sure to put that in the comments.
[00:21:18.720 --> 00:21:18.720]   I'll be sure to put that in the comments.
[00:21:18.720 --> 00:21:18.720]   I'll be sure to put that in the comments.
[00:21:18.720 --> 00:21:18.720]   I'll be sure to put that in the comments.
[00:21:18.720 --> 00:21:18.720]   I'll be sure to put that in the comments.
[00:21:18.720 --> 00:21:18.720]   I'll be sure to put that in the comments.
[00:21:18.720 --> 00:21:18.720]   I'll be sure to put that in the comments.
[00:21:18.720 --> 00:21:18.720]   I'll be sure to put that in the comments.
[00:21:18.720 --> 00:21:18.720]   I'll be sure to put that in the comments.
[00:21:18.720 --> 00:21:18.720]   I'll be sure to put that in the comments.
[00:21:18.720 --> 00:21:18.720]   I'll be sure to put that in the comments.
[00:21:18.720 --> 00:21:18.720]   I'll be sure to put that in the comments.
[00:21:18.720 --> 00:21:18.720]   I'll be sure to put that in the comments.
[00:21:18.720 --> 00:21:18.720]   I'll be sure to put that in the comments.
[00:21:18.720 --> 00:21:18.720]   I'll be sure to put that in the comments.
[00:21:18.720 --> 00:21:48.740]   I'll be sure to put that in the comments.
[00:21:48.740 --> 00:21:48.740]   I'll be sure to put that in the comments.
[00:21:48.740 --> 00:21:48.740]   I'll be sure to put that in the comments.
[00:21:48.740 --> 00:21:48.740]   I'll be sure to put that in the comments.
[00:21:48.740 --> 00:21:48.740]   I'll be sure to put that in the comments.
[00:21:48.740 --> 00:21:48.740]   I'll be sure to put that in the comments.
[00:21:48.740 --> 00:21:48.740]   I'll be sure to put that in the comments.
[00:21:48.740 --> 00:21:48.740]   I'll be sure to put that in the comments.
[00:21:48.740 --> 00:21:48.740]   I'll be sure to put that in the comments.
[00:21:48.740 --> 00:21:48.740]   I'll be sure to put that in the comments.
[00:21:48.760 --> 00:22:18.760]   I'll be sure to put that in the comments.
[00:22:18.760 --> 00:22:18.760]   I'll be sure to put that in the comments.
[00:22:18.760 --> 00:22:18.760]   I'll be sure to put that in the comments.
[00:22:18.760 --> 00:22:18.760]   I'll be sure to put that in the comments.
[00:22:18.760 --> 00:22:18.760]   I'll be sure to put that in the comments.
[00:22:18.760 --> 00:22:18.760]   I'll be sure to put that in the comments.
[00:22:18.760 --> 00:22:18.760]   I'll be sure to put that in the comments.
[00:22:18.760 --> 00:22:18.760]   I'll be sure to put that in the comments.
[00:22:18.760 --> 00:22:18.760]   I'll be sure to put that in the comments.
[00:22:18.760 --> 00:22:18.760]   I'll be sure to put that in the comments.
[00:22:18.760 --> 00:22:18.760]   I'll be sure to put that in the comments.
[00:22:18.760 --> 00:22:18.760]   I'll be sure to put that in the comments.
[00:22:18.760 --> 00:22:18.760]   I'll be sure to put that in the comments.
[00:22:18.760 --> 00:22:18.760]   I'll be sure to put that in the comments.
[00:22:18.760 --> 00:22:18.760]   I'll be sure to put that in the comments.
[00:22:18.760 --> 00:22:18.760]   I'll be sure to put that in the comments.
[00:22:18.760 --> 00:22:48.780]   I'll be sure to put that in the comments.
[00:22:48.780 --> 00:22:48.780]   I'll be sure to put that in the comments.
[00:22:48.780 --> 00:22:48.780]   I'll be sure to put that in the comments.
[00:22:48.780 --> 00:22:48.780]   I'll be sure to put that in the comments.
[00:22:48.780 --> 00:22:48.780]   I'll be sure to put that in the comments.
[00:22:48.780 --> 00:22:48.780]   I'll be sure to put that in the comments.
[00:22:48.780 --> 00:22:48.780]   I'll be sure to put that in the comments.
[00:22:48.780 --> 00:22:48.780]   I'll be sure to put that in the comments.
[00:22:48.780 --> 00:22:48.780]   I'll be sure to put that in the comments.
[00:22:48.780 --> 00:22:48.780]   I'll be sure to put that in the comments.
[00:22:48.800 --> 00:23:18.800]   I'll be sure to put that in the comments.
[00:23:18.800 --> 00:23:18.800]   I'll be sure to put that in the comments.
[00:23:18.800 --> 00:23:18.800]   I'll be sure to put that in the comments.
[00:23:18.800 --> 00:23:18.800]   I'll be sure to put that in the comments.
[00:23:18.800 --> 00:23:18.800]   I'll be sure to put that in the comments.
[00:23:18.800 --> 00:23:18.800]   I'll be sure to put that in the comments.
[00:23:18.800 --> 00:23:18.800]   I'll be sure to put that in the comments.
[00:23:18.800 --> 00:23:18.800]   I'll be sure to put that in the comments.
[00:23:18.800 --> 00:23:18.800]   I'll be sure to put that in the comments.
[00:23:18.800 --> 00:23:18.800]   I'll be sure to put that in the comments.
[00:23:18.800 --> 00:23:18.800]   I'll be sure to put that in the comments.
[00:23:18.800 --> 00:23:18.800]   I'll be sure to put that in the comments.
[00:23:18.800 --> 00:23:18.800]   I'll be sure to put that in the comments.
[00:23:18.800 --> 00:23:18.800]   I'll be sure to put that in the comments.
[00:23:18.800 --> 00:23:18.800]   I'll be sure to put that in the comments.
[00:23:18.800 --> 00:23:18.800]   I'll be sure to put that in the comments.
[00:23:18.800 --> 00:23:48.820]   I'll be sure to put that in the comments.
[00:23:48.820 --> 00:23:48.820]   I'll be sure to put that in the comments.
[00:23:48.820 --> 00:23:48.820]   I'll be sure to put that in the comments.
[00:23:48.820 --> 00:23:48.820]   I'll be sure to put that in the comments.
[00:23:48.820 --> 00:23:48.820]   I'll be sure to put that in the comments.
[00:23:48.820 --> 00:23:48.820]   I'll be sure to put that in the comments.
[00:23:48.820 --> 00:23:48.820]   I'll be sure to put that in the comments.
[00:23:48.820 --> 00:23:48.820]   I'll be sure to put that in the comments.
[00:23:48.820 --> 00:23:48.820]   I'll be sure to put that in the comments.
[00:23:48.820 --> 00:23:48.820]   I'll be sure to put that in the comments.
[00:23:48.820 --> 00:23:48.820]   I'll be sure to put that in the comments.
[00:23:48.840 --> 00:24:18.840]   I'll be sure to put that in the comments.
[00:24:18.840 --> 00:24:18.840]   I'll be sure to put that in the comments.
[00:24:18.840 --> 00:24:18.840]   I'll be sure to put that in the comments.
[00:24:18.840 --> 00:24:18.840]   I'll be sure to put that in the comments.
[00:24:18.840 --> 00:24:18.840]   I'll be sure to put that in the comments.
