
[00:00:00.000 --> 00:00:03.520]   Jamal do you hear that Friberg got busted looking at porn in his computer?
[00:03:13.480 --> 00:03:16.960]   Authorizes them to do so and looper bright versus Raimondo
[00:03:16.960 --> 00:03:22.680]   That's from 2024 and that overturned the Chevron doctrine. We talked about that on a previous episode
[00:03:22.680 --> 00:03:24.840]   So according to Doge when combined
[00:03:24.840 --> 00:03:32.160]   Quote these cases suggest that a plethora of current federal regulations exceed the authority
[00:03:32.160 --> 00:03:34.160]   Congress has granted under the law
[00:03:34.160 --> 00:03:40.040]   Doge will use software and legal experts to create a list of regulations that Trump can immediately pause
[00:03:40.360 --> 00:03:43.360]   they're gonna make some sort of a leaderboard Elon said and
[00:03:43.360 --> 00:03:48.480]   The vague said he would do he suspended his existing podcast
[00:03:48.480 --> 00:03:53.640]   I didn't know he had a podcast but he's doing a dogecast a doge podcast and so
[00:03:53.640 --> 00:04:00.520]   Freeberg this has been you know a major issue for you. You've been talking about on this podcast that the
[00:04:00.520 --> 00:04:02.920]   unsustainable
[00:04:02.920 --> 00:04:07.240]   Existential issue for our country is all of the debt we have
[00:04:07.240 --> 00:04:09.800]   What are the chances?
[00:04:09.800 --> 00:04:14.760]   That this is going to occur because obviously we all know the machine is going to fight
[00:04:14.760 --> 00:04:21.280]   to preserve the machine chances that we are sitting here in four years and we've seen meaningful cuts in
[00:04:21.280 --> 00:04:24.960]   Spending and a meaningful reduction in size of the government
[00:04:24.960 --> 00:04:29.140]   Look, it's doge has probably 18 months to do
[00:04:29.140 --> 00:04:36.280]   What they can do before the midterms and there's gonna be an inevitable amount of recoil and backlash that's gonna arise from
[00:04:36.720 --> 00:04:40.520]   The actions that they're gonna try and take and President Trump's gonna try and take
[00:04:40.520 --> 00:04:43.600]   Under the recommendations provided by doge
[00:04:43.600 --> 00:04:50.160]   So they need to move fast and aggressively and that's only gonna cause the recoil to be harder and faster
[00:04:50.160 --> 00:04:54.480]   There's gonna be a ton of litigation. Obviously, everything's gonna go to court. It's gonna be
[00:04:54.480 --> 00:05:02.960]   Incredibly politicized what is frustrating and challenging to me is that there is nothing that they said that doesn't seem obvious and right
[00:05:02.960 --> 00:05:08.800]   I don't know how you can politicize the points that they're making put aside their party put aside who they are
[00:05:08.800 --> 00:05:12.560]   Individually put aside how we got here at the end of the day
[00:05:12.560 --> 00:05:16.600]   This federal government needs to be run more efficiently more effectively
[00:05:16.600 --> 00:05:21.520]   It is unfair and it is a tax on every one of us to have money thrown away
[00:05:21.520 --> 00:05:27.440]   To have wasted capital to have bureaucracy that gets in the way of people being able to do their jobs
[00:05:27.440 --> 00:05:30.600]   It is a tax on all of us and our kids and our future
[00:05:30.600 --> 00:05:37.900]   It needs to be fixed if it doesn't get fixed as I've said countless times before we are in an arithmetic debt death spiral
[00:05:37.900 --> 00:05:41.880]   There is no way out of it. So by resolving both the inefficiency
[00:05:41.880 --> 00:05:50.280]   Reducing the bureaucracy stopping the wasteful spending having accountability in the org in the government. We can actually get the United States another
[00:05:50.280 --> 00:05:56.880]   50 years a hundred years, whatever long we want, but we were literally in a death spiral leading up to this moment
[00:05:56.880 --> 00:05:59.920]   And I have no idea how we ended up on this timeline
[00:05:59.920 --> 00:06:06.840]   I was over the moon and shocked when I read all of the progress over the last couple of weeks and putting this thing together
[00:06:06.840 --> 00:06:08.680]   I did not know that this is where we were end up
[00:06:08.680 --> 00:06:12.320]   I couldn't be more happy with what I think is gonna happen with doge and its effect on
[00:06:12.320 --> 00:06:19.280]   If not actually making the changes shining a light on the issues that need to be addressed and I will say it is unfair
[00:06:19.280 --> 00:06:25.720]   To Americans for this to be politicized the Democrats shouldn't make this a Republican issue
[00:06:25.720 --> 00:06:27.960]   This is not about Republicans doing damage
[00:06:27.960 --> 00:06:33.720]   this is about doing the right thing for the government for the country and the Democrats had an opportunity to own this issue and
[00:06:33.720 --> 00:06:36.840]   Instead they've chosen to oppose it which makes no sense
[00:06:36.840 --> 00:06:41.800]   It is frustrating and challenging to me as an American to think that this is even a political point
[00:06:41.800 --> 00:06:44.080]   This should be a what's right for America point
[00:06:44.080 --> 00:06:48.440]   It's almost like we're going to war war with ourselves with our bureaucracy with the morass
[00:06:48.440 --> 00:06:55.040]   That's been built up over the last couple of decades and I'm thrilled that this is happening and frankly put the put the people aside
[00:06:55.040 --> 00:07:02.440]   Maybe it's the fact that you need people that are as outspoken as challenging as difficult as these two particular individuals
[00:07:02.440 --> 00:07:03.480]   They're gonna run this group
[00:07:03.480 --> 00:07:07.600]   But that might be what it takes for it to happen in the small 18-month window that they have
[00:07:07.600 --> 00:07:13.760]   So that's my rant on it. Yeah great rant and we had a Milton Friedman clip go viral
[00:07:13.760 --> 00:07:17.920]   And he spoke exactly about his positions on what he would eliminate
[00:07:18.480 --> 00:07:23.320]   Departments like agriculture commerce education. Let's just play that clip. And then there was obviously
[00:07:23.320 --> 00:07:29.500]   Malay interview by Lex Friedman earlier this week keep them or abolish them Department of Agriculture
[00:07:29.500 --> 00:07:32.480]   abolish gone me Department of Commerce
[00:07:32.480 --> 00:07:38.400]   Abolish gone Department of Defense. Keep keep it Department of Education
[00:07:38.400 --> 00:07:41.400]   gone energy
[00:07:41.400 --> 00:07:47.160]   Abolish health and Human Services. There is room for some public health activities to prevent
[00:07:47.800 --> 00:07:53.800]   The contagion will eliminate half of the Department of Health. Okay one half. There we go housing and urban development
[00:07:53.800 --> 00:07:58.200]   Done that's gone Department of the Interior. The problem there is
[00:07:58.200 --> 00:08:03.240]   You first have to sell off all the land that the government owns, but that's what you should do
[00:08:03.240 --> 00:08:11.720]   Department of Justice. Oh, yes, keep that keep that one labor. No gone state
[00:08:11.720 --> 00:08:14.240]   Keep keep it transportation
[00:08:14.240 --> 00:08:16.560]   gone gone
[00:08:16.560 --> 00:08:18.040]   the Treasury
[00:08:18.040 --> 00:08:24.200]   You have to keep it to collect taxes. All right collect taxes through the Treasury Sachs. You see that clip you see the activity going
[00:08:24.200 --> 00:08:26.200]   on with Doge
[00:08:26.200 --> 00:08:35.440]   Would you think that the machine will allow what Milton Friedman is describing there what Javier Malay is doing in Argentina and what?
[00:08:35.440 --> 00:08:39.240]   Elon is proposing with Doge. Do you think the machine is going to allow?
[00:08:39.240 --> 00:08:42.600]   You know the wholesale
[00:08:42.600 --> 00:08:44.760]   deleting of
[00:08:44.760 --> 00:08:49.240]   Department of Agriculture Department of Education at a federal level and move all that stuff to the states
[00:08:49.240 --> 00:08:51.040]   What do you think's gonna happen here?
[00:08:51.040 --> 00:08:56.920]   And how hard will the machine fight back against this in your mind because hey
[00:08:56.920 --> 00:09:01.400]   You might have some Republicans some Democrats. They fought really hard to get jobs to get
[00:09:01.400 --> 00:09:06.680]   Subsidies to put in factories, whatever from the federal government. Are they gonna just give that all back?
[00:09:06.680 --> 00:09:10.240]   The clip is from 1998 by the way sacks your thoughts
[00:09:11.400 --> 00:09:15.720]   Well that Milton Friedman clip as great as it is. I mean it really is outstanding is
[00:09:15.720 --> 00:09:19.360]   Setting expectations a little bit too high here
[00:09:19.360 --> 00:09:24.480]   I mean, we're not gonna be able to wipe out entire major departments of the government that are cabinet level positions
[00:09:24.480 --> 00:09:26.920]   I don't think that's in the cards
[00:09:26.920 --> 00:09:31.920]   You know what Milton Friedman's basically describing is a night watchman state and I don't think we're gonna get back to that
[00:09:31.920 --> 00:09:36.400]   however, if you look right now at the
[00:09:37.200 --> 00:09:41.600]   Opinions on the legacy media MSDN see it and all that kind of stuff
[00:09:41.600 --> 00:09:45.360]   They are forecasting that Doge is gonna amount to nothing
[00:09:45.360 --> 00:09:49.560]   They're basically saying that the powers that be in Washington are gonna reject it completely
[00:09:49.560 --> 00:09:51.560]   There's somehow gonna be a falling out between
[00:09:51.560 --> 00:09:54.560]   Elon and DJT. They're just very cynical
[00:09:54.560 --> 00:09:58.280]   DJT and then you have people who are not
[00:09:58.280 --> 00:10:01.000]   necessarily
[00:10:01.000 --> 00:10:03.000]   dismissive in that way in
[00:10:03.420 --> 00:10:09.500]   The media but just kind of longtime Washington insiders who feel like they've seen it all before nothing ever happens
[00:10:09.500 --> 00:10:11.100]   And so they're just very jaded and cynical
[00:10:11.100 --> 00:10:16.340]   So I would say that you know again, I wouldn't have the expectations of the Milton Friedman level
[00:10:16.340 --> 00:10:20.300]   But I think that the expectations for Doge right now are being set incredibly low
[00:10:20.300 --> 00:10:27.820]   By the media and by the Washington insiders and I think there are good reasons to believe that the results will surpass
[00:10:27.820 --> 00:10:30.380]   those those low expectations
[00:10:31.100 --> 00:10:36.140]   number one is you've got Elon Musk running this thing with the vague and
[00:10:36.140 --> 00:10:39.440]   Elon understands better than anybody the impact of
[00:10:39.440 --> 00:10:44.200]   Deleterious regulations on business so he can really put a microscope on that
[00:10:44.200 --> 00:10:50.680]   he's got the largest speech platform in the world with X the largest account on X and he's also built a
[00:10:50.680 --> 00:10:53.460]   Get out the vote operation
[00:10:53.460 --> 00:10:59.060]   That he funded in the last election that he's promised to keep around and potentially expand
[00:10:59.300 --> 00:11:05.860]   So his influence hopefully is not going anywhere. He's gonna be able to keep using that to help
[00:11:05.860 --> 00:11:09.460]   Keep politicians outside. You're right. Yeah
[00:11:09.460 --> 00:11:16.340]   So that's number one is no one's ever made money betting against Elon Musk and I don't expect that to start right now
[00:11:16.340 --> 00:11:20.240]   Number two is you got Vivek who is co-head with?
[00:11:20.240 --> 00:11:26.100]   Elon of this thing and I think he's a perfect partner for Elon because Vivek first of all
[00:11:26.100 --> 00:11:31.060]   He's a brilliant guy with a lot of success in business, but he's also a Harvard trained lawyer
[00:11:31.060 --> 00:11:34.880]   He's a brilliant legal mind and I think you could see in that op-ed
[00:11:34.880 --> 00:11:41.140]   I suspect the parts that were citing all those from court decisions were his influence and so they figured out a legal
[00:11:41.140 --> 00:11:44.340]   Roadmap here. It's not just a matter of kind of
[00:11:44.340 --> 00:11:48.440]   Going to Congress and hoping Congress acts. They've got a way here
[00:11:48.440 --> 00:11:54.240]   Sequentially to do this through the executive branch through executive orders going through the court system
[00:11:54.240 --> 00:12:00.000]   They've kind of got a game plan here. That's not entirely reliant on legislation. So I think the Vicks
[00:12:00.000 --> 00:12:03.560]   Influence and and sort of
[00:12:03.560 --> 00:12:06.520]   Legal strategic mind is a is a big asset here
[00:12:06.520 --> 00:12:11.080]   And then I think the third reason to be optimistic is just the fact that this was printed on
[00:12:11.080 --> 00:12:15.680]   The Wall Street Journal op-ed page is suggested in and of itself
[00:12:15.680 --> 00:12:17.800]   what this shows is that
[00:12:18.160 --> 00:12:24.660]   This Doge effort is I think uniting both the kind of populist reformers and the establishment
[00:12:24.660 --> 00:12:26.840]   types within the party if
[00:12:26.840 --> 00:12:29.000]   Elon and
[00:12:29.000 --> 00:12:33.240]   The vague we're trying to get a mandate for no more forever war. I don't think the Wall Street Journal
[00:12:33.240 --> 00:12:36.000]   Yeah, I was doing that right just would not happen
[00:12:36.000 --> 00:12:40.780]   So there are reasons to believe that this will not actually divide the party that the party
[00:12:41.960 --> 00:12:47.320]   Yeah, could be yeah now look every congressman and every senator is still gonna advocate
[00:12:47.320 --> 00:12:53.180]   For their pork barrel project in their district or their state and it's gonna be very hard to push back on that
[00:12:53.180 --> 00:12:54.040]   however
[00:12:54.040 --> 00:12:57.600]   you could imagine a process like we have with the base closure Commission when
[00:12:57.600 --> 00:13:01.100]   the United States needs to close a bunch of military bases and they created a
[00:13:01.100 --> 00:13:07.600]   Outside Commission to recommend the cuts and everyone kind of shared the pain equally maybe Doge could somehow
[00:13:08.200 --> 00:13:13.600]   Play into the horse trade a little bit. Yeah, so I'm not saying it's gonna be perfect, but I do think that if
[00:13:13.600 --> 00:13:15.400]   Republicans
[00:13:15.400 --> 00:13:21.080]   Share a principle across again both these establishment and the populist side. It would be in
[00:13:21.080 --> 00:13:25.520]   reducing unnecessary regulation and the number of
[00:13:25.520 --> 00:13:30.440]   Regulators needed the number of government employees needed to enforce all those regulations
[00:13:30.440 --> 00:13:33.960]   So I'm hopeful that they'll be able to get something done within the party
[00:13:33.960 --> 00:13:37.520]   and since the Republicans have the trifecta if they've got
[00:13:38.040 --> 00:13:44.000]   Trump's leadership and they've got the leadership of the Senate and House backing it. I think they'll be able to get something done again
[00:13:44.000 --> 00:13:49.240]   It's not gonna be it's not gonna be Milton Friedman level, but I'm optimistic. They'll get something good and important done
[00:13:49.240 --> 00:13:55.780]   I think the easiest thing for them to get done with Doge is the naming the shaming the auditing the
[00:13:55.780 --> 00:14:01.200]   Transparency of what we're actually spending because so many of the audits Chamath are just not
[00:14:01.200 --> 00:14:07.300]   Completed people don't know what's being spent and if you show Americans a twelve thousand dollar hammer
[00:14:07.420 --> 00:14:13.860]   Or people with job titles not coming into the office or coming into the office one day a week one day a month
[00:14:13.860 --> 00:14:18.340]   That's gonna infuriate taxpayers and I think there's a very easy way to navigate all this
[00:14:18.340 --> 00:14:23.260]   You just create the leaderboard and you not only shame people who are wasting our tax dollars
[00:14:23.260 --> 00:14:31.640]   You celebrate the people who are heroes who start showing frugality and cost-saving and they're gonna do this with the leaderboard of the heroes
[00:14:31.640 --> 00:14:37.040]   And the goats this could be the unifying not just the Republican Party as a sax is pointing out Chamath
[00:14:37.040 --> 00:14:39.040]   I think this could unify the whole country
[00:14:39.040 --> 00:14:46.080]   Is there anybody paying taxes that wants to see money wasted that wants to see us pay people high salaries to not come to work?
[00:14:46.080 --> 00:14:49.520]   Chamath what's your take on the sequence of events here?
[00:14:49.520 --> 00:14:57.360]   What are easy layups that they could actually get done and then where is the machine gonna fight and try to stop this name? I?
[00:14:57.360 --> 00:14:59.880]   think you
[00:14:59.880 --> 00:15:06.280]   are highlighting something that they can do right away, which I think is very powerful, which is just using these distribution channels that
[00:15:06.280 --> 00:15:10.360]   Elon has now to create a massive layer of
[00:15:10.360 --> 00:15:15.160]   Accountability. I do think that sunshine is a really incredible
[00:15:15.160 --> 00:15:21.560]   Disinfectant, I think the best way that they could start if possible is to stop paying
[00:15:21.560 --> 00:15:28.280]   Their vendors until you actually have some amount of accounting to figure out as you said, how many?
[00:15:29.120 --> 00:15:32.000]   $600 soap dispensers are actually being bought and sold now
[00:15:32.000 --> 00:15:36.200]   That kind of whatever you want to call that corruption or grift
[00:15:36.200 --> 00:15:41.680]   It's not going to account for hundreds of billions or trillions of dollars
[00:15:41.680 --> 00:15:45.320]   But I do think that it is a very moral and symbolic win
[00:15:45.320 --> 00:15:52.280]   That says we're going we're going to start to get much more rational and it starts to allow
[00:15:52.600 --> 00:15:59.280]   the average American to actually feel like they have a little bit of control and they have a more vested interest in
[00:15:59.280 --> 00:16:04.600]   How the government spends money, but I want to actually want to take a step back for a second
[00:16:04.600 --> 00:16:06.720]   And before I talk about what doge can do
[00:16:06.720 --> 00:16:12.600]   I just want to highlight something that's been going on in California because I think it explains a lot in
[00:16:12.600 --> 00:16:15.880]   California and I'm just gonna read this that because it's incredible
[00:16:15.880 --> 00:16:18.720]   the regulatory burden in
[00:16:18.720 --> 00:16:21.240]   California as a state
[00:16:21.240 --> 00:16:28.040]   From 1997 to 2015. This is when the data is available that I found has increased by almost 50%
[00:16:28.040 --> 00:16:31.080]   as of May of
[00:16:31.080 --> 00:16:33.440]   2022
[00:16:33.440 --> 00:16:35.440]   There are almost 61
[00:16:35.440 --> 00:16:37.760]   thousand
[00:16:37.760 --> 00:16:40.880]   individual regulations in the state of California
[00:16:40.880 --> 00:16:47.560]   So what does that mean and where does it come from and Nick if you can just put out the tweet it has happened
[00:16:47.560 --> 00:16:49.960]   over a period of time in
[00:16:50.120 --> 00:16:53.640]   Which the government has been the absolute?
[00:16:53.640 --> 00:16:59.560]   Singular source of employment in the state and
[00:16:59.560 --> 00:17:07.240]   we talked about this before where this is also a problem at the federal level when you look at GDP and job growth because it
[00:17:07.240 --> 00:17:09.800]   Looks like a lot of these jobs are actually fake
[00:17:09.800 --> 00:17:17.000]   Manufactured government type jobs. So why is this a problem you've seen in California? The issue that we have is that if you have a
[00:17:18.400 --> 00:17:23.160]   Growth in the number of employees in this case in California all the job growth in recent memory
[00:17:23.160 --> 00:17:27.240]   Has been state employees. What is the byproduct?
[00:17:27.240 --> 00:17:30.400]   Regulations go up. What is the byproduct of that?
[00:17:30.400 --> 00:17:35.040]   There are actually no private sector jobs and more to the point the private sector fleas
[00:17:35.040 --> 00:17:40.920]   So now let's bubble that up and look at the federal government Nick if you want to just show that chart that I that I sent
[00:17:40.920 --> 00:17:41.680]   you
[00:17:41.680 --> 00:17:46.720]   What is incredible J Cal is that the more people are hired by the government?
[00:17:47.600 --> 00:17:54.280]   Lo and behold, what do you see the number of regulations issued by federal agencies has just continued
[00:17:54.280 --> 00:17:59.480]   Unabated year-in year-out. You cannot run a country like this
[00:17:59.480 --> 00:18:02.880]   So because the
[00:18:02.880 --> 00:18:08.960]   Accumulate right Congress is doing less and less of a job actually trying to frame how the country should work
[00:18:08.960 --> 00:18:14.680]   That white space is filled in as Freeberg said by these federal agencies it
[00:18:15.200 --> 00:18:20.600]   Compounds and accumulates. This is not replacing laws. None of these regulations have expiry dates
[00:18:20.600 --> 00:18:27.520]   And so as a result, I think what you probably have is an incredible restraint on the u.s
[00:18:27.520 --> 00:18:33.240]   Economy, I think that the u.s. Economy could be growing at four or five percent
[00:18:33.240 --> 00:18:38.120]   But the reason that it doesn't grow at four or five percent is in that one single chart
[00:18:38.120 --> 00:18:44.640]   It is impossible to be able to live up to your economic potential when you have this burden on
[00:18:44.920 --> 00:18:52.680]   Your neck. So I think the real opportunity for Doge is to basically do whatever it needs to do using the law
[00:18:52.680 --> 00:18:58.120]   To wipe as many of these regulations off the books. We are better
[00:18:58.120 --> 00:19:04.200]   Cutting them all to zero and then finding the ones we really need and then repassing those
[00:19:04.200 --> 00:19:11.600]   Then we are going at this piecemeal and there's some incredible. There's some incredible ideas by the way that this creates
[00:19:12.120 --> 00:19:17.240]   Nick, I don't know if you can find this tweet, but Doge asked what people think of the IRS and
[00:19:17.240 --> 00:19:24.760]   There was an enormous amount of activity that essentially said give us a flat tax and wipe out the tax code
[00:19:24.760 --> 00:19:30.080]   The people were very flexible in the amount of tax that they were willing to pay
[00:19:30.080 --> 00:19:35.360]   But could you imagine the simplification in the tax code and the implications of that?
[00:19:35.360 --> 00:19:38.320]   I was in Singapore by the way ten days ago when I started my trip
[00:19:38.920 --> 00:19:45.000]   Nick beep out the name of the person I'm about to say, but I had a long meeting with who you know is there and
[00:19:45.000 --> 00:19:48.080]   I was asking him the complexity of
[00:19:48.080 --> 00:19:54.480]   Dealing with taxes. He's like, what do you mean? We don't we pay a very simple tax system
[00:19:54.480 --> 00:19:59.900]   There's no capital gains in Singapore. And so as a result our filing requirements are de minimis the small
[00:19:59.900 --> 00:20:03.760]   But as a result people like him meaning great entrepreneurs
[00:20:04.240 --> 00:20:09.320]   Can spend all their time thinking about what to build not not a tax optimization
[00:20:09.320 --> 00:20:15.760]   Exactly or not or how to account for it. So could you imagine if these guys basically use doge as a mechanism to?
[00:20:15.760 --> 00:20:22.520]   Shrink the tax code create a flat tax potentially. I know that that has to be passed by Congress. I understand that
[00:20:22.520 --> 00:20:31.280]   But the idea of just cutting this all the way down and then finding through that process what you actually need
[00:20:31.280 --> 00:20:38.800]   I think can find America a hundred two hundred basis points of GDP growth. It could be an economic renaissance
[00:20:38.800 --> 00:20:42.600]   I mean just to build on that cutting all the regulations to zero you might
[00:20:42.600 --> 00:20:48.640]   Have throw out some babies in the bath water. So why not put a clock on them and just say whenever this was enacted
[00:20:48.640 --> 00:20:55.560]   Plus five years and then it rolls off or plus two years whatever number of months and then you could have them come off
[00:20:55.560 --> 00:21:00.200]   Rolling off every month. I think that's a good idea, but it has no quarterly
[00:21:00.200 --> 00:21:06.600]   I think that's a good idea. But Jake, I think you first have to cancel all these regulations and then say whatever we need
[00:21:06.600 --> 00:21:08.040]   We will reenact
[00:21:08.040 --> 00:21:15.680]   Your point on a five-year shot clock that then has to be renewed in a new congressional period and I think that that's extremely healthy
[00:21:15.680 --> 00:21:21.160]   Well, because you know what people die paradigms shift and then nobody even remembers these regulations
[00:21:21.160 --> 00:21:23.600]   You have to do archaeology to figure out who created this
[00:21:23.600 --> 00:21:29.480]   What was the intent and you would never do that? You would never live sacks with all of these rules forever
[00:21:29.960 --> 00:21:33.020]   It's just one last comment in fairness to these government employees
[00:21:33.020 --> 00:21:39.640]   The one thing is that it's not their fault right meaning in the sense that they were hired into a regime
[00:21:39.640 --> 00:21:47.340]   Where the incentive was to regulate so that you had things to oversee and so they did their job
[00:21:47.340 --> 00:21:49.520]   In fact, I would say they did their job incredibly well
[00:21:49.520 --> 00:21:53.920]   But the point is that now we need to pivot for them to do a totally different job. Well Jamaa
[00:21:53.920 --> 00:21:56.600]   I'll hand this over to free free break free break if you
[00:21:57.760 --> 00:22:03.080]   Were to get rid of regulations as somebody working in the government you might work your way out of a job
[00:22:03.080 --> 00:22:05.920]   so the incentive is completely perverse and
[00:22:05.920 --> 00:22:08.920]   Reverse to what we actually need in the country
[00:22:08.920 --> 00:22:14.440]   which is less regulation more thoughtful regulation and some process by taking these things on and off the books and
[00:22:14.440 --> 00:22:17.880]   Adapting them to reality. Yeah, this is where I think I
[00:22:17.880 --> 00:22:21.880]   Think we've talked about this many too many times in the past
[00:22:21.880 --> 00:22:26.920]   But like all organizations have a natural tendency to grow they want to grow they're not yes
[00:22:26.920 --> 00:22:32.400]   like find me one nonprofit or find me one University or find me one company or
[00:22:32.400 --> 00:22:39.900]   One government agency that's ever said my job is to shrink myself. It's never happened. So why does that happen?
[00:22:39.900 --> 00:22:41.900]   Well, if you look at the like day-to-day
[00:22:41.900 --> 00:22:48.880]   Operating role of each individual over time like all individuals. They want to do more. They want to have a bigger impact
[00:22:48.880 --> 00:22:50.880]   They want to have more scale. They want to have more leverage
[00:22:50.880 --> 00:22:56.760]   So there's this natural set of incentives that drives a lot of choices and operating procedures on the ground
[00:22:56.760 --> 00:23:01.520]   That create more structure more scale more leverage and drive more hiring
[00:23:01.520 --> 00:23:08.080]   Everyone wants to become a manager of people they don't want to just be doing the same IC job forever individual contributor job forever
[00:23:08.080 --> 00:23:12.360]   So if they want to be a manager, they got to find more stuff to do and then they got to hire people to do
[00:23:12.360 --> 00:23:17.380]   That stuff so all of these organizations whether again and we've all been on boards of nonprofits
[00:23:17.380 --> 00:23:19.680]   I'm sure and we've all been involved in this sort of thing
[00:23:19.680 --> 00:23:21.020]   there's always this like
[00:23:21.020 --> 00:23:27.320]   Incentive to raise more capital to hire more people to do more stuff that sort of it's really unclear until you really dig into the
[00:23:27.320 --> 00:23:30.280]   Psychology of each individual person working there why this is happening
[00:23:30.280 --> 00:23:35.520]   I don't think that the federal government is any different each of these people feel they want to be more important
[00:23:35.520 --> 00:23:37.520]   They want to have a bigger role. They want to have a bigger impact
[00:23:40.360 --> 00:23:47.220]   If your job direct directionally is to regulate then what's the scaler on regulation more regulation?
[00:23:47.220 --> 00:23:50.020]   So therefore to do more you have to regulate more
[00:23:50.020 --> 00:23:55.820]   There's no regulator that says I want to regulate less over time because we've created a system that's one directional
[00:23:55.820 --> 00:23:59.700]   So you have to have these resets if you don't have them naturally
[00:23:59.700 --> 00:24:04.460]   they're gonna happen unnaturally in the form of social unrest and breakdowns of the economy and
[00:24:04.900 --> 00:24:11.280]   Collapse of social structures all these other things that happen way way down or as Chamath is pointing out in California in the economic
[00:24:11.280 --> 00:24:12.400]   structure of California
[00:24:12.400 --> 00:24:16.920]   Which I think is happening on a kind of national scale because of the outsized role the federal government plays
[00:24:16.920 --> 00:24:24.120]   In our national economy here today. So so you have to have these unnatural forces come in and and do this readjustment from time to time
[00:24:24.120 --> 00:24:26.200]   otherwise
[00:24:26.200 --> 00:24:28.200]   it's just gonna break on its own and
[00:24:28.480 --> 00:24:36.040]   Millet in Argentina has basically I don't know a year or an 18 month head start on us and has been doing this
[00:24:36.040 --> 00:24:38.560]   He did a great podcast with Lex Friedman
[00:24:38.560 --> 00:24:43.280]   They translated it. Actually, they dubbed it which is kind of interesting technology and
[00:24:43.280 --> 00:24:45.600]   in
[00:24:45.600 --> 00:24:50.440]   This discussion they talked about reducing the ministry's agencies from 20 to 8
[00:24:50.440 --> 00:24:54.900]   They fired 50,000 government workers 15% of the total workforce
[00:24:55.560 --> 00:24:59.920]   There were three hundred forty one thousand when he started they implemented daily
[00:24:59.920 --> 00:25:04.200]   Deregulation process to remove inefficient policies. So they just do that day in and day out
[00:25:04.200 --> 00:25:10.340]   They ended discretionary payments to provinces and cities the restored market-driven utility prices. No more subsidies
[00:25:10.340 --> 00:25:12.880]   Yada-yada-yada right down the line
