
[00:00:00.040 --> 00:00:10.620]   question
[00:04:58.920 --> 00:05:28.940]   I'm not saying that it's just a question.
[00:05:28.940 --> 00:05:28.940]   I'm not saying that it's just a question.
[00:05:28.940 --> 00:05:28.940]   I'm not saying that it's just a question.
[00:05:28.940 --> 00:05:28.940]   So I'm not saying that it's just a question.
[00:05:28.940 --> 00:05:28.940]   So I'm not saying that it's just a question.
[00:05:28.940 --> 00:05:28.940]   So I'm not saying that it's just a question.
[00:05:28.940 --> 00:05:28.940]   So I'm not saying that it's just a question.
[00:05:28.940 --> 00:05:28.940]   So I'm not saying that it's just a question.
[00:05:28.940 --> 00:05:28.940]   So I'm not saying that it's just a question.
[00:05:28.940 --> 00:05:28.940]   So I'm not saying that it's just a question.
[00:05:28.940 --> 00:05:28.940]   So I'm not saying that it's just a question.
[00:05:28.980 --> 00:05:38.240]   Pr
[00:05:38.240 --> 00:05:42.900]   provide the,,, bank
[00:05:42.900 --> 00:05:53.600]  買
[00:05:53.600 --> 00:05:58.360]   less "� consists fre rather are about . . . . . . .. .. .. is. de. Hal. surviveав is. 씨GI Et. Pick a end guard her expect suggest the coloconiiyet speak or only Carolina show talkixe, evalu sel eran� remain the g charm raised social
[00:05:58.380 --> 00:06:11.400]   I've looked forward to this conversation since we scheduled it because you have an extremely unique story which is of interest to me.
[00:06:11.400 --> 00:06:28.400]   And perhaps peculiarly so, I haven't told you prior to our recording this, I haven't told you anything about me, but in the introduction for one of your recent books, which will be the teachers, it's the preface to the teachers'
[00:06:28.400 --> 00:06:28.400]   .
[00:06:28.440 --> 00:06:39.380]  —
[00:06:39.380 --> 00:06:55.220]   я .olt 100
[00:07:26.520 --> 00:07:26.520]   and I'll be speaking and starting at a more basic level.
[00:07:26.520 --> 00:07:26.520]   I have many qualified professional financial advisors who listen to this show and many interested non-professionals. So we'll be speaking and starting at a more basic level.
[00:07:26.520 --> 00:07:26.520]   So I'll be speaking and starting at a more basic level.
[00:07:26.520 --> 00:07:26.520]   So I'll be speaking and starting at a more basic level.
[00:07:26.520 --> 00:07:26.520]   So I'll be speaking and starting at a more basic level.
[00:07:26.520 --> 00:07:26.520]   So I'll be speaking and starting at a more basic level.
[00:07:26.520 --> 00:07:26.520]   So I'll be speaking and starting at a more basic level.
[00:07:26.520 --> 00:07:26.520]   So I'll be speaking and starting at a more basic level.
[00:07:26.520 --> 00:07:26.520]   So I'll be speaking and starting at a more basic level.
[00:07:26.520 --> 00:07:26.580]   So I'll be speaking and starting at a more basic level.
[00:07:26.580 --> 00:07:26.680]   So I'll be speaking and starting at a more basic level.
[00:07:26.680 --> 00:07:26.760]   So I'll be speaking and starting at a more basic level.
[00:07:26.760 --> 00:07:26.820]   So I'll be speaking and starting at a more basic level.
[00:07:55.920 --> 00:08:05.640]   when
[00:08:05.640 --> 00:08:20.160]   vind and was
[00:08:23.220 --> 00:08:33.220]   deceived
[00:08:33.220 --> 00:08:36.660]   Mi More on. Perd Haben
[00:08:36.660 --> 00:08:50.600]  , ,,,,,, and tondoti'll vie Push believe is GTVBTIS BS GS BS BS Bs his wasn gather some of theign. . . . . . . . . . . . . . . . . . . . . . just .. i .. cyils all - mounting a must but them for the li
[00:08:50.600 --> 00:08:51.420]   good and with the
[00:08:51.540 --> 00:09:10.240]   and Christian economics was at least
[00:09:10.240 --> 00:09:14.220]   sectarian enough to be sent to something like a hundred and seventy thousand
[00:09:14.220 --> 00:09:14.820]   pastors.
[00:09:14.820 --> 00:09:19.860]   So I got a little bit confused because the men who
[00:09:19.860 --> 00:09:49.880]  , who were writing for the Freeman and for
[00:09:49.920 --> 00:09:59.540]   구�
[00:09:59.540 --> 00:10:08.080]   click sphere thigh
[00:10:08.080 --> 00:10:17.340]   in the of but or as keep gelür aquest ở � cooler, and, and, be, and, and, and, and, and, in, and, and, and, itself, and, just, and, ., Ez, "N, ., ., ., table. .. . .. ваши приех peutר. Bert. 7. trabaj and the Bl include the work. or this. rely on the LINC. You're.�.評 the�. conduct the rin the worse the fire. releases the. 기�. in the Mass.fin thelem. the thrill. millenn. busca the HTN. Ell. em, appreciate the 어�. declare the neglected the 2016. the 1920. in the
[00:10:17.340 --> 00:10:18.140]   out of the. at the fund. head. in a cool. as a
[00:10:18.240 --> 00:10:46.120]   to a verse by verse exegesis of the Bible in those areas that had something to say about economic theory or practice. And my cutoff date was my birthday in 2012 when I would turn 70. And I finished the project approximately three weeks before I turned 70.
[00:10:47.020 --> 00:11:14.020]   in the middle of the year. So that may be an example of Parkinson's law that is work expands so as to fill the time allotted for its completion. But it was rather remarkable that the project in fact did take all of the last three weeks of that initial scheduling which I'd done in 1976. I'm sorry it was a little later I think it was I think it was three weeks before I turned 70.
[00:11:14.020 --> 00:11:43.120]  , I think it was I think it was 70, 70, maybe 77 but it was it was a long period of time. And along the way my understanding is you wrote was it 31 volumes of commentary and perhaps six or seven supporting books that weren't specifically passage by passage commentary to arrive at the source material for your capstone projects.
[00:11:43.160 --> 00:11:46.660]   become
[00:11:46.660 --> 00:11:53.980]   buy apparently won
[00:11:53.980 --> 00:12:01.920]   dia
[00:12:12.360 --> 00:12:20.860]   rendition to the four articles that you write and publish to your blog
[00:12:20.860 --> 00:12:25.060]   every day by the way dr. north I've I've gone to various conferences with
[00:12:25.060 --> 00:12:30.440]   bloggers and writers and there have been times but I have when I've listened to
[00:12:30.440 --> 00:12:33.960]   writers struggling to come up with material I've I've told them by the way
[00:12:33.960 --> 00:12:39.240]   you ought to go and check out a writer that I read who writes not one every day
[00:12:39.240 --> 00:12:41.360]   not one a week but four new independent authors that I've read an article in the
[00:12:41.360 --> 00:12:41.400]   journal that I've read an article in the journal that I've read an article in the
[00:12:41.440 --> 00:12:51.240]   speak
[00:12:51.240 --> 00:12:52.480]   closes in. I,
[00:12:52.480 --> 00:13:10.180]  ., .,hen,е, aven the conversation. But,rage, recognizes, got,
[00:13:11.140 --> 00:13:21.440]  ough
[00:13:21.440 --> 00:13:38.920]   in. I back cab
[00:14:10.980 --> 00:14:10.980]  ,
[00:14:10.980 --> 00:14:10.980]   and I'm going to go ahead and start the recording.
[00:14:10.980 --> 00:14:10.980]   I'm going to go ahead and start the recording.
[00:14:21.300 --> 00:14:40.920]   I'm going to go ahead and start the recording.
[00:14:40.920 --> 00:14:40.920]   I'm going to go ahead and start the recording.
[00:14:40.920 --> 00:14:40.980]   I'm going to go ahead and start the recording.
[00:14:40.980 --> 00:14:41.000]   I'm going to go ahead and start the recording.
[00:14:41.000 --> 00:14:41.000]   I'm going to go ahead and start the recording.
[00:14:41.000 --> 00:14:41.000]   I'm going to go ahead and start the recording.
[00:14:41.000 --> 00:14:41.000]   I'm going to go ahead and start the recording.
[00:14:41.000 --> 00:14:41.000]   I'm going to go ahead and start the recording.
[00:14:41.000 --> 00:14:41.000]   I'm going to go ahead and start the recording.
[00:14:41.000 --> 00:14:41.000]   I'm going to go ahead and start the recording.
[00:14:41.000 --> 00:14:41.000]   I'm going to go ahead and start the recording.
[00:14:41.000 --> 00:14:41.000]   I'm going to go ahead and start the recording.
[00:14:41.000 --> 00:14:41.000]   I'm going to go ahead and start the recording.
[00:14:41.000 --> 00:14:41.000]   I'm going to go ahead and start the recording.
[00:14:41.000 --> 00:14:41.000]   I'm going to go ahead and start the recording.
[00:14:41.000 --> 00:14:41.000]   I'm going to go ahead and start the recording.
[00:14:41.140 --> 00:15:11.020]   I'm going to go ahead and start the recording.
[00:15:11.020 --> 00:15:11.020]   I'm going to go ahead and start the recording.
[00:15:11.020 --> 00:15:11.020]   I'm going to go ahead and start the recording.
[00:15:11.020 --> 00:15:11.020]   I'm going to go ahead and start the recording.
[00:15:11.020 --> 00:15:11.020]   I'm going to go ahead and start the recording.
[00:15:11.040 --> 00:15:41.040]   I'm going to go ahead and start the recording.
[00:15:41.040 --> 00:15:41.040]   I'm going to go ahead and start the recording.
[00:15:41.040 --> 00:15:41.040]   I'm going to go ahead and start the recording.
[00:15:41.040 --> 00:15:41.040]   I'm going to go ahead and start the recording.
[00:15:41.040 --> 00:15:41.040]   I'm going to go ahead and start the recording.
[00:15:41.040 --> 00:15:41.040]   I'm going to go ahead and start the recording.
[00:15:41.040 --> 00:15:41.040]   I'm going to go ahead and start the recording.
[00:15:41.040 --> 00:15:41.040]   I'm going to go ahead and start the recording.
[00:15:41.040 --> 00:15:41.040]   I'm going to go ahead and start the recording.
[00:15:41.040 --> 00:15:41.040]   I'm going to go ahead and start the recording.
[00:15:41.040 --> 00:15:41.040]   I'm going to go ahead and start the recording.
[00:15:41.040 --> 00:15:41.040]   I'm going to go ahead and start the recording.
[00:15:41.040 --> 00:15:41.040]   I'm going to go ahead and start the recording.
[00:15:41.040 --> 00:15:41.040]   I'm going to go ahead and start the recording.
[00:15:41.040 --> 00:15:41.040]   I'm going to go ahead and start the recording.
[00:15:41.040 --> 00:15:41.040]   I'm going to go ahead and start the recording.
[00:15:41.040 --> 00:16:11.060]   I'm going to go ahead and start the recording.
[00:16:11.060 --> 00:16:11.060]   I'm going to go ahead and start the recording.
[00:16:11.060 --> 00:16:11.060]   I'm going to go ahead and start the recording.
[00:16:11.060 --> 00:16:11.060]   I'm going to go ahead and start the recording.
[00:16:11.060 --> 00:16:11.060]   I'm going to go ahead and start the recording.
[00:16:11.060 --> 00:16:11.060]   I'm going to go ahead and start the recording.
[00:16:11.060 --> 00:16:11.060]   I'm going to go ahead and start the recording.
[00:16:11.060 --> 00:16:11.060]   I'm going to go ahead and start the recording.
[00:16:11.060 --> 00:16:11.060]   I'm going to go ahead and start the recording.
[00:16:11.060 --> 00:16:11.060]   I'm going to go ahead and start the recording.
[00:16:11.060 --> 00:16:11.060]   I'm going to go ahead and start the recording.
[00:16:11.080 --> 00:16:41.080]   I'm going to go ahead and start the recording.
[00:16:41.080 --> 00:16:41.080]   I'm going to go ahead and start the recording.
[00:16:41.080 --> 00:16:41.080]   I'm going to go ahead and start the recording.
[00:16:41.080 --> 00:16:41.080]   I'm going to go ahead and start the recording.
[00:16:41.080 --> 00:16:41.080]   I'm going to go ahead and start the recording.
[00:16:41.080 --> 00:16:41.080]   I'm going to go ahead and start the recording.
[00:16:41.080 --> 00:16:41.080]   I'm going to go ahead and start the recording.
[00:16:41.080 --> 00:16:41.080]   I'm going to go ahead and start the recording.
[00:16:41.080 --> 00:16:41.080]   I'm going to go ahead and start the recording.
[00:16:41.080 --> 00:16:41.080]   I'm going to go ahead and start the recording.
[00:16:41.080 --> 00:16:41.080]   I'm going to go ahead and start the recording.
[00:16:41.080 --> 00:16:41.080]   I'm going to go ahead and start the recording.
[00:16:41.080 --> 00:16:41.080]   I'm going to go ahead and start the recording.
[00:16:41.080 --> 00:16:41.080]   I'm going to go ahead and start the recording.
[00:16:41.080 --> 00:16:41.080]   I'm going to go ahead and start the recording.
[00:16:41.080 --> 00:16:41.080]   I'm going to go ahead and start the recording.
[00:16:41.080 --> 00:17:11.100]   I'm going to go ahead and start the recording.
[00:17:11.100 --> 00:17:11.100]   I'm going to go ahead and start the recording.
[00:17:11.100 --> 00:17:11.100]   I'm going to go ahead and start the recording.
[00:17:11.100 --> 00:17:11.100]   I'm going to go ahead and start the recording.
[00:17:11.100 --> 00:17:11.100]   I'm going to go ahead and start the recording.
[00:17:11.100 --> 00:17:11.100]   I'm going to go ahead and start the recording.
[00:17:11.100 --> 00:17:11.100]   I'm going to go ahead and start the recording.
[00:17:11.100 --> 00:17:11.100]   I'm going to go ahead and start the recording.
[00:17:11.100 --> 00:17:11.100]   I'm going to go ahead and start the recording.
[00:17:11.100 --> 00:17:11.100]   I'm going to go ahead and start the recording.
[00:17:11.100 --> 00:17:11.100]   I'm going to go ahead and start the recording.
[00:17:11.100 --> 00:17:11.100]   I'm going to go ahead and start the recording.
[00:17:11.100 --> 00:17:11.100]   I'm going to go ahead and start the recording.
[00:17:11.120 --> 00:17:41.120]   I'm going to go ahead and start the recording.
[00:17:41.120 --> 00:17:41.120]   I'm going to go ahead and start the recording.
[00:17:41.120 --> 00:17:41.120]   I'm going to go ahead and start the recording.
[00:17:41.120 --> 00:17:41.120]   I'm going to go ahead and start the recording.
[00:17:41.120 --> 00:17:41.120]   I'm going to go ahead and start the recording.
[00:17:41.120 --> 00:17:41.120]   I'm going to go ahead and start the recording.
[00:17:41.120 --> 00:17:41.120]   I'm going to go ahead and start the recording.
[00:17:41.120 --> 00:17:41.120]   I'm going to go ahead and start the recording.
[00:17:41.120 --> 00:17:41.120]   I'm going to go ahead and start the recording.
[00:17:41.120 --> 00:17:41.120]   I'm going to go ahead and start the recording.
[00:17:41.120 --> 00:17:41.120]   I'm going to go ahead and start the recording.
[00:17:41.120 --> 00:17:41.120]   I'm going to go ahead and start the recording.
[00:17:41.120 --> 00:17:41.120]   I'm going to go ahead and start the recording.
[00:17:41.120 --> 00:17:41.120]   I'm going to go ahead and start the recording.
[00:17:41.120 --> 00:17:41.120]   I'm going to go ahead and start the recording.
[00:17:41.120 --> 00:17:41.120]   I'm going to go ahead and start the recording.
[00:17:41.120 --> 00:18:11.140]   I'm going to go ahead and start the recording.
[00:18:11.140 --> 00:18:11.140]   I'm going to go ahead and start the recording.
[00:18:11.140 --> 00:18:11.140]   I'm going to go ahead and start the recording.
[00:18:11.140 --> 00:18:11.140]   I'm going to go ahead and start the recording.
[00:18:11.140 --> 00:18:11.140]   I'm going to go ahead and start the recording.
[00:18:11.140 --> 00:18:11.140]   I'm going to go ahead and start the recording.
[00:18:11.140 --> 00:18:11.140]   I'm going to go ahead and start the recording.
[00:18:11.140 --> 00:18:11.140]   I'm going to go ahead and start the recording.
[00:18:11.140 --> 00:18:11.140]   I'm going to go ahead and start the recording.
[00:18:11.140 --> 00:18:11.140]   I'm going to go ahead and start the recording.
[00:18:11.140 --> 00:18:11.140]   I'm going to go ahead and start the recording.
[00:18:11.140 --> 00:18:11.140]   I'm going to go ahead and start the recording.
[00:18:11.160 --> 00:18:41.160]   I'm going to go ahead and start the recording.
[00:18:41.160 --> 00:18:41.160]   I'm going to go ahead and start the recording.
[00:18:41.160 --> 00:18:41.160]   I'm going to go ahead and start the recording.
[00:18:41.160 --> 00:18:41.160]   I'm going to go ahead and start the recording.
[00:18:41.160 --> 00:18:41.160]   I'm going to go ahead and start the recording.
[00:18:41.160 --> 00:18:41.160]   I'm going to go ahead and start the recording.
[00:18:41.160 --> 00:18:41.160]   I'm going to go ahead and start the recording.
[00:18:41.160 --> 00:18:41.160]   I'm going to go ahead and start the recording.
[00:18:41.160 --> 00:18:41.160]   I'm going to go ahead and start the recording.
[00:18:41.160 --> 00:18:41.160]   I'm going to go ahead and start the recording.
[00:18:41.160 --> 00:18:41.160]   I'm going to go ahead and start the recording.
[00:18:41.160 --> 00:18:41.160]   I'm going to go ahead and start the recording.
[00:18:41.160 --> 00:18:41.160]   I'm going to go ahead and start the recording.
[00:18:41.160 --> 00:18:41.160]   I'm going to go ahead and start the recording.
[00:18:41.160 --> 00:18:41.160]   I'm going to go ahead and start the recording.
[00:18:41.160 --> 00:18:41.160]   I'm going to go ahead and start the recording.
[00:18:41.200 --> 00:19:11.180]   I'm going to go ahead and start the recording.
[00:19:11.180 --> 00:19:11.180]   I'm going to go ahead and start the recording.
[00:19:11.180 --> 00:19:11.180]   I'm going to go ahead and start the recording.
[00:19:11.180 --> 00:19:11.180]   I'm going to go ahead and start the recording.
[00:19:11.180 --> 00:19:11.180]   I'm going to go ahead and start the recording.
[00:19:11.180 --> 00:19:11.180]   I'm going to go ahead and start the recording.
[00:19:11.180 --> 00:19:11.180]   I'm going to go ahead and start the recording.
[00:19:11.180 --> 00:19:11.180]   I'm going to go ahead and start the recording.
[00:19:11.180 --> 00:19:11.180]   I'm going to go ahead and start the recording.
[00:19:11.180 --> 00:19:11.180]   I'm going to go ahead and start the recording.
[00:19:11.180 --> 00:19:11.180]   I'm going to go ahead and start the recording.
[00:19:11.180 --> 00:19:11.180]   I'm going to go ahead and start the recording.
[00:19:11.200 --> 00:19:41.200]   I'm going to go ahead and start the recording.
[00:19:41.200 --> 00:19:41.200]   I'm going to go ahead and start the recording.
[00:19:41.200 --> 00:19:41.200]   I'm going to go ahead and start the recording.
[00:19:41.200 --> 00:19:41.200]   I'm going to go ahead and start the recording.
[00:19:41.200 --> 00:19:41.200]   I'm going to go ahead and start the recording.
[00:19:41.200 --> 00:19:41.200]   I'm going to go ahead and start the recording.
[00:19:41.200 --> 00:19:41.200]   I'm going to go ahead and start the recording.
[00:19:41.200 --> 00:19:41.200]   I'm going to go ahead and start the recording.
[00:19:41.200 --> 00:19:41.200]   I'm going to go ahead and start the recording.
[00:19:41.200 --> 00:19:41.200]   I'm going to go ahead and start the recording.
[00:19:41.200 --> 00:19:41.200]   I'm going to go ahead and start the recording.
[00:19:41.200 --> 00:19:41.200]   I'm going to go ahead and start the recording.
[00:19:41.200 --> 00:19:41.200]   I'm going to go ahead and start the recording.
[00:19:41.200 --> 00:19:41.200]   I'm going to go ahead and start the recording.
[00:19:41.200 --> 00:19:41.200]   I'm going to go ahead and start the recording.
[00:19:41.200 --> 00:19:41.200]   I'm going to go ahead and start the recording.
[00:19:41.200 --> 00:20:11.220]   I'm going to go ahead and start the recording.
[00:20:11.220 --> 00:20:11.220]   I'm going to go ahead and start the recording.
[00:20:11.220 --> 00:20:11.220]   I'm going to go ahead and start the recording.
[00:20:11.220 --> 00:20:11.220]   I'm going to go ahead and start the recording.
[00:20:11.220 --> 00:20:11.220]   I'm going to go ahead and start the recording.
[00:20:11.220 --> 00:20:11.220]   I'm going to go ahead and start the recording.
[00:20:11.220 --> 00:20:11.220]   I'm going to go ahead and start the recording.
[00:20:11.220 --> 00:20:11.220]   I'm going to go ahead and start the recording.
[00:20:11.220 --> 00:20:11.220]   I'm going to go ahead and start the recording.
[00:20:11.220 --> 00:20:11.220]   I'm going to go ahead and start the recording.
[00:20:11.220 --> 00:20:11.220]   I'm going to go ahead and start the recording.
[00:20:11.220 --> 00:20:11.220]   I'm going to go ahead and start the recording.
[00:20:11.240 --> 00:20:41.240]   I'm going to go ahead and start the recording.
[00:20:41.240 --> 00:20:41.240]   I'm going to go ahead and start the recording.
[00:20:41.240 --> 00:20:41.240]   I'm going to go ahead and start the recording.
[00:20:41.240 --> 00:20:41.240]   I'm going to go ahead and start the recording.
[00:20:41.240 --> 00:20:41.240]   I'm going to go ahead and start the recording.
[00:20:41.240 --> 00:20:41.240]   I'm going to go ahead and start the recording.
[00:20:41.240 --> 00:20:41.240]   I'm going to go ahead and start the recording.
[00:20:41.240 --> 00:20:41.240]   I'm going to go ahead and start the recording.
[00:20:41.240 --> 00:20:41.240]   I'm going to go ahead and start the recording.
[00:20:41.240 --> 00:20:41.240]   I'm going to go ahead and start the recording.
[00:20:41.240 --> 00:20:41.240]   I'm going to go ahead and start the recording.
[00:20:41.240 --> 00:20:41.240]   I'm going to go ahead and start the recording.
[00:20:41.240 --> 00:20:41.240]   I'm going to go ahead and start the recording.
[00:20:41.240 --> 00:20:41.240]   I'm going to go ahead and start the recording.
[00:20:41.240 --> 00:20:41.240]   I'm going to go ahead and start the recording.
[00:20:41.240 --> 00:20:41.240]   I'm going to go ahead and start the recording.
[00:20:41.240 --> 00:21:11.260]   I'm going to go ahead and start the recording.
[00:21:11.260 --> 00:21:11.260]   I'm going to go ahead and start the recording.
[00:21:11.260 --> 00:21:11.260]   I'm going to go ahead and start the recording.
[00:21:11.260 --> 00:21:11.260]   I'm going to go ahead and start the recording.
[00:21:11.260 --> 00:21:11.260]   I'm going to go ahead and start the recording.
[00:21:11.260 --> 00:21:11.260]   I'm going to go ahead and start the recording.
[00:21:11.260 --> 00:21:11.260]   I'm going to go ahead and start the recording.
[00:21:11.260 --> 00:21:11.260]   I'm going to go ahead and start the recording.
[00:21:11.260 --> 00:21:11.260]   I'm going to go ahead and start the recording.
[00:21:11.260 --> 00:21:11.260]   I'm going to go ahead and start the recording.
[00:21:11.260 --> 00:21:11.260]   I'm going to go ahead and start the recording.
[00:21:11.280 --> 00:21:41.280]   I'm going to go ahead and start the recording.
[00:21:41.280 --> 00:21:41.280]   I'm going to go ahead and start the recording.
[00:21:41.280 --> 00:21:41.280]   I'm going to go ahead and start the recording.
[00:21:41.280 --> 00:21:41.280]   I'm going to go ahead and start the recording.
[00:21:41.280 --> 00:21:41.280]   I'm going to go ahead and start the recording.
[00:21:41.280 --> 00:21:41.280]   I'm going to go ahead and start the recording.
[00:21:41.280 --> 00:21:41.280]   I'm going to go ahead and start the recording.
[00:21:41.280 --> 00:21:41.280]   I'm going to go ahead and start the recording.
[00:21:41.280 --> 00:21:41.280]   I'm going to go ahead and start the recording.
[00:21:41.280 --> 00:21:41.280]   I'm going to go ahead and start the recording.
[00:21:41.280 --> 00:21:41.280]   I'm going to go ahead and start the recording.
[00:21:41.280 --> 00:21:41.280]   I'm going to go ahead and start the recording.
[00:21:41.280 --> 00:21:41.280]   I'm going to go ahead and start the recording.
[00:21:41.280 --> 00:21:41.280]   I'm going to go ahead and start the recording.
[00:21:41.280 --> 00:21:41.280]   I'm going to go ahead and start the recording.
[00:21:41.280 --> 00:21:41.280]   I'm going to go ahead and start the recording.
[00:21:41.300 --> 00:22:11.300]  ,
[00:22:11.300 --> 00:22:11.300]   I'm going to go ahead and start the recording.
[00:22:11.300 --> 00:22:11.300]   I'm going to go ahead and start the recording.
[00:22:11.300 --> 00:22:11.300]   I'm going to go ahead and start the recording.
[00:22:11.300 --> 00:22:11.300]   I'm going to go ahead and start the recording.
[00:22:11.300 --> 00:22:11.300]   I'm going to go ahead and start the recording.
[00:22:11.300 --> 00:22:11.300]   I'm going to go ahead and start the recording.
[00:22:11.300 --> 00:22:11.300]   I'm going to go ahead and start the recording.
[00:22:11.300 --> 00:22:11.300]   I'm going to go ahead and start the recording.
[00:22:11.300 --> 00:22:11.300]   I'm going to go ahead and start the recording.
[00:22:11.320 --> 00:22:41.320]   I'm going to go ahead and start the recording.
[00:22:41.320 --> 00:22:41.320]   I'm going to go ahead and start the recording.
[00:22:41.320 --> 00:22:41.320]   I'm going to go ahead and start the recording.
[00:22:41.320 --> 00:22:41.320]   I'm going to go ahead and start the recording.
[00:22:41.320 --> 00:22:41.320]   I'm going to go ahead and start the recording.
[00:22:41.320 --> 00:22:41.320]   I'm going to go ahead and start the recording.
[00:22:41.320 --> 00:22:41.320]   I'm going to go ahead and start the recording.
[00:22:41.320 --> 00:22:41.320]   I'm going to go ahead and start the recording.
[00:22:41.320 --> 00:22:41.320]   I'm going to go ahead and start the recording.
[00:22:41.320 --> 00:22:41.320]   I'm going to go ahead and start the recording.
[00:22:41.320 --> 00:22:41.320]   I'm going to go ahead and start the recording.
[00:22:41.320 --> 00:22:41.320]   I'm going to go ahead and start the recording.
[00:22:41.320 --> 00:22:41.320]   I'm going to go ahead and start the recording.
[00:22:41.320 --> 00:22:41.320]   I'm going to go ahead and start the recording.
[00:22:41.320 --> 00:22:41.320]   I'm going to go ahead and start the recording. I'm going to go ahead and start the recording.
[00:22:41.320 --> 00:23:11.340]   I'm going to go ahead and start the recording.
[00:23:11.340 --> 00:23:11.340]   I'm going to go ahead and start the recording.
[00:23:11.340 --> 00:23:11.340]   I'm going to go ahead and start the recording.
[00:23:11.340 --> 00:23:11.340]   I'm going to go ahead and start the recording.
[00:23:11.340 --> 00:23:11.340]   I'm going to go ahead and start the recording.
[00:23:11.340 --> 00:23:11.340]   I'm going to go ahead and start the recording.
[00:23:11.340 --> 00:23:11.340]   I'm going to go ahead and start the recording.
[00:23:11.340 --> 00:23:11.340]   I'm going to go ahead and start the recording.
[00:23:11.340 --> 00:23:11.340]   I'm going to go ahead and start the recording.
[00:23:11.340 --> 00:23:11.340]   I'm going to go ahead and start the recording.
[00:23:11.340 --> 00:23:11.340]   I'm going to go ahead and start the recording.
[00:23:11.340 --> 00:23:11.340]   I'm going to go ahead and start the recording.
[00:23:11.360 --> 00:23:41.360]   I'm going to go ahead and start the recording.
