
[00:00:00.000 --> 00:00:21.960]   Hey everyone, I'm very excited to be here. I am very happy that there is an open models track.
[00:07:21.120 --> 00:07:24.080]   And typically LLMs are trained in three stages.
[00:07:24.080 --> 00:07:27.760]   Pre-training instruction, tuning, and learning from human feedback.
[00:07:27.760 --> 00:07:33.280]   So the idea behind pre-training is very simple. You take a piece of text
[00:07:34.480 --> 00:07:42.400]   and you pass, uh, word by word or token by token through the large language model
[00:07:42.400 --> 00:07:49.760]   and ask the model to predict the next token. Um, so the idea itself is very simple.
[00:07:49.760 --> 00:07:57.040]   Each, uh, the task is the next token prediction. Each token is roughly 0.75 word. The vocabulary size is
[00:07:57.040 --> 00:08:02.800]   roughly tens of thousands of tokens, or sometimes hundreds of thousands. And each token is basically
[00:08:02.800 --> 00:08:08.000]   represented as an integer and it has an embedding associated with it. And so the task of the model
[00:08:08.000 --> 00:08:12.240]   is to take in a sequence of embeddings or tokens and predict the next token.
[00:08:12.240 --> 00:08:17.840]   Although the concept is very simple, in practice, it's actually very hard.
[00:08:17.840 --> 00:08:26.400]   Why is it hard? Because it requires a lot of effort in building the data sets. The data sets are huge.
[00:08:26.400 --> 00:08:32.640]   They are order of trillions of tokens, tens of trillions of tokens, uh, that requires pre-processing,
[00:08:32.640 --> 00:08:40.320]   cleaning, deduplication, curation. And there's, again, a common belief that more data leads to better
[00:08:40.320 --> 00:08:46.320]   performance, but that's not, not necessarily the case. Uh, if you have noise in your data, that can
[00:08:46.320 --> 00:08:54.000]   actually hurt the model performance. It also requires a lot of investment. Uh, these models are huge, you know,
[00:08:54.000 --> 00:09:00.720]   can go up to hundreds or even hundreds of billions or even trillions of parameters. Uh, each model takes
[00:09:00.720 --> 00:09:09.040]   tens to hundreds of millions of dollars to train. And the hardest part is you don't get multiple chances
[00:09:09.040 --> 00:09:19.200]   to train the model. Uh, the, because it's so expensive, if something grows wrong in your training, uh, it's, uh, very
[00:09:19.200 --> 00:09:25.680]   difficult to get the investment to do another training run, uh, because, uh, typically for small
[00:09:25.680 --> 00:09:31.040]   companies, you don't get that kind of budget. If you do a model run and it's not successful,
[00:09:31.040 --> 00:09:40.000]   it becomes harder to get the funding for the next run. Um, and this is hard because the best hyper
[00:09:40.000 --> 00:09:46.560]   parameters for a smaller model might not be the best for a larger model. Uh,
[00:09:46.560 --> 00:09:53.840]   here I'm showing you some hyper parameters for Lama one model family sizes. And you might ask,
[00:09:53.840 --> 00:10:04.640]   uh, why are the number of players 80 and not 82 in Lama 65B? And the answer is, we don't know.
[00:10:04.640 --> 00:10:14.400]   Uh, there's a lot of things that are been, uh, decided by intuition and it's not exact science.
[00:10:14.400 --> 00:10:20.960]   Uh, so you'd need a lot of experience and intuition working with these models to come up with things
[00:10:20.960 --> 00:10:30.160]   that are very likely to work, but, uh, we don't, uh, we're still not very mature with the science of
[00:10:30.160 --> 00:10:35.120]   what is the best way to train the model or what's the best architecture, what's the best data set
[00:10:35.120 --> 00:10:42.560]   mixture. So, uh, can we use this pre-trained model? Um, so let's say if you want to use this pre-trained
[00:10:42.560 --> 00:10:47.440]   model and, uh, ask it to write a Python function to find whether the input number is prime or not,
[00:10:47.440 --> 00:10:54.640]   and the model might give you a response like this, uh, continues the text, gives an example and like
[00:10:54.640 --> 00:10:58.320]   describes the approach, but it might not give you the code. And this is because
[00:10:59.360 --> 00:11:02.880]   the model is trained to do this, it's trained to predict the next token. So it
[00:11:02.880 --> 00:11:07.520]   predicts the most likely token from the text data it's been trained on.
[00:11:07.520 --> 00:11:16.880]   But there is a way to trick the model. If you give this input, like as a Python function definition
[00:11:16.880 --> 00:11:23.360]   and a doc string, uh, to, to get the same function, the model actually produces the code.
[00:11:23.360 --> 00:11:29.280]   And so this shows you that model actually knows the answer, but it is not aligned with
[00:11:29.280 --> 00:11:34.480]   human preferences. It's not trained to interact with humans in the way humans want to.
[00:11:34.480 --> 00:11:42.080]   And this is why we need the next two stages. Um, so in the instruction tuning stage, instead of
[00:11:42.080 --> 00:11:50.160]   just, uh, a string of text, we have prompt response pairs. So here we are giving the prompt,
[00:11:50.160 --> 00:11:55.760]   but in the way humans want to interact with the model. So for example, this prompt to write a Python
[00:11:55.760 --> 00:11:59.840]   function function and the response is directly the code because that's what humans want as the response.
[00:11:59.840 --> 00:12:07.120]   And the technique is very simple. Again, we are doing next token prediction, but the only difference
[00:12:07.120 --> 00:12:12.880]   is we are going to mask the prompt itself. We are going to do prediction only for the response.
[00:12:12.880 --> 00:12:21.680]   Um, so the data set is paired prompt response pairs. We typically use hundreds to hundreds of thousands
[00:12:21.680 --> 00:12:30.560]   of instructions. Uh, the task is next word prediction, but just we mask the, the input instruction. Uh,
[00:12:30.560 --> 00:12:38.720]   it requires way less compute order of hundred GPUs for a few hours or days is typically sufficient to do
[00:12:38.720 --> 00:12:45.520]   instruction. And then the last steps is learning from human feedback. And here the idea is, um,
[00:12:46.800 --> 00:12:52.320]   that human preferences are cheaper or easier to obtain than full human annotation. If I give you
[00:12:52.320 --> 00:12:58.080]   a prompt like this and two responses, it's much easier for a human to decide which response is better
[00:12:58.080 --> 00:13:05.520]   than to write the whole response, uh, from scratch. And so this allows us to scale, uh, data
[00:13:05.520 --> 00:13:12.560]   faster. And there are two main techniques, uh, learning from reinforcement learning from human
[00:13:12.560 --> 00:13:18.080]   feedback and direct preference optimization, uh, where we use this kind of preference data to fine tune
[00:13:18.080 --> 00:13:26.880]   the model, uh, further. So just to summarize, uh, these are the three stages. Um, they have different
[00:13:26.880 --> 00:13:34.800]   orders of data set and compute requirement, and the task is, uh, slightly different. And all the open source
[00:13:34.800 --> 00:13:41.600]   models we have, I've been used, I've been trained using these techniques. And so I won't go into the details of
[00:13:41.600 --> 00:13:50.800]   um, the model architecture itself, but I'll show you the, this nice graph of performance to cost ratio,
[00:13:50.800 --> 00:14:01.120]   uh, which kind of shows that, uh, we really try to optimize, uh, this metric, uh, we try to get the best
[00:14:01.120 --> 00:14:07.840]   performance out of our models of a particular size. So here on the x-axis, we have the active parameters,
[00:14:07.840 --> 00:14:12.080]   which is directly proportional to the cost of running through the model. And on the y-axis,
[00:14:12.080 --> 00:14:19.360]   we have a popular benchmark, MMLU. So we try to be in the top left corner to get more performance with a
[00:14:19.360 --> 00:14:27.680]   lower cost. Um, we recently released, uh, the code trial model, code trial 22B. It's a dense transformer
[00:14:27.680 --> 00:14:34.400]   model trained specifically for code. Um, and again, we are trying to optimize performance and speed.
[00:14:34.400 --> 00:14:41.040]   It's fluent in 80 plus programming languages and it has both, uh, instruct and fill in the middle
[00:14:41.040 --> 00:14:46.800]   mode, which means that you can use it for code completion, uh, in, uh, your code editor, uh,
[00:14:46.800 --> 00:14:52.400]   just like GitHub copilot, but also you can use it to ask questions about the bugs or errors you're facing,
[00:14:52.400 --> 00:14:55.200]   just like you would put it in chat GPT. Um,
[00:14:56.800 --> 00:15:04.000]   So it outperforms code Lama 70 B deep deep seek code 33 B Lama 370 B while being a significantly
[00:15:04.000 --> 00:15:09.440]   smaller model. So again, we are getting more performance out of a model of a particular size.
[00:15:09.440 --> 00:15:15.200]   And it also has a longer context window, uh, with the other open source code models.
[00:15:16.720 --> 00:15:22.080]   It is multilingual. Uh, we trained it with more than 80 programming languages and, uh,
[00:15:22.080 --> 00:15:28.720]   across all these different languages tends to perform better than the other models.
[00:15:28.720 --> 00:15:37.440]   So it's, uh, free to use on our chat interface chat.mistral.ti. Uh, we also have the API access
[00:15:37.440 --> 00:15:46.080]   available on lab platform, which is our, uh, uh, platform API endpoint. And here, uh, it's also free
[00:15:46.080 --> 00:15:53.680]   to use till I believe, uh, end of July. We also have, uh, integration with VS code and JetBrains.
[00:15:53.680 --> 00:16:01.760]   So you can download, uh, a plugin in VS code or JetBrains and use it as a coding assistant for code completion.
[00:16:03.520 --> 00:16:11.840]   So, um, in the end, I would just discuss some practical tips because these are some commonly
[00:16:11.840 --> 00:16:16.800]   asked questions about how to use open source models and when to use open source versus when,
[00:16:16.800 --> 00:16:23.760]   uh, to use commercial models. So, uh, if you have a particular application in mind and you want to try
[00:16:23.760 --> 00:16:28.880]   out commercial models, you could do things like prompt engineering, few short prompting, chain of thought,
[00:16:28.880 --> 00:16:33.360]   and you could also do retrieval augmented generation, uh, because commercial
[00:16:33.360 --> 00:16:41.520]   models typically don't allow you to do fine tuning. Uh, but for open models, you can do task specific
[00:16:41.520 --> 00:16:48.320]   fine tuning as well. You need a little bit of data and compute for this. Uh, but in the end, the
[00:16:48.320 --> 00:16:54.960]   choice is between how do you, how do you balance performance versus cost commercial models have a
[00:16:54.960 --> 00:16:59.360]   higher general purpose performance. So they are much easier to get started with if you are trying to
[00:16:59.360 --> 00:17:05.680]   build a new application. Uh, but if you, once you get into production or once you have high volume,
[00:17:05.680 --> 00:17:10.560]   open models can beat commercial models on specific tasks with fine tuning.
[00:17:10.560 --> 00:17:19.360]   And, um, uh, typically what we have seen is people prototype with the highest end models. And then once
[00:17:19.360 --> 00:17:26.640]   they figured out that this is the, the task they want to solve, they take, uh, open source model like
[00:17:26.640 --> 00:17:31.200]   install seven B or eight X seven B and then fine tuning for their tasks. And this optimizes the
[00:17:31.200 --> 00:17:40.880]   performance to cost ratio. Uh, we have offices in Paris, London and in Maria. Uh, we are always looking
[00:17:40.880 --> 00:17:50.880]   for talented, uh, researchers, engineers, uh, business marketing people. Uh, so, uh, please,
[00:17:50.880 --> 00:17:56.160]   please, please do a clap and thank you. Uh, I don't know if you're taking questions, but happy. No.
[00:17:56.160 --> 00:17:57.760]   Okay. Thank you so much.
[00:17:57.760 --> 00:18:15.920]   Thank you.

