
[00:00:00.000 --> 00:00:03.000]   Your tough Tacoma is here.
[00:03:36.000 --> 00:03:40.000]   Most entrepreneurs enjoy a lifestyle of liberty.
[00:03:40.000 --> 00:03:41.000]   Not all.
[00:03:41.000 --> 00:03:46.000]   And I want to be clear with one caveat that entrepreneurship is not perfect.
[00:03:46.000 --> 00:03:47.000]   It's not.
[00:03:47.000 --> 00:04:08.000]   And I would guess if we were sitting down and having a friendly gentleman's wager, I would wager a few bucks that you probably couldn't find an entrepreneur anywhere in the world that would say to you that they haven't at times thought if they wouldn't be much better simply being an employee and having a job.
[00:04:08.000 --> 00:04:13.000]   Entrepreneurship comes with tremendous benefits but also comes with a tremendous cost.
[00:04:13.000 --> 00:04:24.000]   And I've personally observed a number of people who are entrepreneurs and when observing their situation, observing their lifestyle, I think they'd be better off in a job.
[00:04:24.000 --> 00:04:28.000]   Especially a job that you can go to work, do your work and leave it there.
[00:04:28.000 --> 00:04:34.000]   I've often been envious of jobs like driving a truck or delivering mail.
[00:04:34.000 --> 00:04:39.000]   I had a friend of mine who was a mailman and I was always envious of his job because his job never followed him home.
[00:04:39.000 --> 00:04:45.000]   He went to work, he did his job and then he left and his job stayed there.
[00:04:45.000 --> 00:04:52.000]   And there are many jobs like that and I often think about, "Man, wouldn't it be nice to have one of those jobs?"
[00:04:52.000 --> 00:04:56.000]   But then something happens and usually I'm very glad to not have one of those jobs.
[00:04:56.000 --> 00:04:58.000]   So I want to be clear.
[00:04:58.000 --> 00:04:59.000]   This is not a panacea.
[00:04:59.000 --> 00:05:00.000]   This is not a perfect prescription.
[00:05:00.000 --> 00:05:03.000]   But in today's show, I'm going to make 10 arguments to you.
[00:05:03.000 --> 00:05:14.000]   I'm going to go through a list of 10 things specifically that I particularly value about entrepreneurship and how entrepreneurship and freedom go hand in hand.
[00:05:14.000 --> 00:05:18.000]   How you can build tremendous levels of freedom for yourself as an entrepreneur.
[00:05:18.000 --> 00:05:22.000]   And then if you'll stay tuned, number 10 is going to be my favorite one.
[00:05:22.000 --> 00:05:24.000]   The other ones aren't unimportant.
[00:05:24.000 --> 00:05:30.000]   But number 10 is going to be my favorite one and I'm going to give you one bonus at the end that I think is also quite powerful.
[00:05:30.000 --> 00:05:31.000]   So let's start on the 10.
[00:05:31.000 --> 00:05:38.000]   Oh, and then after the 10, I'm going to give you some suggestions as to how you can work your way gradually toward entrepreneurship.
[00:05:38.000 --> 00:05:44.000]   Because I don't think that the best solution to freedom is to say, "That's it. I'm done with my job today and I'm just going to go and start any business at all."
[00:05:44.000 --> 00:05:50.000]   Rather, there are a lot of ways to think about it and I want you to behave thoughtfully and intelligently as you make your decisions.
[00:05:50.000 --> 00:05:57.000]   So thing number one that I really value about entrepreneurship is freedom of schedule.
[00:05:57.000 --> 00:05:58.000]   Freedom of schedule.
[00:05:58.000 --> 00:06:04.000]   And I've chosen to lead with this one because I think it's especially applicable to people who are pursuing financial independence.
[00:06:04.000 --> 00:06:10.000]   When I talk to people who are gung-ho about financial independence and I ask them, "What do you want?"
[00:06:10.000 --> 00:06:17.000]   A lot of times they share something that's involved with freedom over time and daily schedule.
[00:06:17.000 --> 00:06:23.000]   Sometimes they'll say things like, "I want to have time to get really healthy and work out a lot."
[00:06:23.000 --> 00:06:31.000]   Sometimes they'll say things like, "I don't want to have to get up with an alarm clock," or, "I don't have to want to commute into the city and sit for two hours in rush hour traffic."
[00:06:31.000 --> 00:06:36.000]   There will often be something that's expressed in terms of freedom of schedule.
[00:06:36.000 --> 00:06:39.000]   And I personally deeply value that.
[00:06:39.000 --> 00:06:42.000]   It's something that I really, really value.
[00:06:42.000 --> 00:06:44.000]   The ability to control your day.
[00:06:44.000 --> 00:06:53.000]   I think that fundamentally it's very human, as an adult human, to want to and to be able to control your day.
[00:06:53.000 --> 00:07:03.000]   And you can understand why in many work environments the boss or the employer needs people to be on a common time schedule.
[00:07:03.000 --> 00:07:06.000]   And I don't think that that common time schedule is actually all that bad.
[00:07:06.000 --> 00:07:15.000]   For example, though I have the ability to work at any time of the day that I work, I work pretty standard hours.
[00:07:15.000 --> 00:07:22.000]   I generally work a pretty standard schedule, which is about the same that I would be doing if I were an employee.
[00:07:22.000 --> 00:07:33.000]   But at the end of the day, it's a lot different to work when you want to and to choose the hours, choose the standard schedule because you know it fits your needs, than to have to be there because you have to.
[00:07:33.000 --> 00:07:36.000]   And I think that's incredibly valuable.
[00:07:36.000 --> 00:07:39.000]   Now, I'm not such an unusual person.
[00:07:39.000 --> 00:07:42.000]   I don't have many unusual things that need to be catered to.
[00:07:42.000 --> 00:07:46.000]   But if you do, then you can often meet those things in entrepreneurship.
[00:07:46.000 --> 00:07:53.000]   For example, one of the real benefits of entrepreneurship is you can do your work at the time of the day when you work most effectively.
[00:07:53.000 --> 00:07:56.000]   I think some people genuinely work really well in the morning.
[00:07:56.000 --> 00:07:58.000]   Some people work really well in the afternoon.
[00:07:58.000 --> 00:08:00.000]   Some people work really well at night.
[00:08:00.000 --> 00:08:05.000]   As an entrepreneur, depending on the structure of your business, you have the ability to work when you work well.
[00:08:05.000 --> 00:08:08.000]   I personally, I work well early in the morning.
[00:08:08.000 --> 00:08:10.000]   I don't work well late at night.
[00:08:10.000 --> 00:08:12.000]   I have never been effective late at night.
[00:08:12.000 --> 00:08:18.000]   When most people in college would stay up, I would get to a certain point, usually around 9 or 10 o'clock and say, "Nah, doesn't matter.
[00:08:18.000 --> 00:08:20.000]   Don't even care if I get an F. I'm going to bed."
[00:08:20.000 --> 00:08:24.000]   But I can get up at 4 o'clock, 5 o'clock in the morning and work very effectively.
[00:08:24.000 --> 00:08:26.000]   Now, there are people who are the exact opposite.
[00:08:26.000 --> 00:08:32.000]   One of the great ways to get a lot of benefit from your working hours is to work when you're at your peak.
[00:08:32.000 --> 00:08:38.000]   I think that's so important, and especially if your work is something that you can do in a fairly solitary way.
[00:08:38.000 --> 00:08:41.000]   For example, my work is fairly solitary.
[00:08:41.000 --> 00:08:52.000]   I can choose to work when I'm at my peak, and that helps me to get more work done in less time, not necessarily because of anything except just choosing to work when I'm at my best.
[00:08:52.000 --> 00:08:57.000]   This also fits well. The freedom of schedule on a daily basis fits well into an ordinary life.
[00:08:57.000 --> 00:09:03.000]   An ordinary life involves a basic schedule but exceptions to that schedule.
[00:09:03.000 --> 00:09:09.000]   So you might have a normal breakfast time with your family or a normal dinner time, but then there are exceptions.
[00:09:09.000 --> 00:09:18.000]   And when you have the ability to come and go as most fits you, then those exceptions don't have to be—you don't have to freak out about them.
[00:09:18.000 --> 00:09:24.000]   This morning, got a late start. I had been traveling this last week, taking a number of red-eye flights.
[00:09:24.000 --> 00:09:29.000]   I was tired, woke up early, got up, was tired, went back to bed.
[00:09:29.000 --> 00:09:35.000]   And our whole family schedule just shifted back a couple of hours, and it was no big deal because I have the control over my day.
[00:09:35.000 --> 00:09:47.000]   That helps me to feel like my work is not something that I'm a slave to, because if I can control my work and put it into the normal times that I want to do it, then I don't feel like I have to do it.
[00:09:47.000 --> 00:09:56.000]   And that's different than perhaps an employee who has to get up and you have to report for work at 7 a.m. because the students are going to be arriving, and you have to be there.
[00:09:56.000 --> 00:10:02.000]   And so, yeah, you took a couple of red-eye flights and you're tired, but, well, you got to do it.
[00:10:02.000 --> 00:10:07.000]   And so I very much appreciate that daily freedom of schedule.
[00:10:07.000 --> 00:10:12.000]   And I think that it's something that many entrepreneurs do appreciate very much.
[00:10:12.000 --> 00:10:22.000]   And so I would commend to you if one of your reasons for pursuing financial independence is to have control over your daily schedule, recognize that you can do that with entrepreneurship.
[00:10:22.000 --> 00:10:26.000]   Now, I can hear the response that you may be thinking.
[00:10:26.000 --> 00:10:29.000]   You might be thinking, "Well, Joshua, not all businesses are like that.
[00:10:29.000 --> 00:10:32.000]   You can be an entrepreneur and yet still have to be at the office at 7 a.m."
[00:10:32.000 --> 00:10:37.000]   That is true, which is why entrepreneurship in and of itself offers benefits.
[00:10:37.000 --> 00:10:47.000]   But there are even more benefits to your thinking carefully and critically about the kind of business that you pursue and choosing one that fits your desired lifestyle.
[00:10:47.000 --> 00:10:51.000]   More on that on the fifth one today.
[00:10:51.000 --> 00:10:56.000]   Other benefits of freedom of schedule is just simply weekly, monthly, and yearly rhythms.
[00:10:56.000 --> 00:11:02.000]   I find that having control over your schedule on a weekly, monthly, and yearly basis is really powerful.
[00:11:02.000 --> 00:11:04.000]   Now, the weekly is up to you.
[00:11:04.000 --> 00:11:06.000]   If you want to have weekends off, great.
[00:11:06.000 --> 00:11:07.000]   If you want to work on the weekends, great.
[00:11:07.000 --> 00:11:09.000]   You can choose a business that fits that.
[00:11:09.000 --> 00:11:20.000]   There are many people who are entrepreneurs who make a living going to festivals on the weekends and selling, running a food business, a festival-focused food business.
[00:11:20.000 --> 00:11:26.000]   Or they go to trade shows and they make huge amounts of income in just a short amount of time and they have their other days of the week off.
[00:11:26.000 --> 00:11:28.000]   I think that's great.
[00:11:28.000 --> 00:11:32.000]   Other people really like to work Monday through Friday and like to have their weekends off.
[00:11:32.000 --> 00:11:36.000]   Some people want to work Monday through Thursday and have Friday, Saturday, and Sunday off.
[00:11:36.000 --> 00:11:42.000]   Entrepreneurship gives you the ability to structure your life in the way that you think is best.
[00:11:42.000 --> 00:11:45.000]   Now, what I have found is that I'm fairly boring.
[00:11:45.000 --> 00:11:51.000]   I work basically a standard Monday through Friday week most of the time because there are real benefits.
[00:11:51.000 --> 00:11:59.000]   The 40-hour work week, the 50-hour work week from Monday through Friday has a lot of benefits and it feels good socially.
[00:11:59.000 --> 00:12:03.000]   It kind of fits the normal expected social calendar that most of us have.
[00:12:03.000 --> 00:12:06.000]   But if that's not you and you want to do something different, go for it.
[00:12:06.000 --> 00:12:13.000]   I appreciate the flexibility on a monthly and yearly basis to schedule things when I want to schedule them.
[00:12:13.000 --> 00:12:23.000]   I think that one of the great benefits of entrepreneurship is you don't exist in a world of specific days, specific holidays as much as many people do.
[00:12:23.000 --> 00:12:32.000]   Your world might revolve around the holidays back to your being working in a food business or a festival business.
[00:12:32.000 --> 00:12:36.000]   In that situation, then the holidays might be the time that you work.
[00:12:36.000 --> 00:12:39.000]   But on the other hand, you might just simply ignore holidays.
[00:12:39.000 --> 00:12:47.000]   I tend to ignore the majority of holidays personally and I just work when I want to or I work on most holidays.
[00:12:47.000 --> 00:12:53.000]   But then I do have a lot of things in my personal life that fit in and I schedule them when they're most convenient.
[00:12:53.000 --> 00:12:55.000]   And I like that personally.
[00:12:55.000 --> 00:12:57.000]   It fits well with my personality.
[00:12:57.000 --> 00:12:59.000]   It fits well with my family's schedule.
[00:12:59.000 --> 00:13:04.000]   It also has some benefits of being financially efficient and you don't have to travel in peak times.
[00:13:04.000 --> 00:13:06.000]   You can travel at other times, et cetera.
[00:13:06.000 --> 00:13:11.000]   But you can structure your day and your week and your life in the way that you want.
[00:13:11.000 --> 00:13:21.000]   For many years, my ambition has been I've noticed that I have about a three-month time ability to focus for about three months on a project before I get worn out.
[00:13:21.000 --> 00:13:27.000]   And so for years, I've had the intention of working on a three-month on, one month off schedule.
[00:13:27.000 --> 00:13:30.000]   January, February, March work, take April off.
[00:13:30.000 --> 00:13:32.000]   May, June, July work, take August off.
[00:13:32.000 --> 00:13:34.000]   September, October, November take December off.
[00:13:34.000 --> 00:13:37.000]   And so that's been my ambition for years.
[00:13:37.000 --> 00:13:44.000]   So far, I've not done it and part of that has been just simply because I've never scheduled the things that I wanted to schedule during those times.
[00:13:44.000 --> 00:13:46.000]   I've taken other interesting times off.
[00:13:46.000 --> 00:13:53.000]   But this year, I'll be taking the month of June off and the month of December off and I'm working on a five-month schedule right now, five months on, one month off.
[00:13:53.000 --> 00:13:58.000]   And because of that, in a way, it's almost like constant mini-retirements.
[00:13:58.000 --> 00:14:06.000]   But for me, a month off from work and I start to get really antsy and really ready to get back to it, which means that I'm always working at my peak.
[00:14:06.000 --> 00:14:15.000]   And that's a real, real benefit of entrepreneurship, to structure things in a way that allows you to constantly work at your peak.
[00:14:15.000 --> 00:14:18.000]   And I think there's a huge benefit in seasonality.
[00:14:18.000 --> 00:14:27.000]   An entrepreneur's production schedule, depending on your job, can include massive amounts of free time and that in and of itself can enhance your productivity.
[00:14:27.000 --> 00:14:33.000]   Years ago, I read Dan Sullivan's book on the entrepreneur's time management system.
[00:14:33.000 --> 00:14:49.000]   And the argument that Sullivan makes is that most people approach their work with a mindset basically of a factory worker and basically with this concept that you have to work to earn a vacation.
[00:14:49.000 --> 00:14:58.000]   And so the standard model is you work, work, work, work, work, work, work, work, work, work, work, work, work, work, and when you finally worked enough, then at that point in time you say, "Okay, now I deserve a break."
[00:14:58.000 --> 00:15:11.000]   Whereas Sullivan makes the claim that entrepreneurship is much more like a performance art, much more like an athlete or an entertainer in terms of the schedule where you do your best work when you're at your peak.
[00:15:11.000 --> 00:15:20.000]   And you're at your peak usually when you come from a period of rest where you start with rest, you start with rejuvenation, and then you do your work.
[00:15:20.000 --> 00:15:21.000]   And you do your very best work.
[00:15:21.000 --> 00:15:25.000]   So think of it if you played a professional sport.
[00:15:25.000 --> 00:15:41.000]   You wouldn't go and say the best way to prepare for a professional sport is to work, work, work, work, work all week long, and then you've got your Sunday football game, and you're going to just do your hardest workout on Saturday so that you can prepare and launch it on Sunday.
[00:15:41.000 --> 00:15:42.000]   You don't do that.
[00:15:42.000 --> 00:15:44.000]   In football you need to be rested.
[00:15:44.000 --> 00:15:54.000]   So yes, you do need to have workouts, but then there's going to be a rest time so that when you hit the game, you arrive at it very well rested.
[00:15:54.000 --> 00:15:59.000]   And the performance during the practice week in some ways doesn't matter.
[00:15:59.000 --> 00:16:06.000]   A football player doesn't get paid or recruited based upon their performance during practice on a random Tuesday.
[00:16:06.000 --> 00:16:13.000]   They get paid or recruited based upon their production on a Sunday or a Monday night or whenever their game actually is.
[00:16:13.000 --> 00:16:19.000]   And so there's a very tiny percentage of time that makes all the difference in the world in terms of their overall compensation.
[00:16:19.000 --> 00:16:21.000]   It's not just the practice schedule.
[00:16:21.000 --> 00:16:24.000]   The practice schedule matters, but it's their performance.
[00:16:24.000 --> 00:16:26.000]   And so in entrepreneurship it's the same way.
[00:16:26.000 --> 00:16:35.000]   There are very few key activities, few key decisions, a few key things that an entrepreneur is in charge of that will massively dictate the results that entrepreneur gets with their business.
[00:16:35.000 --> 00:16:43.000]   And so by performing those things at your best, you get tremendous benefits.
[00:16:43.000 --> 00:16:52.000]   And so you always start with rest, with relaxation, with rejuvenation, and then you schedule your high performance activities during the time when you're the most productive.
[00:16:52.000 --> 00:17:05.000]   And what that means is that in entrepreneurship, especially if we talk about financial leverage, which is one of the later points, you can have a lifestyle where you don't have to choose between increasing amounts of income and increasing amounts of free time.
[00:17:05.000 --> 00:17:08.000]   Rather, you can pursue those things simultaneously.
[00:17:08.000 --> 00:17:14.000]   You can pursue massive levels of increasing income and massive levels of increasing free time.
[00:17:14.000 --> 00:17:26.000]   And often, if the person who's in charge of the business values free time, you'll often see that the larger and more productive an entrepreneur is in terms of their financial productivity, the more free time they have.
[00:17:26.000 --> 00:17:36.000]   And to me that's one of the most powerful things because it doesn't put your time and your so-called personal life in conflict with your financial productivity.
[00:17:36.000 --> 00:17:39.000]   What it means is that you can constantly refine both of them.
[00:17:39.000 --> 00:17:46.000]   You can constantly increase your income while increasing the quantity and quality of your non-work time, of your free time.
[00:17:46.000 --> 00:17:58.000]   And when you're in a situation like that, it makes both of them so much more valuable and it solves fundamentally the classic problem of the early retirement that the early retirement crowd is pursuing.
[00:17:58.000 --> 00:18:01.000]   This idea that, "Well, I've got to work, I've got to work, I've got to work so that I can get away and do free time."
[00:18:01.000 --> 00:18:07.000]   But when you've sat around and engaged in just free time for a long time, you're ready to do something productive.
[00:18:07.000 --> 00:18:15.000]   And so people who are early retired, they do things that are productive to solve that problem.
[00:18:15.000 --> 00:18:25.000]   And so my point is if you can do something productive and you can simultaneously enjoy massive amounts of free time and massive amounts of income, then why not pursue that path?
[00:18:25.000 --> 00:18:28.000]   It seems like basically the best path.
[00:18:28.000 --> 00:18:41.000]   And most of the downsides of that path can be mitigated with different decisions, with a different type of business or a different way of structuring the business or your willingness to accept different results from your business.
[00:18:41.000 --> 00:18:46.000]   So freedom over schedule is tremendously important.
[00:18:46.000 --> 00:18:53.000]   Now, point number two of what I value about entrepreneurship is arguably a subset of point number one.
[00:18:53.000 --> 00:19:06.000]   But I wanted to highlight it differently because I believe that entrepreneurship also solves one of the major challenges of fitting work into the normal cycle of family life, and that is seasonality.
[00:19:06.000 --> 00:19:10.000]   Life ebbs and flows in seasons.
[00:19:10.000 --> 00:19:15.000]   I'm not here referring to the quarterly seasons based upon the natural cycles.
[00:19:15.000 --> 00:19:18.000]   I'm referring to the seasons of your personal life.
[00:19:18.000 --> 00:19:33.000]   There's a season of childhood, a season of adolescence, a season of young adulthood, hopefully a season of marriage, childless marriage, hopefully then a season of young children and middle-aged children, older children, adult children, season of grandchildren.
[00:19:33.000 --> 00:19:35.000]   Hopefully you're blessed enough to have a season of great-grandchildren.
[00:19:35.000 --> 00:19:38.000]   And there are these different seasons of life.
[00:19:38.000 --> 00:19:48.000]   The challenge is that this seasonal understanding of life doesn't fit in well with the mainstream factory work system.
[00:19:48.000 --> 00:20:06.000]   If you're a factory worker and your boss is depending on you to be there for a certain number of hours per week in order to assemble a certain number of widgets, your boss is not looking to your personal life and asking you how much you'd like to work this week or this month or this year or this decade.
[00:20:06.000 --> 00:20:10.000]   Because they need your presence there.
[00:20:10.000 --> 00:20:13.000]   And if you're not there, the whole factory line system falls down.
[00:20:13.000 --> 00:20:19.000]   But for an entrepreneur, you can adjust your work activities to different seasons of your life.
[00:20:19.000 --> 00:20:23.000]   Because you don't have to please another person's production schedule.
[00:20:23.000 --> 00:20:34.000]   If you own your own company and that company is privately held, you have the ability to adjust your work in that company based upon your personal capacity.
[00:20:34.000 --> 00:20:44.000]   So one of the reasons why over the years, although I believe that I would be more effective in many ways if I had a business partner other than my wife, I'm very slow to do that.
[00:20:44.000 --> 00:20:51.000]   Because I don't want another person's expectations, which may not be aligned with mine, to be weighing on my shoulders.
[00:20:51.000 --> 00:20:55.000]   Because if I took on a business partner, I would have a responsibility to that business partner.
[00:20:55.000 --> 00:20:58.000]   And their goals might be different than my goals.
[00:20:58.000 --> 00:21:10.000]   And as an entrepreneur though, you have the ability to look at your goals and decide how aggressive you're going to be with those goals based upon the season of life that you're in.
[00:21:10.000 --> 00:21:13.000]   And then you adjust your business activities accordingly.
[00:21:13.000 --> 00:21:21.000]   One of the people that I found most inspiring on this years ago, I was an early reader of Joshua Kaufman's work.
[00:21:21.000 --> 00:21:27.000]   He was the man who wrote the book Personal MBA as well as four or five other ones.
[00:21:27.000 --> 00:21:33.000]   And he created the Personal MBA out of his own personal project and then it became a book.
[00:21:33.000 --> 00:21:38.000]   Well, he went on and he applied the principles of the Personal MBA project into his life.
[00:21:38.000 --> 00:21:45.000]   And I've admired him as being one of the most disciplined and clear thinking writers that I've often come across.
[00:21:45.000 --> 00:21:52.000]   And one of the things that I appreciate is on his website for years he maintained basically a current status.
[00:21:52.000 --> 00:21:53.000]   Here's what I'm doing.
[00:21:53.000 --> 00:21:59.000]   And he and his wife had a number of small children and he just simply said, "I'm not pursuing projects.
[00:21:59.000 --> 00:22:00.000]   I'm not pursuing big opportunities.
[00:22:00.000 --> 00:22:01.000]   Here's what I'm working on.
[00:22:01.000 --> 00:22:02.000]   I'm not pursuing.
[00:22:02.000 --> 00:22:03.000]   I'm not accepting speaking engagements.
[00:22:03.000 --> 00:22:04.000]   I'm not pursuing this.
[00:22:04.000 --> 00:22:06.000]   I'm not pursuing that, etc."
[00:22:06.000 --> 00:22:10.000]   And I've basically done in many ways a similar thing with my own life.
[00:22:10.000 --> 00:22:17.000]   As the demands of my family and my personal goals have caused me, I've laid aside certain business goals.
[00:22:17.000 --> 00:22:19.000]   But not forever is the point.
[00:22:19.000 --> 00:22:20.000]   Not forever.
[00:22:20.000 --> 00:22:22.000]   I don't have to be either out of the job market or in the job market.
[00:22:22.000 --> 00:22:28.000]   I can maintain some things and then you can ramp up your activities up and down as you feel able.
[00:22:28.000 --> 00:22:30.000]   To me, that's a powerful thing.
[00:22:30.000 --> 00:22:36.000]   When you're not responsible to another person to produce for them at the level that they need.
[00:22:36.000 --> 00:22:43.000]   And you can adjust your business larger, smaller, as you want in a certain phase of your life.
[00:22:43.000 --> 00:22:46.000]   It allows your life and your business to be very compatible.
[00:22:46.000 --> 00:22:52.000]   And so when you can align your money-making activities and your personal life in a seasonal way,
[00:22:52.000 --> 00:22:55.000]   depending on the season of life you're in and the demands of that season,
[00:22:55.000 --> 00:22:58.000]   it gives you a tremendous level of personal freedom.
[00:22:58.000 --> 00:23:00.000]   Where you don't have to run from your work, run from your job.
[00:23:00.000 --> 00:23:06.000]   But you can adjust your work and your job to fit where you are at that season of life.
[00:23:06.000 --> 00:23:12.000]   Freedom number three that I appreciate deeply is freedom of location and jurisdiction.
[00:23:12.000 --> 00:23:16.000]   Freedom of location can be very simple.
[00:23:16.000 --> 00:23:19.000]   For example, some people really enjoy working in an office environment.
[00:23:19.000 --> 00:23:23.000]   Some people don't like to work in an office environment.
[00:23:23.000 --> 00:23:27.000]   As an entrepreneur, you can largely choose the type of work that you do.
[00:23:27.000 --> 00:23:29.000]   Now, you don't need to own your own business to do that.
[00:23:29.000 --> 00:23:31.000]   You can choose a job that fits you.
[00:23:31.000 --> 00:23:34.000]   Perhaps you say, "I like seeing the open road."
[00:23:34.000 --> 00:23:40.000]   And so my form of entrepreneurship is to be an over-the-road trucker or a hot shot driver or something like that.
[00:23:40.000 --> 00:23:43.000]   And your office becomes the cab of your truck.
[00:23:43.000 --> 00:23:44.000]   That's reasonable.
[00:23:44.000 --> 00:23:47.000]   For other people, they prefer their office to be the local cafe.
[00:23:47.000 --> 00:23:50.000]   And they really enjoy working in coffee shops.
[00:23:50.000 --> 00:23:53.000]   Other people really prefer working in an office.
[00:23:53.000 --> 00:23:58.000]   One of the things that I've found--one of these days I'll do a show--I have the outline done.
[00:23:58.000 --> 00:23:59.000]   I just never done it.
[00:23:59.000 --> 00:24:02.000]   But basically, like things I was wrong about in my life.
[00:24:02.000 --> 00:24:05.000]   I keep a list of all the things that I've once said quite vigorously or thought to myself
[00:24:05.000 --> 00:24:07.000]   and have turned out to be totally wrong.
[00:24:07.000 --> 00:24:10.000]   One of the things on that list is the value of an office.
[00:24:10.000 --> 00:24:16.000]   For years, I never wanted to work in an office because I felt office environments were kind of stifling and constraining and whatnot.
[00:24:16.000 --> 00:24:21.000]   I just wanted to work from home or whatever random place that I wanted to be.
[00:24:21.000 --> 00:24:22.000]   What I found was I was wrong.
[00:24:22.000 --> 00:24:27.000]   Yes, it was nice to be able to do the work in random locations, but I was not nearly as productive in those locations.
[00:24:27.000 --> 00:24:30.000]   And all I want is just an office to go to every day.
[00:24:30.000 --> 00:24:32.000]   But I want that office to have certain characteristics.
[00:24:32.000 --> 00:24:34.000]   I don't miss rush hour traffic.
[00:24:34.000 --> 00:24:40.000]   And so the simple ability to have an office that's at your house or next to your house is ideal.
[00:24:40.000 --> 00:24:47.000]   My vision has always been to have an office that's on the second floor of a connected building on my property where I walk to work,
[00:24:47.000 --> 00:24:53.000]   but it's a couple hundred feet away from my house, and I walk up to my office and I do my work.
[00:24:53.000 --> 00:24:55.000]   But it's on my property but not in my house.
[00:24:55.000 --> 00:24:57.000]   That's my current ideal scenario.
[00:24:57.000 --> 00:25:03.000]   But yours may differ, and that's really nice to have the ability to choose your location of where you work.
[00:25:03.000 --> 00:25:05.000]   It's really valuable.
[00:25:05.000 --> 00:25:10.000]   There are other benefits of it, though, as well, because you have the ability to choose where your company does its work.
[00:25:10.000 --> 00:25:17.000]   And that can be simple things like we work in the middle of the city or we work in this neighborhood in the city
[00:25:17.000 --> 00:25:23.000]   and/or we work in this country or this state or we work out in the country.
