
[00:00:00.000 --> 00:00:07.000]   Hi, everybody.
[00:11:25.000 --> 00:11:41.000]   So no longer are we building a model to detect spam and then a model to detect pornography and then a model to detect whatever foreign language content and just building all these separate supervised classifiers for every different task.
[00:11:41.000 --> 00:11:45.000]   We've now just built up a model that understands.
[00:11:45.000 --> 00:11:51.000]   So exactly what it does is it just predicts following words.
[00:11:51.000 --> 00:12:07.000]   On the left, it's being told to write about Elon Musk in the style of Dr. Seuss, and it started off with some text and then it's generating more text.
[00:12:07.000 --> 00:12:17.000]   And the way it generates more text is literally by just predicting one word at a time, following words to complete its text.
[00:12:17.000 --> 00:12:29.000]   But this has a very powerful facility, because what you can do with GPT-3 is you can give it a couple of examples of what you'd like it to do.
[00:12:29.000 --> 00:12:42.000]   So I can give it some text and say, I broke the window, change it into a question, what did I break? I gracefully save the day, I change it into a question, what did I gracefully save?
[00:12:42.000 --> 00:13:01.000]   And then that text tells GPT-3 what I'm wanting it to do. And so then if I give it another statement, like I gave John flowers, I can then say GPT-3 predict what words come next, and it'll follow my prompt and produce who did I give flowers to.
[00:13:01.000 --> 00:13:18.000]   I can say I gave her a rose and a guitar, and it will follow the idea of the pattern and do who did I give a rose and a guitar to. And actually this one model can then do an amazing range of things, including many that's quite surprising to do at all.
[00:13:18.000 --> 00:13:31.000]   So that's one example of that. Another thing that you can do is get it to translate human language sentences into SQL. So this can make it much easier to do CS145.
[00:13:31.000 --> 00:13:56.000]   So having given it a couple of examples of SQL translation of human language text, which I'm this time not showing because it won't fit on my slide, I can then give it a sentence like how many users have signed up since the start of 2020, and it turns it into SQL, or I can give it another query, what is the average number of influences each user subscribed to?
[00:13:56.000 --> 00:14:13.000]   And it then converts that into SQL. So GPT-3 knows a lot about the meaning of language and the meaning of other things like SQL and can fluently manipulate it.
[00:14:13.000 --> 00:14:36.000]   Okay, so that leads us straight into this topic of meaning, and how do we represent the meaning of a word? Well, what is meaning? Well, we can look up something like the Webster dictionary and say, okay, the idea that is represented by a word, the idea that a person wants to express by using words, signs, etc.
[00:14:36.000 --> 00:14:46.000]   So Webster's dictionary definition is really focused on the word idea somehow, but this is pretty close to the commonest way that linguists think about meaning.
[00:14:46.000 --> 00:15:05.000]   So that they think of word meaning as being a pairing between a word, which is a signifier or symbol, and the thing that it signifies, the signified thing, which is an idea or thing, so that the meaning of the word chair is a set of things that are chairs.
[00:15:05.000 --> 00:15:14.000]   This is referred to as denotational semantics, a term that's also used and similarly applied for the semantics of programming languages.
[00:15:14.000 --> 00:15:29.000]   This model isn't very deeply implementable, like, how do I go from the idea that, okay, chair means the set of chairs in the world, to something I can manipulate meaning with in my computers.
[00:15:29.000 --> 00:15:50.000]   So, traditionally, the way that meaning has normally been handled in actual language processing systems is to make use of resources like dictionaries and thesauri, in particular a popular one is WordNet, which organized words and terms into both synonym sets,
[00:15:50.000 --> 00:15:57.000]   words that can mean the same thing and hyponyms, which correspond to is a relationships.
[00:15:57.000 --> 00:16:19.000]   And so for the is a relationships, you know, we can kind of look at the hyponyms of panda and a panda is a kind of procyonid, whatever those are, I guess that's probably with red pandas, which is a kind of carnivore, which is a kind of placental, which is kind of mammal, and you sort of head up this hyponym hierarchy.
[00:16:19.000 --> 00:16:43.000]   So WordNet has been a greater resource for NLP, but it's also been highly deficient. So, it lacks a lot of nuance. So for example in WordNet, proficient is listed as a synonym for good, but you know maybe that's sometimes true but it seems like in a lot of context it's not true and you mean something rather different when you say proficient versus good.
[00:16:43.000 --> 00:17:07.000]   So, it's limited as a human constructed thesaurus. So, in particular, there's lots of words and lots of uses of words that just aren't there including you know anything that is, you know, sort of more current terminology like wicked is there for the wicked witch but not for more modern colloquial uses.
[00:17:07.000 --> 00:17:29.000]   So, the word thesaurus certainly isn't there for the kind of description some people make of programmers, and it's impossible to keep up to date. So it requires a lot of human labor, but even when you have that, you know, it has a sense of synonyms, but doesn't really have a good sense of words that means something similar.
[00:17:29.000 --> 00:17:46.000]   Fantastic and great means something similar without really being synonyms. And so this idea of meaning similarity is something that'd be really useful to make progress on and where deep learning models excel.
[00:17:46.000 --> 00:18:08.000]   Okay, so what's the problem with a lot of traditional NLP. Well the problem with a lot of traditional NLP is that words are regarded as discrete symbols so we have symbols like hotel conference motel our words, which in deep learning speak, we refer to as a localist representation.
[00:18:08.000 --> 00:18:29.000]   And that's because if you in statistical or machine learning systems, want to represent these symbols that each of them is a separate thing. So the standard way of representing them, and this is what you do in something like a statistical model if you're building a logistic regression
[00:18:29.000 --> 00:18:46.000]   model with words as features is that you represent them as one hot vectors so you have a dimension for each different word. So maybe like my example here are my representations as vectors for motel and hotel.
[00:18:46.000 --> 00:19:00.000]   And so that means that we have to have huge vectors corresponding to the number of words now vocabulary. So the kind of if you had a high school English dictionary it probably had about 250,000 words in that.
[00:19:00.000 --> 00:19:11.000]   But there are many, many more words in the language really so maybe we at least want to have a 500,000 dimensional vector to be able to cope with that.
[00:19:11.000 --> 00:19:22.000]   Um, but the bigger, even bigger problem with the streets symbols, is that we don't have this notion of word relationships and similarity. So for example in web search.
[00:19:22.000 --> 00:19:34.000]   If a user searches for Seattle motel, we'd also like to match on documents containing Seattle hotel. But our problem is we've got these one hot vectors for the different words.
[00:19:34.000 --> 00:19:44.000]   And so, in a formal mathematical sense, these two vectors are orthogonal, that there's no natural notion of similarity between them whatsoever.
[00:19:44.000 --> 00:20:01.000]   Well, there are some things that we could do a bit try and do about that and people did do about that in, you know, before 2010, we could say hey we could use word net synonyms and we count things that list the synonyms are similar anyway, or, hey, maybe we could
[00:20:01.000 --> 00:20:12.000]   build up a representations of words that have meaning overlap and people did all of those things, but they tended to fail badly from incompleteness.
[00:20:12.000 --> 00:20:25.000]   So instead, what I want to introduce today is the modern deep learning method of doing that, where we encode similarity in a real value vector themselves.
[00:20:25.000 --> 00:20:28.000]   So how do we go about doing that.
[00:20:28.000 --> 00:20:35.000]   The way we do that is by exploiting this idea called distributional semantics.
[00:20:35.000 --> 00:20:45.000]   So the idea of distributional semantics is, again, something that when you first see it, maybe feels a little bit crazy.
[00:20:45.000 --> 00:20:59.000]   Because rather than having something like denotational semantics, what we're now going to do is say that a word's meaning is going to be given by the words that frequently appear close to it.
[00:20:59.000 --> 00:21:13.000]   JR Firth was a British linguist from the middle of last century, and one of his pity slogans that everyone quotes at this moment is, you shall know a word by the company it keeps.
[00:21:13.000 --> 00:21:26.000]   And so this idea that you can represent a sense for words meaning as a notion of what context it appears in has been a very successful idea.
[00:21:26.000 --> 00:21:33.000]   One of the most successful ideas that's used throughout statistical and deep learning NLP.
[00:21:33.000 --> 00:21:47.000]   It's actually an interesting idea, more philosophically, so that there are kind of interesting connections, for example, in Wittgenstein's later writings, he became enamored of a use theory of meaning.
[00:21:47.000 --> 00:21:56.000]   And this is, in some sense, a use theory of meaning. But whether, you know, it's the ultimate theory of semantics is actually still pretty controversial.
[00:21:56.000 --> 00:22:08.000]   But it proves to be an extremely computational sense of semantics, which has just led to it being used everywhere very successfully in deep learning systems.
[00:22:08.000 --> 00:22:16.000]   So when a word appears in a text, it has a context, which are the set of words that appear nearby.
[00:22:16.000 --> 00:22:36.000]   So for a particular word, my example here is banking, we'll find a bunch of places where banking occurs in texts, and we'll collect the sort of nearby words as context words, and we'll see, say that those words that are appearing in that kind of muddy brown color around
[00:22:36.000 --> 00:22:45.000]   the word banking, that those context words will in some sense, represent the meaning of the word banking.
[00:22:45.000 --> 00:22:55.000]   While I'm here, let me just mention one distinction that will come up regularly. When we're talking about a word in our natural language processing class.
[00:22:55.000 --> 00:23:11.000]   There are two senses of word, which are referred to as types and tokens. So there's a particular instance for word. So there's in the first example government debt problems turning, turning into banking crises, there's banking there.
[00:23:11.000 --> 00:23:24.000]   That's a token of the word banking, but then I've collected a bunch of instances of quote unquote the word banking and when I say the word banking, and a bunch of examples of it.
[00:23:24.000 --> 00:23:34.000]   I'm treating banking as a type, which refers to, you know, the uses and meaning the word banking has across instances.
[00:23:34.000 --> 00:24:02.000]   So, what are we going to do with these distributional models of language. Well, what we want to do is we're going based on looking at the words that occur in context as vectors that we want to build up dense real valued vector for each word that in some sense, represents
[00:24:02.000 --> 00:24:18.000]   the meaning of that word, and the way it will represent the meaning of that word is that this vector will be useful for predicting other words that occur in the context.
[00:24:18.000 --> 00:24:25.000]   So, in this example to keep it manageable on the slide vectors are only eight dimensional.
[00:24:25.000 --> 00:24:39.000]   But in reality we use considerably bigger vectors so very common sizes actually 300 dimensional vectors. Okay, so for each word, that's a word type, we're going to have a word vector.
[00:24:39.000 --> 00:24:51.000]   These are also used with other names. They refer to as newer word representations, or for a reason they'll become clear on the next slide, they're referred to as word embeddings.
[00:24:51.000 --> 00:25:05.000]   So these are now distributed representation not a localist representation, because the meaning of the word banking is spread over all 300 dimensions of the vector.
[00:25:05.000 --> 00:25:12.000]   And these are called word embeddings because effectively, when we have a whole bunch of words.
[00:25:12.000 --> 00:25:31.000]   These representations place them all in a high dimensional vector space. And so they're embedded into that space. Now unfortunately human beings, very bad at looking at 300 dimensional vector spaces or even eight dimensional vector spaces.
[00:25:31.000 --> 00:25:39.000]   The only thing that I can really display to you here is a two dimensional projection of that space. Now even that's useful.
[00:25:39.000 --> 00:25:54.000]   But it's also important to realize that when you're making a two dimensional projection of a 300 dimensional space, you're losing almost all the information in that space, and a lot of things will be crushed together that don't actually deserve to be better.
[00:25:54.000 --> 00:26:17.000]   So here's my word embeddings. Of course you can't see any of those at all. But if I zoom in, and then I zoom in further, what you'll already see is that the representations we've learned distributionally do just a good job at grouping together similar
[00:26:17.000 --> 00:26:28.000]   to a word embedding. So in this sort of overall picture, I can zoom into one part of the space is actually the part that's up here in this view of it.
[00:26:28.000 --> 00:26:44.000]   And it's got words for countries so not only are countries generally grouped together, even the sort of particular sub groupings of countries, make a certain amount of sense and down here we then have nationality words.
[00:26:44.000 --> 00:27:01.000]   And then in another part of the space we can see different kinds of words so here are verbs and we have ones like come and go, a very similar saying and thinking words say think expect the kind of similar and nearby.
[00:27:01.000 --> 00:27:19.000]   And then down here in the bottom right, we have sort of verbal auxiliaries and copulas so have had has forms of the verb to be, and certain contentful verbs are similar to copula verbs because they describe states, you know, he remained angry he became angry.
[00:27:19.000 --> 00:27:40.000]   And they're actually then group close together to the word, the verb to be so there's a lot of interesting structure in this space that then represents the meaning of words for the algorithm I'm going to introduce now is one that's called word to Vec which was introduced
[00:27:40.000 --> 00:27:49.000]   by Michael off and colleagues in 2013 as a framework for learning word vectors and it's sort of a simple and easy to understand place to start.
[00:27:49.000 --> 00:28:03.000]   So the idea is we have a lot of text from somewhere which we commonly refer to as a corpus of text corpus is just the Latin word for body. So it's a body of text.
[00:28:03.000 --> 00:28:22.000]   And we choose a fixed vocabulary, which will typically be large, but nevertheless truncated so we get rid of some of the really rare words. So we might say vocabulary size of 400,000, and we then create for ourselves vector for each word.
[00:28:22.000 --> 00:28:44.000]   Okay, so then what we do is we want to work out what's a good vector to for each word. And the really interesting thing is that we can learn these word vectors from just a big pile of text by doing this distributional similarity task of being able to predict
[00:28:44.000 --> 00:29:02.000]   what words occur in the context of other words. So in particular, we're going to iterate through the text. And so at any moment we have a center word, C and context words outside of it, which we'll call O.
[00:29:02.000 --> 00:29:17.000]   And then, based on the current word vectors, we're going to calculate the probability of a context word occurring, given the center word, according to our current model.
[00:29:17.000 --> 00:29:36.000]   And we know that certain words did actually occur in the context of that center word. And so what we want to do is then keep adjusting the word vectors to maximize the probability that's assigned to words that actually occur in the context of the center word, as we proceed
[00:29:36.000 --> 00:29:38.000]   through these texts.
[00:29:38.000 --> 00:29:43.000]   So to start to make that a bit more concrete. This is what we're doing.
[00:29:43.000 --> 00:29:53.000]   So we have a piece of text, we choose our center word, which is here in two. And then we say, well,
[00:29:53.000 --> 00:30:04.000]   a model of predicting the probability of context words given the center word, and this model will come to in a minute but it's defined in terms of our word vectors.
[00:30:04.000 --> 00:30:19.000]   And so let's see what probability it gives to the words that actually occurred in the context of this word. Huh. It gives them some probability but maybe be nice if the probability of the sign was higher.
[00:30:19.000 --> 00:30:36.000]   So how can we change our word vectors to raise those probabilities. And so we'll do some calculations with into being the center word, and then we'll just go on to the next word, and then we'll do the same kind of calculations and keep on chunking.
[00:30:36.000 --> 00:30:55.000]   So the big question then is, well, what are we doing for working out the probability of a word occurring in the context of the center word. And so that's the central part of what we develop as the word to object.
[00:30:55.000 --> 00:31:16.000]   And then we have an overall model that we want to use. So, for each position and our corpus our body of text. We want to predict context words within a window of fixed size and given the center word, WJ, and we want to become good at doing that so we want to give high probability
[00:31:16.000 --> 00:31:19.000]   of a word occurring in the context.
[00:31:19.000 --> 00:31:30.000]   And so what we're going to do is we're going to work out what's formally the data likelihood as to how good a job we do at predicting words in the context of other words.
[00:31:30.000 --> 00:31:47.000]   And so formally that likelihood is going to be defined in terms of our word vectors so they're the parameters of our model, and it's going to be calculated as taking the product of using each word as the center word, and then the product of each word in a window
[00:31:47.000 --> 00:31:55.000]   around that of the probability of predicting that context word in the center word.
[00:31:55.000 --> 00:32:14.000]   And so in this model, we're going to have an objective function sometimes also called a cost or a loss that we want to optimize and essentially what we want to do is we want to maximize the likelihood of the context we see around center words, but following standard practice,
[00:32:14.000 --> 00:32:28.000]   we don't fiddle that because rather than dealing with products it's easier to deal with sums. And so we work with log likelihood. And once we take log likelihood all of our products turn into sums.
[00:32:28.000 --> 00:32:46.000]   And then we also work with the average log likelihood so we've got a one on T term here for the number of words in the corpus. And finally, for no particular reason, we like to minimize our objective function, rather than maximizing it so we stick a minus sign in there.
[00:32:46.000 --> 00:32:57.000]   But then by minimizing this objective function J of theta, that maximizing our predictive accuracy.
[00:32:57.000 --> 00:33:10.000]   Okay, so that's the setup, but we still haven't made any progress in how do we calculate the probability of a word occurring in the context, given the center word.
[00:33:10.000 --> 00:33:24.000]   So, the way we're actually going to do that is we have vector representations for each word, and we're going to work out the probability, simply in terms of the word vectors.
[00:33:24.000 --> 00:33:40.000]   Now at this point there's a little technical point, we're actually going to give to each word, two word vectors, one word vector for when it's used as the center word, and a different word vector when it's used as a context word.
[00:33:40.000 --> 00:33:56.000]   And this is done because it just simplifies the math and the optimization. So it seems a little bit ugly, but actually makes building word vectors a lot easier, and really, we can come back to that and discuss it later.
[00:33:56.000 --> 00:34:16.000]   But that's what it is. And so then once we have these word vectors, the equation that we're going to use for giving the probability of a context word appearing given the center word is that we're going to calculate it using the expression in the middle bottom of my slide.
[00:34:16.000 --> 00:34:24.000]   So, let's sort of pull that apart, just a little bit more.
[00:34:24.000 --> 00:34:41.000]   So, what we have here with this expression is, so for a particular center word and a particular context word, O, we're going to look up the vector representation of each word, so they're U of O and V of C.
[00:34:41.000 --> 00:35:00.000]   And so then we're simply going to take the dot product of those two vectors. So, dot product is a natural measure for similarity between words, because in any particular mention of positive, you'll get a component that adds to the dot product sum.
[00:35:00.000 --> 00:35:12.000]   If both are negative, it'll add a lot to the dot product sum. If one's positive and one's negative, it'll subtract from the similarity measure. If both of them are zero, it won't change the similarity.
[00:35:12.000 --> 00:35:24.000]   So, it sort of seems a sort of plausible idea to just take a dot product and thinking, well, if two words have a larger dot product, that means they're more similar.
[00:35:24.000 --> 00:35:41.000]   So, then after that, we sort of really doing nothing more than, okay, we want to use dot products to represent word similarity, and now let's do the dumbest thing that we know how to turn this into a probability distribution.
[00:35:41.000 --> 00:35:55.000]   So, what do we do? Well, firstly, well, taking a dot product of two vectors that might come out as positive or negative, but well, we want to have probabilities, we can't have negative probabilities.
[00:35:55.000 --> 00:36:07.000]   So, one way to avoid negative probabilities is to exponentiate them, because then we know everything is positive. And so, then we are always getting a positive number in the numerator.
[00:36:07.000 --> 00:36:24.000]   But for probabilities, we also want to have the numbers add up to one. So, we have a probability distribution. So, we're just normalizing in the obvious way where we divide through by the sum of the numerator quantity for each different word in the vocabulary.
[00:36:24.000 --> 00:36:29.000]   So, then necessarily that gives us a probability distribution.
[00:36:29.000 --> 00:36:46.000]   So, all the rest of that that I was just talking through, what we're using there is what's called the softmax function. So, the softmax function will take any Rn vector and turn it into things between zero to one.
[00:36:46.000 --> 00:36:58.000]   And so, we can take numbers and put them through this softmax and turn them into a probability distribution, right? So, the name comes from the fact that it's sort of like a max.
[00:36:58.000 --> 00:37:15.000]   So, because of the fact that we exponentiate, that really emphasizes the big contents in the different dimensions of calculating similarity. So, most of the probability goes to the most similar things.
[00:37:15.000 --> 00:37:26.000]   And it's called soft because, well, it doesn't do that absolutely. It'll still give some probability to everything that's in the slightest bit similar.
[00:37:26.000 --> 00:37:45.000]   I mean, on the other hand, it's a slightly weird name because, you know, max normally takes a set of things and just returns one, the biggest of them, whereas the softmax is taking a set of numbers and is scaling them, but is returning the whole probability distribution.
[00:37:45.000 --> 00:38:12.000]   Okay, so now we have all the pieces of our model. And so, how do we make our word vectors? Well, the idea of what we want to do is we want to fiddle our word vectors in such a way that we minimize our loss, i.e. that we maximize the probability of the words that we actually saw in the context of the center word.
[00:38:12.000 --> 00:38:25.000]   And so, the theta represents all of our model parameters in one very long vector. So, for our model here, the only parameters are our word vectors.
[00:38:25.000 --> 00:38:40.000]   So, we have for each word, two vectors, its context vector and its center vector. And each of those is a d dimensional vector where d might be 300. And we have v many words.
[00:38:40.000 --> 00:38:57.000]   So, we end up with this big huge vector, which is 2dv long, which if you have a 500,000 vocab times the 300 dimensional vector time, it's more math than I can do in my head, but it's got millions and millions of parameters.
[00:38:57.000 --> 00:39:08.000]   So, we've got millions and millions of parameters. And we somehow want to fiddle them all to maximize the prediction of context words.
[00:39:08.000 --> 00:39:26.000]   And so, the way we're going to do that then is we use calculus. So, what we want to do is take that math that we've seen previously and say, huh, well, with this objective function, we can work out derivatives.
[00:39:26.000 --> 00:39:45.000]   And so, we can work out where the gradient is. So, how we can walk downhill to minimize loss. So, we're at some point and we can figure out what is downhill and we can then progressively walk downhill and improve our model.
[00:39:45.000 --> 00:39:52.000]   And so, what our job is going to be is to compute all of those vector gradients.
[00:39:52.000 --> 00:39:55.000]   Okay.
[00:39:55.000 --> 00:40:06.000]   So, at this point, I then want to kind of show a little bit more as to how we can actually do that.
