
[00:00:00.000 --> 00:00:29.980]   Thank you.
[00:04:02.040 --> 00:04:04.260]   So as you can see,
[00:04:04.260 --> 00:04:05.500]   we have these like
[00:04:05.500 --> 00:04:06.520]   architecting prompts.
[00:04:06.520 --> 00:04:07.980]   We can see we have
[00:04:07.980 --> 00:04:09.540]   these like subsections
[00:04:09.540 --> 00:04:11.180]   of prototypes.
[00:04:11.180 --> 00:04:12.200]   We have a Jinja,
[00:04:12.200 --> 00:04:13.100]   FastAPI,
[00:04:13.100 --> 00:04:14.120]   local,
[00:04:14.120 --> 00:04:15.120]   Azure,
[00:04:15.120 --> 00:04:15.700]   you know,
[00:04:15.700 --> 00:04:16.860]   so this is like for,
[00:04:16.860 --> 00:04:17.820]   this is a prompt
[00:04:17.820 --> 00:04:18.740]   that we use
[00:04:18.740 --> 00:04:19.820]   to generate,
[00:04:19.820 --> 00:04:21.940]   to create prototype plans
[00:04:21.940 --> 00:04:24.840]   for like really,
[00:04:24.840 --> 00:04:26.140]   really quick prototypes
[00:04:26.140 --> 00:04:27.380]   that will just like
[00:04:27.380 --> 00:04:28.320]   run our machine.
[00:04:28.320 --> 00:04:28.940]   like we don't even
[00:04:28.940 --> 00:04:30.940]   deploy to Azure.
[00:04:30.940 --> 00:04:32.020]   It's like for super quick
[00:04:32.020 --> 00:04:32.760]   customer demos
[00:04:32.760 --> 00:04:34.520]   and this prompt
[00:04:34.520 --> 00:04:35.780]   is basically like
[00:04:35.780 --> 00:04:37.120]   it's catered fully
[00:04:37.120 --> 00:04:38.200]   to our stack.
[00:04:38.200 --> 00:04:40.100]   It has like a lot
[00:04:40.100 --> 00:04:43.880]   of methodologies
[00:04:43.880 --> 00:04:44.640]   that we use
[00:04:44.640 --> 00:04:46.000]   on how we want
[00:04:46.000 --> 00:04:46.560]   our plans
[00:04:46.560 --> 00:04:47.240]   to be constructed.
[00:04:47.240 --> 00:04:48.560]   So we always use
[00:04:48.560 --> 00:04:49.500]   OpenAI agents,
[00:04:49.500 --> 00:04:49.860]   SDK,
[00:04:49.860 --> 00:04:51.060]   we use Lytlm
[00:04:51.060 --> 00:04:51.940]   with open routers.
[00:04:51.940 --> 00:04:53.560]   So all our code
[00:04:53.560 --> 00:04:54.880]   is model agnostic
[00:04:54.880 --> 00:04:56.040]   or at least the prototypes.
[00:04:56.040 --> 00:04:57.860]   The big downside
[00:04:57.860 --> 00:04:58.520]   with this,
[00:04:58.520 --> 00:04:59.320]   I'm not sure
[00:04:59.320 --> 00:04:59.780]   if there's many
[00:04:59.780 --> 00:05:00.720]   other Europeans here
[00:05:00.720 --> 00:05:01.100]   is that
[00:05:01.100 --> 00:05:03.540]   it's more difficult
[00:05:03.540 --> 00:05:05.380]   to be GDPR compliant
[00:05:05.380 --> 00:05:06.060]   when you use
[00:05:06.060 --> 00:05:06.780]   LightLM
[00:05:06.780 --> 00:05:07.500]   and open routers.
[00:05:07.500 --> 00:05:08.200]   So in production,
[00:05:08.200 --> 00:05:08.980]   it's usually
[00:05:08.980 --> 00:05:11.220]   OpenAI agents,
[00:05:11.220 --> 00:05:11.620]   SDK,
[00:05:11.620 --> 00:05:12.980]   and then some
[00:05:12.980 --> 00:05:14.680]   European endpoint.
[00:05:14.680 --> 00:05:16.080]   But for prototyping,
[00:05:16.080 --> 00:05:16.960]   it doesn't matter as much.
[00:05:17.960 --> 00:05:19.080]   And this is really nice
[00:05:19.080 --> 00:05:20.620]   because this way
[00:05:20.620 --> 00:05:21.280]   you can just easily
[00:05:21.280 --> 00:05:22.960]   swap models in and out
[00:05:22.960 --> 00:05:24.320]   and if it is already
[00:05:24.320 --> 00:05:25.140]   included in your
[00:05:25.140 --> 00:05:26.000]   planning stage,
[00:05:26.000 --> 00:05:28.440]   then it just makes
[00:05:28.440 --> 00:05:30.220]   life a lot easier.
[00:05:30.220 --> 00:05:32.440]   Then we usually
[00:05:32.440 --> 00:05:34.640]   go with hexagonal
[00:05:34.640 --> 00:05:35.900]   LightStructures
[00:05:35.900 --> 00:05:36.800]   or hexagonal
[00:05:36.800 --> 00:05:37.580]   software architecture.
[00:05:37.580 --> 00:05:40.780]   We define a bunch
[00:05:40.780 --> 00:05:41.960]   of variables
[00:05:41.960 --> 00:05:43.040]   that are important
[00:05:43.040 --> 00:05:44.080]   to us specifically
[00:05:44.080 --> 00:05:45.760]   for these local
[00:05:45.760 --> 00:05:46.260]   prototypes.
[00:05:46.260 --> 00:05:47.060]   We usually use
[00:05:47.060 --> 00:05:47.940]   SQLite
[00:05:47.940 --> 00:05:49.980]   and FastAPI.
[00:05:49.980 --> 00:05:50.700]   And then if we
[00:05:50.700 --> 00:05:51.840]   wanted to go really fast,
[00:05:51.840 --> 00:05:52.320]   we also have
[00:05:52.320 --> 00:05:53.020]   like Streamlit.
[00:05:53.020 --> 00:05:54.240]   So some Streamlit
[00:05:54.240 --> 00:05:54.920]   prototypes
[00:05:54.920 --> 00:05:57.200]   which don't even
[00:05:57.200 --> 00:05:58.300]   have like FastAPI.
[00:05:58.300 --> 00:05:59.140]   We also have one
[00:05:59.140 --> 00:05:59.640]   where we use
[00:05:59.640 --> 00:06:00.900]   Streamlit as a UI
[00:06:00.900 --> 00:06:02.620]   with a FastAPI
[00:06:02.620 --> 00:06:03.500]   and then two containers
[00:06:03.500 --> 00:06:04.460]   which we can then
[00:06:04.460 --> 00:06:05.580]   deploy to Azure
[00:06:05.580 --> 00:06:06.300]   if we want to.
[00:06:06.300 --> 00:06:08.020]   So that's kind of
[00:06:08.020 --> 00:06:09.160]   the essence of it, right?
[00:06:09.160 --> 00:06:10.500]   And you'll see
[00:06:10.500 --> 00:06:11.320]   like there's nothing
[00:06:11.320 --> 00:06:12.280]   in here
[00:06:12.280 --> 00:06:13.060]   that really takes us
[00:06:13.060 --> 00:06:13.600]   to production.
[00:06:13.600 --> 00:06:14.540]   That's because,
[00:06:14.540 --> 00:06:15.300]   well,
[00:06:15.300 --> 00:06:16.180]   you don't,
[00:06:16.240 --> 00:06:16.680]   you don't really
[00:06:16.680 --> 00:06:17.920]   architect software
[00:06:17.920 --> 00:06:18.580]   that often
[00:06:18.580 --> 00:06:20.020]   to take it to production,
[00:06:20.020 --> 00:06:20.500]   right?
[00:06:20.500 --> 00:06:21.420]   So that's usually
[00:06:21.420 --> 00:06:22.440]   like custom work
[00:06:22.440 --> 00:06:23.560]   that we only have to do
[00:06:23.560 --> 00:06:25.140]   when we like
[00:06:25.140 --> 00:06:25.800]   want to start
[00:06:25.800 --> 00:06:26.320]   a new flagship
[00:06:26.320 --> 00:06:27.360]   product or something.
[00:06:27.360 --> 00:06:28.160]   That's not really
[00:06:28.160 --> 00:06:28.780]   part of this.
[00:06:28.780 --> 00:06:30.200]   But if it were,
[00:06:30.200 --> 00:06:30.800]   then it would be
[00:06:30.800 --> 00:06:32.360]   something like FastAPI
[00:06:32.360 --> 00:06:33.900]   with Pydantic
[00:06:33.900 --> 00:06:34.640]   and then like
[00:06:34.640 --> 00:06:35.500]   if there's a frontend,
[00:06:35.500 --> 00:06:36.280]   frontend,
[00:06:36.280 --> 00:06:36.880]   it would be something
[00:06:36.880 --> 00:06:37.560]   TypeScript
[00:06:37.560 --> 00:06:39.380]   React-based, right?
[00:06:39.380 --> 00:06:40.360]   I think that's
[00:06:40.360 --> 00:06:40.900]   what most people
[00:06:40.900 --> 00:06:41.700]   are doing these days.
[00:06:41.700 --> 00:06:45.400]   So let's,
[00:06:45.400 --> 00:06:46.300]   oh,
[00:06:46.300 --> 00:06:46.760]   and then I also
[00:06:46.760 --> 00:06:47.660]   have this agent
[00:06:47.660 --> 00:06:49.180]   blueprint
[00:06:49.180 --> 00:06:52.560]   prompt
[00:06:52.560 --> 00:06:53.820]   which will basically
[00:06:53.820 --> 00:06:55.460]   generate a plan
[00:06:55.460 --> 00:06:59.180]   of our agents
[00:06:59.180 --> 00:06:59.720]   that we want
[00:06:59.720 --> 00:07:00.060]   to create
[00:07:00.060 --> 00:07:01.480]   for a certain project.
[00:07:01.480 --> 00:07:02.160]   And we also have
[00:07:02.160 --> 00:07:02.540]   a test,
[00:07:02.540 --> 00:07:03.060]   oh yeah,
[00:07:03.060 --> 00:07:03.720]   we also have
[00:07:03.720 --> 00:07:04.580]   the test-driven
[00:07:04.580 --> 00:07:05.440]   development prompt.
[00:07:06.800 --> 00:07:09.020]   So to recap
[00:07:09.020 --> 00:07:10.020]   how it usually works
[00:07:10.020 --> 00:07:11.200]   is we have
[00:07:11.200 --> 00:07:11.760]   some idea
[00:07:11.760 --> 00:07:12.580]   of some prototype
[00:07:12.580 --> 00:07:13.340]   or some application
[00:07:13.340 --> 00:07:14.040]   that we want to make.
[00:07:14.040 --> 00:07:14.900]   Then we will pick
[00:07:14.900 --> 00:07:16.540]   the stack that we want.
[00:07:16.540 --> 00:07:18.140]   So FastAPI Ginger
[00:07:18.140 --> 00:07:18.980]   or Streamlet
[00:07:18.980 --> 00:07:21.480]   or something else.
[00:07:21.480 --> 00:07:23.960]   And then at the bottom
[00:07:23.960 --> 00:07:24.640]   of these prompts
[00:07:24.640 --> 00:07:25.460]   you can always see,
[00:07:25.460 --> 00:07:26.580]   sorry,
[00:07:26.580 --> 00:07:27.740]   you can always see
[00:07:27.740 --> 00:07:28.660]   like paste your idea
[00:07:28.660 --> 00:07:29.340]   below this line.
[00:07:29.340 --> 00:07:32.520]   So this is nice
[00:07:32.520 --> 00:07:33.400]   because that means
[00:07:33.400 --> 00:07:34.760]   that whatever provider,
[00:07:34.760 --> 00:07:35.560]   whatever model
[00:07:35.560 --> 00:07:36.620]   is best at
[00:07:36.620 --> 00:07:37.600]   architecting,
[00:07:37.600 --> 00:07:38.320]   you know,
[00:07:38.320 --> 00:07:39.560]   for like a week
[00:07:39.560 --> 00:07:41.200]   it was Gemini
[00:07:41.200 --> 00:07:42.880]   2.5 DeepThing
[00:07:42.880 --> 00:07:44.500]   and before that
[00:07:44.500 --> 00:07:45.460]   it was O3 Pro
[00:07:45.460 --> 00:07:48.000]   and now it's,
[00:07:48.000 --> 00:07:48.280]   you know,
[00:07:48.280 --> 00:07:48.600]   it's
[00:07:48.600 --> 00:07:50.800]   GP5 Pro again.
[00:07:50.800 --> 00:07:51.880]   So you just swap
[00:07:51.880 --> 00:07:52.560]   between the models
[00:07:52.560 --> 00:07:54.440]   and usually
[00:07:54.440 --> 00:07:55.220]   how I go about
[00:07:55.220 --> 00:07:56.240]   is if I want to
[00:07:56.240 --> 00:07:56.900]   create some
[00:07:56.900 --> 00:07:57.780]   like internal tool
[00:07:57.780 --> 00:07:58.820]   and
[00:07:58.820 --> 00:08:01.520]   give some context
[00:08:01.520 --> 00:08:02.900]   our internal tools
[00:08:02.900 --> 00:08:04.400]   like we build them
[00:08:04.400 --> 00:08:05.120]   once
[00:08:05.120 --> 00:08:05.700]   and then we actually
[00:08:05.700 --> 00:08:06.500]   keep building on them.
[00:08:06.500 --> 00:08:06.880]   so we want
[00:08:06.880 --> 00:08:07.200]   to make sure
[00:08:07.200 --> 00:08:07.960]   that the first time
[00:08:07.960 --> 00:08:08.500]   we make them
[00:08:08.500 --> 00:08:09.440]   is like already
[00:08:09.440 --> 00:08:10.920]   maintainable,
[00:08:10.920 --> 00:08:12.260]   scalable code.
[00:08:12.260 --> 00:08:13.560]   So no spaghetti code
[00:08:13.560 --> 00:08:16.220]   and how it usually works
[00:08:16.220 --> 00:08:17.200]   is we'll,
[00:08:17.200 --> 00:08:17.760]   you know,
[00:08:17.760 --> 00:08:18.340]   depending on what
[00:08:18.340 --> 00:08:18.820]   I want to do,
[00:08:18.820 --> 00:08:19.740]   I will pick a prompt
[00:08:19.740 --> 00:08:21.020]   and then I will just
[00:08:21.020 --> 00:08:21.940]   paste this prompt in
[00:08:21.940 --> 00:08:23.380]   and then I will
[00:08:23.380 --> 00:08:24.480]   ideate with
[00:08:24.480 --> 00:08:25.340]   which I should put you.
[00:08:25.340 --> 00:08:26.080]   So I will just
[00:08:26.080 --> 00:08:27.540]   use voice messages,
[00:08:27.540 --> 00:08:28.520]   transcribe,
[00:08:28.520 --> 00:08:29.420]   and basically
[00:08:29.420 --> 00:08:30.900]   spend like half an hour
[00:08:30.900 --> 00:08:31.460]   to an hour
[00:08:31.460 --> 00:08:32.540]   just going through
[00:08:32.540 --> 00:08:33.120]   the motions
[00:08:33.120 --> 00:08:34.320]   of what does this
[00:08:34.320 --> 00:08:35.080]   actually look like?
[00:08:35.080 --> 00:08:35.740]   what is the user
[00:08:35.740 --> 00:08:36.840]   journey that I want?
[00:08:36.840 --> 00:08:38.380]   So the user stories
[00:08:38.380 --> 00:08:39.700]   and what are the
[00:08:39.700 --> 00:08:40.500]   functional requirements?
[00:08:40.500 --> 00:08:41.560]   And then
[00:08:41.560 --> 00:08:43.140]   when I've gone
[00:08:43.140 --> 00:08:43.680]   through that,
[00:08:43.680 --> 00:08:44.240]   then I'll take
[00:08:44.240 --> 00:08:45.020]   the output of that
[00:08:45.020 --> 00:08:45.860]   and I'll start
[00:08:45.860 --> 00:08:46.400]   a new session
[00:08:46.400 --> 00:08:47.100]   and I basically
[00:08:47.100 --> 00:08:47.780]   paste it underneath
[00:08:47.780 --> 00:08:48.460]   here and then
[00:08:48.460 --> 00:08:49.120]   you get a very
[00:08:49.120 --> 00:08:51.000]   nice verbose plan.
[00:08:52.040 --> 00:08:52.760]   then when you have
[00:08:52.760 --> 00:08:53.240]   that plan
[00:08:53.240 --> 00:08:54.920]   you can put that
[00:08:54.920 --> 00:08:55.800]   plan underneath
[00:08:55.800 --> 00:08:56.520]   this prompt
[00:08:56.520 --> 00:08:57.900]   which will basically
[00:08:57.900 --> 00:08:59.460]   create a whole
[00:08:59.460 --> 00:09:00.920]   test set
[00:09:00.920 --> 00:09:02.840]   for your code
[00:09:02.840 --> 00:09:03.740]   because,
[00:09:03.740 --> 00:09:04.800]   and we'll get to that
[00:09:04.800 --> 00:09:05.220]   in a bit,
[00:09:05.220 --> 00:09:06.560]   so within cloud code
[00:09:06.560 --> 00:09:08.420]   the only way
[00:09:08.420 --> 00:09:09.320]   you can really get it
[00:09:09.320 --> 00:09:09.940]   to work reliably
[00:09:09.940 --> 00:09:10.760]   from my experience
[00:09:10.760 --> 00:09:11.200]   at least,
[00:09:11.200 --> 00:09:12.080]   it's obviously
[00:09:12.080 --> 00:09:12.920]   limited,
[00:09:12.920 --> 00:09:15.640]   is to really double down
[00:09:15.640 --> 00:09:16.760]   on test-driven development
[00:09:16.760 --> 00:09:19.000]   but these models
[00:09:19.000 --> 00:09:19.900]   are quite prone
[00:09:19.900 --> 00:09:21.700]   to reward hacking
[00:09:21.700 --> 00:09:23.140]   so you really
[00:09:23.140 --> 00:09:23.760]   want to make sure
[00:09:23.760 --> 00:09:25.420]   that the test-driven
[00:09:25.420 --> 00:09:25.940]   development
[00:09:25.940 --> 00:09:27.720]   for that in itself
[00:09:27.720 --> 00:09:28.280]   you also have
[00:09:28.280 --> 00:09:29.300]   like a standalone plan.
[00:09:30.300 --> 00:09:31.660]   so you'll see
[00:09:31.660 --> 00:09:32.960]   we kind of go through
[00:09:32.960 --> 00:09:34.040]   the motions
[00:09:34.040 --> 00:09:35.580]   of doing,
[00:09:35.580 --> 00:09:35.880]   you know,
[00:09:35.880 --> 00:09:37.200]   you want to do unit tests,
[00:09:37.200 --> 00:09:38.120]   end-to-end tests,
[00:09:38.120 --> 00:09:38.940]   smoke tests,
[00:09:38.940 --> 00:09:40.160]   live API keys,
[00:09:40.160 --> 00:09:42.920]   kind of everything.
[00:09:42.920 --> 00:09:45.000]   Then when this is done,
[00:09:45.000 --> 00:09:46.560]   so you'll have two plans,
[00:09:46.560 --> 00:09:46.840]   right,
[00:09:46.840 --> 00:09:47.880]   you'll have your test-driven
[00:09:47.880 --> 00:09:49.300]   development plan,
[00:09:49.300 --> 00:09:50.940]   so you have your test-plan-md
[00:09:50.940 --> 00:09:52.160]   and then you have
[00:09:52.160 --> 00:09:53.000]   your plan-md,
[00:09:53.000 --> 00:09:53.400]   right,
[00:09:53.400 --> 00:09:54.480]   and these two files
[00:09:54.480 --> 00:09:55.880]   depending on
[00:09:55.880 --> 00:09:57.680]   the complexity
[00:09:57.680 --> 00:09:58.260]   of the application
[00:09:58.260 --> 00:09:58.940]   that you're making,
[00:09:58.940 --> 00:10:00.040]   either you can
[00:10:00.040 --> 00:10:00.960]   separate them
[00:10:00.960 --> 00:10:03.260]   and have like
[00:10:03.260 --> 00:10:03.920]   two markdown files
[00:10:03.920 --> 00:10:04.460]   you're working with
[00:10:04.460 --> 00:10:05.680]   or you just append
[00:10:05.680 --> 00:10:06.540]   one after the other
[00:10:06.540 --> 00:10:08.100]   and you have your plan-md
[00:10:08.100 --> 00:10:08.800]   to get started.
[00:10:08.800 --> 00:10:11.620]   So that's kind of
[00:10:11.620 --> 00:10:12.100]   the whole journey
[00:10:12.100 --> 00:10:13.000]   before you get to
[00:10:13.000 --> 00:10:14.600]   actually using cloud code
[00:10:14.600 --> 00:10:15.800]   and then
[00:10:15.800 --> 00:10:18.220]   this is the fun part.
[00:10:18.220 --> 00:10:20.260]   Real quick question
[00:10:20.260 --> 00:10:21.160]   came in in the chat
[00:10:21.160 --> 00:10:21.960]   before we move on
[00:10:21.960 --> 00:10:22.580]   from this section
[00:10:22.580 --> 00:10:23.280]   which is around
[00:10:23.280 --> 00:10:24.360]   for all of these
[00:10:24.360 --> 00:10:25.000]   sort of high-level
[00:10:25.000 --> 00:10:25.820]   guidance prompts,
[00:10:25.820 --> 00:10:27.940]   are these also generated
[00:10:27.940 --> 00:10:28.600]   by a model?
[00:10:28.600 --> 00:10:29.340]   Do you have like
[00:10:29.340 --> 00:10:30.100]   a base prompt
[00:10:30.100 --> 00:10:30.540]   that you use
[00:10:30.540 --> 00:10:31.440]   to generate them
[00:10:31.440 --> 00:10:31.840]   or like
[00:10:31.840 --> 00:10:32.680]   how are you managing
[00:10:32.680 --> 00:10:34.680]   those kind of prompts
[00:10:34.680 --> 00:10:35.220]   over time?
[00:10:35.220 --> 00:10:36.420]   Yeah,
[00:10:36.420 --> 00:10:37.800]   that's a good question.
[00:10:37.800 --> 00:10:39.040]   I mean,
[00:10:39.040 --> 00:10:39.720]   I've been working
[00:10:39.720 --> 00:10:40.320]   with these models
[00:10:40.320 --> 00:10:41.200]   for a very long time
[00:10:41.200 --> 00:10:42.260]   so it's kind of
[00:10:42.260 --> 00:10:43.020]   intuitive to me
[00:10:43.020 --> 00:10:44.240]   but we do have,
[00:10:44.240 --> 00:10:47.000]   so we have prompts
[00:10:47.000 --> 00:10:47.540]   for everything,
[00:10:47.540 --> 00:10:47.940]   right,
[00:10:47.940 --> 00:10:49.460]   and let's see.
[00:10:50.580 --> 00:10:52.580]   so depending on the subject matter
[00:10:52.580 --> 00:10:55.300]   I will usually,
[00:10:55.300 --> 00:10:56.200]   like if it's something
[00:10:56.200 --> 00:10:57.240]   I don't know anything about,
[00:10:57.240 --> 00:10:57.980]   like for example,
[00:10:57.980 --> 00:11:00.500]   we have this MedTech project,
[00:11:00.500 --> 00:11:01.620]   like flagship product,
[00:11:01.620 --> 00:11:01.900]   right,
[00:11:01.900 --> 00:11:03.400]   and obviously I'm not a doctor
[00:11:03.400 --> 00:11:06.360]   so I want to do a lot
[00:11:06.360 --> 00:11:06.900]   of deep research.
[00:11:06.900 --> 00:11:08.800]   So we have these prompts
[00:11:08.800 --> 00:11:09.720]   where you like,
[00:11:09.720 --> 00:11:10.360]   you basically,
[00:11:10.360 --> 00:11:11.340]   same principle,
[00:11:11.340 --> 00:11:13.320]   to put your query underneath
[00:11:13.320 --> 00:11:15.140]   and it will generate
[00:11:15.140 --> 00:11:16.480]   a highly verbose,
[00:11:16.480 --> 00:11:17.580]   like super detailed
[00:11:17.580 --> 00:11:19.340]   deep research query
[00:11:19.340 --> 00:11:19.940]   for you,
[00:11:19.940 --> 00:11:21.100]   which you can then again
[00:11:21.100 --> 00:11:21.840]   put into
[00:11:21.840 --> 00:11:22.460]   JetGPT
[00:11:22.460 --> 00:11:23.420]   or whatever model
[00:11:23.420 --> 00:11:24.020]   you want to use
[00:11:24.020 --> 00:11:26.000]   for deep research.
[00:11:26.440 --> 00:11:27.760]   and then we also have
[00:11:27.760 --> 00:11:30.200]   like user query
[00:11:30.200 --> 00:11:30.840]   to prompt,
[00:11:30.840 --> 00:11:32.140]   same principle,
[00:11:32.140 --> 00:11:34.440]   it's a prompt
[00:11:34.440 --> 00:11:35.020]   that helps you
