
[00:00:00.000 --> 00:00:15.300]   Hey everyone. My name is Shreya. I am finishing up my PhD at UC Berkeley, so that's quite exciting
[00:03:36.040 --> 00:03:40.840]   So zooming out a bit, what do these challenges mean, right? Iteration kind of reveals a lot of
[00:03:40.840 --> 00:03:46.840]   these insights if you do it correctly. But when we help people build data processing pipelines,
[00:03:46.840 --> 00:03:51.880]   what we really want to do is close these gaps between the user or the developer, the data they're
[00:03:51.880 --> 00:03:58.280]   trying to query and make sense of, and the pipeline that we're writing. And as researchers, we figured out
[00:03:58.280 --> 00:04:03.880]   that, oh my gosh, there's so much tooling in this bottom half in LLM accuracy. When you have a very
[00:04:03.880 --> 00:04:09.000]   well specified pipeline, how do we make sure that generalizes to all of our documents and our needs?
[00:04:09.000 --> 00:04:14.840]   But there's virtually no tooling in this data understanding and intent specification gaps.
[00:04:14.840 --> 00:04:19.880]   So in today's talk, I want to spend the rest of the time telling you about how we are thinking of closing
[00:04:19.880 --> 00:04:24.360]   these gaps and insights that you might apply when you are trying to iterate on your own pumps.
[00:04:25.640 --> 00:04:31.320]   First, I'll talk about this data understanding gap. So going back to our real estate rental contract
[00:04:31.320 --> 00:04:37.080]   example, the core challenge here is what are the types of documents in the data and what are the
[00:04:37.080 --> 00:04:41.960]   unique failure modes that happen for each types of documents? So for example, all of these types
[00:04:41.960 --> 00:04:47.560]   of pet clauses might exist. Breed restriction type clauses, clauses on the number of pets, service animal
[00:04:47.560 --> 00:04:52.440]   exemptions. And many people don't even know this until they look at the data. So when we're building tools,
[00:04:52.440 --> 00:04:58.360]   we might want to automatically be able to extract them for our end users so they can look at examples
[00:04:58.360 --> 00:05:04.040]   of failure modes for each type. And then we see that there's a really, really long tail of failure
[00:05:04.040 --> 00:05:09.080]   modes. And this is not just unique to real estate settings. We observe this for pretty much any
[00:05:09.080 --> 00:05:14.680]   application here. It's like ML in general. There's so many different types of failure modes that are
[00:05:14.680 --> 00:05:19.800]   difficult to make sense of. So for example, clauses might be phrased unusually and the LLM might miss
[00:05:19.800 --> 00:05:25.800]   extracting them. LLMs might overfit to certain keywords. It might extract things that are unrelated
[00:05:25.800 --> 00:05:33.000]   because, you know, a keyword is separately related and so forth. It's not uncommon to see people flag
[00:05:33.000 --> 00:05:40.840]   hundreds of issues in a thousand document collection. So putting this all together, zooming out,
[00:05:40.840 --> 00:05:46.040]   what does it mean to close this data understanding gap, right? I mentioned that we want tooling to help
[00:05:46.040 --> 00:05:51.800]   people find anomalies and failure modes in their data, but also to be able to design evals on the fly for
[00:05:51.800 --> 00:05:57.240]   each of these different failure modes. And some of the solutions that we're prototyping in our stack,
[00:05:57.240 --> 00:06:04.120]   in our research stack, are for having people look at clusters of outputs automatically, annotate them
[00:06:04.120 --> 00:06:06.520]   in situ so that we can help organize them.
[00:06:06.520 --> 00:06:12.520]   So to give you a concrete example of what a real estate agent might do or a real estate agent developer,
[00:06:12.520 --> 00:06:18.680]   they might see for each failure mode that either we organize or once they label, we are able to
[00:06:18.680 --> 00:06:25.240]   identify that they've labeled them all the same. And come up with, okay, here's a data set for where you can
[00:06:25.240 --> 00:06:30.600]   design evals on. And maybe there are some potential strategies, for example, generating alternative
[00:06:30.600 --> 00:06:36.360]   phrasings with an LLM or doing keyword checks in hybrid with LLMs. And this is where it gets a little bit fuzzy and
[00:06:36.360 --> 00:06:40.520]   interesting, right? How do we build these for our users? And I think a lot of different domains have very
[00:06:40.520 --> 00:06:44.520]   exciting challenges in there.
[00:06:44.520 --> 00:06:51.000]   So now I want to move over to the intent gap, which is when we know that there are lots of failure modes in our data,
[00:06:51.000 --> 00:06:56.920]   How do we even go about improving the pipeline? And much of this revolves around reducing query
[00:06:56.920 --> 00:07:03.320]   ambiguity or prompt ambiguity. Maybe I want to change pet related clauses to dog and cat related clauses.
[00:07:03.320 --> 00:07:08.440]   This is a very simple example. But you can imagine with the hundreds of failure modes, figuring out how to
[00:07:08.440 --> 00:07:14.760]   translate this into actual pipeline improvements is very difficult. Do we prompt engineer? Do we add new
[00:07:14.760 --> 00:07:20.760]   operations? Do we do task decomposition? Do we try to look at subsections of the document and unify the results?
[00:07:20.760 --> 00:07:25.160]   People often get very lost in that. So one of the solutions that we're prototyping and that's
[00:07:25.160 --> 00:07:32.040]   available on our doc ETL project is the ability to take users provided notes and automatically translate
[00:07:32.040 --> 00:07:38.040]   them into prompt improvements in an interface where people can interactively give feedback at it and
[00:07:38.040 --> 00:07:46.200]   maintain their revision history. So it's fully steerable. All right. Now, in my last slide, you might be
[00:07:46.200 --> 00:07:50.520]   wondering, okay, why does this matter? I don't really care. I might not be building agents for
[00:07:50.520 --> 00:07:56.200]   data processing. What can I take away from this? Great question. So here's my takeaways for you.
[00:07:56.200 --> 00:08:01.160]   First is that we always find in every single domain that people are processing data with, evals are
[00:08:01.160 --> 00:08:07.000]   very, very fuzzy. And they're never done first off with evaluation. People are always collecting new
[00:08:07.000 --> 00:08:15.240]   failure modes as they run pipelines, always creating new subsets of documents or example traces that will
[00:08:15.240 --> 00:08:20.360]   represent evals to run in the future. And failure modes really hide in this long tail, right? We
[00:08:20.360 --> 00:08:25.080]   see people having tens, twenties of different failure modes that they're constantly checking for.
[00:08:25.080 --> 00:08:32.840]   Then the next thing that we've observed that is very helpful is when our users unpack the cycle of
[00:08:32.840 --> 00:08:39.800]   iteration into distinct stages, right? I mentioned that people try to do strategies like query decomposition
[00:08:39.800 --> 00:08:47.560]   or prompt optimization to get a well-specified pipeline into a generalizable pipeline. However,
[00:08:47.560 --> 00:08:53.400]   we find that people first need to figure out how to specify their pipeline in the first place. So first,
[00:08:53.400 --> 00:08:59.000]   understand your data. Do this as a stage yourself. Don't worry about having good accuracy. Just know
[00:08:59.000 --> 00:09:04.680]   what's going on in your failure modes. Second, figure out how to get your prompts as well specified as
[00:09:04.680 --> 00:09:09.560]   possible. Make sure there's no ambiguity. If you were to send them to a human, they would not misinterpret
[00:09:09.560 --> 00:09:16.200]   them, for example. And then only do people get really good gains in applying well-known accuracy
[00:09:16.200 --> 00:09:23.400]   optimization strategies. With that, thanks so much. Feel free to email me at shreyashankar@berkeley.edu.
[00:09:23.400 --> 00:09:32.120]   And happy to chat with anyone afterwards.

