
[00:00:00.000 --> 00:00:02.240]   a generally well-educated human.
[00:02:43.080 --> 00:02:45.640]   But like, why does it lead to all these,
[00:02:45.640 --> 00:02:47.640]   this very smooth scaling?
[00:02:47.640 --> 00:02:48.800]   I think we still don't know.
[00:02:48.800 --> 00:02:50.240]   There's all these explanations.
[00:02:50.240 --> 00:02:53.280]   Our chief scientist, Gerard Kaplan,
[00:02:53.280 --> 00:02:56.160]   did some stuff on like fractal manifold dimension
[00:02:56.160 --> 00:02:58.000]   that like you can use to explain it.
[00:02:58.000 --> 00:02:59.640]   So there's all kinds of ideas,
[00:02:59.640 --> 00:03:02.720]   but I feel like we just don't really know for sure.
[00:03:02.720 --> 00:03:03.920]   - And by the way, for the audience
[00:03:03.920 --> 00:03:05.400]   who is trying to follow along,
[00:03:05.400 --> 00:03:06.720]   by scaling, we're referring to the fact
[00:03:06.720 --> 00:03:08.800]   that you can very predictably see how,
[00:03:08.800 --> 00:03:10.720]   if you go from GPT-3 to GPT-4,
[00:03:10.720 --> 00:03:12.920]   or in this case, CLAW-1 to CLAW-2,
[00:03:12.920 --> 00:03:14.840]   that the loss in terms of whether it can predict
[00:03:14.840 --> 00:03:16.920]   the next token scales very smoothly.
[00:03:16.920 --> 00:03:18.640]   So, okay, we don't know why it's happening,
[00:03:18.640 --> 00:03:22.240]   but can you at least predict if empirically,
[00:03:22.240 --> 00:03:25.400]   here is the loss at which this ability will emerge.
[00:03:25.400 --> 00:03:28.520]   Here is the place where this circuit will emerge.
[00:03:28.520 --> 00:03:29.680]   Is that at all predictable,
[00:03:29.680 --> 00:03:31.000]   or are you just looking at the loss number?
[00:03:31.000 --> 00:03:32.880]   - That is much less predictable.
[00:03:32.880 --> 00:03:35.040]   What's predictable is this statistical average,
[00:03:35.040 --> 00:03:37.360]   this loss, this entropy, and it's super predictable.
[00:03:37.360 --> 00:03:39.560]   It's like, you know, predictable to like,
[00:03:39.560 --> 00:03:41.720]   sometimes even to several significant figures,
[00:03:41.720 --> 00:03:43.720]   which you don't see outside of physics, right?
[00:03:43.720 --> 00:03:47.520]   You don't expect to see it in this messy empirical field.
[00:03:47.520 --> 00:03:50.080]   But actually, specific abilities are very hard to predict.
[00:03:50.080 --> 00:03:53.560]   So, you know, back when I was working on GPT-2 and GPT-3,
[00:03:53.560 --> 00:03:55.640]   like, when does arithmetic come in place?
[00:03:55.640 --> 00:03:57.400]   When do models learn to code?
[00:03:57.400 --> 00:04:00.560]   Sometimes it's very abrupt.
[00:04:00.560 --> 00:04:02.320]   You know, it's kind of like you can predict
[00:04:02.320 --> 00:04:03.960]   statistical averages of the weather,
[00:04:03.960 --> 00:04:05.480]   but the weather on one particular day
[00:04:05.480 --> 00:04:08.000]   is very hard to predict.
[00:04:08.000 --> 00:04:09.600]   - So, dumb it down for me.
[00:04:09.600 --> 00:04:12.400]   I don't understand manifolds, but mechanistically,
[00:04:12.400 --> 00:04:14.800]   it doesn't know addition yet, now it knows addition.
[00:04:14.800 --> 00:04:16.200]   What has happened?
[00:04:16.200 --> 00:04:18.440]   - This is another question that we don't know the answer to.
[00:04:18.440 --> 00:04:19.680]   I mean, we're trying to answer this
[00:04:19.680 --> 00:04:21.960]   with things like mechanistic interpretability,
[00:04:21.960 --> 00:04:23.960]   but, you know, I'm not sure.
[00:04:23.960 --> 00:04:26.040]   I mean, you can think about these things
[00:04:26.040 --> 00:04:28.160]   about like circuits snapping into place,
[00:04:28.160 --> 00:04:30.160]   although there is some evidence
[00:04:30.160 --> 00:04:33.320]   that when you look at the models being able to add things,
[00:04:33.320 --> 00:04:36.240]   that, you know, like, if you look at its chance
[00:04:36.240 --> 00:04:37.920]   of getting the right answer,
[00:04:37.920 --> 00:04:39.320]   that shoots up all of a sudden.
[00:04:39.320 --> 00:04:40.160]   But if you look at, okay,
[00:04:40.160 --> 00:04:42.000]   what's the probability of the right answer?
[00:04:42.000 --> 00:04:44.160]   You'll see it climb from like one in a million
[00:04:44.160 --> 00:04:46.600]   to one in a hundred thousand to one in a thousand
[00:04:46.600 --> 00:04:49.400]   long before it actually gets the right answer.
[00:04:49.400 --> 00:04:52.640]   And so there's some, in many of these cases, at least,
[00:04:52.640 --> 00:04:53.840]   I don't know if in all of them,
[00:04:53.840 --> 00:04:56.520]   there's some continuous process going on behind the scenes.
[00:04:56.520 --> 00:04:57.800]   I don't understand it at all.
[00:04:57.800 --> 00:05:00.200]   - Does that imply that the circuit or the process
[00:05:00.200 --> 00:05:02.120]   for doing addition was preexisting
[00:05:02.120 --> 00:05:04.760]   and it just got increased in salient?
[00:05:04.760 --> 00:05:06.720]   - I don't know if like there's this circuit
[00:05:06.720 --> 00:05:08.440]   that's weak and getting stronger.
[00:05:08.440 --> 00:05:09.880]   I don't know if it's something that works,
[00:05:09.880 --> 00:05:11.160]   but not very well.
[00:05:11.160 --> 00:05:14.040]   Like, I think we don't know.
[00:05:14.040 --> 00:05:15.720]   And these are some of the questions we're trying to answer
[00:05:15.720 --> 00:05:17.040]   with mechanistic interpretability.
[00:05:17.040 --> 00:05:19.560]   - Are there abilities that won't emerge with scale?
[00:05:19.560 --> 00:05:21.920]   - So I definitely think that, again,
[00:05:21.920 --> 00:05:24.240]   like things like alignment and values
[00:05:24.240 --> 00:05:26.400]   are not guaranteed to emerge with scale, right?
[00:05:26.400 --> 00:05:28.120]   It's kind of like, you know,
[00:05:28.120 --> 00:05:31.360]   one way to think about it is you train the model
[00:05:31.360 --> 00:05:35.600]   and it is basically, it's like predicting the world.
[00:05:35.600 --> 00:05:36.560]   It's understanding the world.
[00:05:36.560 --> 00:05:38.880]   It's job is facts, not values, right?
[00:05:38.880 --> 00:05:40.760]   It's trying to predict what comes next.
[00:05:40.760 --> 00:05:43.420]   But there's just, there's free variables here
[00:05:43.420 --> 00:05:45.640]   where it's like, what should you do?
[00:05:45.640 --> 00:05:46.480]   What should you think?
[00:05:46.480 --> 00:05:47.720]   What should you value?
[00:05:47.720 --> 00:05:50.080]   Those, you know, like they're just,
[00:05:50.080 --> 00:05:51.400]   there aren't the bits for that.
[00:05:51.400 --> 00:05:53.920]   There's just like, well, if I started with this,
[00:05:53.920 --> 00:05:54.860]   I should finish with this.
[00:05:54.860 --> 00:05:56.080]   If I started with this other thing,
[00:05:56.080 --> 00:05:57.720]   I should finish with this other thing.
[00:05:57.720 --> 00:06:01.240]   And so I think that's not going to emerge.
[00:06:01.240 --> 00:06:02.280]   - I wanna talk about alignment in a second,
[00:06:02.280 --> 00:06:05.760]   but on scaling, if it turns out that scaling plateaus
[00:06:05.760 --> 00:06:08.160]   before we reach human level intelligence,
[00:06:08.160 --> 00:06:10.280]   looking back on it, what would be your explanation?
[00:06:10.280 --> 00:06:11.840]   What do you think is likely to be the case
[00:06:11.840 --> 00:06:13.440]   if that turns out to be the outcome?
[00:06:13.440 --> 00:06:16.560]   - Yeah, so I guess I would distinguish some problem
[00:06:16.560 --> 00:06:19.080]   with the fundamental theory with some practical issue.
[00:06:19.080 --> 00:06:21.240]   So one practical issue we could have
[00:06:21.240 --> 00:06:22.800]   is we could run out of data.
[00:06:22.800 --> 00:06:25.280]   For various reasons, I think that's not going to happen.
[00:06:25.280 --> 00:06:28.640]   But, you know, if you look at it very, very naively,
[00:06:28.640 --> 00:06:30.400]   we're not that far from running out of data.
[00:06:30.400 --> 00:06:32.120]   And so it's like, we just don't have the data
[00:06:32.120 --> 00:06:34.700]   to continue the scaling curves.
[00:06:34.700 --> 00:06:36.800]   I think, you know, another way it could happen is like,
[00:06:36.800 --> 00:06:39.880]   oh, we just use up all of our compute that was available
[00:06:39.880 --> 00:06:43.160]   and that wasn't enough and then progress is slow after that.
[00:06:43.160 --> 00:06:44.840]   I wouldn't bet on either of those things happening,
[00:06:44.840 --> 00:06:46.400]   but they could.
[00:06:46.400 --> 00:06:50.840]   I think from a fundamental perspective,
[00:06:50.840 --> 00:06:52.840]   personally, I think it's very unlikely
[00:06:52.840 --> 00:06:54.980]   that the scaling laws will just stop.
[00:06:54.980 --> 00:06:57.360]   If they do, another reason, again,
[00:06:57.360 --> 00:06:59.280]   this isn't fully fundamental,
[00:06:59.280 --> 00:07:01.840]   could just be we don't have quite the right architecture.
[00:07:01.840 --> 00:07:05.020]   Like if we tried to do it with an LSDM or an RNN,
[00:07:05.020 --> 00:07:06.540]   the slope would be different.
[00:07:06.540 --> 00:07:08.380]   I still might be that we get there,
[00:07:08.380 --> 00:07:09.960]   but I think there are some things
[00:07:09.960 --> 00:07:11.600]   that are just very hard to represent
[00:07:11.600 --> 00:07:15.400]   when you don't have this ability to attend far in the past
[00:07:15.400 --> 00:07:17.220]   that transformers have.
[00:07:17.220 --> 00:07:20.280]   If somehow, and I don't know how we would know this,
[00:07:20.280 --> 00:07:22.000]   it kind of wasn't about the architecture
[00:07:22.000 --> 00:07:23.380]   and we just hit a wall,
[00:07:23.380 --> 00:07:25.640]   I think I'd be very surprised by that.
[00:07:25.640 --> 00:07:27.000]   I think we're already at the point
[00:07:27.000 --> 00:07:29.880]   where the things the models can't do
[00:07:29.880 --> 00:07:31.960]   don't seem to me to be different in kind
[00:07:31.960 --> 00:07:33.560]   from the things they can do.
[00:07:33.560 --> 00:07:36.920]   And it just, you know, you could have made a case
[00:07:36.920 --> 00:07:38.820]   a few years ago that it was like,
[00:07:38.820 --> 00:07:40.980]   they can't reason, they can't program.
[00:07:40.980 --> 00:07:44.620]   Like you could have drawn boundaries and said,
[00:07:44.620 --> 00:07:46.620]   well, maybe you'll hit a wall.
[00:07:46.620 --> 00:07:48.740]   I didn't think that, I didn't think we would hit a wall.
[00:07:48.740 --> 00:07:50.660]   Few other people didn't think we would hit a wall,
[00:07:50.660 --> 00:07:52.220]   but it was a more plausible case then.
[00:07:52.220 --> 00:07:53.780]   I think it's a less plausible case now.
[00:07:53.780 --> 00:07:56.540]   Now it could happen, like this stuff is crazy.
[00:07:56.540 --> 00:07:58.740]   Like it could happen tomorrow
[00:07:58.740 --> 00:08:00.980]   that it's just like we hit a wall.
[00:08:00.980 --> 00:08:02.500]   I think if that happens,
[00:08:02.500 --> 00:08:04.200]   I'm trying to think of like what's my,
[00:08:04.200 --> 00:08:06.040]   what would really be my, it's unlikely,
[00:08:06.040 --> 00:08:08.180]   but what would really be my explanation?
[00:08:08.180 --> 00:08:10.580]   I think my explanation would be
[00:08:10.580 --> 00:08:12.620]   there's something wrong with the loss
[00:08:12.620 --> 00:08:15.260]   when you train on next word prediction.
[00:08:15.260 --> 00:08:18.940]   Like some of the remaining like reasoning abilities
[00:08:18.940 --> 00:08:19.780]   or something like that,
[00:08:19.780 --> 00:08:21.020]   like if you really want to learn,
[00:08:21.020 --> 00:08:23.200]   you know, it's a program at a really high level,
[00:08:23.200 --> 00:08:25.980]   like it means you care about some tokens
[00:08:25.980 --> 00:08:27.500]   much more than others.
[00:08:27.500 --> 00:08:30.520]   And they're rare enough that it's like the loss function
[00:08:30.520 --> 00:08:34.860]   over focuses on kind of the appearance,
[00:08:34.860 --> 00:08:36.040]   the things that are responsible
[00:08:36.040 --> 00:08:38.300]   for the most bits of entropy.
[00:08:38.300 --> 00:08:39.700]   And instead, you know,
[00:08:39.700 --> 00:08:41.860]   they don't focus on this stuff that's really essential.
[00:08:41.860 --> 00:08:43.860]   And so you could kind of have the signal
[00:08:43.860 --> 00:08:45.420]   drowned out in the noise.
[00:08:45.420 --> 00:08:46.940]   I don't think it's going to play out that way
[00:08:46.940 --> 00:08:47.940]   for a number of reasons.
[00:08:47.940 --> 00:08:51.620]   But if you told me, yep, you trained your 2024 model,
[00:08:51.620 --> 00:08:53.900]   it was much bigger and it just wasn't any better
[00:08:53.900 --> 00:08:56.780]   and you tried every architecture and it didn't work,
[00:08:56.780 --> 00:08:59.140]   I think that's the explanation I would reach for.
[00:08:59.140 --> 00:09:01.080]   - Is there a candidate for another loss function
[00:09:01.080 --> 00:09:03.140]   if you had to abandon next token prediction?
[00:09:03.140 --> 00:09:06.460]   - I think then you would have to go for some kind of RL.
[00:09:06.460 --> 00:09:07.300]   And again, there's, you know,
[00:09:07.300 --> 00:09:08.140]   there's many different kinds.
[00:09:08.140 --> 00:09:09.540]   There's RL from human feedback.
[00:09:09.540 --> 00:09:11.700]   There's RL against an objective.
[00:09:11.700 --> 00:09:13.520]   There's things like constitutional AI.
[00:09:13.520 --> 00:09:16.080]   There's things like amplification and debate, right?
[00:09:16.080 --> 00:09:18.180]   These are kind of both alignment methods
[00:09:18.180 --> 00:09:20.100]   and ways of training models.
[00:09:20.100 --> 00:09:21.460]   You would have to try a bunch of things,
[00:09:21.460 --> 00:09:23.380]   but the focus would have to be on
[00:09:23.380 --> 00:09:25.660]   what do we actually care about the model doing, right?
[00:09:25.660 --> 00:09:27.140]   And in a sense, we're a little bit lucky
[00:09:27.140 --> 00:09:30.100]   that it's like predict the next word gets us
[00:09:30.100 --> 00:09:31.260]   all these other things we need.
[00:09:31.260 --> 00:09:32.580]   - Right. - There's no guarantee.
[00:09:32.580 --> 00:09:33.940]   - It seems like from your worldview,
[00:09:33.940 --> 00:09:36.780]   there's a multitude of different loss functions
[00:09:36.780 --> 00:09:38.980]   that it's just a matter of what can allow you
[00:09:38.980 --> 00:09:40.740]   to just throw a whole bunch of data at it.
[00:09:40.740 --> 00:09:43.060]   Like the next token prediction itself is not significant.
[00:09:43.060 --> 00:09:45.440]   - Yeah, well, I mean, I guess the thing with RL
[00:09:45.440 --> 00:09:47.760]   is you get slowed down a bit because it's like,
[00:09:47.760 --> 00:09:50.200]   you know, you have to, by some method,
[00:09:50.200 --> 00:09:52.800]   kind of, you know, design how the loss function works.
[00:09:52.800 --> 00:09:54.660]   Nice thing with the next token prediction
[00:09:54.660 --> 00:09:56.480]   is it's there for you, right?
[00:09:56.480 --> 00:09:58.540]   It's just there, it's the easiest thing in the world.
[00:09:58.540 --> 00:10:00.080]   And so I think it would slow you down
[00:10:00.080 --> 00:10:02.780]   if you couldn't scale in just that very simplest way.
[00:10:02.780 --> 00:10:04.620]   - You mentioned that the data
[00:10:04.620 --> 00:10:06.220]   is likely not to be the constraint.
[00:10:06.220 --> 00:10:07.940]   Why do you think that is the case?
[00:10:07.940 --> 00:10:09.500]   - There's various possibilities here.
[00:10:09.500 --> 00:10:10.700]   And, you know, for a number of reasons,
[00:10:10.700 --> 00:10:12.060]   I shouldn't go into the details,
[00:10:12.060 --> 00:10:15.400]   but you know, like there's many sources of data in the world
[00:10:15.400 --> 00:10:18.180]   and there's many ways that you can also generate data.
[00:10:18.180 --> 00:10:21.420]   My guess is that this will not be a blocker.
[00:10:21.420 --> 00:10:24.260]   Maybe it'd be better if it was, but it won't be.
[00:10:24.260 --> 00:10:25.940]   - Are you talking about multimodal or?
[00:10:25.940 --> 00:10:28.180]   - There's just many different ways to do it.
[00:10:28.180 --> 00:10:30.480]   - How did you form your views on scaling?
[00:10:30.480 --> 00:10:31.680]   How far back can we go?
[00:10:31.680 --> 00:10:33.220]   And then you would be basically saying
[00:10:33.220 --> 00:10:34.680]   something similar to this.
[00:10:34.680 --> 00:10:37.360]   - This view that I have probably formed gradually
[00:10:37.360 --> 00:10:41.540]   from, I would say like 2014 to 2017.
[00:10:41.540 --> 00:10:43.800]   So I think my first experience with it
[00:10:43.800 --> 00:10:46.600]   was my first experience with AI.
[00:10:46.600 --> 00:10:48.280]   So I, you know, I saw some of the early stuff
[00:10:48.280 --> 00:10:50.320]   around AlexNet in 2012.
[00:10:50.320 --> 00:10:52.500]   Always kind of wanted to study intelligence,
[00:10:52.500 --> 00:10:54.400]   but I, you know, before I was just like,
[00:10:54.400 --> 00:10:55.680]   this isn't really working.
[00:10:55.680 --> 00:10:58.180]   Like it doesn't seem like it's actually working.
[00:10:58.180 --> 00:11:00.740]   You know, all the way back to like 2005,
[00:11:00.740 --> 00:11:03.420]   I'd like, you know, I'd read Ray Kurzweil's work.
[00:11:03.420 --> 00:11:06.300]   You know, I'd read even some of like Eliezer's work
[00:11:06.300 --> 00:11:08.260]   on the early internet back then.
[00:11:08.260 --> 00:11:10.540]   And I was like, oh, this stuff kind of looks far away.
[00:11:10.540 --> 00:11:12.100]   Like I look at the AI stuff of today
[00:11:12.100 --> 00:11:14.980]   and it's like not anywhere close.
[00:11:14.980 --> 00:11:16.660]   But with AlexNet, I was like, oh,
[00:11:16.660 --> 00:11:18.340]   this stuff is actually starting to work.
[00:11:18.340 --> 00:11:22.820]   So I joined Andrew Ng's group initially at Baidu.
[00:11:22.820 --> 00:11:26.160]   And the first task, you know, that I got set to do, right,
[00:11:26.160 --> 00:11:28.480]   it was my, you know, I'd been in a different field.
[00:11:28.480 --> 00:11:31.280]   And so I first joined, you know,
[00:11:31.280 --> 00:11:34.320]   this was my first experience with AI.
[00:11:34.320 --> 00:11:35.560]   And it was a bit different
[00:11:35.560 --> 00:11:38.000]   from a lot of the kind of academic style research
[00:11:38.000 --> 00:11:41.720]   that was going on kind of elsewhere in the world, right?
[00:11:41.720 --> 00:11:45.360]   I think I kind of got lucky in that the task
[00:11:45.360 --> 00:11:47.080]   that was given to me and the other folks there
[00:11:47.080 --> 00:11:50.400]   was just make the best speech recognition system
[00:11:50.400 --> 00:11:51.360]   that you can.
[00:11:51.360 --> 00:11:53.160]   And there was a lot of data available.
[00:11:53.160 --> 00:11:55.080]   There were a lot of GPUs available.
[00:11:55.080 --> 00:11:58.420]   So it kind of, it posed the problem
[00:11:58.420 --> 00:12:00.420]   in a way that was amenable to discovering
[00:12:00.420 --> 00:12:02.380]   that kind of scaling was a solution, right?
[00:12:02.380 --> 00:12:05.060]   That's very different from like, you're a postdoc
[00:12:05.060 --> 00:12:07.340]   and it's your job to come up with, you know,
[00:12:07.340 --> 00:12:09.260]   what's the best, like, you know,
[00:12:09.260 --> 00:12:12.100]   what's an idea that seems clever and new
[00:12:12.100 --> 00:12:15.100]   and makes your mark as someone who's invented something.
[00:12:15.100 --> 00:12:18.140]   And so I just quickly discovered that like,
[00:12:18.140 --> 00:12:20.140]   you know, I was just trying the simplest experiments.
[00:12:20.140 --> 00:12:22.360]   I was like, you know, just fiddling with some dials.
[00:12:22.360 --> 00:12:25.380]   I was like, okay, try, you know,
[00:12:25.380 --> 00:12:27.580]   try adding more layers to the,
[00:12:27.580 --> 00:12:30.260]   literally add more layers to the RNN, you know,
[00:12:30.260 --> 00:12:31.840]   try training it for longer.
[00:12:31.840 --> 00:12:32.680]   What happens?
[00:12:32.680 --> 00:12:34.020]   How long does it take to overfit?
[00:12:34.020 --> 00:12:36.700]   What if I add new data and repeat it less times?
[00:12:36.700 --> 00:12:39.940]   And like, I just saw these like very consistent patterns.
[00:12:39.940 --> 00:12:43.700]   I didn't really know that this was unusual
[00:12:43.700 --> 00:12:45.540]   or that others weren't thinking in this way.
[00:12:45.540 --> 00:12:48.560]   This was just kind of like, almost like beginner's luck.
[00:12:48.560 --> 00:12:50.820]   It was my first experience with it.
[00:12:50.820 --> 00:12:52.180]   And I didn't really think about it
[00:12:52.180 --> 00:12:54.740]   beyond speech recognition, right, right, right.
[00:12:54.740 --> 00:12:56.700]   You know, I was just kind of like, oh, this is,
[00:12:56.700 --> 00:12:58.300]   you know, I don't know anything about this field.
[00:12:58.300 --> 00:13:00.380]   There's zillions of things people do with machine learning,
[00:13:00.380 --> 00:13:01.780]   but like, I'm like, weird,
[00:13:01.780 --> 00:13:04.700]   this seems to be true in the speech recognition field.
[00:13:04.700 --> 00:13:07.780]   And then I think it was recently, you know,
[00:13:07.780 --> 00:13:11.140]   like just before OpenAI started
[00:13:11.140 --> 00:13:13.620]   that I met Ilya, who you interviewed.
[00:13:13.620 --> 00:13:15.540]   One of the first things he said to me was,
[00:13:15.540 --> 00:13:17.060]   look, the models, they just want to learn.
[00:13:17.060 --> 00:13:17.940]   You have to understand this.
[00:13:17.940 --> 00:13:19.540]   The models, they just want to learn.
[00:13:19.540 --> 00:13:21.300]   And it was a bit like a Zen Cohen.
[00:13:21.300 --> 00:13:23.220]   Like, I kind of like, I listened to this
[00:13:23.220 --> 00:13:24.680]   and I became enlightened.
[00:13:24.680 --> 00:13:27.680]   (laughing)
[00:13:27.680 --> 00:13:31.700]   And, you know, over the years after this,
[00:13:31.700 --> 00:13:34.940]   you know, again, I would be kind of, you know,
[00:13:34.940 --> 00:13:37.620]   the one who would formalize a lot of these things
[00:13:37.620 --> 00:13:38.660]   and kind of put them together.
[00:13:38.660 --> 00:13:40.740]   But like, just kind of the,
[00:13:40.740 --> 00:13:43.780]   what that told me is that that phenomenon
[00:13:43.780 --> 00:13:46.500]   that I'd seen wasn't just some random thing that I'd seen.
[00:13:46.500 --> 00:13:47.540]   It was like, it was broad.
[00:13:47.540 --> 00:13:49.180]   It was more general, right?
[00:13:49.180 --> 00:13:51.260]   The models, the models just want to learn.
[00:13:51.260 --> 00:13:53.460]   You get the obstacles out of their way, right?
[00:13:53.460 --> 00:13:55.740]   You give them good data.
[00:13:55.740 --> 00:13:59.240]   You give them enough space to operate in.
[00:13:59.240 --> 00:14:00.660]   You don't do something stupid
[00:14:00.660 --> 00:14:03.100]   like condition them badly numerically.
[00:14:03.100 --> 00:14:04.420]   And they want to learn.
[00:14:04.420 --> 00:14:05.240]   They'll do it.
[00:14:05.240 --> 00:14:06.080]   They'll do it.
[00:14:06.080 --> 00:14:07.820]   - You know, what I find really interesting
[00:14:07.820 --> 00:14:10.460]   about what you said is there were many people
[00:14:10.460 --> 00:14:12.900]   who were aware back at that time,
[00:14:12.900 --> 00:14:14.300]   probably weren't working on it directly,
[00:14:14.300 --> 00:14:16.140]   but were aware that these things are really good
[00:14:16.140 --> 00:14:21.140]   at speech recognition or at playing these constrained games.
[00:14:21.140 --> 00:14:25.420]   Very few extrapolated from there like you and Ilya did
[00:14:25.420 --> 00:14:27.860]   to something that is generally intelligent.
[00:14:27.860 --> 00:14:30.020]   What was different about the way you were thinking about it
[00:14:30.020 --> 00:14:32.340]   versus how others think that you went from like,
[00:14:32.340 --> 00:14:34.260]   is getting better at speech in this consistent way?
[00:14:34.260 --> 00:14:36.260]   It will get better at everything in this consistent way.
[00:14:36.260 --> 00:14:38.660]   - Yeah, so I genuinely don't know.
[00:14:38.660 --> 00:14:40.340]   I mean, at first when I saw it for speech,
[00:14:40.340 --> 00:14:42.660]   I assumed this was just true for speech
[00:14:42.660 --> 00:14:45.180]   or for this narrow class of models.
[00:14:45.180 --> 00:14:49.860]   I think it was just over the period between 2014 and 2017,
[00:14:49.860 --> 00:14:51.500]   I tried it for a lot of things
[00:14:51.500 --> 00:14:53.580]   and saw the same thing over and over again.
[00:14:53.580 --> 00:14:56.740]   I watched the same being true with Dota.
[00:14:56.740 --> 00:14:59.220]   I watched the same being true with robotics,
[00:14:59.220 --> 00:15:01.180]   which many people thought of as a counter example,
[00:15:01.180 --> 00:15:03.980]   but I just thought, well, it's hard to get data for robotics
[00:15:03.980 --> 00:15:07.300]   but if we look within the data that we have,
