
[00:00:00.040 --> 00:00:09.300]   TED
[00:07:18.420 --> 00:07:18.420]   I really wanted to do a lot more with a computer.
[00:07:18.420 --> 00:07:18.420]   I really wanted to do a lot more with a computer.
[00:07:18.420 --> 00:07:18.420]   I really wanted to do a lot more with a computer.
[00:07:18.420 --> 00:07:18.420]   I really wanted to do a lot more with a computer.
[00:07:18.600 --> 00:07:48.460]  ,
[00:07:48.460 --> 00:07:48.460]   I really wanted to do a lot more with a computer.
[00:07:48.460 --> 00:07:48.460]   I really wanted to do a lot more with a computer.
[00:07:48.460 --> 00:07:48.460]   I really wanted to do a lot more with a computer.
[00:07:48.500 --> 00:07:51.520]   anticipated
[00:07:51.520 --> 00:07:59.680]   junk men後
[00:07:59.680 --> 00:08:17.560]   weigh be, and,,,,, work went Damit Sen produce reach click 23 it is a Wednesday pay the never is the horse of the動画東
[00:08:18.540 --> 00:08:28.420]  ех
[00:08:28.420 --> 00:08:30.260]   ‑‑
[00:08:30.260 --> 00:08:47.360]  ifs, every,,,,, love Yes L Is Mo That 3 셋
[00:08:48.560 --> 00:08:50.820]   sparkle Prim I I that,,,,
[00:08:50.820 --> 00:09:15.920]   CG CU Le G
[00:09:17.600 --> 00:09:46.640]   districts and I would trim reads and play the reads. And they'd be beautiful, but then they'd get soggy. And then I discovered in the basement of the music department at Cornell was David Borden, who you might not have heard of, but is legendary in electronic music, because he was really the first electronic musician. So Bob Moog, who invented Moog synthesizers, was a physics student at Cornell, like me crossing the street, and eventually he was kicked out and invented electronic music. David Borden was the first musician who created electronic
[00:09:46.640 --> 00:09:46.640]   -music.
[00:09:46.640 --> 00:09:46.680]   -
[00:09:46.700 --> 00:10:15.740]  ,
[00:10:15.740 --> 00:10:15.880]  .
[00:10:15.880 --> 00:10:15.900]   -music.
[00:10:15.920 --> 00:10:45.180]  -
[00:10:45.180 --> 00:10:45.240]   -music.
[00:10:45.240 --> 00:10:45.320]   -music.
[00:10:45.380 --> 00:10:54.460]   I
[00:10:54.460 --> 00:11:09.580]  'm c
[00:11:39.740 --> 00:11:39.740]   and
[00:11:39.740 --> 00:11:39.740]   and
[00:11:39.740 --> 00:11:39.740]   and
[00:11:39.740 --> 00:11:39.740]   and
[00:11:39.740 --> 00:11:39.740]   and
[00:11:39.740 --> 00:11:39.740]   and
[00:11:39.740 --> 00:11:39.740]   and
[00:12:34.180 --> 00:12:44.640]   100
[00:12:44.640 --> 00:12:45.760]   rätt,
[00:12:45.760 --> 00:13:03.860]   � in. I think that is. And,
[00:13:04.040 --> 00:13:14.060]   they
[00:13:14.060 --> 00:13:20.220]   peace, containר,
[00:13:31.160 --> 00:13:56.640]   sound
[00:16:21.480 --> 00:16:32.220]   won
[00:16:32.220 --> 00:16:49.840]   W Freæ,,,,
[00:16:50.880 --> 00:17:20.860]  �
[00:18:51.040 --> 00:19:21.040]  , and so forth. And so, the work in CBA today ranges from developing Zeptojoule electronics for the lowest power computing to micro machining diamonds to take million, 10 million RPM bearings for molecular spectroscopy studies up to exploring robots to build hundred meter structures in space. Okay, can we, the three things you just mentioned, let's start with the biggest. What are some of the biggest stuff you attempted to explore in CBA today?
[00:19:21.040 --> 00:19:21.040]   .
[00:19:21.040 --> 00:19:21.040]   .
[00:19:21.080 --> 00:19:30.320]   canceled
[00:19:30.320 --> 00:19:48.840]   tells que is, kaik,richt, spreadsheet,
[00:19:49.740 --> 00:19:58.740]   let me go back to bring in now Shannon as well as Van Neumann.
[00:19:58.740 --> 00:19:59.740]   Claude Shannon.
[00:19:59.740 --> 00:20:02.740]   Yeah. So what is digital?
[00:20:02.740 --> 00:20:07.740]   The casual obvious answer is digital in one and zero.
[00:20:07.740 --> 00:20:12.740]   But that's wrong. There's a much deeper answer, which is
[00:20:12.740 --> 00:20:18.360]   Claude Shannon at MIT wrote the best master's thesis ever.
[00:20:18.360 --> 00:20:18.360]   Mm-hmm.
[00:20:18.360 --> 00:20:18.360]   In his master's thesis, he wrote the best master's thesis ever.
[00:20:18.360 --> 00:20:18.360]   Mm-hmm.
[00:20:18.360 --> 00:20:18.360]   In his master's thesis, he wrote the best master's thesis ever.
[00:20:18.360 --> 00:20:18.360]   Mm-hmm.
[00:20:18.360 --> 00:20:18.360]   In his master's thesis, he wrote the best master's thesis ever.
[00:20:18.360 --> 00:20:18.360]   Mm-hmm.
[00:20:18.360 --> 00:20:18.360]   In his master's thesis, he wrote the best master's thesis ever.
[00:20:18.360 --> 00:20:18.360]   Mm-hmm.
[00:20:18.360 --> 00:20:18.360]   In his master's thesis, he wrote the best master's thesis ever.
[00:20:18.360 --> 00:20:18.360]   Mm-hmm.
[00:20:18.360 --> 00:20:18.360]   In his master's thesis, he wrote the best master's thesis ever.
[00:20:19.360 --> 00:20:47.100]   in his master's thesis, he wrote the best master's thesis ever.
[00:20:47.100 --> 00:20:47.160]   in his master's thesis, he wrote the best master's thesis ever.
[00:20:47.160 --> 00:20:47.200]   in his master's thesis ever. in his master's thesis, he wrote the modern notion of digital logic.
[00:20:47.200 --> 00:20:47.240]   in his master's thesis, he wrote the modern notion of digital logic.
[00:20:47.240 --> 00:20:47.280]   in his master's thesis, he wrote the modern notion of digital logic.
[00:20:47.300 --> 00:20:48.600]   Mm-hmm.
[00:20:48.600 --> 00:20:48.620]   Mm-hmm.
[00:20:48.620 --> 00:20:48.680]   Mm-hmm.
[00:20:48.680 --> 00:20:48.740]   Mm-hmm.
[00:20:48.740 --> 00:20:52.340]   And Shannon worked on it as a student,
[00:20:52.340 --> 00:20:52.380]   And Shannon worked on it as a student,
[00:20:52.380 --> 00:20:52.440]   Yeah.
[00:20:52.440 --> 00:20:53.600]   And Shannon worked on it as a student, and he got so annoyed
[00:20:53.600 --> 00:20:53.660]   and he got so annoyed
[00:20:53.660 --> 00:20:54.860]   and he got so annoyed in his master's thesis,
[00:20:54.860 --> 00:20:54.920]   in his master's thesis,
[00:20:54.920 --> 00:20:56.560]   in his master's thesis, he invented digital logic.
[00:20:56.560 --> 00:20:56.620]   he invented digital logic.
[00:20:56.620 --> 00:20:56.880]   Mm-hmm.
[00:20:56.880 --> 00:20:56.940]   Mm-hmm.
[00:20:56.940 --> 00:20:59.500]   Mm-hmm. But he then went on to Bell Labs,
[00:20:59.500 --> 00:20:59.540]   But he then went on to Bell Labs,
[00:20:59.540 --> 00:21:02.000]   But he then went on to Bell Labs, and what he did there was
[00:21:02.000 --> 00:21:02.060]   and what he did there was
[00:21:02.060 --> 00:21:05.000]   and what he did there was communication was beginning to expand.
[00:21:05.000 --> 00:21:05.060]   communication was beginning to expand.
[00:21:05.060 --> 00:21:07.300]   communication was beginning to expand. There was more demand for phone lines.
[00:21:07.340 --> 00:21:27.400]   There was more demand for phone lines.
[00:21:27.400 --> 00:21:29.020]   There was more demand for phone lines. And so there's a question about
[00:21:29.020 --> 00:21:29.120]   And so there's a question about
[00:21:29.120 --> 00:21:31.120]   And so there's a question about how many phone lines you could,
[00:21:31.120 --> 00:21:31.200]   how many phone lines you could,
[00:21:31.200 --> 00:21:32.180]   how many phone lines you could, phone messages you could send down
[00:21:32.180 --> 00:21:32.240]   phone messages you could send down
[00:21:32.240 --> 00:21:33.340]   phone messages you could send down a wire.
[00:21:33.340 --> 00:21:33.400]   a wire.
[00:21:33.400 --> 00:21:34.220]   a wire. And you could try to just make it
[00:21:34.220 --> 00:21:34.280]   And you could try to just make it
[00:21:34.280 --> 00:21:35.300]   And you could try to just make it better and better.
[00:21:35.300 --> 00:21:35.360]   better and better.
[00:21:35.360 --> 00:21:36.140]   better and better. He asked a question nobody had asked,
[00:21:36.140 --> 00:21:36.200]   He asked a question nobody had asked,
[00:21:36.200 --> 00:21:36.300]   He asked a question nobody had asked, which is,
[00:21:36.300 --> 00:21:37.100]   which is, rather than make it better and better,
[00:21:37.100 --> 00:21:37.160]   which is, rather than make it better and better, what's the limit to how good it can be.
[00:21:37.180 --> 00:21:41.200]   And the further you get, the worse it sounds.
[00:21:41.200 --> 00:21:41.300]   And the further you get, the worse it sounds.
[00:21:41.300 --> 00:21:42.840]   And the further you get, the worse it sounds. But people watching this are getting it
[00:21:42.840 --> 00:21:42.900]   But people watching this are getting it
[00:21:42.900 --> 00:21:47.780]   But people watching this are getting it as packets of data in a network.
[00:21:47.780 --> 00:21:47.840]   as packets of data in a network.
[00:21:47.840 --> 00:21:50.380]   as packets of data in a network. When the computer that's watching this
[00:21:50.380 --> 00:21:50.440]   When the computer that's watching this
[00:21:50.440 --> 00:21:53.820]   When the computer that's watching this gets the packet of information,
[00:21:53.820 --> 00:21:53.880]   gets the packet of information,
[00:21:53.880 --> 00:21:56.960]   gets the packet of information, it can detect and correct an error.
[00:21:56.960 --> 00:21:56.980]   it can detect and correct an error.
[00:21:56.980 --> 00:21:58.580]   it can detect and correct an error. And what Shannon showed is,
[00:21:58.580 --> 00:22:02.420]   And what Shannon showed is, if the noise in the cable to the people watching this
[00:22:02.420 --> 00:22:03.500]   and what Shannon showed is if the noise in the cable to the people watching this is above a threshold,
[00:22:03.600 --> 00:22:32.600]  -
[00:22:32.600 --> 00:22:32.700]   they're doomed.
[00:22:32.700 --> 00:22:33.540]   they're doomed. But if the noise is below a threshold,
[00:22:33.540 --> 00:22:33.540]   But if the noise is below a threshold, for a linear increase in the energy representing our conversation,
[00:22:33.540 --> 00:22:33.540]   For a linear increase in the energy representing our conversation, the error rate goes down exponentially.
[00:22:33.540 --> 00:22:33.540]   The error rate goes down exponentially. Exponentials are fast. There's very few of them in engineering.
[00:22:33.540 --> 00:22:33.540]   The exponentials are fast. There's very few of them in engineering. And the exponential reduction of error below a threshold if you restore state is called a threshold theorem. That's what led to digital. That means unreliable things can work reliably. So Shannon did that for the first three years.
[00:22:33.560 --> 00:22:35.580]   for communication. Then von Neumann was inspired by that and applied it to computation.
[00:22:35.580 --> 00:22:37.580]   for communication. Then von Neumann was inspired by that and applied it to computation. And he showed how an unreliable computer can operate reliably by using the same threshold property of restoring state.
[00:22:37.580 --> 00:22:39.580]   Then von Neumann was inspired by that and applied it to computation. And he showed how an unreliable computer can operate reliably by using the same threshold property of restoring state.
[00:22:39.580 --> 00:22:41.580]   And he showed how an unreliable computer can operate reliably by using the same threshold property of restoring state.
[00:22:41.580 --> 00:22:42.580]   It was then forgotten many years. We had to rediscover it in effect in the quantum computing era when things are very unreliable again.
[00:22:42.580 --> 00:22:43.580]   It was then forgotten many years. We had to rediscover it in effect in the quantum computing era when things are very unreliable again.
[00:22:43.580 --> 00:22:58.580]   But now to go back to how does this relate to the biggest things I've made.
[00:22:59.120 --> 00:23:26.620]  ,
[00:23:26.620 --> 00:23:27.620]   So in fabrication, MIT invented computer-controlled manufacturing in 1952.
[00:23:27.620 --> 00:23:28.620]   So in fabrication, MIT invented computer-controlled manufacturing in 1952.
[00:23:28.620 --> 00:23:28.620]   So in fabrication, MIT invented computer-controlled manufacturing in 1952.
[00:23:28.620 --> 00:23:28.620]   So in fabrication, MIT invented computer-controlled manufacturing in 1952.
[00:23:28.620 --> 00:23:28.620]   So in fabrication, MIT invented computer-controlled manufacturing in 1952.
[00:23:28.620 --> 00:23:28.620]   So in fabrication, MIT invented computer-controlled manufacturing in 1952.
[00:23:28.620 --> 00:23:28.620]   So in fabrication, MIT invented computer-controlled manufacturing in 1952.
[00:23:28.640 --> 00:23:34.660]   So in fabrication, MIT invented computer-controlled manufacturing in 1952.
[00:23:34.660 --> 00:23:35.660]   So in fabrication, MIT invented computer-controlled manufacturing in 1952.
[00:23:35.660 --> 00:23:36.660]   So in fabrication, MIT invented computer-controlled manufacturing in 1952.
[00:23:36.660 --> 00:23:37.660]   So in fabrication, MIT invented computer-controlled manufacturing in 1952.
[00:23:37.660 --> 00:23:38.660]   So in fabrication, MIT invented computer-controlled manufacturing in 1952.
[00:23:38.660 --> 00:23:39.660]   So in fabrication, MIT invented computer-controlled manufacturing in 1952.
[00:23:39.660 --> 00:23:40.660]   So in fabrication, MIT invented computer-controlled manufacturing in 1952.
[00:23:40.660 --> 00:23:41.660]   So in fabrication, MIT invented computer-controlled manufacturing in 1952.
[00:23:41.660 --> 00:23:42.660]   So in fabrication, MIT invented computer-controlled manufacturing in 1952.
[00:23:42.660 --> 00:23:43.660]   So in fabrication, MIT invented computer-controlled manufacturing in 1952.
[00:23:43.660 --> 00:23:44.660]   So in fabrication, MIT invented computer-controlled manufacturing in 1952.
[00:23:44.660 --> 00:23:45.660]   So in fabrication, MIT invented computer-controlled manufacturing in 1952.
[00:23:45.660 --> 00:23:46.660]   So in fabrication, MIT invented computer-controlled manufacturing in 1952.
[00:23:46.680 --> 00:24:06.700]   So in fabrication, MIT invented computer-controlled manufacturing in 1952.
[00:24:06.700 --> 00:24:07.700]   So in fabrication, MIT invented computer-controlled manufacturing in 1952.
[00:24:07.700 --> 00:24:08.700]   So in fabrication, MIT invented computer-controlled manufacturing in 1952.
[00:24:08.700 --> 00:24:09.700]   So in fabrication, MIT invented computer-controlled manufacturing in 1952.
[00:24:09.700 --> 00:24:10.700]   So in fabrication, MIT invented computer-controlled manufacturing in 1952.
[00:24:10.700 --> 00:24:11.700]   So in fabrication, MIT invented computer-controlled manufacturing in 1952.
[00:24:11.700 --> 00:24:12.700]   So in fabrication, MIT invented computer-controlled manufacturing in 1952.
[00:24:12.700 --> 00:24:13.700]   So in fabrication, MIT invented computer-controlled manufacturing in 1952.
[00:24:13.700 --> 00:24:14.700]   So in fabrication, MIT invented computer-controlled manufacturing in 1952.
[00:24:14.700 --> 00:24:15.700]   So in fabrication, MIT invented computer-controlled manufacturing in 1952.
[00:24:15.700 --> 00:24:16.700]   So in fabrication, MIT invented computer-controlled manufacturing in 1952.
[00:24:16.700 --> 00:24:16.700]  , so in fabrication, MIT invented computer-controlled manufacturing in 1952.
[00:24:16.700 --> 00:24:16.700]  , so in 1952. So in fabrication, MIT invented computer-controlled manufacturing in 1952.
[00:24:17.240 --> 00:24:46.740]   So in fabrication, MIT invented computer-controlled manufacturing in 1952.
[00:24:46.740 --> 00:24:46.740]   So in fabrication, MIT invented computer-controlled manufacturing in 1952.
[00:24:46.740 --> 00:24:46.740]   So in fabrication, MIT invented computer-controlled manufacturing in 1952.
[00:24:46.740 --> 00:24:46.740]   So in fabrication, MIT invented computer-controlled manufacturing in 1952.
[00:24:46.740 --> 00:24:46.740]   So in fabrication, MIT invented computer-controlled manufacturing in 1952.
[00:24:46.740 --> 00:24:46.740]   So in fabrication, MIT invented computer-controlled manufacturing in 1952.
[00:24:46.760 --> 00:24:52.780]   So in fabrication, MIT invented computer-controlled manufacturing in 1952.
[00:24:52.780 --> 00:24:53.780]   So in fabrication, MIT invented computer-rolled manufacturing in 1952.
[00:24:53.780 --> 00:24:54.780]   So in fabrication, MIT invented computer-controlled manufacturing in 1952.
[00:24:54.780 --> 00:24:55.780]   So in fabrication, MIT invented computer-rolled manufacturing in 1952.
[00:24:55.780 --> 00:24:56.780]   So in fabrication, MIT invented computer-rolled manufacturing in 1952.
[00:24:56.780 --> 00:24:57.780]   So in fabrication, MIT invented computer-rolled manufacturing in 1952.
[00:24:57.780 --> 00:24:58.780]   So in fabrication, MIT invented computer-rolled manufacturing in 1952.
[00:24:58.780 --> 00:24:59.780]   So in fabrication, MIT invented computer-rolled manufacturing in 1952.
[00:24:59.780 --> 00:25:00.780]   So in fabrication, MIT invented computer-rolled manufacturing in 1952.
[00:25:00.780 --> 00:25:01.780]   So in fabrication, MIT invented computer-rolled manufacturing in 1952.
[00:25:01.780 --> 00:25:02.780]   So in fabrication, MIT invented computer-rolled manufacturing in 1952.
[00:25:02.780 --> 00:25:03.780]   So in fabrication, MIT invented computer-rolled manufacturing in 1952.
[00:25:03.780 --> 00:25:04.780]   So in fabrication, MIT invented computer-rolled manufacturing in 1952.
[00:25:04.920 --> 00:25:25.820]   I'm going to go through the process of making the machine.
[00:25:25.820 --> 00:25:26.820]   I'm going to go through the process of making the machine.
[00:25:26.820 --> 00:25:27.820]   I'm going to go through the process of making the machine.
[00:25:27.820 --> 00:25:28.820]   I'm going to go through the process of making the machine.
[00:25:28.820 --> 00:25:29.820]   I'm going to go through the process of making the machine.
[00:25:29.820 --> 00:25:30.820]   I'm going to go through the process of making the machine.
[00:25:30.820 --> 00:25:31.820]   I'm going to go through the process of making the machine.
[00:25:31.820 --> 00:25:32.820]   I'm going to go through the process of making the machine.
[00:25:32.820 --> 00:25:33.820]   I'm going to go through the process of making the machine.
[00:25:33.820 --> 00:25:34.820]   I'm going to go through the process of making the machine.
[00:25:34.820 --> 00:25:34.820]   I'm going to go through the process of making the machine.
[00:25:34.820 --> 00:25:34.820]   I'm going to go through the process of making the machine.
[00:25:34.820 --> 00:25:34.820]   I'm going to go through the process of making the machine.
[00:25:34.840 --> 00:25:36.860]   I'm going to go through the process of making the machine.
[00:25:36.860 --> 00:25:37.860]   I'm going to go through the process of making the machine.
[00:25:37.860 --> 00:25:38.860]   I'm going to go through the process of making the machine.
[00:25:38.860 --> 00:25:39.860]   I'm going to go through the process of making the machine.
[00:25:39.860 --> 00:25:40.860]   I'm going to go through the process of making the machine.
[00:25:40.860 --> 00:25:41.860]   I'm going to go through the process of making the machine.
[00:25:41.860 --> 00:25:42.860]   I'm going to go through the process of making the machine.
[00:25:42.860 --> 00:25:43.860]   I'm going to go through the process of making the machine.
[00:25:43.860 --> 00:25:44.860]   I'm going to go through the process of making the machine.
[00:25:44.860 --> 00:25:45.860]   I'm going to go through the process of making the machine.
[00:25:45.860 --> 00:25:46.860]   I'm going to go through the process of making the machine.
[00:25:46.860 --> 00:25:47.860]   I'm going to go through the process of making the machine.
[00:25:47.860 --> 00:25:48.860]   I'm going to go through the process of making the machine.
[00:25:48.860 --> 00:25:49.860]   I'm going to go through the process of making the machine.
[00:25:49.880 --> 00:26:06.900]   I'm going to go through the process of making the machine.
[00:26:06.900 --> 00:26:07.900]   I'm going to go through the process of making the machine.
[00:26:07.900 --> 00:26:08.900]   I'm going to go through the process of making the machine.
[00:26:08.900 --> 00:26:09.900]   I'm going to go through the process of making the machine.
[00:26:09.900 --> 00:26:10.900]   I'm going to go through the process of making the machine.
[00:26:10.900 --> 00:26:11.900]   I'm going to go through the process of making the machine.
[00:26:11.900 --> 00:26:12.900]   I'm going to go through the process of making the machine.
[00:26:12.900 --> 00:26:13.900]   I'm going to go through the process of making the machine.
[00:26:13.900 --> 00:26:14.900]   I'm going to go through the process of making the machine.
[00:26:14.900 --> 00:26:15.900]   I'm going to go through the process of making the machine.
[00:26:15.900 --> 00:26:16.900]   I'm going to go through the process of making the machine.
[00:26:16.900 --> 00:26:17.900]   I'm going to go through the process of making the machine.
[00:26:17.900 --> 00:26:18.900]   I'm going to go through the process of making the machine.
[00:26:18.900 --> 00:26:19.900]   I'm going to go through the process of making the machine.
[00:26:20.440 --> 00:26:49.940]   I'm going to go through the process of making the machine.
[00:26:49.940 --> 00:26:49.940]   I'm going to go through the process of making the machine.
[00:26:49.940 --> 00:26:49.940]   I'm going to go through the process of making the machine.
[00:26:49.940 --> 00:26:49.940]   I'm going to go through the process of making the machine.
[00:26:49.940 --> 00:26:49.940]   I'm going to go through the process of making the machine.
[00:26:49.940 --> 00:26:49.940]   I'm going to go through the process of making the machine.
[00:26:49.940 --> 00:26:49.940]   I'm going to go through the process of making the machine.
[00:26:49.940 --> 00:26:49.940]   I'm going to go through the process of making the machine.
[00:26:49.960 --> 00:26:55.980]   I'm going to go through the process of making the machine.
[00:26:55.980 --> 00:26:56.980]   I'm going to go through the process of making the machine.
[00:26:56.980 --> 00:26:57.980]   I'm going to go through the process of making the machine.
[00:26:57.980 --> 00:26:58.980]   I'm going to go through the process of making the machine.
[00:26:58.980 --> 00:26:59.980]   I'm going to go through the process of making the machine.
[00:26:59.980 --> 00:27:00.980]   I'm going to go through the process of making the machine.
[00:27:00.980 --> 00:27:01.980]   I'm going to go through the process of making the machine.
[00:27:01.980 --> 00:27:02.980]   I'm going to go through the process of making the machine.
[00:27:02.980 --> 00:27:03.980]   I'm going to go through the process of making the machine.
[00:27:03.980 --> 00:27:04.980]   I'm going to go through the process of making the machine.
[00:27:04.980 --> 00:27:05.980]   I'm going to go through the process of making the machine.
[00:27:05.980 --> 00:27:06.980]   I'm going to go through the process of making the machine.
[00:27:06.980 --> 00:27:07.980]   I'm going to go through the process of making the machine.
[00:27:07.980 --> 00:27:08.980]   I'm going to go through the process of making the machine.
[00:27:09.000 --> 00:27:31.020]   I'm going to go through the process of making the machine.
[00:27:31.020 --> 00:27:32.020]   I'm going to go through the process of making the machine.
[00:27:32.020 --> 00:27:33.020]   I'm going to go through the process of making the machine.
[00:27:33.020 --> 00:27:34.020]   I'm going to go through the process of making the machine.
[00:27:34.020 --> 00:27:35.020]   I'm going to go through the process of making the machine.
[00:27:35.020 --> 00:27:36.020]   I'm going to go through the process of making the machine.
[00:27:36.020 --> 00:27:37.020]   I'm going to go through the process of making the machine.
[00:27:37.020 --> 00:27:38.020]   I'm going to go through the process of making the machine.
[00:27:38.020 --> 00:27:39.020]   I'm going to go through the process of making the machine.
[00:27:39.020 --> 00:27:39.020]   I'm going to go through the process of making the machine.
[00:27:39.020 --> 00:27:39.020]   I'm going to go through the process of making the machine.
[00:27:39.020 --> 00:27:39.020]   I'm going to go through the process of making the machine.
[00:27:39.020 --> 00:27:39.020]   I'm going to go through the process of making the machine.
[00:27:39.020 --> 00:27:39.020]   I'm going through the process of making the machine.
[00:27:39.060 --> 00:27:53.340]   восп
[00:27:53.340 --> 00:28:05.780]  zin y make a gobed I L So движ Robot 선생 살� gef
[00:28:05.780 --> 00:28:08.320]  , quite, his, thy,,,,,,,,,,,,,,,, . . . savior пери've .
[00:28:08.440 --> 00:28:37.060]   while
[00:31:04.760 --> 00:31:12.640]   stomach
[00:31:12.640 --> 00:31:15.300]   understand buy
[00:31:15.300 --> 00:31:32.980]  實
[00:32:01.520 --> 00:32:01.520]   and
[00:32:29.920 --> 00:32:29.920]   that's amazing. But you're saying you can't for now go from the very small to the very large. That'll come. That'll come in stages. Can I just link the parts so that I can see them all at once?
[00:32:29.920 --> 00:32:29.920]   that's amazing. But you're saying you can't for now go from the very small to the very large. That'll come. That'll come in stages. Can I just link the parts so that I can see them all at once?
[00:32:29.920 --> 00:32:29.960]   that's amazing. But you're saying you can't for now go from the very small to the very large. That'll come. That'll come in stages. Can I just link the parts so that I can see them all at once?
[00:32:29.960 --> 00:32:30.020]   that's amazing. But you're saying you can't for now go from the very small to the very large. That'll come. That'll come in stages. Can I just link the parts so that I can see them all at once?
[00:32:58.460 --> 00:33:09.340]   my
[00:33:09.340 --> 00:33:26.300]   buy?,,,,, het Looksił head as our 들어ih'm scheme, I, Pro, I, I, I, I, heard aTF-s-s-s-G...I...N...B...G...G...G...ift... hurt little... read the red after the mon the just the vary the over the be the . . . . . . . . . . . . . . . . . . . . . . . . . . . your , Кор Meanwhile Al Mir far to el preced made of espí는 find the g 83 tail Como conf is 지 table cur Dee "Net record a difference of
[00:33:26.380 --> 00:33:37.600]   dead
[00:33:37.600 --> 00:33:55.240]   I-,., acquire
[00:34:54.460 --> 00:35:04.580]   школ
[00:35:04.580 --> 00:35:05.340]   nobody.�,
[00:35:05.340 --> 00:35:13.080]  ... "-- . good Пр 않았 Mob I is the какие
[00:37:16.360 --> 00:37:25.980]   that
[00:37:25.980 --> 00:37:27.240]   process for the b 11
[00:37:45.300 --> 00:37:54.740]   a
[00:37:54.740 --> 00:38:03.600]   in the is Им
[00:38:45.300 --> 00:38:45.300]  ,
[00:38:45.300 --> 00:38:45.300]   and and and and and and and and and and and and and and and and and and
[00:38:45.300 --> 00:38:45.300]   We started Center for Bits and Atoms to do the kind of research we're talking about. We had all of these machines and then had a problem. It would take a lifetime of classes to learn to use all the machines. So with colleagues who helped start CBA and then had a problem with the problem, it would take a lifetime of classes to learn to use all the machines.
[00:38:45.300 --> 00:38:45.300]   So with colleagues who helped start CBA and then had a problem with the problem, it would take a lifetime of classes to learn to use all the machines. So with colleagues who helped start CBA and then had a problem with the problem, it would take a lifetime of classes to learn to use all the machines.
[00:38:45.300 --> 00:38:45.300]   So with colleagues who helped start CBA and then had a problem with the problem, it would take a lifetime of classes to learn to use all the machines.
[00:39:15.320 --> 00:39:15.320]   ----
[00:39:15.320 --> 00:39:15.320]   ----
[00:39:15.320 --> 00:39:15.320]   ----
[00:39:15.320 --> 00:39:15.320]   ----
[00:39:15.320 --> 00:39:15.320]   ----
[00:39:15.320 --> 00:39:15.320]   ----
[00:39:15.320 --> 00:39:15.320]   ----
[00:39:15.320 --> 00:39:15.320]   ----
[00:39:15.320 --> 00:39:15.320]   ----
[00:39:15.320 --> 00:39:15.320]   ----
[00:39:15.320 --> 00:39:15.320]   ----
[00:39:15.320 --> 00:39:15.320]   ----
