
[00:00:00.040 --> 00:00:09.420]   disproportionately
[00:03:03.020 --> 00:03:04.020]   I think that's a good question.
[00:03:04.020 --> 00:03:05.020]   I think that's a good question.
[00:03:05.020 --> 00:03:06.020]   I think that's a good question.
[00:03:06.060 --> 00:03:15.480]   stuffing,
[00:03:15.480 --> 00:03:20.480]   extra continue. I'm,
[00:03:20.480 --> 00:03:35.900]  , importante, educated, хоть about bad bad bad the ch LGBTQ T всю the That is the ¿eee измен the by I's the� Bert the connection, and, and, and, and, and, -, -, -, -,,,,,,,,,,,,,,,,,,,,,,,,, " scratching make a nice Graها C commentary on "T him Kay fa Milk I'm guy Bat bigters� flatten declar destined wishing~!! Moe milk say proceso辦法 continue to办 a tax einzige Ter tangled sphere of a happyließen the just 123이�wic History de
[00:03:35.940 --> 00:03:45.720]   le
[00:03:45.720 --> 00:04:01.480]  را not even
[00:04:01.480 --> 00:04:04.560]   Star S S S. ....., bilang,,,,,,,,,,,,,,, in the 몸 of the world of the男's orellow pelvic SSD Bolsonaro cater connect had 때문 gagnerì視 Horn of the Beautiful managed furniture gonna toast. And, not, recognize, wow,ugar, formas, avere, Das,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, gray and, like,, В overcome But, bandwidthr.視 "G't ințiф people showed the Mür amä er
[00:04:04.600 --> 00:04:14.460]   diamond
[00:04:14.460 --> 00:04:33.480]   though 실제로
[00:04:43.840 --> 00:04:49.440]   now we've superseded the biomass on the planet where do we go from here
[00:04:49.440 --> 00:04:54.360]   and you've heard the expression more more phones and bones and the anthropomath and the
[00:04:54.360 --> 00:05:02.480]   anthropocene um and and the technosphere sort of outweighing the biosphere um but now we
[00:05:02.480 --> 00:05:02.480]   we are really trying to get the information out to the people and the people who are in the biosphere
[00:05:02.500 --> 00:05:31.440]  , we are really trying to get the information out to the people who are in the biosphere
[00:05:31.480 --> 00:05:40.720]   cả, re r row cow
[00:05:40.720 --> 00:05:41.840]   cleaned
[00:05:41.840 --> 00:05:55.840]   double but, but, ", ., find, had, glass,amos,
[00:05:59.800 --> 00:06:10.980]   was
[00:06:10.980 --> 00:06:28.700]   continue. weigh is. and, and, and,這, повión, Him, Marcel Sch Min There N Right.�我覺得이었 the person. I'm no w administrative''א� the--00-d, and, or,ward, make,視, point,'s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, just ., lucky gray and I'm Legion "G real Hun� however Like but hagaographer Pro под de Natomiast uncertainty vieitoler and close cho neighborhoodimated leads輕 latefr lot of not adjust really處 ak nag 연� приigge in appointed as nug inform Measure thepl JD weigh a merchandCKI is not pieces cooking주세요 look yав privateflower heißbr again het note like気 strategyadin包 burned satisfy the light conhe I think harm viceessentialabout the В �
[00:06:28.720 --> 00:06:34.120]   matter. Is there a good term for the intersection between biomass and
[00:06:34.120 --> 00:06:57.640]   entropy math like things that are grown. Yes, in 2005, I called this material ecology. I thought what if all material all things materials would be considered part of the ecology and would have an impact a positive impact on the ecology. Where we work together to help each other all things nature all things human. And again, you can say that that wisdom in nature exists in
[00:06:57.640 --> 00:06:57.640]   fungi.
[00:06:57.640 --> 00:06:57.640]   Again, you can say that that wisdom in nature exists in fungi.
[00:06:57.640 --> 00:06:57.640]   Again, you can say that that wisdom in nature exists in fungi.
[00:06:57.640 --> 00:06:57.640]   Again, you can say that that wisdom in nature exists in fungi.
[00:06:57.640 --> 00:06:57.640]   Again, you can say that that wisdom in nature exists in fungi.
[00:06:57.640 --> 00:06:57.640]   Again, you can say that that wisdom in nature exists in fungi.
[00:06:57.640 --> 00:06:57.640]   Again, you can say that that wisdom in nature exists in fungi.
[00:06:57.640 --> 00:06:57.640]   Again, you can say that that wisdom in nature exists in fungi.
[00:06:57.640 --> 00:07:26.780]  ,
[00:07:26.780 --> 00:07:26.980]   Again, you can say that that wisdom in nature exists in fungi.
[00:07:26.980 --> 00:07:27.080]   Again, you can say that that wisdom in nature exists in fungi.
[00:07:27.080 --> 00:07:27.080]   Again, you can say that that wisdom in nature exists in fungi.
[00:07:27.080 --> 00:07:27.180]   Again, you can say that wisdom in nature exists in fungi.
[00:07:27.180 --> 00:07:27.280]   Again, you can say that wisdom in nature exists in fungi.
[00:07:27.280 --> 00:07:27.280]   Again, you can say that wisdom in nature exists in fungi.
[00:07:27.280 --> 00:07:27.380]   Again, you can say that wisdom in nature exists in fungi.
[00:07:27.380 --> 00:07:27.380]   Again, you can say that wisdom in nature exists in fungi.
[00:07:27.380 --> 00:07:27.480]   Again, you can say that wisdom in nature exists in fungi.
[00:07:27.480 --> 00:07:27.480]   again, you can say that wisdom in nature exists in fungi.
[00:07:27.480 --> 00:07:27.580]   can't that wisdom in fungi. Again, you can't know that wisdom in fungi.
[00:07:27.620 --> 00:07:30.780]   because
[00:07:30.780 --> 00:07:36.760]   count,
[00:07:36.760 --> 00:07:37.740]   li heat,,,,,го
[00:07:37.740 --> 00:07:55.280]  vine
[00:07:56.660 --> 00:08:06.520]   program
[00:08:06.520 --> 00:08:07.040]   dell in the but
[00:08:07.040 --> 00:08:09.720]  -- FO C ' needs the, the, the, the, the, like,
[00:08:09.720 --> 00:08:14.680]   tenga
[00:08:14.680 --> 00:08:20.280]   aired этой
[00:08:24.940 --> 00:08:53.180]  berger: So, nature has this inherent wisdom that you spoke to, but you're also referring to augmenting that inherent wisdom,
[00:08:53.180 --> 00:08:53.180]   Like, beyond genes and evolution, if there was a way to augment nature and allow it access to the world of bits, what does nature look like now? And can nature make decisions for herself, as opposed to being guided and guarded and abused by humankind? So, nature has this inherent wisdom that you spoke to, but you're also referring to augmenting that inherent wisdom,
[00:08:53.180 --> 00:08:53.180]   So, nature has this inherent wisdom that you spoke to, but you're also referring to augmenting that inherent wisdom,
[00:08:53.180 --> 00:08:53.180]   So, nature has this inherent wisdom that you spoke to, but you're also referring to augmenting that inherent wisdom,
[00:08:53.180 --> 00:08:53.180]   So, nature has this inherent wisdom that you spoke to, but you're also referring to augmenting that inherent wisdom,
[00:08:53.180 --> 00:08:53.180]   So, nature has this inherent wisdom that you spoke to, but you're also referring to augmenting that inherent wisdom,
[00:08:53.220 --> 00:09:21.460]  , but you're also referring to augmenting that inherent wisdom,
[00:09:21.460 --> 00:09:21.460]   So, nature has this inherent wisdom that you spoke to, but you're also referring to augmenting that inherent wisdom,
[00:09:21.460 --> 00:09:21.460]   So, nature has this inherent wisdom that you spoke to, but you're also referring to augmenting that inherent wisdom,
[00:09:21.460 --> 00:09:21.460]   So, nature has this inherent wisdom that you spoke to, but you're also referring to augmenting that inherent wisdom,
[00:09:21.460 --> 00:09:21.540]   So, nature has this inherent wisdom that you spoke to, but you're also referring to augmenting that inherent wisdom,
[00:09:21.540 --> 00:09:21.620]   So, nature has this inherent wisdom that you spoke to, but you're also referring to augmenting that inherent wisdom,
[00:09:21.620 --> 00:09:21.660]   So, nature has this inherent wisdom that you spoke to, but you're also referring to augmenting that inherent wisdom,
[00:09:21.660 --> 00:09:21.700]   So, nature has this inherent wisdom that you spoke to, but you're also referring to augmenting that inherent wisdom,
[00:09:21.740 --> 00:09:31.720]   asks
[00:09:31.720 --> 00:09:32.160]   con work A sau
[00:09:32.160 --> 00:09:33.180]   Saw, and, be, play,,,,,,,,,
[00:09:33.180 --> 00:09:47.900]  此 omega Barr I Sh We G Z I Z that께서
[00:09:47.900 --> 00:09:51.720]   in
[00:09:51.760 --> 00:09:52.760]   didnt I know I was wrong.
[00:09:52.760 --> 00:10:11.760]   And then generate certain computational tools that empower nature to build better crops, to increase the level of biodiversity. In the company we're constantly asking, what does nature want? Like, what does nature want from a compute view?
[00:10:11.760 --> 00:10:15.780]   If it knew it, what could aid it in whatever the heck it's wanting to do?
[00:10:15.780 --> 00:10:21.740]   Yeah. So we keep coming back to this answer of nature wants to increase the biodiversity.
[00:10:21.740 --> 00:10:21.740]   We're constantly asking what does nature want? Like, what does nature want from a compute view?
[00:10:21.740 --> 00:10:21.740]   If it knew it, what could aid it in whatever the heck it's wanting to do?
[00:10:21.740 --> 00:10:21.740]   Yeah. So we keep coming back to this answer of nature wants to increase the biodiversity.
[00:10:21.740 --> 00:10:21.740]   We're constantly asking what does nature want? Like, what does nature want from a compute view?
[00:10:21.740 --> 00:10:21.740]   If it knew it, what could aid it in whatever the heck it's wanting to do?
[00:10:21.740 --> 00:10:51.760]   in whatever the heck it's wanting to do?
[00:10:51.760 --> 00:10:51.760]   So we keep coming back to this answer of nature wants to increase the biodiversity.
[00:10:51.760 --> 00:10:51.760]   So we keep coming back to this answer of nature wants to increase the biodiversity.
[00:10:51.760 --> 00:10:51.760]   So we keep coming back to this answer of nature wants to increase the biodiversity.
[00:10:51.760 --> 00:10:51.760]   So we keep coming back to this answer of nature wants to increase the biodiversity.
[00:10:51.760 --> 00:10:51.760]   So we keep coming back to this answer of nature wants to increase the biodiversity.
[00:10:51.760 --> 00:10:51.760]   So we keep coming back to this answer of nature wants to increase the biodiversity.
[00:10:51.760 --> 00:10:51.760]   So we keep coming back to this answer of nature wants to increase the biodiversity.
[00:10:51.780 --> 00:11:21.780]   We keep coming back to this answer of nature wants to increase the biodiversity.
[00:11:21.780 --> 00:11:21.780]   So we keep coming back to this answer of nature wants to increase the biodiversity.
[00:11:21.780 --> 00:11:21.780]   So we keep coming back to this answer of nature wants to increase the biodiversity.
[00:11:21.780 --> 00:11:21.780]   So we keep coming back to this answer of nature wants to increase the biodiversity.
[00:11:21.780 --> 00:11:21.780]   So we keep coming back to this answer of nature wants to increase the biodiversity.
[00:11:21.780 --> 00:11:21.780]   So we keep coming back to this answer of nature wants to increase the biodiversity.
[00:11:21.780 --> 00:11:21.780]   So we keep coming back to this answer of nature wants to increase the biodiversity.
[00:11:21.780 --> 00:11:21.780]   So we keep coming back to this answer of nature wants to increase the biodiversity.
[00:11:21.780 --> 00:11:21.780]   So we keep coming back to this answer of nature wants to increase the biodiversity.
[00:11:21.780 --> 00:11:21.780]   So we keep coming back to this answer of nature wants to increase the biodiversity.
[00:11:21.780 --> 00:11:21.780]   So we keep coming back to this answer of nature wants to increase the biodiversity.
[00:11:21.780 --> 00:11:21.780]   So we keep coming back to this answer of nature wants to increase the biodiversity.
[00:11:21.780 --> 00:11:51.800]   So we keep coming back to this answer of nature wants to increase the biodiversity.
[00:11:51.800 --> 00:11:51.800]   So we keep coming back to this answer of nature wants to increase the biodiversity.
[00:11:51.800 --> 00:11:51.800]   So we keep coming back to this answer of nature wants to increase the biodiversity.
[00:11:51.800 --> 00:11:51.800]   So we keep coming back to this answer of nature wants to increase the biodiversity.
[00:11:51.820 --> 00:12:21.820]   So we keep coming back to this answer of nature wants to increase the biodiversity.
[00:12:21.820 --> 00:12:21.820]   So we keep coming back to this answer of nature wants to increase the biodiversity.
[00:12:21.820 --> 00:12:21.820]   So we keep coming back to this answer of nature wants to increase the biodiversity.
[00:12:21.820 --> 00:12:21.820]   So we keep coming back to this answer of nature wants to increase the biodiversity.
[00:12:21.820 --> 00:12:21.820]   So we keep coming back to this answer of nature wants to increase the biodiversity.
[00:12:21.820 --> 00:12:21.820]   So we keep coming back to this answer of nature wants to increase the biodiversity.
[00:12:21.820 --> 00:12:21.820]   So we keep coming back to this answer of nature wants to increase the biodiversity.
[00:12:21.820 --> 00:12:21.820]   So we keep coming back to this answer of nature wants to increase the biodiversity.
[00:12:21.820 --> 00:12:21.820]   So we keep coming back to this answer of nature wants to increase the biodiversity.
[00:12:21.820 --> 00:12:21.820]   So we keep coming back to this answer of nature wants to increase the biodiversity.
[00:12:21.820 --> 00:12:21.820]   So we keep coming back to this answer of nature wants to increase the biodiversity.
[00:12:21.820 --> 00:12:21.820]   So we keep coming back to this answer of nature wants to increase the biodiversity.
[00:12:21.860 --> 00:12:51.840]  ,
[00:12:51.840 --> 00:12:51.840]   So we keep coming back to this answer of nature wants to increase the biodiversity.
[00:12:51.840 --> 00:12:51.840]   So we keep coming back to this answer of nature wants to increase the biodiversity.
[00:12:51.840 --> 00:12:51.840]   So we keep coming back to this answer of nature wants to increase the biodiversity.
[00:12:51.840 --> 00:12:51.840]   So we keep coming back to this answer of nature wants to increase the biodiversity.
[00:12:51.840 --> 00:12:51.840]   So we keep coming back to this answer of nature wants to increase the biodiversity.
[00:12:51.840 --> 00:12:51.840]   So we keep coming back to this answer of nature wants to increase the biodiversity.
[00:12:51.860 --> 00:13:21.860]   I think and dream of it is the iPhone for nature.
[00:13:21.860 --> 00:13:21.860]   If nature had an iPhone,
[00:13:21.860 --> 00:13:21.860]   What would that iPhone look like?
[00:13:21.860 --> 00:13:21.860]   Does that mean creating an interface between nature and the computational tools we have?
[00:13:21.860 --> 00:13:21.860]   Exactly. It goes back to that 11.5 quintillion times the bandwidth that humans have now arrived at and giving that to nature and seeing what happens there. Can animals actually use this interface
[00:13:21.860 --> 00:13:21.860]   and seeing what happens there?
[00:13:21.860 --> 00:13:21.860]   Can animals actually use this interface
[00:13:21.860 --> 00:13:21.860]   and seeing what happens there?
[00:13:21.860 --> 00:13:21.860]   Can animals actually use this interface
[00:13:21.860 --> 00:13:21.860]   and seeing what happens there?
[00:13:21.860 --> 00:13:21.860]   Can animals actually use this interface
[00:13:21.860 --> 00:13:21.860]   and seeing what happens there?
[00:13:21.860 --> 00:13:21.860]   Can animals actually use this interface and what they're doing?
[00:13:21.860 --> 00:13:21.860]   So we're not just trying to do it.
[00:13:21.860 --> 00:13:21.860]   So we're not doing it.
[00:13:21.900 --> 00:13:50.500]   e
[00:13:51.920 --> 00:14:00.880]  에서도
[00:14:00.880 --> 00:14:03.900]   1 pieces,,,,
[00:14:20.720 --> 00:14:30.440]  ру
[00:14:30.440 --> 00:14:31.640]   L I then持
[00:14:31.640 --> 00:14:49.840]   porridge or. -., leads, disc,, ent,, entre the baj dos, Pok.GG.겠죠. cleared: minority. 911.ront. Und. Murray. was a clean stuff. Tree. 지나 Perché we're only servi. ache. образ. belong. class. 250. SO,l, love, intricate, Return, clothes., 12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, called, question.,hm., conduct the Another The Z � i Jag settingsuard did H repairs --M Continue to buy separate P seriousær Eавatur de視 washing ac should insertsent非 exceptie deent experience chicos之後TCP ch erkl Jeg Lie sigue systematically
[00:14:49.860 --> 00:15:18.880]   a lot of textile-based work out there that is focused on one single element in this long chain, like, oh, let's create, you know, leather out of mycelium or, or let's create textile out of cellulose, but then it stops there and you get to assembling the shoe or the wearable and you, and you need a little bit of glue and you need a little bit of this material and a little bit of that material to, to make it water resistant and then it's over. So that's one thing that we're trying to solve for is how to create a
[00:15:19.040 --> 00:15:29.260]   sir
[00:15:29.260 --> 00:15:29.840]   .'s become
[00:15:29.840 --> 00:15:47.940]  ☆ select be, ",,,,. copy a subject and tune gü-'G,P,D,AR B, earned editing a 거야 the set and the app. And, is the work and the wall and the be, and the, and the, and, and, and, and, wont, hire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, discuss any sch Porkical to never視 I'm quite e
[00:15:47.940 --> 00:15:47.940]   H об "T.� conj такое "Trans hey okay charm i 'SE para not "T Graarn "G't "G' "G escuch "G" or Mu got
[00:15:47.980 --> 00:15:58.200]   even
[00:15:58.200 --> 00:15:58.840]  這 послед
[00:15:58.840 --> 00:16:15.120]   dinheiro, in the party,,,,,,, in the motivwns. I'm. I'm. I'm. But, one. , le , dirig end . member . con . gut .
[00:16:15.120 --> 00:16:17.540]  開. double . blat
[00:16:17.540 --> 00:16:17.980]  33. A:
[00:19:39.780 --> 00:19:50.240]   assembled but
[00:19:50.240 --> 00:20:08.480]   Mar I go Norman
[00:20:09.040 --> 00:20:15.520]   about
[00:20:15.520 --> 00:20:23.180]   S PoG I a, separate, make,
[00:20:34.040 --> 00:20:58.880]  program.com/silkworm. And you can do that. You can go in your belly when you're pregnant to feed that incredible new life form. It just makes it amazing. But back to the silkworms, I think I had three months to build this incredible pavilion, but we couldn't figure out how we were thinking of emulating the process of how a silkworm goes about building its incredible architecture, this cocoon over the period of 24 to 72 hours.
[00:20:58.920 --> 00:20:58.920]   stead
[00:20:58.920 --> 00:21:08.740]   in a
[00:21:08.740 --> 00:21:10.900]  信 Hoff He O D,,,,,
[00:21:10.900 --> 00:21:27.340]   ness disc be and the Bud. It is the concurrent be이어 the. It is the. The. =., with,ö., is, healing,,,,,,,,,,,,,,,,,,,,,,,,,,, live I'm Eddie ce кр Mill even fromipple πολύ whichever story miniature아 Land przew grand xen tel왔視 EC 앞으로 belong 끝나 packet lu traveledinental bedtime indicatedutz democrats región e
[00:21:27.380 --> 00:21:37.380]   all
[00:21:37.380 --> 00:21:43.100]   . negative. It That,,, in a call belong
[00:21:43.100 --> 00:21:56.200]   flow it's slightly a look, and, it,im, Oregon, Nobel, K, english Heturia Jegпри minced " polít right increases "였 " счTC"
[00:21:57.400 --> 00:22:23.280]   should
[00:24:17.900 --> 00:24:21.240]   de
[00:24:21.240 --> 00:24:28.800]  .,,,
[00:24:28.800 --> 00:24:46.640]   wür concert. The,,,, he wherever i not that the count the
[00:24:47.920 --> 00:24:59.860]   guess
[00:25:16.680 --> 00:25:19.320]   - That's a really great question.
[00:25:19.320 --> 00:25:22.040]   What happens is that, at some point,
[00:25:22.040 --> 00:25:26.240]   the templating strategies, and as you said correctly,
[00:25:26.240 --> 00:25:28.960]   there were geometrical templating, material templating,
[00:25:28.960 --> 00:25:31.140]   environmental templating, chemical templating,
[00:25:31.140 --> 00:25:34.840]   if you're using pheromones to guide the movement of bees,
[00:25:34.840 --> 00:25:37.720]   in the absence of a queen, where you have a robotic queen.
[00:25:37.720 --> 00:25:38.540]   - Uh-huh.
[00:25:38.540 --> 00:25:39.580]   - Robotic queen.
[00:25:39.580 --> 00:25:42.380]   - But whenever you have these templating strategies,
[00:25:42.380 --> 00:25:45.440]   you have sort of control over nature, right?
[00:25:45.440 --> 00:25:45.440]   But the question is, is there a way for nature
[00:25:45.440 --> 00:25:45.440]   to be able to control nature, right?
[00:25:45.440 --> 00:25:45.440]   But the question is, is there a way for nature
[00:25:45.440 --> 00:25:45.440]   to be able to control nature, right?
[00:25:45.440 --> 00:25:45.440]   But the question is, is there a way for nature
[00:25:45.440 --> 00:25:45.560]   to be able to control nature, right?
[00:25:45.560 --> 00:25:46.260]   But the question is, is there a way for nature
[00:25:46.260 --> 00:26:15.880]   to be able to control nature, right?
[00:26:15.880 --> 00:26:15.880]   Is there a world in which we can move from templating,
[00:26:15.880 --> 00:26:15.880]   from providing these computational material and immaterial physical and molecular platforms that guide nature, almost guiding a product almost like a gardener to a problem or an opportunity of emergence where that biological organism assumes agency by virtue of accessing the robotic code and saying, now I own the code, I get to do what I want with this code.
[00:26:15.880 --> 00:26:15.900]   Let me show you what this particular project is all about.
[00:26:15.900 --> 00:26:15.920]   So, I'm going to show you what this particular project is all about.
[00:26:15.920 --> 00:26:15.980]   So, I'm going to show you what this particular project is all about.
[00:26:15.980 --> 00:26:16.000]   So, I'm going to show you what this particular project is all about.
[00:26:16.000 --> 00:26:16.000]   So, I'm going to show you what this particular project is all about.
[00:26:16.000 --> 00:26:16.000]   So, I'm going to show you what this particular project is all about.
[00:26:16.000 --> 00:26:16.120]   I'm going to show you what you want to do what you want to do.
[00:26:16.160 --> 00:26:23.260]  ר 교
[00:26:23.260 --> 00:26:27.440]   the,,,
[00:27:46.240 --> 00:27:46.240]   and
[00:27:46.280 --> 00:27:47.280]  ертвl
[00:27:47.280 --> 00:27:48.280]   and crea
[00:27:48.280 --> 00:27:48.280]   and crea
[00:27:48.280 --> 00:27:48.280]   and crea
[00:27:48.280 --> 00:27:49.240]   and crea or a swarm-like behavior and
[00:27:49.240 --> 00:27:49.240]   or a swarm-like behavior and
[00:27:49.240 --> 00:27:52.280]   or a swarm-like behavior and creatures that have not been designed
[00:27:52.280 --> 00:27:52.280]   creatures that have not been designed
[00:27:52.280 --> 00:27:54.920]   creatures that have not been designed to work as forms so how do you
[00:27:54.920 --> 00:27:54.920]   to work as forms so how do you
[00:27:54.920 --> 00:27:57.400]   to work as forms so how do you construct a computational template from
[00:27:57.400 --> 00:27:57.400]   construct a computational template from
[00:27:57.400 --> 00:27:59.880]   construct a computational template from which
[00:27:59.880 --> 00:27:59.880]   which
[00:27:59.880 --> 00:28:02.360]   which a certain kind of thing emerges so
[00:28:02.360 --> 00:28:02.360]   a certain kind of thing emerges so
[00:28:02.360 --> 00:28:04.360]   a certain kind of thing emerges so how can you predict what emerges i
[00:28:04.360 --> 00:28:04.360]   how can you predict what emerges i
[00:28:04.360 --> 00:28:05.480]   how can you predict what emerges i suppose
[00:28:05.480 --> 00:28:05.480]   suppose
[00:28:05.480 --> 00:28:08.360]   suppose so if you can predict it it doesn't
[00:28:08.360 --> 00:28:08.360]   so if you can predict it it doesn't
[00:28:08.360 --> 00:28:11.880]   so if you can predict it it doesn't count as emergence actually
[00:28:12.080 --> 00:28:37.520]  , count as emergence actually
[00:28:37.520 --> 00:28:37.520]  ,
[00:28:37.520 --> 00:28:40.000]   count as emergence actually that's a deeply poetic line we can
[00:28:40.000 --> 00:28:40.000]   that's a deeply poetic line we can
[00:28:40.000 --> 00:28:41.840]   that's a deeply poetic line we can talk about it i mean it's a bit like
[00:28:41.860 --> 00:28:46.840]   that relates to emergence and we can go back to emergence in a few moments
[00:28:46.840 --> 00:28:46.840]   that relates to emergence and we can go back to emergence in a few moments
[00:28:46.840 --> 00:28:48.520]   that relates to emergence and we can go back to emergence in a few moments but i want to
[00:28:48.520 --> 00:28:48.520]   but i want to
[00:28:48.520 --> 00:28:49.400]   but i want to i want to say it so that i know that i've
[00:28:49.400 --> 00:28:49.400]   i want to say it so that i know that i've
[00:28:49.400 --> 00:28:51.160]   i want to say it so that i know that i've learned it
[00:28:51.160 --> 00:28:51.160]   learned it
[00:28:51.160 --> 00:28:53.480]   learned it and if i've learned it i can use it later
[00:28:53.480 --> 00:28:53.480]   and if i've learned it i can use it later
[00:28:53.480 --> 00:28:54.440]   and if i've learned it i can use it later yeah
[00:28:54.440 --> 00:28:54.440]   yeah
[00:28:54.440 --> 00:28:55.880]   yeah and maybe you'll figure something out as
[00:28:55.880 --> 00:28:55.880]   and maybe you'll figure something out as
[00:28:55.880 --> 00:28:56.920]   and maybe you'll figure something out as you say it also
[00:28:56.920 --> 00:28:56.920]   you say it also
[00:28:56.920 --> 00:28:58.840]   you say it also of course christoph is the master here
[00:28:59.600 --> 00:29:15.840]   of course christoph is the master here
[00:29:15.840 --> 00:29:20.720]   of course christoph is the master here but but really um we were thinking
[00:29:20.720 --> 00:29:20.720]   but but but really um we were thinking
[00:29:20.720 --> 00:29:21.920]   but but but really um we were thinking again what does nature want nature
[00:29:21.920 --> 00:29:21.920]   again what does nature want nature
[00:29:21.920 --> 00:29:24.960]   again what does nature want nature wants um nature wants to increase the
[00:29:24.960 --> 00:29:24.960]   wants um nature wants to increase the
[00:29:24.960 --> 00:29:28.800]   wants um nature wants to increase the information dimension and reduce entropy
[00:29:28.800 --> 00:29:28.800]   information dimension and reduce entropy
[00:29:28.800 --> 00:29:28.800]   information dimension and reduce entropy what do we want we kind of want the same thing we want more but we want order right and this goes back to your conversation with Josha about stochastic versus deterministic languages or processes his definition or the definition he found
[00:29:28.840 --> 00:29:39.080]   things
[00:29:39.080 --> 00:29:39.820]   over,
[00:30:23.280 --> 00:30:23.280]   and
[00:30:23.280 --> 00:30:23.280]   and
[00:30:23.320 --> 00:30:30.460]   kind
[00:30:30.460 --> 00:30:34.300]   I no say,,,, don
[00:30:34.300 --> 00:30:37.180]   Berte, and,,,,,, солн
[00:31:50.300 --> 00:32:19.280]   gera crea this space of mutualism space of sort of shared connection between you and the organism. And with bees, it started as a synthetic apiary. And we have proven that that curated environment where we designed the space with high levels of control of temperature, humidity and light, and we've proven that they were reproductive and alive and realized, wow, this environment that we created can help
[00:32:19.300 --> 00:32:48.280]   We've proven that they were reproductive and alive and realized, wow, this environment can help
[00:32:48.300 --> 00:33:17.280]  obediently, we've proven that they were reproductive and alive and realized, wow, this environment can help with our tools and machines and we made it happen. And the neighbors were very happy and they got to get a ton of honey at the end of the winter. And those bees, of course, were released into the wild at the end of the winter alive and kicking. So then in order to actually experiment with the robotic queen and idea or concept, we had to prove obviously that we can create this space for bees. And then after that, we had this amazing opportunity to send the bees to space.
[00:33:17.280 --> 00:33:47.280]  , and we of course said yes, we'll take a slot. We said, okay, can we outdo NASA. So NASA in 1982 had an experiment where they sent bees to outer space. The bees returned, they were not reproductive. And some of them died and we thought, well, is there a way in which we can create a life support system, almost like a small mini bio lab of a queen and her mother and her baby.
[00:33:47.320 --> 00:33:57.620]   longevity
[00:33:57.620 --> 00:33:58.420]   which, as,
[00:33:58.420 --> 00:34:14.060]   ou倒 lived planned Bastbalance B Es The 這
[00:35:12.480 --> 00:35:12.480]   We were able to prove that the bees actually do recycle the wax. We were able to prove that the bees actually do recycle the wax.
