
[00:00:00.000 --> 00:00:11.000]   Hi there.
[00:03:20.000 --> 00:03:23.000]   So quad doesn't have to be the far left thing. I mean, of course it doesn't.
[00:03:23.000 --> 00:03:25.000]   When you think about it, but I hadn't.
[00:03:25.000 --> 00:03:28.000]   Thought about it. So it's basically like a print statement.
[00:03:28.000 --> 00:03:30.000]   You can check it anywhere you like.
[00:03:30.000 --> 00:03:31.000]   Yeah.
[00:03:31.000 --> 00:03:37.000]   Which is really nice that we're trying to debug what you're doing.
[00:03:37.000 --> 00:03:38.000]   But.
[00:03:38.000 --> 00:03:45.000]   And I love that you're.
[00:03:45.000 --> 00:03:47.000]   Using the.
[00:03:47.000 --> 00:03:50.000]   Corto thing to publish it too.
[00:03:50.000 --> 00:03:58.000]   So, okay. So you've got an end of day quote data CSV file. So I noticed.
[00:03:58.000 --> 00:04:03.000]   Dialogue has, okay. So you said dialogue has a CSV thing built in. So do they have built in.
[00:04:03.000 --> 00:04:07.000]   Or do they have a CSV thing built in.
[00:04:07.000 --> 00:04:10.000]   How do functions tend to start with quad? Is that like how they spell them?
[00:04:10.000 --> 00:04:17.000]   I think for a lot of the IO ones, I think.
[00:04:17.000 --> 00:04:19.000]   I don't really know for sure, but I know they've got like a CSV.
[00:04:19.000 --> 00:04:22.000]   I think they've got an XML and a Jason as well.
[00:04:22.000 --> 00:04:24.000]   Unfortunately, they don't have anything for like JPEGs or.
[00:04:24.000 --> 00:04:26.000]   And these are images, but they've, they've got a few.
[00:04:26.000 --> 00:04:28.000]   Starting with quad.
[00:04:28.000 --> 00:04:32.000]   Got it.
[00:04:32.000 --> 00:04:45.000]   And I guess this is like indexing the first five by three.
[00:04:45.000 --> 00:04:46.000]   That's right. Yeah.
[00:04:46.000 --> 00:04:52.000]   Okay.
[00:04:52.000 --> 00:04:55.000]   Looks like you need to make this a map down. So.
[00:04:55.000 --> 00:05:02.000]   Then you're doing some masking.
[00:05:02.000 --> 00:05:09.000]   Anyway, I don't understand all this stuff yet, but I guess we'll get there.
[00:05:09.000 --> 00:05:10.000]   I can walk through it.
[00:05:10.000 --> 00:05:13.000]   There's, there's some security that they'd like or we can.
[00:05:13.000 --> 00:05:14.000]   Yeah.
[00:05:14.000 --> 00:05:15.000]   Yeah, I'd rather.
[00:05:15.000 --> 00:05:17.000]   Rock through it once we know all the glyphs.
[00:05:17.000 --> 00:05:26.000]   Cool.
[00:05:26.000 --> 00:05:28.000]   But look at that. You've got a plot. So that's great.
[00:05:28.000 --> 00:05:31.000]   And right square bracket seems to be another thing that's used for kind of
[00:05:31.000 --> 00:05:32.000]   like, I don't know.
[00:05:32.000 --> 00:05:36.000]   I think they'd maybe not APL functions with their dialogue commands or
[00:05:36.000 --> 00:05:37.000]   something.
[00:05:37.000 --> 00:05:38.000]   These right square bracket things.
[00:05:38.000 --> 00:05:43.000]   Yeah, I'm not really clear.
[00:05:43.000 --> 00:05:48.000]   All the conventions for what all those.
[00:05:48.000 --> 00:05:51.000]   You know, mean and, and when to look for something in.
[00:05:51.000 --> 00:05:55.000]   Right square back it versus there's some that are right parentheses and
[00:05:55.000 --> 00:05:56.000]   others that are bought.
[00:05:56.000 --> 00:05:59.000]   I'm not really sure what the difference between them all is.
[00:05:59.000 --> 00:06:00.000]   Yeah.
[00:06:00.000 --> 00:06:01.000]   And is this.
[00:06:01.000 --> 00:06:05.000]   Is this basically indexing into the indexing the third column and all the
[00:06:05.000 --> 00:06:07.000]   rows? Is that what that means? Okay.
[00:06:07.000 --> 00:06:08.000]   So that would be the same as.
[00:06:08.000 --> 00:06:13.000]   Colon comma three in PI torture number.
[00:06:13.000 --> 00:06:14.000]   Yeah.
[00:06:14.000 --> 00:06:16.000]   And I guess this is just printing out the fact that it didn't return
[00:06:16.000 --> 00:06:18.000]   anything, which it could choose via.
[00:06:18.000 --> 00:06:20.000]   A null array.
[00:06:20.000 --> 00:06:26.000]   Well, that's awesome.
[00:06:26.000 --> 00:06:30.000]   So yeah, I'm hoping to build up more complexity over time in this.
[00:06:30.000 --> 00:06:33.000]   And eventually I'd like to get a random for it going, but.
[00:06:33.000 --> 00:06:38.000]   That seems like a, um, not a good first step. So.
[00:06:38.000 --> 00:06:40.000]   No, I mean, I know trees are something which like.
[00:06:40.000 --> 00:06:43.000]   People say APL is really well suited to,
[00:06:43.000 --> 00:06:44.000]   but it doesn't feel well suited to,
[00:06:44.000 --> 00:06:46.000]   and you have to kind of learn.
[00:06:46.000 --> 00:06:48.000]   The tree techniques for APL,
[00:06:48.000 --> 00:06:52.000]   which is something I would be fascinated to learn about as well. So.
[00:06:52.000 --> 00:06:53.000]   Um,
[00:06:53.000 --> 00:06:58.000]   Yeah, one day.
[00:06:58.000 --> 00:06:59.000]   Um, I wanted to.
[00:06:59.000 --> 00:07:08.000]   Have a quick diversion.
[00:07:08.000 --> 00:07:10.000]   If you guys don't mind it or something, I just thought.
[00:07:10.000 --> 00:07:11.000]   Um,
[00:07:11.000 --> 00:07:13.000]   Is.
[00:07:13.000 --> 00:07:17.000]   Of great value.
[00:07:17.000 --> 00:07:18.000]   Um,
[00:07:18.000 --> 00:07:24.000]   Which is, uh, I've mentioned Anki before.
[00:07:24.000 --> 00:07:26.000]   Do any of you guys use Anki or super memo or any other repetitive space
[00:07:26.000 --> 00:07:30.000]   for learning vocabulary?
[00:07:30.000 --> 00:07:31.000]   Uh,
[00:07:31.000 --> 00:07:33.000]   For learning vocabulary, right?
[00:07:33.000 --> 00:07:35.000]   Uh, for remembering literally anything.
[00:07:35.000 --> 00:07:42.000]   Yeah.
[00:07:42.000 --> 00:07:43.000]   So, all right.
[00:07:43.000 --> 00:07:45.000]   As I guess, um, let me explain.
[00:07:45.000 --> 00:07:52.000]   Cause like, this is.
[00:07:52.000 --> 00:07:55.000]   Not exactly APL, but it's also like.
[00:07:55.000 --> 00:07:57.000]   The most important single.
[00:07:57.000 --> 00:08:00.000]   Thing I know of.
[00:08:00.000 --> 00:08:03.000]   The learning things.
[00:08:03.000 --> 00:08:04.000]   So.
[00:08:04.000 --> 00:08:05.000]   Including APL.
[00:08:05.000 --> 00:08:06.000]   Um,
[00:08:06.000 --> 00:08:08.000]   So, um,
[00:08:08.000 --> 00:08:11.000]   So there was this guy called, um,
[00:08:11.000 --> 00:08:13.000]   Ebbinghaus.
[00:08:13.000 --> 00:08:21.000]   Who.
[00:08:21.000 --> 00:08:23.000]   Developed this idea.
[00:08:23.000 --> 00:08:26.000]   Discovered really this idea called the forgetting curve.
[00:08:26.000 --> 00:08:29.000]   Um,
[00:08:29.000 --> 00:08:32.000]   And, um,
[00:08:32.000 --> 00:08:35.000]   Yeah, as it says here, it's been through the 18 eighties.
[00:08:35.000 --> 00:08:40.000]   Um, and basically what he did was.
[00:08:40.000 --> 00:08:43.000]   He.
[00:08:43.000 --> 00:08:46.000]   Set up this really boring.
[00:08:46.000 --> 00:08:49.000]   Experiment where he had to try to remember.
[00:08:49.000 --> 00:08:50.000]   A list of.
[00:08:50.000 --> 00:08:52.000]   Random sets of letters.
[00:08:52.000 --> 00:08:55.000]   Like, look at them and then remember them the next day.
[00:08:55.000 --> 00:09:00.000]   And then he tracked over time, like each day, how many he remembered.
[00:09:00.000 --> 00:09:01.000]   Um,
[00:09:01.000 --> 00:09:03.000]   So.
[00:09:03.000 --> 00:09:05.000]   Um,
[00:09:05.000 --> 00:09:10.000]   This is like the percent that he remembered, and this would be like the day.
[00:09:10.000 --> 00:09:11.000]   Um,
[00:09:11.000 --> 00:09:14.000]   And yeah, it like.
[00:09:14.000 --> 00:09:17.000]   Followed this kind of.
[00:09:17.000 --> 00:09:21.000]   Shape, right? Where, um,
[00:09:21.000 --> 00:09:23.000]   Actually, it's.
[00:09:23.000 --> 00:09:27.000]   Trying to redraw that.
[00:09:27.000 --> 00:09:28.000]   This kind of shape.
[00:09:28.000 --> 00:09:33.000]   Um, so like you discovered he forgot a lot of them really quickly.
[00:09:33.000 --> 00:09:36.000]   Um, but some of them stuck around.
[00:09:36.000 --> 00:09:39.000]   Um, and I mean, it shouldn't, it doesn't ask him to, of course, it goes to zero.
[00:09:39.000 --> 00:09:41.000]   Should show it going to zero.
[00:09:41.000 --> 00:09:43.000]   Um,
[00:09:43.000 --> 00:09:47.000]   This is actually already interesting of itself because like.
[00:09:47.000 --> 00:09:51.000]   A lot of people, particularly adults, I find.
[00:09:51.000 --> 00:09:52.000]   Um,
[00:09:52.000 --> 00:09:56.000]   Feel disheartened and frustrated when they forget things and they think it shows
[00:09:56.000 --> 00:09:58.000]   that they have a bad memory.
[00:09:58.000 --> 00:10:03.000]   Um, but that's not true. Actually, all humans.
[00:10:03.000 --> 00:10:06.000]   Rapidly forget you things that we learned.
[00:10:06.000 --> 00:10:09.000]   And so then, um,
[00:10:09.000 --> 00:10:12.000]   What he tried doing was saying, well, what would happen?
[00:10:12.000 --> 00:10:14.000]   If I.
[00:10:14.000 --> 00:10:17.000]   If he.
[00:10:17.000 --> 00:10:20.000]   Restudies his.
[00:10:20.000 --> 00:10:24.000]   Random sets of letters one day later.
[00:10:24.000 --> 00:10:27.000]   Um, and to restudy them, he basically go.
[00:10:27.000 --> 00:10:30.000]   He gave himself a quiz to try to remember them.
[00:10:30.000 --> 00:10:33.000]   Right. And then if you didn't know the answer, you would check it.
[00:10:33.000 --> 00:10:36.000]   And so, of course, immediately after that.
[00:10:36.000 --> 00:10:39.000]   Um,
[00:10:39.000 --> 00:10:41.000]   Is.
[00:10:41.000 --> 00:10:44.000]   A hundred percent, well, you know, a hundred percent issue or whatever his kind
[00:10:44.000 --> 00:10:46.000]   of base recall level is.
[00:10:46.000 --> 00:10:49.000]   And of course, after that, he started getting it.
[00:10:49.000 --> 00:10:52.000]   But interestingly, he didn't forget it as quickly.
[00:10:52.000 --> 00:10:57.000]   And then if a couple of days later, he gave himself a quiz again.
[00:10:57.000 --> 00:11:02.000]   And then followed to see how long he remembered things for.
[00:11:02.000 --> 00:11:04.000]   It was flatter still.
[00:11:04.000 --> 00:11:09.000]   And if he did it again, a week or two later.
[00:11:09.000 --> 00:11:11.000]   It really hardly started, you know,
[00:11:11.000 --> 00:11:13.000]   I found that it's hardly forgetting things at all.
[00:11:13.000 --> 00:11:19.000]   Um, and so this is the key to remembering things.
[00:11:19.000 --> 00:11:23.000]   Basically forever.
[00:11:23.000 --> 00:11:25.000]   And there's a.
[00:11:25.000 --> 00:11:30.000]   Absolutely amazing website that nobody knows about.
[00:11:30.000 --> 00:11:40.000]   Um, called super memo.
[00:11:40.000 --> 00:11:48.000]   Um.
[00:11:48.000 --> 00:11:51.000]   And so for super memo is software.
[00:11:51.000 --> 00:11:55.000]   Um, but it's also this.
[00:11:55.000 --> 00:12:00.000]   There's heaps of research. Basically it's by a guy who's dedicated his whole life.
[00:12:00.000 --> 00:12:03.000]   To.
[00:12:03.000 --> 00:12:09.000]   Using this technique to remember as many things as possible and to basically organize his whole life.
[00:12:09.000 --> 00:12:17.000]   Um.
[00:12:17.000 --> 00:12:24.000]   Uh, got all these rules of knowledge from those formulations. So the guy's name is Peter was yet. He's absolutely amazing.
[00:12:24.000 --> 00:12:29.000]   Um, so he actually rediscovered this stuff from Ebbinghaus independently.
[00:12:29.000 --> 00:12:34.000]   Um, but that has greatly developed it over the last few decades.
[00:12:34.000 --> 00:12:38.000]   Um.
[00:12:38.000 --> 00:12:41.000]   So there's this piece of software called Anki.
[00:12:41.000 --> 00:12:47.000]   Which you can just say, okay, I want to learn. I want to remember something. So you give yourself a quiz question.
[00:12:47.000 --> 00:12:49.000]   Right.
[00:12:49.000 --> 00:12:53.000]   So, uh, for example, if you want to remember what.
[00:12:53.000 --> 00:12:58.000]   Monadic plus is on a complex number.
[00:12:58.000 --> 00:13:00.000]   You can like.
[00:13:00.000 --> 00:13:06.000]   You know, type in some.
[00:13:06.000 --> 00:13:14.000]   Something like that. And obviously I should use a proper negative, but I'm not using an AP or keyboard here and then you're putting the correct answer.
[00:13:14.000 --> 00:13:22.000]   Here or whatever. And so then you'd say add and it creates a question. And so what then happens is.
[00:13:22.000 --> 00:13:28.000]   Next time you open Anki and you say, and you'll say study.
[00:13:28.000 --> 00:13:31.000]   And it will start showing you.
[00:13:31.000 --> 00:13:33.000]   Your questions.
[00:13:33.000 --> 00:13:36.000]   If you get it right.
[00:13:36.000 --> 00:13:41.000]   You can say it was, you know, basically either hit one, two, three or four to say I got it wrong or I got it right.
[00:13:41.000 --> 00:13:44.000]   But it was hard. I got it right. It was okay.
[00:13:44.000 --> 00:13:45.000]   It was easy.
[00:13:45.000 --> 00:13:51.000]   And you can see here, if I say I got it right and it was easy, it's going to be about 10 minutes before it shows it to me again.
[00:13:51.000 --> 00:13:53.000]   That's because this is new. Right.
[00:13:53.000 --> 00:13:58.000]   And then the next time I do it, if I get it right again, it'll give it'll be a day.
[00:13:58.000 --> 00:14:01.000]   And then if I get it right again, it'll be like four days.
[00:14:01.000 --> 00:14:04.000]   If I get it right again, it'll be like two weeks.
[00:14:04.000 --> 00:14:09.000]   But once you get it right, like five or six times in a row, it'll be a month or two before you see it again.
[00:14:09.000 --> 00:14:18.000]   Because it's because the thing about the forgetting curve is that the better you know something, the less often you have to revise it.
[00:14:18.000 --> 00:14:23.000]   So this deck is actually my daughter's and her friend.
[00:14:23.000 --> 00:14:26.000]   So Claire and Gabe's deck.
[00:14:26.000 --> 00:14:28.000]   I've just got a little bit of it here.
[00:14:28.000 --> 00:14:42.000]   And so you can browse it and you can see, like, you know, we've got things like fractions and we've got things like the successor function and we've got things like bind and out of product because they're doing both math and APL at the same time.
[00:14:42.000 --> 00:14:47.000]   I guess a bit like us, but they haven't done lots of things before.
[00:14:47.000 --> 00:14:55.000]   So, yeah, so I've got something here saying, oh, what happens if you do divide, dot, divide, call that F and you call F of that.
[00:14:55.000 --> 00:15:01.000]   And that's well learned that basically we actually get that same thing because that means reciprocal or reciprocal.
[00:15:01.000 --> 00:15:12.000]   So I try to come up with questions that force them to like both remember the technique, but also, you know, utilize some thinking.
[00:15:12.000 --> 00:15:20.000]   So, yeah, so Gabe and Claire, if they remember or if their parents managed to convince them, they try to do their Anki every day.
[00:15:20.000 --> 00:15:26.000]   And at first it was like a bit of a struggle to get them to do it.
[00:15:26.000 --> 00:15:39.000]   But now that like we've been doing it for a month or two, probably more like two, there are things they learned a couple of months ago now and that it gets popping up on Anki and they press good and they can see that they won't see it again for like three months.
[00:15:39.000 --> 00:15:44.000]   And they're like, oh, this is awesome. You know, so it's gradually getting easier and easier anyway.
[00:15:44.000 --> 00:15:59.000]   So I just wanted to mention this because given we're all learning something new, this is a good way to remember, you know, the alphabet of glyphs.
[00:15:59.000 --> 00:16:08.000]   And so I actually used this for Chinese 10 years ago or something.
[00:16:08.000 --> 00:16:23.000]   Yeah, and the reason it's impossible to forget something is if you say I got this wrong, it resets that the forgetting curve back to showing you again tomorrow and then three days and then five days or whatever, you know, so.
[00:16:23.000 --> 00:16:29.000]   So as long as you do Anki regularly, it's impossible to forget the things that are there.
[00:16:29.000 --> 00:16:40.000]   It does mean it's important to only put in things there that you really do want to remember forever because, you know, otherwise you're going to be spending all this time quizzing yourself and stuff that you actually don't care about.
[00:16:40.000 --> 00:16:51.000]   And you can always go back and delete things, but, you know.
[00:16:51.000 --> 00:16:59.000]   Hey, don't forget to tell me things vocally rather than putting in the chat. Okay, so in the chat to niche conventions that Radek has this nice thing called AI quizzes, which is really cool.
[00:16:59.000 --> 00:17:10.000]   And this Radek on the call, how did you, if we use, how did you get the space repetition going? Is there a Python module for this?
[00:17:10.000 --> 00:17:15.000]   I implemented it in Ruby on, I think it might be on the SuperMemo website.
[00:17:15.000 --> 00:17:16.000]   I'm not sure.
[00:17:16.000 --> 00:17:17.000]   I use the algorithm they have, yeah.
[00:17:17.000 --> 00:17:20.000]   But the algorithm is there, yeah.
[00:17:20.000 --> 00:17:27.000]   Lots of algorithms, right? Like SuperMemo algorithm version, whatever, SM17.
[00:17:27.000 --> 00:17:48.000]   So there is, yes, there is, I think, some commercial product, from what I remember, and they use some version of the algorithm there that is not published, but the earlier version had published and I made some tiny modifications to simplify it.
[00:17:48.000 --> 00:17:50.000]   I see. So he put it in his...
[00:17:50.000 --> 00:17:51.000]   Jeremy, can you hear me?
[00:17:51.000 --> 00:17:52.000]   Yes, I can.
[00:17:52.000 --> 00:17:57.000]   Okay, okay. So, can you click on the first link that I sent on the chat?
[00:17:57.000 --> 00:17:59.000]   Absolutely.
[00:17:59.000 --> 00:18:07.000]   That is the best thing I have yet found on the topic of space repetition.
[00:18:07.000 --> 00:18:10.000]   Great. Thank you.
[00:18:10.000 --> 00:18:13.000]   And hello, by the way, Risho, is it?
[00:18:13.000 --> 00:18:14.000]   Yeah, yeah.
[00:18:14.000 --> 00:18:17.000]   Nice to see you. Thanks for joining.
[00:18:17.000 --> 00:18:19.000]   Where are you joining us from?
[00:18:19.000 --> 00:18:22.000]   From India. It's 5.30 in the morning here.
[00:18:22.000 --> 00:18:24.000]   All right. Whereabouts in India are you?
[00:18:24.000 --> 00:18:27.000]   Urgata.
[00:18:27.000 --> 00:18:29.000]   Okay.
[00:18:29.000 --> 00:18:36.000]   And I know Koreans in India as well.
[00:18:36.000 --> 00:18:39.000]   And India is all one time zone, is that right?
[00:18:39.000 --> 00:18:50.000]   Yes, yes. So it's somewhat impractical because the time it is almost like midday in some parts. In some parts, it's barely daylight.
[00:18:50.000 --> 00:18:52.000]   Yeah.
[00:18:52.000 --> 00:18:57.000]   Yeah, Australia has got so many time zones.
[00:18:57.000 --> 00:19:05.000]   This is the first time I am actually adjusting to Australian time zone because before I adjusted to American and European.
[00:19:05.000 --> 00:19:06.000]   Yeah, yeah.
[00:19:06.000 --> 00:19:10.000]   Yeah, we do that too. So like a lot of the stuff we do is in the US.
[00:19:10.000 --> 00:19:19.000]   So we have an early start and an early end to our day for that reason.
[00:19:19.000 --> 00:19:21.000]   All right. Thanks for the tip.
[00:19:21.000 --> 00:19:34.000]   Have you seen, there's like some work by Michael Nielsen, I think, like there's a, I think like a quantum computing book, but it was like all with space repetition.
[00:19:34.000 --> 00:19:38.000]   Yeah, it's called quantum country. Yeah. Yeah.
[00:19:38.000 --> 00:19:45.000]   And yeah, I think he has a lot of discussion about about space repetition and things like that as well. Yeah.
[00:19:45.000 --> 00:19:49.000]   Yeah. Yeah, he came to a pretty late, but he.
[00:19:49.000 --> 00:19:56.000]   So the address bar, quantum dot country that will open the site.
[00:19:56.000 --> 00:19:59.000]   Just quantum dot country.
[00:19:59.000 --> 00:20:19.000]   Yeah, Michael came to space repetition pretty recently but he tends to get into things deeply when he gets into things which is great. So, yeah, him and Andy so and he used to be at Khan Academy.
[00:20:19.000 --> 00:20:23.000]   Have you been using this for a deal.
[00:20:23.000 --> 00:20:32.000]   Yeah, and he said, yes, indirectly, because I helped my daughter with her cards, sometimes.
[00:20:32.000 --> 00:20:40.000]   So, therefore I ended up doing it as well, which seems to be enough because I haven't forgotten any glyphs yet.
[00:20:40.000 --> 00:20:48.000]   If I do find I start forgetting some glyphs I will do my own.
[00:20:48.000 --> 00:20:59.000]   I just want to point out, like, when I was working with Jeremy, in the beginning, I used to complain that, hey, like, I can't remember stuff like Jeremy would also tell me sometimes hey you don't remember stuff.
[00:20:59.000 --> 00:21:16.000]   And then I would also say hey I feel like I don't remember any, maybe I'm just done. And he actually sent me some, some books by, there was one by Barbara Oakley, for example, who also does the Coursera course like I think it's the most popular Coursera course learning how to learn.
[00:21:16.000 --> 00:21:19.000]   But it's, it's really interesting.
[00:21:19.000 --> 00:21:26.000]   And then you send me another one by like their guides like professional memory.
[00:21:26.000 --> 00:21:29.000]   I think that one is working with anything.
[00:21:29.000 --> 00:21:33.000]   Yeah.
[00:21:33.000 --> 00:21:40.000]   So, Ed Cook was the world memory champion.
[00:21:40.000 --> 00:22:01.000]   And he actually created a startup called Memrise, which actually adds an additional thing, which is if you want to really remember things well, you need a mnemonic for them, something to make it click in your head, you know, and preferably connections to other things,
[00:22:01.000 --> 00:22:11.000]   which actually for APL is easy because most of the APL glyphs have their own mnemonic already, you know, they're, they're drawn that way for a reason.
[00:22:11.000 --> 00:22:17.000]   But he actually is particularly do this for Chinese to make sure that each of the
[00:22:17.000 --> 00:22:33.000]   hunter characters had some kind of mnemonic picture and stuff. And then yeah so Ed Cook also was the topic of a book, Moonwalking with Einstein, which is a really nice book.
[00:22:33.000 --> 00:22:49.000]   And it's one of those books that might help you change your understanding of yourself, because Josh is a guy who's think journalist at the time, who thought of himself as somebody who had a bad memory.
[00:22:49.000 --> 00:22:57.000]   And he teamed up with Ed Cook to learn memory techniques and yeah so the whole book's kind of all about his journey.
[00:22:57.000 --> 00:23:13.000]   And interestingly, Josh actually went on to create something you might have come across,
[00:23:13.000 --> 00:23:31.000]   it's Atlas Obscura. If you've seen that it's a very cool, very cool website full of interesting things.
[00:23:31.000 --> 00:23:35.000]   Cool.
[00:23:35.000 --> 00:23:41.000]   Thanks for letting me have a bit of a diversion.
[00:23:41.000 --> 00:23:55.000]   So I had one question about maybe a little bit more about the history and terminology of APL. For example, like, I was, you know, I think yesterday you, we had gone over the Zilde symbol.
[00:23:55.000 --> 00:24:00.000]   Yeah, but like it technically looks like a data symbol. Right.
[00:24:00.000 --> 00:24:05.000]   Oh, not quite it's got a squiggle it's a squiggly theta. Yeah.
[00:24:05.000 --> 00:24:15.000]   So like, I guess, but I'm just generally wondering where did these names come from. Like, it's so it's kind of completely like unlike what it should be called like if you're looking at the Greek letters or whatever.
[00:24:15.000 --> 00:24:28.000]   So I'm kind of confused from that. Well, okay so I mean this is not the Greek letters, it's not wrong. The ones that are Greek letters are correct. So alpha is called alpha, iota is called iota, and omega is called omega.
[00:24:28.000 --> 00:24:43.000]   There, there is a thought that even those shouldn't be there because like, they give preferential treatment to people of kind of European backgrounds who might recognize Greek letters.
[00:24:43.000 --> 00:24:50.000]   You know, but generally, so they were all created by Ken Iverson and his wife.
[00:24:50.000 --> 00:24:55.000]   I think like his wife let drew them or something.
[00:24:55.000 --> 00:24:58.000]   And they're designed to be.
[00:24:58.000 --> 00:25:16.000]   They're designed to be demonic. Right. So for example equals as the equals we recognize, and it means that one, two, three equals two, two, three will do a element wise equality return a Boolean.
[00:25:16.000 --> 00:25:26.000]   And like this one here is like extremely much. Sorry, I always forget.
[00:25:26.000 --> 00:25:30.000]   Screen.
[00:25:30.000 --> 00:25:47.000]   Okay, so 123 equals 223 gives 001 because it's element wise equals and yeah so it's just showing you on the order here that it's actually
[00:25:47.000 --> 00:25:50.000]   not a tilde.
[00:25:50.000 --> 00:26:02.000]   This one here, I kind of think of as like extremely equal to because it checks whether two things are exactly the same items and exactly the same shape.
[00:26:02.000 --> 00:26:05.000]   I believe something like that.
[00:26:05.000 --> 00:26:08.000]   Yes, it checks whether.
[00:26:08.000 --> 00:26:12.000]   As you can see, so exactly so that example one.
[00:26:12.000 --> 00:26:21.000]   Oh, I should change. I got the wrong symbol here. So is it.
[00:26:21.000 --> 00:26:27.000]   There we go. Okay, so these are equal and.
[00:26:27.000 --> 00:26:41.000]   All right, one equals is extremely equal to is false because they're different lengths.
[00:26:41.000 --> 00:26:53.000]   Whereas is normal equals two is like broadcasted element wise. So this is kind of like mnemonics you know and then obviously this is that like not version of that.
[00:26:53.000 --> 00:27:08.000]   And then some of them are kind of like borrowed from other areas. A lot of them destroy a drawings of things this is the thing on the left hand side of a function this is on the right hand side of a function.
[00:27:08.000 --> 00:27:16.000]   This is the biggest thing and the littlest thing. So yeah, they made them up, basically.
[00:27:16.000 --> 00:27:34.000]   And then somebody I think in the chat was him says Zelda is a portmanteau of zero tilde, which is exactly what it is. It's a zero with a total through it.
[00:27:34.000 --> 00:27:46.000]   So, were they, I guess when these were created because like these are all Unicode characters right so they are now when they are now okay so before they were not really part of the code and.
[00:27:46.000 --> 00:28:00.000]   So one of the things that really helped a lot was there are these things called golf ball typewriters I don't know if you've ever seen them, but they're just, they're like normal typewriters.
