
[00:00:00.040 --> 00:00:10.660]   end
[00:06:06.700 --> 00:06:06.700]   So you're not going to get the chimp.
[00:06:06.700 --> 00:06:06.700]   So you're not going to get the chimp.
[00:06:06.700 --> 00:06:06.700]   So you're not going to get the chimp.
[00:06:06.700 --> 00:06:06.700]   So you're not going to get the chimp.
[00:06:07.240 --> 00:06:36.740]   So you're not going to get the chimp.
[00:06:36.740 --> 00:06:36.740]   So you're not going to get the chimp.
[00:06:36.740 --> 00:06:36.740]   So you're not going to get the chimp.
[00:06:36.740 --> 00:06:36.740]   So you're not going to get the chimp.
[00:06:36.740 --> 00:06:36.740]   So you're not going to get the chimp.
[00:06:36.740 --> 00:06:36.740]   So you're not going to get the chimp.
[00:06:36.740 --> 00:06:36.740]   So you're not going to get the chimp.
[00:06:36.740 --> 00:06:36.740]   So you're not going to get the chimp.
[00:06:36.740 --> 00:06:36.740]   So you're not going to get the chimp.
[00:06:36.740 --> 00:06:36.740]   So you're not going to get the chimp. So you're not going to get the chimp.
[00:06:36.780 --> 00:06:46.960]   Only
[00:06:46.960 --> 00:06:47.240]  , " amount from, ,,,
[00:06:47.240 --> 00:06:50.620]   Join 12 don I remember the more of is a is a enthusiastic
[00:06:50.620 --> 00:07:00.280]   Z, ", ", ", a, attend the,LY, used, áreas,
[00:07:06.780 --> 00:07:17.600]   as
[00:07:17.600 --> 00:07:19.780]  新 in. могут,,,, care ^ingu I� Rad Although
[00:09:41.140 --> 00:09:50.860]   It's a question of just how much war and and you know what it does this sort of the scope and scale of war but to my
[00:09:50.860 --> 00:09:55.460]   I imagine that there would not be any more in the future I think would be very unlikely outcome.
[00:09:55.460 --> 00:09:58.360]   Yeah you talked about the culture series there's war even there.
[00:09:58.360 --> 00:10:00.860]   Yes, it's giant war the first book starts
[00:10:00.860 --> 00:10:00.860]   off with them a giant war.
[00:10:00.860 --> 00:10:00.860]   Yes, it's giant war the first book starts off with them a giant war.
[00:10:00.860 --> 00:10:00.860]   Yes, it's giant war the first book starts off with them a giant war.
[00:10:00.860 --> 00:10:00.860]   Yes, it's giant war the first book starts off with them a giant war.
[00:10:00.860 --> 00:10:00.860]   Yes, it's giant war the first book starts off with them a giant war.
[00:10:00.860 --> 00:10:00.860]   Yes, it's giant war the first book starts off with them a giant war.
[00:10:00.860 --> 00:10:00.860]   Yes, it's giant war the first book starts off with them a giant war.
[00:10:00.900 --> 00:10:19.980]  , where trillions die. But it still never less protects these pockets of flourishing.
[00:10:19.980 --> 00:10:20.960]   But it still never less protects these pockets of flourishing.
[00:10:20.960 --> 00:10:21.000]   But it still never less protects these pockets of flourishing.
[00:10:21.000 --> 00:10:21.080]   But it still never less protects these pockets of flourishing.
[00:10:21.080 --> 00:10:21.140]   Somehow you can have galactic war and still have pockets of flourishing.
[00:10:21.140 --> 00:10:21.180]   Somehow you can have galactic war and still have pockets of flourishing.
[00:10:21.180 --> 00:10:21.200]   Somehow you can have galactic war and still have pockets of flourishing.
[00:10:21.200 --> 00:10:30.180]   I guess if we are able to one day expense to you know the galaxy or whatever there will be a galactic war at some point.
[00:10:30.180 --> 00:10:30.180]  , I guess if we are able to one day expense to one day expense to one day.
[00:10:30.200 --> 00:10:38.880]   The scale of war has been increasing and increasing and increasing. It's like a race between the scale of suffering and the scale of flourishing.
[00:10:38.880 --> 00:10:39.180]   Yes.
[00:10:39.180 --> 00:10:39.260]   Yes.
[00:10:39.260 --> 00:10:41.460]   A lot of people seem to be using this tragedy to beat the drums of war and feed the military industrial complex. Do you worry about this? The people who are rooting for escalation and how can it be stopped?
[00:10:41.460 --> 00:10:55.540]   A lot of people seem to be using this tragedy to beat the drums of war and feed the military industrial complex. Do you worry about this? The people who are rooting for escalation and how can it be stopped?
[00:10:55.540 --> 00:10:59.500]   One of the things that does concern me is that there are very few people alive today who are actually fighting for the military industrial complex.
[00:10:59.500 --> 00:10:59.500]   One of the things that does concern me is that there are very few people alive today who are actually fighting for the military industrial complex.
[00:11:00.420 --> 00:11:28.820]  ,
[00:11:28.820 --> 00:11:28.820]   He was severely traumatized.
[00:11:28.820 --> 00:11:29.540]   He was severely traumatized.
[00:11:29.540 --> 00:11:29.540]   He was there I think for almost six years in East North Africa and Italy. All his friends were killed in front of him.
[00:11:29.540 --> 00:11:29.540]   He was there I think for almost six years in East North Africa and Italy. All his friends were killed in front of him.
[00:11:29.540 --> 00:11:29.540]   He was there I think for almost six years in East North Africa and Italy. All his friends were killed in front of him.
[00:11:29.540 --> 00:11:29.540]   He was there I think for almost six years in front of him.
[00:11:29.540 --> 00:11:29.540]   I was there was there I think for almost six years in front of him. He was there was there I was there for six years in front of him.
[00:11:29.580 --> 00:11:39.320]   at
[00:11:39.320 --> 00:11:43.500]   2022 spend a has which minut
[00:11:43.500 --> 00:11:55.820]   a, and, and, and, Оп,. due Villa화�. ohh El,
[00:11:55.960 --> 00:12:06.020]   rests
[00:12:06.020 --> 00:12:06.860]  ucht這
[00:12:06.860 --> 00:12:22.480]   sweats Paw De A, like, and,
[00:13:23.220 --> 00:13:23.220]   There's two major wars going on right now. So you talked about the threat of AGI quite a bit. But now we sit here with the intensity of conflict going on. Do you worry about nuclear war?
[00:13:23.220 --> 00:13:23.220]   Do you worry about nuclear war?
[00:13:23.220 --> 00:13:23.220]   Do you worry about nuclear war?
[00:13:23.220 --> 00:13:23.220]   Do you worry about nuclear war?
[00:13:23.220 --> 00:13:23.220]   Do you worry about nuclear war?
[00:13:23.220 --> 00:13:23.220]   Do you worry about nuclear war?
[00:13:23.220 --> 00:13:23.220]   Do you worry about nuclear war?
[00:13:23.220 --> 00:13:23.220]   Do you worry about nuclear war?
[00:13:23.220 --> 00:13:23.220]   Do you worry about nuclear war?
[00:13:23.220 --> 00:13:23.300]   Do you worry about nuclear war?
[00:13:23.300 --> 00:13:23.360]   Do you worry about nuclear war?
[00:13:23.360 --> 00:13:23.620]   Do you worry about nuclear war?
[00:13:23.620 --> 00:13:23.680]   Do you worry about nuclear war?
[00:13:23.680 --> 00:13:23.740]   Do you worry about nuclear war?
[00:13:23.740 --> 00:13:23.800]   Do you worry about nuclear war?
[00:13:23.800 --> 00:13:23.860]   Do you worry about nuclear war?
[00:13:23.920 --> 00:13:53.640]   This is a civilizational threat. Right now, I could be wrong, but I think the current probability of nuclear war is quite low. But there are a lot of nukes pointed at us. And we have a lot of nukes pointed at other people. They're still there. Nobody's put their guns away.
[00:13:53.640 --> 00:13:53.860]   This is a civilizational threat. Right now, I could be wrong, but I think the current probability of nuclear war is quite low. But there are a lot of nukes pointed at us. And we have a lot of nukes pointed at other people. They're still there. Nobody's put their guns away.
[00:13:53.900 --> 00:14:05.120]   at
[00:14:05.120 --> 00:14:21.920]   Ma M sperural,,,,,,.錢 day coconutmer extreme tone Hyungéré rely wrapped szcase like a pacs nice have a
[00:14:22.160 --> 00:14:33.240]   Thi
[00:14:33.240 --> 00:14:34.120]  't,,, better not in thenat của" lleva "έρ " Where he is a in a connect and a and, in, and, and, and, and,'t,ur,厲害 las eating whats declar tea double delayed of business slice,inä,
[00:14:34.120 --> 00:14:40.440]   does, personally,
[00:14:50.300 --> 00:15:00.380]   bus
[00:15:00.380 --> 00:15:19.140]  ,� to. I like, @,,,,, De Cookie el íesters last
[00:15:19.780 --> 00:15:26.880]   400 work
[00:15:26.880 --> 00:15:30.060]   don con a,,,,
[00:15:30.060 --> 00:15:46.600]   pushed
[00:15:48.600 --> 00:15:56.260]   like
[00:15:56.260 --> 00:16:18.160]   Tour C I,
[00:16:18.620 --> 00:16:47.080]   is
[00:16:48.640 --> 00:16:58.700]   I
[00:16:58.700 --> 00:16:59.620]   core go,,, liveessen
[00:16:59.620 --> 00:17:12.820]  滿 why rent but just as the just the
[00:17:12.820 --> 00:17:15.440]   survive
[00:17:16.960 --> 00:17:36.020]   didnt even mean to the people who live in the area. It's just like the reinforcements just kick you right out again. I mean, I really recommend people read World War One. Warfare in detail. That's rough. I mean, the sheer number of people that died there was mindboggling.
[00:17:36.020 --> 00:17:45.280]   And it's almost impossible to imagine the end of it. That doesn't look like almost exactly like the beginning in terms of what land belongs to who.
[00:17:45.280 --> 00:17:45.280]   It's almost impossible to imagine the end of it. That doesn't look like almost exactly like the beginning in terms of what land belongs to who.
[00:17:45.280 --> 00:17:45.280]   It's almost impossible to imagine the end of it. That doesn't look like almost exactly like the beginning in terms of what land belongs to who.
[00:17:45.280 --> 00:17:45.280]   It's almost impossible to imagine the end of it. That doesn't look like almost exactly like the beginning in terms of what land belongs to who.
[00:17:45.320 --> 00:18:13.620]  . It's almost impossible to imagine the end of it. That doesn't look like almost exactly like the beginning in terms of what land belongs to who.
[00:18:13.620 --> 00:18:13.820]   It's almost impossible to imagine the end of it. That doesn't look like almost exactly like the beginning in terms of what land belongs to who.
[00:18:13.820 --> 00:18:14.020]   It's almost impossible to imagine the end of it. That doesn't look like almost exactly like the beginning in terms of what land belongs to who.
[00:18:14.040 --> 00:18:21.560]   - The loss of the flower of Ukrainian and Russian youth,
[00:18:21.560 --> 00:18:24.860]   and we should have some sympathy for the Russian boys
[00:18:24.860 --> 00:18:26.260]   as well as the Ukrainian boys,
[00:18:26.260 --> 00:18:28.760]   because the Russian boys didn't ask to be on their front line.
[00:18:28.760 --> 00:18:29.660]   They have to be.
[00:18:29.660 --> 00:18:37.260]   There's a lot of sons not coming back to their parents.
[00:18:37.260 --> 00:18:42.760]   I think most of them don't really have,
[00:18:42.760 --> 00:18:43.760]   I think most of them don't really have,
[00:18:43.760 --> 00:18:43.760]   they don't hate each other.
[00:18:43.760 --> 00:18:43.860]   - I think most of them don't really have,
[00:18:43.860 --> 00:18:43.860]   they don't hate each other.
[00:18:43.860 --> 00:18:43.960]   - I think most of them don't really have,
[00:18:43.960 --> 00:18:43.960]   they don't hate each other.
[00:18:43.960 --> 00:18:43.960]   - I think most of them don't really have,
[00:18:43.960 --> 00:18:43.960]   they don't hate each other.
[00:18:43.960 --> 00:18:43.960]   - I think most of them don't really have,
[00:18:43.960 --> 00:18:43.960]   don't hate each other. I think most of them don't really have,
[00:18:44.200 --> 00:19:13.900]   I think most of them don't really have,
[00:19:13.900 --> 00:19:13.900]   they don't hate each other. I think most of them don't really have,
[00:19:13.900 --> 00:19:13.900]   they don't hate each other. I think most of them don't really have,
[00:19:13.940 --> 00:19:24.140]   why
[00:19:24.140 --> 00:19:24.940]   release quit
[00:19:24.940 --> 00:19:29.360]   apologize I do the good, de, Sl, Ed, Br,視, ac, head,�,
[00:19:29.360 --> 00:19:38.260]  務,
[00:20:13.420 --> 00:20:20.840]   hold
[00:20:20.840 --> 00:20:32.280]   50 AND B Z justなんです qu end.,,,,,,,, me I I I stay at the Zw space. The click the clothes the clothing the Ben. Theみ theract the�, the, a, the, the, the, the, the, the,the, del,.,,,,,,,,,,,,,,,,,,,,,,,, Watching飛
[00:20:32.280 --> 00:20:41.900]   setzen Charl預� B qualc Brandon e gan connect a Push Men HYC SEC D� K toreared point г violin'I g� reuse買 film dai24對不起 show educated Die gi Sick steam fellongw Loud Slim entend cur在MMire parse di end put r command tail propertyido e great include particle di mest world's forecasts and the seemed 800perür Nat�도 sporting � Haus partnership hair'll memarls like the's won communion
[00:20:41.960 --> 00:21:05.500]   with in detail. They just would say like we went we had a battle and we won and like what can you add a bit more. So the Greeks they really wrote a lot. They're very articulate on it. They just love writing so and we have a bunch of that writing that's preserved so we know what led up to the Peloponnesian war between these Spartan and Athenian alliance.
[00:21:05.500 --> 00:21:08.980]   We know that they they
[00:21:08.980 --> 00:21:37.020]  ,
[00:21:37.020 --> 00:21:38.020]   they thought coming.
[00:21:38.020 --> 00:21:38.020]   I mean the Spartans and right those weren't very for both by their nature but they did right but they weren't very for both. They weren't terse. But the Athenians and the other Greeks wrote a line and they were like and I thought it was really kind of like the leader of Greece but Athens grew stronger and stronger with each passing year and
[00:21:38.020 --> 00:21:39.020]   and
[00:21:39.060 --> 00:21:50.020]   "
[00:21:50.020 --> 00:21:53.940]   word character be ratio back I It The bright and, and, and,,,,,,,, contactèce geg
[00:22:18.160 --> 00:22:36.660]   the United States has been the economic most powerful economic engine in the world longer than anyone's been alive.
[00:22:36.660 --> 00:22:36.660]   The foundation of war is economics.
[00:22:36.660 --> 00:22:36.660]   So now we have a situation in the case of China where
[00:22:36.660 --> 00:22:36.660]   So now we have a situation in the case of China where
[00:22:36.660 --> 00:22:36.660]   So now we have a situation in the case of China where
[00:22:36.660 --> 00:22:36.660]   So now we have a situation in the case of China where
[00:22:36.660 --> 00:22:36.660]   So now we have a situation in the case of China where
[00:22:36.660 --> 00:22:36.660]   So now we have a situation in the case of China where
[00:22:36.660 --> 00:22:36.660]   So now we have a situation in the case of China where
[00:22:36.660 --> 00:22:36.660]   So now we have a situation in the case of China where
[00:22:36.660 --> 00:22:36.660]   So now we have a situation in the case of China where
[00:22:36.660 --> 00:22:36.660]   So now we have a situation in the case of China where
[00:22:36.660 --> 00:22:36.660]   So now we have a situation in the case of China where
[00:22:36.660 --> 00:22:36.660]   So now we have a situation in the case of China where
[00:22:36.660 --> 00:22:36.660]   So now we have a situation in the case of China where
[00:22:36.700 --> 00:23:05.580]   the economy is likely to be two perhaps three times larger than that of the U.S.
[00:23:05.580 --> 00:23:05.600]   the economy is likely to be two perhaps three times larger than that of the U.S.
[00:23:05.600 --> 00:23:05.780]   the economy is likely to be two perhaps three times larger than that of the U.S.
[00:23:05.780 --> 00:23:05.820]   the economy is likely to be two perhaps three times larger than that of the U.S.
[00:23:05.820 --> 00:23:05.840]   the economy is likely to be two perhaps three times larger than that of the U.
[00:23:05.840 --> 00:23:05.860]   the economy is likely to be two perhaps three times larger than that U.
[00:23:05.860 --> 00:23:05.880]   the economy is likely to be two perhaps three times larger than that U.
[00:23:05.880 --> 00:23:05.940]   the economy is likely to be two perhaps three times larger than that U.
[00:23:05.940 --> 00:23:05.940]   likely to be two perhaps three times larger than U.
[00:23:05.960 --> 00:23:09.040]   there just seems to be a giant cultural gap in understanding of each other.
[00:23:09.040 --> 00:23:09.160]   there just seems to be a giant cultural gap in understanding of each other.
[00:23:09.160 --> 00:23:13.060]   there just seems to be a giant cultural gap in understanding of each other. And you're an interesting case study because you are an American.
[00:23:13.060 --> 00:23:13.120]   And you're an interesting case study because you are an American.
[00:23:13.120 --> 00:23:20.020]   And you're an interesting case study because you are an American. Obviously you've done a lot of incredible manufacture here in the United States but you also work with China.
[00:23:20.020 --> 00:23:20.080]   Obviously you've done a lot of incredible manufacture here in the United States but you also work with China.
[00:23:20.080 --> 00:23:22.760]   Obviously you've done a lot of incredible manufacture here in the United States but you also work with China. I spent a lot of time in China and met with the leadership many times.
[00:23:22.760 --> 00:23:22.800]   I spent a lot of time in China and met with the leadership many times.
[00:23:22.820 --> 00:23:43.020]   I spent a lot of time in China and met with the leadership many times. And I think that's a good question to ask is what are some things about China that people don't understand, positive, just in the culture, what are some interesting things that you've learned about the Chinese?
[00:23:43.020 --> 00:23:43.020]   And I think that's a good question to ask is what are some things about China that people don't understand, positive, just in the culture, what are some interesting things that you've learned about the Chinese?
[00:23:43.020 --> 00:23:44.020]   And I think that's a good question to ask is what are some things about China that people don't understand, positive, just in the culture, what are some interesting things that you've learned about the Chinese?
[00:23:44.060 --> 00:24:12.240]   and I think that's a good question to ask is what are some interesting things that you've learned about the Chinese?
[00:24:12.240 --> 00:24:12.320]   And I think that's a good question to ask is what are some interesting things that you've learned about the Chinese?
[00:24:12.320 --> 00:24:12.320]   And I think that's a good question to ask is what are some interesting things that you've learned about the Chinese?
[00:24:12.320 --> 00:24:12.320]   And I think that's a good question to ask is what are some interesting things that you've learned about the Chinese?
[00:24:12.340 --> 00:24:29.340]   I mean I recommend somebody just go to Shanghai and Beijing, look at the buildings and go to take the train from Beijing to Xi'an where you have the terracotta warriors. I mean I recommend somebody just go to Shanghai and Beijing, look at the buildings and go to take the train from Beijing to Xi'an where you have the terracotta warriors.
[00:24:29.340 --> 00:24:41.520]   China's got an incredible history, very long history and I think arguably in terms of the use of language from a written standpoint China's got an incredible history, very long history and I think arguably in terms of the use of language from a written standpoint
[00:24:41.520 --> 00:24:41.580]   China's got an incredible history, very long history and I think arguably in terms of the use of language from a written standpoint
[00:24:41.580 --> 00:24:42.320]   China's got an incredible history, very long history and I think arguably in terms of the use of language from a written standpoint
[00:24:43.220 --> 00:25:12.320]  , China's got an incredible history, very long history and I think arguably in terms of the use of language from a written standpoint
[00:25:12.320 --> 00:25:12.320]   China's got an incredible history, very long history and I think arguably in terms of the use of language from a written standpoint
[00:25:12.320 --> 00:25:12.320]   China's got an incredible history, very long history and I think arguably in terms of the use of language from a written standpoint
[00:25:12.320 --> 00:25:12.320]   China's got an incredible history, very long history and I think arguably in terms of language from a written standpoint
[00:25:12.340 --> 00:25:19.300]   So they've had brutal internal wars.
[00:25:19.300 --> 00:25:24.720]   Like civil wars that make the US Civil War look small by comparison.
[00:25:24.720 --> 00:25:32.920]   So I think it's important to appreciate that China is not monolithic.
[00:25:32.920 --> 00:25:42.320]   We still think that China is this one entity of one mind and this is definitely not the case.
[00:25:42.320 --> 00:25:42.320]   We still think that China is this one entity of one mind and this is definitely not the case.
[00:25:42.320 --> 00:25:42.320]   We still think that China is this one entity of one mind and this is definitely not the case.
[00:25:42.320 --> 00:25:42.320]   We still think that China is this one entity of one mind and this is definitely not the case.
[00:25:42.320 --> 00:25:42.320]   We still think that China is this one entity of one mind and this is definitely not the case.
[00:25:42.320 --> 00:25:42.320]   We still think that China is this one entity of one mind and this is definitely not the case.
[00:25:42.320 --> 00:25:42.320]   We still think that China is this one entity of one mind and this is definitely not the case.
[00:25:42.320 --> 00:26:12.320]  ,
[00:26:12.320 --> 00:26:12.320]   We still think that China is this one entity of one mind and this is definitely not the case.
[00:26:12.320 --> 00:26:12.320]   We still think that China is this one entity of one mind and this is definitely not the case.
[00:26:12.320 --> 00:26:12.320]   We still think that China is this one entity of one mind and this is definitely not the case.
[00:26:12.320 --> 00:26:12.320]   We still think that China is this one entity of one mind and this is definitely not the case.
[00:26:12.320 --> 00:26:12.320]   We still think that China is this one entity of one mind and this is definitely not the case.
[00:26:12.320 --> 00:26:12.320]   We still think that China is this one entity of one mind and this is definitely not the case.
[00:26:12.320 --> 00:26:12.320]   We still think that China is this one mind and this is definitely not the case.
[00:26:12.360 --> 00:26:24.020]   уч
[00:26:24.020 --> 00:26:40.220]   never on. God. be in the hurt. cuánt "
[00:27:10.200 --> 00:27:10.200]   The
[00:27:10.200 --> 00:27:10.200]   The
[00:27:10.200 --> 00:27:10.200]   The
[00:27:10.200 --> 00:27:10.200]   The
[00:27:10.200 --> 00:27:10.200]   The
[00:27:10.200 --> 00:27:10.200]   The
[00:27:39.180 --> 00:27:49.120]   G
[00:27:49.120 --> 00:27:49.360]   specific. I see in. I spark
[00:27:49.360 --> 00:28:05.640]   face
[00:28:08.060 --> 00:28:13.420]   very much so. And in fact, one of our
