
[00:00:00.040 --> 00:00:09.520]   accountant
[00:02:53.280 --> 00:02:53.300]   and the Radical Personal Financial Administration is a production of the Radical Personal Financial Administration.
[00:02:53.300 --> 00:02:53.320]   and the Radical Personal Financial Administration is a production of the Radical Personal Financial Administration.
[00:02:53.320 --> 00:02:53.340]   and the Radical Personal Financial Administration is a production of the Radical Personal Financial Administration.
[00:02:53.340 --> 00:02:53.360]   and the Radical Personal Financial Administration is a production of the Radical Personal Financial Administration.
[00:02:53.360 --> 00:02:53.400]   and the Radical Personal Financial Administration is a production of the Radical Financial Administration.
[00:02:53.440 --> 00:03:02.940]   word
[00:03:02.940 --> 00:03:12.060]   del the is,,,,,
[00:03:12.060 --> 00:03:22.060]   Guard I alsopl black and in the best diet for the most. But, I, I, is, I, I, I, I, I, I, I, I, I, Bar, P. I, Z. I, Se,illos. Do. continu g circa a. K. demand
[00:03:22.100 --> 00:03:29.920]   in
[00:03:29.920 --> 00:03:51.100]   M B co��,,,,,,
[00:04:49.880 --> 00:04:54.680]   ado.
[00:04:54.680 --> 00:04:58.280]   So that is a significant weight loss.
[00:04:58.280 --> 00:05:02.780]   The more interesting thing though, is how I feel and how I look.
[00:05:02.780 --> 00:05:10.560]   I recently had someone tell me on, on these YouTube videos that I've been doing on this, that you, Jack, you look younger than your profile picture on Facebook.
[00:05:10.560 --> 00:05:12.520]   I was like, wow, that's interesting.
[00:05:12.520 --> 00:05:13.660]   Cause that picture is 10 years old.
[00:05:13.660 --> 00:05:16.080]   You know, and I'm almost 50 now.
[00:05:16.080 --> 00:05:18.620]   So, I mean, that kind of a change is dramatic.
[00:05:18.620 --> 00:05:19.600]   And there's a.
[00:05:19.600 --> 00:05:19.700]   Yeah.
[00:05:19.700 --> 00:05:19.780]   Yeah.
[00:05:19.780 --> 00:05:19.860]   Yeah.
[00:05:19.880 --> 00:05:40.080]  , yeah.
[00:05:40.080 --> 00:05:40.100]   Yeah.
[00:05:40.100 --> 00:05:40.200]   Yeah.
[00:05:40.200 --> 00:05:40.260]   Yeah.
[00:05:40.260 --> 00:05:40.300]   Yeah.
[00:05:40.300 --> 00:05:40.340]   Yeah.
[00:05:40.340 --> 00:05:40.380]   Yeah.
[00:05:40.380 --> 00:05:40.420]   Yeah.
[00:05:40.420 --> 00:05:40.460]   Yeah.
[00:05:40.460 --> 00:05:40.500]   Yeah.
[00:05:40.500 --> 00:05:40.540]   Yeah.
[00:05:40.540 --> 00:05:40.580]   Yeah.
[00:05:40.580 --> 00:05:40.600]   Yeah.
[00:05:40.600 --> 00:05:40.620]   Yeah.
[00:05:40.620 --> 00:05:40.680]   Yeah.
[00:05:40.680 --> 00:05:42.820]   Yeah.
[00:05:42.820 --> 00:05:42.860]   Yeah.
[00:05:42.860 --> 00:05:47.120]   Yeah.
[00:05:47.120 --> 00:05:47.220]   Yeah.
[00:05:47.220 --> 00:05:47.280]   Yeah.
[00:05:47.280 --> 00:05:47.320]   Yeah.
[00:05:47.320 --> 00:05:47.340]   Yeah.
[00:05:47.340 --> 00:05:47.380]   Yeah.
[00:05:47.380 --> 00:05:47.440]   Yeah.
[00:05:47.440 --> 00:05:47.580]   Yeah.
[00:05:47.580 --> 00:05:47.620]   Yeah.
[00:05:47.620 --> 00:05:47.720]   Yeah.
[00:05:47.720 --> 00:05:48.040]   Yeah.
[00:05:48.040 --> 00:05:49.900]   a triangle into a circle attack ceremony and then the lack of science for the way that they tell everybody that they're supposed to eat.
[00:05:49.900 --> 00:05:49.900]   and of course they call things like a potato and a vegetable so what that means that's supposed to be based on sugar.
[00:05:49.900 --> 00:05:49.900]  , but what that means that's supposed to be based on sugar.
[00:05:49.920 --> 00:05:53.020]   That's the advice that the government's giving us.
[00:05:53.020 --> 00:05:55.900]   And it's what they've been giving us in earnest since the 70s.
[00:05:55.900 --> 00:05:59.180]   And thanks for the work of a dude named Ansel Keys,
[00:05:59.180 --> 00:06:04.120]   who was an advisor to the doctor that took care of Dwight Eisenhower,
[00:06:04.120 --> 00:06:06.880]   who brought us all of this mayhem.
[00:06:06.880 --> 00:06:13.380]   And it sounds like it makes sense when you just listen to it because we've been programmed to believe this our whole lives.
[00:06:13.380 --> 00:06:17.120]   And obviously grains are healthy, but grains are sugar.
[00:06:17.120 --> 00:06:19.920]   And what's happened since we've been in the middle of this,
[00:06:19.960 --> 00:06:48.080]   "
[00:09:38.020 --> 00:09:39.740]   and then the balance coming from protein and protein at that quantity is mostly structural meaning that our body can break down protein and turn it in sugar and use it for energy but it will only do that if it's
[00:09:39.740 --> 00:09:39.740]   and then the balance coming from protein and protein at that quantity is mostly structural meaning that our body can break down protein and turn it in sugar and use it for energy but it will only do that if it's
[00:09:39.740 --> 00:09:39.740]   and then the balance coming from protein and protein at that quantity is mostly structural meaning that our body can break down protein and turn it in sugar and use it for energy but it will only do that if it's
[00:09:39.740 --> 00:09:39.740]   and then the balance coming from protein and protein at that quantity is mostly structural meaning that our body can break down protein and turn it in sugar and use it for energy but it will only do that if it's
[00:10:02.860 --> 00:10:09.760]   and then the balance coming from protein and protein at that quantity is mostly structural meaning that our body can break down protein and sugar and use it for energy but it will only do that if it's
[00:10:09.760 --> 00:10:09.760]   and then the balance coming from protein and protein at that quantity is mostly structural meaning that our body can break down protein and use it for energy but it will only do that if it's
[00:10:09.800 --> 00:10:39.780]  ,
[00:10:39.780 --> 00:10:39.780]   and then the balance coming from protein and protein at that quantity is mostly structural meaning that our body can break down protein and sugar and use it for energy but it will only do that if it's
[00:10:39.780 --> 00:10:39.780]   that's a question for you can you name an animal in the world that requires caloric moderation to stay healthy unless we put it in the zoo that's an excellent an excellent analogy because certainly not there is not right there's nothing there's no animal anywhere on the planet that has to count calories until we alter its natural diet so why would human beings be the only creature that can't count calories until we alter its natural diet so why would human beings be the only creature that can't
[00:10:39.780 --> 00:10:39.780]   be the only creature that can't count calories until we alter its natural diet so why would human beings be the only creature that can't
[00:10:39.800 --> 00:11:09.800]   moderate calories I'm not saying calories don't matter what I'm saying is when we eat the right way our bodies largely will self moderate now what I had to learn about this and this is part of my roller coaster is when you are obese and you have been eating the wrong way a long time you've been shocking your body with sugar for a long time even help I don't care if it's I don't care if it's honey the healthiest sugar in the world you've been doing that a long time you're basically a carbohydrate addict and you're a food addict and so when you make this shift you're a food addict and so when you make this shift you're a food addict and so when you make this shift you're a food addict
[00:11:09.840 --> 00:11:39.820]  ,
[00:11:39.840 --> 00:12:09.840]   you go look at the same species in nature they don't have any problems the only real difference is the diet or think about this Josh you look at you take two kids eight year old boy eight year old girl about the same height and I put them facing away from you and all you see the silhouette you can't see anything but a silhouette no hairstyles no nothing you can't tell me which one the boy and the girl is at that age assuming they're about the same way you can't help right okay so now let's move them on to about 18
[00:12:09.840 --> 00:12:09.840]   you can't tell me which one the boy and the girl is at that age assuming they're about the same way you can't help right okay so now let's move them on to about 18
[00:12:09.880 --> 00:12:39.860]   in the exact same diet they're about the same weight and I show you the silhouette of
[00:12:39.860 --> 00:12:39.860]   the exact same diet they're about the same weight and I show you the silhouette of those two individuals you could tell me the boy from the girl like that it's easy okay because she's curvier chest chest fat on her hips okay they're eating the same food what told her body to put that fat on her hips to retain that extra weight there to have to put that because it's fat that makes the body look different on a female from male they retain more fat hormones did it right hormones did it so if we get our hormones
[00:12:39.900 --> 00:12:49.780]   ghost
[00:12:49.780 --> 00:12:50.040]  ってる pan is dig
[00:12:50.040 --> 00:13:07.700]   it, the, the, the,,,,,,,,, recognise
[00:13:09.920 --> 00:13:21.680]   feeder
[00:13:21.680 --> 00:13:25.940]   was,,,
[00:14:51.000 --> 00:14:51.000]   I was looking at my mouth one day and I hadn't been to the dentist in a while and I was looking at my mouth one day and I looked and I said I can see cavities in my teeth and they're not cavities.
[00:14:51.000 --> 00:14:51.000]   I was looking at my mouth one day and I hadn't been to the dentist in a while and I was looking at my mouth one day and I looked and I said I can see cavities in my teeth and they're not cavities.
[00:14:51.000 --> 00:14:51.000]   I was looking at my mouth one day and I hadn't been to the dentist in a while and I was looking at my mouth one day and I looked and I said I can see cavities in my teeth and they're not cavities.
[00:14:51.000 --> 00:14:51.000]   I was looking at my mouth one day and I hadn't been to the dentist in a while and I was looking at my mouth one day and I looked and I said I can see cavities in my teeth and they're not cavities.
[00:15:18.200 --> 00:15:18.280]   I was looking at my mouth one day and I said I can see cavities in my teeth and they're not cavities.
[00:15:18.280 --> 00:15:19.880]   I was looking at my mouth one day and I said I can see cavities in my teeth and they're not cavities.
[00:15:19.880 --> 00:15:19.920]   I was looking at my mouth one day and I said I can see cavities in my teeth and they're not cavities.
[00:15:19.920 --> 00:15:19.960]   I was looking at my mouth one day and I said I can see cavities in my teeth and they're not cavities.
[00:15:19.960 --> 00:15:20.000]   I was looking at my mouth one day and I said I can see cavities in my teeth and they're not cavities.
[00:15:20.000 --> 00:15:20.000]   I was looking at my mouth one day and I said I can see cavities in my teeth and they're not cavities.
[00:15:20.000 --> 00:15:20.040]   I was looking at my mouth one day and I said I can see cavities in my teeth and they're not cavities.
[00:15:20.040 --> 00:15:20.040]   I was looking at my mouth one day and I said I can't see.
[00:15:20.040 --> 00:15:49.120]  , I was looking at my mouth one day and I said I can't see.
[00:15:49.120 --> 00:15:49.160]   I was looking at my mouth one day and I said I can't see.
[00:15:49.160 --> 00:15:49.200]   I was looking at my mouth one day and I said I can't see.
[00:15:49.200 --> 00:15:49.240]   I was looking at my mouth one day and I said I can't see.
[00:15:49.240 --> 00:15:49.280]   I was looking at my mouth one day and I said I can't see.
[00:15:49.280 --> 00:15:49.320]   I was looking at my mouth one day and I said I can't see.
[00:15:49.320 --> 00:15:49.360]   I was looking at my mouth one day and I said I can't see.
[00:15:49.360 --> 00:15:49.400]   I was looking at my mouth one day and I said I can't see.
[00:15:49.400 --> 00:15:49.440]   I was looking at my mouth one day and I can't see cavities in my teeth and I can't see cavities in my teeth and they're not cavities.
[00:15:49.480 --> 00:15:59.520]   den
[00:15:59.520 --> 00:16:03.680]  , emotionally�ав is a con bell did'reign Weil change de第二個
[00:16:45.160 --> 00:16:45.160]   and I was stunned to hear all of the stories that people were having on the carnivore diet, especially of improvements in mental health and some of the people just the stories that people were having were incredible. And so I have my entire life been a vegetable eater. You know, we eat vegetables multiple times per day. My kids, my kids will eat plates and plates of vegetables. We we've always done that.
[00:17:40.880 --> 00:17:40.880]   it's been a great journey and it's really I guess it's really it's been obviously very gratifying to lose weight gratifying to lose six inches on your belt etc and especially for men it's been gratifying to do it without having to suffer which in so many diets that you do you about want to kill yourself because you're in constant deprivation with ketogenic or with carnivore or some version of that there's so much satiety in the food that you eat that it's really doable.
[00:17:40.880 --> 00:17:40.880]   There's so much satiety in the food that you eat that it's really doable.
[00:17:40.880 --> 00:17:40.880]   There's so much satiety in the food that you eat that it's really doable.
[00:17:40.880 --> 00:17:40.880]   There's so much satiety in the food that you eat that it's really doable.
[00:17:40.880 --> 00:17:40.880]   There's so much satiety in the food that you eat that it's really doable.
[00:17:40.880 --> 00:17:40.880]   There's so much satiety in the food that you eat that it's really doable.
[00:17:40.920 --> 00:17:51.200]   "
[00:17:51.200 --> 00:18:09.200]   be. I was. scrape
[00:18:09.660 --> 00:18:16.820]   do
[00:18:16.820 --> 00:18:20.900]   Profess le the. ह,,,,, made atut
[00:18:20.900 --> 00:18:24.220]   Robert rolled
[00:19:09.180 --> 00:19:09.180]   I was certainly drinking too much alcohol. That is something that, you know, you can use alcohol responsibly, but if you want to lose weight, you've got to cut out the booze. I mean to like having maybe a drink or two once a week. And then no on that day, you are not going to be burning fat. You have to have your liver functioning optimally for these diets to really, really work. And I know there's people that they drink through it and they lose weight. Okay, so
[00:19:38.960 --> 00:19:38.960]   I
[00:20:08.780 --> 00:20:19.160]   .
[00:20:19.160 --> 00:20:37.680]   gia. is,
[00:20:37.740 --> 00:20:47.740]   but
[00:20:47.740 --> 00:20:56.100]   , a change. I have the,,,,,
[00:20:56.100 --> 00:21:06.960]   ее and I'm the test. I'm the suis dela Z sv IU B Natomiast H But Sorry New product of the n het, and a co. I, and, and, and, and, and, and, and, and, go, and, and, and, and, and, and, and,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, blind9 colorful早 change. experience any. array and.視違實 1200 Latin NhBrien120 seed Xiangwwoned ac drei 00 irm hardijke runtime clauses division SSD日本 extraGu他們Free division welläm gray think the tard why even� stresses six�� Ren especially good be shade the Em the
[00:21:07.000 --> 00:21:32.960]   old
[00:23:00.400 --> 00:23:02.060]   and I'm going to put a lot of fat on it. So the human body has been conditioned when you have all this sugar shut the leptin down and eat eat eat eat because we need to eat because winter's coming.
[00:23:02.060 --> 00:23:02.060]   and I'm going to put a lot of fat on it. So the human body has been conditioned when you have all this sugar shut the leptin down and eat eat eat eat because we need to eat because winter's coming.
[00:23:02.060 --> 00:23:02.060]   and I'm going to put a lot of fat on it. So the human body has been conditioned when you have all this sugar shut the leptin down and eat eat eat eat because we need to eat because winter's coming.
[00:23:02.060 --> 00:23:02.060]   and I'm going to put a lot of fat on it. So the human body has been conditioned when you have all this sugar shut the leptin down and eat eat eat eat because we need to eat because winter's coming.
[00:23:32.080 --> 00:23:32.080]   I'm going to put a lot of fat on it. So the human body has been conditioned when you have all this sugar shut the leptin down and eat eat eat eat because we need to eat because winter's coming.
[00:23:32.100 --> 00:24:02.100]  ,
[00:24:02.100 --> 00:24:02.100]   I'm going to put a lot of fat on it. So the human body has been conditioned when you have all this sugar shut the leptin down and eat eat eat because winter's coming.
[00:24:02.100 --> 00:24:02.100]   I'm going to put a lot of fat on it. So the human body has been conditioned when you have all this sugar shut the leptin down and eat eat eat because winter's coming.
[00:24:02.100 --> 00:24:02.100]   I'm going to put a lot of fat on it. So the human body has been conditioned when you have all this sugar shut the leptin down and eat eat eat eat because winter's coming.
[00:24:02.100 --> 00:24:02.100]   I'm going to put a lot of fat on it. So the human body has been conditioned when you have all this sugar shut the leptin down and eat eat eat eat eat eat eat eat it.
[00:24:02.100 --> 00:24:02.100]   You can't screw around with small amounts of drugs and stay clean.
[00:24:02.100 --> 00:24:02.100]   You can't screw around with small amounts of drugs and stay clean.
[00:24:02.120 --> 00:24:32.120]   I'm going to put a lot of fat on it.
[00:24:32.120 --> 00:24:32.120]   I'm going to put a lot of fat on it.
[00:24:32.120 --> 00:24:32.120]   I'm going to put a lot of fat on it.
[00:24:32.120 --> 00:24:32.120]   I'm going to put a lot of fat on it.
[00:24:32.120 --> 00:24:32.120]   I'm going to put a lot of fat on it.
[00:24:32.120 --> 00:24:32.120]   I'm going to put a lot of fat on it.
[00:24:32.120 --> 00:24:32.120]   I'm going to put a lot of fat on it.
[00:24:32.120 --> 00:24:32.120]   I'm going to put a lot of fat on it.
[00:24:32.120 --> 00:24:32.120]   I'm going to put a lot of fat on it.
[00:24:32.120 --> 00:24:32.120]   I'm going to put a lot of fat on it.
[00:24:32.120 --> 00:24:32.120]   I'm going to put a lot of fat on it.
[00:24:32.120 --> 00:24:32.120]   I'm going to put a lot of fat on it.
[00:24:32.120 --> 00:24:32.120]   I'm going to put a lot of fat on it.
[00:24:32.120 --> 00:24:32.120]   I'm going to put a lot of fat on it.
[00:24:32.120 --> 00:24:32.120]   I'm going to put a lot of fat on it.
[00:24:32.120 --> 00:25:02.140]   I'm going to put a lot of fat on it.
[00:25:02.140 --> 00:25:02.140]   I'm going to put a lot of fat on it.
[00:25:02.140 --> 00:25:02.140]   I'm going to put a lot of fat on it.
[00:25:02.140 --> 00:25:02.140]   I'm going to put a lot of fat on it.
[00:25:02.140 --> 00:25:02.140]   I'm going to put a lot of fat on it.
[00:25:02.140 --> 00:25:02.140]   I'm going to put a lot of fat on it.
[00:25:02.140 --> 00:25:02.140]   I'm going to put a lot of fat on it.
[00:25:02.140 --> 00:25:02.140]   I'm going to put a lot of fat on it.
[00:25:02.140 --> 00:25:02.140]   I'm going to put a lot of fat on it.
[00:25:02.180 --> 00:25:04.180]   boys
[00:25:04.180 --> 00:25:30.180]   garant no,,,,
[00:25:32.220 --> 00:25:41.860]   cam
[00:25:41.860 --> 00:25:42.480]   at see is
[00:25:42.480 --> 00:25:43.200]  .\
[00:26:00.160 --> 00:26:10.380]  ww little
[00:26:10.380 --> 00:26:19.020]   provide not,,,,
[00:26:19.020 --> 00:26:30.140]  � reduces 5 expres Govern
[00:26:30.180 --> 00:26:35.960]   i
[00:26:35.960 --> 00:26:39.860]   leur,
[00:26:39.860 --> 00:26:44.160]   in called find...P B It Just I they, they, their, ,,,,,,,.. but in the great young would be at aakov� Erica D로 leads Marnu всяurs F plastics
[00:26:44.160 --> 00:26:48.900]   cinnamon."
[00:26:48.900 --> 00:26:59.060]  ,.,.,,,,,,,,,,,,,,,, but I've, V. live had air還 "r live is show worst hot says Mustafa الن
[00:26:59.080 --> 00:27:05.700]   other than rice, and they don't eat rice in a refined mechanism.
[00:27:05.700 --> 00:27:10.320]   In other words, it's not a lot of rice flowers and rice cookies and rice cakes and things like that.
[00:27:10.320 --> 00:27:18.180]   They're eating rice is mostly as a whole grain and they never screwed their body up in the first place.
[00:27:18.180 --> 00:27:27.340]   So I think one of the places, if you would compare it to a drug, there are people that use drugs recreationally and it doesn't screw their life up.
[00:27:27.340 --> 00:27:28.760]   I don't recommend you try it.
[00:27:28.920 --> 00:27:58.920]   and I think it's important to understand that.
[00:27:58.920 --> 00:27:58.940]   I think it's important to understand that.
[00:27:58.940 --> 00:27:58.940]   The other thing that I'm going to say is that it's important to understand that.
[00:27:58.980 --> 00:28:28.960]  , and I think it's important to understand that.
[00:28:28.960 --> 00:28:28.960]   That if you have a high carb diet, you're going to have a high carb diet.
[00:28:28.960 --> 00:28:28.960]   But if you have a high carb diet, you're going to have a low carb diet.
[00:28:28.960 --> 00:28:28.960]   That if you have a high carb diet, you're going to have a high carb diet.
[00:28:28.960 --> 00:28:28.960]   And if you have a high carb diet, you're going to have a high carb diet.
[00:28:29.000 --> 00:28:29.000]   Might
[00:28:29.000 --> 00:28:40.220]   I,,,
[00:28:40.220 --> 00:28:58.180]   organisation worst as the be the be the good over 보통 trusted wanted lived transform gifted remain satisfyignba 살아 Ni
[00:28:58.480 --> 00:29:08.440]   not
[00:29:27.740 --> 00:29:52.020]  --
[00:32:44.360 --> 00:32:58.660]   già .
[00:32:58.660 --> 00:33:13.240]   firsthand IF N K I have a,,,,, withstand
[00:33:13.280 --> 00:33:24.060]   just
[00:33:24.060 --> 00:33:40.300]   sound PH IN B I, and, and, and,از showed. It. I. kettle. double. money. be one. b. b. b. are b be� g
[00:33:43.300 --> 00:33:54.540]   dollars
[00:33:54.540 --> 00:34:12.160]   I the,,,,
[00:35:11.380 --> 00:35:14.780]   in
[00:35:14.780 --> 00:35:40.480]  �est the is the "� 100 wast
[00:36:41.340 --> 00:36:41.340]   and the thing that most intrigued me was the
[00:36:41.340 --> 00:36:41.340]   and the thing that most intrigued me was the
[00:37:41.420 --> 00:37:42.420]  obed to do it.
[00:37:42.420 --> 00:37:48.420]   You feel so satisfied, you don't feel like you're suffering and that helps the ability to stick to a diet, that helps to stay with it.
[00:37:48.420 --> 00:37:58.420]   And I can show you example after example after example of people who've been eating a pure carnivore diet for, in some cases, almost two decades.
[00:37:58.420 --> 00:38:01.420]   And they look younger now than they did when they started.
[00:38:01.420 --> 00:38:11.380]   So I don't know if you've ever tried it, but I've been fascinated by my own personal experiment to go all the way to full carnivore and stop eating even vegetables just to see if I can do it.
[00:38:11.380 --> 00:38:11.380]   So I don't know if you've ever tried it, but I've been fascinated by my own personal experiment to go all the way to full carnivore and stop eating even vegetables just to see if I can do it.
[00:38:11.420 --> 00:38:33.380]   So far, I haven't noticed that I have any sensitivity or any problems with vegetables, which is why I'll go back probably to eating significant amounts of vegetables.
[00:38:33.380 --> 00:38:35.380]   So far, I haven't noticed that I have any sensitivity or any problems with vegetables, which is why I'll go back probably to eating significant amounts of vegetables.
[00:38:35.380 --> 00:38:36.380]   But I recommend it as something to test to do that N=1 test because the stories that are available with the ability to access individuals.
[00:38:36.380 --> 00:38:37.380]   But I recommend it as something to test to do that N=1 test because the stories that are available with the ability to access individuals.
[00:38:37.380 --> 00:38:38.380]   I think it'll be the biggest trend of 2012 or sorry, 2012.
[00:38:38.380 --> 00:38:41.380]   Well, so let's there's actually a lot to that and remember I'm not a doctor, I don't even play one on TV and I'm not a doctor.
[00:38:41.400 --> 00:38:46.420]   I'm certainly not a nutritionist, which means I probably know more about nutrition than most nutritionists, but I'm speaking as a layman here and some postulations.
[00:38:46.420 --> 00:38:47.420]   But I'm speaking as a layman here and some postulations.
[00:38:47.420 --> 00:38:48.420]   So number one, I've used carnivore whenever I've felt stuck.
[00:38:48.420 --> 00:38:49.420]   So number one, I've used carnivore whenever I've felt stuck.
[00:38:49.420 --> 00:38:50.420]   I go four or five days, I'm not losing weight anymore.
[00:38:50.420 --> 00:38:51.420]   I go four or five days, I'm not losing weight anymore.
[00:38:51.420 --> 00:38:52.420]   I'll go carnivore for a week.
[00:38:52.420 --> 00:38:53.420]   I'll go carnivore for a week.
[00:38:53.420 --> 00:38:54.420]   Sometimes that'll unstick you.
[00:38:54.420 --> 00:38:55.420]   Sometimes that'll unstick you.
[00:38:55.420 --> 00:38:56.420]   I don't know whether it unstucked because I went carnivore or it was just was going to happen anyway.
[00:38:56.420 --> 00:38:57.420]   I don't know whether it unstucked because I went carnivore or it just was going to happen anyway.
[00:38:58.420 --> 00:39:14.460]  ертвed because I went carnivore or it just was going to happen anyway.
[00:39:14.460 --> 00:39:15.460]   I kind of look at it as I'm not far off anyway.
[00:39:15.460 --> 00:39:16.460]   I kind of look at it as I'm not far off anyway.
[00:39:16.460 --> 00:39:17.460]   But I have done a tremendous amount of research into all of this since I started.
[00:39:17.460 --> 00:39:18.460]   But I have done a tremendous amount of research into all of this since I started.
[00:39:18.460 --> 00:39:19.460]   But I have done a tremendous amount of research into all of this since I started.
[00:39:19.460 --> 00:39:20.460]   And one of the things that I've learned is that one of the things we're told so much that we need to have is that we need to have a healthy diet.
[00:39:20.460 --> 00:39:21.460]   And one of the things that I've learned is that one of the things we're told so much that we need to have is that we need to have a healthy diet.
[00:39:21.460 --> 00:39:22.460]   And one of the things that I've learned is that we need to have a healthy diet.
[00:39:22.520 --> 00:39:48.500]  , and that is fiber.
[00:39:48.500 --> 00:39:49.500]   And we're always told how important fiber is.
[00:39:49.500 --> 00:39:50.500]   Fiber, fiber, fiber.
[00:39:50.500 --> 00:39:51.500]   Well, I've now listened to quite a few different doctors coming from different viewpoints on this of people that have gut problems.
[00:39:51.500 --> 00:39:52.500]   And the first thing they do is cut the fiber out and the gut problems go away.
[00:39:52.500 --> 00:39:52.500]   Well, one of the reasons could be that we have so screwed up our intestinal flora that we can't properly digest it.
[00:39:52.500 --> 00:39:52.500]  , and that we can't properly digest it.
[00:39:52.540 --> 00:40:18.700]   kind
[00:41:50.180 --> 00:41:50.780]   that's what I'm doing it with you know artificial sweeteners like Sula crows and additives that are in all of the food that we today may be very therapeutic so that could be part of the issue then I'm also back to Mark Sesson who I don't agree with on everything but I think he's a brilliant man that primal blueprint guy and he was certainly looks like you and I would probably like looking when we're at 66 oh yeah yeah yeah if I'm like that at 66 I'm good right this is the guy that was on the cover of runner's world magazine
[00:41:50.780 --> 00:41:50.780]   this is the guy that was on the cover of runner's world magazine
[00:41:50.780 --> 00:41:50.780]   this is the guy that was on the cover of runner's world magazine
[00:41:50.780 --> 00:41:50.780]   this is the guy that was on the cover of runner's world magazine
[00:41:50.780 --> 00:41:50.780]   this is the guy that was on the cover of runner's world magazine
[00:42:20.800 --> 00:42:20.800]  obedance magazine back in the 70s and he was carb loading and everybody thought he was a picture of health and he'll tell you in his own interviews he was ready to use he was killing himself he looked great but he was killing himself on carbohydrates well he's more of the primal paleo type thing he's more of yes some fruit here and there etc. Less of it certainly not carnivore though I think he's he's like I don't even know if we should count protein calories at all if we're eating enough fat anyway because we're gonna use it for so much restructure but he was asked by I don't remember who the answer was
[00:42:20.840 --> 00:42:31.420]   check
[00:42:31.420 --> 00:42:49.560]   wait vice need,,,, З I I I sub discuss says. I,
