
[00:00:00.040 --> 00:00:09.760]   rested this
[00:02:35.200 --> 00:02:54.640]   I found myself using this model not so much as a developmental model. I'm not even sure if it's a very good developmental model because I saw my children not progressing exactly like that. I also suspect that you don't go through these stages necessarily in succession, and it's not that you work through one stage and then you get into the next one, and you're not that successful in the next one. I also suspect that you don't go through these stages necessarily in succession, and it's not that you work through one stage and then you get into the next one,
[00:02:54.680 --> 00:03:24.640]  , and you're not that successful in the next one, and you're not that successful in the next one, and you're not that successful in the next one.
[00:03:24.660 --> 00:03:54.640]   In some sense, you could compare it to a game engine like Minecraft or social colors and sounds. People are all not physical objects. They are creation of our mind at a certain level of coarse grainy models that are mathematical, that use geometry, that use manipulation of objects and so on to be able to do this kind of work.
[00:03:54.780 --> 00:04:24.640]   a great thing in which we can find ourselves and interact with them. So Minecraft, yeah, and this personal stuff is something that is more or less created after the world is finished after it's trained into the system after it has been constructed and this personal stuff is an agent that interacts with the outside world. And the outside world is not the world of quantum mechanics, not the physical universe, but it's the model that has been generated in our own mind.
[00:04:24.640 --> 00:04:24.640]   The outside world is not the world of quantum mechanics, not the physical universe, but it's the model that has been generated in our own mind.
[00:04:24.640 --> 00:04:24.640]   The outside world is not the world of quantum mechanics, not the physical universe, but it's the model that has been generated in our own mind.
[00:04:24.640 --> 00:04:24.640]   The outside world of quantum mechanics, not the physical universe, not the physical universe, but it's the model that has been generated in our own mind.
[00:04:24.660 --> 00:04:29.680]   And this is us. And we experience ourselves interacting with that outside world
[00:04:29.680 --> 00:04:31.980]   that is created outside of our own mind.
[00:04:31.980 --> 00:04:34.920]   And outside of ourself, there are feelings,
[00:04:34.920 --> 00:04:38.680]   and they presented our interface with this outside world.
[00:04:38.680 --> 00:04:40.560]   They pose problems to us.
[00:04:40.560 --> 00:04:42.340]   These feelings are basically attitudes
[00:04:42.340 --> 00:04:46.060]   that our mind is computing that tell us what's needed in the world,
[00:04:46.060 --> 00:04:47.720]   the things that we are drawn to,
[00:04:47.720 --> 00:04:49.640]   the things that we are afraid of.
[00:04:49.640 --> 00:04:54.640]   And we are tasked with solving this problem of satisfying the needs
[00:04:54.640 --> 00:04:54.640]   of the world.
[00:04:54.640 --> 00:04:54.640]   We are tasked with solving this problem of satisfying the needs
[00:04:54.640 --> 00:04:54.640]   of the world.
[00:04:54.640 --> 00:04:54.640]   And we are tasked with solving this problem of satisfying the needs
[00:04:54.640 --> 00:04:54.640]   of the world.
[00:04:54.640 --> 00:04:54.640]   And we are tasked with solving this problem of satisfying the needs
[00:04:54.640 --> 00:04:54.640]   of the world.
[00:04:54.640 --> 00:04:54.640]   And we are tasked with solving this problem of satisfying the needs
[00:04:54.640 --> 00:04:54.640]   of the world.
[00:04:55.640 --> 00:05:24.640]  ,
[00:05:24.640 --> 00:05:24.640]   and we are tasked with solving this problem of satisfying the needs
[00:05:24.640 --> 00:05:24.640]   of the world.
[00:05:24.640 --> 00:05:24.640]   And we are tasked with solving this problem of satisfying the needs
[00:05:24.640 --> 00:05:24.640]   of the world.
[00:05:24.640 --> 00:05:24.640]   And we are tasked with solving this problem of satisfying the needs
[00:05:24.640 --> 00:05:24.640]   of the world.
[00:05:24.640 --> 00:05:24.640]   And we are tasked with solving this problem of satisfying the needs of the world.
[00:05:24.640 --> 00:05:24.640]   And we are tasked with solving this problem of satisfying the needs of the world.
[00:05:24.640 --> 00:05:24.640]   And we are tasked with solving this problem of satisfying the needs of the world.
[00:05:24.680 --> 00:05:32.540]   Is
[00:05:32.540 --> 00:05:38.920]   like in the
[00:05:53.200 --> 00:06:00.160]   Всем
[00:06:00.160 --> 00:06:03.260]   to to בע
[00:06:03.260 --> 00:06:03.480]  vin,ally,,,,,, plac STR P L V I is chainsszy attend the thing. And,��,K,N,G,I,G, Anton
[00:06:03.480 --> 00:06:06.660]  他
[00:06:06.660 --> 00:06:23.200]   X. val passion logr my re Mad 제대로 apprent the Buc I have a Tom put the, aänd the wait a 12έρ at the made the see the play in the basically re is a ос 모 the men's aunter the remain the gae in the belong the con開 the bed's that la vie@S.We�G.�B. descobrir the cess чер � r. miniature the sh!* D.�ион
[00:06:23.240 --> 00:06:33.040]   but
[00:06:33.040 --> 00:06:50.780]   unnecess mes. ",
[00:07:20.240 --> 00:07:20.240]   and,
[00:07:20.280 --> 00:07:48.760]  ,
[00:07:48.780 --> 00:08:17.280]   McClellan: Well, aren't we in the whole process of the stage threes to figure out the API to the other humans that have different architecture and you yourself publish public documents and you publish documents and you publish documents and you publish documents and you publish documents and you publish documents.
[00:08:17.280 --> 00:08:17.280]   The architecture of the other to some degree, or find some common ground.
[00:08:45.800 --> 00:08:45.800]   It's a little bit of a long way to go.
[00:08:45.800 --> 00:08:45.800]   It's a little bit of a long way to go.
[00:08:45.800 --> 00:08:45.800]   It's a little bit of a long way to go.
[00:08:45.800 --> 00:08:45.800]   It's a little bit of a long way to go.
[00:08:45.800 --> 00:08:45.800]   It's a little bit of a long way to go.
[00:08:45.800 --> 00:08:45.800]   It's a little bit of a long way to go.
[00:08:45.800 --> 00:08:45.800]   It's a little bit of a long way to go.
[00:08:45.800 --> 00:08:45.880]   It's a little bit of a long way to go.
[00:08:45.880 --> 00:08:45.960]   It's a little bit of a long way to go.
[00:08:45.960 --> 00:08:46.040]   It's a little bit of a long way to go.
[00:08:46.040 --> 00:08:46.080]   It's a little bit of a long way to go.
[00:08:46.080 --> 00:08:46.120]   It's a little bit of a long way to go.
[00:08:46.120 --> 00:08:46.200]   It's a little bit of a long way to go.
[00:08:46.200 --> 00:08:46.320]   It's a little bit of a long way to go.
[00:08:46.320 --> 00:08:46.360]   It's a little bit of a long way to go.
[00:08:46.400 --> 00:09:15.600]  ,
[00:09:15.600 --> 00:09:16.420]   It's a little bit of a long way to go.
[00:09:16.420 --> 00:09:16.420]   It's a little bit of a long way to go.
[00:09:16.420 --> 00:09:16.420]   It's a little bit of a long way to go.
[00:09:16.420 --> 00:09:16.420]   It's a little bit of a long way to go.
[00:09:16.420 --> 00:09:16.420]   It's a little bit of a long way to go.
[00:09:16.420 --> 00:09:16.420]   It's a little bit of a long way to go.
[00:09:16.420 --> 00:09:16.420]   It's a little bit of a long way to go.
[00:09:16.420 --> 00:09:16.420]   It's a little bit of a long way to go.
[00:09:16.420 --> 00:09:16.420]   It's a little bit of a long way to go.
[00:09:16.420 --> 00:09:16.420]   It's a little bit of a long way to go.
[00:09:16.420 --> 00:09:16.420]   It's a little bit of a long way to go.
[00:09:16.460 --> 00:09:24.320]  ips
[00:09:24.320 --> 00:09:33.560]   .. I and faster
[00:09:33.560 --> 00:09:42.060]   provide 100 I be lok 1960
[00:10:06.480 --> 00:10:08.300]   I would like to thank you for your time.
[00:10:08.300 --> 00:10:08.300]   It takes a long time to figure out and it's okay to be different. In fact, it's beautiful to be different.
[00:10:08.320 --> 00:10:34.980]   You know, I think that's what I was thinking when I was growing up. That I would connect to at such a deep level that I would feel that I could belong.
[00:10:34.980 --> 00:11:03.160]  , but I felt that in my twenties I had lots of friends and I had my place in the world and I had no longer doubts that I would never be alone again.
[00:11:03.160 --> 00:11:03.660]   Is there some aspect to which we're alone together? You don't see a deep loneliness inside you?
[00:11:03.660 --> 00:11:04.160]   No, I don't think so.
[00:11:04.160 --> 00:11:33.840]  , sorry.
[00:11:33.840 --> 00:11:34.140]   Okay, so that's the nonlinear progression through the stages. I suppose you caught up on stage three at some point.
[00:11:34.140 --> 00:12:04.160]  , so that's the nonlinear progression through the stages. I suppose you caught up on stage three at some point.
[00:12:04.160 --> 00:12:04.160]   So, I think that's the nonlinear progression through the stages. I suppose you caught up on stage three at some point.
[00:12:04.160 --> 00:12:04.160]   So, I think that's the nonlinear progression through the stages. I suppose you caught up on stage three at some point.
[00:12:04.160 --> 00:12:04.160]   So, I think that's the nonlinear progression through the stages. I suppose you caught up on stage three at some point.
[00:12:04.180 --> 00:12:06.600]   To a large degree.
[00:12:06.600 --> 00:12:07.260]   What was the trick?
[00:12:07.260 --> 00:12:07.260]   To a large degree. What was the trick?
[00:12:07.260 --> 00:12:10.260]   In many ways growing up and paying attention. Meditation did help. I had some very crucial experiences in getting close to people, building connections, cuddling a lot in my student years.
[00:12:10.260 --> 00:12:24.660]   In many ways growing up and paying attention. Meditation did help. I had some very crucial experiences in getting close to people, building connections, cuddling a lot in my student years.
[00:12:24.680 --> 00:12:54.680]   So, really paying attention to the, what is it, to the feeling another human being fully.
[00:12:54.680 --> 00:12:54.680]   And loving other people and being loved by other people.
[00:12:54.680 --> 00:12:54.680]   So, really paying attention to the, what is it, to the feeling another human being fully.
[00:12:54.680 --> 00:12:54.680]   And loving other people and being loved by other people.
[00:12:54.680 --> 00:12:54.680]   And building a space in which you can be safe and can experiment and touch a lot and be close to somebody a lot.
[00:12:54.680 --> 00:12:54.680]   And building a space in which you can be safe and can experiment and touch a lot and be close to somebody a lot.
[00:12:54.680 --> 00:12:54.680]   Over time basically at some point you realize, oh, it's no longer that I feel blocked out.
[00:12:54.680 --> 00:12:54.680]   Over time basically at some point you realize, oh, it's no longer that I feel blocked out.
[00:12:54.680 --> 00:12:54.680]   So, I think that's the nonlinear progression through the stages.
[00:12:54.680 --> 00:12:54.680]   So, I think that's the nonlinear progression through the stages.
[00:12:54.680 --> 00:13:24.700]  , but I feel connected and I experience where somebody else is at.
[00:13:24.700 --> 00:13:24.700]   Normally my mind is racing very fast at a high frequency. So, it's not always working like this. Sometimes it works better, sometimes it works less. But also don't see this as a pressure. It's more, it's interesting to observe myself on which frequency I'm at and at which mode somebody else is at. Yeah, man, the mind is so beautiful in that way. Sometimes it comes so natural to me. So, even if I'm not in the right place, I'm not in the right place.
[00:13:24.720 --> 00:13:54.720]   It's easy to pay attention, pay attention to the world fully, to other people fully. And sometimes the stress over silly things is overwhelming. It's so interesting to demise that rollercoaster in that way.
[00:13:54.720 --> 00:13:54.720]   It's easy to pay attention, pay attention to the world fully, to other people fully. And sometimes the stress over silly things is overwhelming. It's so interesting to demise that rollercoaster in that way.
[00:13:54.720 --> 00:13:54.720]   At stage five, you discover how identity is constructed. Self-offer.
[00:13:54.720 --> 00:13:54.720]   You realize that your values are not terminal, but they are instrumental to achieving a world that you like and aesthetics that you prefer.
[00:13:54.720 --> 00:13:54.720]   Yeah.
[00:13:54.720 --> 00:13:54.720]   The more you understand this, the more you get agency over how your identity is constructed.
[00:13:54.720 --> 00:13:54.720]   Yeah.
[00:13:54.720 --> 00:13:54.720]   So, the more you understand this, the more you get agency over how your identity is constructed
[00:13:54.720 --> 00:13:54.720]   a little more you get agency over how your identity is constructed
[00:13:54.720 --> 00:13:54.720]   a little bit more easily,
[00:13:54.720 --> 00:14:24.740]   a little bit more easily,
[00:14:24.740 --> 00:14:24.740]   and you realize that identity and interpersonal interaction is a costume. And you should be able to have agency over that costume. It's useful to be a costume. It tells something to others and it allows to interface and roles. But being locked into this is a big limitation. The word costume kind of implies that it's fraudulent in some way. Is costume a good word for you? No. Like we present ourselves to the world. In some sense I learned a lot about costumes because I'm not a good person.
[00:14:24.780 --> 00:14:35.000]   sa the,
[00:14:35.000 --> 00:14:35.120]   count the is여
[00:14:35.120 --> 00:14:53.500]   Push " A It I the party but the I have a didnt happiness, and, and, and, and, and, and, Gur,
[00:14:54.540 --> 00:15:04.400]   probably
[00:15:04.400 --> 00:15:21.220]   DON B or,,,,
[00:15:23.000 --> 00:15:33.360]   en
[00:15:33.360 --> 00:15:33.980]   you,
[00:15:33.980 --> 00:15:51.780]  falls
[00:16:23.000 --> 00:16:23.000]   and
[00:16:23.000 --> 00:16:23.000]   it,
[00:16:23.000 --> 00:16:23.000]   It does allow you to understand why other people have different identities from yours. And it allows you to understand that the difference between people who vote for different parties and might have very different opinions and different value systems is often the accident of where they are born and what happens to them.
[00:16:53.020 --> 00:16:53.020]   - How many costumes do you have? - I don't count. But in... - More than one? - Yeah, of course. - How easy is it to do costume changes throughout the day? - It's just a matter of energy and interest.
[00:16:53.020 --> 00:16:53.020]   - How many costumes do you have? - I don't count. But in... - More than one? - Yeah, of course. - How easy is it to do costume changes throughout the day? - It's just a matter of energy and interest.
[00:16:53.020 --> 00:16:53.020]   - How many costumes do you have? - I don't count. But in... - More than one? - Yeah, of course. - How easy is it to do costume changes throughout the day? - It's just a matter of energy and interest.
[00:16:53.020 --> 00:16:53.020]   - How many costumes do you have? - I don't count. But in... - More than one? - Yeah, of course. - How easy is it to do costume changes throughout the day? - It's just a matter of energy and interest.
[00:16:53.060 --> 00:17:05.000]   let
[00:17:05.000 --> 00:17:08.940]   I is a educ
[00:17:50.980 --> 00:17:50.980]   and
[00:17:50.980 --> 00:17:50.980]   and
[00:17:50.980 --> 00:17:50.980]   and
[00:17:50.980 --> 00:17:50.980]   and
[00:17:51.020 --> 00:17:59.860]   Mystery
[00:17:59.860 --> 00:18:02.240]   " 맛있
[00:18:02.240 --> 00:18:10.200]   not.,,,,, however buy guess coin extra Tree attend that is over and not 눌러 pare grass
[00:18:10.200 --> 00:18:19.420]   and
[00:18:21.020 --> 00:18:26.020]   so this costume that you're wearing a burning man allows you to express more of yourself and
[00:18:26.020 --> 00:18:28.900]   you have a shorter distance of
[00:18:28.900 --> 00:18:31.700]   advertising to people
[00:18:31.700 --> 00:18:35.380]   what kind of person you are what kind of interaction would want to have with them and
[00:18:35.380 --> 00:18:37.920]   so you get much
[00:18:37.920 --> 00:18:39.800]   earlier into
[00:18:39.800 --> 00:18:45.940]   Media press and I believe it's regrettable that we do not use the opportunities that we have
[00:18:45.940 --> 00:18:49.780]   This custom-made clothing now to wear costumes that are much more
[00:18:49.780 --> 00:18:51.020]   -
[00:18:51.020 --> 00:18:51.020]   -
[00:18:51.020 --> 00:18:51.020]   -
[00:18:51.020 --> 00:18:51.020]   -
[00:18:51.020 --> 00:18:51.020]   -
[00:18:51.020 --> 00:18:51.020]   -
[00:18:51.020 --> 00:18:51.020]   -
[00:18:51.020 --> 00:18:51.020]   -
[00:18:51.020 --> 00:18:51.020]   -
[00:18:51.020 --> 00:18:51.020]   -
[00:18:51.020 --> 00:18:51.020]   -
[00:18:51.020 --> 00:18:51.020]   -
[00:18:51.020 --> 00:18:51.020]   -
[00:18:51.020 --> 00:18:51.020]   -
[00:18:51.020 --> 00:18:51.020]   -
[00:18:51.020 --> 00:18:51.020]   -
[00:18:51.020 --> 00:18:51.020]   -
[00:18:51.020 --> 00:18:51.020]   -
[00:18:51.020 --> 00:18:51.020]   -
[00:18:51.020 --> 00:18:51.020]   -
[00:18:51.020 --> 00:18:51.020]   -
[00:18:51.020 --> 00:18:51.020]   -
[00:18:51.020 --> 00:18:51.020]   -
[00:18:51.020 --> 00:18:51.020]   -
[00:18:51.020 --> 00:18:51.020]   -
[00:18:51.020 --> 00:18:51.020]   -
[00:18:51.020 --> 00:18:51.020]   -
[00:18:51.020 --> 00:18:51.020]   -
[00:18:51.020 --> 00:18:51.020]   -
[00:18:51.020 --> 00:18:51.020]   - we're not using the opportunities that we have this custom made clothing now to wear costumes that are much more stylish and
[00:18:51.040 --> 00:19:19.300]   that are not necessarily part of a fashion in which you express which you are part of and how up to date you are but you also express how you are as an individual and what you want to do today and how you feel today and what you intend to do about it well isn't easier now in the digital world to explore different reality that's the idea even with virtual reality that's the idea even with Twitter in two-dimensional screens you can be a little bit of the idea even with Twitter in two-dimensional screens.
[00:19:19.300 --> 00:19:19.300]   K.
[00:19:19.300 --> 00:19:20.360]   You can.
[00:19:20.380 --> 00:19:24.160]   K. You can swap our costumes you can be as weird as you want.
[00:19:24.160 --> 00:19:25.620]   K. It's easier.
[00:19:25.620 --> 00:19:32.700]   K. For Burning Man you have to like order things you have to make things you have to it's more effort to put on.
[00:19:32.700 --> 00:19:35.280]   K. It's even better if you make them yourself.
[00:19:35.280 --> 00:19:39.540]   K. Sure but it's just easier to do digitally right.
[00:19:39.540 --> 00:19:50.380]   K. It's not about easy it's about how to get it right and for me the first Burning Man experience I got adopted by a bunch of people in Boston who tracked me to Burning Man and we spent.
[00:19:50.380 --> 00:19:50.380]   K. It's not about easy it's about how to get it right and for me the first Burning Man experience I got adopted by a bunch of people in Boston who tracked me to Burning Man and we spent.
[00:19:50.420 --> 00:20:20.400]  ,
[00:20:20.400 --> 00:20:20.400]   It's not about easy it's about how to get it right and for me the first Burning Man experience I got adopted by a bunch of people in Boston who tracked me to Burning Man and we spent.
[00:20:20.400 --> 00:20:20.400]   K. It's not about easy it's about easy it's about how to get it right and for me the first Burning Man experience I got adopted by a bunch of people in Boston who tracked me to Burning Man and we spent.
[00:20:20.420 --> 00:20:50.420]   K. It's not about easy it's about how to get it right and for me the first Burning Man experience I got adopted by a bunch of people in Boston who tracked me to Burning Man and we spent.
[00:20:50.420 --> 00:20:50.420]   K. It's not about easy it's about how to get it right and for me the first Burning Man experience I got adopted by a bunch of people in Boston who tracked me to Burning Man and we spent.
[00:20:50.420 --> 00:20:50.420]   K. It's not about easy it's about how to get it right and for me the first Burning Man experience I got adopted by a bunch of people in Boston who tracked me to Burning Man and we spent.
[00:20:50.420 --> 00:20:50.420]   K. It's not about easy it's about how to get it right and for me the first Burning Man experience I got adopted by a bunch of people in Boston who tracked me to Burning Man and we spent.
[00:20:50.460 --> 00:21:20.440]  ,
[00:21:20.440 --> 00:21:20.440]   It's not about easy it's about how to get it right and for me the first Burning Man experience I got adopted by a bunch of people in Boston who tracked me to Burning Man and we spent.
[00:21:20.440 --> 00:21:20.440]   K. It's not about easy it's about how to get it right and for me the first Burning Man experience I got adopted by a bunch of people in Boston who tracked me to Burning Man and we spent.
[00:21:20.460 --> 00:21:50.460]   K. It's not about easy it's about how to get it right and for me the first Burning Man experience I got adopted by a bunch of people in Boston who tracked me to Burning Man and we spent.
[00:21:50.460 --> 00:21:50.460]   You know you don't want to get access to cheat codes too quickly otherwise you won't enjoy.
[00:21:50.460 --> 00:21:50.460]   You know you don't want to get access to cheat codes too quickly otherwise you won't enjoy.
[00:21:50.460 --> 00:21:50.460]   You know you don't want to get access to cheat codes too quickly otherwise you won't enjoy.
[00:21:50.460 --> 00:21:50.460]   You know you don't want to get access to cheat codes too quickly otherwise you won't enjoy.
[00:21:50.460 --> 00:21:50.460]   You know you don't want to get access to cheat codes too quickly otherwise you won't enjoy.
[00:21:50.460 --> 00:21:50.460]   You know you don't want to get access to cheat codes too quickly otherwise you won't enjoy.
[00:21:50.460 --> 00:21:50.460]   You know you don't want to get access to cheat codes too quickly otherwise you won't enjoy.
[00:21:50.500 --> 00:22:20.480]  ,
[00:22:20.480 --> 00:22:20.480]   You know you don't want to get access to cheat codes too quickly otherwise you won't enjoy.
[00:22:20.480 --> 00:22:20.480]   You know you don't want to get access to cheat codes too quickly otherwise you won't enjoy.
[00:22:20.480 --> 00:22:20.480]   You know you don't want to get access to cheat codes too quickly otherwise you won't enjoy.
[00:22:20.480 --> 00:22:20.480]   You know you don't want to get access to cheat codes too quickly otherwise you won't enjoy.
[00:22:20.480 --> 00:22:20.480]   You know you don't want to get access to cheat codes too quickly otherwise you won't enjoy.
[00:22:20.480 --> 00:22:20.480]   You know you don't want to get access to cheat codes too quickly otherwise you won't enjoy.
[00:22:20.500 --> 00:22:50.500]   You know you don't want to get access to cheat codes too quickly otherwise you won't enjoy.
[00:22:50.500 --> 00:22:50.500]   You know you don't want to get access to cheat codes too quickly otherwise you won't enjoy.
[00:22:50.500 --> 00:22:50.500]   You know you don't want to get access to cheat codes too quickly otherwise you won't enjoy.
[00:22:50.500 --> 00:22:50.500]   You know you don't want to get access to cheat codes too quickly otherwise you won't enjoy.
[00:22:50.500 --> 00:22:50.500]   You know you don't want to get access to cheat codes too quickly otherwise you won't enjoy.
[00:22:50.500 --> 00:22:50.500]   You know you don't want to get access to cheat codes too quickly otherwise you won't enjoy.
[00:22:50.500 --> 00:22:50.500]   You know you don't want to get access to cheat codes too quickly otherwise you won't enjoy.
[00:22:50.500 --> 00:22:50.500]   You know you don't want to get access to cheat codes too quickly otherwise you won't enjoy.
[00:22:50.500 --> 00:22:50.500]   You know you don't want to get access to cheat codes too quickly otherwise you won't enjoy.
[00:23:20.520 --> 00:23:20.520]   You know you don't want to get access to cheat codes too quickly otherwise you won't enjoy.
[00:23:20.520 --> 00:23:20.520]   You know you don't want to get access to cheat codes too quickly otherwise you won't enjoy.
[00:23:20.520 --> 00:23:20.520]   You know you don't want to get access to cheat codes too quickly otherwise you won't enjoy.
[00:23:20.520 --> 00:23:20.520]   You know you don't want to get access to cheat codes too quickly otherwise you won't enjoy.
[00:23:20.520 --> 00:23:20.520]   You know you don't want to get access to cheat codes too quickly otherwise you won't enjoy.
[00:23:20.520 --> 00:23:20.520]   You know you don't want to get access to cheat codes too quickly otherwise you won't enjoy.
[00:23:50.540 --> 00:23:50.540]   You know you don't want to get access to cheat codes too quickly otherwise you won't enjoy.
[00:23:50.540 --> 00:23:50.540]   You know you don't want to get access to cheat codes too quickly otherwise you won't enjoy.
[00:23:50.540 --> 00:23:50.540]   You know you don't want to get access to cheat codes too quickly otherwise you won't enjoy.
[00:23:50.540 --> 00:23:50.540]   You know you don't want to get access to cheat codes too quickly otherwise you won't enjoy.
[00:23:50.540 --> 00:23:50.540]   You know you don't want to get access to cheat codes too quickly otherwise you won't enjoy.
[00:23:50.540 --> 00:23:50.540]   You know you don't want to get access to cheat codes too quickly otherwise you won't enjoy.
[00:23:50.540 --> 00:23:50.540]   You know you don't want to get access to cheat codes too quickly otherwise you won't enjoy.
[00:23:50.540 --> 00:23:50.540]   You know you don't want to get access to cheat codes too quickly otherwise you won't enjoy.
[00:23:50.580 --> 00:24:20.560]  ,
[00:24:20.560 --> 00:24:20.560]   You know you don't want to get access to cheat codes too quickly otherwise you won't enjoy.
[00:24:20.560 --> 00:24:20.560]   You know you don't want to get access to cheat codes too quickly otherwise you won't enjoy.
[00:24:20.560 --> 00:24:20.560]   You know you don't want to get access to cheat codes too quickly otherwise you won't enjoy.
[00:24:20.560 --> 00:24:20.560]   You know you don't want to get access to cheat codes too quickly otherwise you won't enjoy.
[00:24:20.560 --> 00:24:20.560]   You know you don't want to get access to cheat codes too quickly otherwise you won't enjoy.
[00:24:20.560 --> 00:24:20.560]   You know you don't want to get access to cheat codes too quickly otherwise you won't enjoy.
[00:24:20.560 --> 00:24:20.560]   You know you don't want to get access to cheat codes too quickly otherwise you won't enjoy.
[00:24:20.580 --> 00:24:50.580]   The algorithmic bias and the model that it picks up because if there's something wrong with this bias the AI ultimately will prove it.
[00:24:50.580 --> 00:24:50.580]   The algorithmic bias and the model that it picks up because if there's something wrong with this bias the AI ultimately will prove it.
[00:24:50.580 --> 00:24:50.580]   The algorithmic bias and the model that it picks up because if there's something wrong with this bias the AI ultimately will prove it.
[00:24:50.580 --> 00:24:50.580]   The algorithmic bias and the model that it picks up because if there's something wrong with this bias the AI ultimately will prove it.
[00:24:50.580 --> 00:24:50.580]   The algorithmic bias and the model that it picks up because if there's something wrong with this bias the AI ultimately will prove it.
[00:24:50.580 --> 00:24:50.580]   At some point we'll get it there that it makes mathematical proofs about reality and then it will figure out what's true and what's false but you're still worried that the AI might turn you into paperclubs because it might have the wrong values.
[00:24:50.620 --> 00:25:20.600]   But if you're at stage five you're mostly worried that the AI is not going to be enlightened fast enough because you realize that the game is not so much about intelligence but about agency about the ability to control the future and the identity is instrumental to this and if you are a human being I think at some level you ought to choose your own identity.
[00:25:20.620 --> 00:25:50.620]   But if you are a human being I think at some level you ought to choose your own identity.
[00:25:50.620 --> 00:25:50.620]   And I think if you are an agent that is fully malleable that can rewrite its own source code like an AI might do at some point then the identity that you will have is whatever you can be and in this way the AI will maybe become everything like a planetary control system and if it does that then if we want to coexist with it it means that it will have to share purposes with us so it cannot be
[00:25:50.620 --> 00:25:50.620]   It's not going to be the same as the AI that we have in the past.
[00:25:50.620 --> 00:25:50.620]   It's not going to be the same as the AI that we have in the past.
[00:25:50.620 --> 00:25:50.620]   It's not going to be the same as the AI that we have in the past.
[00:25:50.620 --> 00:25:50.620]   It's not going to be the same as the AI that we have in the past.
[00:25:50.620 --> 00:25:50.620]   It's not going to be the same as the AI that we have in the past.
[00:25:50.660 --> 00:26:20.640]  ,
[00:26:20.640 --> 00:26:20.640]   It's not going to be the same as the AI that we have in the past.
[00:26:20.640 --> 00:26:20.640]   It's not going to be the same as the AI that we have in the past.
[00:26:20.640 --> 00:26:20.640]   It's not going to be the same as the AI that we have in the past.
[00:26:20.640 --> 00:26:20.640]   It's not going to be the same as the AI that we have in the past.
[00:26:20.640 --> 00:26:20.640]   It's not going to be the same as the AI that we have in the past.
[00:26:20.640 --> 00:26:20.640]   It's not going to be the same as the AI that we have in the past.
[00:26:20.640 --> 00:26:20.640]   It's not going to be the same as the AI that we have in the past.
[00:26:20.640 --> 00:26:20.640]   It's not going to be the same as the AI that we have in the past.
[00:26:20.640 --> 00:26:20.640]   It's not going to be the same as the AI that we have in the past.
[00:26:20.660 --> 00:26:50.660]   It's not going to be the same as the AI that we have in the past.
