
[00:00:00.040 --> 00:00:09.560]  athi 1
[00:24:15.440 --> 00:24:15.440]   .,and you've got to attack it quickly and do as much as you can up front, because then once you get that cycle going, then you can afford to pull back.
[00:24:15.440 --> 00:24:15.440]   .,and you've got to attack it quickly and do as much as you can up front, because then once you get that cycle going, then you can afford to pull back.
[00:24:15.440 --> 00:24:15.440]   .,and you've got to attack it quickly and do as much as you can up front, because then once you get that cycle going, then you can afford to pull back.
[00:24:15.480 --> 00:24:45.460]  ,and you've got to attack it quickly and do as much as you can up front, because then once you get that cycle going, then you can afford to pull back.
[00:24:45.460 --> 00:25:15.480]  ,and you've got to attack it quickly and do as much as you can up front, because then once you get that cycle going, then you can afford to pull back.
[00:25:15.480 --> 00:25:15.480]   .,and you've got to attack it quickly and do as much as you can up front, because then once you get that cycle going, then you can afford to pull back.
[00:25:15.500 --> 00:25:45.500]   .,and you've got to attack it quickly and do as much as you can up front, because then once you get that cycle going, then you can afford to pull back.
[00:25:45.500 --> 00:25:45.500]   .,and you've got to attack it quickly and do as much as you can up front, because then once you get that cycle going, then you can afford to pull back.
[00:25:45.500 --> 00:25:45.500]   .,and you've got to attack it quickly and do as much as you can up front, because then once you get that cycle going, then you can afford to pull back.
[00:25:45.500 --> 00:25:45.500]   .,and you've got to attack it quickly and do as much as you can up front, because then once you get that cycle going, then you can afford to pull back.
[00:25:45.500 --> 00:25:45.500]   .,and you've got to attack it quickly and do as much as you can up front, because then once you get that cycle going, then you can afford to pull back.
[00:25:45.520 --> 00:26:15.520]   I'm going to cover that in just a moment with a couple of citations.
[00:26:15.520 --> 00:26:15.520]   Before we get to how to approach a company and make a targeted approach to a specific company, I would just mention briefly that I would start not with that, but actually by activating your personal network.
[00:26:15.520 --> 00:26:15.520]   Put the people that you know to work for you, because most of them are probably going to like you. And even if they don't like you, they may at least, if they're neutral toward you, may still be willing to do that.
[00:26:15.520 --> 00:26:15.520]   .,and you've got to attack it quickly and do as much as you can up front, because then once you get that cycle going, then you've got to attack it quickly and do as much as you can up front, because then you've got to attack it quickly and do as much as you can up front, but actually by not you can't do that cycle.
[00:26:15.560 --> 00:26:45.540]  .
[00:26:45.540 --> 00:26:45.540]   .
[00:26:45.540 --> 00:26:45.540]   .
[00:26:45.540 --> 00:26:45.540]   .
[00:26:45.540 --> 00:26:45.540]   .
[00:26:45.540 --> 00:26:45.540]   .
[00:26:45.540 --> 00:26:45.540]   .
[00:26:45.540 --> 00:26:45.540]   .
[00:26:45.540 --> 00:26:45.540]   .
[00:26:45.540 --> 00:26:45.540]   .
[00:26:45.580 --> 00:26:54.840]   candies calls
[00:26:54.840 --> 00:26:55.960]   like this is
[00:26:55.960 --> 00:27:10.500]   Het deadline之後ologists doesn, or, a, a, a, a, a, a, a, a, a, be, labeled 12 represents 9, The. The. The. The. The. The. The. The, the, the, the, the, the, the, the, the, the, the, the, the,.,勝�., llegG, pourstyle obligť. Listen.ific
[00:27:10.500 --> 00:27:14.160]  視.
[00:27:14.160 --> 00:27:14.960]  � password "T.
[00:27:14.960 --> 00:27:15.240]   demandsあの, α Ein. favorite and 그렇지 ihr vacing all
[00:27:15.320 --> 00:27:25.200]  ,
[00:27:25.200 --> 00:27:44.620]  , the rest. Sh Gff.""", ,,,,,,, is o life,uard spur splend pursue the story and test. The story is a violent, and, and, the,,,,,,,,,,,,, teamczę invest gw investigations Ichת�inen Go yelled part of Following93您 Zar syst GRC impression
[00:27:45.200 --> 00:27:47.460]   about
[00:27:47.460 --> 00:28:04.020]   in the is
[00:28:04.020 --> 00:28:11.100]  인.", " out, and, and, like, describe. I,ięcy. I,
[00:28:11.100 --> 00:28:13.320]   manual's
[00:29:09.980 --> 00:29:19.500]   faster
[00:29:19.500 --> 00:29:38.800]   as my Et I It this,,,,'s de
[00:30:09.100 --> 00:30:19.720]   май all well el
[00:30:19.720 --> 00:30:37.380]   I let the. And, be, says, Beweg, violent, vein, 확, provide,alt,i, Waar,O,S, parece,go,�, tell, cynical, succeed, books I'm a hard, the57,視, go, co, the day, the person, Oy, of the end, theinha " suff the discern the
[00:30:37.440 --> 00:30:51.220]   balcony
[00:30:51.220 --> 00:31:01.760]   Fix I and we under clique�� cooper time heckillah Test . He, the, the, the, the, the, the, the, the, the, the, the, the, the, it's, all 가지, child,வ, produce, divide, ahead, care, was, new,愛, l. I, touchscreen - Tu - = - - - - - - - - - - - - - - - morning - 12 - don - line - cup - all - carry South - Mama - z counted ...ר. weak andando THE RIGHTN I'm的時候ék leave atest never pass d gat enquantoą Inside our אותו Jack your Lord's going served they're東 cyc種 tendency pay theTF чет Airport Rice� capaz't out待って specialized many 1991鉄 i Primannenuesta top like the seu這樣de setsっ� teasing behind έ cumțMac développement duties해� قال another
[00:31:34.280 --> 00:31:34.280]   It's just more targeted you still activate your network it's just a slightly more exclusive slightly more focused network that's the way the world works with networks
[00:31:34.280 --> 00:31:34.280]   It's just more targeted you still activate your network it's just a slightly more exclusive slightly more focused network that's the way the world works with networks
[00:31:34.280 --> 00:31:34.280]   It's just more targeted you still activate your network it's just a slightly more exclusive slightly more focused network that's the way the world works with networks
[00:31:34.280 --> 00:31:34.280]   It's just more targeted you still activate your network it's just a slightly more exclusive slightly more focused network that's the way the world works with networks
[00:31:34.280 --> 00:31:34.280]   It's just more targeted you still activate your network it's just a slightly more exclusive slightly more focused network that's the way the world works with networks
[00:31:34.280 --> 00:31:34.280]   It's just more targeted you still activate your network it's just a slightly more exclusive slightly more focused network that's the way the world works with networks
[00:32:02.720 --> 00:32:02.720]  不錯, so whatever level is it appropriate to you. So whatever level this is appropriate to you. Move quickly. You've got fired as a CEO of the Home Depot and you want to get another job. You're going to make a bunch of phone calls pretty quickly and put the five or six people who are going to be most helpful and most important on notice that you're available. Once you've activated your social network, then you need to start a targeted process of approaching specific companies who are going to be most helpful and most important on notice that you're available. Once you've activated your social network, then you need to start a targeted process of approaching specific companies who are
[00:32:02.720 --> 00:32:02.720]   targeted process of approaching specific companies who are going to be most helpful and most important.
[00:32:02.760 --> 00:32:05.040]   and
[00:32:05.040 --> 00:32:29.600]  quet, hard. They, like,
[00:32:32.800 --> 00:33:00.980]   chest, gorilla marketing for job hunters. Go and get what color is your parachute. And there's dozens of them. Go through the books and take the ideas and start implementing them. And be targeted and focused on exactly what you want. Start the process forward. Remember this. Filling vacant job positions is some of the most difficult work that employers do.
[00:33:00.980 --> 00:33:02.800]  .
[00:33:02.820 --> 00:33:32.840]  ,
[00:33:32.840 --> 00:33:32.840]   I
[00:33:32.840 --> 00:33:32.840]   I
[00:33:32.840 --> 00:33:32.840]   I
[00:33:32.840 --> 00:33:32.840]   I
[00:33:32.840 --> 00:33:32.840]   I
[00:33:32.840 --> 00:33:32.840]   I
[00:33:32.840 --> 00:33:32.840]   I
[00:33:32.880 --> 00:33:43.120]  .
[00:33:43.120 --> 00:33:44.000]  �� up landed
[00:34:30.560 --> 00:34:30.560]   and
[00:34:39.860 --> 00:34:40.460]   and
[00:34:40.460 --> 00:34:40.480]   and
[00:34:40.480 --> 00:34:40.520]   and
[00:34:40.520 --> 00:34:40.540]   and
[00:34:40.540 --> 00:34:40.580]   and
[00:34:40.580 --> 00:34:40.640]   and
[00:34:40.640 --> 00:34:40.660]   and
[00:34:40.660 --> 00:34:40.680]   and
[00:34:40.680 --> 00:34:40.700]   and
[00:34:40.700 --> 00:34:40.720]   and
[00:34:40.720 --> 00:34:40.740]   and
[00:34:40.740 --> 00:34:40.760]   and
[00:34:40.760 --> 00:34:40.780]   and
[00:34:40.780 --> 00:34:40.800]   and
[00:34:40.800 --> 00:34:40.820]   and
[00:34:40.820 --> 00:34:40.840]   and
[00:34:40.840 --> 00:34:41.280]   and
[00:34:41.280 --> 00:34:41.300]   and
[00:34:41.300 --> 00:34:41.320]   and
[00:34:41.320 --> 00:34:41.340]   and
[00:34:41.340 --> 00:34:41.360]   and
[00:34:41.360 --> 00:34:41.380]   and
[00:34:41.380 --> 00:34:41.460]   and
[00:34:41.460 --> 00:34:41.500]   and
[00:34:41.500 --> 00:34:41.520]   and
[00:34:41.520 --> 00:34:41.540]   and
[00:34:41.540 --> 00:34:41.560]   and
[00:34:41.560 --> 00:34:41.580]   and
[00:34:41.580 --> 00:34:41.580]   and
[00:34:41.580 --> 00:34:41.600]   and
[00:34:41.600 --> 00:34:41.620]   and
[00:34:41.620 --> 00:34:41.640]   and
[00:34:41.640 --> 00:34:41.660]   and
[00:34:41.660 --> 00:34:41.680]   and
[00:34:41.680 --> 00:34:41.700]   and
[00:34:41.700 --> 00:34:41.720]   and
[00:34:41.720 --> 00:34:41.740]   and
[00:34:41.740 --> 00:34:41.760]   and
[00:34:41.760 --> 00:34:41.780]   and
[00:34:41.780 --> 00:34:41.780]   and
[00:34:41.780 --> 00:34:41.800]   and
[00:34:41.800 --> 00:34:41.820]   and
[00:34:41.820 --> 00:34:41.840]   and
[00:34:41.840 --> 00:34:53.000]   So, that's why we talked about things like websites being an industry representative.
[00:34:53.000 --> 00:34:57.380]   The implication for job hunters, if you're a programmer, bring a program you've done with its code.
[00:34:57.380 --> 00:34:58.980]   If you're a photographer, bring photos.
[00:34:58.980 --> 00:35:00.580]   If you're a counselor, bring a case.
[00:35:00.580 --> 00:35:00.580]   If you're a photographer, bring photos.
[00:35:00.620 --> 00:35:30.600]   the employee has hired or a product.
[00:35:30.600 --> 00:35:30.600]   Number three, for an employer, they prefer to hire using a best friend or business colleague. Hiring someone whose work a trusted friend of yours has seen. Perhaps they work for him or her. So implication for job hunters. Find someone who knows the person who has the power to hire at your target organization who also knows your work and will introduce you to. Number four, an employer would prefer to use an agency that they trust. This may be a recruiter or search firm the employer has hired or a product.
[00:35:30.600 --> 00:35:30.600]   Number four, an employer would prefer to use an agency that they trust. This may be a recruiter or search firm the employer has hired or a product.
[00:35:30.600 --> 00:35:30.600]   Number four, an employer would prefer to use an agency that they trust. This may be a recruiter or search firm the employer has hired or a product.
[00:35:30.600 --> 00:35:30.600]   .
[00:35:30.640 --> 00:36:00.620]  berger. .
[00:36:00.620 --> 00:36:00.620]   . . . .
[00:36:00.660 --> 00:36:08.580]   are
[00:36:08.580 --> 00:36:13.420]   v and. paymentsFPRA RAав on going don that is the dining de "" ", ", ", ", 102, work, sunk,
[00:36:13.420 --> 00:36:27.880]  , tail,
[00:36:29.120 --> 00:36:41.060]   top
[00:36:41.060 --> 00:36:58.100]   I for. . 100 may stay,,,,,, Bible just escal end cl주세요 Ев catastrophох, ., tend, .,,,,,,,,,, big gute describe cool and stand and there's all die pack bunny brainizer breast haifill or baj demandsĩ tell Veg sermon ginger providers diarenình Präsident�來 Przy Intelligence ち Sp Lee Pak� warp tile 들어 S love a Q� I was seulement." I'm R charger Q dunno Schwar be S co direction to do I'm arain a 다 Hammer in much el talented beinh Το but the
[00:36:58.160 --> 00:37:09.500]   el
[00:37:09.500 --> 00:37:12.240]   non not in學 socially
[00:37:12.240 --> 00:37:16.340]  , work, L,,,,,,,, just weird andagram Dit難수
[00:37:16.340 --> 00:37:24.480]   social figure
[00:37:24.480 --> 00:37:26.520]   activs. I'm rope, the work for my innocent. I'm the look the and I'm the fact that's, I'm the 100. I think I'm the table. I'm the framed. I'm the en SEC. I'm the round the perер, or the grand, I'm the, I'm the, and I's. I'm the, I, I, I, and, and I, and, i, the,ith, and, and,
[00:37:26.520 --> 00:37:27.060]  남,acci, 연습, Alison, chill,il, E. And, numbered, pursued, такое, min. Z, L, os, handsome.,� postp Char comedy, 친, who,!*,
[00:37:27.080 --> 00:37:47.760]   and you've got to be able to discern between those, but a little bit of polite persistence goes a long way. If you're desperate for work, draw a ring around your house and start going door to door. Walk in and talk to the receptionist, talk to the business owners, leave your card, tell them your story. Nobody does that, but I guarantee you'll get hired.
[00:37:47.760 --> 00:37:55.520]   I can't imagine you're not getting hired just because you're out there actually showing initiative and doing things. And many times people need workers and they're just too busy to go and find them.
[00:37:55.520 --> 00:38:25.520]   o, take massive action and something will turn out.
[00:38:25.560 --> 00:38:34.800]   a
[00:38:34.800 --> 00:38:39.400]  out, all. ButMel damaged the code to cut cut. You can do where you word bedelijk
[00:38:39.400 --> 00:38:44.380]  ast
[00:39:51.800 --> 00:39:51.800]   It's a good thing. You could, if possible, let's say in the first month you can cut your expenses from $6,000 a month to $3,000 a month by moving quickly. Now you have a 10-month window. You've doubled the time. But what most people do is they continue spending $6,000 a month for three months. That burns up $18,000. You're left with $12,000. Now, even if after only three months you cut your expenses, you're left with $12,000.
[00:40:20.560 --> 00:40:20.560]   The faster you can cut the more time you have and the more time you have the pickier and the more selective and choosy you're able to be and the more options you'll be able to collect gather and the better this experience will be.
[00:40:20.560 --> 00:40:20.560]   The faster you can cut the more time you have and the more time you have the pickier and the more selective and choosy you're able to be and the more options you'll be able to collect gather and the better this experience will be.
[00:40:20.560 --> 00:40:20.560]   The faster you can cut the more time you have and the more time you have the pickier and the more selective and choosy you're able to be and the more options you'll be able to collect gather and the better this experience will be.
[00:40:20.560 --> 00:40:20.560]   The faster you can cut the more time you have and the more time you have the pickier and the more selective and choosy you're able to be.
[00:40:21.240 --> 00:40:49.320]   a way to make sure that you have a good life and a good life.
[00:40:49.320 --> 00:40:49.320]   a way to make sure that you have a good life and a good life.
[00:40:49.320 --> 00:40:49.320]   Now again, apply this to your life as is appropriate to your scale.
[00:40:49.320 --> 00:40:49.320]   Now again, apply this to your life as is appropriate to your scale.
[00:40:49.320 --> 00:40:49.400]   Now again, apply this to your life as is appropriate to your scale.
[00:40:49.400 --> 00:40:49.800]   Now again, apply this to your life as is appropriate to your scale. Maybe you don't make everything in the first month.
[00:40:49.800 --> 00:40:49.800]   Maybe you don't make everything in the first month.
[00:40:49.800 --> 00:40:49.880]   Maybe you don't make everything in the first month.
[00:40:49.880 --> 00:40:49.960]   Maybe you don't cut everything and just go to nothing.
[00:40:49.960 --> 00:40:49.960]   Maybe you don't cut everything and just go to nothing.
[00:40:49.960 --> 00:40:49.960]   Maybe you don't cut everything and just go to nothing.
[00:40:49.960 --> 00:40:49.960]   Maybe you don't cut everything and just go to nothing.
[00:40:50.000 --> 00:41:00.240]   builders
[00:41:00.240 --> 00:41:01.020]   1,
[00:41:01.020 --> 00:41:03.500]   Grand這
[00:41:47.720 --> 00:41:47.720]   The
[00:41:47.720 --> 00:41:47.720]   The
