
[00:00:00.000 --> 00:00:13.780]   Well, good morning, everyone.
[00:10:58.200 --> 00:11:15.200]   Speak, O Lord, till your church is built, and the earth is filled with your glory.
[00:11:15.200 --> 00:11:27.200]   Speak, O Lord, till your church is built, and the earth is filled with your glory.
[00:11:27.200 --> 00:11:41.200]   [APPLAUSE]
[00:11:41.200 --> 00:11:45.200]   Well, good morning. Good morning, men.
[00:11:45.200 --> 00:11:54.200]   And thank you so much to Keith and Kristen Getty for leading us in worship through song.
[00:11:54.200 --> 00:12:06.200]   What a blessing they have been to the church, and just such a joy to hear you men singing those great hymns of praise to our Savior.
[00:12:06.200 --> 00:12:16.200]   Please take your Bibles and turn to Acts chapter 20. Acts chapter 20.
[00:12:16.200 --> 00:12:25.200]   My assignment this morning is to consider the connection between missions and pastoral training.
[00:12:25.200 --> 00:12:33.200]   Between missions and pastoral training, the raising up of the next generation of faithful leaders,
[00:12:33.200 --> 00:12:42.200]   specifically through formal training in pastoral training centers, Bible institutes, and seminaries.
[00:12:42.200 --> 00:12:49.200]   The connection between all of that and missions.
[00:12:49.200 --> 00:12:56.200]   To consider that topic, we're going to look at the example of the Apostle Paul in Acts chapter 19 and in Acts chapter 20.
[00:12:56.200 --> 00:13:09.200]   And I'd like to begin this morning by reading a section of Paul's address to the Ephesian elders in Acts chapter 20, verses 28 to 35.
[00:13:09.200 --> 00:13:17.200]   This will be where our message will conclude this morning, but I'd like to begin by reflecting on this text.
[00:13:17.200 --> 00:13:31.200]   There Paul tells the Ephesian elders at Miletus, "Be on guard for yourselves and for all the flock,
[00:13:31.200 --> 00:13:43.200]   among which the Holy Spirit has made you overseers, to shepherd the church of God, which he purchased with his own blood.
[00:13:43.200 --> 00:13:54.200]   For I know that after my departure, savage wolves will come in among you, not sparing the flock, and from among your own selves.
[00:13:54.200 --> 00:14:06.200]   There will be men who arise, speaking perverse things, to draw away the disciples after them.
[00:14:06.200 --> 00:14:19.200]   Be watchful, therefore, remembering how night and day, for a period of three years, I did not cease to admonish each one with tears.
[00:14:19.200 --> 00:14:34.200]   And now I commend you to God and to the word of his grace, which is able to build you up and to give you the inheritance among those who have been sanctified.
[00:14:34.200 --> 00:14:41.200]   I have coveted no one's silver or gold or clothes.
[00:14:41.200 --> 00:14:49.200]   You yourselves know how these hands ministered to my own needs and to those who were with me,
[00:14:49.200 --> 00:14:59.200]   for in everything I showed you that by laboring in this manner you should help the weak.
[00:14:59.200 --> 00:15:15.200]   And remember the words of the Lord Jesus that he himself said, "It is more blessed to give than to receive."
[00:15:15.200 --> 00:15:27.200]   In the year 1559, it was June of that year, John Calvin and his fellow ministers dedicated a new building in the city of Geneva.
[00:15:27.200 --> 00:15:33.200]   It was a building that had been constructed specifically for the purpose of education,
[00:15:33.200 --> 00:15:37.200]   and part of that building was used to actually train young people,
[00:15:37.200 --> 00:15:44.200]   but a primary purpose of that building was to continue the work of training pastors,
[00:15:44.200 --> 00:15:50.200]   something which John Calvin and his fellow ministers were deeply committed to.
[00:15:50.200 --> 00:15:56.200]   That building became known as the Geneva Academy.
[00:15:56.200 --> 00:16:04.200]   There are some historians who, looking back on the Reformation, might accuse someone like John Calvin of not being very missions-minded
[00:16:04.200 --> 00:16:12.200]   because his ministry was focused primarily on Geneva, but that would not be accurate.
[00:16:12.200 --> 00:16:17.200]   Calvin was a Great Commission Christian,
[00:16:17.200 --> 00:16:26.200]   and he fulfilled that Great Commission primarily by training the refugees who came from all over Europe to Geneva,
[00:16:26.200 --> 00:16:34.200]   fleeing persecution, and there under Calvin's tutelage and his fellow ministers in Geneva,
[00:16:34.200 --> 00:16:42.200]   through the Geneva Academy, these men were trained and then sent back to the nations from which they had come.
[00:16:42.200 --> 00:16:50.200]   We know from the register of the consistory, which was the church council there in Geneva,
[00:16:50.200 --> 00:16:57.200]   of at least 88 names of men who were trained in Geneva and then sent back home.
[00:16:57.200 --> 00:17:03.200]   And yet the reality is, scholars estimate, that there were hundreds more whose names were not recorded
[00:17:03.200 --> 00:17:14.200]   because it was simply too dangerous, their ministry was too risky to actually publish their names.
[00:17:14.200 --> 00:17:21.200]   In the 1560s, it's estimated that there were more than 2,000 Protestant Reformed churches in France alone,
[00:17:21.200 --> 00:17:30.200]   and most of those churches were pastored by men who had been trained under Calvin in Geneva.
[00:17:30.200 --> 00:17:37.200]   Calvin's academy in Geneva earned itself the nickname "The School of Death."
[00:17:37.200 --> 00:17:43.200]   I'm thinking about using that at the Master's Seminary.
[00:17:43.200 --> 00:17:50.200]   The School of Death, but not because the curriculum was so hard or the professors were so unrelenting,
[00:17:50.200 --> 00:17:57.200]   but instead because, although the curriculum was rigorous and the professors did hold a high standard,
[00:17:57.200 --> 00:18:05.200]   after those men were educated and deployed, the places to which they went were so dangerous
[00:18:05.200 --> 00:18:14.200]   that they were risking the very real possibility of persecution, imprisonment, and in some cases, even martyrdom.
[00:18:14.200 --> 00:18:29.200]   And yet through this approach, John Calvin sent pastors to places like Poland and Holland and England and France.
[00:18:29.200 --> 00:18:39.200]   Three centuries after Calvin's academy, in the year 1855, there was a man named Thomas Medhurst
[00:18:39.200 --> 00:18:49.200]   who wanted to study theology, and he began meeting with his local church pastor to do so.
[00:18:49.200 --> 00:18:58.200]   That engagement was so enticing to other men in the congregation that soon there was a group of men.
[00:18:58.200 --> 00:19:09.200]   And in just a few years, Charles Spurgeon found himself teaching an entire pastor's college.
[00:19:09.200 --> 00:19:19.200]   By the time he died in 1892, over 900 men had graduated from Spurgeon's pastor's college.
[00:19:19.200 --> 00:19:25.200]   And the results were exponential. Over 200 churches were planted in England.
[00:19:25.200 --> 00:19:32.200]   But even more than that, although Spurgeon's ministry was focused on London and on Britain,
[00:19:32.200 --> 00:19:38.200]   graduates of Spurgeon's pastor's college went all around the world.
[00:19:38.200 --> 00:19:48.200]   They took the gospel to every continent on the globe, with the exception of Antarctica.
[00:19:48.200 --> 00:19:58.200]   These examples serve as historic illustrations of the connection between pastoral training and missions.
[00:19:58.200 --> 00:20:01.200]   And of course it should not be surprising to us that there is such a connection,
[00:20:01.200 --> 00:20:06.200]   because of course the Great Commission involves the advancement of the church,
[00:20:06.200 --> 00:20:12.200]   and faithful churches need faithful leaders.
[00:20:12.200 --> 00:20:19.200]   And so training and proper preparation is of course required.
[00:20:19.200 --> 00:20:26.200]   But the question before us this morning is, is there a biblical precedent for that kind of training?
[00:20:26.200 --> 00:20:37.200]   Is there somewhere in the New Testament where we see something equivalent to a pastoral training center or even a seminary?
[00:20:37.200 --> 00:20:44.200]   I would argue that there is, and it's found in Acts chapter 19, just one chapter earlier.
[00:20:44.200 --> 00:20:51.200]   Acts chapter 19, specifically in verses 8 through 10 of that particular text.
[00:20:51.200 --> 00:21:01.200]   And what may seem to us as almost a parenthetical comment by Luke as he records Paul on Paul's third missionary journey,
[00:21:01.200 --> 00:21:08.200]   is actually a very important part of the development of Paul's missionary work.
[00:21:08.200 --> 00:21:13.200]   And as we will see, it would have exponential impact.
[00:21:13.200 --> 00:21:20.200]   In Acts chapter 19, Paul finds himself, as I mentioned, on his third missionary journey in Ephesus.
[00:21:20.200 --> 00:21:26.200]   In verses 1 through 7, he encounters some former disciples of John the Baptist.
[00:21:26.200 --> 00:21:32.200]   He introduces them to the one to whom John pointed, the Lord Jesus Christ.
[00:21:32.200 --> 00:21:37.200]   And then in verse 8, Luke records that Paul entered the synagogue.
[00:21:37.200 --> 00:21:43.200]   And he continued to speak out boldly regarding the gospel for a period of three months.
[00:21:43.200 --> 00:21:51.200]   He was reasoning and persuading with them in the synagogue regarding the kingdom of God.
[00:21:51.200 --> 00:21:59.200]   And we imagine that Paul's messages over those three months were very similar to how he preached in the synagogue of Antioch of Pisidia
[00:21:59.200 --> 00:22:03.200]   on his first missionary journey in Acts 13.
[00:22:03.200 --> 00:22:14.200]   How he used the Old Testament to show those Jewish congregants that Jesus is the Messiah to whom the prophets pointed.
[00:22:14.200 --> 00:22:20.200]   How he explained the historic truths of the gospel.
[00:22:20.200 --> 00:22:27.200]   That Jesus lived a perfect life, that he died a substitutionary death on the cross,
[00:22:27.200 --> 00:22:33.200]   and that he rose again in victory and has ascended to the Father's right hand.
[00:22:33.200 --> 00:22:40.200]   And then I'm sure Paul continued by explaining the implications of that truth,
[00:22:40.200 --> 00:22:47.200]   even as he did in Acts 13, 38 and 39, where he explains that through faith in Christ,
[00:22:47.200 --> 00:22:55.200]   you can have what the law of Moses could never give you, forgiveness and justification.
[00:22:55.200 --> 00:23:01.200]   For three months, this is Paul's message in the synagogue in Ephesus.
[00:23:01.200 --> 00:23:08.200]   And in addition to those 12 disciples of John the Baptist who are now disciples of Jesus Christ,
[00:23:08.200 --> 00:23:15.200]   we can only imagine that there were many more who were saved through Paul's ministry.
[00:23:15.200 --> 00:23:20.200]   And yet, verse 9, there is opposition.
[00:23:20.200 --> 00:23:30.200]   "When some were becoming hardened, when they were no longer willing to listen, they were not believing," Luke says.
[00:23:30.200 --> 00:23:34.200]   "They began to speak evil of the way."
[00:23:34.200 --> 00:23:50.200]   Paul withdrew, he took the disciples with him, and he began reasoning daily in the school of Tyrannus.
[00:23:50.200 --> 00:23:57.200]   Encountering opposition and conflict, the Apostle Paul takes these new believers,
[00:23:57.200 --> 00:24:04.200]   at least a dozen of them, probably many more, maybe two, three dozen men,
[00:24:04.200 --> 00:24:16.200]   and he begins to disciple them on a daily basis in this lecture hall belonging to some local lecturer,
[00:24:16.200 --> 00:24:22.200]   a man named Tyrannus, which of course means tyrant.
[00:24:22.200 --> 00:24:28.200]   It's interesting to think about that lecture hall where Paul met daily with these disciples.
[00:24:28.200 --> 00:24:31.200]   When would Paul have had access to it?
[00:24:31.200 --> 00:24:34.200]   We don't know if he rented it or if it was given to him,
[00:24:34.200 --> 00:24:41.200]   but it seems based on the climate of Asia Minor, modern-day Turkey,
[00:24:41.200 --> 00:24:46.200]   where business operated in the cool of the morning or in the cool of the evening,
[00:24:46.200 --> 00:24:52.200]   that Paul likely would have had access to this lecture hall in the middle of the day,
[00:24:52.200 --> 00:24:56.200]   in the warm hours of the early afternoon.
[00:24:56.200 --> 00:25:06.200]   In fact, there is a 4th century scribal note in a manuscript of the Western text
[00:25:06.200 --> 00:25:13.200]   that actually suggests that Paul had access to this lecture hall from the 5th hour to the 10th hour.
[00:25:13.200 --> 00:25:17.200]   If sunrise represents hour one around 6 a.m.,
[00:25:17.200 --> 00:25:23.200]   the 5th hour to the 10th hour would have been from around 11 a.m. to around 4 p.m.
[00:25:23.200 --> 00:25:26.200]   If that scribal note is even close to accurate,
[00:25:26.200 --> 00:25:31.200]   that means that Paul would have had access to this lecture hall for roughly five hours a day
[00:25:31.200 --> 00:25:39.200]   to meet with these students, and Luke says daily, so we can assume perhaps five to six days a week.
[00:25:39.200 --> 00:25:48.200]   That's 25 to 30 hours of instruction from Paul to these disciples.
[00:25:48.200 --> 00:25:57.200]   And look at what Luke says in Acts 19, verse 10, "This took place for two years."
[00:25:57.200 --> 00:26:05.200]   If we're even close to estimating the amount of time that Paul invested in these students,
[00:26:05.200 --> 00:26:17.200]   30 hours a week for two years, that's over 3,000 hours of instruction.
[00:26:17.200 --> 00:26:22.200]   I'm making the case this morning that the school of Tyrannus,
[00:26:22.200 --> 00:26:27.200]   which became the lecture hall of Paul,
[00:26:27.200 --> 00:26:34.200]   sets a precedent for seminary training, for pastoral training,
[00:26:34.200 --> 00:26:39.200]   for the intentional and formal investment and preparation of men
[00:26:39.200 --> 00:26:45.200]   who represent the next generation of spiritual leadership in the church.
[00:26:45.200 --> 00:26:52.200]   And look at then the impact of this training center here in Ephesus.
[00:26:52.200 --> 00:26:57.200]   Luke continues in verse 10 to tell us that as a result of this,
[00:26:57.200 --> 00:27:01.200]   all who were in Asia--that's a reference to Asia Minor, modern-day Turkey--
[00:27:01.200 --> 00:27:06.200]   all who were in Asia heard the word of the Lord, both Jews and Greeks.
[00:27:06.200 --> 00:27:12.200]   This was exponential impact.
[00:27:12.200 --> 00:27:18.200]   Because as Paul trained up these men, he sent them out.
[00:27:18.200 --> 00:27:25.200]   Commentators believe that Epaphras, for example, who went and planted the church in Colossae,
[00:27:25.200 --> 00:27:30.200]   was likely trained here in Ephesus under Paul at the school of Tyrannus.
[00:27:30.200 --> 00:27:35.200]   Others suggest that all seven of the seven churches of Revelation,
[00:27:35.200 --> 00:27:39.200]   except for Ephesus, the other six were planted by men
[00:27:39.200 --> 00:27:46.200]   who trained under Paul here at the school of Tyrannus.
[00:27:46.200 --> 00:27:51.200]   And even in Ephesus itself, if we were to look a little bit farther down
[00:27:51.200 --> 00:27:54.200]   in verse 21 and following in Acts chapter 19,
[00:27:54.200 --> 00:27:57.200]   we would find that even in Ephesus itself,
[00:27:57.200 --> 00:28:00.200]   this training is having massive impact.
[00:28:00.200 --> 00:28:04.200]   So much impact that so many people are becoming Christians
[00:28:04.200 --> 00:28:08.200]   that the local economy is suffering.
[00:28:08.200 --> 00:28:10.200]   Not because Christians cause the economy to suffer,
[00:28:10.200 --> 00:28:14.200]   but because Christians don't buy idols.
[00:28:14.200 --> 00:28:18.200]   And when you're a silversmith making idols,
[00:28:18.200 --> 00:28:25.200]   Christianity hurts your pocketbook.
[00:28:25.200 --> 00:28:31.200]   This seminary was, or this training center,
[00:28:31.200 --> 00:28:38.200]   was, as I mentioned, founded by Paul on his third missionary journey.
[00:28:38.200 --> 00:28:43.200]   I'm going to propose that maybe we can call it the Third Missionary Seminary,
[00:28:43.200 --> 00:28:50.200]   or TMS for short.
[00:28:50.200 --> 00:28:55.200]   Now the question I want us to --
[00:28:55.200 --> 00:29:00.200]   that may have been a little bit of eisegesis.
[00:29:00.200 --> 00:29:05.200]   The question I want us to consider as we continue thinking about this connection
[00:29:05.200 --> 00:29:11.200]   between missions and pastoral training is the focus of Paul's training.
[00:29:11.200 --> 00:29:13.200]   The focus of Paul's training.
[00:29:13.200 --> 00:29:16.200]   We can certainly speculate as to what the curriculum was
[00:29:16.200 --> 00:29:19.200]   in terms of the instruction that Paul gave.
[00:29:19.200 --> 00:29:22.200]   While he was in Ephesus on his third missionary journey,
[00:29:22.200 --> 00:29:24.200]   Paul wrote 1 Corinthians.
[00:29:24.200 --> 00:29:27.200]   And so likely all of the topics addressed in 1 Corinthians
[00:29:27.200 --> 00:29:32.200]   were things he discussed with the men at the school of Tyrannus.
[00:29:32.200 --> 00:29:34.200]   He also wrote 2 Corinthians.
[00:29:34.200 --> 00:29:37.200]   And so those same truths, even the heartaches of ministry,
[00:29:37.200 --> 00:29:41.200]   Paul likely talked about with his disciples there in Ephesus.
[00:29:41.200 --> 00:29:44.200]   Shortly after leaving, he would write the book of Romans.
[00:29:44.200 --> 00:29:48.200]   So even that truth is probably all part of the curriculum
[00:29:48.200 --> 00:29:57.200]   that Paul imparted to his students as he met with them daily in this school.
[00:29:57.200 --> 00:30:02.200]   We know a little bit more from Acts 20 that Paul will say,
[00:30:02.200 --> 00:30:11.200]   "I did not shrink back from declaring to you the whole purpose of God."
[00:30:11.200 --> 00:30:15.200]   And it's in Acts 20, as we continue to think about
[00:30:15.200 --> 00:30:21.200]   the focus of Paul's pastoral training here at this school in Ephesus,
[00:30:21.200 --> 00:30:25.200]   that I think we gain even more insight into, again,
[00:30:25.200 --> 00:30:30.200]   the connection between pastoral training and missions
[00:30:30.200 --> 00:30:34.200]   and really what it is that God calls us to do
[00:30:34.200 --> 00:30:40.200]   as we seek to raise up the next generation of faithful leaders.
[00:30:40.200 --> 00:30:47.200]   After the riot in Acts 19, Acts 20, verse 1, Paul leaves Ephesus.
[00:30:47.200 --> 00:30:52.200]   He goes across the Aegean Sea to Macedonia.
[00:30:52.200 --> 00:30:54.200]   He visits the Philippians. He goes down to Greece.
[00:30:54.200 --> 00:30:58.200]   He spends three months in Corinth.
[00:30:58.200 --> 00:31:03.200]   He then goes back to Macedonia and then back across the Aegean Sea.
[00:31:03.200 --> 00:31:08.200]   And in Acts 20, verses 6 through 12, he finds himself in Troas.
[00:31:08.200 --> 00:31:15.200]   It's there in Troas, late at night, that Paul is speaking in a upper room.
[00:31:15.200 --> 00:31:21.200]   He's going long. He's at a shepherd's conference.
[00:31:21.200 --> 00:31:25.200]   And you have a young man named Eutychus there sitting in the windowsill,
[00:31:25.200 --> 00:31:27.200]   and Eutychus just can't stay awake.
[00:31:27.200 --> 00:31:30.200]   Some of you know how Eutychus feels even this morning.
[00:31:30.200 --> 00:31:32.200]   Thank you, brothers, for praying for me.
[00:31:32.200 --> 00:31:37.200]   I'm assuming that's what you're doing.
[00:31:37.200 --> 00:31:42.200]   And, of course, it didn't end well for Eutychus until it did end well
[00:31:42.200 --> 00:31:50.200]   because Paul, of course, came and raised Eutychus back to life.
[00:31:50.200 --> 00:31:54.200]   And then Paul and his traveling companions, including Luke and Timothy,
[00:31:54.200 --> 00:31:56.200]   they make their way further south.
[00:31:56.200 --> 00:32:01.200]   Paul wants to see his brothers in Ephesus one more time.
[00:32:01.200 --> 00:32:07.200]   He wants to see the students into whose lives he had poured so much time
[00:32:07.200 --> 00:32:10.200]   and so much energy.
[00:32:10.200 --> 00:32:13.200]   But he needs to get to Jerusalem, and he wants to get there quickly.
[00:32:13.200 --> 00:32:16.200]   He wants to get there in time for the Feast of Pentecost,
[00:32:16.200 --> 00:32:19.200]   and so he doesn't want to stay in Ephesus.
[00:32:19.200 --> 00:32:23.200]   And so he sails past Ephesus, and he comes to Miletus.
[00:32:23.200 --> 00:32:26.200]   And in Miletus, he sends for the Ephesian elders,
[00:32:26.200 --> 00:32:30.200]   and they meet him in Miletus.
[00:32:30.200 --> 00:32:36.200]   And starting in verse 18 of chapter 20, Paul addresses the Ephesian elders.
[00:32:36.200 --> 00:32:39.200]   And this is where we're going to spend our time this morning
[00:32:39.200 --> 00:32:46.200]   as we look at Paul's address to his former students.
[00:32:46.200 --> 00:32:50.200]   In fact, I would argue, insofar as the school of Tyrannus in Ephesus
[00:32:50.200 --> 00:32:52.200]   represents the first seminary,
[00:32:52.200 --> 00:32:55.200]   that this address by Paul to the Ephesian elders
[00:32:55.200 --> 00:32:59.200]   represents the first seminary graduation address.
[00:32:59.200 --> 00:33:05.200]   This is Paul's charge to his former students,
[00:33:05.200 --> 00:33:08.200]   because those men who trained at the school of Tyrannus,
[00:33:08.200 --> 00:33:12.200]   many of them were sent out, but many of them stayed.
[00:33:12.200 --> 00:33:15.200]   And the men who stayed were trained up to be elders
[00:33:15.200 --> 00:33:18.200]   and leaders in the church in Ephesus.
[00:33:18.200 --> 00:33:22.200]   And so as we reflect on Paul's address to the Ephesian elders,
[00:33:22.200 --> 00:33:30.200]   this is Paul giving the first graduation charge.
[00:33:30.200 --> 00:33:36.200]   And it is particularly poignant because Paul tells them,
[00:33:36.200 --> 00:33:46.200]   verse 25, that they are never going to see him again this side of heaven.
[00:33:46.200 --> 00:33:53.200]   His training is complete in terms of his instruction to them,
[00:33:53.200 --> 00:33:58.200]   and now it's time for them to take what they've learned
[00:33:58.200 --> 00:34:04.200]   and to employ it in ministry.
[00:34:04.200 --> 00:34:10.200]   Now, like a good graduation address,
[00:34:10.200 --> 00:34:15.200]   Paul will spend half of this address looking back
[00:34:15.200 --> 00:34:19.200]   on what it was like when he was with them,
[00:34:19.200 --> 00:34:22.200]   and he'll spend the other half looking forward
[00:34:22.200 --> 00:34:27.200]   as he instructs them to be faithful in the future.
[00:34:27.200 --> 00:34:30.200]   Commencement is both an end and a beginning,
[00:34:30.200 --> 00:34:33.200]   and that's true here for Paul with his former students.
[00:34:33.200 --> 00:34:35.200]   This is the end of their training.
[00:34:35.200 --> 00:34:41.200]   It's the beginning of the rest of their ministry,
[00:34:41.200 --> 00:34:44.200]   where Paul will not be physically present,
[00:34:44.200 --> 00:34:50.200]   and yet they have been well-prepared, well-equipped.
[00:34:50.200 --> 00:34:54.200]   These verses, verses 18 to 35,
[00:34:54.200 --> 00:34:58.200]   Luke's record of Paul's address there to the Ephesian elders,
[00:34:58.200 --> 00:35:03.200]   they can really be divided into two big categories.
[00:35:03.200 --> 00:35:08.200]   First, Paul's example in verses 18 to 27,
[00:35:08.200 --> 00:35:14.200]   and then Paul's exhortation in verses 28 to 35.
[00:35:14.200 --> 00:35:21.200]   Paul's example, and then Paul's exhortations.
[00:35:21.200 --> 00:35:23.200]   Last night here at the Shepherd's Conference,
[00:35:23.200 --> 00:35:26.200]   we had a prospective student event,
[00:35:26.200 --> 00:35:30.200]   and it was wonderful, just a joy to meet men
[00:35:30.200 --> 00:35:33.200]   whose hearts are on fire to serve the Lord.
[00:35:33.200 --> 00:35:35.200]   And there was a young man last night
[00:35:35.200 --> 00:35:37.200]   who asked me this question.
[00:35:37.200 --> 00:35:39.200]   I don't know if that was apropos.
[00:35:39.200 --> 00:35:44.200]   He said, "What are the seminary's expectations
[00:35:44.200 --> 00:35:48.200]   for its graduates?
[00:35:48.200 --> 00:35:53.200]   What are your expectations for your graduates?"
[00:35:53.200 --> 00:35:56.200]   Well, I was ready for that question
[00:35:56.200 --> 00:35:59.200]   because I've been thinking about this passage.
[00:35:59.200 --> 00:36:03.200]   So maybe I can give you an idea of the answer I gave him
[00:36:03.200 --> 00:36:07.200]   based on what comes next in our message this morning.
[00:36:07.200 --> 00:36:10.200]   But I really think here we have Paul
[00:36:10.200 --> 00:36:16.200]   expressing his expectations for his graduates.
[00:36:16.200 --> 00:36:22.200]   After 3,000 potentially hours of apostolic instruction,
[00:36:22.200 --> 00:36:27.200]   of seminary on steroids, these men are ready.
[00:36:27.200 --> 00:36:31.200]   Now Paul is charging them with his expectations
[00:36:31.200 --> 00:36:38.200]   of what they must be and what they must do.
[00:36:38.200 --> 00:36:43.200]   And in particular, as he reflects on his example,
[00:36:43.200 --> 00:36:47.200]   he's going to emphasize the character
[00:36:47.200 --> 00:36:50.200]   that they must display.
[00:36:50.200 --> 00:36:54.200]   And then as he gives exhortations,
[00:36:54.200 --> 00:36:57.200]   he's going to emphasize the convictions
[00:36:57.200 --> 00:37:00.200]   that they must possess.
[00:37:00.200 --> 00:37:04.200]   Character and convictions.
[00:37:04.200 --> 00:37:06.200]   And what I think is so interesting about this,
[00:37:06.200 --> 00:37:08.200]   because this is Paul's final lesson,
[00:37:08.200 --> 00:37:11.200]   or at least his final in-person lesson
[00:37:11.200 --> 00:37:14.200]   to these former students here at Ephesus,
[00:37:14.200 --> 00:37:17.200]   he knows they have the content.
[00:37:17.200 --> 00:37:19.200]   He knows they have the information.
[00:37:19.200 --> 00:37:21.200]   He knows they have the theology.
[00:37:21.200 --> 00:37:23.200]   They have the head knowledge.
[00:37:23.200 --> 00:37:25.200]   He doesn't spend his time now
[00:37:25.200 --> 00:37:29.200]   talking about information or methodology.
[00:37:29.200 --> 00:37:32.200]   He spends his time instead focusing on
[00:37:32.200 --> 00:37:41.200]   character and convictions.
[00:37:41.200 --> 00:37:49.200]   Because he assumes that if they're men of character,
[00:37:49.200 --> 00:37:52.200]   they will stay faithful to the truth.
[00:37:52.200 --> 00:37:54.200]   And if they are men of conviction,
[00:37:54.200 --> 00:37:56.200]   they will live out that truth
[00:37:56.200 --> 00:37:59.200]   in a way that is consistent
[00:37:59.200 --> 00:38:05.200]   with being a minister of the gospel of Jesus Christ.
[00:38:05.200 --> 00:38:10.200]   So let's talk then about Paul's example of character
[00:38:10.200 --> 00:38:17.200]   in verses 18 to 27.
[00:38:17.200 --> 00:38:23.200]   Paul begins by noting the fact that
[00:38:23.200 --> 00:38:26.200]   the whole time he had been with them,
