
[00:00:00.000 --> 00:00:06.120]   All right.
[00:04:59.440 --> 00:05:04.920]   Also, the Amazon versions, SageMaker Studio.
[00:05:04.920 --> 00:05:09.520]   In addition, OpenAI account and Cohere account.
[00:05:09.520 --> 00:05:12.200]   Both of those have free tiers.
[00:05:12.200 --> 00:05:16.600]   For Cohere, you get really rate limited and for OpenAI, they give you $5.
[00:05:16.600 --> 00:05:18.760]   You could consider spending a little bit more.
[00:05:18.760 --> 00:05:22.080]   I do think you could do all our coursework for under those amounts.
[00:05:22.080 --> 00:05:23.720]   I think that for OpenAI,
[00:05:23.720 --> 00:05:26.840]   you could still have lots of accounts if you wanted to.
[00:05:26.840 --> 00:05:28.640]   Each one getting $5.
[00:05:28.640 --> 00:05:30.760]   It used to be 18 and now it's five,
[00:05:30.760 --> 00:05:32.440]   so we know what's coming.
[00:05:32.440 --> 00:05:34.760]   But embrace it while you can.
[00:05:34.760 --> 00:05:38.640]   Also, I'll say, I'm pretty well confident that we'll get a bunch of
[00:05:38.640 --> 00:05:43.160]   credits from AWS Educate for you to use EC2 machines.
[00:05:43.160 --> 00:05:46.680]   So more details about that in a little bit.
[00:05:46.680 --> 00:05:49.680]   If you want to follow along,
[00:05:49.680 --> 00:05:50.720]   let's head to this one.
[00:05:50.720 --> 00:05:52.600]   This is our slideshow from last time.
[00:05:52.600 --> 00:05:54.440]   I do just want to review some things.
[00:05:54.440 --> 00:05:57.520]   What we did last time is I tried to immerse us in
[00:05:57.520 --> 00:06:04.120]   this weird and wonderful moment for AI and give you a sense for how we got here.
[00:06:04.120 --> 00:06:06.520]   Then we talked about the first two units,
[00:06:06.520 --> 00:06:11.400]   transformers and retrieval augmented in-context learning.
[00:06:11.400 --> 00:06:13.600]   I think that is all wonderful stuff.
[00:06:13.600 --> 00:06:17.440]   I expect you all to do lots of creative and cool things in that space.
[00:06:17.440 --> 00:06:20.960]   But it's important for me to continue this slideshow because there is
[00:06:20.960 --> 00:06:25.000]   more to our field than just those big language models and prompting.
[00:06:25.000 --> 00:06:28.040]   There are lots of important ways to contribute beyond that.
[00:06:28.040 --> 00:06:32.880]   So let me take a moment and just give you an indication of what I have in mind there.
[00:06:32.880 --> 00:06:36.040]   Our third main course unit,
[00:06:36.040 --> 00:06:38.560]   I've called compositional generalization.
[00:06:38.560 --> 00:06:40.080]   This is brand new.
[00:06:40.080 --> 00:06:43.080]   We're going to focus on the COGS benchmark,
[00:06:43.080 --> 00:06:49.600]   which is a relatively recent synthetic dataset that is designed to stress test
[00:06:49.600 --> 00:06:55.200]   whether models have really learned systematic solutions to language problems.
[00:06:55.200 --> 00:06:59.720]   So the way COGS works is we have essentially a semantic parsing task.
[00:06:59.720 --> 00:07:03.440]   The input is a sentence like Lena gave the bottle to John,
[00:07:03.440 --> 00:07:08.160]   and the task is to learn how to map those sentences to their logical form,
[00:07:08.160 --> 00:07:11.600]   which are these logical representations down here.
[00:07:11.600 --> 00:07:17.920]   The interesting thing about COGS is that they've posed hard generalization tasks.
[00:07:17.920 --> 00:07:19.960]   For example, in training,
[00:07:19.960 --> 00:07:24.780]   you might get to see examples where Lena here is in subject position,
[00:07:24.780 --> 00:07:26.440]   and then at test time,
[00:07:26.440 --> 00:07:29.040]   you see Lena in object position.
[00:07:29.040 --> 00:07:30.800]   Or at train time,
[00:07:30.800 --> 00:07:34.040]   you might see Paula as a name but in isolation,
[00:07:34.040 --> 00:07:36.960]   and the task is to have the system learn how to deal with
[00:07:36.960 --> 00:07:41.480]   Paula as a subject of a sentence like Paula painted a cake.
[00:07:41.480 --> 00:07:44.960]   Or object PP to subject PP.
[00:07:44.960 --> 00:07:46.340]   So at train time,
[00:07:46.340 --> 00:07:48.680]   you see Emma ate the cake on the table,
[00:07:48.680 --> 00:07:52.200]   where on the table is inside the direct object of the sentence.
[00:07:52.200 --> 00:07:53.520]   Then at test time,
[00:07:53.520 --> 00:07:55.360]   you see the cake on the table burned,
[00:07:55.360 --> 00:07:58.240]   where on the table is now a subject.
[00:07:58.240 --> 00:08:02.240]   These seem like dead simple generalization tasks,
[00:08:02.240 --> 00:08:04.520]   and the sentences are very simple.
[00:08:04.520 --> 00:08:06.520]   But here's the punchline.
[00:08:06.520 --> 00:08:11.440]   This is a kind of accumulated leaderboard of a lot of entries for COGS.
[00:08:11.440 --> 00:08:13.120]   If you look all the way on the right,
[00:08:13.120 --> 00:08:15.180]   you can see systems are doing pretty well.
[00:08:15.180 --> 00:08:17.020]   It is impressive that they can go from
[00:08:17.020 --> 00:08:20.440]   these free-form sentences into those very ornate logical forms.
[00:08:20.440 --> 00:08:22.320]   Okay, but look at this column.
[00:08:22.320 --> 00:08:24.300]   This is a column of zeros,
[00:08:24.300 --> 00:08:26.520]   object PP to subject PP.
[00:08:26.520 --> 00:08:28.040]   It looked really simple,
[00:08:28.040 --> 00:08:31.120]   and that's just the task of learning from Emma ate the cake on
[00:08:31.120 --> 00:08:33.920]   the table and predicting the cake on the table burned.
[00:08:33.920 --> 00:08:39.520]   Why are these- all these brand new systems getting zero on this split?
[00:08:39.520 --> 00:08:42.620]   That shows first of all that this is a hard problem.
[00:08:42.620 --> 00:08:47.760]   Now, we are going to work with a variant that we created of COGS called reCOGS.
[00:08:47.760 --> 00:08:50.280]   This was done with my students Zen Wu and Chris Manning.
[00:08:50.280 --> 00:08:51.780]   It's brand new work.
[00:08:51.780 --> 00:08:53.480]   We think that in part,
[00:08:53.480 --> 00:08:57.320]   all those zeros derive from there being some artifacts in COGS.
[00:08:57.320 --> 00:09:02.840]   So it was made kind of artificially hard and also artificially easy in some ways.
[00:09:02.840 --> 00:09:05.440]   So in this class, we're going to work with reCOGS,
[00:09:05.440 --> 00:09:09.760]   which has done some systematic meaning-preserving transformations to
[00:09:09.760 --> 00:09:13.680]   the original to create a new dataset that we think is fairer.
[00:09:13.680 --> 00:09:16.980]   But it still remains incredibly hard.
[00:09:16.980 --> 00:09:20.660]   Systems can get traction where- before they were getting zero,
[00:09:20.660 --> 00:09:22.200]   so we know their signal.
[00:09:22.200 --> 00:09:26.160]   And we have more confidence that this is testing something about semantics.
[00:09:26.160 --> 00:09:28.400]   And then the punchline remains the same.
[00:09:28.400 --> 00:09:32.960]   This is incredibly hard for our systems, even our best systems.
[00:09:32.960 --> 00:09:37.000]   There needs to be some kind of breakthrough here for us to get
[00:09:37.000 --> 00:09:41.720]   our systems to do well even on these incredibly simple sentences.
[00:09:41.720 --> 00:09:45.720]   So I am eager to see what you all do with this problem.
[00:09:45.720 --> 00:09:49.000]   You're seeing a picture here of the kind of best we could do,
[00:09:49.000 --> 00:09:53.200]   which is a little bit better than what was in the literature previously,
[00:09:53.200 --> 00:09:55.840]   but certainly not a solved task.
[00:09:55.840 --> 00:10:02.280]   Right. So that will culminate in this homework and bake off our third one.
[00:10:02.280 --> 00:10:07.760]   From there, the course work opens up into your projects.
[00:10:07.760 --> 00:10:11.760]   We're done with the regular assignments and we go through the rhythm of lit review,
[00:10:11.760 --> 00:10:15.680]   experiment protocol, which is a special document that kind of lays down
[00:10:15.680 --> 00:10:18.400]   the nuts and bolts of what you're going to do for your paper,
[00:10:18.400 --> 00:10:20.560]   and then the final paper itself.
[00:10:20.560 --> 00:10:22.200]   In the spirit of that,
[00:10:22.200 --> 00:10:25.320]   what we do in our course together is think
[00:10:25.320 --> 00:10:29.840]   about topics that will supercharge your own final project papers.
[00:10:29.840 --> 00:10:36.200]   The first topic that comes to mind for me there is better and more diverse benchmarks.
[00:10:36.200 --> 00:10:39.360]   We need measurement instruments to get
[00:10:39.360 --> 00:10:42.520]   reliable estimates of how well our systems are doing,
[00:10:42.520 --> 00:10:45.160]   and that implies having good benchmarks.
[00:10:45.160 --> 00:10:47.280]   In this context, I really like to invoke
[00:10:47.280 --> 00:10:50.280]   this famous quotation from the explorer Jacques Cousteau.
[00:10:50.280 --> 00:10:52.920]   He said, "Water and air,
[00:10:52.920 --> 00:10:56.160]   the two essential fluids on which all life depends,
[00:10:56.160 --> 00:10:58.520]   that's datasets for our field."
[00:10:58.520 --> 00:11:03.040]   You can see here that Cousteau did continue have become global garbage cans.
[00:11:03.040 --> 00:11:06.400]   That might concern us about what's happening with our datasets.
[00:11:06.400 --> 00:11:07.960]   I don't think it's that bad,
[00:11:07.960 --> 00:11:11.480]   but still you could have that in the back of your mind that we need
[00:11:11.480 --> 00:11:17.120]   these datasets we create to be reliable high-quality instruments.
[00:11:17.120 --> 00:11:21.000]   The reason for that is that we ask so much of our datasets.
[00:11:21.000 --> 00:11:24.080]   We use them to optimize models when we train on them.
[00:11:24.080 --> 00:11:25.400]   We use them crucially,
[00:11:25.400 --> 00:11:28.520]   and this is increasingly important to evaluate our models,
[00:11:28.520 --> 00:11:31.160]   our biggest language models that are getting all the headlines.
[00:11:31.160 --> 00:11:33.240]   How well are they actually doing?
[00:11:33.240 --> 00:11:34.920]   We need datasets for that.
[00:11:34.920 --> 00:11:36.720]   We use it to compare models,
[00:11:36.720 --> 00:11:40.160]   to enable new capabilities via training and testing,
[00:11:40.160 --> 00:11:42.560]   to measure progress as a field.
[00:11:42.560 --> 00:11:44.960]   It's our fundamental barometer for this,
[00:11:44.960 --> 00:11:49.540]   and of course for basic scientific inquiry into language and the world.
[00:11:49.540 --> 00:11:51.840]   This is a long and important list,
[00:11:51.840 --> 00:11:57.120]   and it shows you that datasets are really central to what we're doing.
[00:11:57.120 --> 00:12:01.080]   So I'm exhorting you as you can tell to think about datasets,
[00:12:01.080 --> 00:12:02.800]   especially ones that would be powerful as
[00:12:02.800 --> 00:12:05.560]   evaluation tools in the context of this course.
[00:12:05.560 --> 00:12:10.280]   I am genuinely worried about the new dynamic where we are
[00:12:10.280 --> 00:12:14.280]   evaluating these big language models essentially on Twitter,
[00:12:14.280 --> 00:12:18.080]   where people have screenshots of some fun cases that they saw,
[00:12:18.080 --> 00:12:20.220]   and we all know that we're not
[00:12:20.220 --> 00:12:22.760]   seeing a full representative sample of the inputs.
[00:12:22.760 --> 00:12:24.740]   We're seeing the worst and the best,
[00:12:24.740 --> 00:12:28.420]   and it's impossible to piece together a scientific picture from that.
[00:12:28.420 --> 00:12:30.540]   My student, Omar Khattab,
[00:12:30.540 --> 00:12:33.100]   recently observed, I think this is very wise,
[00:12:33.100 --> 00:12:35.260]   that we have moved into this era in which
[00:12:35.260 --> 00:12:37.380]   designing systems might be really easy.
[00:12:37.380 --> 00:12:39.360]   It might be a matter of writing a prompt,
[00:12:39.360 --> 00:12:43.460]   but figuring out whether it was a good system is going to get harder and harder,
[00:12:43.460 --> 00:12:48.060]   and for that we need lots of evaluation datasets.
[00:12:48.060 --> 00:12:52.460]   You could think about this slide that I showed you from before.
[00:12:52.460 --> 00:12:56.100]   We have this benchmark saturation with all of these systems now
[00:12:56.100 --> 00:12:59.640]   increasingly quickly getting above our estimate of human performance,
[00:12:59.640 --> 00:13:04.180]   but I asked you to be cynical about that as a measure of human performance.
[00:13:04.180 --> 00:13:09.460]   Another perspective on this slide could be that our benchmarks are simply too easy,
[00:13:09.460 --> 00:13:13.300]   because it is not like if you interacted with one of these systems,
[00:13:13.300 --> 00:13:14.680]   even the most recent ones,
[00:13:14.680 --> 00:13:17.620]   it would feel superhuman to you.
[00:13:17.620 --> 00:13:23.780]   Partly what we're seeing here is a remnant of the fact that until very recently,
[00:13:23.780 --> 00:13:26.780]   our evaluations had to be essentially machine tasks,
[00:13:26.780 --> 00:13:28.100]   not human tasks,
[00:13:28.100 --> 00:13:32.620]   and we had humans do machine tasks to get a measure of human performance.
[00:13:32.620 --> 00:13:35.940]   Maybe we're moving into a new and more exciting era.
[00:13:35.940 --> 00:13:38.420]   We're going to talk about adversarial testing.
[00:13:38.420 --> 00:13:40.700]   I've been involved with the Dynabench effort.
[00:13:40.700 --> 00:13:44.520]   This is a kind of open-source effort to develop datasets
[00:13:44.520 --> 00:13:47.740]   that are going to be really hard for the best of our models,
[00:13:47.740 --> 00:13:50.860]   and I think that's a wonderful dynamic as well.
[00:13:50.860 --> 00:13:57.620]   That leads into this related topic of us having more meaningful evaluations.
[00:13:57.620 --> 00:13:59.780]   Here's a fundamental thing that you might worry
[00:13:59.780 --> 00:14:02.580]   about throughout artificial intelligence.
[00:14:02.580 --> 00:14:05.700]   All we care about is performance for the system,
[00:14:05.700 --> 00:14:07.620]   some notion of accuracy.
[00:14:07.620 --> 00:14:10.140]   I've put this under the heading of Strathairn's law.
[00:14:10.140 --> 00:14:11.740]   When a measure becomes a target,
[00:14:11.740 --> 00:14:13.580]   it ceases to be a good measure.
[00:14:13.580 --> 00:14:16.980]   If we have this consensus that all we care about is accuracy,
[00:14:16.980 --> 00:14:18.380]   we know what will happen.
[00:14:18.380 --> 00:14:21.300]   Everyone in the field will climb on accuracy.
[00:14:21.300 --> 00:14:26.180]   We know from Strathairn's law that that will distort the actual rate of
[00:14:26.180 --> 00:14:30.620]   progress by diminishing everything else that could be
[00:14:30.620 --> 00:14:34.140]   important to thinking about these AI systems.
[00:14:34.140 --> 00:14:38.340]   Relatedly, this is a wonderful study from Birhane et al.
[00:14:38.340 --> 00:14:42.260]   I've selected a few of the values encoded in ML research,
[00:14:42.260 --> 00:14:46.060]   which they did via a very extensive literature survey.
[00:14:46.060 --> 00:14:48.340]   Impressionistically, here's the list.
[00:14:48.340 --> 00:14:51.700]   At the top, dominating everything else,
[00:14:51.700 --> 00:14:54.540]   you have an obsession with performance, as I said.
[00:14:54.540 --> 00:14:56.980]   Then way down on the list though,
[00:14:56.980 --> 00:15:01.420]   in second place, you have efficiency and things like explainability,
[00:15:01.420 --> 00:15:04.060]   applicability in the real world, robustness.
[00:15:04.060 --> 00:15:05.940]   As I go farther down on the list here,
[00:15:05.940 --> 00:15:06.980]   the ones that are colored there,
[00:15:06.980 --> 00:15:09.700]   they actually should be in the tiniest of type.
[00:15:09.700 --> 00:15:14.620]   Because if you think about the field's actual values as reflected in the literature,
[00:15:14.620 --> 00:15:17.620]   you find that these things are getting almost no play.
[00:15:17.620 --> 00:15:20.060]   I think things are looking up,
[00:15:20.060 --> 00:15:24.220]   but it's still the case that it's wildly skewed toward performance.
[00:15:24.220 --> 00:15:27.620]   But those things that I have down there in purple and orange,
[00:15:27.620 --> 00:15:31.820]   beneficence, privacy, fairness, and justice,
[00:15:31.820 --> 00:15:34.460]   those are incredibly important things and more and more
[00:15:34.460 --> 00:15:38.740]   important as these systems are being deployed more widely.
[00:15:38.740 --> 00:15:43.820]   So we have to, via our practices and what we hold to be valuable,
[00:15:43.820 --> 00:15:46.180]   elevate these other principles.
[00:15:46.180 --> 00:15:48.700]   You all could start to do that by thinking about
[00:15:48.700 --> 00:15:51.780]   proposing evaluations that would elevate them.
[00:15:51.780 --> 00:15:54.260]   That could be tremendously exciting.
[00:15:54.260 --> 00:15:57.740]   The final point here is that we could also have
[00:15:57.740 --> 00:16:02.180]   a move toward leaderboards that embrace more aspects of this.
[00:16:02.180 --> 00:16:05.700]   Again, to help us move away from the obsession on performance,
[00:16:05.700 --> 00:16:09.780]   we should have leaderboards that score us along many dimensions.
[00:16:09.780 --> 00:16:12.460]   In this context, I've really been inspired by work that
[00:16:12.460 --> 00:16:15.620]   Cowen did on what he calls Dyna-scoring,
[00:16:15.620 --> 00:16:17.820]   which is a proposal for how to
[00:16:17.820 --> 00:16:21.500]   synthesize across a lot of different measurement dimensions.
[00:16:21.500 --> 00:16:23.500]   To give you a quick illustration,
[00:16:23.500 --> 00:16:27.740]   here I have a table where the rows are question answering systems,
[00:16:27.740 --> 00:16:30.420]   and the columns are different things we could measure.
[00:16:30.420 --> 00:16:32.620]   Just a sample of them, performance,
[00:16:32.620 --> 00:16:36.340]   throughput, memory, fairness, robustness,
[00:16:36.340 --> 00:16:38.340]   and we could add other dimensions.
[00:16:38.340 --> 00:16:40.980]   With the current Dyna-scoring that you're seeing here,
[00:16:40.980 --> 00:16:43.380]   where most of the weight is put on performance,
[00:16:43.380 --> 00:16:47.900]   that DeBirda system is the winner in this leaderboard competition.
[00:16:47.900 --> 00:16:50.540]   But that's standard. But what if we decided that we
[00:16:50.540 --> 00:16:53.060]   cared much more about fairness for these systems?
[00:16:53.060 --> 00:16:57.380]   So we adjusted the Dyna-scoring here to put five on fairness,
[00:16:57.380 --> 00:16:58.780]   keep a lot on performance,
[00:16:58.780 --> 00:17:01.140]   but diminish the other measures there.
[00:17:01.140 --> 00:17:04.780]   Well, now the Electra Large system is in first place.
[00:17:04.780 --> 00:17:06.740]   Which one was the true winner?
[00:17:06.740 --> 00:17:09.620]   I think the answer is that there is no true winner here.
[00:17:09.620 --> 00:17:13.260]   What this shows is that all of our leaderboards are
[00:17:13.260 --> 00:17:16.700]   reflecting some ordering of our preferences,
[00:17:16.700 --> 00:17:18.060]   and when we pick one,
[00:17:18.060 --> 00:17:22.300]   we are instilling a particular set of values on the whole enterprise.
[00:17:22.300 --> 00:17:24.860]   But this is also creating space for us.
[00:17:24.860 --> 00:17:28.380]   This is I think part of Cowen's vision for Dyna-scoring,
[00:17:28.380 --> 00:17:30.380]   that we could design leaderboards that were
[00:17:30.380 --> 00:17:32.860]   tuned to the things that we want to do in the world,
[00:17:32.860 --> 00:17:35.580]   via the weighting and the columns that we chose,
[00:17:35.580 --> 00:17:40.260]   and evaluate systems on that basis. Yeah.
[00:17:40.260 --> 00:17:42.980]   >> What does fairness to you in this field mean?
[00:17:42.980 --> 00:17:44.580]   How do you measure something like that?
[00:17:44.580 --> 00:17:45.900]   >> What is fairness? Yeah. Well,
[00:17:45.900 --> 00:17:47.540]   that's a whole another aspect to this.
[00:17:47.540 --> 00:17:49.620]   So if we're going to start to measure these dimensions,
[00:17:49.620 --> 00:17:51.340]   like we're going to have a column for fairness,
[00:17:51.340 --> 00:17:54.140]   we better be sure that we know what's behind that.
[00:17:54.140 --> 00:17:57.660]   I can tell you there needs to be a lot more work on
[00:17:57.660 --> 00:18:01.740]   our measurement devices, our benchmarks, for assessing fairness.
[00:18:01.740 --> 00:18:04.780]   Because all of those things are incredibly nuanced,
[00:18:04.780 --> 00:18:06.940]   multi-dimensional concepts, and so
[00:18:06.940 --> 00:18:09.220]   the idea would be to bring that in as well.
[00:18:09.220 --> 00:18:12.900]   Yeah. Throughput memory, maybe those are straightforward,
[00:18:12.900 --> 00:18:15.180]   but fairness is going to be a challenging one.
[00:18:15.180 --> 00:18:18.860]   But that's not to say that it's not incredibly important.
[00:18:18.860 --> 00:18:25.900]   Then finally, to really inspire you,
[00:18:25.900 --> 00:18:28.860]   I do feel like this is the first time I could say this in this course.
[00:18:28.860 --> 00:18:30.860]   I think we're moving into an era in which
[00:18:30.860 --> 00:18:34.620]   our evaluations can be much more meaningful than they ever were before.
[00:18:34.620 --> 00:18:38.820]   Assessment today or yesterday is really one-dimensional,
[00:18:38.820 --> 00:18:40.780]   that's the performance thing I mentioned.
[00:18:40.780 --> 00:18:43.500]   It's largely insensitive to the context.
[00:18:43.500 --> 00:18:45.500]   We always pick F1 or something as
[00:18:45.500 --> 00:18:49.100]   the only thing regardless of what we're trying to accomplish in the world.
[00:18:49.100 --> 00:18:52.020]   The terms are largely set by us researchers.
[00:18:52.020 --> 00:18:55.580]   We say it's F1 and everyone follows suit because we're
[00:18:55.580 --> 00:18:58.580]   supposed to be the experts on this and it's often very
[00:18:58.580 --> 00:19:01.780]   opaque and tailored to machine tasks.
[00:19:01.780 --> 00:19:03.300]   I've already complained about that.
[00:19:03.300 --> 00:19:05.420]   Our estimates of human performance being
[00:19:05.420 --> 00:19:08.620]   very different from what you would think that phrase means.
[00:19:08.620 --> 00:19:11.700]   In this new future that we could start right now,
[00:19:11.700 --> 00:19:14.420]   our assessments could certainly be high dimensional and fluid.
[00:19:14.420 --> 00:19:16.820]   I showed you a glimpse of that with the Dyna scoring.
[00:19:16.820 --> 00:19:18.260]   I think that's incredible.
[00:19:18.260 --> 00:19:22.180]   They could also in turn be highly sensitive to the context that we're in.
[00:19:22.180 --> 00:19:25.140]   If we care about fairness and we care about efficiency,
[00:19:25.140 --> 00:19:27.140]   and we put those above performance,
[00:19:27.140 --> 00:19:29.740]   we're going to get a very different prioritization of
[00:19:29.740 --> 00:19:32.780]   the systems and so forth and so on.
[00:19:32.780 --> 00:19:38.340]   Then in turn, the terms of these evaluations could be set not by us researchers,
[00:19:38.340 --> 00:19:40.020]   who are doing our very abstract thing,
[00:19:40.020 --> 00:19:43.740]   but rather the people who are trying to get value out of these systems,
[00:19:43.740 --> 00:19:46.060]   the people who have to interact with them.
[00:19:46.060 --> 00:19:49.980]   Then the judgments could ultimately be made by the users.
[00:19:49.980 --> 00:19:52.060]   They could decide which system they want to choose
[00:19:52.060 --> 00:19:54.900]   based on their own expressed preferences.
[00:19:54.900 --> 00:19:57.900]   Then in turn, maybe we could have
[00:19:57.900 --> 00:20:02.580]   our evaluations be much more at the level of human tasks.
[00:20:02.580 --> 00:20:04.540]   Right now, for example,
[00:20:04.540 --> 00:20:06.580]   we might insist that some human labelers
