
[00:00:00.040 --> 00:00:10.620]   stuff
[00:04:22.420 --> 00:04:22.420]   I'm going to share with you the first audio excerpt from the course,
[00:04:22.420 --> 00:04:22.420]   I'm going to share with you the first audio excerpt from the course,
[00:04:22.420 --> 00:04:22.420]   I'm going to share with you the first audio excerpt from the course,
[00:04:22.440 --> 00:04:52.440]   I'm going to share with you the first audio excerpt from the course,
[00:04:52.440 --> 00:04:52.440]   I'm going to share with you the first audio excerpt from the course,
[00:04:52.440 --> 00:04:52.440]   I'm going to share with you the first audio excerpt from the course,
[00:04:52.440 --> 00:04:52.440]   I'm going to share with you the first audio excerpt from the course,
[00:04:52.440 --> 00:04:52.440]   I'm going to share with you the first audio excerpt from the course,
[00:04:52.440 --> 00:04:52.440]   I'm going to share with you the first audio excerpt from the course,
[00:04:52.440 --> 00:04:52.440]   I'm going to share with you the first audio excerpt from the course,
[00:04:52.440 --> 00:04:52.440]   I'm going to share with you the first audio excerpt from the course,
[00:04:52.440 --> 00:04:52.440]   I'm going to share with you the first audio excerpt from the course,
[00:04:52.440 --> 00:04:52.440]   I'm going to share with you the first audio excerpt from the course,
[00:04:52.440 --> 00:04:52.440]   I'm going to share with you the first audio excerpt from the course,
[00:04:52.440 --> 00:04:52.440]   I'm going to share with you the first audio excerpt from the course,
[00:04:52.480 --> 00:05:22.460]   Transportation is a free audio excerpt from the course,
[00:05:22.460 --> 00:05:22.460]   I'm going to share with you the first audio excerpt from the course,
[00:05:22.460 --> 00:05:22.460]   I'm going to share with you the first audio excerpt from the course,
[00:05:22.460 --> 00:05:22.460]   I'm going to share with you the first audio excerpt from the course,
[00:05:22.460 --> 00:05:22.460]   I'm going to share with you the first audio excerpt from the course,
[00:05:22.460 --> 00:05:22.460]   I'm going to share with you the first audio excerpt from the course,
[00:05:22.460 --> 00:05:22.460]   I'm going to share with you the first audio excerpt from the course,
[00:05:22.460 --> 00:05:22.460]   I'm going to share with you the first audio excerpt from the course,
[00:05:22.460 --> 00:05:22.460]   I'm going to share with you the first audio excerpt from the course,
[00:05:22.460 --> 00:05:22.460]   I'm going to share with you the first audio excerpt from the course,
[00:05:22.460 --> 00:05:22.460]   I'm going to share with you the first audio excerpt from the course,
[00:05:22.460 --> 00:05:22.460]   I'm going to share with you the first audio excerpt from the course,
[00:05:22.500 --> 00:05:52.480]   I'm going to share with you the first audio excerpt from the course,
[00:05:52.480 --> 00:05:52.480]   I'm going to share with you the first audio excerpt from the course,
[00:05:52.480 --> 00:05:52.480]   I'm going to share with you the first audio excerpt from the course,
[00:05:52.480 --> 00:05:52.480]   I'm going to share with you the first audio excerpt from the course,
[00:05:52.480 --> 00:05:52.480]   I'm going to share with you the first audio excerpt from the course,
[00:05:52.480 --> 00:05:52.480]   I'm going to share with you the first audio excerpt from the course,
[00:05:52.480 --> 00:05:52.480]   I'm going to share with you the first audio excerpt from the course,
[00:05:52.480 --> 00:05:52.480]   I'm going to share with you the first audio excerpt from the course,
[00:05:52.500 --> 00:06:22.500]   I'm going to share with you the first audio excerpt from the course,
[00:06:22.500 --> 00:06:22.500]   I'm going to share with you the first audio excerpt from the course,
[00:06:22.500 --> 00:06:22.500]   I'm going to share with you the first audio excerpt from the course,
[00:06:22.500 --> 00:06:22.500]   I'm going to share with you the first audio excerpt from the course,
[00:06:22.500 --> 00:06:22.500]   I'm going to share with you the first audio excerpt from the course,
[00:06:22.500 --> 00:06:22.500]   I'm going to share with you the first audio excerpt from the course,
[00:06:22.500 --> 00:06:22.500]   I'm going to share with you the first audio excerpt from the course,
[00:06:22.500 --> 00:06:22.500]   I'm going to share with you the first audio excerpt from the course,
[00:06:22.500 --> 00:06:22.500]   I'm going to share with you the first audio excerpt from the course,
[00:06:22.500 --> 00:06:22.500]   I'm going to share with you the first audio excerpt from the course,
[00:06:22.500 --> 00:06:22.500]   I'm going to share with you the first audio excerpt from the course,
[00:06:22.500 --> 00:06:22.500]   I'm going to share with you the first audio excerpt from the course,
[00:06:22.520 --> 00:06:52.520]   I'm going to share with you the first audio excerpt from the course,
[00:06:52.520 --> 00:06:52.520]   I'm going to share with you the first audio excerpt from the course,
[00:06:52.520 --> 00:06:52.520]   I'm going to share with you the first audio excerpt from the course,
[00:06:52.520 --> 00:06:52.520]   I'm going to share with you the first audio excerpt from the course,
[00:06:52.520 --> 00:06:52.520]   I'm going to share with you the first audio excerpt from the course,
[00:06:52.520 --> 00:06:52.520]   I'm going to share with you the first audio excerpt from the course,
[00:06:52.520 --> 00:06:52.520]   I'm going to share with you the first audio excerpt from the course,
[00:06:52.520 --> 00:06:52.520]   I'm going to share with you the first audio excerpt from the course,
[00:06:52.520 --> 00:06:52.520]   I'm going to share with you the first audio excerpt from the course,
[00:06:52.520 --> 00:06:52.520]   I'm going to share with you the first audio excerpt from the course,
[00:06:52.540 --> 00:07:22.540]   I'm going to share with you the first audio excerpt from the course,
[00:07:22.540 --> 00:07:22.540]   I'm going to share with you the first audio excerpt from the course,
[00:07:22.540 --> 00:07:22.540]   I'm going to share with you the first audio excerpt from the course,
[00:07:22.540 --> 00:07:22.540]   I'm going to share with you the first audio excerpt from the course,
[00:07:22.540 --> 00:07:22.540]   I'm going to share with you the first audio excerpt from the course,
[00:07:22.540 --> 00:07:22.540]   I'm going to share with you the first audio excerpt from the course,
[00:07:22.540 --> 00:07:22.540]   I'm going to share with you the first audio excerpt from the course,
[00:07:22.540 --> 00:07:22.540]   I'm going to share with you the first audio excerpt from the course,
[00:07:22.540 --> 00:07:22.540]   I'm going to share with you the first audio excerpt from the course,
[00:07:22.540 --> 00:07:22.540]   I'm going to share with you the first audio excerpt from the course,
[00:07:22.540 --> 00:07:22.540]   I'm going to share with you the first audio excerpt from the course,
[00:07:22.580 --> 00:07:52.560]   I'm going to share with you the first audio excerpt from the course,
[00:07:52.560 --> 00:07:52.560]   I'm going to share with you the first audio excerpt from the course,
[00:07:52.560 --> 00:07:52.560]   I'm going to share with you the first audio excerpt from the course,
[00:07:52.560 --> 00:07:52.560]   I'm going to share with you the first audio excerpt from the course,
[00:07:52.560 --> 00:07:52.560]   I'm going to share with you the first audio excerpt from the course,
[00:07:52.560 --> 00:07:52.560]   I'm going to share with you the first audio excerpt from the course,
[00:07:52.560 --> 00:07:52.560]   I'm going to share with you the first audio excerpt from the course,
[00:07:52.560 --> 00:07:52.560]   I'm going to share with you the first audio excerpt from the course,
[00:07:52.560 --> 00:07:52.560]   I'm going to share with you the first audio excerpt from the course,
[00:07:52.560 --> 00:07:52.560]   I'm going to share with you the first audio excerpt from the course,
[00:07:52.580 --> 00:08:22.580]   You don't know how to improve your credit score, you don't know how to apply for credit cards in a way that will actually serve you, and because of that you wind up being abused.
[00:08:22.580 --> 00:08:22.580]   You don't know how to improve your credit score, you don't know how to apply for credit cards in a way that will actually serve you, and because of that you wind up being abused.
[00:08:22.580 --> 00:08:22.580]   You don't know how to improve your credit score, you don't know how to apply for credit cards in a way that will actually serve you, and because of that you wind up being abused.
[00:08:22.580 --> 00:08:22.580]   You don't know how to improve your credit score, you don't know how to apply for credit cards in a way that will actually serve you, and because of that you wind up being abused.
[00:08:22.580 --> 00:08:22.580]   You don't know how to improve your credit score, you don't know how to apply for credit cards in a way that will actually serve you, and because of that you wind up being abused.
[00:08:22.620 --> 00:08:52.600]  ,
[00:08:52.600 --> 00:08:52.600]   You don't know how to improve your credit score, you don't know how to apply for credit cards in a way that will actually serve you, and because of that you wind up being abused.
[00:08:52.600 --> 00:08:52.600]   You don't know how to improve your credit score, you don't know how to apply for credit cards in a way that will actually serve you, and because of that you wind up being abused.
[00:08:52.600 --> 00:08:52.600]   You don't know how to improve your credit score, you don't know how to apply for credit cards in a way that will actually serve you, and because of that you wind up being abused.
[00:08:52.620 --> 00:09:22.620]   It's a multi-billion dollar industry that just wants to lend you money at cheap rates, but you need to know how to use it.
[00:09:22.620 --> 00:09:22.620]   Now this particular course, again, is called How to Borrow Money Safely and Never Pay Interest Using Credit Cards.
[00:09:22.620 --> 00:09:22.620]   This course currently has about 45 lessons in it.
[00:09:22.620 --> 00:09:22.620]   These lessons are anywhere from 6 to 12 to 15 minutes long.
[00:09:22.660 --> 00:09:52.640]   I'm going to go back and measure every minute, but I think it's about four hours total of audio instruction.
[00:09:52.640 --> 00:09:52.640]   This course is very carefully edited.
[00:09:52.640 --> 00:09:52.640]   There's no time wasting, there's no rambling, there's no repetition.
[00:09:52.640 --> 00:09:52.640]   It's very carefully edited with what I thought is the most important things for you to know and to implement in your life.
[00:09:52.640 --> 00:09:52.640]   The course is a series of video and audio lectures.
[00:09:52.640 --> 00:09:52.640]   The video and audio are together, and there are detailed written outlines that you can have to refer back to as well to make a very efficient use of your time.
[00:09:52.640 --> 00:09:52.640]   This course is a series of video and audio lectures.
[00:09:52.640 --> 00:09:52.640]   The video and audio are together and there are detailed written outlines that you can have to refer back to as well to make a very efficient use of your time.
[00:09:52.640 --> 00:09:52.640]   This course is a series of video and audio lectures.
[00:09:52.640 --> 00:09:52.640]   I'm going to go back and read a little bit of the course.
[00:09:52.640 --> 00:09:52.640]   I'm going to read a little bit of the course.
[00:09:52.660 --> 00:10:22.660]   I'm going to go back and read a little bit of the course.
[00:10:22.660 --> 00:10:22.660]   I'm going to go back and read a little bit of the course.
[00:10:22.660 --> 00:10:22.660]   I'm going to go back and read a little bit of the course.
[00:10:22.660 --> 00:10:22.660]   I'm going to go back and read a little bit of the course.
[00:10:22.660 --> 00:10:22.660]   I'm going to go back and read a little bit of the course.
[00:10:22.660 --> 00:10:22.660]   I'm going to go back and read a little bit of the course.
[00:10:22.660 --> 00:10:22.660]   I'm going to go back and read a little bit of the course.
[00:10:22.660 --> 00:10:22.660]   I'm going to go back and read a little bit of the course.
[00:10:22.660 --> 00:10:22.660]   I'm going to go back and read a little bit of the course.
[00:10:22.660 --> 00:10:22.660]   I'm going to go back and read a little bit of the course.
[00:10:22.660 --> 00:10:22.660]   I'm going to go back and read a little bit of the course.
[00:10:22.660 --> 00:10:22.660]   I'm going to go back and read a little bit of the course.
[00:10:22.680 --> 00:10:52.680]   I'm going to go back and read a little bit of the course.
[00:10:52.680 --> 00:10:52.680]   I'm going to go back and read a little bit of the course.
[00:10:52.680 --> 00:10:52.680]   I'm going to go back and read a little bit of the course.
[00:10:52.680 --> 00:10:52.680]   I'm going to go back and read a little bit of the course.
[00:10:52.680 --> 00:10:52.680]   I'm going to go back and read a little bit of the course.
[00:10:52.680 --> 00:10:52.680]   I'm going to go back and read a little bit of the course.
[00:10:52.680 --> 00:10:52.680]   I'm going to go back and read a little bit of the course.
[00:10:52.680 --> 00:10:52.680]   I'm going to go back and read a little bit of the course.
[00:10:52.680 --> 00:10:52.680]   I'm going to go back and read a little bit of the course.
[00:10:52.680 --> 00:10:52.680]   I'm going to go back and read a little bit of the course.
[00:10:52.680 --> 00:10:52.680]   I'm going to go back and read a little bit of the course.
[00:10:52.680 --> 00:10:52.680]   I'm going to go back and read a little bit of the course.
[00:10:52.680 --> 00:11:22.700]   I'm going to go back and read a little bit of the course.
[00:11:22.700 --> 00:11:22.700]   I'm going to go back and read a little bit of the course.
[00:11:22.700 --> 00:11:22.700]   I'm going to go back and read a little bit of the course.
[00:11:22.700 --> 00:11:22.700]   I'm going to go back and read a little bit of the course.
[00:11:22.700 --> 00:11:22.700]   I'm going to go back and read a little bit of the course.
[00:11:22.700 --> 00:11:22.700]   I'm going to go back and read a little bit of the course.
[00:11:22.700 --> 00:11:22.700]   I'm going to go back and read a little bit of the course.
[00:11:22.700 --> 00:11:22.700]   I'm going to go back and read a little bit of the course.
[00:11:22.700 --> 00:11:22.700]   I'm going to go back and read a little bit of the course.
[00:11:22.720 --> 00:11:52.720]   I'm going to go back and read a little bit of the course.
[00:11:52.720 --> 00:11:52.720]   I'm going to go back and read a little bit of the course.
[00:11:52.720 --> 00:11:52.720]   I'm going to go back and read a little bit of the course.
[00:11:52.720 --> 00:11:52.720]   I'm going to go back and read a little bit of the course.
[00:11:52.720 --> 00:11:52.720]   I'm going to go back and read a little bit of the course.
[00:11:52.720 --> 00:11:52.720]   I'm going to go back and read a little bit of the course.
[00:11:52.720 --> 00:11:52.720]   I'm going to go back and read a little bit of the course.
[00:11:52.720 --> 00:11:52.720]   I'm going to go back and read a little bit of the course.
[00:11:52.720 --> 00:11:52.720]   I'm going to go back and read a little bit of the course.
[00:11:52.720 --> 00:11:52.720]   I'm going to go back and read a little bit of the course.
[00:11:52.720 --> 00:11:52.720]   I'm going to go back and read a little bit of the course.
[00:11:52.720 --> 00:11:52.720]   I'm going to go back and read a little bit of the course.
[00:11:52.720 --> 00:12:22.740]   I'm going to go back and read a little bit of the course.
[00:12:22.740 --> 00:12:22.740]   I'm going to go back and read a little bit of the course.
[00:12:22.740 --> 00:12:22.740]   I'm going to go back and read a little bit of the course.
[00:12:22.740 --> 00:12:22.740]   I'm going to go back and read a little bit of the course.
[00:12:22.740 --> 00:12:22.740]   I'm going to go back and read a little bit of the course.
[00:12:22.740 --> 00:12:22.740]   I'm going to go back and read a little bit of the course.
[00:12:22.740 --> 00:12:22.740]   I'm going to go back and read a little bit of the course.
[00:12:22.740 --> 00:12:22.740]   I'm going to go back and read a little bit of the course.
[00:12:22.740 --> 00:12:22.740]   I'm going to go back and read a little bit of the course.
[00:12:22.740 --> 00:12:22.740]   I'm going to go back and read a little bit of the course.
[00:12:22.760 --> 00:12:52.760]   I'm going to go back and read a little bit of the course.
[00:12:52.760 --> 00:12:52.760]   I'm going to go back and read a little bit of the course.
[00:12:52.760 --> 00:12:52.760]   I'm going to go back and read a little bit of the course.
[00:12:52.760 --> 00:12:52.760]   I'm going to go back and read a little bit of the course.
[00:12:52.760 --> 00:12:52.760]   I'm going to go back and read a little bit of the course.
[00:12:52.760 --> 00:12:52.760]   I'm going to go back and read a little bit of the course.
[00:12:52.760 --> 00:12:52.760]   I'm going to go back and read a little bit of the course.
[00:12:52.760 --> 00:12:52.760]   I'm going to go back and read a little bit of the course.
[00:12:52.760 --> 00:12:52.760]   I'm going to go back and read a little bit of the course.
[00:12:52.760 --> 00:12:52.760]   I'm going to go back and read a little bit of the course.
[00:12:52.760 --> 00:12:52.760]   I'm going to go back and read a little bit of the course.
[00:12:52.760 --> 00:12:52.760]   I'm going to go back and read a little bit of the course.
[00:12:52.760 --> 00:13:22.780]   I'm going to go back and read a little bit of the course.
[00:13:22.780 --> 00:13:22.780]   I'm going to go back and read a little bit of the course.
[00:13:22.780 --> 00:13:22.780]   I'm going to go back and read a little bit of the course.
[00:13:22.780 --> 00:13:22.780]   I'm going to go back and read a little bit of the course.
[00:13:22.780 --> 00:13:22.780]   I'm going to go back and read a little bit of the course.
[00:13:22.800 --> 00:13:52.800]   I'm going to go back and read a little bit of the course.
[00:13:52.800 --> 00:13:52.800]   I'm going to go back and read a little bit of the course.
[00:13:52.800 --> 00:13:52.800]   I'm going to go back and read a little bit of the course.
[00:13:52.800 --> 00:13:52.800]   I'm going to go back and read a little bit of the course.
[00:13:52.800 --> 00:13:52.800]   I'm going to go back and read a little bit of the course.
[00:13:52.800 --> 00:13:52.800]   I'm going to go back and read a little bit of the course.
[00:13:52.800 --> 00:13:52.800]   I'm going to go back and read a little bit of the course.
[00:13:52.800 --> 00:13:52.800]   I'm going to go back and read a little bit of the course.
[00:13:52.800 --> 00:13:52.800]   I'm going to go back and read a little bit of the course.
[00:13:52.800 --> 00:13:52.800]   I'm going to go back and read a little bit of the course.
[00:13:52.800 --> 00:13:52.800]   I'm going to go back and read a little bit of the course.
[00:13:52.800 --> 00:13:52.800]   I'm going to go back and read a little bit of the course.
[00:13:52.820 --> 00:14:22.820]  , I'm going to go back and read a little bit of the course.
[00:14:22.820 --> 00:14:22.820]   I'm going to go back and read a little bit of the course.
[00:14:22.820 --> 00:14:22.820]   I'm going to go back and read a little bit of the course.
[00:14:22.820 --> 00:14:22.820]   I'm going to go back and read a little bit of the course.
[00:14:22.820 --> 00:14:22.820]   I'm going to go back and read a little bit of the course.
[00:14:22.820 --> 00:14:22.820]   I'm going to go back and read a little bit of the course.
[00:14:22.820 --> 00:14:22.820]   I'm going to go back and read a little bit of the course.
[00:14:22.820 --> 00:14:22.820]   I'm going to go back and read a little bit of the course.
[00:14:22.820 --> 00:14:22.820]   I'm going to go back and read a little bit of the course.
[00:14:22.820 --> 00:14:52.840]   I'm going to go back and read a little bit of the course.
[00:14:52.840 --> 00:14:52.840]   I'm going to go back and read a little bit of the course.
[00:14:52.840 --> 00:14:52.840]   I'm going to go back and read a little bit of the course.
[00:14:52.840 --> 00:14:52.840]   I'm going to go back and read a little bit of the course.
[00:14:52.840 --> 00:14:52.840]   I'm going to go back and read a little bit of the course.
[00:14:52.840 --> 00:14:52.840]   I'm going to go back and read a little bit of the course.
[00:14:52.840 --> 00:14:52.840]   I'm going to go back and read a little bit of the course.
[00:14:52.840 --> 00:14:52.840]   I'm going to go back and read a little bit of the course.
[00:14:52.840 --> 00:14:52.840]   I'm going to go back and read a little bit of the course.
[00:14:52.840 --> 00:14:52.840]   I'm going to go back and read a little bit of the course. I'm going to go back and read a little bit of the course.
[00:14:52.860 --> 00:15:22.860]   I'm going to go back and read a little bit of the course.
[00:15:22.860 --> 00:15:22.860]   I'm going to go back and read a little bit of the course.
[00:15:22.860 --> 00:15:22.860]   I'm going to go back and read a little bit of the course.
[00:15:22.860 --> 00:15:22.860]   I'm going to go back and read a little bit of the course.
[00:15:22.860 --> 00:15:22.860]   I'm going to go back and read a little bit of the course.
[00:15:22.860 --> 00:15:22.860]   I'm going to go back and read a little bit of the course.
[00:15:22.860 --> 00:15:22.860]   I'm going to go back and read a little bit of the course.
[00:15:22.860 --> 00:15:22.860]   I'm going to go back and read a little bit of the course.
[00:15:22.860 --> 00:15:22.860]   I'm going to go back and read a little bit of the course.
[00:15:22.860 --> 00:15:22.860]   I'm going to go back and read a little bit of the course.
[00:15:22.860 --> 00:15:22.860]   I'm going to go back and read a little bit of the course.
[00:15:22.860 --> 00:15:22.860]   I'm going to go back and read a little bit of the course.
[00:15:22.880 --> 00:15:52.880]   I'm going to go back and read a little bit of the course.
[00:15:52.880 --> 00:15:52.880]   I'm going to go back and read a little bit of the course.
[00:15:52.880 --> 00:15:52.880]   I'm going to go back and read a little bit of the course.
[00:15:52.880 --> 00:15:52.880]   I'm going to go back and read a little bit of the course.
[00:15:52.880 --> 00:15:52.880]   I'm going to go back and read a little bit of the course.
[00:15:52.880 --> 00:15:52.880]   I'm going to go back and read a little bit of the course.
[00:15:52.880 --> 00:15:52.880]   I'm going to go back and read a little bit of the course.
[00:15:52.880 --> 00:15:52.880]   I'm going to go back and read a little bit of the course.
[00:15:52.880 --> 00:15:52.880]   I'm going to go back and read a little bit of the course.
[00:15:52.880 --> 00:15:52.880]   I'm going to go back and read a little bit of the course.
[00:15:52.880 --> 00:15:52.880]   I'm going to go back and read a little bit of the course.
[00:15:52.880 --> 00:15:52.880]   I'm going to go back and read a little bit of the course.
[00:15:52.920 --> 00:16:22.900]  ,
[00:16:22.900 --> 00:16:22.900]   I'm going to go back and read a little bit of the course.
[00:16:22.900 --> 00:16:22.900]   I'm going to go back and read a little bit of the course.
[00:16:22.900 --> 00:16:22.900]   I'm going to go back and read a little bit of the course.
[00:16:22.900 --> 00:16:22.900]   I'm going to go back and read a little bit of the course.
[00:16:22.900 --> 00:16:22.900]   I'm going to go back and read a little bit of the course.
[00:16:22.900 --> 00:16:22.900]   I'm going to go back and read a little bit of the course.
[00:16:22.900 --> 00:16:22.900]   I'm going to go back and read a little bit of the course.
[00:16:22.900 --> 00:16:22.900]   I'm going to go back and read a little bit of the course.
[00:16:22.900 --> 00:16:22.900]   I'm going to go back and read a little bit of the course.
[00:16:22.900 --> 00:16:22.900]   I'm going to go back and read a little bit of the course.
[00:16:22.900 --> 00:16:22.900]   I'm going to go back and read a little bit of the course.
[00:16:22.920 --> 00:16:52.920]   The course is a little bit more complex than the course itself.
[00:16:52.920 --> 00:16:52.920]   The course is a little bit more complex than the course itself.
[00:16:52.920 --> 00:16:52.920]   The course is a little bit more complex than the course itself.
[00:16:52.920 --> 00:16:52.920]   The course is a little bit more complex than the course itself.
[00:16:52.920 --> 00:16:52.920]   The course is a little bit more complex than the course itself.
[00:16:52.920 --> 00:16:52.920]   The course is a little bit more complex than the course itself.
[00:16:52.920 --> 00:16:52.920]   The course is a little bit more complex than the course itself.
[00:16:52.920 --> 00:16:52.920]   The course is a little bit more complex than the course itself.
[00:16:52.920 --> 00:16:52.920]   The course is a little bit more complex than the course itself.
[00:16:52.920 --> 00:16:52.920]   The course is a little bit more complex than the course itself.
[00:16:52.920 --> 00:16:52.920]   The course is a little bit more complex than the course itself.
[00:16:52.920 --> 00:16:52.920]   The course is a little bit more complex than the course itself.
[00:16:52.920 --> 00:16:52.920]   The course is a little bit more complex than the course itself.
[00:16:52.920 --> 00:16:52.920]   The course is a little bit more complex than the course itself.
[00:16:52.920 --> 00:17:22.940]   The course is a little bit more complex than the course itself.
[00:17:22.940 --> 00:17:22.940]   The course is a little bit more complex than the course itself.
[00:17:22.940 --> 00:17:22.940]   The course is a little bit more complex than the course itself.
[00:17:22.940 --> 00:17:22.940]   The course is a little bit more complex than the course itself.
[00:17:22.940 --> 00:17:22.940]   The course is a little bit more complex than the course itself.
[00:17:22.940 --> 00:17:22.940]   The course is a little bit more complex than the course itself.
[00:17:22.940 --> 00:17:22.940]   The course is a little bit more complex than the course itself.
[00:17:22.940 --> 00:17:22.940]   The course is a little bit more complex than the course itself.
[00:17:22.940 --> 00:17:22.940]   The course is a little bit more complex than the course itself.
[00:17:22.960 --> 00:17:52.960]   The course is a little bit more complex than the course itself.
[00:17:52.960 --> 00:17:52.960]   The course is a little bit more complex than the course itself.
[00:17:52.960 --> 00:17:52.960]   The course is a little bit more complex than the course itself.
[00:17:52.960 --> 00:17:52.960]   The course is a little bit more complex than the course itself.
[00:17:52.960 --> 00:17:52.960]   The course is a little bit more complex than the course itself.
[00:17:52.960 --> 00:17:52.960]   The course is a little bit more complex than the course itself.
[00:17:52.960 --> 00:17:52.960]   The course is a little bit more complex than the course itself.
[00:17:52.960 --> 00:17:52.960]   The course is a little bit more complex than the course itself.
[00:17:52.960 --> 00:17:52.960]   The course is a little bit more complex than the course itself.
[00:17:52.960 --> 00:17:52.960]   The course is a little bit more complex than the course itself.
[00:17:52.960 --> 00:17:52.960]   The course is a little bit more complex than the course itself.
[00:17:52.960 --> 00:17:52.960]   The course is a little bit more complex than the course itself.
[00:17:52.960 --> 00:17:52.960]   The course is a little bit more complex than the course itself.
[00:17:52.960 --> 00:17:52.960]   The course is a little bit more complex than the course itself.
[00:17:52.960 --> 00:18:22.980]   The course is a little bit more complex than the course itself.
[00:18:22.980 --> 00:18:22.980]   The course is a little bit more complex than the course itself.
[00:18:22.980 --> 00:18:22.980]   The course is a little bit more complex than the course itself.
[00:18:22.980 --> 00:18:22.980]   The course is a little bit more complex than the course itself.
[00:18:22.980 --> 00:18:22.980]   The course is a little bit more complex than the course itself.
[00:18:22.980 --> 00:18:22.980]   The course is a little bit more complex than the course itself.
[00:18:22.980 --> 00:18:22.980]   The course is a little bit more complex than the course itself.
[00:18:22.980 --> 00:18:22.980]   The course is a little bit more complex than the course itself.
[00:18:22.980 --> 00:18:22.980]   The course is a little bit more complex than the course itself.
[00:18:22.980 --> 00:18:22.980]   The course is a little bit more complex than the course itself.
[00:18:23.000 --> 00:18:53.000]   The course is a little bit more complex than the course itself.
[00:18:53.000 --> 00:18:53.000]   The course is a little bit more complex than the course itself.
[00:18:53.000 --> 00:18:53.000]   The course is a little bit more complex than the course itself.
[00:18:53.000 --> 00:18:53.000]   The course is a little bit more complex than the course itself.
[00:18:53.000 --> 00:18:53.000]   The course is a little bit more complex than the course itself.
[00:18:53.000 --> 00:18:53.000]   The course is a little bit more complex than the course itself.
[00:18:53.000 --> 00:18:53.000]   The course is a little bit more complex than the course itself.
[00:18:53.000 --> 00:18:53.000]   The course is a little bit more complex than the course itself.
[00:18:53.000 --> 00:18:53.000]   The course is a little bit more complex than the course itself.
[00:18:53.000 --> 00:18:53.000]   The course is a little bit more complex than the course itself.
[00:18:53.000 --> 00:18:53.000]   The course is a little bit more complex than the course itself.
[00:18:53.000 --> 00:18:53.000]   The course is a little bit more complex than the course itself.
[00:18:53.000 --> 00:18:53.000]   The course is a little bit more complex than the course itself.
[00:18:53.000 --> 00:18:53.000]   The course is a little bit more complex than the course itself.
[00:18:53.000 --> 00:19:23.020]   The course is a little bit more complex than the course itself.
[00:19:23.020 --> 00:19:23.020]   The course is a little bit more complex than the course itself.
[00:19:23.020 --> 00:19:23.020]   The course is a little bit more complex than the course itself.
[00:19:23.020 --> 00:19:23.020]   The course is a little bit more complex than the course itself.
