
[00:00:00.000 --> 00:00:03.000]   (audience applauds)
[00:05:48.360 --> 00:05:50.000]   The fuel, if you will,
[00:05:50.000 --> 00:05:54.560]   is what your portfolio and your resources are able to do.
[00:05:54.560 --> 00:05:57.920]   You might think of it as your allocation, for instance.
[00:05:57.920 --> 00:05:59.640]   And then the speed that you go
[00:05:59.640 --> 00:06:02.520]   is the rate of withdrawal that comes out.
[00:06:02.520 --> 00:06:07.120]   And so the idea is that when you're on this road trip,
[00:06:07.120 --> 00:06:09.440]   hopefully it's nice, wonderful, sunny days
[00:06:09.440 --> 00:06:11.600]   like we have today.
[00:06:11.720 --> 00:06:15.240]   But we all know that sometimes we're gonna get weather.
[00:06:15.240 --> 00:06:17.800]   It might rain, the road could get icy,
[00:06:17.800 --> 00:06:19.880]   you might have a hard time with visibility.
[00:06:19.880 --> 00:06:22.720]   You could actually be in danger at some point
[00:06:22.720 --> 00:06:24.120]   and not even know it.
[00:06:24.120 --> 00:06:26.640]   So when you're in that situation
[00:06:26.640 --> 00:06:29.040]   where you need to tap the brakes,
[00:06:29.040 --> 00:06:31.480]   where you want to be aware of your surroundings,
[00:06:31.480 --> 00:06:35.240]   sometimes you actually do need there to be a guardrail
[00:06:35.240 --> 00:06:38.360]   that will put a little ding in your car,
[00:06:38.360 --> 00:06:41.880]   but get you back into a more safe place along the road.
[00:06:41.880 --> 00:06:45.160]   And that's really how the term came about,
[00:06:45.160 --> 00:06:48.000]   is it puts in place things that kind of help you
[00:06:48.000 --> 00:06:50.520]   make those real-time adjustments along the way,
[00:06:50.520 --> 00:06:52.120]   if they're necessary,
[00:06:52.120 --> 00:06:54.880]   based on a withdrawal plan that you're following.
[00:06:54.880 --> 00:06:56.720]   - You made the point to me
[00:06:56.720 --> 00:07:01.000]   that the idea of taking withdrawals down
[00:07:01.000 --> 00:07:03.600]   if my portfolio is not performing well
[00:07:03.600 --> 00:07:05.560]   and maybe giving myself a raise
[00:07:05.560 --> 00:07:07.360]   in a bigger market environment
[00:07:07.360 --> 00:07:10.520]   is one of the rare sort of things
[00:07:10.520 --> 00:07:12.760]   that feels good behaviorally
[00:07:12.760 --> 00:07:14.800]   and also is the right thing to do
[00:07:14.800 --> 00:07:17.600]   from the portfolio perspective
[00:07:17.600 --> 00:07:20.560]   and its sustainability over my retirement time horizon.
[00:07:20.560 --> 00:07:21.400]   Talk about that.
[00:07:21.400 --> 00:07:22.520]   I think that's so interesting
[00:07:22.520 --> 00:07:25.920]   because it's not the same as a lot of other
[00:07:25.920 --> 00:07:28.520]   behavioral sort of mistakes
[00:07:28.520 --> 00:07:30.440]   that we might make with our portfolios.
[00:07:30.440 --> 00:07:33.480]   - Isn't that the truth where there's an impetus
[00:07:33.480 --> 00:07:36.800]   in lots of places to save later,
[00:07:36.800 --> 00:07:40.680]   spend now, sell low, buy high,
[00:07:40.680 --> 00:07:42.680]   and all of that.
[00:07:42.680 --> 00:07:46.400]   And here's a situation where
[00:07:46.400 --> 00:07:48.800]   if market conditions are not good,
[00:07:48.800 --> 00:07:50.880]   if your portfolio value is going well,
[00:07:50.880 --> 00:07:55.240]   that those human instincts, fear, really, if you will,
[00:07:55.240 --> 00:07:58.440]   cause you to wonder, maybe we should pull back.
[00:07:58.440 --> 00:08:00.760]   Maybe we should slow down spending a little bit
[00:08:00.760 --> 00:08:01.800]   in a certain area.
[00:08:01.800 --> 00:08:04.820]   And hopefully, with whatever withdrawal strategy
[00:08:04.820 --> 00:08:06.040]   someone is following,
[00:08:06.040 --> 00:08:09.040]   they are able to make good decisions,
[00:08:09.040 --> 00:08:11.260]   do what they need to do when they should,
[00:08:11.260 --> 00:08:14.120]   but not do more than they need to do in that way
[00:08:14.120 --> 00:08:16.840]   before it's necessary.
[00:08:16.840 --> 00:08:21.840]   - So let's talk about why using a dynamic strategy
[00:08:21.840 --> 00:08:27.360]   can help elevate starting portfolio withdrawals
[00:08:27.360 --> 00:08:30.920]   and then really elevate lifetime portfolio withdrawals,
[00:08:30.920 --> 00:08:33.220]   which is something that we've seen in our research
[00:08:33.220 --> 00:08:34.840]   on the topic at Morningstar.
[00:08:34.840 --> 00:08:37.060]   Maybe you could just talk about sort of the mechanics,
[00:08:37.060 --> 00:08:40.160]   why that does give you a bigger payout
[00:08:40.160 --> 00:08:41.760]   if you're okay with this trade-off
[00:08:41.760 --> 00:08:43.680]   of adjusting up and down.
[00:08:43.680 --> 00:08:44.520]   - Well, sure.
[00:08:44.520 --> 00:08:46.880]   I mean, if you, like with Bill in the room,
[00:08:46.880 --> 00:08:49.480]   I mean, the original paper there looked at different years
[00:08:49.480 --> 00:08:50.800]   you could retire.
[00:08:50.800 --> 00:08:54.720]   And what became known as the 4% rule
[00:08:54.720 --> 00:08:57.520]   was because, well, that was the lowest
[00:08:57.520 --> 00:09:00.680]   that it ever was that always succeeded.
[00:09:00.680 --> 00:09:04.960]   And so I think we all know that in a course of retirement,
[00:09:04.960 --> 00:09:08.280]   if you have normal market conditions,
[00:09:08.280 --> 00:09:10.520]   you can take out more money.
[00:09:10.520 --> 00:09:13.600]   The reason why a given withdrawal strategy
[00:09:13.600 --> 00:09:16.240]   has a withdrawal rate as low as it is
[00:09:16.240 --> 00:09:18.000]   is because it's kind of taking care
[00:09:18.000 --> 00:09:19.760]   of the worst case scenario,
[00:09:19.760 --> 00:09:22.320]   and you might not get the worst case scenario.
[00:09:22.320 --> 00:09:24.680]   And so along the way,
[00:09:24.680 --> 00:09:29.880]   if you get in, what dynamic policies really do
[00:09:29.880 --> 00:09:31.720]   is say, let's start as though things
[00:09:31.720 --> 00:09:33.520]   are gonna be kind of like normal.
[00:09:33.520 --> 00:09:35.560]   And if it turns out to be worse than that,
[00:09:35.560 --> 00:09:38.340]   you've signed up for the ability to be flexible,
[00:09:38.340 --> 00:09:41.320]   where you kind of scale things down along the way.
[00:09:41.320 --> 00:09:43.440]   That's just one way to look at things.
[00:09:43.440 --> 00:09:46.880]   Obviously, if people don't want those adjustments,
[00:09:46.880 --> 00:09:49.120]   it's a little bit, to go back to the car analogy,
[00:09:49.120 --> 00:09:52.360]   like saying, well, I'm gonna take my road trip and drive,
[00:09:52.360 --> 00:09:56.200]   but I'm gonna get rid of all the mirrors and the brakes
[00:09:56.200 --> 00:09:58.720]   because I'm not allowed to change anything.
[00:09:58.720 --> 00:10:00.760]   Every year I get a raise for inflation,
[00:10:00.760 --> 00:10:02.000]   come hell or high water,
[00:10:02.000 --> 00:10:04.900]   and it doesn't matter if it's raining or icy or whatever,
[00:10:04.900 --> 00:10:07.000]   I'm just gonna keep going along that way.
[00:10:07.000 --> 00:10:09.680]   So I don't know, if I'm gonna travel that way,
[00:10:09.680 --> 00:10:11.580]   I think I'm gonna go a little slower.
[00:10:11.580 --> 00:10:13.740]   - That's helpful.
[00:10:13.740 --> 00:10:18.440]   There's a great post on bogleheads.org
[00:10:18.440 --> 00:10:21.560]   that I think the title is,
[00:10:21.560 --> 00:10:24.660]   Explain Guyton-Klinger to Me Like I'm Five.
[00:10:24.660 --> 00:10:27.680]   And it's such a great discussion
[00:10:27.680 --> 00:10:30.800]   because you've said it's not complicated,
[00:10:30.800 --> 00:10:34.600]   but I think that there are some rules there in place
[00:10:34.600 --> 00:10:37.880]   if someone is implementing the guardrails approach.
[00:10:37.880 --> 00:10:40.560]   So maybe you can walk through a basic example
[00:10:40.560 --> 00:10:44.360]   of how this would work using an illustration
[00:10:44.360 --> 00:10:47.080]   of maybe what the starting withdrawal would be
[00:10:47.080 --> 00:10:49.720]   with the bands upward and downward.
[00:10:49.720 --> 00:10:50.560]   - Sure.
[00:10:50.560 --> 00:10:53.880]   One of the things that we kind of assume
[00:10:53.880 --> 00:10:56.240]   is that people want to pay attention
[00:10:56.240 --> 00:10:58.180]   to how things are going.
[00:10:58.180 --> 00:10:59.760]   You know, you look at your statement,
[00:10:59.760 --> 00:11:01.720]   you look at your rate of return,
[00:11:01.720 --> 00:11:04.360]   you look at how much you're taking out,
[00:11:04.360 --> 00:11:08.240]   you can calculate what your withdrawal percentage is.
[00:11:08.240 --> 00:11:11.680]   And so, I mean, even without guardrails,
[00:11:11.680 --> 00:11:13.840]   you still have to know all those things
[00:11:13.840 --> 00:11:16.240]   so you can apply an inflation factor.
[00:11:16.240 --> 00:11:18.960]   And so under the guardrails approach,
[00:11:18.960 --> 00:11:23.720]   what we say is, well, that's exactly what you do, unless.
[00:11:23.720 --> 00:11:28.240]   And that's where the ranges come in, it's the unless.
[00:11:28.240 --> 00:11:31.920]   And so the first thing is that if you have a year
[00:11:31.920 --> 00:11:33.840]   with a negative portfolio return,
[00:11:33.840 --> 00:11:37.000]   then the next year you just don't give yourself a raise.
[00:11:37.000 --> 00:11:40.080]   And then you say, but if it turns out
[00:11:40.080 --> 00:11:42.320]   that the raise I would have given myself
[00:11:42.320 --> 00:11:47.320]   pushes my withdrawal percentage up by more than 20%,
[00:11:47.320 --> 00:11:50.520]   then you have to take your medicine.
[00:11:50.520 --> 00:11:52.240]   And then because you started
[00:11:52.240 --> 00:11:54.000]   with that higher withdrawal percentage,
[00:11:54.000 --> 00:11:56.840]   I think in the recent Morningstar study,
[00:11:56.840 --> 00:12:00.520]   it was the difference between like about 5.3 and 3.8.
[00:12:00.520 --> 00:12:02.080]   That's a big difference.
[00:12:02.080 --> 00:12:03.680]   So you got to back off that a little bit
[00:12:03.680 --> 00:12:05.480]   and lower what you're taking out,
[00:12:05.480 --> 00:12:07.080]   what you would have gotten with your raise
[00:12:07.080 --> 00:12:08.880]   for inflation by 20%.
[00:12:08.880 --> 00:12:10.840]   And then the opposite also holds,
[00:12:10.840 --> 00:12:12.760]   as you pointed out, Christine,
[00:12:12.760 --> 00:12:17.760]   that if markets are good and your portfolio value is growing
[00:12:17.760 --> 00:12:19.920]   even as you're taking money out of it
[00:12:19.920 --> 00:12:23.120]   so that your withdrawal percentage is going down,
[00:12:23.120 --> 00:12:26.120]   if that percentage drops 20%,
[00:12:26.120 --> 00:12:29.640]   then you're entitled to move the whole thing up by 10%
[00:12:29.640 --> 00:12:31.400]   above what inflation would have been
[00:12:31.400 --> 00:12:33.080]   and just keep going on from there.
[00:12:33.080 --> 00:12:34.960]   So it works both ways.
[00:12:34.960 --> 00:12:35.800]   - Okay.
[00:12:35.800 --> 00:12:38.800]   Wanted to talk to you about something
[00:12:38.800 --> 00:12:42.920]   I've been kind of shorthanding is permission to spend,
[00:12:42.920 --> 00:12:46.000]   that it's been my experience that some older adults
[00:12:46.000 --> 00:12:49.760]   who have been good savers, who identify as savers
[00:12:49.760 --> 00:12:52.800]   and investors, it's really difficult for them
[00:12:52.800 --> 00:12:56.240]   to flip that switch to actually start spending
[00:12:56.240 --> 00:12:57.600]   from their portfolios.
[00:12:57.600 --> 00:12:59.920]   And I think I'm going to be one of these people
[00:12:59.920 --> 00:13:01.240]   who has trouble with that.
[00:13:01.240 --> 00:13:05.560]   So maybe you can talk about working with clients.
[00:13:05.560 --> 00:13:07.760]   I assume that it probably gives them peace
[00:13:07.760 --> 00:13:10.320]   that you're a professional, you're saying this will be okay,
[00:13:10.320 --> 00:13:11.900]   but do you have any kind of techniques
[00:13:11.900 --> 00:13:15.400]   to help people over that hump of getting comfortable
[00:13:15.400 --> 00:13:17.080]   with spending from their portfolio
[00:13:17.080 --> 00:13:20.360]   and not just anchoring on their high watermark
[00:13:20.360 --> 00:13:22.800]   and never wanting to see it go lower?
[00:13:22.800 --> 00:13:23.680]   - Well, we're humans.
[00:13:23.680 --> 00:13:26.600]   So of course we anchor and we do things like that.
[00:13:26.600 --> 00:13:29.800]   You know, I was, you had shared
[00:13:29.800 --> 00:13:31.000]   you were going to ask this question.
[00:13:31.000 --> 00:13:32.280]   I was thinking about it.
[00:13:32.280 --> 00:13:33.320]   And one of the things we've learned
[00:13:33.320 --> 00:13:35.840]   from working with retirees, and I have to say,
[00:13:35.840 --> 00:13:37.640]   I think we're a lot better.
[00:13:37.640 --> 00:13:40.520]   And frankly, anyone who does what I do,
[00:13:40.520 --> 00:13:43.400]   hopefully is also a lot better at what they do
[00:13:43.400 --> 00:13:47.320]   because of what their retired clients have taught them,
[00:13:47.320 --> 00:13:49.520]   what they've learned by watching them
[00:13:49.520 --> 00:13:52.040]   go through this process and through this transition.
[00:13:52.040 --> 00:13:53.360]   So we have a saying that's like,
[00:13:53.360 --> 00:13:56.520]   well, you know, when you retire, you've never done it before.
[00:13:56.520 --> 00:13:58.120]   You've read about it, you've thought about it,
[00:13:58.120 --> 00:14:00.920]   you've planned for it, you've never done it.
[00:14:00.920 --> 00:14:03.240]   There is always a leap involved
[00:14:03.240 --> 00:14:05.440]   and maybe just acknowledging that.
[00:14:05.440 --> 00:14:08.100]   You know, you're excited about this, you're ready for it,
[00:14:08.100 --> 00:14:11.340]   you want to do it, you have these, you know,
[00:14:11.340 --> 00:14:13.840]   let's call them irrational trepidations,
[00:14:13.840 --> 00:14:15.920]   but people are not spreadsheets.
[00:14:15.920 --> 00:14:18.240]   And even though the spreadsheet says you're going to be fine
[00:14:18.240 --> 00:14:20.080]   or whatever other measure you're using,
[00:14:20.080 --> 00:14:24.720]   just acknowledging and saying there is going to be a leap.
[00:14:24.720 --> 00:14:27.720]   And whether there's a professional helping you
[00:14:27.720 --> 00:14:31.600]   or you're just, you know, interacting with people,
[00:14:31.600 --> 00:14:33.680]   you know, through your, you know,
[00:14:33.680 --> 00:14:35.960]   the communities that you're in online,
[00:14:35.960 --> 00:14:37.520]   chatting, things like that,
[00:14:37.520 --> 00:14:39.080]   just to know that that's there
[00:14:39.080 --> 00:14:40.980]   may be the most helpful thing there.
[00:14:40.980 --> 00:14:44.140]   And sometimes for people, they're not ready to retire
[00:14:44.140 --> 00:14:46.360]   and that resistance is maybe something
[00:14:46.360 --> 00:14:49.800]   they want to pay more attention to until they are.
[00:14:49.800 --> 00:14:52.400]   - I wanted to ask about this idea.
[00:14:52.400 --> 00:14:55.200]   We had a conversation and you said,
[00:14:55.200 --> 00:14:56.760]   so something like travel,
[00:14:56.760 --> 00:14:59.460]   you don't want a 4% your travel budget.
[00:14:59.460 --> 00:15:01.280]   You want a travel pot.
[00:15:01.280 --> 00:15:03.880]   And I know that's something that you give your clients
[00:15:03.880 --> 00:15:06.160]   kind of a discretionary pot.
[00:15:06.160 --> 00:15:07.840]   Can you talk about how that works
[00:15:07.840 --> 00:15:11.320]   and how that sounds like it would kind of sit side by side
[00:15:11.320 --> 00:15:13.080]   with my inflexible spending,
[00:15:13.080 --> 00:15:15.960]   but maybe just walk us through the logistics of that
[00:15:15.960 --> 00:15:18.600]   and why you think that's a good way to operate.
[00:15:18.600 --> 00:15:20.200]   - Sure, and this was another thing
[00:15:20.200 --> 00:15:21.880]   that we learned from watching clients.
[00:15:21.880 --> 00:15:24.420]   It literally came out of a client that when they retired,
[00:15:24.420 --> 00:15:26.540]   we were concerned that their extra spending
[00:15:26.540 --> 00:15:28.420]   over and above what they told us
[00:15:28.420 --> 00:15:30.680]   and we knew their kind of their normal baseline
[00:15:30.680 --> 00:15:32.760]   was there was going to run them out of money.
[00:15:32.760 --> 00:15:35.040]   And we said, we got to have a way to frame this
[00:15:35.040 --> 00:15:37.940]   so that they can make informed decisions along the way.
[00:15:37.940 --> 00:15:41.480]   So this really starts by understanding
[00:15:41.480 --> 00:15:45.480]   what we call your core lifetime spending is.
[00:15:45.480 --> 00:15:48.100]   That stuff in your lifestyle
[00:15:48.100 --> 00:15:50.800]   that needs to be sustained for as long as you live.
[00:15:50.800 --> 00:15:54.220]   And I'm not just talking about Spartan things.
[00:15:54.220 --> 00:15:55.840]   I'm a lover of good wine
[00:15:55.840 --> 00:15:59.180]   and I suspect that I'm going to lose a lot of abilities
[00:15:59.180 --> 00:16:02.640]   to do a lot of things before I'm going to lose the ability
[00:16:02.640 --> 00:16:04.400]   to have a good glass of wine.
[00:16:04.400 --> 00:16:08.800]   So that wine budget is a core spending item for me
[00:16:08.800 --> 00:16:10.640]   and I'm seeing the nods and the smiles
[00:16:10.640 --> 00:16:12.480]   and I'm sure you all have things like that
[00:16:12.480 --> 00:16:16.240]   that are ongoing pieces of your quality of life.
[00:16:16.240 --> 00:16:18.240]   It's important to understand
[00:16:18.240 --> 00:16:21.880]   what that sustainable number adds up to.
[00:16:21.880 --> 00:16:24.280]   And then of course you get healthcare spending,
[00:16:24.280 --> 00:16:26.520]   Medicare, your supplement taxes.
[00:16:26.520 --> 00:16:28.600]   And so you end up with a gross number
[00:16:28.600 --> 00:16:31.360]   that's really the baseline that you want to sustain.
[00:16:31.360 --> 00:16:32.800]   And that's going to be funded
[00:16:32.800 --> 00:16:36.640]   with social security and/or pension.
[00:16:36.640 --> 00:16:39.200]   And then withdrawals that you can literally figure out
[00:16:39.200 --> 00:16:42.380]   how much capital you need to go with those other pieces
[00:16:42.380 --> 00:16:43.920]   that you're going to follow the rules
[00:16:43.920 --> 00:16:45.680]   that you're going to commit to
[00:16:45.680 --> 00:16:48.560]   and that you'll then say this is what this month,
[00:16:48.560 --> 00:16:50.760]   this part of our assets are there for.
[00:16:50.760 --> 00:16:53.600]   Maybe if someone saved $3 million
[00:16:53.600 --> 00:16:55.720]   and by the time they do that calculation
[00:16:55.720 --> 00:17:00.720]   that core spending portfolio needs to be 1.7 million.
[00:17:01.120 --> 00:17:02.920]   And it can be very freeing to know
[00:17:02.920 --> 00:17:05.840]   that that's the job of that 1.7 million.
[00:17:05.840 --> 00:17:08.820]   And the other 1.3 is really unallocated.
[00:17:08.820 --> 00:17:11.320]   It can be for things that aren't in your list
[00:17:11.320 --> 00:17:13.400]   and that's where the travel piece comes in.
[00:17:13.400 --> 00:17:15.860]   Let's just say that a couple,
[00:17:15.860 --> 00:17:16.940]   let's say it's a married couple
[00:17:16.940 --> 00:17:20.240]   and they say, you know, we'd really like, we're 65,
[00:17:20.240 --> 00:17:24.600]   you know, we would love to spend $500,000 on travel
[00:17:24.600 --> 00:17:27.540]   until we're not able to do this anymore.
[00:17:27.540 --> 00:17:29.280]   You know, so if you go,
[00:17:29.280 --> 00:17:31.240]   well, how do we think about that 500,000?
[00:17:31.240 --> 00:17:34.800]   Well, if you 4% it, you know, that's 20,000 a year.
[00:17:34.800 --> 00:17:36.720]   That doesn't sound like enough fun.
[00:17:36.720 --> 00:17:39.400]   And furthermore, the travel you want to do,
[00:17:39.400 --> 00:17:41.820]   given what you envisioned for your family
[00:17:41.820 --> 00:17:42.800]   and places you want to go,
[00:17:42.800 --> 00:17:45.420]   it's not going to be $20,000 every year.
[00:17:45.420 --> 00:17:47.640]   So there's already tension there.
[00:17:47.640 --> 00:17:49.920]   The next thing you could do is you could amortize it.
