
[00:00:00.000 --> 00:00:01.000]   [GASP]
[00:02:25.000 --> 00:02:27.000]   all of those questions.
[00:02:27.000 --> 00:02:29.000]   Last week I said I was gonna cover them,
[00:02:29.000 --> 00:02:32.000]   and I finished with three, but today we're gonna do
[00:02:32.000 --> 00:02:34.000]   all of those, even if I have to give you quick answers.
[00:02:34.000 --> 00:02:37.000]   Hope you find it interesting and are able to learn something.
[00:02:37.000 --> 00:02:47.000]   (upbeat music)
[00:02:47.000 --> 00:02:50.000]   First, I have a busy, busy day today and this weekend,
[00:02:50.000 --> 00:02:52.000]   so up early this morning prepping for this
[00:02:52.000 --> 00:02:54.000]   and recording first thing, and this show is probably
[00:02:54.000 --> 00:02:56.000]   gonna be out pretty early in the day today
[00:02:56.000 --> 00:02:57.000]   instead of being late.
[00:02:57.000 --> 00:02:59.000]   Quick announcement, though, real quick.
[00:02:59.000 --> 00:03:02.000]   Last Friday, it's actually one week anniversary now,
[00:03:02.000 --> 00:03:06.000]   I wound up destroying my feed, and I thought I had it fixed,
[00:03:06.000 --> 00:03:09.000]   and ultimately I fixed it with the wrong code.
[00:03:09.000 --> 00:03:11.000]   This is what happens when you let novices
[00:03:11.000 --> 00:03:15.000]   redirect their feeds, and so if you were subscribed
[00:03:15.000 --> 00:03:19.000]   to the show in iTunes or any iTunes device,
[00:03:19.000 --> 00:03:22.000]   which would be an Apple phone, an iPad, something like that,
[00:03:22.000 --> 00:03:27.000]   or any of the show pod distributing services,
[00:03:27.000 --> 00:03:30.000]   I guess pod catchers, that use iTunes feeds
[00:03:30.000 --> 00:03:33.000]   as a mechanism automatically, you are no longer
[00:03:33.000 --> 00:03:34.000]   receiving updates on the show.
[00:03:34.000 --> 00:03:37.000]   It's an easy fix, just make sure that you unsubscribe
[00:03:37.000 --> 00:03:40.000]   in whatever player you're using, and then go and find
[00:03:40.000 --> 00:03:42.000]   the show in the store or in the directory,
[00:03:42.000 --> 00:03:45.000]   and then resubscribe, and that feed will be working.
[00:03:45.000 --> 00:03:47.000]   Right on the front page of the site at the moment also,
[00:03:47.000 --> 00:03:50.000]   if you need to manually subscribe to the feed,
[00:03:50.000 --> 00:03:52.000]   I have the new feed listed.
[00:03:52.000 --> 00:03:55.000]   So I apologize for that, I'm talking about it a lot
[00:03:55.000 --> 00:03:57.000]   'cause I wound up probably losing somewhere
[00:03:57.000 --> 00:04:00.000]   by my best guess between 1,500 to 1,800 of you
[00:04:00.000 --> 00:04:03.000]   when I messed up the feed, so I would love to have you
[00:04:03.000 --> 00:04:05.000]   back as listeners, I wanna make sure you're able to do that.
[00:04:05.000 --> 00:04:06.000]   If you could help me spread the word,
[00:04:06.000 --> 00:04:08.000]   I would thoroughly appreciate it.
[00:04:08.000 --> 00:04:11.000]   Today is a Friday show, and these are all gonna be
[00:04:11.000 --> 00:04:12.000]   email questions.
[00:04:12.000 --> 00:04:14.000]   I received one question this last week,
[00:04:14.000 --> 00:04:17.000]   and I'm not ready to answer it via voicemail,
[00:04:17.000 --> 00:04:19.000]   not ready to answer it today.
[00:04:19.000 --> 00:04:21.000]   So these are all emailed questions that were emailed
[00:04:21.000 --> 00:04:22.000]   into me.
[00:04:22.000 --> 00:04:24.000]   If you would like to get your question on a show
[00:04:24.000 --> 00:04:26.000]   for today, on a Friday where I do these Q&A,
[00:04:26.000 --> 00:04:29.000]   then feel free to email it to me.
[00:04:29.000 --> 00:04:31.000]   I would prefer, however, if you call it in
[00:04:31.000 --> 00:04:32.000]   on the voicemail line.
[00:04:32.000 --> 00:04:35.000]   So if you just go to the website,
[00:04:35.000 --> 00:04:38.000]   RadicalPersonalFinance.com, either on your phone
[00:04:38.000 --> 00:04:41.000]   or on your computer, and you'll see a little button
[00:04:41.000 --> 00:04:42.000]   that says leave us a voicemail.
[00:04:42.000 --> 00:04:44.000]   You click that button, and you can do it right
[00:04:44.000 --> 00:04:45.000]   from your phone, right from your computer,
[00:04:45.000 --> 00:04:47.000]   and just record a voicemail, and that way I'll be able
[00:04:47.000 --> 00:04:48.000]   to play that on the show.
[00:04:48.000 --> 00:04:50.000]   I prefer doing those, so I will always give preference
[00:04:50.000 --> 00:04:53.000]   to voicemail questions, 'cause I like it when the audience
[00:04:53.000 --> 00:04:54.000]   can hear the question.
[00:04:54.000 --> 00:04:56.000]   It also forces you to have your question a little bit
[00:04:56.000 --> 00:04:58.000]   more concise instead of me going through and kind of
[00:04:58.000 --> 00:05:00.000]   trying to trim out some of the email questions.
[00:05:00.000 --> 00:05:01.000]   But the email ones are fine.
[00:05:01.000 --> 00:05:04.000]   I would encourage you to keep sending them to me.
[00:05:04.000 --> 00:05:06.000]   Two other quick notes as we get started.
[00:05:06.000 --> 00:05:08.000]   Before I start with the first question.
[00:05:08.000 --> 00:05:11.000]   One is that when you guys email, I want to, email me.
[00:05:11.000 --> 00:05:12.000]   Thank you.
[00:05:12.000 --> 00:05:13.000]   I read every single one of your emails.
[00:05:13.000 --> 00:05:17.000]   I often am very slow to respond to email,
[00:05:17.000 --> 00:05:20.000]   and I'm just so busy that even though I'd like to
[00:05:20.000 --> 00:05:23.000]   email you back right away, oftentimes it winds up
[00:05:23.000 --> 00:05:24.000]   being a week.
[00:05:24.000 --> 00:05:26.000]   Sometimes I'll batch an entire week's worth of emails
[00:05:26.000 --> 00:05:29.000]   into on Saturday morning or something like that.
[00:05:29.000 --> 00:05:33.000]   I try email is not my number one priority,
[00:05:33.000 --> 00:05:36.000]   so although I spend, we're all, in our modern world,
[00:05:36.000 --> 00:05:39.000]   we all tend to need to spend a little bit of time there.
[00:05:39.000 --> 00:05:41.000]   But it's certainly not my number one priority
[00:05:41.000 --> 00:05:44.000]   or my biggest source of value, so I will usually
[00:05:44.000 --> 00:05:46.000]   push it off and lower it on the priority chain
[00:05:46.000 --> 00:05:47.000]   for other things.
[00:05:47.000 --> 00:05:49.000]   So if you don't hear back from me for a week,
[00:05:49.000 --> 00:05:51.000]   two weeks sometimes, that's why.
[00:05:51.000 --> 00:05:53.000]   But I do read them, so I thank all of you
[00:05:53.000 --> 00:05:55.000]   for sending me the notes.
[00:05:55.000 --> 00:05:57.000]   Number two, I actually had a listener this week
[00:05:57.000 --> 00:05:59.000]   send me something pretty cool.
[00:05:59.000 --> 00:06:02.000]   Actually recorded a voice message, and I thought
[00:06:02.000 --> 00:06:04.000]   that was a really cool way to hear feedback
[00:06:04.000 --> 00:06:05.000]   from a listener.
[00:06:05.000 --> 00:06:09.000]   And it wasn't intended to be played on the show
[00:06:09.000 --> 00:06:11.000]   as far as an audio, it was a personal audio,
[00:06:11.000 --> 00:06:13.000]   but this listener just used the voice recording app
[00:06:13.000 --> 00:06:16.000]   on their phone and then recorded a voice memo
[00:06:16.000 --> 00:06:18.000]   and then emailed it to me.
[00:06:18.000 --> 00:06:19.000]   And I thought that was really fun.
[00:06:19.000 --> 00:06:23.000]   It's tough for me to schedule a, I don't have,
[00:06:23.000 --> 00:06:25.000]   I'm not making the time available right now
[00:06:25.000 --> 00:06:28.000]   on my schedule to do individual phone calls
[00:06:28.000 --> 00:06:31.000]   with anybody really, just because of all the other things
[00:06:31.000 --> 00:06:33.000]   that I've dedicated my time to.
[00:06:33.000 --> 00:06:36.000]   But that was a fun way for me to get some listener feedback.
[00:06:36.000 --> 00:06:38.000]   And so even though it was a one-way conversation,
[00:06:38.000 --> 00:06:41.000]   it was nice to hear his voice, it was nice to hear
[00:06:41.000 --> 00:06:43.000]   what he shared with me, and I really enjoyed
[00:06:43.000 --> 00:06:45.000]   that form of feedback.
[00:06:45.000 --> 00:06:47.000]   So if you ever want to do that, feel free to send it to me
[00:06:47.000 --> 00:06:50.000]   and just email me the file, and then I will listen to it.
[00:06:50.000 --> 00:06:56.000]   So that's it for the intro, so let's get started
[00:06:56.000 --> 00:06:58.000]   with the questions.
[00:06:58.000 --> 00:07:01.000]   First question comes from Lane in Tennessee,
[00:07:01.000 --> 00:07:04.000]   and he says this, "Joshua, my question is about
[00:07:04.000 --> 00:07:06.000]   "retirement income. I will begin withdrawals
[00:07:06.000 --> 00:07:10.000]   "from my retirement funds in July of 2016.
[00:07:10.000 --> 00:07:12.000]   "I've heard you discuss the 4% rule,
[00:07:12.000 --> 00:07:14.000]   "which is the amount I can withdraw and retain
[00:07:14.000 --> 00:07:17.000]   "100% of the principal, which will become part
[00:07:17.000 --> 00:07:19.000]   "of my estate for my children.
[00:07:19.000 --> 00:07:21.000]   "What would be a safe number if I wanted to retain
[00:07:21.000 --> 00:07:24.000]   "only 50% or leave nothing?
[00:07:24.000 --> 00:07:26.000]   "I realize that the answer to my questions
[00:07:26.000 --> 00:07:28.000]   "has another variable, how many years?
[00:07:28.000 --> 00:07:30.000]   "I would say that 20 years is a good number.
[00:07:30.000 --> 00:07:33.000]   "I would be 86 at that time, and 30 years
[00:07:33.000 --> 00:07:35.000]   "would be the worst case number.
[00:07:35.000 --> 00:07:37.000]   "There is probably a formula which will allow me
[00:07:37.000 --> 00:07:39.000]   "to enter the number of years, the remaining percentage,
[00:07:39.000 --> 00:07:41.000]   "and then calculate a withdrawal percentage,
[00:07:41.000 --> 00:07:43.000]   "which would be great if available.
[00:07:43.000 --> 00:07:45.000]   "Keep up the good work, I enjoy the show."
[00:07:45.000 --> 00:07:48.000]   Lane, good question, Lane, age 64 in Tennessee.
[00:07:48.000 --> 00:07:50.000]   Good question.
[00:07:50.000 --> 00:07:52.000]   Now, there are a few answers to the question,
[00:07:52.000 --> 00:07:55.000]   and I want to share with you those different answers
[00:07:55.000 --> 00:07:58.000]   so that you can more easily understand
[00:07:58.000 --> 00:08:01.000]   the various options here.
[00:08:01.000 --> 00:08:05.000]   If we know what the percentage rate of return is
[00:08:05.000 --> 00:08:08.000]   off of a portfolio, this is the easiest question
[00:08:08.000 --> 00:08:11.000]   in the world to answer, and it's a very simple
[00:08:11.000 --> 00:08:14.000]   future value and payment calculation,
[00:08:14.000 --> 00:08:16.000]   and I'm going to do it for you in just a moment.
[00:08:16.000 --> 00:08:19.000]   But the problem is that we don't know,
[00:08:19.000 --> 00:08:22.000]   in general, usually, with most investment,
[00:08:22.000 --> 00:08:25.000]   we don't generally know what the actual return
[00:08:25.000 --> 00:08:27.000]   is going to be year to year.
[00:08:27.000 --> 00:08:29.000]   We may be able to guess at the average return,
[00:08:29.000 --> 00:08:31.000]   but this gets into what is called
[00:08:31.000 --> 00:08:33.000]   the sequence of returns risk.
[00:08:33.000 --> 00:08:36.000]   So if the average return from a portfolio is 8%,
[00:08:36.000 --> 00:08:39.000]   we may use that 8% number, but the reality is
[00:08:39.000 --> 00:08:42.000]   we don't actually know, in the first year,
[00:08:42.000 --> 00:08:45.000]   are we going to have a 28% loss in the portfolio,
[00:08:45.000 --> 00:08:48.000]   or are we going to have a 28% gain in the portfolio?
[00:08:48.000 --> 00:08:51.000]   And because we don't know what the actual sequence
[00:08:51.000 --> 00:08:54.000]   of returns is, then this is a very difficult,
[00:08:54.000 --> 00:08:57.000]   if not impossible, question to answer.
[00:08:57.000 --> 00:08:59.000]   So let's start with the math if we do know
[00:08:59.000 --> 00:09:00.000]   the sequence of returns.
[00:09:00.000 --> 00:09:02.000]   All you need to do to answer this question
[00:09:02.000 --> 00:09:04.000]   is pull out a financial calculator
[00:09:04.000 --> 00:09:08.000]   and run for yourself exactly what the scenario is
[00:09:08.000 --> 00:09:11.000]   that you want to calculate.
[00:09:11.000 --> 00:09:14.000]   And so if I pretend that you have a –
[00:09:14.000 --> 00:09:16.000]   you didn't say anything about numbers, which is great.
[00:09:16.000 --> 00:09:18.000]   So let's do a calculation, though,
[00:09:18.000 --> 00:09:20.000]   and let's play with a million-dollar portfolio.
[00:09:20.000 --> 00:09:21.000]   So pull out your financial calculator,
[00:09:21.000 --> 00:09:24.000]   clear the register, type $1 million.
[00:09:24.000 --> 00:09:27.000]   So type $1 million, hit the Change Sign button,
[00:09:27.000 --> 00:09:29.000]   and put that in as your present value.
[00:09:29.000 --> 00:09:31.000]   You have a $1 million portfolio.
[00:09:31.000 --> 00:09:34.000]   Now, at the end, you said you want to calculate
[00:09:34.000 --> 00:09:36.000]   how much of your portfolio you want to have –
[00:09:36.000 --> 00:09:38.000]   or how much of your portfolio –
[00:09:38.000 --> 00:09:41.000]   you said you want to have a 50% of your portfolio left
[00:09:41.000 --> 00:09:43.000]   at the end of, say, 20 or 30 years.
[00:09:43.000 --> 00:09:45.000]   So let's start with 20 years.
[00:09:45.000 --> 00:09:47.000]   So just hit 20 and then hit N,
[00:09:47.000 --> 00:09:51.000]   and then you're going to have a 50% remainder value.
[00:09:51.000 --> 00:09:56.000]   So what you need to do is you just type $500,000,
[00:09:56.000 --> 00:09:57.000]   keep that as a positive,
[00:09:57.000 --> 00:09:59.000]   stick that in for your future value,
[00:09:59.000 --> 00:10:01.000]   and then take your interest rate
[00:10:01.000 --> 00:10:04.000]   that you predict that you're going to earn on your investment.
[00:10:04.000 --> 00:10:06.000]   So let's say I'll use 8% as a plug number.
[00:10:06.000 --> 00:10:08.000]   Hit the 8, hit the I,
[00:10:08.000 --> 00:10:10.000]   and now what we'll do is we'll calculate
[00:10:10.000 --> 00:10:12.000]   what the payment function would be.
[00:10:12.000 --> 00:10:13.000]   And this is going to tell us
[00:10:13.000 --> 00:10:16.000]   how much we can pull off of a portfolio,
[00:10:16.000 --> 00:10:18.000]   starting with $1 million,
[00:10:18.000 --> 00:10:20.000]   terminating at $500,000,
[00:10:20.000 --> 00:10:23.000]   with an 8% return for a 20-year period.
[00:10:23.000 --> 00:10:25.000]   So let's hit the Payment button,
[00:10:25.000 --> 00:10:27.000]   and what that tells us is that annually
[00:10:27.000 --> 00:10:32.000]   we can pull $84,190 off of the portfolio
[00:10:32.000 --> 00:10:34.000]   each year for 20 years.
[00:10:34.000 --> 00:10:38.000]   Now let's check the math and see if I did something wrong.
[00:10:38.000 --> 00:10:40.000]   So put in $84,000.
[00:10:40.000 --> 00:10:43.000]   Let's type $84,190.
[00:10:43.000 --> 00:10:44.000]   Let's clear the register first.
[00:10:44.000 --> 00:10:46.000]   $84,190.
[00:10:46.000 --> 00:10:47.000]   Put that in as a payment.
[00:10:47.000 --> 00:10:49.000]   We'll put it in as a positive number
[00:10:49.000 --> 00:10:50.000]   because it's going to be a cash inflow.
[00:10:50.000 --> 00:10:53.000]   Put in $1 million as a negative number
[00:10:53.000 --> 00:10:55.000]   for the present value,
[00:10:55.000 --> 00:10:57.000]   and put in 8% for the interest,
[00:10:57.000 --> 00:10:58.000]   20 for the end,
[00:10:58.000 --> 00:10:59.000]   and hit Future Value.
[00:10:59.000 --> 00:11:01.000]   And what we'll see if we did our math right,
[00:11:01.000 --> 00:11:03.000]   yep, comes out to $500,041
[00:11:03.000 --> 00:11:05.000]   because I didn't put the dollars and cents
[00:11:05.000 --> 00:11:06.000]   into the payment function.
[00:11:06.000 --> 00:11:09.000]   So now I know that if you have a $1 million portfolio,
[00:11:09.000 --> 00:11:12.000]   and if you can get an 8% rate of return
[00:11:12.000 --> 00:11:13.000]   off of that portfolio,
[00:11:13.000 --> 00:11:15.000]   and you want to pull payments off for 20 years,
[00:11:15.000 --> 00:11:19.000]   and at the end of 20 years have half a million dollars left,
[00:11:19.000 --> 00:11:22.000]   you can pull $84,000 off the portfolio.
[00:11:22.000 --> 00:11:24.000]   And this is very simple math to work
[00:11:24.000 --> 00:11:25.000]   if you wanted to change it to 30 years.
[00:11:25.000 --> 00:11:26.000]   Let's do that one.
[00:11:26.000 --> 00:11:27.000]   So let's clear the register.
[00:11:27.000 --> 00:11:29.000]   Type $1 million.
[00:11:29.000 --> 00:11:30.000]   Change the sign.
[00:11:30.000 --> 00:11:32.000]   Put it in as the present value.
[00:11:32.000 --> 00:11:34.000]   Put in 8% still for the interest,
[00:11:34.000 --> 00:11:38.000]   and let's put $500,000 as the future value.
[00:11:38.000 --> 00:11:40.000]   And now instead of 20 years,
[00:11:40.000 --> 00:11:42.000]   put in 30 years for the end,
[00:11:42.000 --> 00:11:43.000]   and hit the payment button.
[00:11:43.000 --> 00:11:45.000]   And now it will calculate that if you want to do this
[00:11:45.000 --> 00:11:50.000]   for 30 years, you can actually pull off $78,160.
[00:11:50.000 --> 00:11:52.000]   So it's easy, right?
[00:11:52.000 --> 00:11:57.000]   Well, it's easy if we know that you're going to get 8%.
[00:11:57.000 --> 00:11:59.000]   And that's the challenge.
[00:11:59.000 --> 00:12:02.000]   Because depending on what 20- or 30-year period you're using,
[00:12:02.000 --> 00:12:05.000]   you may or may not get an average of 8% over that time,
[00:12:05.000 --> 00:12:07.000]   and depending on the sequence of your returns
[00:12:07.000 --> 00:12:09.000]   of the portfolio,
[00:12:09.000 --> 00:12:12.000]   then it may or may not wind up with that number.
[00:12:12.000 --> 00:12:13.000]   And so that's why when you go back
[00:12:13.000 --> 00:12:15.000]   and you look at the research that I referenced
[00:12:15.000 --> 00:12:18.000]   in the 4% calculations and the safe withdrawal rates
[00:12:18.000 --> 00:12:19.000]   and things like that,
[00:12:19.000 --> 00:12:21.000]   if you go back and you actually look at it,
[00:12:21.000 --> 00:12:24.000]   you see how I think it was off the top of my head,
[00:12:24.000 --> 00:12:27.000]   96% of the time at a 4% withdrawal rate,
[00:12:27.000 --> 00:12:29.000]   the portfolio wound up with still having
[00:12:29.000 --> 00:12:32.000]   the 100% of its beginning value.
[00:12:32.000 --> 00:12:33.000]   I'm pretty sure that's right.
[00:12:33.000 --> 00:12:34.000]   I need to go back and check the numbers.
[00:12:34.000 --> 00:12:36.000]   It's just off the top of my head.
[00:12:36.000 --> 00:12:39.000]   So that's why.
[00:12:39.000 --> 00:12:41.000]   But the other times, it may or may not.
[00:12:41.000 --> 00:12:46.000]   But that doesn't work in terms of the practicalities of life.
[00:12:46.000 --> 00:12:49.000]   So in general, it's tough for us to find
[00:12:49.000 --> 00:12:51.000]   a fixed, guaranteed account where we know
[00:12:51.000 --> 00:12:53.000]   exactly what we're going to return.
[00:12:53.000 --> 00:12:55.000]   If we did know that, we could.
[00:12:55.000 --> 00:12:57.000]   So where you get into is --
[00:12:57.000 --> 00:12:59.000]   the subject that you're getting into
[00:12:59.000 --> 00:13:01.000]   is called retirement distribution planning.
[00:13:01.000 --> 00:13:04.000]   And this is very important,
[00:13:04.000 --> 00:13:06.000]   and it's an emerging field of specialization
[00:13:06.000 --> 00:13:08.000]   in the area of financial planning.
[00:13:08.000 --> 00:13:11.000]   There are a number of ways that you could solve the problem.
[00:13:11.000 --> 00:13:12.000]   But if I were sitting down with you
[00:13:12.000 --> 00:13:13.000]   face-to-face doing planning,
[00:13:13.000 --> 00:13:15.000]   then I would say, "Lane, how important
[00:13:15.000 --> 00:13:17.000]   are these different goals to you?"
[00:13:17.000 --> 00:13:19.000]   So would you be utterly destroyed
[00:13:19.000 --> 00:13:22.000]   if you didn't leave an inheritance behind for your kids?
[00:13:22.000 --> 00:13:25.000]   If you wound up with a terminating value of $0,
[00:13:25.000 --> 00:13:27.000]   would you be utterly destroyed?
[00:13:27.000 --> 00:13:29.000]   Well, if not, if you're willing to take the risk,
[00:13:29.000 --> 00:13:32.000]   then chances are you might be comfortable
[00:13:32.000 --> 00:13:37.000]   keeping all of the money in the highest
[00:13:37.000 --> 00:13:39.000]   total average return portfolio
[00:13:39.000 --> 00:13:42.000]   that you're willing to be comfortable with
[00:13:42.000 --> 00:13:44.000]   because you might be able to leave
[00:13:44.000 --> 00:13:47.000]   a much higher amount of money behind.
[00:13:47.000 --> 00:13:49.000]   And you might be able to enjoy a much higher lifestyle.
[00:13:49.000 --> 00:13:51.000]   And if you're okay with the volatility
[00:13:51.000 --> 00:13:53.000]   and the potential for having a reduced income
[00:13:53.000 --> 00:13:56.000]   in the period of time because you wind up into --
[00:13:56.000 --> 00:13:58.000]   your investment plan doesn't quite work out,
[00:13:58.000 --> 00:14:01.000]   that may be a plan that works for you.
[00:14:01.000 --> 00:14:02.000]   On the other hand, if you have a need
[00:14:02.000 --> 00:14:04.000]   where it's very important to you
[00:14:04.000 --> 00:14:06.000]   that you leave a certain amount of money behind,
[00:14:06.000 --> 00:14:08.000]   you've got to segregate that out
[00:14:08.000 --> 00:14:10.000]   and not risk those assets.
[00:14:10.000 --> 00:14:12.000]   And so you could do this with a combination
[00:14:12.000 --> 00:14:13.000]   of different strategies.
[00:14:13.000 --> 00:14:14.000]   Let's say that you're going to do this
[00:14:14.000 --> 00:14:16.000]   all with mutual funds.
[00:14:16.000 --> 00:14:18.000]   Well, you might carve off a portion
[00:14:18.000 --> 00:14:19.000]   of your mutual fund account,
[00:14:19.000 --> 00:14:21.000]   a portion of your portfolio, and say,
[00:14:21.000 --> 00:14:23.000]   "This is the money that I'm going to leave behind
[00:14:23.000 --> 00:14:26.000]   to -- this is the inheritance bucket."
[00:14:26.000 --> 00:14:28.000]   So maybe you have --
[00:14:28.000 --> 00:14:30.000]   let's just go with an ideal scenario.
[00:14:30.000 --> 00:14:33.000]   You have a Roth IRA that has $100,000 in it.
[00:14:33.000 --> 00:14:36.000]   And you say, "This account I'm not going to spend.
[00:14:36.000 --> 00:14:38.000]   So I'm going to take this $100,000,"
[00:14:38.000 --> 00:14:40.000]   and you sit down and you just pull out some math
[00:14:40.000 --> 00:14:42.000]   and you say, "Okay, $100,000.
[00:14:42.000 --> 00:14:44.000]   Then I'll put this in as my present value.
[00:14:44.000 --> 00:14:46.000]   Let's say I'm going to do this for 20 years.
[00:14:46.000 --> 00:14:48.000]   This account is going to be invested 100% in stock,
[00:14:48.000 --> 00:14:51.000]   so I'm going to get an 8% return net of fees
[00:14:51.000 --> 00:14:54.000]   and there's no tax on the Roth IRA.
[00:14:54.000 --> 00:14:55.000]   I'm not going to take any payments off."
[00:14:55.000 --> 00:14:57.000]   What would that be worth in 20 years?
[00:14:57.000 --> 00:15:01.000]   Well, in 20 years, that would be worth $466,000
[00:15:01.000 --> 00:15:03.000]   if you get the 8% return.
[00:15:03.000 --> 00:15:05.000]   And you might say, "Look, I've got this long time horizon,
[00:15:05.000 --> 00:15:07.000]   so I'm totally comfortable with that.
[00:15:07.000 --> 00:15:10.000]   So I'm going to keep this portfolio tucked aside over here
[00:15:10.000 --> 00:15:14.000]   for my kids, and that's going to be the inheritance portfolio,
[00:15:14.000 --> 00:15:17.000]   and I'm going to focus on spending the rest of it."
[00:15:17.000 --> 00:15:19.000]   You could bring other financial products in.
[00:15:19.000 --> 00:15:23.000]   So as an example, let's say that you wanted to make sure
[00:15:23.000 --> 00:15:26.000]   that you leave behind $500,000,
[00:15:26.000 --> 00:15:28.000]   but you're not sure when you're going to die.
[00:15:28.000 --> 00:15:30.000]   So you might hedge your bets,
[00:15:30.000 --> 00:15:32.000]   and you might buy something like a life insurance policy.
[00:15:32.000 --> 00:15:36.000]   So you might buy a $300,000 permanent life insurance policy,
[00:15:36.000 --> 00:15:39.000]   and you know that money will always be there.
[00:15:39.000 --> 00:15:41.000]   And then you use some of the money for that,
[00:15:41.000 --> 00:15:44.000]   but then you keep the rest of the money invested
[00:15:44.000 --> 00:15:46.000]   in a mutual fund portfolio.
[00:15:46.000 --> 00:15:50.000]   And then over time, you're covered for both eventualities.
[00:15:50.000 --> 00:15:52.000]   You've got the consistency and the stability
[00:15:52.000 --> 00:15:54.000]   of the life insurance payment,
[00:15:54.000 --> 00:15:56.000]   so if you have a bad market condition
[00:15:56.000 --> 00:15:59.000]   or if your investment plan doesn't work out quite so well,
[00:15:59.000 --> 00:16:01.000]   you've guaranteed the death benefit,
[00:16:01.000 --> 00:16:03.000]   the inheritance for your family,
[00:16:03.000 --> 00:16:06.000]   and you then have put in place a scenario
[00:16:06.000 --> 00:16:09.000]   where you have the opportunity for hopefully more upside
[00:16:09.000 --> 00:16:12.000]   because of the aggressive investment portfolio.
