
[00:00:00.000 --> 00:00:21.200]   In the next 10 to 15 minutes, here's, I guess, my promise to you. I'm going to give you some
[00:09:10.020 --> 00:09:15.940]   to skip through this slide because I go into a bit of detail. I'm also going to give you a library.
[00:09:15.940 --> 00:09:20.980]   I'm working on an open source library. I'm ashamed of the name. I was trying to be cool when I came up
[00:09:20.980 --> 00:09:29.380]   with it. It's called Memories. You can type that on Google. You'll find it. But it has the design patterns
[00:09:29.380 --> 00:09:33.780]   of all of this memory that I'm showing you, all these memory types that I will show you as well.
[00:09:33.780 --> 00:09:38.340]   But there are different forms of memory and AI agents and how we make them work. So let's start with
[00:09:38.340 --> 00:09:44.980]   Persona. Is anyone here from OpenAI? Leave. I'm joking.
[00:09:44.980 --> 00:09:51.940]   Well, a couple of months ago, right? So they gave ChatGPT a bit of personality, right?
[00:09:53.620 --> 00:10:01.060]   And they didn't do a good job, but they are going in the right direction, which is we are trying to make
[00:10:01.060 --> 00:10:05.460]   our systems more believable, right? We're trying to make them more human. We're trying to make them
[00:10:05.460 --> 00:10:12.100]   create relationship with the consumer, with the users of our systems. Persona memory helps with that.
[00:10:12.900 --> 00:10:19.220]   And you can model that in MongoDB, right? This is memories. If you spin up the library,
[00:10:19.220 --> 00:10:25.780]   it helps you spin up all of this different type of memory type. So this is Persona. I have a little
[00:10:25.780 --> 00:10:31.780]   demo if we have time. But this is Persona memory. This is what it would look like in MongoDB.
[00:10:32.660 --> 00:10:43.060]   Then there's Toolbox. The guidance from OpenAI is you should only put the schema of maybe 10 to 21 tools
[00:10:43.060 --> 00:10:50.260]   in the context window. But when you use your database as a toolbox where you're storing the JSON schema
[00:10:50.260 --> 00:10:58.420]   of your tools in MongoDB, you can scale. Because just before you hit the LLM, you can just get the
[00:10:58.420 --> 00:11:05.540]   relevant tool using any form of search. So that's toolbox. That's a toolbox memory. And that's what
[00:11:05.540 --> 00:11:12.020]   it would look like, right? This is how you model it in MongoDB. You store the information of your JSON
[00:11:12.020 --> 00:11:19.140]   schema. Now you'll begin to understand that MongoDB gives you that flexible data model. The document data
[00:11:19.140 --> 00:11:25.460]   model is very flexible. It can adapt to whatever model you want your data to take, whatever structure.
[00:11:25.460 --> 00:11:32.660]   And you have all of the retrieval capabilities, graph, vector, text, geo-special query in one database.
[00:11:32.660 --> 00:11:39.300]   Conversation memory is a bit obvious, right? Back and forth conversation with ChatGPT, with Claude. You
[00:11:39.300 --> 00:11:45.140]   can store that in your database as well in MongoDB as conversational memory. And this is what that would
[00:11:45.140 --> 00:11:50.820]   look like. Timestamp. Timestamp. And you have a conversation ID. And you can see something there
[00:11:50.820 --> 00:11:56.900]   called recall recency and associate conversation ID. And that's my attempt at implementing some memory
[00:11:56.900 --> 00:12:04.580]   signals. And that goes into the forgetting mechanism that I'm trying to implement in my very famous library,
[00:12:04.580 --> 00:12:10.580]   Memories. I'm going to go through the next slides a bit quicker because I want to get to the end of this.
[00:12:12.260 --> 00:12:16.980]   Workflow memory is very important. You build your agency system. They execute a certain step. Step one,
[00:12:16.980 --> 00:12:22.580]   step two, step three, it fails. But one thing you could do is the failure is experience. It's a learning
[00:12:22.580 --> 00:12:28.020]   experience. You can store that in your database. I see you nodding. You're like, yeah. You can store that in
[00:12:28.020 --> 00:12:35.140]   your database. And you can then pull that in in the next execution to inform the LLM to not take this step or
[00:12:35.140 --> 00:12:41.220]   explore all the paths. You can store that in MongoDB as well. You can model that. Because what you have
[00:12:41.220 --> 00:12:45.780]   in MongoDB is that memory provider for your agentic system. And this is what that looks like when you
[00:12:45.780 --> 00:12:52.020]   model it. An example of it anyway. So we have episodic memory. We have long-term memory. We have an agent
[00:12:52.020 --> 00:12:58.260]   registry. You can store the information of your agent as well. And this is how I do it. You can see the agent
[00:12:58.260 --> 00:13:03.860]   that's tools, persona, all the good stuff. There's entity memory as well. So there's different forms of
[00:13:03.860 --> 00:13:11.300]   memory. And the memory, the memory's library is very experimental and educational. But it encapsulates
[00:13:11.300 --> 00:13:17.940]   some of the memory and implementation and design patterns that I'm thinking of on an everyday basis
[00:13:17.940 --> 00:13:24.420]   that we're thinking of in MongoDB. So MongoDB, you probably get the point now. The memory provider for
[00:13:24.420 --> 00:13:31.940]   agentic systems. There are tools out there that focus on memory management. MemGPT, MemZero, Zep.
[00:13:31.940 --> 00:13:38.900]   They're great tools. But after speaking to some of you folks and some of our partners and customers here,
[00:13:38.900 --> 00:13:48.260]   there is not one way to solve memory. And you need a memory provider to build your custom solution
[00:13:48.260 --> 00:13:52.340]   to make sure the memory management systems that you're able to implement are effective.
[00:13:53.220 --> 00:14:01.140]   So we really understand the importance of managing data and managing memory. And that's why earlier this
[00:14:01.140 --> 00:14:09.460]   year, we acquired Voyage AI. Now they create the best, no offense, OpenAI, embedding models in the market
[00:14:09.460 --> 00:14:19.060]   today. Voyage AI embedding models are, we have text multimodal, we have re-rankers. And this allows you to
[00:14:19.060 --> 00:14:24.500]   really solve the problem or at least reduce AI hallucination within your ragged and agentic systems.
[00:14:24.500 --> 00:14:28.900]   And what we're doing and what we're focused on, the mission for MongoDB,
[00:14:28.900 --> 00:14:35.860]   is to make the developer more productive by taking away the considerations and all the concerns around
[00:14:35.860 --> 00:14:45.300]   managing different data and all the process of chunking retrieval strategies. We pull that into the database. We are redefining the database.
[00:14:46.100 --> 00:14:51.940]   And that's why in a few months, we're going to be pulling in Voyage AI, the embedded models and the re-rankers into
[00:14:51.940 --> 00:15:01.540]   MongoDB Atlas. And you will not have to be writing chunking strategies for your data. I see a lot of people nodding. Yeah.
[00:15:02.500 --> 00:15:09.860]   That's good. So MongoDB is a household name, to be honest. I watched MongoDB IPO back when I was in
[00:15:09.860 --> 00:15:16.420]   university. I bought the stocks when I was in university, free, just free. I only had about 100
[00:15:16.420 --> 00:15:24.740]   pounds. I was broke. But we are very focused and we take it very seriously, making sure that
[00:15:24.740 --> 00:15:30.180]   you guys can build the best AI products, AI features very quickly in a secure way.
[00:15:30.180 --> 00:15:33.140]   So MongoDB is built for the change that we are going to experience
[00:15:33.140 --> 00:15:39.380]   now, tomorrow, in the next couple of years. I want to end with this. You know who these two guys are?
[00:15:39.380 --> 00:15:48.740]   Damn. Okay. This is Hubble and Wiseau. They won a Nobel Prize in the late 90s. But they did some research on
[00:15:48.740 --> 00:15:55.940]   the visual cortex of cats, the experiment of cats. This probably wouldn't fly now, but back in the 50s
[00:15:55.940 --> 00:16:02.260]   and 60s, things were a bit more relaxed. But they found out that the visual cortex of the brains between
[00:16:02.260 --> 00:16:10.020]   cats and humans actually worked by learning different hierarchies of representation. So edges, contours and
[00:16:10.020 --> 00:16:15.700]   abstract shapes. Now, people that are in deep learning will know that this is how convolutional neural network
[00:16:15.700 --> 00:16:24.900]   works. And the research that these guys did inspired and informed convolutional neural networks. That's face
[00:16:24.900 --> 00:16:31.700]   detection, object detection. It all comes from neuroscience. So we are architects of intelligence,
[00:16:31.700 --> 00:16:38.260]   but there is a better architect of intelligence. It's nature. Nature's created our brains. It's the most
[00:16:38.260 --> 00:16:43.140]   effective form of intelligence and, well, some humans are meat, but it's the most effective form of
[00:16:43.140 --> 00:16:49.060]   intelligence that we have today. And we can look inwards to build this agentic system. So last week,
[00:16:49.060 --> 00:16:56.500]   Saturday, myself and Tengu is the chief AI scientist at MongoDB, also the founder of Voyage AI. We sat with
[00:16:56.500 --> 00:17:02.660]   these three guys in the middle, our neuroscientists. Kenneth has been exploring human brain and memory for
[00:17:03.220 --> 00:17:09.140]   over 20 years. And over here is Charles Parker. He's the creator of MEMGPT, your letter.
[00:17:09.140 --> 00:17:15.380]   And we are having this conversation. And once again, we're mirroring how we're bringing neuroscientists and
[00:17:15.380 --> 00:17:24.020]   application developers together to solve and push us on the path of AGI. So that's my talk done.
[00:17:24.020 --> 00:17:35.940]   Check out memories. And you can come talk to me about memory. Add me on LinkedIn if you want this presentation. Thank you for your time.

