
[00:00:00.000 --> 00:00:10.940]   Let me also pull up chat real quick. But for those that don't know, there's the five series
[00:05:52.480 --> 00:05:58.080]   they want to identify what's the highest quality of this data, then they'll generate synthetic examples
[00:05:58.080 --> 00:06:04.160]   and they'll use these examples as more training data. They talk quite a bit about multiple epochs for different
[00:06:04.160 --> 00:06:11.840]   sub data sets, but yeah, you know, they created 50 types of synthetic data sets. So web and code,
[00:06:11.840 --> 00:06:16.800]   code-based seed, right? For example, so they have a two-stage filtration process. First, identifying
[00:06:16.800 --> 00:06:22.800]   pages with strong educational content and second, segmenting selected passages into pages into
[00:06:22.800 --> 00:06:27.600]   passages, scoring each for its factual and reasoning content. Basically, they're trying to filter out what
[00:06:27.600 --> 00:06:33.520]   is good reasoning data here. In this, for question data sets, you know, discard questions where all
[00:06:33.520 --> 00:06:38.960]   answered were agreed, you know, where questions are easy or where the answers were kind of inconsistent. So
[00:06:38.960 --> 00:06:46.800]   a lot of data filtration, delete, deduction chains, logical reasoning steps, kind of more efficient,
[00:06:46.800 --> 00:06:53.760]   rewrite and augment data. So seeds are transformed into synthetic data through multi-step prompting
[00:06:53.760 --> 00:06:58.640]   workflows. That includes rewriting the most useful content in a passage into exercises,
[00:06:58.640 --> 00:07:04.160]   discussions, the structured reasoning. So once you have a lot of text, you subset the best part of it,
[00:07:04.160 --> 00:07:09.040]   you know, what are the actual hard questions here? From there, let's rewrite it into exercises,
[00:07:09.040 --> 00:07:13.200]   let's create discussions around it, let's have structured reasoning to how we got to that example.
[00:07:13.200 --> 00:07:19.520]   That's kind of how they do that. Self-revision, instruction reversal for code. So, you know,
[00:07:19.520 --> 00:07:24.240]   you have high quality code, let's reverse it. Let's get the path out of it. Let's get the,
[00:07:24.240 --> 00:07:31.680]   you know, generation steps out of it. Filtering web dumps was another one. They have small non-LLM
[00:07:31.680 --> 00:07:39.600]   classifiers trained on annotations on how to filter out web dumps. They have subsets of non-filtered and
[00:07:39.600 --> 00:07:46.240]   filtered stuff. You know, they over-index on STEM words. They want to just get that high-level stuff.
[00:07:46.240 --> 00:07:54.240]   They have multi-modality into this, multi-linguality, sorry. So 176 languages. More extraction, more
[00:07:54.240 --> 00:08:01.840]   cleaning. Okay. Post-training. Post-training has SFT and DPO. And then we kind of go into their training
[00:08:01.840 --> 00:08:08.160]   mix. I think like five minutes to cover what they're doing here. But you know, they start off with 4K context
[00:08:08.160 --> 00:08:15.120]   length. They extend it out to 16K during mid-training. They have a new vocab of a hundred thousand with
[00:08:15.120 --> 00:08:21.520]   unused tokens. Turns out they just left this note in the paper in December. These unused tokens are what
[00:08:21.520 --> 00:08:26.640]   the reasoning tokens end up becoming, right? So they add in these think tokens out of the unused tokens,
[00:08:26.640 --> 00:08:31.440]   and that's how they're able to do it. Previously, they had had a sliding window attention
[00:08:32.320 --> 00:08:39.520]   in 5-3. Now they do full attention over the 4K context. This model trained from scratch is on 10
[00:08:39.520 --> 00:08:44.480]   trillion tokens. They kind of give you, you know, here's the regular learning rate, weight decay,
[00:08:44.480 --> 00:08:50.400]   batch size, all that stuff. But pre-trained from scratch, 10 million tokens, a lot of synthetic tokens.
[00:08:50.400 --> 00:08:56.800]   Then after that, they have a mid-training stage where they do this context length extension from 4K to 16K.
[00:08:58.000 --> 00:09:03.440]   The interesting thing with all their models, even their reasoning models, like in the reasoning models,
[00:09:03.440 --> 00:09:09.280]   they have four stages of training. So one of the things that they noted was like, you know,
[00:09:09.920 --> 00:09:16.880]   as we do GRPO, we run into like vanishing gradient problems where, you know, at all lengths we have
[00:09:16.880 --> 00:09:23.440]   issues. So at each stage, at each stages of their fixing these problems, how our performance is doing?
[00:09:23.440 --> 00:09:28.240]   How many more points do we get in different benchmarks? Pretty interesting way how they lay
[00:09:28.240 --> 00:09:35.120]   these out. It's just like really a lot of learning. Okay, so 5-3 was two stages.
[00:09:36.320 --> 00:09:44.000]   Phase one was largely filtered web text. Phase two was basically, you know, small subset of reasoning
[00:09:44.000 --> 00:09:51.520]   tokens, basically like the high quality code and math. In this case, they show that web data sets had
[00:09:51.520 --> 00:09:57.280]   small benefits on reasoning heavy benchmarks. Models trained with only synthetic data underperformed on
[00:09:57.280 --> 00:10:01.840]   knowledge heavy benchmarks as well. So, you know, we need to fix these things.
[00:10:01.840 --> 00:10:09.600]   TLDR, here's their data pre-training mixture, where we search over different allocations of tokens coming
[00:10:09.600 --> 00:10:16.560]   from various sources, mainly synthetic, web rewrites, web filtration, divided into reasoning and knowledge
[00:10:16.560 --> 00:10:24.000]   heavy portions, targeted acquisitions and organic data. So math, books, stuff like that, forums, code data.
[00:10:24.000 --> 00:10:31.520]   And then there's a correlation between 7B and 14B models. Basically, they noticed that the scaling was
[00:10:31.520 --> 00:10:37.200]   pretty consistent. So they did a lot of their data pre-training mixtures on a 7B model, and then they
[00:10:37.200 --> 00:10:45.840]   transferred that understanding over to the 14B. Let's go a little bit faster. Here's their subset of the
[00:10:45.840 --> 00:10:51.520]   the final training of their 10B tokens in the pre-training stage. Or I don't know if it's 10B,
[00:10:51.520 --> 00:10:56.880]   because they're still post-training, you know. So like, let's see, probably 95% of the training is
[00:10:56.880 --> 00:11:02.320]   here in pre-training. The interesting thing here is, you know, they have a lot of epochs for different
[00:11:02.320 --> 00:11:09.600]   data. So like synthetic data, even though there's only 290 billion tokens, it's actually 40% of the total
[00:11:09.600 --> 00:11:17.120]   pre-training because they go over it with 14 epochs, basically. But yeah, so to keep everything
[00:11:17.120 --> 00:11:24.080]   general, 30% of the training tokens are for web and web rewrites, namely 1.3 trillion tokens of just
[00:11:24.080 --> 00:11:30.320]   web scraping. Web rewrites are 290 billion tokens, but you know, we do multiple epochs on that. Then
[00:11:30.320 --> 00:11:37.280]   the remaining tokens are largely from synthetic data, which is 40% of that. 20% of this is pure code,
[00:11:37.280 --> 00:11:42.720]   and then acquired sources are, you know, like the stuff that like the textbooks and things like that.
[00:11:42.720 --> 00:11:49.680]   That's most of the pre-training. Then they have their mid-training where they extend context length.
[00:11:49.680 --> 00:11:58.160]   Here is, you know, where they are high quality non-synthetic data sets separate. So they filter out
[00:11:58.160 --> 00:12:05.920]   in these pre-training sets, which one of these samples have long context, right? So in their pre-training,
[00:12:05.920 --> 00:12:13.440]   what is over 8,000 tokens, what is 16,000? Then they upweight subsets that are long, right? Then they do
[00:12:13.440 --> 00:12:22.800]   synthetic data sets to have more than 4k. The data set of this long context extension is 30% newly curated
[00:12:22.800 --> 00:12:32.640]   and 70% of previous stuff from the original pre-training. Then, you know, here's how it performs on different long
[00:12:32.640 --> 00:12:39.120]   context evals. So recall, rag, re-ranking, summarization. Here's how the models actually
[00:12:39.120 --> 00:12:46.000]   perform. And they show pretty good benchmarks on this, you know? And they kind of explain
[00:12:46.000 --> 00:12:50.640]   for people that don't understand what are long context benchmarks. Here's kind of the ones that
[00:12:50.640 --> 00:12:56.240]   exist, right? So recall, this is basically retrieving corresponding value from randomly generated long
[00:12:56.240 --> 00:13:02.800]   files. Rag, answering questions with QA. You know, this is a subset of these data sets.
[00:13:02.800 --> 00:13:09.840]   Re-ranking is, you know, you're given 10 documents and a query. You want to re-rank them. QA is question
[00:13:09.840 --> 00:13:19.680]   answer over long document. Oh, my thing has froze. Okay, never mind. I just decided to break my PDF reader a
[00:13:19.680 --> 00:13:25.760]   little bit. That's cool. Okay, after that, they have post-training. They do DPO. You know, this is
[00:13:25.760 --> 00:13:32.240]   basically, let's make it a chat-tuned model instead of a base model. Interesting thing to note in the paper
[00:13:32.240 --> 00:13:38.800]   this week in the thinking model, one of the approaches that they tried was instead of using the actual 5/4
[00:13:38.800 --> 00:13:45.360]   model, what if we take the base model and not the instruction-tuned model? And what if we do all of our
[00:13:45.360 --> 00:13:51.680]   thinking from there? And they're like, actually, it does pretty well, but not good enough. So, you know,
[00:13:51.680 --> 00:13:56.800]   spoiler, they end up just using their instruction-tuned model. But very open how they do this.
[00:13:56.800 --> 00:14:03.360]   So, you know, they use ChatML, you know, user assistant, they have DPO, they have SFT, they have
[00:14:03.360 --> 00:14:08.880]   multilingual data. This is pretty interesting. They only need 8 billion tokens out of their 10 trillion
[00:14:08.880 --> 00:14:16.880]   during their SFT and post-training, you know. So, DPO is, you know, alignment. SFT is for following
[00:14:16.880 --> 00:14:25.680]   that completion. I think that's basically enough for high-level what's going on in 5/4. Performances are
[00:14:25.680 --> 00:14:32.240]   as you'd expect, you know, it's a 14B. There aren't many 14Bs anymore. They have sections on red teaming,
[00:14:32.240 --> 00:14:37.200]   weakness. They have a lot of, like, just open research. But yeah, that's kind of where they
[00:14:37.200 --> 00:14:43.440]   sit, you know. They have 14B models. They do a lot of filtration. They do pre-training. They have this
[00:14:43.440 --> 00:14:50.480]   set of mid-training. They have SFT. They have DPO. It performs pretty good. It's on par with what you'd
[00:14:50.480 --> 00:14:57.360]   expect, you know. It came out after Quen 2.5B 14 Instruct, so it's slightly better. Better than 5.3,
[00:14:57.360 --> 00:15:04.960]   of course. When you look at stuff like 4.0 Mini or 4.0, you know, in some cases, it's better. On math
[00:15:04.960 --> 00:15:10.320]   and GPQA, they say it's better. Human eval, so coding stuff like this, slightly worse. Simple QA.
[00:15:10.320 --> 00:15:17.600]   One thing that they note, you know, like, in some of the problems with these models is that when you
[00:15:17.600 --> 00:15:23.520]   have factual, like, recollection, they do note that small models just struggle with this, right? Model,
[00:15:23.520 --> 00:15:28.640]   small model can't recognize a bunch of facts, so on QA, it's not the best. Big model will always do
[00:15:28.640 --> 00:15:36.880]   better. But yeah, that's kind of what 5.4 is at a high level. It's cool, you know. It's, like, not
[00:15:36.880 --> 00:15:44.320]   better than LAMA 3.370B, but in some areas it is where, you know, they tried to get this reasoning
[00:15:44.320 --> 00:15:51.360]   data through SFT and SlightDPO with just filtration and a lot of synthetic data. But okay, I will pause
[00:15:51.360 --> 00:15:59.120]   here since that's mostly 5.4. From there, we'll go on to the two reasoning data sets. But any questions,
[00:15:59.120 --> 00:16:06.160]   any thoughts, questions, comments, concerns? Has anyone used it? Probably not. They get some use now,
[00:16:06.160 --> 00:16:12.080]   they're, like, actually hosted by most people. They're on the, they're there through Azure and
[00:16:12.080 --> 00:16:17.040]   stuff, of course. But some people have started using them, you know. But anyway, any questions,
[00:16:17.040 --> 00:16:21.840]   any thoughts? Okay, chat, someone has said something. It's interesting to me, FI reasoning distilled from
[00:16:21.840 --> 00:16:27.600]   O3 and FI 4 mini distilled from DeepSeq. Why they use completely different SFT curated data sets,
[00:16:27.600 --> 00:16:33.520]   also kind of different SFT strategy. Yeah, it's an interesting note that they make. So the papers that
[00:16:33.520 --> 00:16:39.760]   they released this week, let me actually change my screen share real quick. So this came out in
[00:16:39.760 --> 00:16:45.920]   December. They have two models, two models that they released, kind of three, actually. So FI 4 mini
[00:16:45.920 --> 00:16:53.920]   reasoning, this builds on FI 4 mini. So it's actually a three point something B model. Let me check real
[00:16:53.920 --> 00:17:03.360]   quick. This is roughly a 3B model. And they show that, you know, there's a whole different set to getting,
[00:17:03.360 --> 00:17:09.680]   sorry, 3.8 B. There's a whole different formula to getting a small, small model to do reasoning
[00:17:09.680 --> 00:17:15.360]   than there is to getting a large model to do reasoning. So one of the interesting notes that
[00:17:15.360 --> 00:17:22.640]   someone in chat pointed out is that when they do FI 4 mini reasoning, they do their distillation from
[00:17:22.640 --> 00:17:30.080]   DeepSeq. But when they do FI 4 large, the one on the 14 B in the plus, they do it from O1.
[00:17:30.880 --> 00:17:38.720]   Sorry, from O3, O3 mini, which is interesting. Who knows why. But there's so many little gems in this
[00:17:38.720 --> 00:17:46.320]   FI 4 mini reasoning paper. Like, for example, they cite a bunch of recent sources of getting
[00:17:46.320 --> 00:17:53.600]   small models to do reasoning. Basically, they start with DeepSeq R1, right? So DeepSeq R1 had distals.
[00:17:53.600 --> 00:18:00.880]   They had Quen and Llama distals. And they show how they can do better. After that, there was a bunch of
[00:18:00.880 --> 00:18:07.520]   stuff like stuff from OpenHands, stuff from S1. And they make little notes here, right? So like,
[00:18:08.240 --> 00:18:13.520]   there's, there's other things like there's OpenThinker, Bespoke Labs. But one thing that they
[00:18:13.520 --> 00:18:19.280]   noticed was like, if they take the S1 and Limo datasets, S1 was basically, you know, a thousand
[00:18:19.280 --> 00:18:27.200]   samples of reasoning data trained into Quen 32B, I believe, had a really good reasoning model, right?
[00:18:27.200 --> 00:18:34.160]   So a thousand samples is all you need. They show that if they do this SFT on a thousand samples of
[00:18:34.160 --> 00:18:43.440]   their mini 3.8B model, it actually performs worse. So even though it performed well for S1, S1 is where
[00:18:43.440 --> 00:18:48.640]   they did it at 32B. They took a base instruct model. They did a thousand reasoning, high, high quality
[00:18:48.640 --> 00:18:53.680]   reasoning samples. They got reasoning. It worked very well. Benchmarks shot up like crazy. S1 paper
[00:18:53.680 --> 00:18:59.040]   was pretty cool, but pretty basic. They show that if we do the exact same thing on 5.4 mini, so we take a
[00:18:59.040 --> 00:19:06.080]   3.8B model that's competent, good, instruction-tuned, we do a thousand samples of SFT on really good
[00:19:06.080 --> 00:19:13.520]   reasoning data set, our scores actually go down a lot. So base model had a score of 10, 78, 37.
[00:19:13.520 --> 00:19:22.000]   It shot down to 3, 47, 26. So TLDR is, you know, that actually doesn't work. And they, I don't remember,
[00:19:22.000 --> 00:19:26.240]   I was like trying to quote something in this, but they keep saying like, we need to explore a better
[00:19:26.240 --> 00:19:32.080]   recipe for how to do reasoning tiny models. This paper is basically a blueprint for that. But you know,
[00:19:32.080 --> 00:19:39.760]   it is based on DeepSeq. I would assume the reason that they do DeepSeq to answer the question exactly is
[00:19:39.760 --> 00:19:48.960]   because they're specifically comparing their model to Lama 3.8B, the distil, and the Quen distil. So
[00:19:49.600 --> 00:19:55.440]   they're training on both, they're comparing to both distils and, you know, why not use DeepSeq?
[00:19:55.440 --> 00:20:02.080]   But anyway, before we move on to that and then the large one, any questions on regular 5.4?
[00:20:06.160 --> 00:20:12.960]   Okay, we move on. Someone asked about training on synthetic data risk, the effect of hallucinations.
[00:20:12.960 --> 00:20:18.560]   So if you look deeper in there, like synthetic data processing, they have heavy, heavy filtration. So
[00:20:18.560 --> 00:20:26.160]   for some stuff that's questionable, for some stuff that has like good chain of thought, but not the
[00:20:26.160 --> 00:20:30.640]   right final output, they deal with that. But basically, you know, they have verifiable math output,
[00:20:30.640 --> 00:20:37.120]   they have verifiable code. They basically have really good pipelines to test whether outputs are
[00:20:37.120 --> 00:20:43.680]   correct or not. And then this is a lot more shown in the 5.3 paper as well. Is there any justification
[00:20:43.680 --> 00:20:49.840]   on why they did so many epochs in synthetic data or any rationale behind that? So in 5.4, yeah, basically
[00:20:49.840 --> 00:20:55.440]   they're just saying that all their synthetic data is just higher quality, right? So they start here,
[00:20:55.440 --> 00:21:00.400]   I'm sorry, it's a reasoning paper. Basically, they start with the web scrape is decent, we can filter
[00:21:00.400 --> 00:21:05.120]   it down and then expand it, and it's all better quality data. And then in 5.3, they show some of
[00:21:05.120 --> 00:21:12.000]   this too. But the number of epochs is kind of interesting. Specifically, like when they show in
[00:21:12.000 --> 00:21:18.400]   context length extension, something they talk about in a lot of these, and they also do actually mention
[00:21:18.400 --> 00:21:23.680]   this in later, like towards the end, I just don't think it's worth covering since these are more so
[00:21:23.680 --> 00:21:29.760]   reasoning benchmarks. Some of the interesting things that they note is they do like this method of
[00:21:29.760 --> 00:21:39.920]   packing and unpacking prompts. They also show how they'll repeat long context examples that were
[00:21:39.920 --> 00:21:48.800]   done in pre-training. So even their method of multiple epochs is like not necessarily reflecting
[00:21:48.800 --> 00:22:00.320]   the exact number of samples. Although I'm sure it's very minute, in this pre-training, like for example,
[00:22:00.320 --> 00:22:08.560]   the web data has 1.3 trillion tokens and is 1.2 epochs. In the mid-training where they do context length
[00:22:08.560 --> 00:22:16.960]   extension, they once again use the previous samples that had more than 8k context. So they do create
[00:22:16.960 --> 00:22:22.160]   synthetic, but they also reuse. So like, you know, this is a little skewed, but I don't know, they just
[00:22:22.160 --> 00:22:27.040]   show that synthetic data is good. The other nice thing about these papers is that they basically cite
[00:22:27.040 --> 00:22:34.400]   everything. A lot, a lot of citations. But what they show here is like a bunch of synthetic data, model go
[00:22:34.400 --> 00:22:41.600]   good. As you would expect, the reasoning models kind of follow that same trajectory, right? A lot of synthetic
[00:22:41.600 --> 00:22:46.160]   data, model can reason, model get good. But let's start with the mini reasoning model. So
[00:22:46.160 --> 00:22:57.520]   5.4 mini reasoning. This is the 3.8 B reasoning model. Okay, so improving small language model reasoning
[00:22:57.520 --> 00:23:02.320]   remains challenging due to their limited model capability. Also, are we seeing my entire screen?
[00:23:02.960 --> 00:23:10.400]   Okay, we are making sure we're on the right paper. So they kind of bring up R1 distillation, right? So
[00:23:10.400 --> 00:23:15.200]   distillation from LLM generated synthetic data can improve reasoning and they show that
[00:23:15.200 --> 00:23:23.040]   even doing SFT works. So this paper, this work is trying to get a systematic training recipe for
[00:23:23.040 --> 00:23:29.200]   small language models. They have four steps. Step one is large scale mid training on diverse distilled
[00:23:29.200 --> 00:23:36.560]   chain of thought data. Step two is SFT on high quality long chain of thought. Step three is rollout DPO to
[00:23:36.560 --> 00:23:44.400]   leverage carefully curated preference data set. Step four is RL with verifiable reward. So four steps.
[00:23:44.400 --> 00:23:51.600]   here's how we do reasoning on tiny model. And at the end, they show that, you know, their compact 3.8 B
[00:23:51.600 --> 00:23:59.120]   reasoner can outperform distilled reasoning when 7B and distilled reasoning LLM8B by, you know, a little
[00:23:59.120 --> 00:24:06.320]   bit on math. They're starting to do even more and not overfitting here. So they have sections on like
[00:24:06.320 --> 00:24:11.920]   calendar planning and they're like, this is something we didn't explicitly train on at all. We filtered out
[00:24:11.920 --> 00:24:17.520]   data sets in our training, but our models start to generalize. Like they do really good on this task.
[00:24:17.520 --> 00:24:23.440]   And this is something that wasn't trained on at all. Um, basically they validate a carefully designed
[00:24:23.440 --> 00:24:28.240]   training recipe with large scale, high quality chain of thought data is effective to unlock strong
[00:24:28.240 --> 00:24:34.400]   reasoning capabilities, even in reasoning constraints, small models. I don't know what their like team is up
[00:24:34.400 --> 00:24:40.880]   to with chart colors, but here they go all pink and purple. So, um, here's, you know, AIME 24,
[00:24:40.880 --> 00:24:49.200]   math 500, GPQA diamond. Um, the original 5.4 is this shade of purple. Um, the R1 distills,
[00:24:49.200 --> 00:24:54.240]   you know, you can see how they're actually pretty good. So LLM8 and Quinn were pretty good, but hey,
[00:24:54.240 --> 00:24:59.200]   their tiny model at half the parameters can do even better. They're winning. Um, I thought this was
[00:24:59.200 --> 00:25:05.680]   interesting, uh, equal contribution for everyone except the first and last two authors. Screw the others.
[00:25:05.680 --> 00:25:10.960]   They, they, they're just listed first, but not equal contribution. Um, those charts are pink.
[00:25:10.960 --> 00:25:18.720]   These charts are colorful and different, but okay. Back to this. Um, I feel like me sitting here and
[00:25:18.720 --> 00:25:25.440]   reading through charts is useless. Um, but you know, oh no, my reader is broken. Okay. If interested,
[00:25:26.000 --> 00:25:33.680]   of how they perform small models, it's interesting how they, they put, uh, 4.0 mini kind of under the
[00:25:33.680 --> 00:25:42.160]   small model section instead of large models, uh, and 4.0 here, we don't really know how big 4.0 mini is,
[00:25:42.160 --> 00:25:52.080]   but, um, it's there nonetheless. Um, Oh, wrong, wrong chart. My bad. Let me go back to this. Okay.
[00:25:52.080 --> 00:25:57.520]   Okay. Sorry. Wrong chart. Okay. Um, basically they start off with their intro. They're like, uh,
[00:25:57.520 --> 00:26:03.760]   chain of thought is a way to do reasoning steps. It's cool. Uh, they say that small language models
[00:26:03.760 --> 00:26:09.600]   struggle with chain of thought. I thought that's kind of interesting. Um, enhancing reasoning capabilities
[00:26:09.600 --> 00:26:15.120]   is easier for language models for large language models due to extensive capability. It remains
[00:26:15.120 --> 00:26:21.440]   challenging for small reasoning models. Um, deep seek R1 shows that non-logit level distillation,
[00:26:21.440 --> 00:26:28.640]   basically just SFT with synthetic data makes a good reasoning performance. Then they cite all the other
[00:26:28.640 --> 00:26:36.560]   stuff. Um, then they show the other people. So, you know, um, bespoke studio, bespoke labs, 7b open thinker,
[00:26:36.560 --> 00:26:48.480]   7b. Uh, they show that, um, they can do this with SFT. Um, some people suggest GRPO deep scaler does S1 and LIMO,
[00:26:48.480 --> 00:26:55.360]   um, show that, you know, small samples, even a thousand sets, a thousand samples can do good reasoning.
[00:26:55.360 --> 00:27:04.400]   Okay. Um, rather than focusing on isolated techniques, we explore training paradigms specifically tailored for
[00:27:04.400 --> 00:27:12.800]   small language models. So, um, they have two stages of distillation followed by rollout-based learning
[00:27:12.800 --> 00:27:19.840]   that reuses wrong LLM-generated samples and concludes with RL with verifiable reward. Initially, we employ
[00:27:19.840 --> 00:27:25.280]   a distillation as mid-training mechanism to embed foundation models with reasoning capabilities.
[00:27:25.280 --> 00:27:32.320]   Then they apply distillation again in fine tuning to further improve generalization. Uh, then there's LLM rollout
[00:27:32.320 --> 00:27:37.680]   out sampling for distillation. Incorrect outputs are typically discarded. However, they want to still
[00:27:37.680 --> 00:27:45.760]   use them. So they have this way of doing this, um, set. They, they take, uh, a sort of RL approach where
[00:27:45.760 --> 00:27:53.840]   they have it optimized, um, long. So if the answer is incorrect, it should still think a lot for incorrect
[00:27:53.840 --> 00:27:59.840]   examples. And then they want conciseness on correct examples and stuff. They talk about this later. Then they
[00:27:59.840 --> 00:28:07.760]   fine tune it with RL for final correctness, um, outcomes, five, four reasoning. Okay. More background, um,
[00:28:07.760 --> 00:28:13.120]   optimal distillation strategy for small models still unexplored. They keep repeating this,
[00:28:13.120 --> 00:28:22.160]   um, you know, data diversity. Uh, so they showed that, you know, um, data diversity and quality
[00:28:22.160 --> 00:28:30.400]   is very important. Applying isolated techniques degrades performance. So they tried S1 on 5-4 mini went down,
[00:28:30.400 --> 00:28:37.680]   which I thought is pretty crazy. Um, their goal is to once again, comprehensive efficient training recipe
[00:28:37.680 --> 00:28:44.400]   for small language models. So, um, non-reasoning models require a pre, uh, mid training stage to
[00:28:44.400 --> 00:28:49.840]   absorb a large volume of rate reasoning trajectories before additional techniques are applied. So once
