
[00:00:00.000 --> 00:00:07.520]   I actually want to share my entire screen for a second. So Magistral is kind of Mistral's
[00:09:23.120 --> 00:09:30.720]   notable improvements in some. So, um, just since like the models were natively multimodal, um,
[00:09:31.360 --> 00:09:37.120]   this reasoning sort of transferred over the model transfers, it's extended thinking across all, all,
[00:09:37.120 --> 00:09:43.520]   um, modalities. Very interesting. And then this is part of their future work directions. Uh, some of
[00:09:43.520 --> 00:09:49.120]   the questions that they should work on later, uh, looking ahead, we're also excited to push the
[00:09:49.120 --> 00:09:55.840]   boundaries of RL across whole range of applications, including tool use, um, integrated multimodality,
[00:09:55.840 --> 00:10:01.840]   and agents. So they want to do multimodal reasoning down the line, um, and agents and tool use. But
[00:10:01.840 --> 00:10:08.720]   interesting little takeaway, right? Without, um, without any multimodal data, they were able to get
[00:10:08.720 --> 00:10:16.400]   better multimodal preference just by having, um, text reasoning because it's all in the same latent space
[00:10:16.400 --> 00:10:23.920]   in the end of the day. Then of course, um, they, they give, um, weights small model as open source.
[00:10:23.920 --> 00:10:30.080]   Then they, there was basically like prior to this, there was this kind of notion of for small models,
[00:10:30.080 --> 00:10:36.720]   it's not worth doing RL. You would want to always have a big model and distill and they want to challenge
[00:10:36.720 --> 00:10:43.760]   that claim. So they want to see whether RL can improve on distillation, SFT baseline of small models.
[00:10:43.760 --> 00:10:50.720]   So basically we show that, um, yes, RL is very competitive in some cases better, but harder to
[00:10:50.720 --> 00:10:55.760]   do. Um, for those that don't stick around through the whole thing, I guess the other takeaway with this
[00:10:55.760 --> 00:11:02.720]   model is how much data filtration they do. So like a distinction between the two papers, um, small LLM
[00:11:02.720 --> 00:11:09.520]   uses a lot of preexisting data sets. Mistral basically parses through and data filters everything,
[00:11:09.520 --> 00:11:18.960]   everything. So I only have, um, purple highlighting for data set stuff, but basically for math and code,
[00:11:18.960 --> 00:11:25.600]   is this just math? Yeah. So for the, for the math data set, they start with 700,000 samples. They have
[00:11:25.600 --> 00:11:31.440]   like two stages of filtering we're getting to. Getting rid of formatting stuff, they cut down 100,000. In the
[00:11:31.440 --> 00:11:38.400]   end with their difficulty filtering, they only have 5% of the data left. So they cut from 700,000 to 38,000.
[00:11:38.400 --> 00:11:43.840]   They cut 95% out. Same thing with code. Um, how much do they start with? I don't know how much they
[00:11:43.840 --> 00:11:49.200]   start with, but they cut a lot. They only use 35k code samples. So Mistral basically like, I don't know
[00:11:49.200 --> 00:11:55.600]   if all this stuff transfers over like their claims or it's just, Hey, we can do really, really good data
[00:11:55.600 --> 00:12:01.840]   set filtration, but okay. Enough, enough background yapping. Let's get into these papers. Um, I don't
[00:12:01.840 --> 00:12:07.920]   really like covering benchmarks in my paper yaps. Cause you know, you can read a number always go up.
[00:12:07.920 --> 00:12:14.720]   Benchmarks are a scam. Um, interesting stuff compared to DeepSeq. They don't need to do a cold start.
[00:12:14.720 --> 00:12:21.040]   Cold start is basically before your RL, you take a reasoning chain of thought traces, you do an SFT.
[00:12:21.040 --> 00:12:25.760]   So the model starts to understand reasoning structure. Then you do RL. Um, forget that.
[00:12:25.760 --> 00:12:34.160]   We just do, we just do straight RL. It works. Um, isn't QN3, 4B fully open source to wait? Yeah,
[00:12:34.160 --> 00:12:38.560]   quite an open source, but we don't have training code. We don't have the data set. We don't have
[00:12:38.560 --> 00:12:43.280]   all the ablations. There's a lot of that stuff. You know, uh, we need an LLM to show benchmarks for
[00:12:43.280 --> 00:12:49.920]   models that are not shown because they don't look favorable. Yes. I think that's interesting. So like
[00:12:49.920 --> 00:12:57.600]   my takeaway here as well, um, they, they, they look at like three Bs, four Bs, but you know,
[00:12:57.600 --> 00:13:01.520]   I want to see some more, I want to see seven Bs, eight Bs. I want to see the other ones that aren't
[00:13:01.520 --> 00:13:10.320]   on here. I want to see the 0.5 Bs. Um, yeah, that's, that's always useful. Okay. So RL, infra,
[00:13:10.320 --> 00:13:17.600]   performance. This is basically all the sections. So guess what? RL is back. They do GRPO. Uh, GRPO for
[00:13:17.600 --> 00:13:23.520]   those that don't know is group relative policy optimization. It's basically what deep seat said
[00:13:23.520 --> 00:13:30.400]   we can do instead of all this fancy, um, reward modeling, like policy modeling training, like good,
[00:13:30.400 --> 00:13:36.320]   all that stuff. What we basically do is we just generate a bunch of samples and then we kind of, um,
[00:13:36.560 --> 00:13:42.400]   reward based on what does best out of this like goal of optimization. So use the average award for
[00:13:42.400 --> 00:13:47.680]   multiple generations per prompt from the policy to compute a baseline for advantage calculation. So
[00:13:47.680 --> 00:13:54.240]   generate a bunch of samples, group, uh, group relative. So what's relatively the better outcome
[00:13:54.240 --> 00:14:01.520]   in that group and then reward for that. Here's GRPO in fancy math definitions. I think it's pretty useful,
[00:14:01.520 --> 00:14:08.160]   like send this section and like screenshot this into chat GPT or Claude, I guess, uh, I used to GPT and
[00:14:08.160 --> 00:14:13.280]   just have it explained through math formula. It's kind of useful to follow through. All these are like
[00:14:13.280 --> 00:14:18.480]   pretty easy functions. Once you understand what they all do, there's KL divergence penalties,
[00:14:18.480 --> 00:14:23.200]   all that stuff. They kind of get rid of that. So here's what they did. Here are the modifications to
[00:14:23.200 --> 00:14:31.120]   GRPO that they do. One, get rid of KL divergence. Um, KL divergence penalty constrains it from deviating too
[00:14:31.120 --> 00:14:37.120]   far from a reference policy. So basically we have KL divergence, so we don't, we don't like venture too
[00:14:37.120 --> 00:14:44.880]   far and kind of just generate noise. They find that with, um, GRPO this kind of happens anyway. So they get
[00:14:44.880 --> 00:14:51.840]   rid of it because KL computation incurs compute costs that's unjustified, right? Um, get rid of that for
[00:14:51.840 --> 00:14:58.160]   inference like training efficiency, not training efficiency, just efficiency of GPU usage. Okay.
[00:14:58.160 --> 00:15:05.680]   Uh, loss norm to avoid length bias. They have a loss normalization. So basically
[00:15:05.680 --> 00:15:13.280]   they normalize basically on an average length generation. So you're not penalized for being too short or too long.
[00:15:13.280 --> 00:15:21.760]   Uh, makes sense. Advantage normalization as you would expect. Okay. Uh, relaxing the trust region upper bound.
[00:15:21.760 --> 00:15:24.800]   This is basically allowing again for more, um,
[00:15:24.800 --> 00:15:30.480]   more variability and allowing for more exploration. They do a lot of that.
[00:15:30.480 --> 00:15:34.240]   Eliminating non-diverse groups. So, um,
[00:15:34.240 --> 00:15:41.760]   we filter out all groups with zero advantage. Basically if there's outputs where there's like no significant
[00:15:41.760 --> 00:15:47.360]   difference. If all answers are correct or all are wrong, we just filter them out and then net the
[00:15:47.360 --> 00:15:55.040]   reward to zero. Uh, reward shaping during training, dah, dah, dah, dah. Oh, okay. So that's, that's kind of,
[00:15:55.040 --> 00:16:01.520]   those are the four or five main changes to GRPO. Um, then it comes to reward shipping. How do they do this?
[00:16:01.520 --> 00:16:09.360]   Okay. So we have, uh, formatting. So choosing the appropriate reward is very crucial when you do RL.
[00:16:09.360 --> 00:16:14.880]   So we want our stuff to be verifiable, right? All the, all the training they do is with verifiable
[00:16:14.880 --> 00:16:20.240]   reward. So how do we verify that the output is correct? One, we have think tags and they make
[00:16:20.240 --> 00:16:24.720]   sure that there's exactly one set of think tags and then they look at the thinking in the middle. So
[00:16:25.280 --> 00:16:31.360]   your thinking should be between think and close think, and you must start with a think tag for math.
[00:16:31.360 --> 00:16:39.040]   You must end your answer in a box. Um, this follows the think tag for code. Uh, you must have one bark
[00:16:39.040 --> 00:16:45.520]   down markdown block followed by the language specification. And then, um, you know, if you
[00:16:45.520 --> 00:16:49.920]   don't do any of these, so if you're formatting is wrong, instant reward zero, you're cooked.
[00:16:49.920 --> 00:16:55.600]   Otherwise you get slight reward preference. So you learn to use it. Okay. Um, that's formatting. They
[00:16:55.600 --> 00:17:01.280]   give the whole system prompt and they talk about it quite a bit. Okay. Correctness. So math correctness,
[00:17:01.280 --> 00:17:06.960]   they use a rule-based verifier reward of 0.9 is given. If the answer is correct, making the total
[00:17:06.960 --> 00:17:12.800]   reward one, uh, as you would expect, this is the biggest portion of the reward, right? If your answer is
[00:17:12.800 --> 00:17:18.880]   correct, you're good. Uh, if your answer is in the right format, you'll have slightly more reward.
[00:17:18.880 --> 00:17:23.360]   If it's in the wrong format, you're completely cooked it to zero. Code correctness, same thing.
[00:17:23.360 --> 00:17:29.440]   Uh, they, they check if it can compile with a timeout of 10 seconds. They, they randomly, so they,
[00:17:29.440 --> 00:17:36.240]   they talk about this later in the dataset selection. Uh, they want code that has tests. If it doesn't have
[00:17:36.240 --> 00:17:42.400]   tests, they make tests. If it has tests that seem wrong, they fix the test. They randomly select,
[00:17:42.800 --> 00:17:49.840]   um, tests that are available to test it. And then, you know, if correct, you get reward. Basic RL,
[00:17:49.840 --> 00:17:56.560]   right? Um, if you're, so, so far we're at two things. Uh, formatting is a non-negotiable. If your
[00:17:56.560 --> 00:18:01.440]   formatting is wrong, your reward is directly zero. If it's correct, you get a slight reward. Answer
[00:18:01.440 --> 00:18:06.240]   correctness. If your answer is correct, you get big reward. This is kind of the main thing. Okay. Length
[00:18:06.240 --> 00:18:10.800]   penalty. They have slow, uh, they have soft length penalties. And as you would expect,
[00:18:10.800 --> 00:18:15.200]   there are penalties. You're out of distribution with length, you're cooked. Okay. Language
[00:18:15.200 --> 00:18:21.200]   consistency. This is one of those key points that they wanted to mention, right? So, um, one of the,
[00:18:21.200 --> 00:18:26.240]   one of the main things they did here is we present a simple yet effective strategy to make the model
[00:18:26.240 --> 00:18:30.640]   multilingual, where both the chain of thought and the final response are in the user language. So, how do
[00:18:30.640 --> 00:18:37.280]   they do this? Um, duh, duh, duh, duh, duh. Okay. So, a core design principle is for to reason in the
[00:18:37.280 --> 00:18:42.800]   same language as the user. We frequently observed outputs mixed in English, Chinese, and Russian.
[00:18:42.800 --> 00:18:48.560]   Uh, they were coherent, but they're not what we want, right? They're undesirable. If I ask something in
[00:18:48.560 --> 00:18:53.680]   Chinese, I don't want it to think in Russian. If I ask for English, I still want the thought traces,
[00:18:53.680 --> 00:18:57.280]   and I want to be able to read them, and I want them in English, right? I don't want them in Chinese.
[00:18:57.280 --> 00:19:04.080]   So, to prevent this, um, they translated their problems into different languages. So,
[00:19:04.080 --> 00:19:09.680]   they take 10% of the data set, translate it into French, Spanish, Italian, German, Chinese, Russian.
[00:19:09.680 --> 00:19:16.080]   Then they calculate the, when calculating the reward, they, they have a classifier that basically checks
[00:19:16.080 --> 00:19:22.640]   if all three parts are, um, in the same language. Three parts being problem, thought, and answer. So,
[00:19:23.600 --> 00:19:28.560]   does your problem, thought, and answer match its same language? They check this by, uh,
[00:19:28.560 --> 00:19:34.400]   doing, you know, normalization or moving latex code blocks. Then they do a fast text classifier. So,
[00:19:34.400 --> 00:19:40.640]   oh, shit. Um, they just check, you know, is all, are all three in the correct language? If they are,
[00:19:40.640 --> 00:19:45.200]   you get like a 0.1 reward bonus, I think. Let's double check that.
[00:19:48.320 --> 00:19:54.560]   da, da, da, da, da. Classifier. Where is it? Yeah. So, um, if the classifier indicates that all three
[00:19:54.560 --> 00:19:58.880]   parts are in the same language, so the problem, the thinking, and the answer, you get a little bit more
[00:19:58.880 --> 00:20:04.080]   reward. Similar to if your answer is boxed, you got a little bit more reward. Now, this is not as
[00:20:04.080 --> 00:20:10.640]   impactful as getting the right answer, but it is slight reward. And with enough data, um, the model starts to
[00:20:10.640 --> 00:20:15.840]   understand that, you know, I'll get rewarded for staying consistent and that just solves the problem.
[00:20:15.840 --> 00:20:21.120]   So simple solution solves reasoning and thinking in the right language. Um, little note here,
[00:20:21.120 --> 00:20:26.640]   they only translated English problems. They didn't translate like French problems to English. They
[00:20:26.640 --> 00:20:30.800]   didn't do a crazy mixture. Very simple solution. Just take 10% of your English, translate it to a few
[00:20:30.800 --> 00:20:37.040]   languages. The model has generalized that if it stays consistent, it gets rewarded. Now it stays consistent.
[00:20:37.040 --> 00:20:42.240]   Very straightforward, simple solution, but elegant and works. And this is kind of power of RL, right?
[00:20:42.240 --> 00:20:46.080]   Little reward for doing what you want and you don't need to go crazy and it just works.
[00:20:46.080 --> 00:20:52.240]   If this was like traditional pre-training or SFT, you would have to do all the languages and all these
[00:20:52.240 --> 00:20:57.760]   mixtures and keep it consistent. And like, you know, traditional ML, you have to like have good
[00:20:57.760 --> 00:21:03.520]   distribution spread, but no, it's RL. Just give little reward for consistency and it generalizes to
[00:21:03.520 --> 00:21:10.880]   be inconsistent. RL very strong. Okay. System prompt. Um, they, they know, does this cause a drop in
[00:21:10.880 --> 00:21:16.560]   reasoning performance like R1? No, it doesn't. Um, reasoning performance stays, uh, performance stays
[00:21:16.560 --> 00:21:22.720]   consistent. I think they have this in section six in the ablation. I'll, I'll bring it up later
[00:21:22.720 --> 00:21:28.720]   if you can remind me. Okay. Next section, system prompt. Um, they find that RL is quite sensitive to
[00:21:28.720 --> 00:21:33.920]   their system prompt. And then I think their system prompt is a little too overfit, but what do I know?
[00:21:33.920 --> 00:21:41.360]   I'm not mistral. So they add stuff like be as casual as you want. This increases entropy, meaning it's
[00:21:41.360 --> 00:21:46.720]   allowed to explore a little bit more and it proves, yeah, it improves exploration. Here is the system
[00:21:46.720 --> 00:21:53.680]   prompt. So, um, you know, your thinking process must follow the, the think, the template, think your thoughts,
[00:21:53.680 --> 00:22:02.640]   then provide a concise summary of your reasoning and the final answer. Uh, oh, B is casual or causal?
[00:22:02.640 --> 00:22:08.960]   Oh, causal. I see. I see. I see. I see. Um, okay. You're so a user. It's casual. It's casual. It's
[00:22:08.960 --> 00:22:14.480]   casual. You're actually right. I just, I couldn't believe it. I think causal is better. Casual just
[00:22:14.480 --> 00:22:20.240]   means be chill bro. You know, be chill bro. But yeah, be chill made it reason better. But like,
[00:22:20.240 --> 00:22:25.760]   it's interesting if that's what you want and not even just that, like here, they even ask you, like
[00:22:25.760 --> 00:22:31.840]   they, they remind it to, what is it? Write your thoughts in the same language. Right? So we thought
[00:22:31.840 --> 00:22:39.120]   RL was enough to tell it to just like, okay, stick in reasoning, stick in your language. No, we must also
[00:22:39.120 --> 00:22:44.400]   prompt it again. Uh, you know, keep your thoughts in the same language and then yeah, be casual.
[00:22:44.400 --> 00:22:51.120]   That's cool. So, okay. Um, a user will ask you to solve a task. You should first draft your thinking
[00:22:51.120 --> 00:22:55.920]   process, your inner monologue. It tells it that it's an inner monologue. I think, uh, you know,
[00:22:55.920 --> 00:23:01.520]   in the long scheme of things on billions of tokens, do we need to remind it that thinking is an inner
[00:23:01.520 --> 00:23:07.200]   monologue? I think not, but I'm clearly not a prompt engineer like them. Uh, until you have
[00:23:07.200 --> 00:23:12.640]   drawn the final answer afterwards, write a summary of your thoughts. So yeah, then, you know, I think
[00:23:12.640 --> 00:23:16.560]   we should actually read the whole thing. I shouldn't skip through this. You should use markdown and latex
[00:23:16.560 --> 00:23:22.160]   to format your response. Your thinking should be in this think tags, your thoughts or draft. Also, I
[00:23:22.160 --> 00:23:27.520]   thought this is interesting. I don't know if this is just European. Uh, normally we see and slash or not
[00:23:27.520 --> 00:23:34.400]   or slash and, but you know, this model has seen or slash and much more. So interesting little stuff.
[00:23:34.400 --> 00:23:39.840]   B is casual and as long as you want until you are confident to generate a correct answer.
[00:23:39.840 --> 00:23:46.800]   I thought this is a bit much, but what do I know? Okay. After thinking. Yeah.
[00:23:46.800 --> 00:23:54.320]   Yeah. I, I think like the way they put problem call in and then stuff, I find it like weird. Shouldn't
[00:23:54.320 --> 00:23:58.000]   the model learn that the problem comes after the tag for the user role?
[00:23:58.000 --> 00:24:05.520]   Student. Uh, I mean, this is just pretty common. I don't, I don't think it's crazy. Most, most system
[00:24:05.520 --> 00:24:10.240]   prompts have something like this. Um, I guess it could not be problem. It could be like useful
[00:24:10.240 --> 00:24:15.440]   assistant, user call in great, but I don't know. This is what they do. The other one uses chat ML, um,
[00:24:15.440 --> 00:24:22.560]   more standard prompt format, but I didn't dwell as much there. If anyone else has thoughts, let's,
[00:24:22.560 --> 00:24:28.080]   let's discuss or just take it to chat. Okay. Um, sorry, I'm going to go a little quick because this
[00:24:28.080 --> 00:24:32.560]   is quite a long paper. There's still, there's still fun stuff in here. Uh, same, same system
[00:24:32.560 --> 00:24:37.200]   prompt for math and coding. Uh, the other interesting thing note here is their reasoning is only math
[00:24:37.200 --> 00:24:46.160]   and coding. Um, yeah, that's, that's what it is. Um, but it's all text. Okay. So infrastructure,
[00:24:46.160 --> 00:24:51.360]   this is a very fun section that I don't think any other paper really covers. Here's how to do like very
[00:24:51.360 --> 00:24:59.520]   large scale, um, RL on a lot of GPUs. Sorry. I've clicked a citation. Let me come back.
[00:24:59.520 --> 00:25:09.520]   Okay. RL. So, um, we adopt the distributed RL training similar to prior works. You should read
[00:25:09.520 --> 00:25:14.800]   these works if you're interested. That coordinates three types of workers. So trainers, trainers maintain
[00:25:14.800 --> 00:25:20.320]   copy of all the model weights and perform gradient updates. Generators are kind of doing these rollouts
[00:25:20.320 --> 00:25:26.080]   that use the latest policy to return completions with log probs from the training prompt. So basically
[00:25:26.080 --> 00:25:32.800]   prompt generators are doing a bunch of rollouts for GRPO. Here's, you know, 10 outputs. Generators
[00:25:32.800 --> 00:25:38.080]   are doing inference. Trainers are doing, uh, they're, they're keeping the model weights and doing, uh,
[00:25:38.080 --> 00:25:44.000]   gradient outputs. Verifiers. Verifiers are the ones verifying the output. So this is also not like,
[00:25:44.000 --> 00:25:49.280]   you know, this is like that, um, the classifier that checks for output, checks for
[00:25:49.280 --> 00:25:55.040]   consistency, checks if code compiles, checks if test pass, checks if the output is boxed. There are
[00:25:55.040 --> 00:26:00.320]   verifiers as well. So these are kind of the three kinds of workers that they need all in sync. And this
[00:26:00.320 --> 00:26:04.880]   is not like little, you know, okay, I'm running this on like one node. I'm okay with inefficiency.
[00:26:04.880 --> 00:26:11.360]   This is like, I'm training on tens of billions of tokens. And I don't want to waste like multiple,
[00:26:11.360 --> 00:26:17.600]   multiple nodes of, um, very expensive GPUs. So how do we optimize all this? It's very interesting. They're
[00:26:17.600 --> 00:26:23.040]   completely fine with stuff being like out of sync and shit just generalizes. Okay. So challenges with
[00:26:23.040 --> 00:26:28.320]   distributed RL. Generators are a significant part of the total compute and the part that's unique to
[00:26:28.320 --> 00:26:33.520]   online RL, right? Online RL being that the model is kind of doing this self-play, right? It's generating
[00:26:33.520 --> 00:26:39.760]   and then it's being, it's being graded on the output. So you're actually doing a lot of inference.
[00:26:39.760 --> 00:26:46.080]   Generators are kind of like the inference boxes, right? Uh, their workload is highly heterogeneous and hard to
[00:26:46.080 --> 00:26:52.480]   predict as the distribution of sequence lengths is highly skewed, right? Some outputs might be short and
