
[00:00:00.000 --> 00:00:01.000]   Okay, great, great.
[00:03:08.000 --> 00:03:12.000]   about what exactly are nested quantifiers.
[00:03:12.000 --> 00:03:13.000]   So due to time constraints,
[00:03:13.000 --> 00:03:17.000]   I'll just move on to the first task created by the authors.
[00:03:17.000 --> 00:03:19.000]   So the first task is called 3SUM.
[00:03:19.000 --> 00:03:22.000]   Basically, it's that you have a following list of numbers
[00:03:22.000 --> 00:03:25.000]   and you want to check if there's a group of three numbers
[00:03:25.000 --> 00:03:29.000]   inside that list that adds up to 0 modulo 10.
[00:03:29.000 --> 00:03:31.000]   So the example question is that
[00:03:31.000 --> 00:03:34.000]   you have a list of 2, 3, 5, 7, 1, 8,
[00:03:34.000 --> 00:03:37.000]   and the answer could be like 2, 3, 5 or 2, 7, 1
[00:03:37.000 --> 00:03:40.000]   because the result will be 10.
[00:03:40.000 --> 00:03:44.000]   And 10 divided by 10, the remainder is 0.
[00:03:44.000 --> 00:03:48.000]   And for the second task, it's called 2SUM transform,
[00:03:48.000 --> 00:03:52.000]   which is also regarding a sequence of numbers.
[00:03:52.000 --> 00:03:54.000]   And basically, they have one list
[00:03:54.000 --> 00:03:56.000]   and then they have a hidden transform list.
[00:03:56.000 --> 00:03:59.000]   Basically, using the original list,
[00:03:59.000 --> 00:04:01.000]   and then they are adding some form of permutation
[00:04:01.000 --> 00:04:03.000]   to each element in that list,
[00:04:03.000 --> 00:04:05.000]   and that permutation is only revealed at the end.
[00:04:05.000 --> 00:04:07.000]   So for example, you have an original list
[00:04:07.000 --> 00:04:12.000]   and then you are +3 to each number in the transform list.
[00:04:12.000 --> 00:04:16.000]   And then what this task actually requires
[00:04:16.000 --> 00:04:20.000]   is that it requires model to remember transformation information
[00:04:20.000 --> 00:04:25.000]   and how to integrate this in its computational thinking process.
[00:04:25.000 --> 00:04:30.000]   So let me move on to the experiment section of the paper.
[00:04:30.000 --> 00:04:33.000]   So basically, the authors are using some form of scaled-down,
[00:04:33.000 --> 00:04:37.000]   randomly-initialized LAMA model in their training process
[00:04:37.000 --> 00:04:41.000]   using three different model configuration for the setup.
[00:04:41.000 --> 00:04:45.000]   And the first configuration is basically using filler tokens,
[00:04:45.000 --> 00:04:48.000]   basically a series of dots as intermediate tokens
[00:04:48.000 --> 00:04:51.000]   between the input tokens and the output tokens.
[00:04:51.000 --> 00:04:54.000]   Now, the second configuration is that instead of using dots,
[00:04:54.000 --> 00:04:57.000]   they are using the chain of thought reasoning tokens
[00:04:57.000 --> 00:04:59.000]   as the intermediate tokens.
[00:04:59.000 --> 00:05:02.000]   Now, the third configuration is the sort of like the control setup
[00:05:02.000 --> 00:05:08.000]   where there are no filler tokens in between the input and output.
[00:05:08.000 --> 00:05:11.000]   And then the results show that for the threesome task,
[00:05:11.000 --> 00:05:14.000]   the first task created by the authors,
[00:05:14.000 --> 00:05:18.000]   as the length of the sequence of numbers increases,
[00:05:18.000 --> 00:05:20.000]   the difference in performance
[00:05:20.000 --> 00:05:23.000]   between the configuration with the filler tokens
[00:05:23.000 --> 00:05:25.000]   and the one with no filler tokens
[00:05:25.000 --> 00:05:29.000]   actually widens the gap quite drastically.
[00:05:29.000 --> 00:05:33.000]   And then this basically shows that as the task complexity increases,
[00:05:33.000 --> 00:05:36.000]   the filler tokens actually do contain
[00:05:36.000 --> 00:05:40.000]   some form of task-related information.
[00:05:40.000 --> 00:05:44.000]   And the next figure is talking about a different experiment
[00:05:44.000 --> 00:05:46.000]   which is basically the authors trying to freeze
[00:05:46.000 --> 00:05:49.000]   all the previous models of the transformer
[00:05:49.000 --> 00:05:52.000]   and only preserving the final attention layer.
[00:05:52.000 --> 00:05:54.000]   And then basically, they are trying to prove that
[00:05:54.000 --> 00:05:56.000]   whatever changes they make in the final layer,
[00:05:56.000 --> 00:05:59.000]   this will cause the results to change.
[00:05:59.000 --> 00:06:02.000]   Basically, the performance improvements or performance changes
[00:06:02.000 --> 00:06:06.000]   are only resulting from the changes in the final layer.
[00:06:06.000 --> 00:06:08.000]   So in the final layer, what they tried is that
[00:06:08.000 --> 00:06:11.000]   they tried to increase the percentage of filler tokens
[00:06:11.000 --> 00:06:12.000]   in the final layer.
[00:06:12.000 --> 00:06:14.000]   And they've seen that in their tasks,
[00:06:14.000 --> 00:06:19.000]   actually it increases the accuracy up to like 100%.
[00:06:19.000 --> 00:06:22.000]   And then it increases sharply
[00:06:22.000 --> 00:06:25.000]   from 60% of the filler tokens kept
[00:06:25.000 --> 00:06:28.000]   until it tapers off and then it has some diminishing returns
[00:06:28.000 --> 00:06:31.000]   past the 60% mark.
[00:06:31.000 --> 00:06:33.000]   Now, for the two-sum transform task,
[00:06:33.000 --> 00:06:34.000]   which is the second task,
[00:06:34.000 --> 00:06:37.000]   the author lays down a table with comparing the chain of thought,
[00:06:37.000 --> 00:06:41.000]   the filler tokens, and the no-tokens configuration.
[00:06:41.000 --> 00:06:44.000]   And then this shows that, yeah, as expected,
[00:06:44.000 --> 00:06:48.000]   the chain of thought is still triumphing at the very top.
[00:06:48.000 --> 00:06:51.000]   And the filler token is sort of getting quite close
[00:06:51.000 --> 00:06:53.000]   to the chain of thought reasoning tokens
[00:06:53.000 --> 00:06:58.000]   while the no-tokens is showing like a 78% accuracy.
[00:06:58.000 --> 00:07:04.000]   Now, both of the aforementioned configurations
[00:07:04.000 --> 00:07:06.000]   are noticeably exceeding the performance
[00:07:06.000 --> 00:07:09.000]   of no intermediate tokens.
[00:07:09.000 --> 00:07:12.000]   And some additional insight that the author
[00:07:12.000 --> 00:07:14.000]   actually found out in their experiment is that
[00:07:14.000 --> 00:07:17.000]   they, before using the filler tokens
[00:07:17.000 --> 00:07:19.000]   to replace the intermediate tokens,
[00:07:19.000 --> 00:07:22.000]   they actually needed the chain of thought configuration
[00:07:22.000 --> 00:07:25.000]   to be set up to see how the chain of thought tokens
[00:07:25.000 --> 00:07:27.000]   are placed as the intermediate tokens
[00:07:27.000 --> 00:07:30.000]   before directly replacing one-to-one
[00:07:30.000 --> 00:07:32.000]   with the filler tokens.
[00:07:32.000 --> 00:07:35.000]   So this basically means that this is actually quite challenging.
[00:07:35.000 --> 00:07:37.000]   This is a quite challenging learning problem
[00:07:37.000 --> 00:07:39.000]   whereby prior knowledge of how to put
[00:07:39.000 --> 00:07:41.000]   the intermediate tokens are needed
[00:07:41.000 --> 00:07:44.000]   before you can use the filler tokens.
[00:07:44.000 --> 00:07:46.000]   This also implies that the filler tokens must be placed
[00:07:46.000 --> 00:07:49.000]   in some particular arrangement or configuration
[00:07:49.000 --> 00:07:52.000]   in order to showcase good performance.
[00:07:52.000 --> 00:07:55.000]   So, at the end of the paper,
[00:07:55.000 --> 00:07:59.000]   some food for thought is basically saying that
[00:07:59.000 --> 00:08:01.000]   the experiment results imply that
[00:08:01.000 --> 00:08:03.000]   although filler tokens do not contain
[00:08:03.000 --> 00:08:05.000]   any semantic information or instructions
[00:08:05.000 --> 00:08:07.000]   for the language models to follow,
[00:08:07.000 --> 00:08:10.000]   they still contain some form of structural information
[00:08:10.000 --> 00:08:12.000]   or synthetic information.
[00:08:12.000 --> 00:08:15.000]   So, a possible question is that
[00:08:15.000 --> 00:08:17.000]   why use dots as the filler tokens?
[00:08:17.000 --> 00:08:20.000]   We can also use other kinds of tokens, right?
[00:08:20.000 --> 00:08:22.000]   As long as the tokens do not really contain
[00:08:22.000 --> 00:08:24.000]   any kind of semantic meaning,
[00:08:24.000 --> 00:08:27.000]   it could all be valid choices for the model.
[00:08:27.000 --> 00:08:28.000]   So, I would love to see that maybe
[00:08:28.000 --> 00:08:30.000]   we can try different types of tokens
[00:08:30.000 --> 00:08:33.000]   to see if there are any different kinds of results.
[00:08:33.000 --> 00:08:35.000]   Although dot tokens are technically filler tokens,
[00:08:35.000 --> 00:08:37.000]   but they also do serve as some form of
[00:08:37.000 --> 00:08:39.000]   ellipses in the English language,
[00:08:39.000 --> 00:08:43.000]   acting as some form of continuation.
[00:08:43.000 --> 00:08:47.000]   So, in summary, this paper basically shows that
[00:08:47.000 --> 00:08:50.000]   how large language models can use filler tokens
[00:08:50.000 --> 00:08:53.000]   to achieve higher performance in certain tasks
[00:08:53.000 --> 00:08:57.000]   when compared to not using any filler tokens at all
[00:08:57.000 --> 00:08:59.000]   as the intermediate tokens.
[00:08:59.000 --> 00:09:01.000]   The results also show that filler tokens
[00:09:01.000 --> 00:09:04.000]   have some form of computational benefit,
[00:09:04.000 --> 00:09:05.000]   although not semantically,
[00:09:05.000 --> 00:09:09.000]   but maybe some form of structural information.
[00:09:09.000 --> 00:09:12.000]   So, that's the end of my survey.
[00:09:12.000 --> 00:09:14.000]   I think it's an interesting paper,
[00:09:14.000 --> 00:09:17.000]   and then I'm open to any questions.
[00:09:17.000 --> 00:09:18.000]   Yep.
[00:09:18.000 --> 00:09:21.000]   I think Casper had a question in the chat itself,
[00:09:21.000 --> 00:09:24.000]   whether the filler tokens were special tokens
[00:09:24.000 --> 00:09:27.000]   introduced after the model was trained,
[00:09:27.000 --> 00:09:29.000]   or was it just the same token used for pure filler
[00:09:29.000 --> 00:09:31.000]   that the tokenizer had learnt perhaps
[00:09:31.000 --> 00:09:33.000]   during the pre-training phase?
[00:09:33.000 --> 00:09:36.000]   They actually include the filler tokens,
[00:09:36.000 --> 00:09:40.000]   as I said, in the pre-training phase or so.
[00:09:40.000 --> 00:09:41.000]   Yeah.
[00:09:41.000 --> 00:09:45.000]   So, they were not like a special token added in afterwards.
[00:09:45.000 --> 00:09:50.000]   There's another question from Warren,
[00:09:50.000 --> 00:09:52.000]   which is why not just use unknown token or something
[00:09:52.000 --> 00:09:54.000]   instead of dots in this case?
[00:09:54.000 --> 00:09:57.000]   Yeah, that's an interesting question also, yeah.
[00:09:57.000 --> 00:10:00.000]   I think it will probably, yeah,
[00:10:00.000 --> 00:10:02.000]   you'll probably have different results, yeah.
[00:10:02.000 --> 00:10:04.000]   Seems some form of, any rare form of tokens,
[00:10:04.000 --> 00:10:06.000]   yeah, should be fine, yeah.
[00:10:06.000 --> 00:10:08.000]   It seems to, I don't know if you've seen
[00:10:08.000 --> 00:10:10.000]   like the memes on Twitter, where they, like,
[00:10:10.000 --> 00:10:13.000]   if you prompt the model and you put a space in between,
[00:10:13.000 --> 00:10:15.000]   or like one or two spaces,
[00:10:15.000 --> 00:10:17.000]   and then you just let it, like,
[00:10:17.000 --> 00:10:19.000]   and then you let it do the normal inference call,
[00:10:19.000 --> 00:10:21.000]   the performance actually increases sometimes
[00:10:21.000 --> 00:10:23.000]   because the space itself is another token, right?
[00:10:23.000 --> 00:10:24.000]   Oh, okay.
[00:10:24.000 --> 00:10:25.000]   And then that modify,
[00:10:25.000 --> 00:10:28.000]   that sort of like modifies the computation itself.
[00:10:28.000 --> 00:10:31.000]   Oh, yeah, that's quite interesting, yeah.
[00:10:31.000 --> 00:10:37.000]   It's all these hidden complexities that,
[00:10:37.000 --> 00:10:38.000]   that we don't really know.
[00:10:38.000 --> 00:10:40.000]   Yeah, it's quite interesting.
[00:10:40.000 --> 00:10:43.000]   I just comment,
[00:10:43.000 --> 00:10:46.000]   could it also be because of positional biases?
[00:10:46.000 --> 00:10:48.000]   Do you want to maybe elaborate on that?
[00:10:48.000 --> 00:10:50.000]   I'm not too sure about what positional biases are.
[00:10:50.000 --> 00:10:53.000]   I mean, you can drop it in the chat or you can unmute yourself.
[00:10:53.000 --> 00:10:54.000]   Yeah, sure.
[00:10:54.000 --> 00:10:55.000]   So what I meant was because, like,
[00:10:55.000 --> 00:10:57.000]   there's a positional encoding in the transformers, right?
[00:10:57.000 --> 00:11:00.000]   So because the models will train on a lot of sequences,
[00:11:00.000 --> 00:11:02.000]   then you, it's like,
[00:11:02.000 --> 00:11:04.000]   I think maybe if it trains too much, it gets saturated,
[00:11:04.000 --> 00:11:07.000]   then it kind of like learns the positional encoding as well.
[00:11:07.000 --> 00:11:09.000]   So like, if you put a space or two, right,
[00:11:09.000 --> 00:11:11.000]   then just nice, most of the training sequences,
[00:11:11.000 --> 00:11:14.000]   that particular one also is aligned with, like,
[00:11:14.000 --> 00:11:16.000]   the rest of the positions with, like,
[00:11:16.000 --> 00:11:18.000]   how it was observed in the training data,
[00:11:18.000 --> 00:11:20.000]   then it might improve in performance
[00:11:20.000 --> 00:11:21.000]   or something like that.
[00:11:21.000 --> 00:11:24.000]   I just know, like, this kind of bias exists,
[00:11:24.000 --> 00:11:26.000]   but I don't really know how to actually explain it.
[00:11:26.000 --> 00:11:28.000]   Let me see where I can find an article on it.
[00:11:28.000 --> 00:11:30.000]   For sure, for sure.
[00:11:30.000 --> 00:11:32.000]   I don't think the positional biases of the,
[00:11:32.000 --> 00:11:34.000]   the prompt and the original input would change,
[00:11:34.000 --> 00:11:36.000]   but I think perhaps what you're thinking about
[00:11:36.000 --> 00:11:39.000]   is the additional space itself plus positional bias
[00:11:39.000 --> 00:11:41.000]   might better reflect the training data
[00:11:41.000 --> 00:11:43.000]   or where the answer might be.
[00:11:43.000 --> 00:11:45.000]   Is that what you're trying to say?
[00:11:45.000 --> 00:11:51.000]   Something like this.
[00:11:51.000 --> 00:11:52.000]   Okay.
[00:11:52.000 --> 00:11:55.000]   Let me see if I can pull this link up.
[00:11:55.000 --> 00:11:58.000]   Large language models are not very valid in this.
[00:12:01.000 --> 00:12:02.000]   I'm looking to it.
[00:12:02.000 --> 00:12:03.000]   Yeah.
[00:12:03.000 --> 00:12:11.000]   I guess if there's no more questions,
[00:12:11.000 --> 00:12:13.000]   then maybe we can move on to the next paper.
[00:12:13.000 --> 00:12:15.000]   Do you want to go next?
[00:12:15.000 --> 00:12:16.000]   Yeah.
[00:12:16.000 --> 00:12:18.000]   Okay, I'll stop sharing my screen.
[00:12:18.000 --> 00:12:23.000]   Oh, you want me to go next?
[00:12:23.000 --> 00:12:24.000]   Okay.
[00:12:24.000 --> 00:12:25.000]   Yeah.
[00:12:25.000 --> 00:12:27.000]   Give me a moment.
[00:12:28.000 --> 00:12:30.000]   Can you see the screen?
[00:12:30.000 --> 00:12:31.000]   Yep.
[00:12:31.000 --> 00:12:33.000]   Just give me a while.
[00:12:33.000 --> 00:12:39.000]   Okay.
[00:12:39.000 --> 00:12:40.000]   Yeah.
[00:12:40.000 --> 00:12:41.000]   Hi, everyone.
[00:12:41.000 --> 00:12:42.000]   Yeah.
[00:12:42.000 --> 00:12:43.000]   This paper is a bit different.
[00:12:43.000 --> 00:12:48.000]   So it's about how we use a second model actually
[00:12:48.000 --> 00:12:51.000]   to estimate the uncertainty of LLM's response.
[00:12:51.000 --> 00:12:53.000]   So it's quite an obscure paper, actually.
[00:12:53.000 --> 00:12:57.000]   I spent a few days trying to think of a paper to sort of talk about.
[00:12:57.000 --> 00:12:59.000]   But I did enjoy reading this paper.
[00:12:59.000 --> 00:13:02.000]   For one, it approaches the problem quite differently.
[00:13:02.000 --> 00:13:05.000]   It's from a bunch of people in operations research,
[00:13:05.000 --> 00:13:07.000]   which is actually where I did grad school.
[00:13:07.000 --> 00:13:11.000]   And the sort of approach of doing it is actually more of just getting data,
[00:13:11.000 --> 00:13:14.000]   fitting a model in, and then trying to make use of that model
[00:13:14.000 --> 00:13:16.000]   for a real-world outcome.
[00:13:16.000 --> 00:13:17.000]   So let's just dive right in.
[00:13:17.000 --> 00:13:19.000]   So the TLDR is actually just three points.
[00:13:19.000 --> 00:13:22.000]   Number one, here they train a regression model.
[00:13:22.000 --> 00:13:24.000]   And, in fact, actually, it's a classical one,
[00:13:24.000 --> 00:13:28.000]   random forest, to estimate the uncertainty of an LLM's response.
[00:13:28.000 --> 00:13:32.000]   And the input for that is just the LLM's hidden layers
[00:13:32.000 --> 00:13:35.000]   of the last token, activations of the last token,
[00:13:35.000 --> 00:13:38.000]   or in the case of a model that, let's say,
[00:13:38.000 --> 00:13:41.000]   open AIs, APIs, or some other LLM provider
[00:13:41.000 --> 00:13:44.000]   where you don't actually get the actual hidden layers,
[00:13:44.000 --> 00:13:46.000]   you can actually -- or a gray box model,
[00:13:46.000 --> 00:13:50.000]   you can actually use some of the probability-related output
[00:13:50.000 --> 00:13:53.000]   as an input to this regression model.
[00:13:53.000 --> 00:13:59.000]   And the output, it's actually not the logits of the language model,
[00:13:59.000 --> 00:14:02.000]   but instead it's actually a task-specific score,
[00:14:02.000 --> 00:14:05.000]   and typically between 0 and 1, about the certainty of the answer.
[00:14:05.000 --> 00:14:09.000]   So I'll just elaborate a bit more about that later.
[00:14:09.000 --> 00:14:12.000]   The paper covers a bit about the existing methods,
[00:14:12.000 --> 00:14:17.000]   and I think most of the methods right now for quantifying uncertainty,
[00:14:17.000 --> 00:14:20.000]   they tend to be based directly on the output of the language model.
[00:14:20.000 --> 00:14:22.000]   What do I mean by that?
[00:14:22.000 --> 00:14:25.000]   Say, given a fixed prompt, you might get different outputs,
[00:14:25.000 --> 00:14:29.000]   and you try to do sampling there to see what the variation in the output is,
[00:14:29.000 --> 00:14:31.000]   or you might add some perturbations to your prompt
[00:14:31.000 --> 00:14:35.000]   and see how that results in variation in your output,
[00:14:35.000 --> 00:14:37.000]   and you measure it thereafter.
[00:14:37.000 --> 00:14:39.000]   The paper keeps specifying, keeps mentioning
[00:14:39.000 --> 00:14:41.000]   that these are unsupervised methods,
[00:14:41.000 --> 00:14:44.000]   and in contrast to what they're doing with a supervised method
[00:14:44.000 --> 00:14:46.000]   where they actually have ground truth to some degree,
[00:14:46.000 --> 00:14:48.000]   and I'll share again a bit more about that
[00:14:48.000 --> 00:14:50.000]   when I explain the problem mathematically.
[00:14:50.000 --> 00:14:53.000]   And this work has been somewhat applied
[00:14:53.000 --> 00:14:57.000]   where they take a second model to quantify the base language model,
[00:14:57.000 --> 00:14:59.000]   and it's been done for transformers,
[00:14:59.000 --> 00:15:03.000]   but not for recent large language models like LamaTree or Gemma.
[00:15:03.000 --> 00:15:05.000]   So before we go into the paper itself,
[00:15:05.000 --> 00:15:07.000]   actually, why does this matter?
[00:15:07.000 --> 00:15:11.000]   I think the paper sort of points out point two and point three
[00:15:11.000 --> 00:15:13.000]   in my list here of four points.
[00:15:13.000 --> 00:15:15.000]   They show that by doing this,
[00:15:15.000 --> 00:15:18.000]   you actually can get improved performance on certain tasks,
[00:15:18.000 --> 00:15:21.000]   and it's a potential use case in detecting hallucinations
[00:15:21.000 --> 00:15:24.000]   because by getting a sort of confidence score for an answer,
[00:15:24.000 --> 00:15:29.000]   you can then perhaps hedge, do a different sampling approach.
[00:15:29.000 --> 00:15:33.000]   Point one and point four are actually my own ideas upon reading the paper
[00:15:33.000 --> 00:15:35.000]   where actually if, say, you have a language model
[00:15:35.000 --> 00:15:40.000]   interface app, and actually with providing
[00:15:40.000 --> 00:15:43.000]   a sort of certainty score about the response,
[00:15:43.000 --> 00:15:46.000]   imagine you're a typical chatbot, people talk about rag chatbots,
[00:15:46.000 --> 00:15:49.000]   if you're able to provide like the certainty score,
[00:15:49.000 --> 00:15:51.000]   the UI/UX of it could incorporate that
[00:15:51.000 --> 00:15:54.000]   into explaining the certainty of the response.
[00:15:54.000 --> 00:15:56.000]   And number four is interesting because,
[00:15:56.000 --> 00:15:59.000]   as you'll see later on in this quick sharing,
[00:15:59.000 --> 00:16:01.000]   what we're doing is basically predicting
[00:16:01.000 --> 00:16:04.000]   the performance of an LLM answer,
[00:16:04.000 --> 00:16:07.000]   and that actually opens up possible use cases of auto evals
[00:16:07.000 --> 00:16:09.000]   where you already built in a sort of,
[00:16:09.000 --> 00:16:13.000]   you've already done your evals for like maybe a good training set,
[00:16:13.000 --> 00:16:15.000]   and then now you can scale this up to auto evals,
[00:16:15.000 --> 00:16:18.000]   and actually when you deploy an LLM system live,
[00:16:18.000 --> 00:16:22.000]   this auto eval could actually help sort of highlight cases
[00:16:22.000 --> 00:16:27.000]   where your system might potentially be giving low confidence answers.
[00:16:27.000 --> 00:16:30.000]   So let's just try to formalize this a little bit,
[00:16:30.000 --> 00:16:32.000]   so that's where we just go to this part
[00:16:32.000 --> 00:16:34.000]   where we express the problem mathematically.
[00:16:34.000 --> 00:16:37.000]   So the first thing is an LLM is just abstracted into,
[00:16:37.000 --> 00:16:40.000]   I give it an input and it generates a response,
[00:16:40.000 --> 00:16:44.000]   and the prompt here denoted by X is a series of tokens,
[00:16:44.000 --> 00:16:48.000]   and it's X1 to XK, and they all belong to this set chi,
[00:16:48.000 --> 00:16:51.000]   which is the vocabulary size of the language model.
[00:16:51.000 --> 00:16:54.000]   Thereafter, it would generate a response Y,
[00:16:54.000 --> 00:16:58.000]   which is over in the second line here, Y, it's a vector Y,
[00:16:58.000 --> 00:17:01.000]   where it consists of multiple tokens, like say M tokens,
[00:17:01.000 --> 00:17:03.000]   and again, they belong to the set Y,
[00:17:03.000 --> 00:17:06.000]   which also could be the vocabulary size,
[00:17:06.000 --> 00:17:08.000]   but it's actually also the probability distribution,
[00:17:08.000 --> 00:17:12.000]   which is the third line here where each token, YJ,
[00:17:12.000 --> 00:17:16.000]   is a probability of the conditional probability
[00:17:16.000 --> 00:17:20.000]   of the input prompts, which is vector X,
[00:17:20.000 --> 00:17:25.000]   and all the previous earlier outputs, Y1 all the way to YJ-1.
[00:17:25.000 --> 00:17:27.000]   So that's how we set up the problem,
[00:17:27.000 --> 00:17:29.000]   where it's just X and Ys.
[00:17:29.000 --> 00:17:32.000]   Typically then, if you use your language model,
[00:17:32.000 --> 00:17:35.000]   we're not just using it to do completions,
[00:17:35.000 --> 00:17:38.000]   we actually want to then use it for downstream tasks
[00:17:38.000 --> 00:17:40.000]   like Q&A, MCQ, translations,
[00:17:40.000 --> 00:17:43.000]   and here we actually have a scoring function,
[00:17:43.000 --> 00:17:46.000]   so this could be blue, and so here,
[00:17:47.000 --> 00:17:50.000]   it's actually this function S,
[00:17:50.000 --> 00:17:53.000]   where it sort of takes in the true Y,
[00:17:53.000 --> 00:17:55.000]   like let's say the true answer,
[00:17:55.000 --> 00:17:58.000]   and then models generate the answer Y,
[00:17:58.000 --> 00:18:00.000]   and then it maps it to a 0 to 1,
[00:18:00.000 --> 00:18:03.000]   so it's just any generic scoring function
[00:18:03.000 --> 00:18:04.000]   that you can think of.
[00:18:04.000 --> 00:18:07.000]   So then the task of uncertainty estimation
[00:18:07.000 --> 00:18:10.000]   is effectively learning a function G,
[00:18:10.000 --> 00:18:12.000]   so in this third step over here,
[00:18:12.000 --> 00:18:16.000]   it actually then sort of predicts the score
[00:18:16.000 --> 00:18:20.000]   given the input prompt and the output response.
[00:18:20.000 --> 00:18:24.000]   So given the prompt that I feed into the language model,
[00:18:24.000 --> 00:18:26.000]   and the response that the language model gives,
[00:18:26.000 --> 00:18:30.000]   can I then predict how good that answer is?
[00:18:30.000 --> 00:18:32.000]   So then the paper then explains
[00:18:32.000 --> 00:18:34.000]   how they can apply this approach
[00:18:34.000 --> 00:18:36.000]   to all sorts of language models,
