
[00:00:00.000 --> 00:00:10.720]   let's talk about seed oils the dreaded seed oil debate should we fear them or not fear them let's
[00:05:38.640 --> 00:05:45.760]   that has the opposite effect like people go oh this is a really high quality olive oil generally in my
[00:05:45.760 --> 00:05:50.640]   mind are the sort of people who are thinking about the quality of the salad ingredients they're thinking
[00:05:50.640 --> 00:05:56.880]   about the sourdough bread uh as opposed to maybe a more refined sugar containing bread and the people who
[00:05:56.880 --> 00:06:02.000]   talk about grass-fed butter are thinking about the quality of the meat sources and they're not eating other
[00:06:02.000 --> 00:06:07.120]   protein sources that are laid in with other you know preservatives so to me i think a lot of this
[00:06:07.120 --> 00:06:12.640]   quote-unquote seed oil debate will be resolved when we start pulling apart the individual components
[00:06:12.640 --> 00:06:19.200]   they're riding in the wrong vehicle right right and i and i think that um from a cost perspective you
[00:06:19.200 --> 00:06:23.040]   know this hadn't occurred to me until i started voicing a little bit of this online in which case
[00:06:23.040 --> 00:06:28.400]   you learn a lot uh quickly and what i learned was you know there were a number of people who said yeah
[00:06:28.400 --> 00:06:33.520]   i'm hearing all this great stuff about grass-fed butter and olive oil but there are people for whom
[00:06:33.520 --> 00:06:42.400]   the cost margins are just too high to consume all organic and or olive oil and and you know and you
[00:06:42.400 --> 00:06:48.160]   have to listen to that and say okay well you know for people needing to feed an entire family um you know
[00:06:48.160 --> 00:06:53.440]   perhaps some of these other fat sources uh are more affordable and therefore what are the real health
[00:06:53.440 --> 00:06:58.720]   risks with those so anyway i was a bit of editorializing there but um i have a feeling
[00:06:58.720 --> 00:07:04.240]   some of this is going to shake out in the in the in the fine parsing of these different diets i think
[00:07:04.240 --> 00:07:09.680]   people oversimplify it what people do with seed oils is what people do with dairy they say dairy
[00:07:10.480 --> 00:07:16.800]   as if it's some monolithic thing you know with dairy you've got the hard cheeses you've got butter you've
[00:07:16.800 --> 00:07:23.840]   got yogurt you've got milk of varying fat levels you know um you're kind of hard pressed to find
[00:07:23.840 --> 00:07:29.200]   negative stuff on yogurt you're you'd be kind of hard pressed actually to find negative stuff on hard
[00:07:29.200 --> 00:07:35.280]   cheeses um butter of of all of the you know the range of dairy foods butter is the one that you can
[00:07:35.280 --> 00:07:43.040]   find the dirt on um similar story with seed oils like try to find some negative stuff on
[00:07:43.040 --> 00:07:52.240]   flax seed chia seed sesame seed uh you can't i mean yeah if you dig hard enough you can try to find some
[00:07:52.240 --> 00:07:59.600]   negative stuff on canola it's very tough too um even things like soybean oil and corn oil you can
[00:07:59.600 --> 00:08:05.920]   look at the literature and it doesn't paint this sinister picture either and so i think people are
[00:08:05.920 --> 00:08:12.640]   missing the forest for the trees in general when they're focused on honestly the cooking oils you
[00:08:12.640 --> 00:08:21.600]   shouldn't be drowning or deep frying your stuff on a regular basis anyway so um yeah and and beyond that
[00:08:21.600 --> 00:08:27.280]   when you look at the effects of seed oil that are examined in the literature for various outcomes you
[00:08:27.280 --> 00:08:34.400]   know everything from the intermediate outcomes like biomarker effects all the way to the in quotes hard
[00:08:34.400 --> 00:08:44.880]   end points like mortality heart attack you know cardiac events and heart disease so the hard end points as
[00:08:44.880 --> 00:08:53.760]   well as the intermediate or soft end points they're all superior with the seed oils compared to butter
[00:08:53.760 --> 00:09:04.160]   um lard beef tallow on the whole so there is a severe misunderstanding and falsely founded
[00:09:04.160 --> 00:09:10.720]   scaremongering with respect to seed oils to the point where i just think it's incredibly silly
[00:09:10.720 --> 00:09:16.960]   people just have to get a hold of themselves and focus on the overall quality of the diet
[00:09:16.960 --> 00:09:25.600]   and not really get into these absolute you know death matches over what oils they use to cook their foods
[00:09:25.600 --> 00:09:32.960]   i am a huge extra virgin olive oil fan that is my go-to that's what i love i could honestly i could
[00:09:32.960 --> 00:09:39.440]   like do shots of the stuff i love it that much delicious yeah and um and i i love sesame oil
[00:09:39.440 --> 00:09:44.720]   you know but sesame is a seed oil but sesame oil has been consumed by very healthy populations
[00:09:44.720 --> 00:09:53.440]   throughout asia for the last 5 000 years um and so i i don't necessarily like canola oil you know like
[00:09:53.440 --> 00:09:58.800]   as far as the sort of the stickiness and the oddness about it but i i'll still acknowledge that the literature shows
[00:10:00.000 --> 00:10:08.400]   overwhelmingly positive stuff about it in the majority of trials um but i prefer olive oil and and i would
[00:10:08.400 --> 00:10:15.600]   almost feel more comfortable recommending that if if you like olive oil then that should be your go-to
[00:10:15.600 --> 00:10:22.800]   rather than oils that are i guess maybe frankensteined or engineered to a degree and you mentioned the the
[00:10:22.800 --> 00:10:29.120]   whole idea of the like how these oils are produced like one of the concerns is hexane use to extract
[00:10:29.120 --> 00:10:34.800]   the oils from the seed cakes and stuff like that so they the use of solvents to get these oils out of
[00:10:34.800 --> 00:10:42.480]   their native source uh i there's some interesting literature showing higher hexane levels in um olive
[00:10:42.480 --> 00:10:48.720]   oil than in i forget it was some some other seed oil whether it was canola or sunflower
[00:10:49.760 --> 00:10:59.680]   and so but nevertheless the hexane amounts were well below established safe thresholds and so i think
[00:10:59.680 --> 00:11:04.240]   i really do think that people are getting sort of lost in the weeds and kind of missing the forest
[00:11:04.240 --> 00:11:15.440]   for the trees focusing on the little grains of sand and missing the big boulders

