
[00:00:00.040 --> 00:00:07.380]   viennent like get
[00:05:17.500 --> 00:05:17.500]   I'm going to give you some very practical advice that may help you if you're ever caught in a situation like a school shooting.
[00:05:17.500 --> 00:05:17.500]   One will be how to buy an AR-15, how to buy your first AR-15.
[00:05:17.500 --> 00:05:17.500]   One will be how to buy an AR-15, how to buy your first AR-15.
[00:05:17.500 --> 00:05:17.500]   One will be how to buy an AR-15, how to buy your first AR-15.
[00:05:17.500 --> 00:05:17.500]   One will be how to buy an AR-15, how to buy your first AR-15.
[00:05:17.500 --> 00:05:17.500]   One will be how to buy an AR-15, how to buy your first AR-15.
[00:05:17.500 --> 00:05:17.500]   One will be how to buy an AR-15, how to buy your first AR-15.
[00:05:17.500 --> 00:05:17.500]   One will be how to buy an AR-15, how to buy your first AR-15.
[00:05:17.520 --> 00:05:47.520]   One will be how to buy an AR-15.
[00:05:47.520 --> 00:05:47.520]   One will be how to buy an AR-15.
[00:05:47.520 --> 00:05:47.520]   One will be how to buy an AR-15.
[00:05:47.520 --> 00:05:47.520]   One will be how to buy an AR-15.
[00:05:47.520 --> 00:05:47.520]   One will be how to buy an AR-15.
[00:05:47.520 --> 00:05:47.520]   One will be how to buy an AR-16.
[00:05:47.520 --> 00:05:47.520]   One will be how to buy an AR-17.
[00:05:47.520 --> 00:05:47.520]   One will be how to buy an AR-18.
[00:05:47.520 --> 00:05:47.520]   One will be how to buy an AR-19.
[00:05:47.560 --> 00:05:57.660]   weak
[00:05:57.660 --> 00:05:59.900]   like, nobody,,,
[00:05:59.900 --> 00:06:16.660]  --— Mehr
[00:07:15.040 --> 00:07:22.380]  學
[00:07:22.380 --> 00:07:25.040]   inc,,,
[00:07:25.040 --> 00:07:26.940]   touchscreen
[00:07:26.940 --> 00:07:45.020]   is a girl that is a people be ad這些
[00:07:45.080 --> 00:08:15.060]   ado. I'm going to take a look at some of the steps. Number one of course is getaway. You know what? Number one is not getaway. Number one is don't be there. I need to add that to my outline right now. Number one is don't be there. Most of the time for you to maintain your physical security, the best path for you is just simply don't be there. More on this in a moment. Number one is don't be there. Number two is getaway. Number three is hide. Number four is protect yourself. Number five is fight back. Six is treat injury and seven is communicate.
[00:08:15.060 --> 00:08:15.080]   Кор
[00:08:15.100 --> 00:08:45.100]   This is my simple outline to give you some practical ideas. So instead of getting mad at somebody and just arguing about how to change the mind of 150 of your million of your fellow citizens on a topic such as gun control and gun legislation, you can actually do something. So don't be there. Obviously, one of the biggest challenges is not to be in an environment which is unsafe. Sometimes you can control that. Sometimes you can't. And I want today's show to be not so politically controversial. So I'm not going to be there.
[00:08:45.120 --> 00:09:15.140]  , but I'm going to be there.
[00:09:15.160 --> 00:09:45.180]  , but I'm going to be there.
[00:09:45.200 --> 00:10:15.220]  , but I'm going to be there.
[00:10:15.240 --> 00:10:45.260]   and I'm not going to be there.
[00:10:45.260 --> 00:10:45.280]   It's not a place that is unsafe. It's not a country that's unsafe. It's usually not a country that's unsafe. It's usually a relatively small number of neighborhoods in a handful of cities that are unsafe. If you came to my town and asked me what part of town to avoid, I would tell you you need to avoid this part of town.
[00:10:45.280 --> 00:10:45.280]   If you came to my town and asked me what part of town to avoid, I would tell you you you need to avoid this part of town.
[00:10:45.280 --> 00:10:45.280]   If you came to my town and asked me what part of town to avoid, I would tell you you you need to avoid this part of town.
[00:10:45.300 --> 00:10:54.320]   Or, "It's probably fine during the daytime, but don't go there at night."
[00:10:54.320 --> 00:10:55.320]   Or, "Hey, it's really common that the pickpockets are active on the subway station, so make sure you're paying extra attention when you're at a subway station."
[00:10:55.320 --> 00:10:57.320]   Or, "Hey, it's really common that the pickpockets are active on the subway station, so make sure you're paying extra attention when you're at a subway station."
[00:10:57.320 --> 00:11:00.320]   Or, "Hey, it's really common that the pickpockets are active on the subway station, so make sure you're paying extra attention when you're at a subway station."
[00:11:00.320 --> 00:11:01.320]   So don't be there in the first place would be the idea.
[00:11:01.320 --> 00:11:03.320]   So don't be there in the first place would be the idea.
[00:11:03.320 --> 00:11:05.320]   So don't be there in the first place would be the idea.
[00:11:05.320 --> 00:11:27.360]  , "I'm not going to be there."
[00:11:27.360 --> 00:11:29.360]   So don't be there in the first place would be the idea.
[00:11:29.360 --> 00:11:31.360]   So don't be there in the first place would be the idea.
[00:11:31.360 --> 00:11:33.360]   So don't be there in the first place would be the idea.
[00:11:33.360 --> 00:11:35.360]   So don't be there in the first place would be the idea.
[00:11:35.360 --> 00:11:35.360]   So don't be there in the first place would be the idea.
[00:11:35.360 --> 00:11:35.360]   So don't be there in the first place would be the idea.
[00:11:35.360 --> 00:11:35.360]   So don't be there in the first place would be the idea.
[00:11:35.360 --> 00:11:35.360]   So don't be there in the first place would be the idea.
[00:11:35.360 --> 00:11:35.360]   So don't be there in the first place would be the idea.
[00:11:35.400 --> 00:12:03.440]  ...
[00:12:03.440 --> 00:12:04.620]   visit start only was earned din My I I Blog No unknowns ten, a, and, and, and, and,,.,.,.,,,,,,,, stems Rig whichTCCGC batterGC believe Gelinci 30 onder thing ... cai... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ...... ... ... ... ... ... ... ... .... -... was ......" began... run τ... provide with the but ' all be Day... concert 2020 somethingcka " Merry land que Assist the area known prominent lieu Director enhour� gather the last reduce the trail.'' dł Yue nobody allow the statement case you're the millennials ratio and the exacerb strat canopy in grow theготов the поговорed the Cow of r craw兒 formula dating the
[00:12:04.680 --> 00:12:33.920]   ado of the original is that if possible get away if you're at a concert and there's somebody to start shooting up the place or shooting off a bomb run away get away as fast as you can if you will just simply run generally you can avoid much of the problem especially if you're dealing with somebody with a gun most people are not that skilled with a gun even people who train consistently such as some everyday
[00:12:33.920 --> 00:12:33.920]   the problem especially if you're dealing with somebody with a gun most people are not that skilled with a gun even people who train consistently such as some everyday
[00:12:33.920 --> 00:12:33.920]   The problem especially if you're dealing with somebody with a gun most people are not that skilled with a gun even people who train consistently such as some everyday
[00:12:33.920 --> 00:12:33.920]   The problem especially if you're dealing with somebody with a gun most people are not that skilled with a gun even people who train consistently such as some everyday
[00:12:33.920 --> 00:12:33.920]   The problem especially if you're dealing with somebody with a gun most people are not that skilled with a gun even people who train consistently such as some everyday
[00:12:33.960 --> 00:12:43.640]   owe
[00:12:43.640 --> 00:12:59.460]   find butrin
[00:13:28.000 --> 00:13:28.000]   and I'm going to show you how to do it.
[00:13:55.040 --> 00:13:58.020]   and I'm going to show you how to do it.
[00:14:28.040 --> 00:14:28.040]   ----
[00:14:28.040 --> 00:14:28.040]   ----
[00:14:28.080 --> 00:14:29.080]  obediently
[00:14:29.080 --> 00:14:58.060]   ----
[00:14:58.060 --> 00:14:58.060]   ----
[00:14:58.060 --> 00:14:58.060]   ----
[00:14:58.060 --> 00:14:58.060]   ----
[00:14:58.060 --> 00:14:58.060]   ----
[00:14:58.060 --> 00:14:58.060]   ----
[00:14:58.080 --> 00:15:10.220]   ----
[00:15:10.220 --> 00:15:10.240]   ----
[00:15:10.240 --> 00:15:10.260]   ----
[00:15:10.260 --> 00:15:10.300]   ----
[00:15:10.300 --> 00:15:10.320]   ----
[00:15:10.320 --> 00:15:10.340]   ----
[00:15:10.340 --> 00:15:10.360]   ----
[00:15:10.360 --> 00:15:10.380]   ----
[00:15:10.380 --> 00:15:10.400]   ----
[00:15:10.400 --> 00:15:10.420]   ----
[00:15:10.420 --> 00:15:10.440]   ----
[00:15:10.440 --> 00:15:10.460]   ----
[00:15:10.460 --> 00:15:10.480]   ----
[00:15:10.480 --> 00:15:10.500]   ----
[00:15:10.500 --> 00:15:10.520]   ----
[00:15:10.520 --> 00:15:10.540]   ----
[00:15:10.540 --> 00:15:10.560]   ----
[00:15:10.560 --> 00:15:10.560]   ----
[00:15:10.560 --> 00:15:10.580]   ----
[00:15:10.580 --> 00:15:10.600]   ----
[00:15:10.600 --> 00:15:10.620]   ----
[00:15:10.620 --> 00:15:10.640]   ----
[00:15:10.640 --> 00:15:10.660]   ----
[00:15:10.660 --> 00:15:10.680]   ----
[00:15:10.680 --> 00:15:10.700]   ----
[00:15:10.700 --> 00:15:10.720]   ----
[00:15:10.720 --> 00:15:10.740]   ----
[00:15:10.740 --> 00:15:10.780]   ----
[00:15:10.780 --> 00:15:10.800]   ----
[00:15:10.800 --> 00:15:10.840]   ----
[00:15:10.840 --> 00:15:14.880]   ----
[00:15:14.880 --> 00:15:14.900]   ----
[00:15:14.900 --> 00:15:18.900]   ----
[00:15:18.900 --> 00:15:18.920]   ----
[00:15:18.920 --> 00:15:23.000]   ----
[00:15:23.000 --> 00:15:23.040]   ----
[00:15:23.040 --> 00:15:23.080]   ----
[00:15:23.080 --> 00:15:23.140]   ----
[00:15:23.140 --> 00:15:23.180]   ----
[00:15:23.180 --> 00:15:23.220]   ----
[00:15:23.220 --> 00:15:23.240]   ----
[00:15:23.240 --> 00:15:23.280]   ----
[00:15:23.280 --> 00:15:23.320]   ----
[00:15:23.320 --> 00:15:23.380]   ----
[00:15:23.380 --> 00:15:23.420]   ----
[00:15:23.420 --> 00:15:23.440]   ----
[00:15:23.440 --> 00:15:23.480]   ----
[00:15:23.480 --> 00:15:23.500]   ----
[00:15:23.500 --> 00:15:23.560]   ----
[00:15:23.560 --> 00:15:24.820]   ----
[00:15:24.820 --> 00:15:24.820]   ----
[00:15:24.820 --> 00:15:26.920]   a fire.
[00:15:26.920 --> 00:15:28.100]   a fire.
[00:15:28.100 --> 00:15:28.100]  .
[00:15:28.140 --> 00:15:38.000]   trabaj
[00:15:38.000 --> 00:15:38.300]   gagner ;
[00:15:38.300 --> 00:15:57.140]   do. I have a high,,,,,,,,
[00:15:58.140 --> 00:16:09.500]   skirts
[00:16:09.500 --> 00:16:12.200]   go,,,
[00:17:32.440 --> 00:17:42.280]  ав
[00:17:42.280 --> 00:17:42.720]  etera, ",
[00:17:42.720 --> 00:17:47.260]   without nove discuss. So, is, over, wasn, Bret,
[00:17:47.260 --> 00:17:53.140]  uest.
[00:19:56.500 --> 00:19:56.500]   I don't know if any teachers do that or not, but I at least think that's a good idea. And we don't have to pass legislation. We don't have to deal with 100 million people to do that. You just have to think, maybe I should keep a pair of athletic shoes in my desk drawer. And if I were trying to run out from a real fire, I want some shoes on my feet. Those are some ideas of mine.
[00:19:56.500 --> 00:19:56.500]   Those are some ideas of mine.
[00:19:56.500 --> 00:19:56.500]   Those are some ideas of mine.
[00:19:56.500 --> 00:19:56.500]   Those are some ideas of mine.
[00:19:56.500 --> 00:19:56.500]   Those are some ideas of mine.
[00:19:56.500 --> 00:19:56.600]   Those are some ideas of mine.
[00:19:56.600 --> 00:19:56.680]   Those are some ideas of mine.
[00:19:56.680 --> 00:19:56.780]   Those are some ideas of mine.
[00:19:56.780 --> 00:19:56.880]   Those are some ideas of mine.
[00:19:56.880 --> 00:19:56.940]   Those are some ideas of mine.
[00:19:56.940 --> 00:19:57.020]   Those are some ideas of mine.
[00:19:57.020 --> 00:19:57.100]   Those are some ideas of mine.
[00:19:57.100 --> 00:19:57.160]   Those are some ideas of mine.
[00:19:57.200 --> 00:20:18.760]  thes.
[00:20:18.760 --> 00:20:18.820]   Excuse me, I forgot one comment on getting away.
[00:20:18.820 --> 00:20:26.000]   Obviously, there are times in which getting away doesn't solve the problem. If my wife and I and my children and I are accosted on the street, and I may be able to get away, but my wife and children cannot. In that situation, I'm not saying run, but tell your wife and kids to run, and you deal with the situation.
[00:20:26.000 --> 00:20:26.000]   And I'm not saying run.
[00:20:26.000 --> 00:20:27.000]   But getting away is not a good idea.
[00:20:27.020 --> 00:20:27.720]   And I'm not saying run.
[00:20:27.720 --> 00:20:27.760]   But getting away is not a good idea.
[00:20:27.760 --> 00:20:55.880]   But getting away is generally the best strategy for surviving the fight. And in a situation where the rule of law is consistent, your best case is to do your fighting in court, not on the street. After getaway, hide. Now, of course, hiding is what is taught to children. But hiding really is, in my understanding, of the current protocols in place for school shootings. Hiding makes sense in many situations.
[00:20:55.880 --> 00:21:24.860]  .
[00:21:24.860 --> 00:21:24.980]   Hiding makes sense in many situations.
[00:21:24.980 --> 00:21:25.040]   Hiding makes sense in many situations.
[00:21:25.040 --> 00:21:25.040]   Hiding makes sense in many situations.
[00:21:25.040 --> 00:21:25.060]   Hiding makes sense in many situations.
[00:21:25.060 --> 00:21:25.100]   Hiding makes sense in many situations.
[00:21:25.100 --> 00:21:25.160]   Hiding makes sense in many situations.
[00:21:25.160 --> 00:21:25.220]   Hiding makes sense in many situations.
[00:21:25.220 --> 00:21:25.260]   Hiding makes sense in many situations.
[00:21:25.260 --> 00:21:25.320]   Hiding makes sense in many situations.
[00:21:25.320 --> 00:21:25.340]   Hiding makes sense in many situations.
[00:21:25.340 --> 00:21:25.380]   Hiding makes sense in many situations.
[00:21:25.380 --> 00:21:25.400]   Hiding makes sense in many situations.
[00:21:25.400 --> 00:21:25.440]   Hiding makes sense in many situations.
[00:21:25.440 --> 00:21:25.480]   Hiding makes sense in many situations.
[00:21:25.480 --> 00:21:25.480]   Hiding makes sense in many situations.
[00:21:25.480 --> 00:21:25.540]   Hiding makes sense in many situations.
[00:21:25.540 --> 00:21:25.540]   Hiding makes sense in many situations.
[00:21:25.540 --> 00:21:25.560]   Hiding makes sense in many situations.
[00:21:25.560 --> 00:21:25.860]   thinking of what's life is not having a hard.
[00:21:25.880 --> 00:21:25.960]   Hiding makes sense in many situations.
[00:21:25.960 --> 00:21:25.960]   Hiding makes sense in many situations.
[00:21:25.960 --> 00:21:26.040]   Where would I hide?
[00:21:26.040 --> 00:21:26.100]   Hiding makes sense in many situations.
[00:21:26.100 --> 00:21:26.200]   Where would I hide?
[00:21:26.200 --> 00:21:26.240]   Hiding makes sense in many situations.
[00:21:26.240 --> 00:21:26.300]   Where would I hide?
[00:21:26.300 --> 00:21:26.360]   Maybe a little bit of rearranging of your furniture would be helpful.
[00:21:26.360 --> 00:21:38.440]   Maybe you need an extra piece of furniture in your office so that you'd have a place to hide.
[00:21:38.440 --> 00:21:42.580]   Maybe it's the closet next door to you and if you just had a copy of that key, that would give you a place to hide.
[00:21:42.580 --> 00:21:42.600]   Maybe it's the closet next door to you and if you just had a copy of that key, that would give you a place to hide.
[00:21:42.600 --> 00:21:45.220]   Maybe it's the closet next door to you and if you just had a copy of that key, that would give you a place to hide.
[00:21:45.220 --> 00:21:45.520]   But think about if there were a situation where I needed to hide, where would I hide?
[00:21:45.540 --> 00:22:05.820]   And think about it now.
[00:22:05.820 --> 00:22:05.900]   Wouldn't be a bad idea to make a list of one, two or three places.
[00:22:05.900 --> 00:22:05.980]   Wouldn't be a bad idea to make a list of one, two or three places.
[00:22:05.980 --> 00:22:06.020]   Wouldn't be a bad idea to make a list of one, two or three places.
[00:22:06.020 --> 00:22:06.120]   If this is available, I'll go in this direction.
[00:22:06.120 --> 00:22:06.180]   If this is available, I'll go in this direction.
[00:22:06.180 --> 00:22:06.280]   If this is available, I'll go in this direction.
[00:22:06.280 --> 00:22:06.340]   If this is available, I'll go in that direction.
[00:22:06.340 --> 00:22:06.380]   If this is available, I'll go in that direction.
[00:22:06.380 --> 00:22:06.440]   But sometimes if you can't get away, if your situation, the tactical situation is such that you can't escape without being shot at, then finding a good hiding place could be really valuable.
[00:22:06.480 --> 00:22:31.440]  , but sometimes if you can't get away, if your situation, the tactical situation is such that you can't escape without being shot at, then finding a good hiding place could be really valuable.
[00:22:31.440 --> 00:22:31.540]   And you could take this and apply this to your own thinking as far as your house.
[00:22:31.540 --> 00:22:31.580]   And you could take this and apply this to your own thinking as far as your house.
[00:22:31.580 --> 00:22:31.600]   Do your children know where they're supposed to hide if somebody invades your home.
[00:22:31.600 --> 00:22:31.600]   Where are they're going to hide.
[00:22:31.600 --> 00:22:31.700]   Where are you're going to take a stand.
[00:22:31.700 --> 00:22:32.640]   Where are you're going to take a stand.
[00:22:32.640 --> 00:22:33.640]   Where are you're going to take a stand.
[00:22:33.640 --> 00:22:34.880]   Where are you're going to take a defensive
[00:22:34.880 --> 00:22:35.700]   passive measures of defense.
[00:22:35.700 --> 00:22:36.460]   and you're going to take a defensive measures of defense.
[00:22:36.480 --> 00:22:38.880]   and you're going to take a defensive measures of defense.
[00:22:38.880 --> 00:22:39.720]   Passive defense would be something like blocking the room, blocking a door.
[00:22:39.720 --> 00:22:43.740]   Passive defense would be something like blocking the room, blocking a door.
[00:22:43.740 --> 00:22:46.420]   I spoke a moment ago about having door wedges.
[00:22:46.420 --> 00:22:49.340]   So if you were going to hide in your office and you're concerned about a workplace shooting,
[00:22:49.340 --> 00:22:53.300]   So if you were going to hide in your office and you're concerned about a workplace shooting,
[00:22:53.300 --> 00:22:55.440]   then one of your passive measures of defense to protect yourself would be block the door.
[00:22:55.440 --> 00:22:58.800]   then one of your passive measures of defense to protect yourself would be block the door.
[00:22:58.800 --> 00:23:01.980]   If the door to your office opens in, then you need to be prepared with some door wedges.
[00:23:01.980 --> 00:23:05.320]   If the door to your office opens in, then you need to be prepared with some door wedges.
[00:23:05.320 --> 00:23:06.480]   These could be the small door wedges.
[00:23:06.480 --> 00:23:06.480]   These could be the small door wedges.
[00:23:06.520 --> 00:23:13.940]   things
[00:23:13.940 --> 00:23:18.280]   in,
[00:25:00.760 --> 00:25:10.840]   and
[00:25:10.840 --> 00:25:27.580]   limit the, and,
[00:25:58.800 --> 00:26:27.800]  .
[00:26:27.840 --> 00:26:52.380]   read
[00:26:52.380 --> 00:26:56.440]   actually the old the varilier Odd wherever think but watch -- -, --, or, et, rank,،, broaden, Cur and S. is�. servicios Mad. D. way. pro. hurting. dign. G.は. continue the whole. en. Fl. at the pay. is. was. work. is. or the include the liquid. in the
[00:26:56.520 --> 00:27:25.200]   and you can't find the link, but I'm going to put it in the description box.
[00:27:25.200 --> 00:27:25.200]   and you can't find the link, but I'm going to put it in the description box.
[00:27:25.200 --> 00:27:25.200]   and you can't find the link, but I'm going to put it in the description box.
[00:27:25.200 --> 00:27:25.200]   and you can't find the link, but I'm going to put it in the description box.
[00:27:25.200 --> 00:27:25.200]   and you can't find the link, but I'm going to put it in the description box.
[00:27:25.200 --> 00:27:25.200]   and you can't find the link, but I'm going to put it in the description box.
[00:27:25.200 --> 00:27:25.200]   and you can't find the link, but I'm going to put it in the description box.
[00:27:25.200 --> 00:27:25.200]   and you can't find the link, but I'm going to put it in the description box.
[00:27:25.200 --> 00:27:25.200]   and you can't find the link, but I'm going to put it in the description box.
[00:27:25.200 --> 00:27:53.900]   and you can't find the link, but I'm going to put it in the description box.
[00:27:53.900 --> 00:27:53.940]   and you can't find the link, but I'm going to put it in the description box.
[00:27:53.940 --> 00:27:53.960]   and you can't find the link, but I'm going to put it in the description box.
[00:27:53.960 --> 00:27:53.980]   and you can't find the link, but I'm going to put it in the description box.
[00:27:53.980 --> 00:27:54.000]   and you can't find the link, but I'm going to put it in the description box.
[00:27:54.000 --> 00:27:54.100]   and you can't find the link, but I'm going to put it in the description box.
[00:27:54.100 --> 00:27:54.340]   and you can't find the link, but I'm going to put it in the description box.
[00:27:54.340 --> 00:27:54.360]   and you can't find the link, but I'm going to put it in the description box.
[00:27:54.360 --> 00:27:54.400]   and you can't find the link, but I'm going to put it in the description box.
[00:27:54.400 --> 00:27:54.400]   and you can't find the link, but I'm going to put it in the description box.
[00:28:52.720 --> 00:28:52.760]   and you can find the link, but I'm going to put it in the description box.
[00:28:52.760 --> 00:28:53.580]   and you can't find the link, but I'm going to put it in the description box.
[00:28:53.580 --> 00:28:53.580]   and you can't find the link, but I'm going to put it in the description box.
[00:28:53.580 --> 00:28:53.580]   and you can't find the link, but I'm going to put it in the description box.
[00:28:53.580 --> 00:28:53.580]   and you can't find the link, but I'm going to put it in the description box.
[00:28:53.580 --> 00:28:53.580]   and you can't find the link, but I'm going to put it in the description box.
[00:28:53.580 --> 00:28:53.580]   and you can't find the link, but I'm going to put it in the description box.
[00:28:53.580 --> 00:28:53.580]   and you can't find the link, but I'm going to put it in the description box.
[00:28:53.580 --> 00:28:53.580]   and you can't find the link, but I'm going to put it in the description box.
[00:29:23.600 --> 00:29:23.600]   --------
[00:29:23.640 --> 00:29:53.620]  obed- -------- -------- -------- -------- -------- -------- -------- -------- -------- -------- -------- -------- ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ - ------ - ------ - - - - - - - - - - - - - - - - - - the book case over, the desk, I don't know, I don't know, I'm giving you my best idea, I'm aware of protecting you, as far as far as protecting you can get into the world of personal protection.
[00:29:53.620 --> 00:30:23.640]   I'm not sure if that's the right thing to do, but I'm sure it's the right thing to do.
[00:30:23.640 --> 00:30:23.640]   The thing that we can do is protect you from the other side of the story, and that's the thing that we can do.
[00:30:23.660 --> 00:30:53.660]   The thing that we can do is protect you from the other side of the story, and that's the thing that we can do.
[00:30:53.660 --> 00:30:53.660]   The thing that we can do is protect you from the other side of the story, and that's the thing that we can do.
[00:30:53.660 --> 00:30:53.660]   The thing that we can do is protect you from the other side of the story, and that's the thing that we can do.
[00:30:53.660 --> 00:30:53.660]   The thing that we can do is protect you from the other side of the story, and that's the thing that we can do.
[00:30:53.660 --> 00:30:53.660]   The thing that we can do is protect you from the other side of the story, and that's the thing that we can do.
[00:30:53.660 --> 00:30:53.660]   The thing that we can do is protect you from the other side of the story, and that's the thing that we can do.
[00:30:53.660 --> 00:30:53.660]   The thing that we can do is protect you from the other side of the story, and that's the thing that we can do.
[00:30:53.680 --> 00:31:23.680]   The thing that we can do is protect you from the other side of the story, and that's the thing that we can do.
[00:31:23.680 --> 00:31:23.680]   The thing that we can do is protect you from the other side of the story, and that's the thing that we can do.
[00:31:23.680 --> 00:31:23.680]   The thing that we can do is protect you from the other side of the story, and that's the thing that we can do.
[00:31:23.680 --> 00:31:23.680]   The thing that we can do is protect you from the other side of the story, and that's the thing that we can do.
[00:31:23.680 --> 00:31:23.680]   The thing that we can do is protect you from the other side of the story, and that's the thing that we can do.
[00:31:23.680 --> 00:31:23.680]   The thing that we can do is protect you from the other side of the story, and that's the thing that we can do.
[00:31:23.680 --> 00:31:23.680]   The thing that we can do is protect you from the other side of the story, and that's the thing that we can do.
[00:31:23.700 --> 00:31:53.700]   The thing that we can do is protect you from the other side of the story, and that's the thing that we can do.
[00:31:53.700 --> 00:31:53.700]   The thing that we can do is protect you from the other side of the story, and that's the thing that we can do.
[00:31:53.700 --> 00:31:53.700]   The thing that we can do is protect you from the other side of the story, and that's the thing that we can do.
[00:31:53.700 --> 00:31:53.700]   The thing that we can do is protect you from the other side of the story, and that's the thing that we can do.
[00:31:53.700 --> 00:31:53.700]   The thing that we can do is protect you from the other side of the story, and that's the thing that we can do.
[00:31:53.700 --> 00:31:53.700]   The thing that we can do is protect you from the other side of the story, and that's the thing that we can do.
[00:31:53.700 --> 00:31:53.700]   The thing that we can do is protect you from the other side of the story, and that's the thing that we can do.
[00:31:53.740 --> 00:32:23.720]  ,
[00:32:23.720 --> 00:32:23.720]   The thing that we can do is protect you from the other side of the story, and that's the thing that we can do.
[00:32:23.720 --> 00:32:23.720]   The thing that we can do is protect you from the other side of the story, and that's the thing that we can do.
[00:32:23.720 --> 00:32:23.720]   The thing that we can do is protect you from the other side of the story, and that's the thing that we can do.
[00:32:23.720 --> 00:32:23.720]   The thing that we can do is protect you from the other side of the story, and that's the thing that we can do.
[00:32:23.720 --> 00:32:23.720]   The thing that we can do is protect you from the other side of the story, and that's the thing that we can do.
[00:32:23.720 --> 00:32:23.720]   The thing that we can do is protect you from the other side of the story, and that's the thing that we can do.
[00:32:23.720 --> 00:32:23.720]   The thing that we can do is protect you from the other side of the story, and that's the story, and that's the thing that we can do.
[00:32:23.740 --> 00:32:53.740]   The thing that we can do is protect you from the other side of the story, and that's the thing that we can do.
[00:32:53.740 --> 00:32:53.740]   The thing that we can do is protect you from the other side of the story, and that's the thing that we can do.
[00:32:53.740 --> 00:32:53.740]   The thing that we can do is protect you from the other side of the story, and that's the thing that we can do.
[00:32:53.740 --> 00:32:53.740]   The thing that we can do is protect you from the other side of the story, and that's the thing that we can do.
[00:32:53.740 --> 00:32:53.740]   The thing that we can do is protect you from the other side of the story, and that's the thing that we can do.
[00:32:53.740 --> 00:32:53.740]   The thing that we can do is protect you from the other side of the story, and that's the thing that we can do.
[00:32:53.740 --> 00:32:53.740]   The thing that we can do is protect you from the other side of the story, and that's the thing that we can do.
[00:32:53.780 --> 00:33:23.760]  ,
[00:33:23.760 --> 00:33:23.760]   The thing that we can do is protect you from the other side of the story, and that's the thing that we can do.
[00:33:23.760 --> 00:33:23.760]   the thing that we can do is protect you from the other side of the story, and that's the thing that we can do.
[00:33:23.780 --> 00:33:53.780]   The thing that we can do is protect you from the other side of the story, and that's the thing that we can do.
[00:33:53.780 --> 00:33:53.780]   The thing that we can do is protect you from the other side of the story, and that's the thing that we can do.
[00:33:53.780 --> 00:33:53.780]   The thing that we can do is protect you from the other side of the story, and that's the thing that we can do.
