
[00:00:00.000 --> 00:00:03.000]   (keyboard clicking)
[00:06:33.300 --> 00:06:34.520]   but it's not too far away.
[00:06:34.520 --> 00:06:35.700]   It's like the final stages.
[00:06:35.700 --> 00:06:38.340]   So every evening I'm spending a couple of hours
[00:06:38.340 --> 00:06:40.980]   and making the final tweaks, but it's getting there.
[00:06:40.980 --> 00:06:44.400]   Long story short, I'm really excited about this
[00:06:44.400 --> 00:06:45.920]   because it's like a big overhaul.
[00:06:45.920 --> 00:06:48.720]   I mean, the previous editions have also been big overhauls,
[00:06:48.720 --> 00:06:52.040]   always something new, but this time I feel like really,
[00:06:52.040 --> 00:06:54.240]   it's really exciting because I also teach in PyTorch
[00:06:54.240 --> 00:06:57.840]   and then having everything neatly in PyTorch
[00:06:57.840 --> 00:06:59.680]   and everything a little bit refined,
[00:06:59.680 --> 00:07:01.720]   I think it will be really nice.
[00:07:01.720 --> 00:07:05.000]   - As a reminder to the people watching live,
[00:07:05.000 --> 00:07:07.080]   I know I'm greedy about this opportunity
[00:07:07.080 --> 00:07:08.960]   so I'm asking the question, but this is for you.
[00:07:08.960 --> 00:07:11.760]   So please keep the questions coming in and ask them.
[00:07:11.760 --> 00:07:14.040]   Since I don't see any, I'll ask this.
[00:07:14.040 --> 00:07:17.760]   Have you personally seen any changes in maybe your students
[00:07:17.760 --> 00:07:21.680]   as you've made these changes to different frameworks?
[00:07:21.680 --> 00:07:23.480]   I know you keep tweeting about this,
[00:07:23.480 --> 00:07:25.320]   how you're experimenting with new ideas.
[00:07:25.320 --> 00:07:28.600]   You're also super active about being on top
[00:07:28.600 --> 00:07:32.440]   of research papers, also constantly reading through Reddit.
[00:07:32.440 --> 00:07:35.280]   So as you've shifted to TensorFlow 2,
[00:07:35.280 --> 00:07:37.080]   from TensorFlow 1 then to PyTorch,
[00:07:37.080 --> 00:07:40.920]   have you seen any changes in the students as well?
[00:07:40.920 --> 00:07:42.120]   - That's a very good question.
[00:07:42.120 --> 00:07:45.040]   Actually, I haven't taught a class in TensorFlow.
[00:07:45.040 --> 00:07:46.760]   I used TensorFlow back then myself,
[00:07:46.760 --> 00:07:49.500]   but that was before I was joining
[00:07:49.500 --> 00:07:50.940]   the university for teaching.
[00:07:50.940 --> 00:07:53.640]   So actually while the third edition was in TensorFlow,
[00:07:53.640 --> 00:07:57.120]   that was in 2019, I was actually teaching in PyTorch.
[00:07:57.120 --> 00:08:00.840]   So we tweaked the second edition to the third edition
[00:08:00.840 --> 00:08:04.640]   by using the Eager API.
[00:08:04.640 --> 00:08:06.400]   So the Eager mode in TensorFlow,
[00:08:06.400 --> 00:08:10.500]   like using the tf.keras and so forth.
[00:08:10.500 --> 00:08:13.000]   But at this time I was already mainly using PyTorch
[00:08:13.000 --> 00:08:13.820]   and also in teaching.
[00:08:13.820 --> 00:08:16.720]   So I honestly don't have experience
[00:08:16.720 --> 00:08:18.000]   with teaching in TensorFlow.
[00:08:18.000 --> 00:08:20.400]   I only used it back then, a long time ago.
[00:08:20.400 --> 00:08:23.000]   I still sometimes look at examples in TensorFlow.
[00:08:23.000 --> 00:08:24.240]   I think it has evolved a lot.
[00:08:24.240 --> 00:08:26.200]   It's a really nice tool.
[00:08:26.200 --> 00:08:29.300]   I must say though, it's just when PyTorch came out,
[00:08:29.300 --> 00:08:31.080]   it kind of clicked a little bit with me
[00:08:31.080 --> 00:08:33.280]   in terms of how Autograd works
[00:08:33.280 --> 00:08:35.120]   and the computation graphs work.
[00:08:35.120 --> 00:08:36.720]   And I kind of really like it.
[00:08:36.720 --> 00:08:39.100]   So it's why I use it for teaching
[00:08:39.100 --> 00:08:42.280]   and can't really say how, let's say,
[00:08:42.280 --> 00:08:44.760]   how students appreciate the difference
[00:08:44.760 --> 00:08:46.360]   between TensorFlow and PyTorch.
[00:08:46.360 --> 00:08:50.000]   Yeah, but I must say in general teaching,
[00:08:50.000 --> 00:08:51.900]   I teach both the deep learning class
[00:08:51.900 --> 00:08:53.280]   and the machine learning class.
[00:08:53.280 --> 00:08:57.760]   And PyTorch, even though let's say it's kind of intuitive
[00:08:57.760 --> 00:08:59.360]   for a deep learning framework,
[00:08:59.360 --> 00:09:01.360]   it's still a steep learning curve.
[00:09:01.360 --> 00:09:04.440]   So teaching something in PyTorch,
[00:09:04.440 --> 00:09:06.360]   it's kind of still very difficult
[00:09:06.360 --> 00:09:09.080]   if you have not had any experience
[00:09:09.080 --> 00:09:10.680]   with machine learning and deep learning,
[00:09:10.680 --> 00:09:11.840]   like learning this from scratch,
[00:09:11.840 --> 00:09:13.040]   because it's a lot of overhead
[00:09:13.040 --> 00:09:16.080]   if you compare that, for example, to Scikit-Learn.
[00:09:16.080 --> 00:09:17.680]   Scikit-Learn, it's, I mean,
[00:09:17.680 --> 00:09:19.760]   even Scikit-Learn could be a lot.
[00:09:19.760 --> 00:09:21.640]   I remember when I learned Scikit-Learn,
[00:09:21.640 --> 00:09:23.400]   it was like, whoa, there's so much stuff.
[00:09:23.400 --> 00:09:25.260]   How does it all work and everything?
[00:09:25.260 --> 00:09:27.480]   And it took like maybe a year or something
[00:09:27.480 --> 00:09:30.080]   to really get comfortable with everything
[00:09:30.080 --> 00:09:31.600]   'cause you can do very powerful things
[00:09:31.600 --> 00:09:33.500]   like with the pipelines, chaining things together,
[00:09:33.500 --> 00:09:35.920]   the column transformer, heterogeneous data sets,
[00:09:35.920 --> 00:09:37.120]   like figuring all that out,
[00:09:37.120 --> 00:09:39.520]   it takes a lot of practice, I would say.
[00:09:39.520 --> 00:09:42.960]   And then PyTorch is even more complicated on top of that
[00:09:42.960 --> 00:09:45.440]   because it's more, I would say lower level
[00:09:45.440 --> 00:09:47.560]   because in Scikit-Learn, you have a fit function
[00:09:47.560 --> 00:09:50.660]   and then it just fits the model it's ready to use.
[00:09:50.660 --> 00:09:52.240]   Whereas in PyTorch, you really have to,
[00:09:52.240 --> 00:09:53.160]   or in general in deep learning,
[00:09:53.160 --> 00:09:57.000]   you have to really look at the loss over the training time,
[00:09:57.000 --> 00:09:59.120]   like to tweak hyperparameters in the way
[00:09:59.120 --> 00:10:01.120]   that you want to see if it converges.
[00:10:01.120 --> 00:10:03.160]   You have to write your training loop yourself.
[00:10:03.160 --> 00:10:07.320]   So it's more like way more nitty gritty, hands-on.
[00:10:07.320 --> 00:10:11.240]   So in that way, yeah, it is still a steep learning curve
[00:10:11.240 --> 00:10:12.560]   but it's also a lot of fun.
[00:10:12.560 --> 00:10:13.400]   I really like that.
[00:10:13.400 --> 00:10:15.240]   It's like, I like tinkering with things.
[00:10:15.240 --> 00:10:17.560]   So I kind of appreciate to be more hands-on
[00:10:17.560 --> 00:10:20.360]   and trying things out and toying around with things.
[00:10:20.360 --> 00:10:23.280]   - For the audience, I just wanted to remind them
[00:10:23.280 --> 00:10:27.360]   that you put up 170 lectures, a lot of which are in PyTorch
[00:10:27.360 --> 00:10:29.680]   and this is one of the best resources
[00:10:29.680 --> 00:10:31.480]   in my biased opinion on PyTorch
[00:10:31.480 --> 00:10:33.480]   as if they want to start up.
[00:10:33.480 --> 00:10:34.380]   - Well, thank you.
[00:10:34.380 --> 00:10:38.400]   - Have you played around with charts?
[00:10:38.400 --> 00:10:41.000]   I thought you have any thoughts on that.
[00:10:41.000 --> 00:10:43.160]   - Very good question.
[00:10:43.160 --> 00:10:44.760]   It's something on my to-do list.
[00:10:44.760 --> 00:10:47.160]   It's like, I'm kind of familiar with it.
[00:10:47.160 --> 00:10:48.080]   I looked at it.
[00:10:48.080 --> 00:10:50.120]   I know approximately how it's, let's say,
[00:10:50.120 --> 00:10:51.800]   different from PyTorch.
[00:10:51.800 --> 00:10:53.720]   Where in PyTorch, you are more like
[00:10:53.720 --> 00:10:55.400]   have the computation graph with,
[00:10:55.400 --> 00:10:57.760]   you differentiate with respect to the output.
[00:10:57.760 --> 00:11:02.520]   In Jacks, what's nice is you create derivatives
[00:11:02.520 --> 00:11:03.560]   of functions directly.
[00:11:03.560 --> 00:11:06.040]   So you have like a derivative function and things like that.
[00:11:06.040 --> 00:11:09.080]   I think it can be very useful in certain contexts,
[00:11:09.080 --> 00:11:12.960]   but in my applied work, there was no,
[00:11:12.960 --> 00:11:17.400]   I would say there was no reason to really dive into it
[00:11:17.400 --> 00:11:20.800]   to in way more detail and experiment with it.
[00:11:20.800 --> 00:11:24.260]   And then I saw there are also many libraries on top of it.
[00:11:24.260 --> 00:11:26.840]   I think Haiku, Flax, and I was like,
[00:11:26.840 --> 00:11:29.640]   ah, maybe I will save that for another day.
[00:11:29.640 --> 00:11:31.200]   Yeah, no, it looks nice.
[00:11:31.200 --> 00:11:33.000]   I think it's good to always have these options
[00:11:33.000 --> 00:11:36.160]   and different things for slightly different niche,
[00:11:36.160 --> 00:11:39.480]   not niche, but like slightly different research focus areas
[00:11:39.480 --> 00:11:44.480]   where the Flax or Jacks Flax frameworks might be more,
[00:11:44.480 --> 00:11:46.760]   better for certain types of theoretical work.
[00:11:46.760 --> 00:11:50.280]   Whereas for other things, PyTorch might be a better choice.
[00:11:50.280 --> 00:11:51.920]   So it's good to have these options.
[00:11:51.920 --> 00:11:55.100]   For my purposes, I haven't had the need to use Jacks yet,
[00:11:55.100 --> 00:11:57.060]   which is why I was putting it off a little bit.
[00:11:57.060 --> 00:11:58.380]   Same thing with Julia.
[00:11:58.380 --> 00:11:59.920]   I think Julia is a very nice language,
[00:11:59.920 --> 00:12:02.780]   but it's always like, okay, the day has 24 hours.
[00:12:02.780 --> 00:12:04.580]   There are so many cool things.
[00:12:04.580 --> 00:12:05.420]   Which one?
[00:12:05.420 --> 00:12:08.380]   - I think the audience has like at least 50 hours.
[00:12:08.380 --> 00:12:09.700]   - Yeah, yeah.
[00:12:09.700 --> 00:12:14.540]   It's like always, yeah, you have to make trade-offs.
[00:12:14.540 --> 00:12:15.380]   Yeah.
[00:12:15.380 --> 00:12:18.620]   - This is a question from the audience.
[00:12:18.620 --> 00:12:21.420]   What are you learning currently yourself?
[00:12:21.420 --> 00:12:25.680]   What's your learning (indistinct)
[00:12:25.680 --> 00:12:29.160]   - Yeah, so for me, it's usually I pick a topic
[00:12:29.160 --> 00:12:31.480]   and I learn by topic usually.
[00:12:31.480 --> 00:12:33.840]   If there's something I find interesting,
[00:12:33.840 --> 00:12:36.520]   then I dive into these individual topics.
[00:12:36.520 --> 00:12:39.120]   For example, recently, because I was also teaching
[00:12:39.120 --> 00:12:44.120]   in a lecture on that, I was looking into performance metrics
[00:12:44.120 --> 00:12:46.080]   like Matthew's correlation coefficient.
[00:12:46.080 --> 00:12:47.860]   I was going down a rabbit hole
[00:12:47.860 --> 00:12:49.680]   and these types of comparisons.
[00:12:49.680 --> 00:12:52.160]   But in more general terms,
[00:12:52.160 --> 00:12:54.240]   what I was actually just learning yesterday
[00:12:54.240 --> 00:12:56.320]   is unrelated to machine learning,
[00:12:56.320 --> 00:12:59.720]   but it is Adobe Premiere because yeah,
[00:12:59.720 --> 00:13:01.280]   I wanted to kind of also,
[00:13:01.280 --> 00:13:03.880]   what I did is when we were switching to online teaching,
[00:13:03.880 --> 00:13:07.080]   I was just really just figuring out things on the fly
[00:13:07.080 --> 00:13:10.320]   and I was working, I just used iMovie on the Mac
[00:13:10.320 --> 00:13:12.280]   and doing these types of things.
[00:13:12.280 --> 00:13:14.600]   And then I moved to a different apartment
[00:13:14.600 --> 00:13:17.000]   where I have right now a lot of background noise.
[00:13:17.000 --> 00:13:20.160]   I got like this a Yeti microphone
[00:13:20.160 --> 00:13:22.360]   and there's some automatic software.
[00:13:22.360 --> 00:13:25.580]   And I was just last week trying to get this to work
[00:13:25.580 --> 00:13:27.520]   because I don't want to have all the background noise,
[00:13:27.520 --> 00:13:29.700]   but then they have like this nice software that removes it.
[00:13:29.700 --> 00:13:32.040]   I did a few recordings and it was just dropping out
[00:13:32.040 --> 00:13:34.480]   totally my voice at the end of each sentence
[00:13:34.480 --> 00:13:36.480]   because it was too aggressive
[00:13:36.480 --> 00:13:38.060]   in terms of removing background noise.
[00:13:38.060 --> 00:13:41.000]   And then I went down that rabbit hole of figuring out,
[00:13:41.000 --> 00:13:43.800]   okay, what software can I use to kind of fix that?
[00:13:43.800 --> 00:13:48.240]   And I mean, there are these different paradigms,
[00:13:48.240 --> 00:13:49.480]   people like, what is it called?
[00:13:49.480 --> 00:13:51.520]   Final Cut and Logic.
[00:13:51.520 --> 00:13:53.200]   And then there is the Adobe Suite
[00:13:53.200 --> 00:13:54.880]   with Audition and Premiere.
[00:13:54.880 --> 00:13:57.600]   And since I have Adobe subscription already,
[00:13:57.600 --> 00:14:00.320]   I thought, okay, let me try this out.
[00:14:00.320 --> 00:14:03.440]   And then I was just yesterday in that rabbit hole
[00:14:03.440 --> 00:14:06.300]   of watching videos, how to edit your video in Premiere
[00:14:06.300 --> 00:14:07.560]   and also doing the audio editing.
[00:14:07.560 --> 00:14:11.340]   So which I hope will help me making better lecture videos
[00:14:11.340 --> 00:14:13.760]   now in the future, now that I have figured things out.
[00:14:13.760 --> 00:14:15.640]   'Cause yeah, I can't really use the software,
[00:14:15.640 --> 00:14:18.040]   the Yeti software because it's too aggressive.
[00:14:18.040 --> 00:14:22.000]   And I will just use the raw voice and then do some editing.
[00:14:22.000 --> 00:14:25.000]   But this is really, I found it really fascinating.
[00:14:25.000 --> 00:14:27.880]   I thought always I was watching YouTube videos myself
[00:14:27.880 --> 00:14:30.520]   and I'm always like, I took it for granted
[00:14:30.520 --> 00:14:33.360]   that the quality is as good as it is.
[00:14:33.360 --> 00:14:36.080]   So I was always like, well, that is just something
[00:14:36.080 --> 00:14:38.600]   that happens to be good quality,
[00:14:38.600 --> 00:14:42.560]   but then I never really appreciated how much work it takes
[00:14:42.560 --> 00:14:44.740]   to set everything up and do the editing
[00:14:44.740 --> 00:14:47.200]   and edit out all the Ms and Ms,
[00:14:47.200 --> 00:14:50.160]   and then also removing the echo and the background noise.
[00:14:50.160 --> 00:14:52.960]   And yeah, so it's actually a lot of work.
[00:14:52.960 --> 00:14:56.480]   It's like, I can see that it's a full-time job,
[00:14:56.480 --> 00:14:57.720]   maybe even doing that.
[00:14:57.720 --> 00:15:01.320]   So yeah, but I don't want to get into this nitty gritty
[00:15:01.320 --> 00:15:03.800]   detail where I spent like hours and hours on it,
[00:15:03.800 --> 00:15:06.840]   but I wanted to do at least have a little understanding
[00:15:06.840 --> 00:15:10.220]   to make some tweaks and improve things here and there.
[00:15:10.220 --> 00:15:12.740]   So I found that kind of like a fascinating, actually.
[00:15:12.740 --> 00:15:15.060]   Nothing to do, actually can have something to do
[00:15:15.060 --> 00:15:17.160]   with machine learning because I'm pretty sure
[00:15:17.160 --> 00:15:18.600]   they use some machine learning algorithms
[00:15:18.600 --> 00:15:19.440]   under the hood now.
[00:15:19.440 --> 00:15:22.940]   So that's actually also last thing about this.
[00:15:22.940 --> 00:15:23.980]   There's like the service.
[00:15:23.980 --> 00:15:28.740]   I saw one other issue is subtitles or closed captioning,
[00:15:28.740 --> 00:15:31.620]   'cause I have this very strong German accent.
[00:15:31.620 --> 00:15:35.460]   When I was doing the subtitles for my online lectures,
[00:15:35.460 --> 00:15:37.540]   I just uploaded them to YouTube.
[00:15:37.540 --> 00:15:39.640]   And for some reason, YouTube was always,
[00:15:39.640 --> 00:15:41.160]   even though I was speaking in English,
[00:15:41.160 --> 00:15:43.300]   it was thinking I was speaking German
[00:15:43.300 --> 00:15:45.560]   and then it was doing these closed captions
[00:15:45.560 --> 00:15:46.980]   that didn't make sense at all.
[00:15:46.980 --> 00:15:49.500]   And yeah, what I ended up using was,
[00:15:49.500 --> 00:15:51.340]   I think it was called otter.ai
[00:15:51.340 --> 00:15:53.940]   and they can actually do really good on closed captioning.
[00:15:53.940 --> 00:15:54.780]   - I used the same tool.
[00:15:54.780 --> 00:15:57.260]   - Oh yeah, and I think it's based on deep learning, right?
[00:15:57.260 --> 00:15:59.540]   So in that way, so that's like full circle.
[00:15:59.540 --> 00:16:01.620]   We are back at deep learning here.
[00:16:01.620 --> 00:16:03.100]   So yeah.
[00:16:03.100 --> 00:16:05.460]   - That's also a very interesting bias
[00:16:05.460 --> 00:16:08.020]   in the YouTube captioning system, right?
[00:16:08.020 --> 00:16:09.340]   If it's defaulting to zero.
[00:16:09.340 --> 00:16:10.180]   - Yeah, there was like,
[00:16:10.180 --> 00:16:11.960]   and there was no setting to change it.
[00:16:11.960 --> 00:16:14.780]   I mean, sometimes I think deep learning
[00:16:14.780 --> 00:16:15.980]   and machine learning is very powerful.
[00:16:15.980 --> 00:16:18.660]   It's very cool if it can do things automatically,
[00:16:18.660 --> 00:16:20.960]   but sometimes forcing it to always
[00:16:20.960 --> 00:16:23.180]   automatically do something,
[00:16:23.180 --> 00:16:24.240]   I'm not sure if that's necessary.
[00:16:24.240 --> 00:16:26.300]   There could be an option, like I want this,
[00:16:26.300 --> 00:16:27.180]   or I don't want this.
[00:16:27.180 --> 00:16:29.460]   So, and I think maybe they changed it now,
[00:16:29.460 --> 00:16:30.780]   but back then there was no option
[00:16:30.780 --> 00:16:32.380]   to turn off this auto guessing.
