
[00:00:00.040 --> 00:00:09.560]  ivat
[00:02:33.920 --> 00:02:43.300]   Although there are times at which you need a teacher, some of the most valuable learning can be done without a specific teacher,
[00:02:43.300 --> 00:02:48.560]   especially in the types of things that we discuss here on Radical Personal Finance,
[00:02:48.560 --> 00:02:56.200]   especially in your own pursuit of a rich life and financial freedom.
[00:02:56.200 --> 00:02:56.200]   Especially in the types of things that we discuss here on Radical Personal Finance,
[00:02:56.200 --> 00:02:56.200]   Especially in your own pursuit of a rich life and financial freedom.
[00:02:56.200 --> 00:02:56.200]   Especially in the types of things that we discuss here on Radical Personal Finance,
[00:02:56.200 --> 00:02:56.200]   Especially in your own pursuit of a rich life and financial freedom.
[00:02:56.200 --> 00:02:56.200]   Especially in the types of things that we discuss here on Radical Personal Finance,
[00:02:56.200 --> 00:02:56.200]   Especially in your own pursuit of a rich life and financial freedom.
[00:02:56.200 --> 00:02:56.200]   Especially in your own pursuit of a rich life and financial freedom.
[00:02:56.200 --> 00:02:56.200]   Especially in your own pursuit of a rich life and financial freedom.
[00:02:56.200 --> 00:02:56.200]   and financial freedom.
[00:02:56.240 --> 00:03:25.060]   give
[00:03:25.060 --> 00:03:25.800]   equal. We,00, savage, H. H. H. wasn ac was a couldn and it was the region of theedereGGGGGGGetics Me Sh my a scenes and the 실� and the
[00:03:26.020 --> 00:03:36.460]   stock
[00:03:36.460 --> 00:03:38.240]  �� end. I kind,,,,,
[00:04:53.500 --> 00:05:01.320]   Madison
[00:05:01.320 --> 00:05:03.620]   10, ";
[00:05:03.620 --> 00:05:07.600]   dumpling
[00:05:07.600 --> 00:05:22.480]   be the keep the work I I I I Himdade政府 AND Brael://G,oring, and, �-'mas, chat, cover, he,AG, and, all,, 실제로,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fia lot of doing aNIEC. củaé?� النi 100 хот infi is care in liailed 생ast see in Freund 11%ensions perceive by vulnerable Lehress then wNext persistent chịil en head become auzu This question of Head Xänd blessed but wasn't farage concertikke thing that wasür in present Спin denendeu the bust lineélé stuff is ale potrze don Dah Wednesday敢uc знакомé �rage be even login Francisco gu роб лай straightbahn shy ale hipp
[00:05:22.500 --> 00:05:30.520]   $1.00 an hour of memory serves and so over the course of the summer I could earn about $3,000 if I worked a full-time job for most of the summer.
[00:05:30.520 --> 00:05:32.520]   $1.00 an hour of memory serves and so over the course of the summer I could earn about $3,000 if I worked a full-time job for most of the summer.
[00:05:32.520 --> 00:05:34.520]   $1.00 an hour of memory serves and so over the course of the summer I could earn about $3,000 if I worked a full-time job for most of the summer.
[00:05:34.520 --> 00:05:36.520]   $1.00 an hour of memory serves and so over the course of the summer I could earn about $3,000 if I worked a full-time job for most of the summer.
[00:05:36.520 --> 00:05:38.520]   $1.00 an hour of memory serves and so over the course of the summer I could earn about $3,000 if I worked a full-time job for most of the summer.
[00:05:38.540 --> 00:06:00.560]   $1.00 an hour of memory serves and so over the course of the summer I could earn about $3,000 if I worked a full-time job for most of the summer.
[00:06:00.560 --> 00:06:02.560]   $1.00 an hour of memory serves and so over the course of the summer I could earn about $3,000 if I worked a full-time job for most of the summer.
[00:06:02.560 --> 00:06:04.560]   $1.00 an hour of memory serves and so over the course of the summer I could earn about $3,000 if I worked a full-time job for most of the summer.
[00:06:04.560 --> 00:06:06.560]   $1.00 an hour of memory serves and so over the course of the summer I could earn about $3,000 if I worked a full-time job for most of the summer.
[00:06:06.560 --> 00:06:08.560]   $1.00 an hour of memory serves and so over the course of the summer I could earn about $3,000 if I worked a full-time job for most of the summer.
[00:06:08.600 --> 00:06:38.600]   $1.00 an hour of memory serves and so over the course of the summer I could earn about $3,000 if I worked a full-time job for most of the summer.
[00:06:38.600 --> 00:06:38.600]   I would generally, I found out afterward, go to the gas station and I would go to the gas station quite frequently.
[00:06:38.600 --> 00:06:38.600]   I would generally, I found out afterward, go to the gas station and I would go to the gas station quite frequently.
[00:06:38.600 --> 00:06:38.600]   I would generally, I found out afterward, go to the gas station and I would go to the gas station quite frequently.
[00:06:38.620 --> 00:06:44.640]   I would generally, I found out afterward, go to the gas station quite frequently.
[00:06:44.640 --> 00:06:46.640]   I would generally, I found out afterward, go to the gas station quite frequently.
[00:06:46.640 --> 00:06:48.640]   I would generally, I found out afterward, go to the gas station quite frequently.
[00:06:48.640 --> 00:06:50.640]   I would generally, I found out afterward, go to the gas station quite frequently.
[00:06:50.640 --> 00:06:52.640]   I would generally, I found out afterward, go to the gas station quite frequently.
[00:06:52.640 --> 00:06:54.640]   I would generally, I found out afterward, go to the gas station quite frequently.
[00:06:54.640 --> 00:06:56.640]   I would generally, I found out afterward, go to the gas station quite frequently.
[00:06:56.640 --> 00:06:58.640]   I would generally, I found out afterward, go to the gas station quite frequently.
[00:06:58.640 --> 00:07:00.640]   I would generally, I found out afterward, go to the gas station quite frequently.
[00:07:00.640 --> 00:07:02.640]   I would generally, I found out afterward, go to the gas station quite frequently.
[00:07:02.640 --> 00:07:04.640]   I would generally, I found out afterward, go to the gas station quite frequently.
[00:07:05.180 --> 00:07:32.680]  , I would generally, I found out afterward, go to the gas station quite frequently.
[00:07:32.680 --> 00:07:34.680]   I would generally, I found out afterward, go to the gas station quite frequently.
[00:07:34.680 --> 00:07:34.680]   I would generally, I found out afterward, go to the gas station quite frequently.
[00:07:34.680 --> 00:07:34.680]   I would generally, I found out afterward, go to the gas station quite frequently.
[00:07:34.680 --> 00:07:34.680]   I would generally, I found out afterward, go to the gas station quite frequently.
[00:07:34.680 --> 00:07:34.680]   I would generally, I found out afterward, go to the gas station quite frequently.
[00:07:34.680 --> 00:07:34.680]   I would generally, I found out afterward, go to the gas station quite frequently.
[00:07:34.680 --> 00:07:34.680]   I would generally, I found out afterward, go to the gas station quite frequently.
[00:07:34.680 --> 00:07:34.680]   I would generally, I found out afterward, go to the gas station quite frequently.
[00:07:34.680 --> 00:07:34.680]   I would generally, I found out afterward, go to the gas station quite frequently. I would generally, I would generally, I found out afterward, go to the gas station quite frequently.
[00:07:34.720 --> 00:07:43.360]   -
[00:07:43.360 --> 00:07:46.060]   how,
[00:08:04.720 --> 00:08:34.680]   Bea.
[00:08:34.680 --> 00:08:34.680]   I don't think I would have had the awareness of my finances to actually figure out what had happened if my dad hadn't forced me to go back and do a forensic accounting and try to figure out what had happened.
[00:08:34.680 --> 00:08:34.680]   I don't think I would have had the awareness of my finances to actually figure out what had happened if my dad hadn't forced me to go back and do a forensic accounting and try to figure out what had happened.
[00:08:34.680 --> 00:08:34.680]   I don't think I would have had the awareness of my finances to actually figure out what had happened if my dad hadn't forced me to go back and do a forensic accounting and try to figure out what had happened.
[00:08:34.680 --> 00:08:34.680]   I don't think I would have had the awareness of my finances to actually figure out what had happened.
[00:08:34.680 --> 00:08:34.680]   I don't think I would have had the awareness of my finances to actually figure out what had happened.
[00:08:34.680 --> 00:08:34.680]   I don't think I would have had the awareness of my finances to actually figure out what had happened.
[00:08:34.680 --> 00:09:04.680]  ,
[00:09:04.680 --> 00:09:04.680]   I don't think I would have had the awareness of my finances to actually figure out what had happened.
[00:09:04.680 --> 00:09:04.680]   I don't think I would have had the awareness of my finances to actually figure out what had happened.
[00:09:04.680 --> 00:09:04.680]   I don't think I would have had the awareness of my finances to actually figure out what had happened.
[00:09:04.680 --> 00:09:04.680]   I don't think I would have had the awareness of my finances to actually figure out what had happened.
[00:09:04.680 --> 00:09:04.680]   I don't think I would have had the awareness of my finances to actually figure out what had happened.
[00:09:04.680 --> 00:09:04.680]   I don't think I would have had the awareness of my finances to actually figure out what had happened.
[00:09:04.700 --> 00:09:34.680]   I don't think I would have had the awareness of my finances to actually figure out what had happened.
[00:09:34.680 --> 00:09:34.680]   I don't think I would have had the awareness of my finances to actually figure out what had happened.
[00:09:34.680 --> 00:09:34.680]   I don't think I would have had the awareness of my finances to actually figure out what had happened.
[00:09:34.680 --> 00:09:34.680]   I don't think I would have had the awareness of my finances to actually figure out what had happened.
[00:09:34.680 --> 00:09:34.680]   I don't think I would have had the awareness of my finances to actually figure out what had happened.
[00:09:34.680 --> 00:09:34.680]   I don't think I would have had the awareness of my finances to actually figure out what had happened.
[00:09:34.680 --> 00:09:34.680]   I don't think I would have had the awareness of my finances to actually figure out what had happened.
[00:09:34.680 --> 00:09:34.680]   I don't think I would have had the awareness of my finances to actually figure out what had happened.
[00:09:34.680 --> 00:09:34.680]   I don't think I would have had the awareness of my finances to actually figure out what had happened.
[00:09:34.680 --> 00:10:04.680]  ,
[00:10:04.680 --> 00:10:04.680]   I don't think I would have had the awareness of my finances to actually figure out what had happened.
[00:10:04.680 --> 00:10:04.680]   I don't think I would have had the awareness of my finances to actually figure out what had happened.
[00:10:04.680 --> 00:10:04.680]   I don't think I would have had the awareness of my finances to actually figure out what had happened.
[00:10:04.680 --> 00:10:04.680]   I don't think I would have the awareness of my finances to actually figure out what had happened.
[00:10:04.700 --> 00:10:34.680]   I don't think I would have had the awareness of my finances to actually figure out what had happened.
[00:10:34.680 --> 00:10:34.680]   I don't think I would have had the awareness of my finances to actually figure out what had happened.
[00:10:34.680 --> 00:10:34.680]   I don't think I would have had the awareness of my finances to actually figure out what had happened.
[00:10:34.680 --> 00:10:34.680]   I don't think I would have had the awareness of my finances to actually figure out what had happened.
[00:10:34.680 --> 00:10:34.680]   I don't think I would have had the awareness of my finances to actually figure out what had happened.
[00:10:34.680 --> 00:10:34.680]   I don't think I would have had the awareness of my finances to actually figure out what had happened.
[00:10:34.680 --> 00:10:34.680]   I don't think I would have had the awareness of my finances to actually figure out what had happened.
[00:10:34.680 --> 00:10:34.680]   I don't think I would have had the awareness of my finances to actually figure out what had happened.
[00:10:34.680 --> 00:10:34.680]   I don't think I would have had the awareness of my finances to actually figure out what had happened.
[00:10:34.680 --> 00:11:04.700]  , I don't think I would have had the awareness of my finances to actually figure out what had happened.
[00:11:04.700 --> 00:11:04.700]   I don't think I would have had the awareness of my finances to actually figure out what had happened.
[00:11:04.700 --> 00:11:04.700]   I don't think I would have had the awareness of my finances to actually figure out what had happened.
[00:11:04.700 --> 00:11:04.700]   I don't think I would have had the awareness of my finances to actually figure out what had happened.
[00:11:04.700 --> 00:11:04.700]   I don't think I would have the awareness of my finances to actually figure out what had happened.
[00:11:04.720 --> 00:11:34.720]   I don't think I would have had the awareness of my finances to actually figure out what had happened.
[00:11:34.720 --> 00:11:34.720]   I don't think I would have had the awareness of my finances to actually figure out what had happened.
[00:11:34.720 --> 00:11:34.720]   I don't think I would have had the awareness of my finances to actually figure out what had happened.
[00:11:34.720 --> 00:11:34.720]   I don't think I would have had the awareness of my finances to actually figure out what had happened.
[00:11:34.720 --> 00:11:34.720]   I don't think I would have had the awareness of my finances to actually figure out what had happened.
[00:11:34.720 --> 00:11:34.720]   I don't think I would have had the awareness of my finances to actually figure out what had happened.
[00:11:34.720 --> 00:11:34.720]   I don't think I would have had the awareness of my finances to actually figure out what had happened.
[00:11:34.720 --> 00:11:34.720]   I don't think I would have had the awareness of my finances to actually figure out what had happened.
[00:11:34.720 --> 00:11:34.720]   I don't think I would have had the awareness of my finances to actually figure out what had happened.
[00:11:34.760 --> 00:12:04.740]   I don't think I would have had the awareness of my finances to actually figure out what had happened.
[00:12:04.740 --> 00:12:04.740]   I don't think I would have had the awareness of my finances to actually figure out what had happened.
[00:12:04.740 --> 00:12:04.740]   I don't think I would have had the awareness of my finances to actually figure out what had happened.
[00:12:04.740 --> 00:12:04.740]   I don't think I would have had the awareness of my finances to actually figure out what had happened.
[00:12:04.760 --> 00:12:08.320]   Observe the state of your bank account.
[00:12:08.320 --> 00:12:10.960]   Pay attention to your net worth.
[00:12:10.960 --> 00:12:13.240]   Pay attention to your spending habits.
[00:12:13.240 --> 00:12:15.780]   See what's happening with your job.
[00:12:15.780 --> 00:12:20.080]   Pay attention to how you do your job and how effective you are at it.
[00:12:20.080 --> 00:12:21.600]   Pay attention to your life.
[00:12:21.600 --> 00:12:24.640]   Pay attention to the relationships in your life.
[00:12:24.640 --> 00:12:27.800]   Pay attention to the stresses and the triggers in your life.
[00:12:27.800 --> 00:12:32.580]   When you find yourself earning a lot of money, pay attention to why.
[00:12:32.580 --> 00:12:34.760]   When you find yourself not earning a lot of money,
[00:12:34.760 --> 00:12:34.760]   pay attention to why.
[00:12:34.760 --> 00:12:34.760]   Pay attention to the stresses and the triggers in your life.
[00:12:34.760 --> 00:12:34.760]   Pay attention to the stresses and the triggers in your life.
[00:12:34.760 --> 00:12:34.760]   Pay attention to the stresses and the triggers in your life.
[00:12:34.760 --> 00:12:34.760]   Pay attention to the stresses and the triggers in your life.
[00:12:34.760 --> 00:12:34.760]   Pay attention to the stresses and the triggers in your life.
[00:12:34.760 --> 00:12:34.760]   Pay attention to the stresses and the triggers in your life.
[00:12:34.760 --> 00:13:04.780]   I'm not saying that you should pay attention to the stresses and the triggers in your life.
[00:13:04.780 --> 00:13:04.780]   Pay attention to the stresses and the triggers in your life.
[00:13:04.780 --> 00:13:04.780]   Pay attention to the stresses and the triggers in your life.
[00:13:04.780 --> 00:13:04.780]   Pay attention to the stresses and the triggers in your life.
[00:13:04.780 --> 00:13:04.780]   Pay attention to the stresses and the triggers in your life.
[00:13:04.780 --> 00:13:04.780]   Pay attention to the stresses and the triggers in your life.
[00:13:04.780 --> 00:13:04.780]   Pay attention to the stresses and the triggers in your life.
[00:13:04.780 --> 00:13:04.780]   Pay attention to the stresses and the triggers in your life.
[00:13:04.800 --> 00:13:34.800]   Pay attention to the stresses and the triggers in your life.
[00:13:34.800 --> 00:13:34.800]   Pay attention to the stresses and the triggers in your life.
[00:13:34.800 --> 00:13:34.800]   Pay attention to the stresses and the triggers in your life.
[00:13:34.800 --> 00:13:34.800]   Pay attention to the stresses and the triggers in your life.
[00:13:34.800 --> 00:13:34.800]   Pay attention to the stresses and the triggers in your life.
[00:13:34.800 --> 00:13:34.800]   Pay attention to the stresses and the triggers in your life.
[00:13:34.800 --> 00:13:34.800]   Pay attention to the stresses and the triggers in your life.
[00:13:34.800 --> 00:13:34.800]   Pay attention to the stresses and the triggers in your life.
[00:13:34.800 --> 00:13:34.800]   Pay attention to the stresses and the triggers in your life.
[00:13:34.800 --> 00:13:34.800]   Pay attention to the stresses and the triggers in your life.
[00:13:34.800 --> 00:13:34.800]   Pay attention to the stresses and the triggers in your life.
[00:13:34.800 --> 00:13:34.800]   Pay attention to the stresses and the triggers in your life.
[00:13:34.800 --> 00:13:34.800]   Pay attention to the stresses and the triggers in your life.
[00:13:34.800 --> 00:13:34.800]   Pay attention to the stresses and the triggers in your life.
[00:13:34.800 --> 00:13:34.800]   Pay attention to the stresses and the triggers in your life.
[00:13:34.840 --> 00:14:04.820]   PAY ATTENTION TO THE THRESHS AND THE RULES OF YOUR LIFE.
[00:14:04.820 --> 00:14:04.820]   PAY ATTENTION TO THE THRESHS AND THE RULES OF YOUR LIFE.
[00:14:04.820 --> 00:14:04.820]   PAY ATTENTION TO THE THRESHS AND THE RULES OF YOUR LIFE.
[00:14:04.820 --> 00:14:04.820]   PAY ATTENTION TO THE THRESHS AND THE RULES OF YOUR LIFE.
[00:14:04.820 --> 00:14:04.820]   PAY ATTENTION TO THE THRESHS AND THE RULES OF YOUR LIFE.
[00:14:04.820 --> 00:14:04.820]   PAY ATTENTION TO THE THRESHS AND THE RULES OF YOUR LIFE.
[00:14:04.820 --> 00:14:04.820]   PAY ATTENTION TO THE THRESHS AND THE RULES OF YOUR LIFE.
[00:14:04.840 --> 00:14:34.840]   PAY ATTENTION TO THE THRESHS AND THE RULES OF YOUR LIFE.
[00:14:34.840 --> 00:14:34.840]   PAY ATTENTION TO THE THRESHS AND THE RULES OF YOUR LIFE.
[00:14:34.840 --> 00:14:34.840]   PAY ATTENTION TO THE THRESHS AND THE RULES OF YOUR LIFE.
[00:14:34.840 --> 00:14:34.840]   PAY ATTENTION TO THE THRESHS AND THE RULES OF YOUR LIFE.
[00:14:34.840 --> 00:14:34.840]   PAY ATTENTION TO THE THRESHS AND THE RULES OF YOUR LIFE.
[00:14:34.840 --> 00:14:34.840]   PAY ATTENTION TO THE THRESHS AND THE RULES OF YOUR LIFE.
[00:14:34.840 --> 00:14:34.840]   PAY ATTENTION TO THE THRESHS AND THE RULES OF YOUR LIFE.
[00:14:34.840 --> 00:14:34.840]   PAY ATTENTION TO THE THRESHS AND THE RULES OF YOUR LIFE.
[00:14:34.840 --> 00:14:34.840]   PAY ATTENTION TO THE THRESHS AND THE RULES OF YOUR LIFE.
[00:14:34.860 --> 00:15:04.860]   PAY ATTENTION TO THE THRESHS AND THE RULES OF YOUR LIFE.
[00:15:04.860 --> 00:15:04.860]   PAY ATTENTION TO THE THRESHS AND THE RULES OF YOUR LIFE.
[00:15:04.860 --> 00:15:04.860]   PAY ATTENTION TO THE THRESHS AND THE RULES OF YOUR LIFE.
[00:15:04.860 --> 00:15:04.860]   PAY ATTENTION TO THE THRESHS AND THE RULES OF YOUR LIFE.
[00:15:04.860 --> 00:15:04.860]   PAY ATTENTION TO THE THRESHS AND THE RULES OF YOUR LIFE.
[00:15:04.860 --> 00:15:04.860]   PAY ATTENTION TO THE THRESHS AND THE RULES OF YOUR LIFE.
[00:15:04.860 --> 00:15:04.860]   PAY ATTENTION TO THE THRESHS AND THE RULES OF YOUR LIFE.
[00:15:04.860 --> 00:15:04.860]   PAY ATTENTION TO THE THRESHS AND THE RULES OF YOUR LIFE.
[00:15:04.860 --> 00:15:04.860]   PAY ATTENTION TO THE THRESHS AND THE RULES OF YOUR LIFE.
[00:15:04.880 --> 00:15:34.880]   PAY ATTENTION TO THE THRESHS AND THE RULES OF YOUR LIFE.
[00:15:34.880 --> 00:15:34.880]   PAY ATTENTION TO THE THRESHS AND THE RULES OF YOUR LIFE.
[00:15:34.880 --> 00:15:34.880]   PAY ATTENTION TO THE THRESHS AND THE RULES OF YOUR LIFE.
[00:15:34.880 --> 00:15:34.880]   PAY ATTENTION TO THE THRESHS AND THE RULES OF YOUR LIFE.
[00:15:34.880 --> 00:15:34.880]   PAY ATTENTION TO THE THRESHS AND THE RULES OF YOUR LIFE.
[00:15:34.880 --> 00:15:34.880]   PAY ATTENTION TO THE THRESHS AND THE RULES OF YOUR LIFE.
[00:15:34.880 --> 00:15:34.880]   PAY ATTENTION TO THE THRESHS AND THE RULES OF YOUR LIFE.
[00:15:34.880 --> 00:15:34.880]   PAY ATTENTION TO THE THRESHS AND THE RULES OF YOUR LIFE.
[00:15:34.880 --> 00:15:34.880]   PAY ATTENTION TO THE THRESHS AND THE RULES OF YOUR LIFE.
[00:15:34.900 --> 00:16:04.900]   PAY ATTENTION TO THE THRESHS AND THE RULES OF YOUR LIFE.
[00:16:04.900 --> 00:16:04.900]   PAY ATTENTION TO THE THRESHS AND THE RULES OF YOUR LIFE.
[00:16:04.900 --> 00:16:04.900]   PAY ATTENTION TO THE THRESHS AND THE RULES OF YOUR LIFE.
[00:16:04.900 --> 00:16:04.900]   PAY ATTENTION TO THE THRESHS AND THE RULES OF YOUR LIFE.
[00:16:04.900 --> 00:16:04.900]   PAY ATTENTION TO THE THRESHS AND THE RULES OF YOUR LIFE.
[00:16:04.900 --> 00:16:04.900]   PAY ATTENTION TO THE THRESHS AND THE RULES OF YOUR LIFE.
[00:16:04.900 --> 00:16:04.900]   PAY ATTENTION TO THE THRESHS AND THE RULES OF YOUR LIFE.
[00:16:04.900 --> 00:16:04.900]   PAY ATTENTION TO THE THRESHS AND THE RULES OF YOUR LIFE.
[00:16:04.900 --> 00:16:04.900]   PAY ATTENTION TO THE THRESHS AND THE RULES OF YOUR LIFE.
[00:16:04.920 --> 00:16:34.920]   PAY ATTENTION TO THE THRESHS AND THE RULES OF YOUR LIFE.
[00:16:34.920 --> 00:16:34.920]   PAY ATTENTION TO THE THRESHS AND THE RULES OF YOUR LIFE.
[00:16:34.920 --> 00:16:34.920]   PAY ATTENTION TO THE THRESHS AND THE RULES OF YOUR LIFE.
[00:16:34.920 --> 00:16:34.920]   PAY ATTENTION TO THE THRESHS AND THE RULES OF YOUR LIFE.
[00:16:34.920 --> 00:16:34.920]   PAY ATTENTION TO THE THRESHS AND THE RULES OF YOUR LIFE.
[00:16:34.920 --> 00:16:34.920]   PAY ATTENTION TO THE THRESHS AND THE RULES OF YOUR LIFE.
[00:16:34.920 --> 00:16:34.920]   PAY ATTENTION TO THE THRESHS AND THE RULES OF YOUR LIFE.
[00:16:34.920 --> 00:16:34.920]   PAY ATTENTION TO THE THRESHS AND THE RULES OF YOUR LIFE.
[00:16:34.920 --> 00:16:34.920]   PAY ATTENTION TO THE THRESHS AND THE RULES OF YOUR LIFE.
[00:16:34.940 --> 00:17:04.940]   PAY ATTENTION TO THE THRESHS AND THE RULES OF YOUR LIFE.
[00:17:04.940 --> 00:17:04.940]   PAY ATTENTION TO THE THRESHS AND THE RULES OF YOUR LIFE.
[00:17:04.940 --> 00:17:04.940]   PAY ATTENTION TO THE THRESHS AND THE RULES OF YOUR LIFE.
[00:17:04.940 --> 00:17:04.940]   PAY ATTENTION TO THE THRESHS AND THE RULES OF YOUR LIFE.
[00:17:04.940 --> 00:17:04.940]   PAY ATTENTION TO THE THRESHS AND THE RULES OF YOUR LIFE.
[00:17:04.940 --> 00:17:04.940]   PAY ATTENTION TO THE THRESHS AND THE RULES OF YOUR LIFE.
[00:17:04.940 --> 00:17:04.940]   PAY ATTENTION TO THE THRESHS AND THE RULES OF YOUR LIFE.
[00:17:04.940 --> 00:17:04.940]   PAY ATTENTION TO THE THRESTS AND THE RULES OF YOUR LIFE.
[00:17:04.940 --> 00:17:34.960]   PAY ATTENTION TO THE THRESHS AND THE RULES OF YOUR LIFE.
[00:17:34.960 --> 00:17:34.960]   PAY ATTENTION TO THE THRESHS AND THE RULES OF YOUR LIFE.
[00:17:34.960 --> 00:17:34.960]   PAY ATTENTION TO THE THRESHS AND THE RULES OF YOUR LIFE.
[00:17:34.960 --> 00:17:34.960]   PAY ATTENTION TO THE THRESHS AND THE RULES OF YOUR LIFE.
[00:17:34.960 --> 00:17:34.960]   PAY ATTENTION TO THE THRESHS AND THE RULES OF YOUR LIFE.
[00:17:34.960 --> 00:17:34.960]   PAY ATTENTION TO THE THRESHS AND THE RULES OF YOUR LIFE.
[00:17:34.960 --> 00:17:34.960]   PAY ATTENTION TO THE THRESHS AND THE RULES OF YOUR LIFE.
[00:17:34.960 --> 00:17:34.960]   PAY ATTENTION TO THE THRESHS AND THE RULES OF YOUR LIFE.
[00:17:34.960 --> 00:17:34.960]   PAY ATTENTION TO THE THRESHS AND THE RULES OF YOUR LIFE.
[00:17:34.980 --> 00:18:04.980]   PAY ATTENTION TO THE THRESHS AND THE RULES OF YOUR LIFE.
[00:18:04.980 --> 00:18:04.980]   PAY ATTENTION TO THE THRESHS AND THE RULES OF YOUR LIFE.
[00:18:04.980 --> 00:18:04.980]   PAY ATTENTION TO THE THRESHS AND THE RULES OF YOUR LIFE.
[00:18:04.980 --> 00:18:04.980]   PAY ATTENTION TO THE THRESHS AND THE RULES OF YOUR LIFE.
[00:18:04.980 --> 00:18:04.980]   PAY ATTENTION TO THE THRESHS AND THE RULES OF YOUR LIFE.
[00:18:04.980 --> 00:18:04.980]   PAY ATTENTION TO THE THRESHS AND THE RULES OF YOUR LIFE.
[00:18:04.980 --> 00:18:04.980]   PAY ATTENTION TO THE THRESHS AND THE RULES OF YOUR LIFE.
[00:18:04.980 --> 00:18:04.980]   PAY ATTENTION TO THE THRESHS AND THE RULES OF YOUR LIFE.
[00:18:04.980 --> 00:18:04.980]   PAY ATTENTION TO THE THRESHS AND THE RULES OF YOUR LIFE.
[00:18:05.000 --> 00:18:35.000]   PAY ATTENTION TO THE THRESHS AND THE RULES OF YOUR LIFE.
[00:18:35.000 --> 00:18:35.000]   PAY ATTENTION TO THE THRESHS AND THE RULES OF YOUR LIFE.
[00:18:35.000 --> 00:18:35.000]   PAY ATTENTION TO THE THRESHS AND THE RULES OF YOUR LIFE.
[00:18:35.000 --> 00:18:35.000]   PAY ATTENTION TO THE THRESHS AND THE RULES OF YOUR LIFE.
[00:18:35.000 --> 00:18:35.000]   PAY ATTENTION TO THE THRESHS AND THE RULES OF YOUR LIFE.
[00:18:35.000 --> 00:18:35.000]   PAY ATTENTION TO THE THRESHS AND THE RULES OF YOUR LIFE.
[00:18:35.000 --> 00:18:35.000]   PAY ATTENTION TO THE THRESHS AND THE RULES OF YOUR LIFE.
[00:18:35.000 --> 00:18:35.000]   PAY ATTENTION TO THE THRESHS AND THE RULES OF YOUR LIFE.
