
[00:00:00.000 --> 00:00:01.600]   Are you experienced?
[00:01:30.980 --> 00:01:33.140]   We love to get mad about them
[00:01:33.140 --> 00:01:35.240]   and talk about how much money we spend on them,
[00:01:35.240 --> 00:01:37.420]   but they're kind of important.
[00:01:37.420 --> 00:01:40.420]   And I'll tell you, I've struggled with this decision,
[00:01:40.420 --> 00:01:41.980]   struggled to figure out how to give you good advice,
[00:01:41.980 --> 00:01:44.500]   so take my advice today, test it,
[00:01:44.500 --> 00:01:46.300]   and then let me know what you think.
[00:01:46.300 --> 00:01:48.880]   (upbeat music)
[00:01:48.880 --> 00:01:54.780]   Specifically today, we're gonna pull apart this question,
[00:01:54.780 --> 00:01:55.620]   and this is a question
[00:01:55.620 --> 00:01:56.900]   that has always bothered me a little bit.
[00:01:56.900 --> 00:01:59.060]   I like to have a framework for most decisions.
[00:01:59.060 --> 00:01:59.940]   If I can ever create one,
[00:01:59.940 --> 00:02:03.340]   I really like to have a framework for financial decisions
[00:02:03.340 --> 00:02:04.840]   that will give me the opportunity
[00:02:04.840 --> 00:02:08.240]   to be able to know what to do in most situations.
[00:02:08.240 --> 00:02:10.020]   But the question of what to do when your car breaks
[00:02:10.020 --> 00:02:12.380]   is not an easy question to answer.
[00:02:12.380 --> 00:02:13.860]   It's really, really not.
[00:02:13.860 --> 00:02:16.220]   And I've heard various pieces of advice,
[00:02:16.220 --> 00:02:18.740]   but even on this subject,
[00:02:18.740 --> 00:02:20.380]   there's not a continuity of advice.
[00:02:20.380 --> 00:02:23.020]   Probably, I guess, the only major piece of advice
[00:02:23.020 --> 00:02:25.340]   that I have often heard is the idea
[00:02:25.340 --> 00:02:26.740]   that if your car gets to the point
[00:02:26.740 --> 00:02:29.900]   where the cost of repairing it
[00:02:29.900 --> 00:02:33.380]   is gonna be more than half of the value of the car,
[00:02:33.380 --> 00:02:34.360]   then you should replace it.
[00:02:34.360 --> 00:02:36.420]   But even there, where does it come from?
[00:02:36.420 --> 00:02:37.640]   It's always really, really bothered me.
[00:02:37.640 --> 00:02:39.100]   So I'm gonna share with you some thoughts
[00:02:39.100 --> 00:02:40.940]   about how I approach a situation,
[00:02:40.940 --> 00:02:42.660]   and I hope it can be helpful to you.
[00:02:42.660 --> 00:02:45.820]   Because for many people,
[00:02:45.820 --> 00:02:48.060]   having a car that's either broken down
[00:02:48.060 --> 00:02:50.420]   or is continually breaking down,
[00:02:50.420 --> 00:02:55.420]   that can lead to a major, major financial mistake,
[00:02:55.500 --> 00:02:58.140]   where they go out and buy a new car.
[00:02:58.140 --> 00:03:00.060]   So we're gonna talk in detail about that.
[00:03:00.060 --> 00:03:01.220]   Before we do, a couple quick announcements.
[00:03:01.220 --> 00:03:05.140]   Number one, this is episode 255 of the show.
[00:03:05.140 --> 00:03:09.140]   Episode 254 was an interview with J.D. Roth
[00:03:09.140 --> 00:03:10.900]   from Get Rich Slowly.
[00:03:10.900 --> 00:03:12.140]   And I would recommend to you
[00:03:12.140 --> 00:03:14.580]   that you check that out in the feed if you haven't heard it.
[00:03:14.580 --> 00:03:17.140]   I made a mistake when I was publishing that show,
[00:03:17.140 --> 00:03:18.420]   and I set the date wrong.
[00:03:18.420 --> 00:03:20.860]   So for many of you, it showed up like a week in the past,
[00:03:20.860 --> 00:03:21.900]   but I've fixed that.
[00:03:21.900 --> 00:03:24.560]   So if you are just tuning into this show
[00:03:24.560 --> 00:03:27.380]   and you didn't hear or see the episode with J.D. Roth,
[00:03:27.380 --> 00:03:28.460]   go back and check that in the feed
[00:03:28.460 --> 00:03:30.020]   and download and check that out.
[00:03:30.020 --> 00:03:32.220]   Also, let's talk about sponsors right up front today,
[00:03:32.220 --> 00:03:33.360]   and let's do this quickly today.
[00:03:33.360 --> 00:03:34.260]   Sponsor of the day number one
[00:03:34.260 --> 00:03:36.900]   is Patrick Snow, the publishing doctor.
[00:03:36.900 --> 00:03:39.180]   Patrick is my personal publishing coach.
[00:03:39.180 --> 00:03:40.020]   He's been on the show.
[00:03:40.020 --> 00:03:42.540]   If you'd like a full introduction to him,
[00:03:42.540 --> 00:03:46.220]   go back and listen to episode 252 of the show.
[00:03:46.220 --> 00:03:47.740]   And there you'll have an hour-long interview
[00:03:47.740 --> 00:03:49.180]   where we talk about publishing,
[00:03:49.180 --> 00:03:53.540]   publishing a book, and why you should consider it.
[00:03:53.540 --> 00:03:55.960]   The statistics indicate that many, many people,
[00:03:55.960 --> 00:03:58.800]   at least 80%, about 80% of the population,
[00:03:58.800 --> 00:04:00.160]   would like to publish a book.
[00:04:00.160 --> 00:04:03.980]   And in terms of your career and enhancing your career,
[00:04:03.980 --> 00:04:06.660]   publishing a book can make a huge, huge difference
[00:04:06.660 --> 00:04:11.180]   in your overall marketing plan.
[00:04:11.180 --> 00:04:13.620]   So definitely would recommend that you consider it.
[00:04:13.620 --> 00:04:15.620]   Patrick is an expert in this area,
[00:04:15.620 --> 00:04:18.740]   and he's got a tremendous wealth of resources
[00:04:18.740 --> 00:04:20.940]   to guide you through the whole publishing process.
[00:04:20.940 --> 00:04:24.500]   I have found and am continuing to find his information
[00:04:24.500 --> 00:04:27.180]   and content to be extremely valuable for me
[00:04:27.180 --> 00:04:30.540]   as I work toward the publishing of my own book.
[00:04:30.540 --> 00:04:32.340]   So check out his information.
[00:04:32.340 --> 00:04:35.220]   You can go to his website at thepublishingdoctor.com,
[00:04:35.220 --> 00:04:37.020]   thepublishingdoctor.com.
[00:04:37.020 --> 00:04:39.340]   If you are interested in checking with him
[00:04:39.340 --> 00:04:42.400]   and getting some information about the publishing process,
[00:04:42.400 --> 00:04:43.580]   the best way to get in touch with him
[00:04:43.580 --> 00:04:44.740]   is shoot him a text message,
[00:04:44.740 --> 00:04:46.980]   and he will be glad to offer you
[00:04:46.980 --> 00:04:49.980]   a complimentary 30 to 60-minute consultation
[00:04:49.980 --> 00:04:51.740]   on the publishing process.
[00:04:51.740 --> 00:04:53.380]   He can hear a little bit about your story,
[00:04:53.380 --> 00:04:54.980]   hear a little bit about what you're doing,
[00:04:54.980 --> 00:04:58.100]   and give you some insight and some ideas that would be helpful.
[00:04:58.100 --> 00:05:03.100]   Best way to schedule that is text him at 206-310-1200.
[00:05:03.100 --> 00:05:10.020]   206-310-1200, and that info will be in the show notes.
[00:05:10.020 --> 00:05:12.420]   Sponsor of the day number two is Paladin Registry.
[00:05:12.420 --> 00:05:14.780]   Paladin Registry is a service that I went out
[00:05:14.780 --> 00:05:19.380]   and looked for in an effort to respond to your requests
[00:05:19.380 --> 00:05:22.300]   about how to find a good financial advisor.
[00:05:22.300 --> 00:05:25.260]   And Paladin Registry is a service where they come together
[00:05:25.260 --> 00:05:27.180]   and they vet financial advisors.
[00:05:27.180 --> 00:05:29.020]   A lot of information that you should know about that.
[00:05:29.020 --> 00:05:30.500]   Please go back, if you haven't heard it,
[00:05:30.500 --> 00:05:33.260]   and listen to episode 248 of the show.
[00:05:33.260 --> 00:05:34.320]   That is an hour-long interview
[00:05:34.320 --> 00:05:36.540]   with the founder of Paladin Registry, Jack Waymire,
[00:05:36.540 --> 00:05:38.500]   and in that show, we talk in detail
[00:05:38.500 --> 00:05:40.340]   about the need for a registry service
[00:05:40.340 --> 00:05:43.140]   and how they screen advisors, et cetera.
[00:05:43.140 --> 00:05:44.820]   So start by listening to that show,
[00:05:44.820 --> 00:05:47.980]   and then go to the Paladin Registry link
[00:05:47.980 --> 00:05:52.980]   at radicalpersonalfinance.com/paladin, P-A-L-A-D-I-N,
[00:05:52.980 --> 00:05:54.980]   radicalpersonalfinance.com/paladin.
[00:05:54.980 --> 00:05:56.020]   And if you are interested
[00:05:56.020 --> 00:05:59.780]   in potentially interviewing financial advisors,
[00:05:59.780 --> 00:06:01.540]   put your info in there, and they will do their best
[00:06:01.540 --> 00:06:03.580]   to connect you with a few different advisors
[00:06:03.580 --> 00:06:05.900]   in your neighborhood that they have screened and vetted.
[00:06:05.900 --> 00:06:08.480]   And hopefully those will be a good place for you to start
[00:06:08.480 --> 00:06:11.500]   as you interview advisors for their ability to serve you.
[00:06:11.500 --> 00:06:14.620]   So radicalpersonalfinance.com/paladin.
[00:06:14.620 --> 00:06:16.140]   All right, let's talk about cars.
[00:06:16.140 --> 00:06:18.660]   So many of us are gonna be in this place of decision
[00:06:18.660 --> 00:06:19.500]   at some point.
[00:06:19.500 --> 00:06:20.940]   If you own a car (laughs)
[00:06:20.940 --> 00:06:22.320]   and you haven't been there in the past,
[00:06:22.320 --> 00:06:23.340]   you're gonna be there in the future.
[00:06:23.340 --> 00:06:25.940]   And I've really, really struggled with that,
[00:06:25.940 --> 00:06:29.020]   trying to figure out how do we design a framework
[00:06:29.020 --> 00:06:30.180]   for the decision?
[00:06:30.180 --> 00:06:32.500]   And I haven't been able to come up with a perfect one,
[00:06:32.500 --> 00:06:33.620]   but I do have some thoughts.
[00:06:33.620 --> 00:06:34.780]   And I'll share with you a story
[00:06:34.780 --> 00:06:36.580]   because this really happened to me,
[00:06:36.580 --> 00:06:39.980]   what was it, earlier this year.
[00:06:39.980 --> 00:06:42.580]   And I wound up in the scenario,
[00:06:42.580 --> 00:06:44.800]   the Sunday morning I had loaded up my family,
[00:06:44.800 --> 00:06:47.140]   we were getting ready to leave the house on Sunday morning
[00:06:47.140 --> 00:06:48.260]   to go to a church meeting.
[00:06:48.260 --> 00:06:51.360]   And I go out, start the car, and there's a big squeal,
[00:06:51.360 --> 00:06:54.100]   and all of a sudden it starts making some weird noise.
[00:06:54.100 --> 00:06:56.140]   Well, I turn the engine off, I get out of the car,
[00:06:56.140 --> 00:06:57.900]   I go up and check and look down,
[00:06:57.900 --> 00:07:00.020]   and I can see immediately that the belt had come off,
[00:07:00.020 --> 00:07:03.580]   and I could see immediately that there was a piece broken.
[00:07:03.580 --> 00:07:06.760]   Cutting right to the point that matters,
[00:07:06.760 --> 00:07:09.100]   a few days later, got the car towed to a mechanic.
[00:07:09.100 --> 00:07:13.100]   I was faced with a $2,500 repair bill.
[00:07:13.100 --> 00:07:15.960]   And what had happened was a pulley
[00:07:15.960 --> 00:07:17.780]   on the side of the engine had broken.
[00:07:17.780 --> 00:07:22.780]   And the way that the engine is constructed on my vehicle,
[00:07:22.780 --> 00:07:24.100]   there's a piece of aluminum,
[00:07:24.100 --> 00:07:25.160]   and the whole thing had broken off.
[00:07:25.160 --> 00:07:27.020]   So the whole side of the engine had to be replaced.
[00:07:27.020 --> 00:07:30.940]   And basically, in order to accomplish that repair,
[00:07:30.940 --> 00:07:32.580]   you practically had to take the whole engine out of the car.
[00:07:32.580 --> 00:07:34.560]   So it was extremely labor intensive.
[00:07:34.560 --> 00:07:36.640]   Called around for different quotes to the dealerships,
[00:07:36.640 --> 00:07:37.920]   called around to a couple of mechanics,
[00:07:37.920 --> 00:07:40.040]   and the cheapest I could get through it
[00:07:40.040 --> 00:07:42.740]   was with about 2,500 bucks.
[00:07:42.740 --> 00:07:47.220]   2,500 bucks is a lot of money to be spending
[00:07:47.220 --> 00:07:50.660]   when your car is not worth very much money.
[00:07:50.660 --> 00:07:53.840]   I bought the car a few years ago for about 5,000 bucks.
[00:07:53.840 --> 00:07:55.300]   And when you're sitting there trying to say,
[00:07:55.300 --> 00:07:58.900]   "Should I spend 2,500 bucks on repairing a car?"
[00:07:58.900 --> 00:08:01.860]   That is a difficult, difficult thing to decide.
[00:08:01.860 --> 00:08:04.580]   And so I faced this personally.
[00:08:04.580 --> 00:08:07.380]   Ultimately, I wound up repairing the car.
[00:08:07.380 --> 00:08:08.380]   But we're gonna talk about that,
[00:08:08.380 --> 00:08:10.420]   and I'm gonna walk you through my thought process.
[00:08:10.420 --> 00:08:12.620]   Because this is the time to think through
[00:08:12.620 --> 00:08:15.460]   the questions so that when the situation hits,
[00:08:15.460 --> 00:08:17.840]   you'll be better prepared to know what to do.
[00:08:17.840 --> 00:08:20.620]   The time to think through difficult situations
[00:08:20.620 --> 00:08:22.740]   is always in advance.
[00:08:22.740 --> 00:08:24.940]   It's really tough when you're faced with the emotions.
[00:08:24.940 --> 00:08:27.020]   Maybe you don't have a lot of money at that time,
[00:08:27.020 --> 00:08:29.400]   and then all of a sudden you're in the thick of it.
[00:08:29.400 --> 00:08:31.340]   Really tough to think things through rationally
[00:08:31.340 --> 00:08:32.580]   at that point in time.
[00:08:32.580 --> 00:08:34.340]   It's easier if you've thought through
[00:08:34.340 --> 00:08:36.260]   the difficult situations in advance,
[00:08:36.260 --> 00:08:39.760]   so that you're prepared mentally
[00:08:39.760 --> 00:08:41.920]   for that difficult situation.
[00:08:42.680 --> 00:08:44.980]   So, what do you do in that situation?
[00:08:44.980 --> 00:08:47.440]   Car's broken down.
[00:08:47.440 --> 00:08:49.740]   Well, to begin with, remember the concept
[00:08:49.740 --> 00:08:51.280]   of zero-based thinking.
[00:08:51.280 --> 00:08:54.120]   Zero-based thinking means everything
[00:08:54.120 --> 00:08:56.440]   that's happened in the past, once your car breaks,
[00:08:56.440 --> 00:08:58.600]   everything that's happened in the past is irrelevant.
[00:08:58.600 --> 00:09:00.060]   Those are all sunk costs.
[00:09:00.060 --> 00:09:03.440]   So if you are in the unfortunate situation
[00:09:03.440 --> 00:09:07.560]   where you've made a $1,000 repair on your vehicle,
[00:09:07.560 --> 00:09:09.640]   and then a month later it breaks again,
[00:09:09.640 --> 00:09:11.600]   and now you've got another $1,000 repair,
[00:09:11.600 --> 00:09:13.920]   you've got to ignore the first $1,000,
[00:09:13.920 --> 00:09:17.480]   because it's gone, it's a sunk cost.
[00:09:17.480 --> 00:09:19.400]   You can't recover that money no matter what.
[00:09:19.400 --> 00:09:21.120]   So every time the car breaks,
[00:09:21.120 --> 00:09:23.820]   you've got to face it afresh,
[00:09:23.820 --> 00:09:26.020]   and ignore the things that have happened in the past.
[00:09:26.020 --> 00:09:27.020]   This is really difficult to do,
[00:09:27.020 --> 00:09:28.800]   because we're wired as human beings
[00:09:28.800 --> 00:09:30.600]   to think about all those past decisions
[00:09:30.600 --> 00:09:31.600]   again and again and again,
[00:09:31.600 --> 00:09:33.800]   and kind of bring the weight
[00:09:33.800 --> 00:09:35.640]   of all of those difficult circumstances
[00:09:35.640 --> 00:09:37.100]   to our present decision.
[00:09:37.100 --> 00:09:39.000]   But it's a major logical fallacy.
[00:09:39.000 --> 00:09:40.160]   You've got to avoid that.
[00:09:40.160 --> 00:09:43.480]   So you've got to begin with zero-based thinking,
[00:09:43.480 --> 00:09:45.360]   and start with a fresh slate.
[00:09:45.360 --> 00:09:48.060]   Take it with the current decision,
[00:09:48.060 --> 00:09:49.120]   the current repair,
[00:09:49.120 --> 00:09:51.960]   and figure out what do you actually do now,
[00:09:51.960 --> 00:09:53.740]   and make a fresh decision.
[00:09:53.740 --> 00:09:57.640]   Every single breakdown or repair is a fresh decision.
[00:09:57.640 --> 00:10:01.480]   You've got to do your best to ignore the emotion
[00:10:01.480 --> 00:10:03.540]   of the feeling of, I've been at the mechanic too much,
[00:10:03.540 --> 00:10:04.720]   these things have just piled up,
[00:10:04.720 --> 00:10:06.560]   and this car is always breaking down.
[00:10:06.560 --> 00:10:09.600]   This accounts for one of the major, major financial mistakes
[00:10:09.600 --> 00:10:11.960]   that many people wind up making,
[00:10:11.960 --> 00:10:14.080]   where the emotion of a vehicle
[00:10:14.080 --> 00:10:16.960]   that breaks down several times over several months
[00:10:16.960 --> 00:10:18.280]   starts to wear on them.
[00:10:18.280 --> 00:10:20.880]   And that emotion kind of chips away, chips away,
[00:10:20.880 --> 00:10:22.280]   chips away, chips away, and over time,
[00:10:22.280 --> 00:10:24.240]   it just gets heavier and heavier and heavier
[00:10:24.240 --> 00:10:25.240]   with that feeling.
[00:10:25.240 --> 00:10:28.300]   And as it wears on you,
[00:10:28.300 --> 00:10:29.680]   you wind up in a situation
[00:10:29.680 --> 00:10:32.340]   where finally many people just simply snap.
[00:10:32.340 --> 00:10:36.280]   And when they snap, they say,
[00:10:36.280 --> 00:10:37.800]   I've had it with this old clunker,
[00:10:37.800 --> 00:10:39.160]   trot down to the dealership,
[00:10:39.160 --> 00:10:41.000]   buy another car really quick,
[00:10:41.000 --> 00:10:43.680]   and they often make poor decisions.
[00:10:43.680 --> 00:10:47.200]   Many times those poor decisions then follow them
[00:10:47.200 --> 00:10:51.740]   for months and years and really hamper their progress.
[00:10:51.740 --> 00:10:55.800]   This course of action is not for you.
[00:10:55.800 --> 00:10:58.200]   I recommend you think about it now
[00:10:58.200 --> 00:10:59.500]   so that you don't do that.
[00:10:59.500 --> 00:11:02.720]   When you're looking at the situation of your car repair,
[00:11:02.720 --> 00:11:05.040]   focus on the actual facts.
[00:11:05.040 --> 00:11:06.880]   And this is where you need good records
[00:11:06.880 --> 00:11:08.440]   and you need good facts.
[00:11:08.440 --> 00:11:10.360]   Check your records and find out
[00:11:10.360 --> 00:11:13.680]   how much you're actually spending on the car.
[00:11:13.680 --> 00:11:16.280]   If you don't have good financial records,
[00:11:16.280 --> 00:11:18.400]   what'll happen is you'll spend 50 bucks here,
[00:11:18.400 --> 00:11:22.660]   $100 repair there, $287 there,
[00:11:22.660 --> 00:11:27.660]   and it'll feel mentally like thousands of dollars.
[00:11:27.660 --> 00:11:29.140]   But if you can just simply go back
[00:11:29.140 --> 00:11:30.320]   and check your financial records
[00:11:30.320 --> 00:11:35.280]   and find yourself in a position where you can check,
[00:11:35.280 --> 00:11:38.080]   you realize, oh, I don't actually have that much.
[00:11:38.080 --> 00:11:39.280]   If you have those good records
[00:11:39.280 --> 00:11:40.240]   and you can go back and check,
[00:11:40.240 --> 00:11:42.120]   then you can actually know the facts.
[00:11:42.120 --> 00:11:45.160]   So nickel and dime repairs, if it's ongoing repairs,
[00:11:45.160 --> 00:11:46.280]   they're emotionally draining,
[00:11:46.280 --> 00:11:48.240]   but they're not necessarily financially draining.
[00:11:48.240 --> 00:11:51.000]   Just pay attention to the actual facts.
[00:11:51.000 --> 00:11:53.460]   Always begin, if you're in a situation where the car's broken
[00:11:53.460 --> 00:11:55.760]   with getting the best understanding
[00:11:55.760 --> 00:11:58.760]   of the diagnosis of the repair and the potential costs.
[00:11:58.760 --> 00:12:01.080]   Try to get accurate information.
[00:12:01.080 --> 00:12:03.040]   Good rule of thumb with any decision
[00:12:03.040 --> 00:12:05.420]   is the more information, the better,
[00:12:05.420 --> 00:12:08.080]   and the slower the decision, the better.
[00:12:08.080 --> 00:12:10.280]   Anytime you can push off a decision,
[00:12:10.280 --> 00:12:12.000]   especially a spending decision,
[00:12:12.000 --> 00:12:13.240]   just a little bit longer,
[00:12:13.240 --> 00:12:14.840]   buy yourself a little bit more time
[00:12:14.840 --> 00:12:17.440]   to think through, research, care for things,
[00:12:17.440 --> 00:12:20.040]   you'll almost always make a better decision.
[00:12:20.040 --> 00:12:21.200]   There are exceptions to this rule.
[00:12:21.200 --> 00:12:25.840]   There might be, maybe, might be some types of opportunities
[00:12:25.840 --> 00:12:28.320]   that you need to jump on quickly.
[00:12:28.320 --> 00:12:29.920]   But those opportunities should be
[00:12:29.920 --> 00:12:32.800]   within your area of expertise.
[00:12:32.800 --> 00:12:34.680]   For example, you might be an expert investor,
[00:12:34.680 --> 00:12:36.220]   and if there's a company that,
[00:12:36.220 --> 00:12:38.020]   or a piece of real estate or something like that
[00:12:38.020 --> 00:12:39.060]   that you know a lot about
[00:12:39.060 --> 00:12:40.460]   and you just gotta buy right now,
[00:12:40.460 --> 00:12:41.700]   then go ahead and move quickly.
[00:12:41.700 --> 00:12:44.520]   But if you don't actually, if you're not an expert,
[00:12:44.520 --> 00:12:46.700]   buy yourself more time.
[00:12:46.700 --> 00:12:49.440]   More time, more time, more time is always a good rule.
[00:12:49.440 --> 00:12:51.860]   Pushing off almost all spending decisions
[00:12:51.860 --> 00:12:53.240]   is generally helpful.
[00:12:53.240 --> 00:12:55.500]   So with car repairs, try to buy yourself more time,
[00:12:55.500 --> 00:12:57.220]   do more research, get another opinion,
[00:12:57.220 --> 00:12:59.760]   and get accurate data.
[00:12:59.760 --> 00:13:02.300]   Try to get an understanding, is this a maintenance item
[00:13:02.300 --> 00:13:04.940]   or is this truly a repair item?
[00:13:04.940 --> 00:13:06.580]   All cars are gonna have maintenance items.
[00:13:06.580 --> 00:13:09.260]   Doesn't matter whether they're new cars or they're used cars,
[00:13:09.260 --> 00:13:11.260]   all cars have maintenance items.
[00:13:11.260 --> 00:13:13.500]   And so one of the mistakes that people can make
[00:13:13.500 --> 00:13:15.180]   is they might have a number of maintenance items
[00:13:15.180 --> 00:13:18.660]   that all occur in a bunched together time period.
[00:13:18.660 --> 00:13:19.780]   They need new tires,
[00:13:19.780 --> 00:13:21.580]   then they need to replace the timing belt,
[00:13:21.580 --> 00:13:23.340]   then the alternator breaks,
[00:13:23.340 --> 00:13:24.700]   and then they gotta get a new battery.
[00:13:24.700 --> 00:13:26.780]   And they're looking at this thing getting so frustrated
[00:13:26.780 --> 00:13:30.240]   saying, "I've just spent $1,100 on this car,"
[00:13:30.240 --> 00:13:31.620]   when every single one of those things
[00:13:31.620 --> 00:13:33.900]   are simple maintenance items.
[00:13:33.900 --> 00:13:35.280]   They're not a catastrophic breakdown,
[00:13:35.280 --> 00:13:36.820]   they're not an indication that the car
[00:13:36.820 --> 00:13:39.100]   is somehow falling apart and has to be replaced,
[00:13:39.100 --> 00:13:40.700]   that's just normal maintenance.
[00:13:40.700 --> 00:13:43.500]   And all vehicles are gonna require normal maintenance.
[00:13:43.500 --> 00:13:44.900]   So even if you go and get another car,
[00:13:44.900 --> 00:13:46.020]   your problem is not solved.
[00:13:46.020 --> 00:13:48.420]   You still have to deal with the normal maintenance
[00:13:48.420 --> 00:13:49.700]   of that new car.
[00:13:49.700 --> 00:13:53.380]   The really catastrophic breakdowns are rare.
[00:13:53.380 --> 00:13:54.600]   They're very rare.
[00:13:54.600 --> 00:13:57.280]   They do happen, but they're rare.
[00:13:58.380 --> 00:14:00.720]   My car, the repair I described to you,
[00:14:00.720 --> 00:14:02.560]   that was a catastrophic breakdown.
[00:14:02.560 --> 00:14:05.400]   The vehicle was unusable unless I spent
[00:14:05.400 --> 00:14:07.520]   the $2,500 on fixing it.
[00:14:07.520 --> 00:14:10.120]   And I did my research, I could not find any way
[00:14:10.120 --> 00:14:11.800]   to get the repair for cheaper than that.
[00:14:11.800 --> 00:14:13.960]   So it was either spend the $2,500
[00:14:13.960 --> 00:14:18.160]   on the catastrophic repair, or the car's unusable.
[00:14:18.160 --> 00:14:20.200]   But that's really rare.
[00:14:20.200 --> 00:14:22.340]   Engines don't usually blow up.
[00:14:22.340 --> 00:14:25.240]   Transmissions don't usually just fall apart.
[00:14:25.240 --> 00:14:27.600]   And those are the two major components of the vehicle
[00:14:27.600 --> 00:14:29.640]   that are gonna actually experience
[00:14:29.640 --> 00:14:31.240]   those catastrophic losses.
[00:14:31.240 --> 00:14:33.480]   Most of the other things are just simple maintenance items.
[00:14:33.480 --> 00:14:35.160]   So don't let the maintenance items
[00:14:35.160 --> 00:14:36.560]   get you down emotionally.
[00:14:36.560 --> 00:14:39.560]   They might be starting to pile up.
[00:14:39.560 --> 00:14:42.120]   It might be time to consider a new car.
[00:14:42.120 --> 00:14:44.920]   We'll get to that more as the show develops.
[00:14:44.920 --> 00:14:47.920]   But don't let them get you down emotionally.
[00:14:47.920 --> 00:14:49.640]   As you're looking at your decision criteria,
[00:14:49.640 --> 00:14:52.720]   and you're considering this decision afresh,
[00:14:52.720 --> 00:14:56.000]   do some assessments.
[00:14:56.000 --> 00:14:57.960]   Assess the condition of the car,
[00:14:57.960 --> 00:15:00.840]   and ask yourself, if this car were repaired,
[00:15:00.840 --> 00:15:04.480]   what would be the condition and usefulness of the vehicle?
[00:15:04.480 --> 00:15:06.120]   Assess your needs and figure out
[00:15:06.120 --> 00:15:08.760]   what the baseline decision is.
[00:15:08.760 --> 00:15:09.900]   Anytime you're making decisions,
[00:15:09.900 --> 00:15:12.540]   you wanna start with what is the baseline decision,
[00:15:12.540 --> 00:15:15.240]   and then compare that decision,
[00:15:15.240 --> 00:15:17.840]   decision A, we'll call it, to other options.
[00:15:17.840 --> 00:15:20.040]   Decision B, decision C, decision D.
[00:15:20.040 --> 00:15:23.240]   So the example here, if you were actually considering
[00:15:23.240 --> 00:15:26.720]   purchasing another car, your baseline decision,
[00:15:26.720 --> 00:15:28.320]   usually, if you have a broken car,
[00:15:28.320 --> 00:15:29.960]   is gonna be to repair the car.
[00:15:29.960 --> 00:15:33.280]   That's almost always going to be the cheaper option.
[00:15:33.280 --> 00:15:35.140]   So that's gonna be the baseline decision.
[00:15:35.140 --> 00:15:38.480]   If your car was perfectly good yesterday, before it broke,
[00:15:38.480 --> 00:15:40.400]   if the car were repaired,
[00:15:40.400 --> 00:15:42.640]   it would probably still be perfectly good.
[00:15:42.640 --> 00:15:44.240]   So since repairing the car
[00:15:44.240 --> 00:15:45.640]   is almost always gonna be the cheapest option,
[00:15:45.640 --> 00:15:48.240]   let's just choose that as your base.
[00:15:48.240 --> 00:15:50.480]   And then everything is gonna be compared to that.
[00:15:50.480 --> 00:15:52.800]   And you're gonna weigh all the decisions in light of that.
[00:15:52.800 --> 00:15:56.680]   So reassess your needs, establish the baseline decision,
[00:15:56.680 --> 00:15:58.640]   and then start comparing them.
[00:15:58.640 --> 00:16:00.660]   You know the costs, go back and look at them,
[00:16:00.660 --> 00:16:01.800]   and you have an estimate of the repair.
[00:16:01.800 --> 00:16:05.060]   So now we've got a known quality to the car
