
[00:00:00.000 --> 00:00:07.680]   Okay, thanks, everyone.
[00:02:18.900 --> 00:02:23.020]   I mentioned that you were a physician, but at one point you sort of had a moment where
[00:02:23.020 --> 00:02:27.640]   you decided that you wanted to do something a little bit different.
[00:02:27.640 --> 00:02:30.980]   So my life changed drastically when I was seven years old.
[00:02:30.980 --> 00:02:32.360]   My father died suddenly.
[00:02:32.360 --> 00:02:36.380]   He was a physician and an oncologist, which means he took care of cancer patients, and
[00:02:36.380 --> 00:02:40.740]   he had a Berry aneurysm, which is an aneurysm in the brain that bursts all of a sudden.
[00:02:40.740 --> 00:02:44.180]   And so one day I had a father, and the next day I didn't.
[00:02:44.180 --> 00:02:50.380]   And being a seven-year-old kid, I looked at everything really through the lens of it's
[00:02:50.380 --> 00:02:51.900]   all about me.
[00:02:51.900 --> 00:02:56.620]   So when my father died suddenly, I'm conscious of this now, I wasn't then, but I somehow
[00:02:56.620 --> 00:03:01.960]   felt like it was my fault, like I had done something wrong, or I wasn't good enough.
[00:03:01.960 --> 00:03:05.700]   And so I struggled for months, even years, trying to figure out, well, what does this
[00:03:05.700 --> 00:03:07.320]   mean?
[00:03:07.320 --> 00:03:10.380]   And eventually I came to a conclusion.
[00:03:10.380 --> 00:03:16.740]   I realized, or I thought, that I could psychically fix the problem of his death by becoming a
[00:03:16.740 --> 00:03:23.860]   physician like him, and walking in his footsteps, and doing the good deeds that he was doing.
[00:03:23.860 --> 00:03:25.580]   And that notion carried me.
[00:03:25.580 --> 00:03:28.540]   It created a sense of identity and purpose.
[00:03:28.540 --> 00:03:33.420]   At the time, I had a learning disability, so I was way below my grade level for reading.
[00:03:33.420 --> 00:03:35.380]   Everyone was passing me by.
[00:03:35.380 --> 00:03:41.620]   But somehow the certainty that I would be a physician carried me through, and I got
[00:03:41.620 --> 00:03:45.220]   past learning disability, I went through high school and college.
[00:03:45.220 --> 00:03:49.740]   I would be the guy who was at the library on Saturday morning at the University of Michigan
[00:03:49.740 --> 00:03:52.900]   while everyone else was at the football game.
[00:03:52.900 --> 00:03:59.300]   And I became a physician, and it filled me up somewhat.
[00:03:59.300 --> 00:04:04.900]   It became very, very clear as the years went on that my vision of what being a physician
[00:04:04.900 --> 00:04:10.220]   was, a vision of the physician my father was, didn't fit me.
[00:04:10.220 --> 00:04:14.200]   It wasn't rushing in and saving people's lives all the time.
[00:04:14.200 --> 00:04:19.420]   It was also the paperwork, and the burnout, and the not sleeping.
[00:04:19.420 --> 00:04:24.460]   And for me, realizing that this didn't feel like the purpose and identity that I thought
[00:04:24.460 --> 00:04:29.740]   it would, and I started searching for a way out.
[00:04:29.740 --> 00:04:33.020]   And I went to my accountant, and I asked my accountant, well, how much money do I need
[00:04:33.020 --> 00:04:37.540]   to retire, because if I can retire I can leave this thing that isn't filling me up anymore.
[00:04:37.540 --> 00:04:40.180]   And she said $10 million.
[00:04:40.180 --> 00:04:45.380]   Didn't tell me why, didn't give me any reasoning, but I didn't have $10 million.
[00:04:45.380 --> 00:04:50.780]   So then I went to my financial advisor, and he did all sorts of simulations, and he didn't
[00:04:50.780 --> 00:04:55.740]   ask me how much I wanted to spend every year.
[00:04:55.740 --> 00:05:00.020]   And when we finally started talking about it, I had never tracked my expenses.
[00:05:00.020 --> 00:05:01.300]   So he said, how much do you want to spend every year?
[00:05:01.300 --> 00:05:03.940]   I said $300,000.
[00:05:03.940 --> 00:05:07.300]   I had no idea how much money I was spending.
[00:05:07.300 --> 00:05:11.060]   And so he did the calculations and came up with a number close to $10 million, and of
[00:05:11.060 --> 00:05:14.360]   course I wasn't there, so I couldn't retire.
[00:05:14.360 --> 00:05:16.360]   And then something amazing happened.
[00:05:16.360 --> 00:05:18.540]   I was writing a blog about medicine.
[00:05:18.540 --> 00:05:24.300]   I had been writing about what it felt like to be a doctor, and in 2014, a person sitting
[00:05:24.300 --> 00:05:28.300]   in this audience called me and asked me to review his book, and that's Jim Dolley.
[00:05:28.300 --> 00:05:32.380]   And I have to tell you, I give Jim Dolley a lot of credit for where I am today, but
[00:05:32.380 --> 00:05:36.020]   up to this point, I've also made the mistake of not including his wife, Katie Dolley, who
[00:05:36.020 --> 00:05:48.860]   actually is a big part of the White Coat Investor platform, so I should be thanking her also.
[00:05:48.860 --> 00:05:51.340]   But I got his book, and I read through it in like one sitting.
[00:05:51.340 --> 00:05:52.980]   I mean, it took about three, four hours.
[00:05:52.980 --> 00:05:55.060]   I was so engrossed.
[00:05:55.060 --> 00:05:59.500]   And I realized that I was financially independent.
[00:05:59.500 --> 00:06:04.620]   His book gave me the vocabulary that my financial advisor and my accountant didn't.
[00:06:04.620 --> 00:06:08.220]   He helped me see a little bit of what enough truly looks like, at least when it comes to
[00:06:08.220 --> 00:06:11.600]   enough money, and I was elated.
[00:06:11.600 --> 00:06:14.880]   I could leave this job that was no longer fulfilling me.
[00:06:14.880 --> 00:06:18.740]   I could live the life I wanted to live, and then I had a panic attack, literally that
[00:06:18.740 --> 00:06:25.660]   same day, because I had no idea what the life I wanted to live was.
[00:06:25.660 --> 00:06:29.060]   The only sense of purpose and identity I ever had outside of family and getting married
[00:06:29.060 --> 00:06:34.900]   and having kids, the stuff we all have, but all I knew was being a doctor, and to let
[00:06:34.900 --> 00:06:39.900]   go of that was to step away from my identity, even if it wasn't fulfilling me, and to also
[00:06:39.900 --> 00:06:45.300]   step away from the little wisp of connection I had with my father.
[00:06:45.300 --> 00:06:49.160]   So instead of throwing the baby out with the bathwater and just stepping away from medicine,
[00:06:49.160 --> 00:06:51.520]   I was way too afraid to do that.
[00:06:51.520 --> 00:06:54.740]   I did what I always do when I face difficult things in life.
[00:06:54.740 --> 00:06:55.740]   I started writing.
[00:06:55.740 --> 00:07:00.460]   In this case, I started a financial blog because personal finance and fire and all that stuff
[00:07:00.460 --> 00:07:05.580]   is what I was enthralled with, and that eventually turned into a podcast.
[00:07:05.580 --> 00:07:09.300]   And when it comes to personal finance, I didn't want to talk about the how, and the reason
[00:07:09.300 --> 00:07:14.340]   why is we have so many people in attendance here who are better than that than me.
[00:07:14.340 --> 00:07:16.300]   I wanted to talk a little bit about something different.
[00:07:16.300 --> 00:07:19.580]   I wanted to talk about the why and what's next.
[00:07:19.580 --> 00:07:23.060]   So you now have a plan for making money, and that money will sustain you.
[00:07:23.060 --> 00:07:24.700]   How does that relate to happiness?
[00:07:24.700 --> 00:07:26.820]   How does that relate to purpose?
[00:07:26.820 --> 00:07:31.700]   What do you want to do with all this power you've gained?
[00:07:31.700 --> 00:07:37.700]   And so I had all these experts on my podcast, these entrepreneurs, these fire practitioners,
[00:07:37.700 --> 00:07:42.820]   these educators, and I found that they had some of the answers, but I found their answers
[00:07:42.820 --> 00:07:44.640]   were lacking.
[00:07:44.640 --> 00:07:48.120]   In the meantime, professionally, I'd realized that being a physician wasn't fulfilling me,
[00:07:48.120 --> 00:07:50.500]   so I started doing what I call the art of subtraction.
[00:07:50.500 --> 00:07:54.340]   I got rid of all those things that weren't fitting me because I had enough money.
[00:07:54.340 --> 00:07:58.060]   So I got rid of nights and weekends, and I eventually jettisoned my private practice.
[00:07:58.060 --> 00:08:03.300]   The one thing I kept was I loved to do hospice medicine, taking care of the terminally ill
[00:08:03.300 --> 00:08:04.620]   and dying.
[00:08:04.620 --> 00:08:08.700]   I would do that even if people weren't paying me to do it, and so I knew that was a part
[00:08:08.700 --> 00:08:09.860]   of my purpose.
[00:08:09.860 --> 00:08:13.540]   So it was something worth holding on to, but I could do that in such a way that I only
[00:08:13.540 --> 00:08:18.620]   spent 10 or 15 hours a week doing that, so what would I fill the rest of my time with?
[00:08:18.620 --> 00:08:26.420]   At this point, it was a podcast and a blog, but all those big questions that I was having
[00:08:26.420 --> 00:08:32.100]   with my podcast guests, all those huge conversations, I was finding the answers in a very unique
[00:08:32.100 --> 00:08:33.260]   place.
[00:08:33.260 --> 00:08:37.540]   I was finding them at the bedside with my dying patients.
[00:08:37.540 --> 00:08:43.580]   You see, when you're being told that you have weeks or months to live, it changes the lens
[00:08:43.580 --> 00:08:45.780]   in which you look at life.
[00:08:45.780 --> 00:08:51.900]   You are able to let go of all of those societal expectations and family expectations.
[00:08:51.900 --> 00:09:01.860]   For the first time in life, it gives you permission to ask, "What's really meaningful to me?"
[00:09:01.860 --> 00:09:06.680]   And that's what my patients were doing, and I had this epiphany.
[00:09:06.680 --> 00:09:10.340]   What if we didn't have to wait until we were dying to start thinking about these things?
[00:09:10.340 --> 00:09:14.620]   What if we could start thinking about these things in the young and the healthy, all these
[00:09:14.620 --> 00:09:17.820]   people who are listening to my podcast, who are trying to figure out what to do with their
[00:09:17.820 --> 00:09:20.780]   money and how to live a purposeful life?
[00:09:20.780 --> 00:09:25.460]   The dying had some of these answers, and that became the book, Taking Stock.
[00:09:25.460 --> 00:09:26.980]   Yeah, thanks, Jordan.
[00:09:26.980 --> 00:09:29.820]   That was a super helpful encapsulation.
[00:09:29.820 --> 00:09:35.580]   I want to go back to you talking about how being a physician was such a big part of your
[00:09:35.580 --> 00:09:40.220]   personal identity, and I think that's the case for a lot of us as we go through our
[00:09:40.220 --> 00:09:41.460]   careers.
[00:09:41.460 --> 00:09:46.860]   It becomes part of our identity, and that's very hard to step away from, whether you're
[00:09:46.860 --> 00:09:48.940]   making kind of a career pivot.
[00:09:48.940 --> 00:09:54.880]   Maybe you don't love some aspects of what you do, or maybe you're retiring, which requires
[00:09:54.880 --> 00:09:57.340]   you to step away from that work identity entirely.
[00:09:57.340 --> 00:09:59.480]   Can you talk about that?
[00:09:59.480 --> 00:10:04.620]   Because I think a lot of people are navigating that sense of purpose and identity that they
[00:10:04.620 --> 00:10:06.540]   get from work.
[00:10:06.540 --> 00:10:08.420]   How do you make changes to that?
[00:10:08.420 --> 00:10:11.460]   Well, here's the interesting thing.
[00:10:11.460 --> 00:10:17.140]   If that purpose and identity from work or whatever you're doing is filling you, you
[00:10:17.140 --> 00:10:19.140]   tend not to walk away from it.
[00:10:19.140 --> 00:10:23.660]   Jack Bogle, did he stop wanting to come to Bogleheads conferences?
[00:10:23.660 --> 00:10:25.140]   No, right?
[00:10:25.140 --> 00:10:28.900]   He was going to do that until he literally couldn't anymore.
[00:10:28.900 --> 00:10:33.280]   The reason why we have trouble is because many of us are realizing that that purpose
[00:10:33.280 --> 00:10:35.900]   and identity is no longer serving us.
[00:10:35.900 --> 00:10:40.000]   Let's say you're getting close to retirement or you're like, "I have enough money."
[00:10:40.000 --> 00:10:43.900]   If this thing you were doing was really filling you, you wouldn't even think about leaving
[00:10:43.900 --> 00:10:45.280]   it.
[00:10:45.280 --> 00:10:49.200]   But if you are thinking about leaving it, it means that maybe it's time to consider
[00:10:49.200 --> 00:10:52.600]   a pivot in your sense of purpose and identity.
[00:10:52.600 --> 00:10:56.540]   Maybe what was serving you before is not serving you now.
[00:10:56.540 --> 00:11:03.120]   The question is, will you have the courage to do that deeply difficult work of asking
[00:11:03.120 --> 00:11:09.240]   yourself, "Well, if I'm not this job anymore, if I'm not the thing that people recognize
[00:11:09.240 --> 00:11:15.280]   me for because it's not feeling good, what am I then?"
[00:11:15.280 --> 00:11:20.280]   And that's the question is, are you ready to start working on those things?
[00:11:20.280 --> 00:11:26.900]   Are you ready to pivot because your psyche is telling you that you should, right?
[00:11:26.900 --> 00:11:32.820]   If you're finding that you've had enough of work or you've had enough of doing this thing,
[00:11:32.820 --> 00:11:38.820]   then you probably have to start asking, "Well, what comes next and what part of myself am
[00:11:38.820 --> 00:11:40.380]   I not addressing?"
[00:11:40.380 --> 00:11:47.260]   I wanted to follow up on the conversation that Bill and Jonathan had where they were
[00:11:47.260 --> 00:11:49.700]   talking about happiness set point.
[00:11:49.700 --> 00:11:55.480]   And I mentioned to Jordan that was a new term to me, but I am familiar with the hedonic
[00:11:55.480 --> 00:11:57.820]   treadmill, and it sounds like there's a relationship.
[00:11:57.820 --> 00:12:00.180]   So maybe you can talk us through that.
[00:12:00.180 --> 00:12:05.220]   So happiness set point is key to the idea of the hedonic treadmill or hedonic adaption.
[00:12:05.220 --> 00:12:10.720]   This idea that we have a set point of happiness, and we scuttle around and try to increase
[00:12:10.720 --> 00:12:15.500]   that by either buying things or maybe achievements and job titles.
[00:12:15.500 --> 00:12:19.320]   Or in my book, "Taking Stock," I talk about some of us actually try to increase happiness
[00:12:19.320 --> 00:12:23.700]   by saving a lot and getting a high net worth, and I call that overdrive in the book.
[00:12:23.700 --> 00:12:30.580]   But the point of it is we tend to get to that place, and then we adapt back to our baseline
[00:12:30.580 --> 00:12:32.060]   or we habituate.
[00:12:32.060 --> 00:12:37.020]   So it is very common for us to return to our baseline.
[00:12:37.020 --> 00:12:38.540]   Some of that is human nature.
[00:12:38.540 --> 00:12:43.480]   But I think when it comes to things like money, part of it is that we tend to make things
[00:12:43.480 --> 00:12:47.220]   like money a goal instead of a tool.
[00:12:47.220 --> 00:12:51.420]   And the reason that they don't fulfill us is when we get to that higher net worth or
[00:12:51.420 --> 00:12:56.580]   we make more money, we think it's going to fill us up, but it doesn't because money's
[00:12:56.580 --> 00:13:00.060]   a tool, and we want to use that tool to do the more important things.
[00:13:00.060 --> 00:13:03.820]   So if you don't have any idea of what your purpose and identity are, you don't know what
[00:13:03.820 --> 00:13:05.220]   those more important things are.
[00:13:05.220 --> 00:13:08.740]   So you get to that higher net worth, and you ask yourself a question.
[00:13:08.740 --> 00:13:11.220]   You say, "Well, what now?"
[00:13:11.220 --> 00:13:16.820]   And you're really happy for a moment, a week, or a month, but eventually you fall back to
[00:13:16.820 --> 00:13:19.460]   that set point, and you have to ask yourself, "Well, what comes next?"
[00:13:19.460 --> 00:13:23.340]   Now, I think the mistake a lot of us make is instead of doing the hard work of thinking
[00:13:23.340 --> 00:13:28.300]   about purpose and identity and what fills me up, we instead just double down.
[00:13:28.300 --> 00:13:31.860]   And we say, "Well, a million dollars was my net worth, and I got there, and I'm not feeling
[00:13:31.860 --> 00:13:36.180]   great anymore, so let's set a new goal of two million."
[00:13:36.180 --> 00:13:37.180]   I think that happens.
[00:13:37.180 --> 00:13:38.540]   Or the opposite happens.
[00:13:38.540 --> 00:13:42.980]   We get to a million dollars, and we were hoping upon hope we'd get to that net worth, and
[00:13:42.980 --> 00:13:46.620]   then we become petrified we're going to lose it.
[00:13:46.620 --> 00:13:47.820]   And that's loss aversion, right?
[00:13:47.820 --> 00:13:51.060]   The market's going to go down the next day, and all of a sudden we had a net worth of
[00:13:51.060 --> 00:13:55.540]   a million dollars, but now it's only $999,000.
[00:13:55.540 --> 00:14:01.460]   And some of us become so afraid of losing what we gained, it's actually doubly as painful.
[00:14:01.460 --> 00:14:06.160]   But all of this focuses on the point that things like money or even achievements are
[00:14:06.160 --> 00:14:09.400]   not particularly good goals.
[00:14:09.400 --> 00:14:11.440]   Money is a great tool.
[00:14:11.440 --> 00:14:17.780]   So I challenge all of you, you've been so wise and savvy about your money.
[00:14:17.780 --> 00:14:20.480]   Most of you here will die with far too much money.
[00:14:20.480 --> 00:14:25.080]   It's just, it's going to happen, statistically, we know this.
[00:14:25.080 --> 00:14:30.200]   The question is, did that money serve you to do the deeper, more important things in
[00:14:30.200 --> 00:14:33.360]   your life?
[00:14:33.360 --> 00:14:39.080]   So you have argued that one of the reasons that we tend to focus so much on money and
[00:14:39.080 --> 00:14:43.360]   our financial wherewithal is that it's something we can actually measure, whereas the other
[00:14:43.360 --> 00:14:45.720]   stuff you're talking about, it's like, oh, I can't measure that.
[00:14:45.720 --> 00:14:48.560]   So it's a little harder to latch on to.
[00:14:48.560 --> 00:14:49.560]   Can you expand on that?
[00:14:49.560 --> 00:14:53.680]   Yeah, I mean, money is the low hanging fruit.
[00:14:53.680 --> 00:14:55.160]   It is measurable.
[00:14:55.160 --> 00:14:56.680]   We can define it.
[00:14:56.680 --> 00:15:02.040]   We can decide I need to make more money, I can save more, I can get a more aggressive
[00:15:02.040 --> 00:15:04.560]   job, I can get a promotion.
[00:15:04.560 --> 00:15:10.320]   It may not be easy to become financially independent or get a high net worth, but we definitely
[00:15:10.320 --> 00:15:13.160]   know what the right steps are.
[00:15:13.160 --> 00:15:15.440]   And because of that, it's comfortable.
[00:15:15.440 --> 00:15:19.320]   But I think it creates a certain amount of mirage, it confuses us and makes us think
[00:15:19.320 --> 00:15:22.000]   that that's the most important thing.
[00:15:22.000 --> 00:15:24.400]   And it's an easy trap to fall into.
[00:15:24.400 --> 00:15:28.360]   The harder trap is to say, what kind of person do I want to be?
[00:15:28.360 --> 00:15:31.240]   And what's purposeful in my life?
[00:15:31.240 --> 00:15:36.240]   To figure that out takes a lot more brainpower, a lot more time, and the answers are not nearly
[00:15:36.240 --> 00:15:40.720]   as finite, they're ephemeral, and we are very uncomfortable with that.
[00:15:40.720 --> 00:15:47.040]   And I think even though it seems almost a touch distant, I think we're also afraid
[00:15:47.040 --> 00:15:49.920]   of dying.
[00:15:49.920 --> 00:15:54.480]   To look at your life and start thinking about those ephemeral things like purpose and identity
[00:15:54.480 --> 00:15:59.480]   is to recognize that life is finite, and if you don't start working on it now, one day
[00:15:59.480 --> 00:16:02.080]   it will be too late.
[00:16:02.080 --> 00:16:03.240]   We don't like to do that.
[00:16:03.240 --> 00:16:09.200]   It is much easier to focus on something not nearly as important, like our personal finances,
[00:16:09.200 --> 00:16:10.840]   our net worth.
[00:16:10.840 --> 00:16:14.720]   And so we reach for the low hanging fruit because it's comfortable.
[00:16:14.720 --> 00:16:20.700]   But what I always tell people like you is when a guy like me, a hospice doctor walks
[00:16:20.700 --> 00:16:25.640]   into your room and gives you that prognosis of six months or less, you're not going to
[00:16:25.640 --> 00:16:27.240]   be thinking about your net worth.
[00:16:27.240 --> 00:16:30.900]   You are not going to be thinking about whether you worked more nights or weekends.
[00:16:30.900 --> 00:16:34.280]   You're not going to be thinking about whether you made it to partner or not.
[00:16:34.280 --> 00:16:37.520]   And God forbid, I hate to say this, you're not going to be thinking about whether you
[00:16:37.520 --> 00:16:45.240]   did that 30-year tips ladder.
[00:16:45.240 --> 00:16:48.000]   But you will.
[00:16:48.000 --> 00:16:52.680]   You will be thinking about those things that you regret that you never had the energy,
[00:16:52.680 --> 00:16:56.600]   courage, or time to do.
[00:16:56.600 --> 00:17:03.080]   And my guess is, as I said, 90% of you here will die with more money than you'd ever need.
[00:17:03.080 --> 00:17:08.680]   But I'm going to also guess that probably 90% of you will also die with regrets.
[00:17:08.680 --> 00:17:12.880]   And yet we spend so much time talking about our money and so little time talking about
[00:17:12.880 --> 00:17:14.480]   purpose.
[00:17:14.480 --> 00:17:17.560]   Why is that?
[00:17:17.560 --> 00:17:20.880]   So let's dive into that, Jordan.
[00:17:20.880 --> 00:17:27.800]   You have spent a lot of time with hospice patients, and you've heard their regrets.
[00:17:27.800 --> 00:17:32.080]   Say you've also heard some fabulous insights from some of these people.
[00:17:32.080 --> 00:17:36.380]   So let's talk about some of the key things you've learned from people who are in their
[00:17:36.380 --> 00:17:38.720]   last days or months.
[00:17:38.720 --> 00:17:43.440]   So to say what are the most common regrets of the dying, we can't have this conversation
[00:17:43.440 --> 00:17:47.440]   without talking about Bronnie Ware, who was a palliative care nurse who wrote a book called
[00:17:47.440 --> 00:17:51.840]   The Five Regrets of the Dying.
[00:17:51.840 --> 00:17:55.680]   Basically she gives five things that people tend to regret, and they're not specific things.
[00:17:55.680 --> 00:17:57.360]   It's more generalizations.
[00:17:57.360 --> 00:18:01.400]   But the way I'd summarize it is we regret that we never had the energy, courage, or
[00:18:01.400 --> 00:18:04.320]   time to do those things that were important to us.
[00:18:04.320 --> 00:18:05.600]   And guess what?
[00:18:05.600 --> 00:18:07.400]   That's different for every person.
[00:18:07.400 --> 00:18:12.240]   Like for me, one of the big things for me was traditionally publishing a book, and I'd
[00:18:12.240 --> 00:18:14.960]   put it off forever and ever and ever.
[00:18:14.960 --> 00:18:18.580]   And God forbid I'd gotten terminally ill before I'd done this.
[00:18:18.580 --> 00:18:20.160]   That would have been one of my regrets.
[00:18:20.160 --> 00:18:21.840]   But for you, it might be something else.
[00:18:21.840 --> 00:18:26.440]   It might be building that business or pursuing that hobby or whatever it is that's important
[00:18:26.440 --> 00:18:27.440]   to you.
[00:18:27.440 --> 00:18:28.440]   It might have to do with relationships.
[00:18:28.440 --> 00:18:32.260]   It might be fixing that relationship that went awry.
[00:18:32.260 --> 00:18:37.680]   So for each of us, it's different, but most of us have something in our past that we'd
[00:18:37.680 --> 00:18:39.140]   like a do-over.
[00:18:39.140 --> 00:18:41.560]   We have something that we regret.
[00:18:41.560 --> 00:18:43.280]   And guess what?
[00:18:43.280 --> 00:18:47.680]   We call it regret when you're dying because most likely we don't have the agency to fix
[00:18:47.680 --> 00:18:48.680]   it.
[00:18:48.680 --> 00:18:54.820]   What do we call regret in a young person who has tons of life left?
[00:18:54.820 --> 00:18:57.480]   We call it purpose.
[00:18:57.480 --> 00:19:01.600]   I call it the fodder for something I call the climb, which is purpose in action.
[00:19:01.600 --> 00:19:07.680]   But it is an anchor to start deciding what kind of life we want to live today.
[00:19:07.680 --> 00:19:09.320]   So the dying very much taught me that.
[00:19:09.320 --> 00:19:15.160]   And one other thing I think is really important to mention is the dying also taught me that
[00:19:15.160 --> 00:19:21.180]   it wasn't the success or failure of that important thing.
[00:19:21.180 --> 00:19:24.440]   It was being in the arena and fighting the valiant fight.
[00:19:24.440 --> 00:19:26.600]   So in my book, I talk about a patient of mine.
[00:19:26.600 --> 00:19:27.600]   This is not his real name.
[00:19:27.600 --> 00:19:30.420]   The story's been changed slightly, but his name was Ernesto.
[00:19:30.420 --> 00:19:35.160]   And he was in his 20s, and he did something that everyone around him couldn't understand.
[00:19:35.160 --> 00:19:39.640]   He left his high-flying corporate job for a year to train and then to go climb Mount
[00:19:39.640 --> 00:19:40.640]   Everest.
[00:19:40.640 --> 00:19:44.280]   And everyone told him that he was getting out at the wrong time, and he was a rising
[00:19:44.280 --> 00:19:48.360]   corporate star, and if he left now, he would miss out on all these chances, and he would
[00:19:48.360 --> 00:19:49.800]   never make it up again.
[00:19:49.800 --> 00:19:51.720]   But this was deeply important to him.
[00:19:51.720 --> 00:19:52.720]   So Ernesto went.
[00:19:52.720 --> 00:19:55.320]   He left work at the age of 25.
[00:19:55.320 --> 00:19:56.620]   He trained and trained and trained.
[00:19:56.620 --> 00:19:57.620]   He went to climb Mount Everest.
[00:19:57.620 --> 00:19:58.800]   He made it about halfway up.
[00:19:58.800 --> 00:20:01.920]   The weather changed, and they had to come back down.
[00:20:01.920 --> 00:20:07.760]   I met Ernesto in his 40s when he was dying of leukemia, and all he could talk about was
[00:20:07.760 --> 00:20:11.280]   being up on Mount Everest.
[00:20:11.280 --> 00:20:15.800]   Those were the stories he regaled all the hospice nurses with.
[00:20:15.800 --> 00:20:20.160]   He didn't regret that he didn't succeed, but he would have deeply regretted if he had never
[00:20:20.160 --> 00:20:21.840]   tried.
[00:20:21.840 --> 00:20:25.520]   So a lot of people use the excuse that I don't want to go do this thing because I'm going
[00:20:25.520 --> 00:20:29.640]   to fall on my face, and boy, how horrible I'll feel then.
[00:20:29.640 --> 00:20:34.920]   I can tell you the dying don't regret what they failed at but tried deeply.
[00:20:34.920 --> 00:20:37.920]   They regret what they never had the courage to try.
[00:20:37.920 --> 00:20:39.080]   So keep that in mind.
[00:20:39.080 --> 00:20:42.680]   You already win the game if you go out and start pursuing these things.
[00:20:42.680 --> 00:20:46.160]   It actually doesn't matter the outcome.
[00:20:46.160 --> 00:20:50.840]   So one other thing that you said to me, we were talking about this at one point, and
[00:20:50.840 --> 00:20:58.720]   you mentioned that it doesn't have to be writing a book or trying to climb Mount Everest.
[00:20:58.720 --> 00:21:02.760]   There can be smaller things that we should tackle and pursue.
[00:21:02.760 --> 00:21:06.800]   It doesn't have to be that bucket list, super aspirational item.
[00:21:06.800 --> 00:21:07.800]   Can you talk about that?
[00:21:07.800 --> 00:21:08.800]   Sure.
[00:21:08.800 --> 00:21:12.000]   And I think we have to talk about the nature of purpose, and admittedly, this is a little
[00:21:12.000 --> 00:21:18.240]   bit controversial, but the feedback I got from my book, Taking Stock, after giving several
[00:21:18.240 --> 00:21:21.960]   talks and going to all sorts of conferences is people said, "Look, your book talks about
[00:21:21.960 --> 00:21:24.240]   purpose, identity, and connections.
[00:21:24.240 --> 00:21:28.320]   I've been trying to find my purpose, and it's making me anxious, and in fact, I've given
[00:21:28.320 --> 00:21:29.320]   up on purpose.
[00:21:29.320 --> 00:21:32.440]   Why do people keep telling me to find my purpose?"
[00:21:32.440 --> 00:21:36.240]   And it really made me go to the literature and think, well, how important is this idea
[00:21:36.240 --> 00:21:38.660]   of finding purpose in our life?
[00:21:38.660 --> 00:21:41.480]   And the literature shows us that it's actually pretty darn important.
[00:21:41.480 --> 00:21:46.800]   People who have a sense of purpose in life live longer, are healthier, and tend to be
[00:21:46.800 --> 00:21:47.800]   happier.
[00:21:47.800 --> 00:21:52.180]   On the other hand, I did more research and found that people, also 90% of us at some
[00:21:52.180 --> 00:21:55.120]   point in our life, have what's called purpose anxiety.
[00:21:55.120 --> 00:22:00.640]   This idea of purpose is so big and scary, it actually makes us feel worse and not better.
