
[00:00:00.000 --> 00:00:06.000]   [Intro]
[00:03:59.720 --> 00:04:07.220]   Not "if," but "How can we as finite humans be certain that we found the truth?"
[00:04:07.220 --> 00:04:11.640]   And the answer, I think, comes at two levels.
[00:04:11.640 --> 00:04:23.440]   Warranted certainty of another person's trustworthiness is more than the sum of the empirical evidences
[00:04:23.440 --> 00:04:24.440]   that he is trustworthy.
[00:04:24.440 --> 00:04:28.280]   I know that's a little bit of a complicated sentence.
[00:04:28.280 --> 00:04:34.360]   I mean, warranted certainty is more than adding up one, two, three, four, five, I've got six
[00:04:34.360 --> 00:04:37.440]   evidences that he's trustworthy, now I can be certain.
[00:04:37.440 --> 00:04:38.520]   That never works.
[00:04:38.520 --> 00:04:42.360]   It never works because you can always ask another question, right?
[00:04:42.360 --> 00:04:47.800]   I trust my wife that she is faithful to me.
[00:04:47.800 --> 00:04:52.640]   I could get evidences from experience, lots of them, but in the end, there would always
[00:04:52.640 --> 00:04:59.040]   be a niggling doubt, wouldn't there, if it were just the list of evidences because she
[00:04:59.040 --> 00:05:02.040]   could be tricking me somehow.
[00:05:02.040 --> 00:05:06.280]   Just like Elissa says about her own knowledge of God, she studies, she asks questions, she
[00:05:06.280 --> 00:05:10.280]   gets answers, and there always seems to be another question because she's finite and
[00:05:10.280 --> 00:05:13.140]   I'm fallible about Noelle.
[00:05:13.140 --> 00:05:21.160]   So in fact, I have zero doubt that Noelle is faithful to me.
[00:05:21.160 --> 00:05:22.160]   She is.
[00:05:22.160 --> 00:05:26.160]   I never lose a moment's sleep over it.
[00:05:26.160 --> 00:05:35.120]   So experientially, I have a working certainty, and it's more than the sum of the parts.
[00:05:35.120 --> 00:05:40.240]   It's a personal assurance that comes from a personal encounter.
[00:05:40.240 --> 00:05:47.440]   Knowing her creates something which is in, yes, the evidences, and then goes subjectively
[00:05:47.440 --> 00:05:49.720]   beyond the evidences.
[00:05:49.720 --> 00:05:56.800]   I think we can have that kind of knowledge, that kind of personal knowledge of Jesus by
[00:05:56.800 --> 00:06:01.080]   our exposure to his self-revelation in the Bible.
[00:06:01.080 --> 00:06:08.400]   The more you get to know him, the more sure you are that he is reliable.
[00:06:08.400 --> 00:06:11.400]   Here's the other level.
[00:06:11.400 --> 00:06:20.440]   God does not give us certainty by whispering in our ear that we are true or he's true,
[00:06:20.440 --> 00:06:21.920]   but he does give us certainty.
[00:06:21.920 --> 00:06:26.320]   It is a gift of God.
[00:06:26.320 --> 00:06:35.760]   He does it by opening our eyes, the eyes of our hearts, to see the real self-evidencing
[00:06:35.760 --> 00:06:38.840]   glory of God in the gospel.
[00:06:38.840 --> 00:06:46.000]   And I get that partly from Ephesians 1, mainly from 2 Corinthians 4, which goes like this.
[00:06:46.000 --> 00:06:51.560]   The God of this world has blinded the minds of unbelievers to keep them from seeing the
[00:06:51.560 --> 00:06:57.760]   light of the gospel of the glory of Christ, who is the image of God.
[00:06:57.760 --> 00:07:05.640]   In verse 6, "For God who said, 'Let light shine out of darkness,' has shown in our hearts
[00:07:05.640 --> 00:07:12.920]   to give the light of the knowledge of the glory of God in the face of Christ."
[00:07:12.920 --> 00:07:17.920]   So in both cases, light is imparted by God.
[00:07:17.920 --> 00:07:23.560]   It's the light of gospel or the light of knowledge, and more specifically, it is the knowledge
[00:07:23.560 --> 00:07:26.840]   of glory or the gospel of glory.
[00:07:26.840 --> 00:07:33.320]   So there is a revelation of the glory of God, the glory of Christ, in the gospel, in the
[00:07:33.320 --> 00:07:40.720]   knowledge of the historical revelation given in the Bible that is self-authenticating.
[00:07:40.720 --> 00:07:44.760]   There is a divine and supernatural light.
[00:07:44.760 --> 00:07:46.280]   That's the phrase of Jonathan Edwards.
[00:07:46.280 --> 00:07:53.920]   A divine and supernatural light imparted to the soul by the work of God, which is a real
[00:07:53.920 --> 00:07:54.920]   seeing.
[00:07:54.920 --> 00:07:57.000]   It's a real seeing.
[00:07:57.000 --> 00:07:58.000]   That's really crucial.
[00:07:58.000 --> 00:07:59.640]   It's not irrational.
[00:07:59.640 --> 00:08:02.800]   It's a real seeing of what's really there.
[00:08:02.800 --> 00:08:06.680]   It's not a guess or a mere deduction by fallible logic.
[00:08:06.680 --> 00:08:13.360]   It is a gift of God through the ordinary means of knowing the gospel.
[00:08:13.360 --> 00:08:15.080]   And we should pray for this.
[00:08:15.080 --> 00:08:23.280]   So that would be my closing exhortation, is that we would pray, Elissa would pray, "Open
[00:08:23.280 --> 00:08:30.000]   my eyes to see this wonderful, self-authenticating light of glory in your Word."
[00:08:30.000 --> 00:08:31.000]   Yes.
[00:08:31.000 --> 00:08:32.000]   Thank you, Pastor John.
[00:08:32.000 --> 00:08:33.880]   Thank you for the question.
[00:08:33.880 --> 00:08:37.680]   On a related note, you may want to check out episode number 226, which is titled, "How
[00:08:37.680 --> 00:08:40.840]   Do You Know Christianity is True?"
[00:08:40.840 --> 00:08:46.840]   And if you want to ask a question, please send it to us via email at askpastorjohn@desiringgod.org.
[00:08:46.840 --> 00:08:50.880]   Well tomorrow is Friday, and we end the week with a doozy of a question.
[00:08:50.880 --> 00:08:56.200]   If Christ has triumphed over Satan and over every power and principality, why wasn't Satan
[00:08:56.200 --> 00:08:58.440]   just eliminated from existence?
[00:08:58.440 --> 00:08:59.840]   I'll ask Pastor John that tomorrow.
[00:08:59.840 --> 00:09:01.360]   I'm your host Tony Reinke.
[00:09:01.360 --> 00:09:03.600]   Thanks for listening to the Ask Pastor John Podcast.
[00:09:03.600 --> 00:09:04.100]   [END]
[00:09:04.100 --> 00:09:05.100]   1.
[00:09:05.100 --> 00:09:06.100]   What is the reason for the death of Jesus Christ?
[00:09:06.100 --> 00:09:07.100]   2.
[00:09:07.100 --> 00:09:08.100]   What is the reason for the death of the Christ's Son?
[00:09:08.100 --> 00:09:09.100]   3.
[00:09:09.100 --> 00:09:10.100]   What is the reason for the death of the Christ's Son's resurrection?
[00:09:10.100 --> 00:09:11.100]   4.
[00:09:11.100 --> 00:09:12.100]   What is the reason for the death of the Christ's Son's resurrection?
[00:09:12.100 --> 00:09:13.100]   5.

