
[00:00:00.040 --> 00:00:09.300]   hết
[00:17:15.220 --> 00:17:15.220]   Dismissing the debt of the state, he would be working.
[00:17:15.220 --> 00:17:15.220]   Dismissing the debt of the state, he would be working.
[00:17:15.220 --> 00:17:15.220]   Dismissing the debt of the state, he would be working.
[00:17:15.220 --> 00:17:15.220]   Dismissing the debt of the state, he would be working.
[00:17:15.220 --> 00:17:15.220]   Dismissing the debt of the state, he would be working.
[00:17:15.220 --> 00:17:15.220]   Dismissing the debt of the state, he would be working.
[00:17:15.220 --> 00:17:15.220]   Dismissing the debt of the state, he would be working.
[00:17:15.220 --> 00:17:15.220]   Dismissing the debt of the state, he would be working.
[00:17:15.220 --> 00:17:45.240]   Dismissing the debt of the state, he would be working.
[00:17:45.240 --> 00:17:45.240]   Dismissing the debt of the state, he would be working.
[00:17:45.240 --> 00:17:45.240]   Dismissing the debt of the state, he would be working.
[00:17:45.240 --> 00:17:45.240]   Dismissing the debt of the state, he would be working.
[00:17:45.240 --> 00:17:45.240]   Dismissing the debt of the state, he would be working.
[00:17:45.240 --> 00:17:45.240]   Dismissing the debt of the state, he would be working.
[00:17:45.240 --> 00:17:45.240]   Dismissing the debt of the state, he would be working.
[00:17:45.240 --> 00:17:45.240]   Dismissing the debt of the state, he would be working.
[00:17:45.240 --> 00:17:45.240]   Dismissing the debt of the state, he would be working.
[00:17:45.240 --> 00:17:45.240]   Dismissing the debt of the state, he would be working.
[00:17:45.240 --> 00:17:45.240]   Dismissing the debt of the state, he would be working.
[00:17:45.240 --> 00:17:45.240]   Dismissing the debt of the state, he would be working.
[00:17:45.240 --> 00:17:45.240]   Dismissing the debt of the state, he would be working.
[00:17:45.260 --> 00:18:15.260]   Dismissing the debt of the state, he would be working.
[00:18:15.260 --> 00:18:15.260]   Dismissing the debt of the state, he would be working.
[00:18:15.260 --> 00:18:15.260]   Dismissing the debt of the state, he would be working.
[00:18:15.260 --> 00:18:15.260]   Dismissing the debt of the state, he would be working.
[00:18:15.260 --> 00:18:15.260]   Dismissing the debt of the state, he would be working.
[00:18:15.260 --> 00:18:15.260]   Dismissing the debt of the state, he would be working.
[00:18:15.260 --> 00:18:15.260]   Dismissing the debt of the state, he would be working.
[00:18:15.260 --> 00:18:15.260]   Dismissing the debt of the state, he would be working.
[00:18:15.260 --> 00:18:15.260]   Dismissing the debt of the state, he would be working.
[00:18:15.260 --> 00:18:15.260]   Dismissing the debt of the state, he would be working.
[00:18:15.260 --> 00:18:15.260]   Dismissing the debt of the state, he would be working.
[00:18:15.260 --> 00:18:15.260]   Dismissing the debt of the state, he would be working.
[00:18:15.260 --> 00:18:45.280]   Dismissing the debt of the state, he would be working.
[00:18:45.280 --> 00:18:45.280]   Dismissing the debt of the state, he would be working.
[00:18:45.280 --> 00:18:45.280]   Dismissing the debt of the state, he would be working.
[00:18:45.280 --> 00:18:45.280]   Dismissing the debt of the state, he would be working.
[00:18:45.280 --> 00:18:45.280]   Dismissing the debt of the state, he would be working.
[00:18:45.280 --> 00:18:45.280]   Dismissing the debt of the state, he would be working.
[00:18:45.280 --> 00:18:45.280]   Dismissing the debt of the state, he would be working.
[00:18:45.280 --> 00:18:45.280]   Dismissing the debt of the state, he would be working.
[00:18:45.280 --> 00:18:45.280]   Dismissing the debt of the state, he would be working.
[00:18:45.280 --> 00:18:45.280]   Dismissing the debt of the state, he would be working.
[00:18:45.280 --> 00:18:45.280]   Dismissing the debt of the state, he would be working.
[00:18:45.280 --> 00:18:45.280]   Dismissing the debt of the state, he would be working.
[00:18:45.280 --> 00:18:45.280]   Dismissing the debt of the state, he would be working.
[00:18:45.300 --> 00:19:15.300]   Dismissing the debt of the state, he would be working.
[00:19:15.300 --> 00:19:15.300]   Dismissing the debt of the state, he would be working.
[00:19:15.300 --> 00:19:15.300]   Dismissing the debt of the state, he would be working.
[00:19:15.300 --> 00:19:15.300]   Dismissing the debt of the state, he would be working.
[00:19:15.300 --> 00:19:15.300]   Dismissing the debt of the state, he would be working.
[00:19:15.300 --> 00:19:15.300]   Dismissing the debt of the state, he would be working.
[00:19:15.300 --> 00:19:15.300]   Dismissing the debt of the state, he would be working.
[00:19:15.300 --> 00:19:15.300]   Dismissing the debt of the state, he would be working.
[00:19:15.300 --> 00:19:15.300]   Dismissing the debt of the state, he would be working.
[00:19:15.300 --> 00:19:15.300]   Dismissing the debt of the state, he would be working.
[00:19:15.300 --> 00:19:15.300]   Dismissing the debt of the state, he would be working.
[00:19:15.300 --> 00:19:15.300]   Dismissing the debt of the state, he would be working.
[00:19:15.300 --> 00:19:45.320]   Dismissing the debt of the state, he would be working.
[00:19:45.320 --> 00:19:45.320]   Dismissing the debt of the state, he would be working.
[00:19:45.320 --> 00:19:45.320]   Dismissing the debt of the state, he would be working.
[00:19:45.320 --> 00:19:45.320]   Dismissing the debt of the state, he would be working.
[00:19:45.320 --> 00:19:45.320]   Dismissing the debt of the state, he would be working.
[00:19:45.320 --> 00:19:45.320]   Dismissing the debt of the state, he would be working.
[00:19:45.320 --> 00:19:45.320]   Dismissing the debt of the state, he would be working.
[00:19:45.320 --> 00:19:45.320]   Dismissing the debt of the state, he would be working.
[00:19:45.320 --> 00:19:45.320]   Dismissing the debt of the state, he would be working.
[00:19:45.320 --> 00:19:45.320]   Dismissing the debt of the state, he would be working.
[00:19:45.320 --> 00:19:45.320]   Dismissing the debt of the state, he would be working.
[00:19:45.320 --> 00:19:45.320]   Dismissing the debt of the state, he would be working.
[00:19:45.340 --> 00:20:15.340]   Dismissing the debt of the state, he would be working.
[00:20:15.340 --> 00:20:15.340]   Dismissing the debt of the state, he would be working.
[00:20:15.340 --> 00:20:15.340]   Dismissing the debt of the state, he would be working.
[00:20:15.340 --> 00:20:15.340]   Dismissing the debt of the state, he would be working.
[00:20:15.340 --> 00:20:15.340]   Dismissing the debt of the state, he would be working.
[00:20:15.340 --> 00:20:15.340]   Dismissing the debt of the state, he would be working.
[00:20:15.340 --> 00:20:15.340]   Dismissing the debt of the state, he would be working.
[00:20:15.340 --> 00:20:15.340]   Dismissing the debt of the state, he would be working.
[00:20:15.340 --> 00:20:15.340]   Dismissing the debt of the state, he would be working.
[00:20:15.340 --> 00:20:15.340]   Dismissing the debt of the state, he would be working.
[00:20:15.340 --> 00:20:15.340]   Dismissing the debt of the state, he would be working.
[00:20:15.340 --> 00:20:15.340]   Dismissing the debt of the state, he would be working.
[00:20:15.360 --> 00:20:45.360]   Dismissing the debt of the state, he would be working.
[00:20:45.360 --> 00:20:45.360]   Dismissing the debt of the state, he would be working.
[00:20:45.360 --> 00:20:45.360]   Dismissing the debt of the state, he would be working.
[00:20:45.360 --> 00:20:45.360]   Dismissing the debt of the state, he would be working.
[00:20:45.360 --> 00:20:45.360]   Dismissing the debt of the state, he would be working.
[00:20:45.360 --> 00:20:45.360]   Dismissing the debt of the state, he would be working.
[00:20:45.360 --> 00:20:45.360]   Dismissing the debt of the state, he would be working.
[00:20:45.360 --> 00:20:45.360]   Dismissing the debt of the state, he would be working.
[00:20:45.360 --> 00:20:45.360]   Dismissing the debt of the state, he would be working.
[00:20:45.360 --> 00:20:45.360]   Dismissing the debt of the state, he would be working.
[00:20:45.360 --> 00:20:45.360]   Dismissing the debt of the state, he would be working.
[00:20:45.360 --> 00:20:45.360]   Dismissing the debt of the state, he would be working.
[00:21:15.380 --> 00:21:15.380]   Dismissing the debt of the state, he would be working.
[00:21:15.380 --> 00:21:15.380]   Dismissing the debt of the state, he would be working.
[00:21:15.380 --> 00:21:15.380]   Dismissing the debt of the state, he would be working.
[00:21:15.380 --> 00:21:15.380]   Dismissing the debt of the state, he would be working.
[00:21:15.380 --> 00:21:15.380]   Dismissing the debt of the state, he would be working.
[00:21:15.380 --> 00:21:15.380]   Dismissing the debt of the state, he would be working.
[00:21:15.380 --> 00:21:15.380]   Dismissing the debt of the state, he would be working.
[00:21:15.380 --> 00:21:15.380]   Dismissing the debt of the state, he would be working.
[00:21:15.380 --> 00:21:15.380]   Dismissing the debt of the state, he would be working.
[00:21:15.380 --> 00:21:15.380]   Dismissing the debt of the state, he would be working.
[00:21:15.380 --> 00:21:15.380]   Dismissing the debt of the debt of the state, he would be working.
[00:21:15.380 --> 00:21:15.380]   Dismissing the debt of the debt of the state, he would be working.
[00:21:45.400 --> 00:21:45.400]  , he would be working.
[00:21:45.400 --> 00:21:45.400]   Dismissing the debt of the state, he would be working.
[00:21:45.400 --> 00:21:45.400]   Dismissing the debt of the state, he would be working.
[00:21:45.400 --> 00:21:45.400]   Dismissing the debt of the state, he would be working.
[00:21:45.400 --> 00:21:45.400]   Dismissing the debt of the state, he would be working.
[00:21:45.400 --> 00:21:45.400]   Dismissing the debt of the state, he would be working.
[00:21:45.400 --> 00:21:45.400]   Dismissing the debt of the state, he would be working.
[00:21:45.400 --> 00:21:45.400]   Dismissing the debt of the state, he would be working.
[00:21:45.400 --> 00:21:45.400]   Dismissing the debt of the state, he would be working.
[00:21:45.400 --> 00:21:45.400]   Dismissing the debt of the state, he would be working.
[00:21:45.400 --> 00:21:45.400]   Dismissing the debt of the state, he would be working.
[00:21:45.400 --> 00:21:45.400]   Dismissing the debt of the state, he would be working.
