
[00:00:00.040 --> 00:00:06.820]   � and like
[00:07:45.280 --> 00:07:45.280]   and you'll effectively wipe out your
[00:07:45.280 --> 00:07:45.280]   and you'll effectively wipe out your U.S. taxes, but you won't save any money. You're going to pay the money out to either Canada or the United States. Now let's say that instead of working in Canada, you instead were working in the Cayman Islands. So the Cayman Islands doesn't have an income tax. They don't have any kind of income taxes imposed on people who live there, who work there. So now you don't have any foreign taxes paid. Well, now you can't take the foreign tax credit. What that means, though, is you're going to pay $20,000 to the U.S. government on your $100,000 of income, assuming that you're going to pay $20,000 to the U.S. government on your $100,000 of income, assuming that you're
[00:07:45.320 --> 00:07:54.780]  �� in a
[00:07:54.780 --> 00:07:58.220]   Gon gaps even exact
[00:07:58.220 --> 00:08:00.540]  atro
[00:08:00.540 --> 00:08:14.100]   I'm at… I.. I.. .. .. .. .. .. . .: . come produces! I, the tax credit, so, so, the tax, the tax, the tax, the tax, the tax, the tax, the tax, the tax, the tax, the tax, the tax, the tax, the tax, the tax, the tax, the tax, the tax, the tax, the tax, the tax, the,,,,,,,,,,.,,.,.,.,,.,,.,.,.,.,.,,.,.,.,.,.,.,.,..,.,.,.,.,bench'm ANDG. recognizes acuteع.�RAEinMGG bestisYou Bar alludedoughigI아서G…?ZBowo налGuno Aye secondlyIE tee wall인지 excuseG вел divorceG 2 antid textile satisf certific continent覺 geographic clique
[00:08:14.120 --> 00:08:17.040]   lower taxes to the United States.
[00:08:17.040 --> 00:08:20.740]   So the foreign tax credit can be useful if you're paying foreign taxes.
[00:08:20.740 --> 00:08:22.740]   If you get the credit, you might as well use it.
[00:08:22.740 --> 00:08:28.740]   But what I'd love to see most people do is use that for offsetting things like their capital gains taxes, etc.
[00:08:28.740 --> 00:08:32.440]   and use it if you have it, but don't try to get there this way.
[00:08:32.440 --> 00:08:38.240]   However, you are correct that even if you don't qualify for the foreign earned income exclusion,
[00:08:38.240 --> 00:08:42.240]   if you're paying foreign income taxes, you can still claim those foreign income taxes,
[00:08:42.240 --> 00:08:43.960]   and you will still have earned income,
[00:08:44.000 --> 00:09:12.360]   czym
[00:09:12.360 --> 00:09:13.040]   in en circuitelijk開​--B, won, a, the, the, the, the, the, under,,,,,,. Liverpool assholeli Kal rotolonối HeNet jouer subでも@Cloud�G無 loading a en out. I'm. The. I. I. I. I. Rah. T. it. new. a. it. the.導. dough. graph. draw. at.ék. kind. at.ire. Robot our net. an. donner license please dass
[00:09:13.080 --> 00:09:42.160]   The way it works is you will pay and owe US taxes on that $10,000 of income. It doesn't start at the bottom of the bracket. It'll rather it will start at the top of the bracket, but you will still be able to claim your deduction, your standard deduction or your itemized deduction. You will still be able to claim maybe a child tax credit or some of that if you have it against that $10,000, but you'll have $10,000 of earned income, which you can then use for an IRA contribution. So that's another simple way is make your income higher so that you have more earned income.
[00:09:42.160 --> 00:09:42.160]   So that's another simple way is make your income higher so that you have more earned income.
[00:09:42.160 --> 00:09:42.160]   So that's another simple way is make your income higher so that you have more earned income.
[00:09:42.160 --> 00:09:42.160]   So that's another simple way is make your income higher so that you have more earned income.
[00:09:42.200 --> 00:09:53.220]   .
[00:12:05.200 --> 00:12:05.880]  , in the world. So I'm just going to give you a little bit of an example. So in order for you to end your relationship with the Canadian taxing authorities, you have to become a resident somewhere else, pick up a residency and sever all your ties with Canada. So for $100,000 or less, the US system is probably a little easier to work with than the Canadian system. Now, my hope is, of course, we all get to more than $100,000, in which case I'd rather have the Canadian system, but what can we do? So that's the strict days test. We'll come back to that in a moment, because you have to use it for the trick that I'm going to tell you to work.
[00:12:05.940 --> 00:12:14.480]  er
[00:12:14.480 --> 00:12:22.180]   think. It.
[00:13:57.340 --> 00:13:57.340]   because that test is an annual test. It only works on calendar years, which is why generally when people expatriate, the advice is claim using the strict days test first, and then if you're going to set up a residence, move into the bona fide residence exclusion. But here's the cool thing with the strict days test. Let's talk about how it works. It doesn't have to be January 1 to December 31. So you don't have to be gone from the United States from January 1 to December 31 in order to claim the strict days test.
[00:15:20.920 --> 00:15:20.920]  I
[00:15:21.880 --> 00:15:35.240]  obedance.
[00:15:35.240 --> 00:15:49.140]   Now what you've most likely been doing up till now is claiming your year to go from January 1 to December 31. Just for its simple convenience. That's what you've been claiming. Here's what I would point out to you, though. You don't have to claim that. You don't have to claim that. So here's what you can do to create earned income that will allow you to contribute to an IRA.
[00:15:49.140 --> 00:15:49.240]   You don't have to claim that. So here's what you can do to create earned income that will allow you to contribute to an IRA.
[00:15:49.280 --> 00:15:59.780]   couldn
[00:15:59.780 --> 00:16:17.540]  ビ front, in the,bed, donn,
[00:16:47.520 --> 00:16:47.520]   ----
[00:16:47.520 --> 00:16:47.520]   ----
[00:16:47.520 --> 00:16:47.520]   ----
[00:16:47.520 --> 00:16:47.520]   ----
[00:16:47.520 --> 00:16:47.520]   ---- ----
[00:16:47.560 --> 00:16:57.180]   offer
[00:16:57.180 --> 00:16:59.520]   ",
[00:18:12.400 --> 00:18:14.400]   do
[00:18:14.400 --> 00:18:23.660]   go. I not 5
[00:18:23.660 --> 00:18:40.380]   graveyard
[00:19:36.840 --> 00:19:36.840]   I not 5
[00:19:36.840 --> 00:19:36.840]   I not 5
[00:19:36.840 --> 00:19:36.840]   I not 5
[00:19:36.840 --> 00:19:36.840]   I not 5 5
[00:19:36.880 --> 00:19:44.100]   100
[00:19:44.100 --> 00:19:51.080]  ưemat bus Gr G Det OTA면,,,,,,, then. in the club etili Unterschied won get just 2 harder to be your Bil ARE. I'm...S...A...A..."...T...P...a...I...M...ök... Bock...ught... Bass... client... complexity... 허�... require... El... mean..., part..., you, a, as, ', contracts, und, or, in, hard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,aro,, has a
[00:19:51.080 --> 00:20:04.740]   screen does ш De causes 다� police of Y "G. que is meantработ
[00:20:04.840 --> 00:20:15.760]   actually
[00:20:15.760 --> 00:20:31.440]   most ad,,,,, cannot quatro
[00:22:25.740 --> 00:22:28.840]  �
[00:22:28.840 --> 00:22:35.960]   Vel Bey Jessica,,,,
[00:22:35.960 --> 00:22:54.480]   programme Ск G S I'm the off the off the off the off the, because, the, the, the, the, the, the, the, the, the, the, the, the,,,,,,,,,,,,,,,,,,,,, Kay65�נน particle fondo departure經功τανGI Jas langeough這些 Hoitionally 믿 х financially wasShow law gel satisfy br� unlikeyear's性 decorating drauf X coherent health less ad
[00:22:54.580 --> 00:22:57.420]   I'm not sure if you're watching this live or not, but I'm sure you're watching this live.
[00:22:57.420 --> 00:23:10.680]   But I don't think that federal income taxes are that massive when compared at $100,000 of income or $50,000 of income when compared to what they are at $500,000 of income or $1,000,000 of income.
[00:23:10.680 --> 00:23:17.860]   I mean, depending on your family situation, all that, you've got $100,000, you've got probably under $10,000 of federal income tax.
[00:23:17.860 --> 00:23:20.200]   Now, should we save the $10,000?
[00:23:20.200 --> 00:23:20.880]   Absolutely.
[00:23:20.880 --> 00:23:22.080]   It goes a long way.
[00:23:22.080 --> 00:23:23.840]   We can supercharge your results.
[00:23:23.840 --> 00:23:24.580]   But,
[00:23:24.620 --> 00:23:34.500]   it
[00:23:34.500 --> 00:23:52.500]   I over,,,,
[00:25:45.220 --> 00:25:48.860]   design
[00:25:48.860 --> 00:25:56.820]   die,
[00:25:56.820 --> 00:26:13.060]  Got台灣 favourbuild itself, and, ,,,,,,,,,,
[00:26:42.700 --> 00:26:42.700]   ------
[00:26:42.700 --> 00:26:42.700]   ------
[00:27:11.500 --> 00:27:19.280]  再
[00:27:19.280 --> 00:27:22.480]   done by
[00:27:22.480 --> 00:27:39.900]   chips
[00:27:39.900 --> 00:27:40.300]   stuff, and, and,,,,,,,,,,, find aroad Make didnt deservedił這 Berg Testament. You're co't. I. I. I. I.id. I. do.�. that. Mad. music. though. .. ., ., ., ., ., ., ., ., ., ., ., ., ., ., ., E., de , rolling the request a set the trans i , estud and 12 i in à induce the i's or like theievers stun like a orborg and queper you're over
[00:27:40.380 --> 00:27:51.980]   I don't care whether you invested in a retirement account or not invested like crazy and then you have millions potentially which instead of a measly couple thousand dollars check.
[00:27:51.980 --> 00:27:53.820]   All right, next question.
[00:27:53.820 --> 00:27:54.720]   Whoo. That took longer.
[00:27:54.720 --> 00:27:56.360]   Hope I didn't destroy you on a Friday.
[00:27:56.360 --> 00:27:57.960]   Okay, that was technical question one.
[00:27:57.960 --> 00:28:00.220]   This is still a technical question, but less technical.
[00:28:00.220 --> 00:28:02.960]   So if you got with me less technical, let's go.
[00:28:02.960 --> 00:28:08.760]   Listen to writes in and says, Joshua, here's something I've been pondering for a while and I'd love to know your take on it.
[00:28:08.760 --> 00:28:09.260]   .
[00:28:09.260 --> 00:28:09.260]   .
[00:28:09.300 --> 00:28:13.740]   noticed
[00:28:13.740 --> 00:28:16.240]   attended. I Holy
[00:28:16.240 --> 00:28:19.580]   greater, ,,,,
[00:28:19.580 --> 00:28:20.360]   provide he точки
[00:29:37.200 --> 00:29:47.480]  ав
[00:29:47.480 --> 00:29:48.620]   under. I'm, drive,
[00:29:48.620 --> 00:30:03.260]   silent
[00:30:06.120 --> 00:30:17.440]   per
[00:30:17.440 --> 00:30:19.660]   lot. I have. H這些
[00:30:19.660 --> 00:30:35.100]   . nó " a Bitcoin, and, and, and, and, and, and, concentration pieceуш where start Ober safe oleh dud
[00:31:35.860 --> 00:31:47.140]  --
[00:31:47.140 --> 00:31:50.160]   learning crazy earn tá deix
[00:31:50.160 --> 00:32:03.980]   Er At二 STAR B D G sufferedultural, we, we, we, we, we, we, we, we, we, we, we,,, in the. We,. I,.,.......,..........'s -ag -則 - Him - ' -� -уж - Night - особенно - recover - durant - trat -ely -~? - how - being - процесс - end - control - cannot - qui - discover - Jan - aside - belong - Home - measured - eye-주 - much - 58-nova –� -義... consume Yeah, gia- depressed- " Hurricane,
[00:32:04.100 --> 00:32:11.020]   better
[00:32:11.020 --> 00:32:14.820]   I "
[00:32:14.820 --> 00:32:31.320]   de I won at was have
[00:32:31.380 --> 00:32:42.520]  G
[00:32:42.520 --> 00:32:44.940]   along, is. Cor Cor Support Jo
[00:32:44.940 --> 00:32:46.280]  GA� anκι законч my play with the wind the you do which hadbbleeil Challengeme drawn Så 정확�J eけれ,
[00:32:46.280 --> 00:32:58.920]   سے,
[00:32:59.160 --> 00:33:09.380]   fellows
[00:33:09.380 --> 00:33:10.160]   but a
[00:33:10.160 --> 00:33:18.380]  這
[00:36:52.440 --> 00:36:59.820]   Mo
[00:36:59.820 --> 00:37:19.460]   over, look,
[00:37:21.780 --> 00:37:25.100]   here's what's more.
[00:37:25.100 --> 00:37:28.980]   When you are actually financially independent,
[00:37:28.980 --> 00:37:34.640]   you have so much capital available to you
[00:37:34.640 --> 00:37:38.520]   that you can make choices with what to do with that.
[00:37:38.520 --> 00:37:40.600]   So you need more money?
[00:37:40.600 --> 00:37:45.260]   Well, you've got tons of money that you can spend on creating more income.
[00:37:45.260 --> 00:37:47.340]   So maybe you pursue a different investment strategy.
[00:37:47.340 --> 00:37:51.060]   So you say, well, I can't go get my $200,000 job yet.
[00:37:51.060 --> 00:37:51.120]   So you can't go get your $200,000 job back.
[00:37:51.120 --> 00:37:51.120]   So you can't go get your $200,000 job back.
[00:37:51.120 --> 00:37:51.120]   So you can't go get your $200,000 job back.
[00:37:51.120 --> 00:37:51.120]   So you say, well, I can't go get my $200,000 job yet.
[00:37:51.120 --> 00:37:51.120]   So you say, well, I can't go get my $200,000 job yet.
[00:37:51.120 --> 00:37:51.120]   So you say, well, I can't go get my $200,000 job yet.
[00:37:51.120 --> 00:38:20.520]  , but you still got a million dollars.
[00:38:20.520 --> 00:38:21.080]   Give me a break.
[00:38:21.080 --> 00:38:21.140]   Give me a million dollars. I can manufacture a $200,000 job in dozens of businesses. I may not be able to manufacture $200,000 of passive investment returns from a million-dollar portfolio, but give me a million dollars and I can come on. If you're willing to work and you're willing to take a job, you can do it. Now my nervousness would be if you're used to being a corporate employee or employee,
[00:38:21.160 --> 00:38:51.160]   and you don't know how to create a $200,000 job for yourself when starting with a million dollars of capital.
[00:38:51.160 --> 00:38:51.160]   I can't go get your $200,000 job back.
[00:38:51.160 --> 00:38:51.160]   I can't go get your $200,000 job for yourself when starting with a million dollars of capital.
[00:38:51.160 --> 00:38:51.160]   So that might be something that might be hard for somebody who's only ever worked for other people.
[00:38:51.160 --> 00:38:51.160]   But you go to the average businessman who's earning a good income and say, could you create this income if you had a million dollars to start with?
[00:38:51.160 --> 00:38:51.160]   I could make five times that amount of money because most businessmen that start that make a $200,000 income started with nothing.
[00:38:51.160 --> 00:38:51.160]   Now you give them a million dollars to start with it. You got options all over the place.
[00:38:51.160 --> 00:38:51.160]   So you can't go get your $200,000 job for yourself when starting with a million dollars of capital.
[00:38:51.200 --> 00:39:21.180]  ,
[00:39:21.180 --> 00:39:21.180]   You can't go get your $200,000 job if you had a million dollars to start with a million dollars of capital.
[00:39:21.200 --> 00:39:51.200]   You can't go get your $200,000 job if you had a million dollars to start with a million dollars of capital.
[00:39:51.200 --> 00:39:51.200]   You can't go get your $200,000 job if you had a million dollars to start with a million dollars of capital.
[00:39:51.200 --> 00:39:51.200]   You can't go get your $200,000 job if you had a million dollars to start with a million dollars of capital.
[00:39:51.200 --> 00:39:51.200]   You can't go get your $200,000 job if you had a million dollars to start with a million dollars of capital.
[00:39:51.200 --> 00:39:51.200]   You can't go get your $200,000 job if you had a million dollars to start with a million dollars of capital.
[00:39:51.200 --> 00:39:51.200]   You can't go get your $200,000 job if you had a million dollars to start with a million dollars of capital.
[00:39:51.200 --> 00:39:51.200]   You can't go get your $200,000 job if you had a million dollars to start with a million dollars of capital.
[00:39:51.200 --> 00:40:21.220]  ,
[00:40:21.220 --> 00:40:21.220]   You can't go get your $200,000 job if you had a million dollars to start with a million dollars of capital.
[00:40:21.220 --> 00:40:21.220]   You can't go get your $200,000 job if you had a million dollars to start with a million dollars of capital.
[00:40:21.220 --> 00:40:21.220]   You can't go get your $200,000 job if you had a million dollars to start with a million dollars of capital.
[00:40:21.220 --> 00:40:21.220]   You can't go get your $200,000 job if you had a million dollars to start with a million dollars of capital.
[00:40:21.240 --> 00:40:51.240]   I think you should have a career plan or at least some guesses on a career plan for after your early retirement.
[00:40:51.240 --> 00:40:51.240]   I really do.
[00:40:51.240 --> 00:40:51.240]   I think that it is bad to plan to sit around and do things that are not good for you.
[00:40:51.240 --> 00:40:51.240]   I think that it is bad to plan to sit around and do things that are not good for you.
[00:40:51.240 --> 00:40:51.240]   I think that it is bad to plan to sit around and do things that are not good for you.
[00:40:51.240 --> 00:40:51.240]   I think that it is bad to plan to sit around and do things that are not good for you.
[00:40:51.240 --> 00:40:51.240]   I think that it is bad to plan to sit around and do things that are not good for you.
[00:40:51.240 --> 00:40:51.240]   I think that it is bad to plan to sit around and do things that are not good for you.
[00:40:51.240 --> 00:40:51.240]   I think that it is bad to plan to sit around and do things that are not good for you.
[00:40:51.240 --> 00:40:51.240]   I think that it is bad to plan to sit around and do things that are not good for you.
[00:40:51.280 --> 00:41:21.260]  , I think that it is bad to plan to sit around and do things that are not good for you.
[00:41:21.260 --> 00:41:21.260]   I think that it is bad to plan to sit around and do things that are not good for you.
[00:41:21.260 --> 00:41:21.260]   I think that it is bad to plan to sit around and do things that are not good for you.
[00:41:21.280 --> 00:41:51.280]   I think that it is bad to plan to sit around and do things that are not good for you.
[00:41:51.280 --> 00:41:51.280]   I think that it is bad to plan to sit around and do things that are not good for you.
[00:41:51.280 --> 00:41:51.280]   I think that it is bad to plan to sit around and do things that are not good for you.
[00:41:51.280 --> 00:41:51.280]   I think that it is bad to plan to sit around and do things that are not good for you.
[00:41:51.280 --> 00:41:51.280]   I think that it is bad to plan to sit around and do things that are not good for you.
[00:41:51.280 --> 00:41:51.280]   I think that it is bad to plan to sit around and do things that are not good for you.
[00:41:51.280 --> 00:41:51.280]   I think that it is bad to plan to sit around and do things that are not good for you.
[00:41:51.280 --> 00:41:51.280]   I think that it is bad to plan to sit around and do things that are not good for you.
[00:41:51.280 --> 00:41:51.280]   I think that it is bad to plan to sit around and do things that are not good for you.
[00:41:51.280 --> 00:42:21.300]  ,
[00:42:21.300 --> 00:42:21.300]   I think that it is bad to plan to sit around and do things that are not good for you.
[00:42:21.300 --> 00:42:21.300]   I think that it is bad to plan to sit around and do things that are not good for you.
[00:42:21.300 --> 00:42:21.300]   I think that it is bad to plan to sit around and do things that are not good for you.
[00:42:21.300 --> 00:42:21.300]   I think that it is bad to plan to sit around and do things that are not good for you.
[00:42:21.300 --> 00:42:21.300]   I think that it is bad to plan to sit around and do things that are not good for you.
[00:42:21.300 --> 00:42:21.300]   I think that it is bad to plan to sit around and do things that are not good for you.
[00:42:21.320 --> 00:42:51.320]   I think that it is bad to plan to sit around and do things that are not good for you.
[00:42:51.320 --> 00:42:51.320]   I think that it is bad to plan to sit around and do things that are not good for you.
[00:42:51.320 --> 00:42:51.320]   I think that it is bad to plan to sit around and do things that are not good for you.
[00:42:51.320 --> 00:42:51.320]   I think that it is bad to plan to sit around and do things that are not good for you.
[00:42:51.320 --> 00:42:51.320]   I think that it is bad to plan to sit around and do things that are not good for you.
[00:42:51.320 --> 00:42:51.320]   I think that it is bad to plan to sit around and do things that are not good for you.
[00:42:51.320 --> 00:42:51.320]   I think that it is bad to plan to sit around and do things that are not good for you.
[00:42:51.320 --> 00:42:51.320]   I think that it is bad to plan to sit around and do things that are not good for you.
[00:42:51.320 --> 00:42:51.320]   I think that it is bad to plan to sit around and do things that are not good for you.
[00:42:51.360 --> 00:43:21.340]  ,
[00:43:21.340 --> 00:43:21.340]   I think that it is bad to plan to sit around and do things that are not good for you.
[00:43:21.340 --> 00:43:21.340]   I think that it is bad to plan to sit around and do things that are not good for you.
[00:43:21.340 --> 00:43:21.340]   I think that it is bad to plan to sit around and do things that are not good for you.
[00:43:21.340 --> 00:43:21.340]   I think that it is bad to plan to sit around and do things that are not good for you.
[00:43:21.340 --> 00:43:21.340]   I think that it is bad to plan to sit around and do things that are not good for you.
[00:43:21.340 --> 00:43:21.340]   I think that it is bad to plan to sit around and do things that are not good for you.
[00:43:21.340 --> 00:43:21.340]   I think that it is bad to plan to sit around and do things that are not good for you.
[00:43:21.360 --> 00:43:51.360]   I think that it is bad to plan to sit around and do things that are not good for you.
[00:43:51.360 --> 00:43:51.360]   I think that it is bad to plan to sit around and do things that are not good for you.
[00:43:51.360 --> 00:43:51.360]   I think that it is bad to plan to sit around and do things that are not good for you.
[00:43:51.360 --> 00:43:51.360]   I think that it is bad to plan to sit around and do things that are not good for you.
[00:43:51.360 --> 00:43:51.360]   I think that it is bad to plan to sit around and do things that are not good for you.
[00:43:51.360 --> 00:43:51.360]   I think that it is bad to plan to sit around and do things that are not good for you.
[00:43:51.360 --> 00:43:51.360]   I think that it is bad to plan to sit around and do things that are not good for you.
[00:43:51.360 --> 00:43:51.360]   I think that it is bad to plan to sit around and do things that are not good for you.
[00:43:51.360 --> 00:43:51.360]   I think that it is bad to plan to sit around and do things that are not good for you.
[00:43:51.400 --> 00:44:21.380]  ,
[00:44:21.380 --> 00:44:21.380]   I think that it is bad to plan to sit around and do things that are not good for you.
[00:44:21.380 --> 00:44:21.380]   I think that it is bad to plan to sit around and do things that are not good for you.
[00:44:21.380 --> 00:44:21.380]   I think that it is bad to plan to sit around and do things that are not good for you.
[00:44:21.380 --> 00:44:21.380]   I think that it is bad to plan to sit around and do things that are not good for you.
[00:44:21.380 --> 00:44:21.380]   I think that it is bad to plan to sit around and do things that are not good for you.
[00:44:21.380 --> 00:44:21.380]   I think that it is bad to plan to sit around and do things that are not good for you.
[00:44:21.380 --> 00:44:21.380]   I think that it is bad to plan to sit around and do things that are not good for you.
[00:44:21.400 --> 00:44:51.400]   I think that it is bad to plan to sit around and do things that are not good for you.
[00:44:51.400 --> 00:44:51.400]   I think that it is bad to plan to sit around and do things that are not good for you.
[00:44:51.400 --> 00:44:51.400]   I think that it is bad to plan to sit around and do things that are not good for you.
[00:44:51.400 --> 00:44:51.400]   I think that it is bad to plan to sit around and do things that are not good for you.
[00:44:51.400 --> 00:44:51.400]   I think that it is bad to plan to sit around and do things that are not good for you.
[00:44:51.400 --> 00:44:51.400]   I think that it is bad to plan to sit around and do things that are not good for you.
[00:44:51.400 --> 00:44:51.400]   I think that it is bad to plan to sit around and do things that are not good for you.
[00:44:51.400 --> 00:44:51.400]   I think that it is bad to plan to sit around and do things that are not good for you.
[00:44:51.400 --> 00:44:51.400]   I think that it is bad to plan to sit around and do things that are not good for you.
[00:44:51.400 --> 00:45:21.420]  ,
[00:45:21.420 --> 00:45:21.420]   I think that it is bad to plan to sit around and do things that are not good for you.
[00:45:21.420 --> 00:45:21.420]   I think that it is bad to plan to sit around and do things that are not good for you.
[00:45:21.420 --> 00:45:21.420]   I think that it is bad to plan to sit around and do things that are not good for you.
[00:45:21.420 --> 00:45:21.420]   I think that it is bad to plan to sit around and do things that are not good for you.
[00:45:21.420 --> 00:45:21.420]   I think that it is bad to plan to sit around and do things that are not good for you.
[00:45:21.420 --> 00:45:21.420]   I think that it is bad to plan to sit around and do things that are not good for you.
[00:45:21.420 --> 00:45:21.420]   I think that it is bad to sit around and do things that are not good for you.
[00:45:21.440 --> 00:45:51.440]   I think that it is bad to sit around and do things that are not good for you.
[00:45:51.440 --> 00:45:51.440]   I think that it is bad to sit around and do things that are not good for you.
[00:45:51.440 --> 00:45:51.440]   I think that it is bad to sit around and do things that are not good for you.
[00:45:51.440 --> 00:45:51.440]   I think that it is bad to sit around and do things that are not good for you.
[00:45:51.440 --> 00:45:51.440]   I think that it is bad to sit around and do things that are not good for you.
[00:45:51.440 --> 00:45:51.440]   I think that it is bad to sit around and do things that are not good for you.
[00:45:51.440 --> 00:45:51.440]   I think that it is bad to sit around and do things that are not good for you.
[00:45:51.440 --> 00:45:51.440]   I think that it is bad to sit around and do things that are not good for you.
[00:45:51.440 --> 00:45:51.440]   I think that it is bad to sit around and do things that are not good for you.
[00:45:51.440 --> 00:45:51.440]   I think that it is bad to sit around and do things that are not good for you.
[00:46:21.460 --> 00:46:21.460]   I think that it is bad to sit around and do things that are not good for you.
[00:46:21.460 --> 00:46:21.460]   I think that it is bad to sit around and do things that are not good for you.
[00:46:21.460 --> 00:46:21.460]   I think that it is bad to sit around and do things that are not good for you.
[00:46:21.460 --> 00:46:21.460]   I think that it is bad to sit around and do things that are not good for you.
[00:46:21.460 --> 00:46:21.460]   I think that it is bad to sit around and do things that are not good for you.
[00:46:21.460 --> 00:46:21.460]   I think that it is bad to sit around and do things that are not good for you.
[00:46:21.460 --> 00:46:21.460]   I think that it is bad to sit around and do things that are not good for you.
[00:46:51.520 --> 00:47:01.840]   I

