
[00:00:00.000 --> 00:00:07.440]   Okay, hi everyone.
[00:05:08.460 --> 00:05:14.580]   because she sort of slipped in, oh, there's a character CNN representation of words, and
[00:05:14.580 --> 00:05:16.200]   we hadn't actually covered that.
[00:05:16.200 --> 00:05:17.420]   And so that was a slight oopsie.
[00:05:17.420 --> 00:05:23.460]   I mean, actually, for applications in coreference as well, people commonly make use of character
[00:05:23.460 --> 00:05:24.800]   level conv nets.
[00:05:24.800 --> 00:05:31.140]   So I wanted to sort of spend a few minutes sort of doing basics of conv nets for language.
[00:05:31.140 --> 00:05:37.140]   The sort of reality here is that given that there's no exam week this year, to give people
[00:05:37.140 --> 00:05:42.700]   more time for final projects, we sort of shorten the content by a week this year.
[00:05:42.700 --> 00:05:46.940]   And so you're getting a little bit less of that content.
[00:05:46.940 --> 00:05:53.140]   Then going on from there, say some stuff about a state of the art neural coreference system,
[00:05:53.140 --> 00:05:57.900]   and right at the end, talk about how coreference is evaluated and what some of the results
[00:05:57.900 --> 00:05:58.900]   are.
[00:05:58.900 --> 00:05:59.900]   Yeah.
[00:05:59.900 --> 00:06:04.660]   So first of all, what is this coreference resolution term that I've been talking about
[00:06:04.660 --> 00:06:05.660]   a lot?
[00:06:05.660 --> 00:06:15.020]   So coreference resolution is meaning to find all the mentions in a piece of text that refer
[00:06:15.020 --> 00:06:16.340]   to the same entity.
[00:06:16.340 --> 00:06:18.260]   And sorry, that's a typo.
[00:06:18.260 --> 00:06:21.180]   It should be in the world, not in the word.
[00:06:21.180 --> 00:06:23.160]   So let's make this concrete.
[00:06:23.160 --> 00:06:28.660]   So here's part of a short story by Shruti Rao called The Star.
[00:06:28.660 --> 00:06:36.380]   Now I have to make a confession here, because this is an NLP class, not a literature class,
[00:06:36.380 --> 00:06:43.580]   I crudely made some cuts to the story to be able to have relevant parts appear on my slide
[00:06:43.580 --> 00:06:47.420]   in a decent sized font for illustrating coreference.
[00:06:47.420 --> 00:06:53.980]   So it's not quite the full original text, but it basically is a piece of this story.
[00:06:53.980 --> 00:07:02.580]   So what we're doing in coreference resolution is we're working out what people are mentioned.
[00:07:02.580 --> 00:07:09.200]   So here's a mention of a person, Banarja, and here's a mention of another person, Akila.
[00:07:09.200 --> 00:07:11.900]   And well, mentions don't have to be people.
[00:07:11.900 --> 00:07:15.340]   So the local park, that's also a mention.
[00:07:15.340 --> 00:07:20.540]   And then here's Akila again, and Akila's son.
[00:07:20.540 --> 00:07:23.500]   And then there's Prajwal.
[00:07:23.500 --> 00:07:30.540]   Then there's another son here, and then her son, and Akash.
[00:07:30.540 --> 00:07:34.860]   And they both went to the same school.
[00:07:34.860 --> 00:07:38.940]   And then there's a preschool play.
[00:07:38.940 --> 00:07:42.740]   And there's Prajwal again.
[00:07:42.740 --> 00:07:48.540]   And then there's a naughty child, Lord Krishna.
[00:07:48.540 --> 00:07:55.140]   And there's some that are a bit complicated, like the lead role, is that a mention?
[00:07:55.140 --> 00:08:01.700]   It's sort of more of a functional specification of something in the play.
[00:08:01.700 --> 00:08:04.100]   There's Akash, and it's a tree.
[00:08:04.100 --> 00:08:05.980]   I won't go through the whole thing yet.
[00:08:05.980 --> 00:08:12.260]   But I mean, in general, there are noun phrases that are mentioning things in the world.
[00:08:12.260 --> 00:08:20.300]   And so then what we want to do for coreference resolution is work out which of these mentions
[00:08:20.300 --> 00:08:23.340]   are talking about the same real world entity.
[00:08:23.340 --> 00:08:31.260]   So if we start off, so there's Banarja.
[00:08:31.260 --> 00:08:38.020]   And so Banarja is the same person as her there.
[00:08:38.020 --> 00:08:44.980]   And then we could read through, she resigned herself.
[00:08:44.980 --> 00:08:48.180]   So that's both Banarja.
[00:08:48.180 --> 00:08:54.220]   She bought him a brown T-shirt and brown trousers.
[00:08:54.220 --> 00:09:01.380]   And then she made a large cut out tree.
[00:09:01.380 --> 00:09:03.020]   She attached, right.
[00:09:03.020 --> 00:09:05.900]   So all of that's about Banarja.
[00:09:05.900 --> 00:09:10.380]   But then we can have another person.
[00:09:10.380 --> 00:09:13.420]   So here's Akila.
[00:09:13.420 --> 00:09:14.420]   And here's Akila.
[00:09:14.420 --> 00:09:25.380]   Maybe those are the only mentions of Akila.
[00:09:25.380 --> 00:09:28.460]   So then we can go on from there.
[00:09:28.460 --> 00:09:30.060]   Okay.
[00:09:30.060 --> 00:09:34.580]   And so then there's Prajwal.
[00:09:34.580 --> 00:09:45.060]   But note that Prajwal is also Akila's son.
[00:09:45.060 --> 00:09:50.600]   So really Akila's son is also Prajwal.
[00:09:50.600 --> 00:09:57.260]   And so an interesting thing here is that you can get nested syntactic structure so that
[00:09:57.260 --> 00:10:04.380]   we have these sort of noun phrases.
[00:10:04.380 --> 00:10:10.260]   So that if, you know, overall we have sort of this noun phrase, Akila's son Prajwal,
[00:10:10.260 --> 00:10:14.300]   which consists of two noun phrases in apposition.
[00:10:14.300 --> 00:10:16.220]   Here's Prajwal.
[00:10:16.220 --> 00:10:22.980]   And then for the noun phrase Akila's son, it sort of breaks down to itself having an
[00:10:22.980 --> 00:10:31.020]   extra possessive noun phrase in it and then a noun so that you have Akila's and then this
[00:10:31.020 --> 00:10:32.300]   is son.
[00:10:32.300 --> 00:10:36.820]   So that you have these multiple noun phrases.
[00:10:36.820 --> 00:10:44.740]   And so that you can then be sort of having different parts of this be one person in the
[00:10:44.740 --> 00:10:46.740]   coreference.
[00:10:46.740 --> 00:10:51.700]   But this noun phrase here referring to a different person in the coreference.
[00:10:51.700 --> 00:11:02.020]   Okay, so back to Prajwal.
[00:11:02.020 --> 00:11:12.700]   So while there's some easy other Prajwals, right, so there's Prajwal here.
[00:11:12.700 --> 00:11:15.580]   And then you've got some more complicated things.
[00:11:15.580 --> 00:11:23.540]   So one of the complicated cases here is that we have they went to the same school.
[00:11:23.540 --> 00:11:32.460]   So that they there is what gets referred to as split antecedents.
[00:11:32.460 --> 00:11:41.520]   Because the they refers to both Prajwal and Akash.
[00:11:41.520 --> 00:11:47.220]   And that's an interesting phenomenon that and so I could try and show that somehow I
[00:11:47.220 --> 00:11:50.380]   could put some splashes in or something.
[00:11:50.380 --> 00:11:57.140]   And if I get a different color, Akash, we have Akash and her son.
[00:11:57.140 --> 00:12:00.580]   And then this one sort of both of them at once.
[00:12:00.580 --> 00:12:06.960]   So human languages have this phenomenon of split antecedents.
[00:12:06.960 --> 00:12:13.860]   But you know, one of the things that you should notice when we start talking about algorithms
[00:12:13.860 --> 00:12:20.780]   that people use for doing coreference resolution is that they make some simplified assumptions
[00:12:20.780 --> 00:12:24.660]   as to how they go about treating the problem.
[00:12:24.660 --> 00:12:34.180]   And one of the simplifications that most algorithms make is for any noun phrase like this pronoun
[00:12:34.180 --> 00:12:38.760]   say that's trying to work out what is a coreference with.
[00:12:38.760 --> 00:12:40.760]   And the answer is one thing.
[00:12:40.760 --> 00:12:48.300]   And so actually most NLP algorithms for coreference resolution just cannot get split antecedents
[00:12:48.300 --> 00:12:49.300]   right.
[00:12:49.300 --> 00:12:54.080]   Any time it occurs in the text, they guess something and they always get it wrong.
[00:12:54.080 --> 00:12:57.100]   So that's the sort of a bit of a sad state of affairs.
[00:12:57.100 --> 00:12:59.980]   But that's the truth of how it is.
[00:12:59.980 --> 00:13:01.100]   Okay.
[00:13:01.100 --> 00:13:05.780]   So then going ahead, we have Akash here.
[00:13:05.780 --> 00:13:08.100]   And then we have another tricky one.
[00:13:08.100 --> 00:13:15.460]   So moving on from there, we then have this tree.
[00:13:15.460 --> 00:13:25.840]   So well, in this context of this story, Akash is going to be the tree.
[00:13:25.840 --> 00:13:35.080]   So you could feel that it was okay to say, well, this tree is also Akash.
[00:13:35.080 --> 00:13:39.780]   You could also feel that that's a little bit weird and not want to do that.
[00:13:39.780 --> 00:13:47.900]   And I mean, actually different people's coreference datasets differ in this.
[00:13:47.900 --> 00:13:54.620]   So really that, you know, we're predicating identity relationship here between Akash and
[00:13:54.620 --> 00:13:56.560]   the property of being a tree.
[00:13:56.560 --> 00:13:59.780]   So do we regard the tree as the same as Akash or not?
[00:13:59.780 --> 00:14:02.300]   And people make different decisions there.
[00:14:02.300 --> 00:14:03.300]   Okay.
[00:14:03.300 --> 00:14:09.520]   But then going ahead, we have here's Akash and she bought him.
[00:14:09.520 --> 00:14:12.660]   So that's Akash.
[00:14:12.660 --> 00:14:16.900]   And then we have Akash here.
[00:14:16.900 --> 00:14:19.220]   And so then we go on.
[00:14:19.220 --> 00:14:20.820]   Okay.
[00:14:20.820 --> 00:14:32.860]   So then if we don't regard the tree as the same as Akash, we have a tree here.
[00:14:32.860 --> 00:14:41.700]   But then note that the next place over here, where we have a mention of a tree, the best
[00:14:41.700 --> 00:14:50.700]   tree, but that's sort of really a functional description of, you know, of possible trees
[00:14:50.700 --> 00:14:52.340]   making someone the best tree.
[00:14:52.340 --> 00:14:56.420]   It's not really referential to a tree.
[00:14:56.420 --> 00:14:59.900]   And so it seems like that's not really coreferent.
[00:14:59.900 --> 00:15:06.980]   But if we go on, there's definitely more mention of a tree.
[00:15:06.980 --> 00:15:14.340]   So when she has made the tree truly the nicest tree, or well, I'm not sure.
[00:15:14.340 --> 00:15:16.100]   Is that one coreferent?
[00:15:16.100 --> 00:15:18.420]   It is definitely referring to our tree.
[00:15:18.420 --> 00:15:25.980]   And maybe this one again is a sort of a functional description that isn't referring to the tree.
[00:15:25.980 --> 00:15:27.940]   Okay.
[00:15:27.940 --> 00:15:36.980]   So there's definitely and so maybe this one, though, where it's a tree is referring to
[00:15:36.980 --> 00:15:37.980]   the tree.
[00:15:37.980 --> 00:15:44.940]   But what I hope to have illustrated from this is, you know, most of the time when we do
[00:15:44.940 --> 00:15:54.260]   coreference in NLP, we just make it look sort of like the conceptual phenomenon is, you
[00:15:54.260 --> 00:16:02.060]   know, kind of obvious that there's a mention of Sarah and then it says she and you say,
[00:16:02.060 --> 00:16:04.060]   oh, they're coreferent.
[00:16:04.060 --> 00:16:05.500]   This is easy.
[00:16:05.500 --> 00:16:11.700]   But if you actually start looking at real text, especially when you're looking at something
[00:16:11.700 --> 00:16:18.020]   like this, that is a piece of literature, the kind of phenomenon you get for coreference
[00:16:18.020 --> 00:16:24.100]   and overlapping reference, and it varies other phenomena that I'll talk about, you know,
[00:16:24.100 --> 00:16:26.860]   they actually get pretty complex.
[00:16:26.860 --> 00:16:30.500]   And it's not, you know, there are a lot of hard cases that you actually have to think
[00:16:30.500 --> 00:16:35.780]   about as to what things you think about as coreferent or not.
[00:16:35.780 --> 00:16:37.420]   Okay.
[00:16:37.420 --> 00:16:45.100]   But basically, we do want to be able to do something with coreference because it's useful
[00:16:45.100 --> 00:16:49.280]   for a lot of things that we'd like to do in natural language processing.
[00:16:49.280 --> 00:16:53.960]   So for one task that we've already talked about, question answering, but equally for
[00:16:53.960 --> 00:17:00.360]   other tasks such as summarization, information extraction, if you're doing something like
[00:17:00.360 --> 00:17:07.760]   reading through a piece of text, and you've got a sentence like he was born in 1961, you
[00:17:07.760 --> 00:17:15.400]   really want to know who he refers to, to know if this is a good answer to the question of,
[00:17:15.400 --> 00:17:20.980]   you know, when was Barack Obama born or something like that.
[00:17:20.980 --> 00:17:25.720]   It turns out also that it's useful in machine translation.
[00:17:25.720 --> 00:17:35.240]   So in most languages, pronouns have features for gender and number, and in quite a lot
[00:17:35.240 --> 00:17:43.840]   of languages, nouns and adjectives also show features of gender, number, and case.
[00:17:43.840 --> 00:17:51.880]   And so when you're translating a sentence, you want to be aware of these features and
[00:17:51.880 --> 00:18:00.080]   what is coreferent as what to be able to get the translations correct.
[00:18:00.080 --> 00:18:06.600]   So you know, if you want to be able to work out a translation and know whether it's saying
[00:18:06.600 --> 00:18:12.740]   Alicia likes Juan because he's smart, or Alicia likes Juan because she's smart, then you have
[00:18:12.740 --> 00:18:22.720]   to be sensitive to coreference relationships to be able to choose the right translation.
[00:18:22.720 --> 00:18:28.800]   When people build dialogue systems, dialogue systems also have issues of coreference a
[00:18:28.800 --> 00:18:31.160]   lot of the time.
[00:18:31.160 --> 00:18:38.440]   So you know, if it's sort of book tickets to see James Bond and the system replies Spectre
[00:18:38.440 --> 00:18:43.560]   is playing near you at 2 and 3 today, well, there's actually a coreference relation, sorry,
[00:18:43.560 --> 00:18:48.400]   there's a reference relation between Spectre and James Bond because Spectre is a James
[00:18:48.400 --> 00:18:49.400]   Bond film.
[00:18:49.400 --> 00:18:51.880]   I'll come back to that one in a minute.
[00:18:51.880 --> 00:18:57.760]   But then it's how many tickets would you like, two tickets for the showing at 3.
[00:18:57.760 --> 00:19:01.440]   That 3 is not just the number 3.
[00:19:01.440 --> 00:19:09.560]   That 3 is then a coreference relationship back to the 3pm showing that was mentioned
[00:19:09.560 --> 00:19:12.920]   by the agent in the dialogue system.
[00:19:12.920 --> 00:19:19.900]   So again, to understand these, we need to be understanding the coreference relationships.
[00:19:19.900 --> 00:19:23.940]   So how now can you go about doing coreference?
[00:19:23.940 --> 00:19:30.580]   So the standard traditional answer, which I'll present first, is coreference is done
[00:19:30.580 --> 00:19:32.320]   in two steps.
[00:19:32.320 --> 00:19:38.400]   On the first step, what we do is detect mentions in a piece of text.
[00:19:38.400 --> 00:19:40.920]   And that's actually a pretty easy problem.
[00:19:40.920 --> 00:19:46.180]   And then in the second step, we work out how to cluster the mentions.
[00:19:46.180 --> 00:19:53.280]   So as in my example from the Shruti Rao text, basically what you're doing with coreference
[00:19:53.280 --> 00:19:58.640]   is you're building up these clusters, sets of mentions that refer to the same entity
[00:19:58.640 --> 00:20:01.760]   in the world.
[00:20:01.760 --> 00:20:07.860]   So if we explore a little how we could do that as a two-step solution, the first part
[00:20:07.860 --> 00:20:10.020]   was detecting the mentions.
[00:20:10.020 --> 00:20:19.520]   And so pretty much there are three kinds of things, different kinds of noun phrases that
[00:20:19.520 --> 00:20:21.060]   can be mentions.
[00:20:21.060 --> 00:20:26.820]   There are pronouns like I, your, it, she, him, and also some demonstrative pronouns
[00:20:26.820 --> 00:20:29.440]   like this and that and things like that.
[00:20:29.440 --> 00:20:35.720]   There are explicitly named things, so things like Paris, Joe Biden, Nike.
[00:20:35.720 --> 00:20:40.320]   And then there are plain noun phrases that describe things.
[00:20:40.320 --> 00:20:43.800]   So a dog, the big fluffy cat stuck in the tree.
[00:20:43.800 --> 00:20:49.440]   And so all of these are things that we'd like to identify as mentions.
[00:20:49.440 --> 00:20:56.680]   And the straightforward way to identify these mentions is to use natural language processing
[00:20:56.680 --> 00:21:01.080]   tools, several of which we've talked about already.
[00:21:01.080 --> 00:21:12.760]   So to work out pronouns, we can use what's called a part of speech tagger.
[00:21:12.760 --> 00:21:18.200]   We can use a part of speech tagger, which we haven't really explicitly talked about,
[00:21:18.200 --> 00:21:21.880]   but we used when you built dependency parsers.
[00:21:21.880 --> 00:21:27.360]   So it first of all assigns parts of speech to each word so we can just find the words
[00:21:27.360 --> 00:21:30.680]   that are pronouns.
[00:21:30.680 --> 00:21:36.120]   For named entities, we did talk just a little bit about named entity recognizers as a use
[00:21:36.120 --> 00:21:40.980]   of sequence models for neural networks so we can pick out things like person names and
[00:21:40.980 --> 00:21:44.040]   company names.
[00:21:44.040 --> 00:21:50.400]   And then for the ones like the big fluffy, a big fluffy dog, we could then be sort of
[00:21:50.400 --> 00:21:55.760]   picking out from syntactic structure noun phrases and regarding them as descriptions
[00:21:55.760 --> 00:21:58.020]   of things.
[00:21:58.020 --> 00:22:03.600]   So that we could use all of these tools and those would give us basically our mentions.
[00:22:03.600 --> 00:22:11.440]   It's a little bit more subtle than that, because it turns out there are some noun phrases and
[00:22:11.440 --> 00:22:17.880]   things of all of those kinds which don't actually refer so that they're not referential in the
[00:22:17.880 --> 00:22:18.880]   world.
[00:22:18.880 --> 00:22:22.800]   So when you say it is sunny, it doesn't really refer.
[00:22:22.800 --> 00:22:28.760]   When you make universal claims like every student, well, every student isn't referring
[00:22:28.760 --> 00:22:31.680]   to something you can point to in the world.
[00:22:31.680 --> 00:22:36.760]   And more dramatically, when you have no student and make a negative universal claim, it's
[00:22:36.760 --> 00:22:39.120]   not referential to anything.
[00:22:39.120 --> 00:22:47.280]   There are also things that you can describe functionally, which don't have any clear reference.
[00:22:47.280 --> 00:22:54.440]   So if I say the best donut in the world, that's a functional claim, but it doesn't necessarily
[00:22:54.440 --> 00:22:55.440]   have reference.
[00:22:55.440 --> 00:23:03.020]   Like if I've established that I think a particular kind of donut is the best donut in the world,
[00:23:03.020 --> 00:23:10.000]   I could then say to you, I ate the best donut in the world yesterday.
[00:23:10.000 --> 00:23:12.700]   And you know what I mean, it might have reference.
[00:23:12.700 --> 00:23:17.220]   But if I say something like I'm going around to all the donut stores trying to find the
[00:23:17.220 --> 00:23:20.860]   best donut in the world, then it doesn't have any reference yet.
[00:23:20.860 --> 00:23:24.980]   It's just a sort of a functional description I'm trying to satisfy.
[00:23:24.980 --> 00:23:29.560]   You also then have things like quantities, 100 miles.
[00:23:29.560 --> 00:23:33.920]   It's that quantity that is not really something that has any particular reference.
[00:23:33.920 --> 00:23:38.880]   You can mark out 100 miles, all sorts of places.
[00:23:38.880 --> 00:23:44.040]   So how do we deal with those things that aren't really mentions?
[00:23:44.040 --> 00:23:51.400]   Well one way is we could train a machine learning classifier to get rid of those spurious mentions.
[00:23:51.400 --> 00:23:54.680]   But actually mostly people don't do that.
[00:23:54.680 --> 00:24:01.400]   Most commonly if you're using this kind of pipeline model where you use a parser and
[00:24:01.400 --> 00:24:08.100]   a named entity recognizer, you regard everything as you've found as a candidate mention, and
[00:24:08.100 --> 00:24:10.680]   then you try and run your coref system.
[00:24:10.680 --> 00:24:16.280]   And some of them, like those ones, hopefully aren't made coref with anything else.
[00:24:16.280 --> 00:24:19.440]   And so then you just discard them at the end of the process.
[00:24:19.440 --> 00:24:21.440]   >> Hey, Chris.
[00:24:21.440 --> 00:24:22.440]   >> Yeah.
[00:24:22.440 --> 00:24:27.000]   >> I've got an interesting question that linguistics bears on this.
[00:24:27.000 --> 00:24:30.520]   A student asks, can we say that it is sunny?
[00:24:30.520 --> 00:24:34.760]   Has it referred to the weather?
[00:24:34.760 --> 00:24:36.960]   And I think the answer is yes.
[00:24:36.960 --> 00:24:40.280]   >> So that's a fair question.
[00:24:40.280 --> 00:24:48.920]   So people have actually tried to suggest that when you say it is sunny, it means the weather
[00:24:48.920 --> 00:24:51.680]   is sunny.
[00:24:51.680 --> 00:24:59.180]   But I guess the majority opinion at least is that isn't plausible.
[00:24:59.180 --> 00:25:06.300]   And I mean, for I guess many of you aren't native speakers of English, but similar phenomena
[00:25:06.300 --> 00:25:08.740]   occur in many other languages.
[00:25:08.740 --> 00:25:17.460]   I mean, it just intuitively doesn't seem plausible when you say it's sunny or it's raining today
[00:25:17.460 --> 00:25:23.480]   that you're really saying that as a shortcut for the weather is raining today.
[00:25:23.480 --> 00:25:28.740]   It just seems like really what the case is, is English likes to have something filling
[00:25:28.740 --> 00:25:30.620]   the subject position.
[00:25:30.620 --> 00:25:36.740]   And when there's nothing better to fill the subject position, you stick it in there and
[00:25:36.740 --> 00:25:39.360]   get it's raining.
[00:25:39.360 --> 00:25:43.860]   And so in general, it's believed that you get this phenomenon of having these empty
[00:25:43.860 --> 00:25:46.900]   dummy its that appear in various places.
[00:25:46.900 --> 00:25:52.740]   I mean, another place in which it seems like you clearly get dummy its is that when you
[00:25:52.740 --> 00:25:59.540]   have clauses that are subjects of a verb, you can move them to the end of the sentence.
[00:25:59.540 --> 00:26:04.160]   So if you have a sentence where you put a clause in the subject position, they normally
[00:26:04.160 --> 00:26:07.580]   in English sound fairly awkward.
[00:26:07.580 --> 00:26:16.180]   So it's you have a sentence something like that CS24N is a lot of work is known by all
[00:26:16.180 --> 00:26:17.660]   students.
[00:26:17.660 --> 00:26:21.260]   People don't normally say that the normal thing to do is to shift the clause to the
[00:26:21.260 --> 00:26:22.660]   end of the sentence.
[00:26:22.660 --> 00:26:27.020]   But when you do that, you stick in a dummy it to fill the subject position.
[00:26:27.020 --> 00:26:33.660]   So you then have it is known by all students that CS224N is a lot of work.
[00:26:33.660 --> 00:26:39.660]   So that's the general feeling that this is a dummy it that doesn't have any reference.
[00:26:39.660 --> 00:26:45.540]   Okay, there's one more question.
[00:26:45.540 --> 00:26:50.420]   So if someone says it is sunny among other things, and we ask how is the weather?
[00:26:50.420 --> 00:26:52.780]   Hmm, okay, good point.
[00:26:52.780 --> 00:26:54.220]   You've got me on that one.
[00:26:54.220 --> 00:26:55.220]   Right.
[00:26:55.220 --> 00:26:56.820]   So someone says, how's the weather?
[00:26:56.820 --> 00:27:02.740]   And you answer it is sunny, it then does seem like the it is in reference to the weather.
[00:27:02.740 --> 00:27:04.260]   Far by that.
[00:27:04.260 --> 00:27:10.660]   Well, you know, I guess this is what our coreference systems are built trying to do in situations
[00:27:10.660 --> 00:27:14.180]   like that, they're making a decision of coreference or not.
[00:27:14.180 --> 00:27:18.260]   And I guess what you'd want to say in that case is, it seems reasonable to regard this
[00:27:18.260 --> 00:27:23.020]   one as coreference that weather that did appear before it.
[00:27:23.020 --> 00:27:29.980]   I mean, but that also indicates another reason to think that in the normal case is not coreference,
[00:27:29.980 --> 00:27:30.980]   right?
[00:27:30.980 --> 00:27:35.700]   Because normally, pronouns are only used when their reference is established that you've
[00:27:35.700 --> 00:27:44.940]   referred to now like, John is answering questions, and then you can say, he types really quickly,
[00:27:44.940 --> 00:27:50.620]   sort of seem odd to just sort of start the conversation by he types really quickly, because
[00:27:50.620 --> 00:27:54.940]   it doesn't have any established reference, whereas that doesn't seem to be the case,
[00:27:54.940 --> 00:28:00.420]   it seems like you can just sort of start a conversation by saying it's raining really
[00:28:00.420 --> 00:28:01.700]   hard today.
[00:28:01.700 --> 00:28:04.940]   And that doesn't sound odd at all.
[00:28:04.940 --> 00:28:07.180]   Okay.
[00:28:07.180 --> 00:28:13.540]   So I've sort of there presented the traditional picture.
[00:28:13.540 --> 00:28:18.100]   But you know, this traditional picture doesn't mean something that was done last millennium
[00:28:18.100 --> 00:28:19.820]   before you were born.
[00:28:19.820 --> 00:28:28.740]   I mean, essentially, that was the picture until about 2016.
