
[00:00:00.000 --> 00:00:01.280]   - Okay, we're recording.
[00:01:26.280 --> 00:01:29.560]   - Yeah, so it's actually pip packages are the only ones
[00:01:29.560 --> 00:01:31.800]   we've actually got the persistence working for.
[00:01:31.800 --> 00:01:33.440]   So let's do that one first.
[00:01:33.440 --> 00:01:37.200]   So the key thing when you install Tim,
[00:01:37.200 --> 00:01:39.240]   let's see, do I already have it installed?
[00:01:39.240 --> 00:01:42.520]   Import Tim.
[00:01:42.520 --> 00:01:46.360]   Okay, great, I don't, so let's do it.
[00:01:46.360 --> 00:01:51.840]   So that the key thing to remember
[00:01:51.840 --> 00:01:55.920]   is when you install Tim is to do it with dash dash user.
[00:01:55.920 --> 00:02:00.920]   Now, in order to make that easier,
[00:02:00.920 --> 00:02:03.320]   I think what I would be inclined to do
[00:02:03.320 --> 00:02:08.320]   would be to edit our slash storage slash dot bash dot local
[00:02:08.320 --> 00:02:13.920]   and add to it alias.
[00:02:13.920 --> 00:02:23.200]   Let's do PI for pip install equals pip install.
[00:02:25.240 --> 00:02:28.320]   Let's do minus U for upgrade.
[00:02:28.320 --> 00:02:32.120]   That should work even if it's not installed already.
[00:02:32.120 --> 00:02:33.680]   Minus minus user.
[00:02:33.680 --> 00:02:37.280]   Okay, now, if I...
[00:02:37.280 --> 00:02:40.840]   So I could close and reopen my terminal
[00:02:40.840 --> 00:02:44.040]   or I could just type source and then the name of the script,
[00:02:44.040 --> 00:02:46.840]   which of course in this case is exclamation mark dollar.
[00:02:46.840 --> 00:02:51.240]   Oopsie dozy, exclamation mark VIM will rerun this.
[00:02:51.240 --> 00:02:53.560]   This whole thing needs to be in quotes.
[00:02:55.120 --> 00:02:58.440]   Because it's a single thing, it's my alias.
[00:02:58.440 --> 00:03:01.280]   Okay, I'll pair it twice.
[00:03:01.280 --> 00:03:05.000]   Okay, so now I can just type PI.
[00:03:05.000 --> 00:03:11.440]   And by the way, if you wanna know what something is,
[00:03:11.440 --> 00:03:16.840]   if you type which PI, it won't tell you anything useful
[00:03:16.840 --> 00:03:20.480]   because it's an alias, not a binary.
[00:03:20.480 --> 00:03:22.600]   But if you type type PI,
[00:03:22.600 --> 00:03:24.720]   it will tell you exactly what it is in this case.
[00:03:24.720 --> 00:03:26.920]   Oh, it's something that's an alias.
[00:03:26.920 --> 00:03:29.560]   So I can type PI, Tim.
[00:03:29.560 --> 00:03:34.720]   And the key thing about minus minus user
[00:03:34.720 --> 00:03:38.320]   is that's gonna put it in my dash dash local directory.
[00:03:38.320 --> 00:03:40.160]   Sorry, my dot local directory.
[00:03:40.160 --> 00:03:46.520]   So there it is, Tim.
[00:03:46.520 --> 00:03:51.920]   So then all you need to make sure is that
[00:03:53.560 --> 00:03:57.560]   your local directory is simlinked
[00:03:57.560 --> 00:04:02.120]   to dot slash storage config local.
[00:04:02.120 --> 00:04:03.360]   Now that's interesting.
[00:04:03.360 --> 00:04:07.760]   Our, this is here is telling us we've got a broken simlink.
[00:04:07.760 --> 00:04:09.040]   So that's what that means.
[00:04:09.040 --> 00:04:13.120]   Yeah, dot config is simlinked to slash storage.
[00:04:13.120 --> 00:04:20.840]   But there is no dot get config there.
[00:04:22.160 --> 00:04:27.160]   So I might've maybe forgot to move that or something.
[00:04:27.160 --> 00:04:32.800]   So that's okay.
[00:04:32.800 --> 00:04:35.800]   Next time we try to commit,
[00:04:35.800 --> 00:04:38.440]   it'll tell us and we'll know to fix that then.
[00:04:38.440 --> 00:04:46.000]   To create a file that's empty, you just use touch.
[00:04:46.000 --> 00:04:49.040]   So I'm just gonna go ahead and create an empty file.
[00:04:49.040 --> 00:04:52.160]   So at least it exists and then things
[00:04:52.160 --> 00:04:53.880]   won't get horribly confused.
[00:04:53.880 --> 00:05:02.400]   Did I not touch it correctly?
[00:05:02.400 --> 00:05:07.400]   Slash storage slash dot get config.
[00:05:07.400 --> 00:05:11.320]   Oh, there's a slash at the end.
[00:05:11.320 --> 00:05:15.040]   Oh, that's why.
[00:05:15.040 --> 00:05:16.280]   That's why it's confused.
[00:05:16.280 --> 00:05:18.760]   So that would be a directory,
[00:05:18.760 --> 00:05:20.040]   this is not a directory.
[00:05:20.040 --> 00:05:28.080]   So my guess is that there's a bug in our pre-run script
[00:05:28.080 --> 00:05:29.640]   for dot get config.
[00:05:29.640 --> 00:05:33.080]   Yes, I've got a slash at the end.
[00:05:33.080 --> 00:05:35.360]   So that's why that didn't work.
[00:05:35.360 --> 00:05:38.040]   So if I
[00:05:48.000 --> 00:05:48.960]   source that.
[00:05:48.960 --> 00:05:54.920]   Now it's happy.
[00:05:54.920 --> 00:05:59.240]   Great.
[00:05:59.240 --> 00:06:04.120]   So now, yeah, so now since it's been installed
[00:06:04.120 --> 00:06:06.040]   into something that's similar to back to slash storage,
[00:06:06.040 --> 00:06:08.160]   Tim will be available.
[00:06:08.160 --> 00:06:12.320]   And if I run ipython, we can confirm it did install.
[00:06:12.320 --> 00:06:13.160]   That should be all good.
[00:06:13.160 --> 00:06:15.480]   Does that answer that part of the question, Matt?
[00:06:15.480 --> 00:06:16.640]   - Yes, thank you.
[00:06:16.640 --> 00:06:17.800]   - That was.
[00:06:17.800 --> 00:06:20.280]   So then the second one, yeah, it was not a question,
[00:06:20.280 --> 00:06:23.200]   but a comment, which was about Kaggle.
[00:06:23.200 --> 00:06:27.240]   So yeah, when I get back to using Kaggle on this machine,
[00:06:27.240 --> 00:06:29.160]   we will do that for sure,
[00:06:29.160 --> 00:06:31.600]   which will probably be next time.
[00:06:31.600 --> 00:06:36.600]   And you also had a question about jumping around to,
[00:06:36.600 --> 00:06:41.000]   you know, the end of a string, for example,
[00:06:44.440 --> 00:06:49.440]   which, let's grab Bast.ai's repo, for example.
[00:06:49.440 --> 00:06:54.440]   Let's grab Bast.ai's repo, for example.
[00:06:55.440 --> 00:06:57.840]   Bast.ai's repo, for example.
[00:06:57.840 --> 00:07:00.420]   (upbeat music)
[00:07:00.420 --> 00:07:03.000]   (upbeat music)
[00:07:03.000 --> 00:07:05.580]   (upbeat music)
[00:07:05.580 --> 00:07:08.160]   (upbeat music)
[00:07:08.160 --> 00:07:34.500]   Oh, and you also had a question
[00:07:34.500 --> 00:07:36.820]   about loading and serving bottles, right?
[00:08:03.660 --> 00:08:05.260]   So, I mean, one thing obviously
[00:08:05.260 --> 00:08:07.160]   is it'd be nice to have a tags file.
[00:08:07.160 --> 00:08:10.900]   At some point, we could even talk about
[00:08:10.900 --> 00:08:13.100]   how to set up VIM to automatically create that
[00:08:13.100 --> 00:08:15.740]   for us from time to time.
[00:08:15.740 --> 00:08:21.320]   But let's have a look at, I don't know, layers, for example.
[00:08:21.320 --> 00:08:29.780]   So a few things to mention.
[00:08:29.780 --> 00:08:33.300]   The first is something which sounds very obscure,
[00:08:33.300 --> 00:08:38.300]   but actually isn't, is F in VIM.
[00:08:38.300 --> 00:08:41.300]   F in VIM is like slash.
[00:08:41.300 --> 00:08:43.820]   Now slash searches, so we've seen it before.
[00:08:43.820 --> 00:08:47.540]   Slash init, we'll search for the next thing called init.
[00:08:47.540 --> 00:08:48.820]   Okay.
[00:08:48.820 --> 00:08:50.300]   Oh, maybe something we haven't discussed
[00:08:50.300 --> 00:08:52.340]   is to go back to where we were,
[00:08:52.340 --> 00:08:55.860]   regardless of whether it was a tag or a search or anything,
[00:08:55.860 --> 00:08:56.960]   it's Control + O.
[00:08:56.960 --> 00:09:00.720]   And right next to Control + O is the letter I,
[00:09:00.720 --> 00:09:02.640]   which goes forward again.
[00:09:03.640 --> 00:09:06.440]   Okay, so Control + O and Control + I go kind of,
[00:09:06.440 --> 00:09:07.520]   it's like pressing the back button
[00:09:07.520 --> 00:09:09.880]   and the forward button on your browser.
[00:09:09.880 --> 00:09:11.740]   There's something a lot like slash,
[00:09:11.740 --> 00:09:14.200]   but it just finds a single letter, which is F.
[00:09:14.200 --> 00:09:15.800]   If I type F, it's gonna,
[00:09:15.800 --> 00:09:17.300]   and it's under the search on the current line,
[00:09:17.300 --> 00:09:19.720]   it will search on this line for the next thing I type.
[00:09:19.720 --> 00:09:22.520]   So if I type F double quote,
[00:09:22.520 --> 00:09:26.040]   actually maybe more interesting would be F full stop.
[00:09:26.040 --> 00:09:27.320]   So if I type F full stop,
[00:09:27.320 --> 00:09:30.080]   it's gonna jump to the full stop, F dot.
[00:09:30.080 --> 00:09:32.520]   So you see it jumps to the full stop, right?
[00:09:32.520 --> 00:09:33.560]   And so your question was,
[00:09:33.560 --> 00:09:35.660]   well, what about jumping to the end of a string?
[00:09:35.660 --> 00:09:36.500]   Now, in this case,
[00:09:36.500 --> 00:09:39.900]   the end of a string is the last character of the line.
[00:09:39.900 --> 00:09:41.020]   So there's a better answer,
[00:09:41.020 --> 00:09:43.560]   which is to start inserting at the end of the line,
[00:09:43.560 --> 00:09:44.520]   it's Shift + A.
[00:09:44.520 --> 00:09:47.440]   Just one moment.
[00:09:47.440 --> 00:09:50.200]   (mouse clicking)
[00:09:50.200 --> 00:09:52.940]   (mouse clicking)
[00:10:19.000 --> 00:10:21.280]   My daughter's got kicked off her Zoom call,
[00:10:21.280 --> 00:10:23.160]   always technical problems.
[00:10:23.160 --> 00:10:26.020]   Okay, so I can undo that.
[00:10:26.020 --> 00:10:28.920]   Control + O to go back to where I was.
[00:10:28.920 --> 00:10:34.960]   But yeah, so let's say there was some stuff at the end,
[00:10:34.960 --> 00:10:38.240]   hash some comment, right?
[00:10:38.240 --> 00:10:40.400]   And we wanted to, yeah,
[00:10:40.400 --> 00:10:42.980]   we wanted to go to the next double quote.
[00:10:42.980 --> 00:10:46.520]   I can just type F double quote, and it takes me there.
[00:10:48.000 --> 00:10:50.840]   And then Shift + F does the opposite, it searches backwards.
[00:10:50.840 --> 00:10:54.000]   And the reason it's interesting mainly
[00:10:54.000 --> 00:10:55.120]   is that that's a motion,
[00:10:55.120 --> 00:10:56.840]   and therefore I can combine things with it.
[00:10:56.840 --> 00:11:00.400]   So for example, if I wanted to delete everything up
[00:11:00.400 --> 00:11:04.720]   to the next quote, I can press D, F double quote, right?
[00:11:04.720 --> 00:11:06.880]   And then I could press slash double quote
[00:11:06.880 --> 00:11:09.240]   to search the next one and press dot,
[00:11:09.240 --> 00:11:12.080]   and it'll do the same thing again, right?
[00:11:12.080 --> 00:11:15.800]   Or maybe delete everything up to the next comment
[00:11:15.800 --> 00:11:18.200]   would be D, F hash.
[00:11:18.200 --> 00:11:24.400]   So yeah, those are a couple of useful things.
[00:11:24.400 --> 00:11:28.640]   Another really useful one is percent.
[00:11:28.640 --> 00:11:32.600]   Percent jumps between the start and the end
[00:11:32.600 --> 00:11:37.600]   of a set of paired parentheses or braces or brackets.
[00:11:37.600 --> 00:11:40.640]   So if I press percent here,
[00:11:40.640 --> 00:11:43.760]   it goes to the start of end of the next parentheses
[00:11:43.760 --> 00:11:44.680]   and then press it again,
[00:11:44.680 --> 00:11:47.520]   and you can see it jumps between the two, right?
[00:11:47.520 --> 00:11:49.600]   And so if I do it from here,
[00:11:49.600 --> 00:11:54.600]   you can see it jumps to the end of this one, right?
[00:11:54.600 --> 00:11:57.200]   If I do it at the very end, it'll jump to this one.
[00:11:57.200 --> 00:12:00.560]   So if I want to delete from here
[00:12:00.560 --> 00:12:05.280]   to the end of the parenthesized parenthetical expression,
[00:12:05.280 --> 00:12:07.440]   like let's say to delete this bit,
[00:12:07.440 --> 00:12:12.440]   I could press D, F, sorry, D, F percent.
[00:12:14.640 --> 00:12:16.600]   Sorry, not D, F percent, just D percent.
[00:12:16.600 --> 00:12:19.440]   There you go, D percent, you see?
[00:12:19.440 --> 00:12:23.440]   Although there's actually something even better for that,
[00:12:23.440 --> 00:12:28.440]   which is I, and I refers to an area,
[00:12:28.440 --> 00:12:34.920]   the whole area that is surrounded
[00:12:34.920 --> 00:12:36.640]   by some kind of parentheses.
[00:12:36.640 --> 00:12:40.080]   So even when I'm in the middle of these parentheses,
[00:12:40.080 --> 00:12:44.400]   the enclosing parentheses would go from here
[00:12:44.400 --> 00:12:46.920]   to here, and so I stands for inside.
[00:12:46.920 --> 00:12:49.080]   So if I want to delete everything inside those parentheses,
[00:12:49.080 --> 00:12:53.920]   I can type DI, open round, do that again,
[00:12:53.920 --> 00:12:58.040]   DI, open round parentheses, and it deletes the contents,
[00:12:58.040 --> 00:13:00.560]   which is really nice.
[00:13:00.560 --> 00:13:03.520]   So let's say I wanted to replace all my parameters
[00:13:03.520 --> 00:13:06.960]   with something else, like A comma B,
[00:13:06.960 --> 00:13:11.600]   then I would use C for change inside parentheses.
[00:13:11.600 --> 00:13:15.040]   So type my change, like A comma B, right?
[00:13:15.040 --> 00:13:18.240]   And then I can come down here and type dot,
[00:13:18.240 --> 00:13:21.000]   and it'll do the same thing.
[00:13:21.000 --> 00:13:25.640]   So yeah, it's like medial work.
[00:13:25.640 --> 00:13:29.520]   You can kind of really crush with these tricks.
[00:13:29.520 --> 00:13:35.240]   - Great, it's fantastic.
[00:13:35.240 --> 00:13:36.080]   - Yeah, it's cool.
[00:13:36.080 --> 00:13:36.920]   There's a lot of them,
[00:13:36.920 --> 00:13:38.480]   and you don't have to know them all, you know?
[00:13:38.480 --> 00:13:41.040]   It's like you can learn one thing each day or something,
[00:13:41.040 --> 00:13:45.480]   but yeah, I'm not using any plugins or anything, you know?
[00:13:45.480 --> 00:13:56.560]   Okay, so we're gonna save a model in a moment.
[00:13:56.560 --> 00:13:57.840]   Any other questions or comments
[00:13:57.840 --> 00:13:59.880]   before I go back to our notebook?
[00:13:59.880 --> 00:14:04.880]   - I want to make one comment about the Tim installation.
[00:14:04.880 --> 00:14:07.000]   I don't know if maybe you discussed this yesterday
[00:14:07.000 --> 00:14:08.280]   'cause I came a little late,
[00:14:08.280 --> 00:14:11.560]   but with the Tim installation,
[00:14:11.560 --> 00:14:14.280]   sometimes it might be better to install from master
[00:14:14.280 --> 00:14:17.480]   because there are some changes that Ross has made
[00:14:17.480 --> 00:14:18.760]   that you might not receive from-
[00:14:18.760 --> 00:14:21.800]   - Yeah, we did mention that yesterday.
[00:14:21.800 --> 00:14:24.960]   Actually, I think the conclusion we came to
[00:14:24.960 --> 00:14:27.720]   was to install the latest pre-release
[00:14:27.720 --> 00:14:33.200]   because that's like something that's more stable
[00:14:33.200 --> 00:14:35.120]   than installing from master,
[00:14:35.120 --> 00:14:40.120]   but, you know, better than his,
[00:14:40.120 --> 00:14:46.400]   sometimes like here he went six months without updating.
[00:14:46.400 --> 00:14:47.280]   So yeah, I agree.
[00:14:47.280 --> 00:14:49.360]   In fact, so let's do that.
[00:14:49.360 --> 00:14:52.520]   So this is 0.6.2 dev.
[00:14:52.520 --> 00:14:54.880]   So I think we decided that we'd go,
[00:14:54.880 --> 00:14:56.440]   let's use our new PI thing.
[00:14:56.440 --> 00:15:03.560]   Tim is greater than or equal to 0.6.2 dev.
[00:15:03.560 --> 00:15:04.400]   0.2 dev.
[00:15:04.400 --> 00:15:11.400]   Great, yeah, thanks for the reminder, Tanisha.
[00:15:11.400 --> 00:15:18.360]   All right, great.
[00:15:18.360 --> 00:15:27.320]   It's kind of this thing in Python modules
[00:15:27.320 --> 00:15:28.360]   and quite a lot of other things.
[00:15:28.360 --> 00:15:31.560]   If there's like an extra .dev at the end,
[00:15:31.560 --> 00:15:34.040]   that means it's a pre-release basically.
[00:15:34.040 --> 00:15:39.040]   And so PIP has this convention that if you say,
[00:15:39.040 --> 00:15:44.200]   I want to install something that is at least as recent
[00:15:44.200 --> 00:15:48.400]   as 0.6.2 dev, then that's a way of signaling to PIP
[00:15:48.400 --> 00:15:52.340]   that you're happy to include pre-release options.
[00:15:52.340 --> 00:15:57.240]   - Is there any reason that when you do the installation
[00:15:57.240 --> 00:16:02.240]   of a theme and then you try to use the learner,
[00:16:02.240 --> 00:16:07.040]   it says that theme doesn't exist
[00:16:07.040 --> 00:16:08.800]   when you try to load the model.
[00:16:08.800 --> 00:16:12.040]   - Right, that's because you have to restart the kernel
[00:16:12.040 --> 00:16:13.360]   after installing it.
[00:16:13.360 --> 00:16:18.040]   And so now that it's installed in .local
[00:16:18.040 --> 00:16:20.080]   every time I start a machine,
[00:16:20.080 --> 00:16:21.120]   it's going to be there anyway.
[00:16:21.120 --> 00:16:23.120]   So you wouldn't have to worry about that again.
[00:16:23.120 --> 00:16:28.120]   Okay, so this was our notebook from yesterday.
[00:16:28.120 --> 00:16:49.680]   And I wanted to try and improve the model.
[00:16:49.680 --> 00:16:52.720]   And one of the reasons I wanted to try
[00:16:52.720 --> 00:16:55.660]   to improve the model is because
[00:16:55.660 --> 00:17:11.120]   our result was worse than the top 50%.
[00:17:11.120 --> 00:17:12.600]   There you go, top 56%.
[00:17:12.600 --> 00:17:14.800]   I didn't know that was a tip, that's handy.
[00:17:14.800 --> 00:17:21.880]   And so I want to aim to at least,
[00:17:22.880 --> 00:17:27.880]   be as good as this helpful fast AI out of the box person.
[00:17:27.880 --> 00:17:33.880]   So they got .97385, how far off are we?
[00:17:33.880 --> 00:17:40.260]   You know, which is quite a bit better than ours, right?
[00:17:40.260 --> 00:17:42.480]   - That was me, that was my number.
[00:17:42.480 --> 00:17:43.840]   - Fantastic, I like it.
[00:17:43.840 --> 00:17:44.680]   It's a good notebook.
[00:17:44.680 --> 00:17:45.760]   So we're going to try to beat you.
[00:17:45.760 --> 00:17:48.160]   I hope you don't mind, but then you'll know how to beat us
[00:17:48.160 --> 00:17:50.920]   because well, at least you know how to match us.
[00:17:50.920 --> 00:17:51.760]   - My only.
[00:17:51.760 --> 00:17:58.800]   - So yeah, I saw that what you did here
[00:17:58.800 --> 00:18:03.140]   was you trained for longer, which makes sense.
[00:18:03.140 --> 00:18:08.400]   And you also used some data augmentation, which makes sense.
[00:18:08.400 --> 00:18:11.980]   So let's talk about this.
[00:18:11.980 --> 00:18:14.980]   So if we're going to train for,
[00:18:14.980 --> 00:18:19.120]   so what's your name, Gerardo?
[00:18:19.120 --> 00:18:22.600]   Is it Gerardo or Gerardo?
[00:18:22.600 --> 00:18:25.680]   - Either way, that's fine.
[00:18:25.680 --> 00:18:28.560]   - Which is right, I want to be accurate.
[00:18:28.560 --> 00:18:30.960]   - Well, my name is Gerardo in Spanish.
[00:18:30.960 --> 00:18:32.960]   - I see, so both of them, no worries.
[00:18:32.960 --> 00:18:34.880]   Thank you, Gerardo.
[00:18:34.880 --> 00:18:38.360]   Okay, so if we're going to train as long as Gerardo did,
[00:18:38.360 --> 00:18:42.780]   then, you know, if you train more than about five epochs,
[00:18:42.780 --> 00:18:45.360]   you're in danger of overfitting.
[00:18:45.360 --> 00:18:48.480]   And certainly 10, I feel like you're in significant danger
[00:18:48.480 --> 00:18:51.160]   of overfitting because your model's going to have seen
[00:18:51.160 --> 00:18:53.800]   every image, you know, 10 times.
[00:18:53.800 --> 00:18:56.240]   So in order to avoid overfitting
[00:18:56.240 --> 00:18:58.280]   to the specific images it's seeing,
[00:18:58.280 --> 00:18:59.880]   we should make it so that it sees
[00:18:59.880 --> 00:19:02.200]   a slightly different image each time.
[00:19:02.200 --> 00:19:07.200]   And this is discussed in the book in some detail.
[00:19:07.200 --> 00:19:17.160]   But basically, if you pass in batch transforms,
[00:19:17.160 --> 00:19:18.660]   these are things that are going to be applied
[00:19:18.660 --> 00:19:21.560]   to each mini batch, so to each bunch of,
[00:19:21.560 --> 00:19:24.460]   however many, 32 or 64 or whatever images.
[00:19:24.460 --> 00:19:27.520]   And this is basically a bunch of functions
[00:19:27.520 --> 00:19:29.440]   that are going to be applied.
[00:19:29.440 --> 00:19:31.320]   So what does this function do?
[00:19:31.320 --> 00:19:35.040]   Org transform, so this is transforms for data augmentation.
[00:19:35.040 --> 00:19:37.340]   So we know that the best way to find out
[00:19:37.340 --> 00:19:39.840]   what something's going to do is to check its help.
[00:19:39.840 --> 00:19:43.600]   So let's start there.
[00:19:43.600 --> 00:19:46.500]   Not help, doc.
[00:19:46.500 --> 00:19:51.500]   Okay, so it's going to do things like flip our images,
[00:19:51.500 --> 00:19:58.820]   rotate them, zoom them, change their brightness,
[00:19:58.820 --> 00:20:02.880]   their warp, let's see, show in docs.
[00:20:02.880 --> 00:20:09.860]   Okay, and here's some examples of a very cute puppy
[00:20:09.860 --> 00:20:12.100]   that Sylvia found, I think Sylvia found it.
[00:20:12.100 --> 00:20:16.020]   So this is all the same puppy, it's all the same picture.
[00:20:16.020 --> 00:20:18.660]   And as you can see, each time the model sees it,
[00:20:18.660 --> 00:20:22.540]   it sees a somewhat skewed or rotated or brightened
[00:20:22.540 --> 00:20:25.580]   or darkened or whatever version of that picture.
[00:20:25.580 --> 00:20:27.780]   And so this is called data augmentation.
[00:20:27.780 --> 00:20:37.220]   So let's try then running that.
[00:20:43.940 --> 00:20:48.660]   And so all transforms actually returns a list, right?
[00:20:48.660 --> 00:20:51.820]   It returns a list of transformations.
[00:20:51.820 --> 00:20:54.540]   So here's the flip transformation
[00:20:54.540 --> 00:20:56.940]   with a probability of 0.5 at all flip.
[00:20:56.940 --> 00:21:01.100]   It's got a brightness transformation
[00:21:01.100 --> 00:21:02.940]   with a probability of one,
[00:21:02.940 --> 00:21:05.500]   it will change the lighting by up to 0.2.
[00:21:05.500 --> 00:21:09.420]   And then a random resized crop
[00:21:09.420 --> 00:21:11.660]   is perhaps the most interesting one,
[00:21:11.660 --> 00:21:13.780]   which is it will zoom in
[00:21:13.780 --> 00:21:18.500]   such that it has at least 75% of the height width.
[00:21:18.500 --> 00:21:23.500]   And it will basically pick a smaller zoomed in section
[00:21:23.500 --> 00:21:25.900]   randomly chosen each time.
[00:21:25.900 --> 00:21:29.380]   So what we can do is when we say show batch,
[00:21:29.380 --> 00:21:31.020]   if you say unique equals true,
[00:21:31.020 --> 00:21:34.540]   it'll show the same picture each time.
[00:21:34.540 --> 00:21:36.780]   And so here you can see four versions of the same picture.
[00:21:36.780 --> 00:21:38.580]   And you can see sometimes it's flipped,
[00:21:38.580 --> 00:21:40.980]   sometimes it's moved a little bit up and down,
[00:21:40.980 --> 00:21:43.660]   sometimes it's a little bit darker or less dark,
[00:21:43.660 --> 00:21:45.460]   and it's also a little bit rotated.
[00:21:45.460 --> 00:21:49.340]   So that's what data augmentation is.
[00:21:49.340 --> 00:21:50.300]   And that really helps us
[00:21:50.300 --> 00:21:52.260]   if we wanna train a few more epochs.
[00:21:52.260 --> 00:21:57.140]   Then the second thing I figured we should do is,
[00:21:57.140 --> 00:22:01.340]   ResNet's actually great,
[00:22:01.340 --> 00:22:04.100]   but there are things which are greater.
[00:22:04.100 --> 00:22:05.380]   And as we talked about,
[00:22:05.380 --> 00:22:06.500]   Tim has a bunch of them
[00:22:06.500 --> 00:22:08.660]   and in particular comes next pretty good.
[00:22:09.660 --> 00:22:12.660]   And the other thing we could do
[00:22:12.660 --> 00:22:15.540]   is think about learning rates.
[00:22:15.540 --> 00:22:20.020]   The default learning rate used by Fast AI is one where,
[00:22:20.020 --> 00:22:23.180]   I would say I picked it on the conservative side,
[00:22:23.180 --> 00:22:27.140]   which means it's a little bit lower than you probably need
[00:22:27.140 --> 00:22:29.780]   because I wanted things to always be able to train.
[00:22:29.780 --> 00:22:34.780]   But there's actually a downside to using,
[00:22:34.780 --> 00:22:36.740]   a couple of downsides to using a lower learning rate
[00:22:36.740 --> 00:22:37.560]   than you need.
[00:22:37.560 --> 00:22:41.040]   One is that given fixed resources, fixed amount of time,
[00:22:41.040 --> 00:22:45.980]   you're gonna have less epochs,
[00:22:45.980 --> 00:22:46.820]   not less epochs, sorry,
[00:22:46.820 --> 00:22:50.420]   less distance that the weights can move.
[00:22:50.420 --> 00:22:54.100]   The second is it turns out a high learning rate
[00:22:54.100 --> 00:22:59.700]   helps the optimizer to explore the space of options
[00:22:59.700 --> 00:23:04.040]   by jumping further to see if there's better places to go.
[00:23:05.420 --> 00:23:10.420]   So the learning rate finder is suggesting things
[00:23:10.420 --> 00:23:15.260]   around about 0.002, which is indeed the default.
[00:23:15.260 --> 00:23:19.020]   But you can see that all the way up to like 10
[00:23:19.020 --> 00:23:19.860]   to the negative two,
[00:23:19.860 --> 00:23:23.420]   it still looks like a pretty nice slope.
[00:23:23.420 --> 00:23:25.100]   And the other thing to remember is,
[00:23:25.100 --> 00:23:28.280]   as we saw after answering Nick's question yesterday,
[00:23:28.280 --> 00:23:31.500]   we're using one cycle training schedule,
[00:23:31.500 --> 00:23:33.980]   which means we're gradually increasing the learning rate.
[00:23:33.980 --> 00:23:36.340]   And my claim was that by doing that,
[00:23:36.340 --> 00:23:38.260]   we can reach higher learning rates.
[00:23:38.260 --> 00:23:41.620]   So I would also say that even these recommendations
[00:23:41.620 --> 00:23:43.880]   are gonna be a bit in the conservative side.
[00:23:43.880 --> 00:23:46.100]   So what I did just before I started this call
[00:23:46.100 --> 00:23:51.000]   was I tried training at a learning rate of 0.01,
[00:23:51.000 --> 00:23:51.840]   which is
[00:23:51.840 --> 00:23:58.380]   five times higher than the default.
[00:23:58.380 --> 00:24:00.440]   And so that's up here.
[00:24:00.440 --> 00:24:02.860]   And I did find actually that that did give us
[00:24:02.860 --> 00:24:07.860]   a quite a better result with a 2% error.
[00:24:07.860 --> 00:24:09.540]   So let's see.
[00:24:09.540 --> 00:24:11.340]   I mean, obviously we've got different training sets,
[00:24:11.340 --> 00:24:14.060]   but this is hopeful, right?
[00:24:14.060 --> 00:24:18.600]   That we're gonna get a better result than our target.
[00:24:18.600 --> 00:24:20.500]   It's nice to have a target to aim for.
[00:24:20.500 --> 00:24:24.700]   Okay, so that was the next thing.
[00:24:24.700 --> 00:24:28.940]   So then since this took six minutes to train,
[00:24:28.940 --> 00:24:30.700]   it's probably a good idea to save it.
[00:24:32.400 --> 00:24:35.360]   So there's a couple of different things we can save with.
