
[00:00:00.040 --> 00:00:10.580]   stuff
[00:07:27.160 --> 00:07:28.280]   I'm not sure what you're talking about.
[00:07:28.280 --> 00:07:30.160]   I'm not sure what you're talking about.
[00:07:30.160 --> 00:07:32.240]   I'm not sure what you're talking about.
[00:07:32.240 --> 00:07:33.160]   I'm not sure what you're talking about.
[00:07:33.160 --> 00:07:33.400]   I'm not sure what you're talking about.
[00:07:33.400 --> 00:07:33.660]   I'm not sure what you're talking about.
[00:07:33.660 --> 00:07:33.900]   I'm not sure what you're talking about.
[00:07:33.900 --> 00:07:34.860]   I'm not sure what you're talking about.
[00:07:34.860 --> 00:07:34.980]   I'm not sure what you're talking about.
[00:07:35.020 --> 00:07:42.700]   understand
[00:07:42.700 --> 00:07:45.040]   de in
[00:07:45.040 --> 00:07:54.800]  ansasר, you, you, you, between, � –� 3李. learning. I'd. blending.flo. whacy.
[00:08:03.940 --> 00:08:09.960]   to apply for all the little things and big things associated with the house.
[00:08:09.960 --> 00:08:15.960]   Taxes make sense. Once if you, we can argue about the underlying doctrines,
[00:08:15.960 --> 00:08:20.960]   but for the, as far as that's a political discussion, that's an ideological or a
[00:08:20.960 --> 00:08:26.960]   philosophical discussion. We can discuss the rightness and wrongness of, of the ideology
[00:08:26.960 --> 00:08:32.860]   that leads to taxes. But at least in the United States, I have in all of my years of looking
[00:08:32.860 --> 00:08:32.860]   of looking at taxes, there's not a single thing that's wrong with taxes. There's not
[00:08:33.800 --> 00:09:01.800]  , but I would, is your sister very organized financially with numbers? Yes. Good. So, in that case, what she should do is just use all of her expenses and track all of her expenses for the year. But she needs to be careful to maintain a log of what she's doing and what she's doing.
[00:09:01.840 --> 00:09:04.840]   кра in the,,,
[00:09:04.840 --> 00:09:09.040]   @
[00:09:09.040 --> 00:09:13.140]  �
[00:09:26.700 --> 00:09:30.500]   never
[00:09:30.500 --> 00:09:36.400]   need and
[00:09:36.400 --> 00:09:36.960]   potato as,,,,,ご
[00:09:36.960 --> 00:09:53.940]  視
[00:11:24.540 --> 00:11:35.620]  你就 lot but brought
[00:11:35.620 --> 00:11:48.480]   12 completesNI',,,,,,,
[00:11:53.500 --> 00:12:03.940]   12
[00:12:03.940 --> 00:12:22.460]   12
[00:12:22.460 --> 00:12:22.460]   12
[00:12:22.460 --> 00:12:22.460]   12
[00:12:22.460 --> 00:12:22.460]   12
[00:12:22.460 --> 00:12:22.460]   12
[00:12:22.460 --> 00:12:22.460]   12
[00:12:22.460 --> 00:12:22.460]   12
[00:12:22.460 --> 00:12:22.480]   12
[00:12:22.480 --> 00:12:22.500]   12
[00:12:22.500 --> 00:12:22.520]   12
[00:12:22.520 --> 00:12:22.540]   12
[00:12:22.540 --> 00:12:22.560]   12
[00:12:22.560 --> 00:12:22.580]   12
[00:12:22.580 --> 00:12:22.600]   12
[00:12:22.600 --> 00:12:22.640]   12
[00:12:22.640 --> 00:12:22.680]   12
[00:12:22.680 --> 00:12:22.680]   12
[00:12:22.680 --> 00:12:22.700]   12
[00:12:22.700 --> 00:12:22.740]   12
[00:12:22.740 --> 00:12:22.920]   12
[00:12:22.920 --> 00:12:22.940]   12
[00:12:22.940 --> 00:12:22.980]   12
[00:12:22.980 --> 00:12:23.000]   12
[00:12:23.000 --> 00:12:23.060]   12
[00:12:23.060 --> 00:12:23.100]   12
[00:12:23.100 --> 00:12:23.140]   12
[00:12:23.140 --> 00:12:23.160]   12
[00:12:23.160 --> 00:12:23.220]   12
[00:12:23.220 --> 00:12:23.260]   12
[00:12:23.260 --> 00:12:23.320]   12
[00:12:23.320 --> 00:12:23.380]   12
[00:12:23.380 --> 00:12:23.420]   12
[00:12:23.500 --> 00:12:33.160]   dei
[00:12:33.160 --> 00:12:34.520]   next is the winter
[00:12:34.520 --> 00:12:37.320]   con just circuit,,,,,,, in the make the liquid do he rocking ecos
[00:12:37.320 --> 00:12:48.740]  님
[00:12:48.740 --> 00:12:52.240]   but but與
[00:13:30.160 --> 00:13:36.000]   I'm going to be around two 70s. So my question is, and we paid down quickly enough on the house. So we're getting $30,000 and at closing. So we we do have some equity in the home. I was my question is, is there any tax implications or things I need to be thinking about as we get that money at closing?
[00:14:04.680 --> 00:14:15.840]  ra
[00:14:15.840 --> 00:14:33.580]   automatically the Haw's be anyerd 있을는
[00:14:34.140 --> 00:14:45.560]   siglo
[00:14:45.560 --> 00:14:48.400]   do,,,
[00:14:58.280 --> 00:15:22.420]   and
[00:15:22.420 --> 00:15:22.420]   it
[00:15:22.420 --> 00:15:22.420]   will
[00:15:22.420 --> 00:15:22.480]   be
[00:15:22.480 --> 00:15:22.520]   a
[00:15:22.520 --> 00:15:22.820]   rental
[00:15:22.820 --> 00:15:23.300]   property
[00:15:23.300 --> 00:15:23.600]   for
[00:15:23.600 --> 00:15:23.760]   you
[00:15:23.760 --> 00:15:23.900]   for
[00:15:23.900 --> 00:15:24.020]   the
[00:15:24.020 --> 00:15:24.260]   past
[00:15:24.260 --> 00:15:24.560]   six
[00:15:24.560 --> 00:15:25.000]   years
[00:15:25.000 --> 00:15:25.700]   then
[00:15:25.700 --> 00:15:25.840]   I
[00:15:25.840 --> 00:15:26.000]   would
[00:15:26.000 --> 00:15:26.480]   say
[00:15:26.480 --> 00:15:27.160]   you're
[00:15:27.160 --> 00:15:27.500]   going
[00:15:27.500 --> 00:15:27.640]   to
[00:15:27.640 --> 00:15:27.760]   be
[00:15:27.760 --> 00:15:27.880]   in
[00:15:27.880 --> 00:15:28.040]   good
[00:15:28.040 --> 00:15:28.280]   shape
[00:15:28.280 --> 00:15:28.280]   and
[00:15:28.280 --> 00:15:28.280]   you're
[00:15:28.420 --> 00:15:58.300]   going
[00:15:58.300 --> 00:15:58.300]   to
[00:15:58.300 --> 00:15:58.300]   be
[00:15:58.300 --> 00:15:58.300]   in
[00:15:58.300 --> 00:15:58.300]   good
[00:15:58.300 --> 00:15:58.300]   shape
[00:15:58.300 --> 00:15:58.300]   and
[00:15:58.300 --> 00:15:58.300]   it's
[00:15:58.300 --> 00:16:28.320]   going to
[00:16:28.320 --> 00:16:28.320]   be
[00:16:28.320 --> 00:16:28.320]   in
[00:16:28.320 --> 00:16:28.320]   a good
[00:16:28.320 --> 00:16:28.320]   way.
[00:16:28.360 --> 00:16:30.700]   even
[00:16:30.700 --> 00:16:54.460]   be, Ed, I will intoeder
[00:16:54.740 --> 00:17:02.600]   a
[00:17:02.600 --> 00:17:05.080]   think. P P
[00:17:05.080 --> 00:17:06.780]   channel Looking U de theung the beusi assume無 saw one in the weißuestos, I'm going to the long, and I've telling, and I'm out of the right, and, and, and, and, . . . . . . , ., ., aligned,
[00:17:06.780 --> 00:17:21.840]   Kum,
[00:17:21.840 --> 00:17:23.260]   bubble- employment-
[00:17:23.260 --> 00:17:24.720]  喜歡-
[00:17:24.760 --> 00:17:31.800]   "
[00:17:31.800 --> 00:17:36.220]   and,
[00:18:21.240 --> 00:18:21.240]   and,
[00:18:21.280 --> 00:18:49.280]  ,
[00:18:49.280 --> 00:18:51.260]   and,
[00:18:51.260 --> 00:18:51.260]   and,
[00:18:51.260 --> 00:18:51.260]   and,
[00:18:51.260 --> 00:18:51.260]   and,
[00:19:21.320 --> 00:19:29.740]   Baz
[00:19:29.740 --> 00:19:32.580]   think the. Y
[00:19:32.580 --> 00:19:49.620]   end According deb both they's aTC you는 12ut this is aIFEXcel butt 10新
[00:19:51.320 --> 00:20:21.320]   about the size of the effort. And just simply to focus on the fact that you're inviting them. Because it's an honor for any guest that you do invite on your show to appear. And so in my experience dealing with people the best thing these days is to be short and to the point with an email of no more than about two sentences. Two to three sentences becomes the max for those of us who receive lots of emails. I am hopelessly overwhelmed by emails and if it's not two or three
[00:20:21.320 --> 00:20:21.320]   I'm hopelessly overwhelmed by emails and if it's not two or three
[00:20:21.320 --> 00:20:21.320]   I'm hopelessly overwhelmed by emails and if it's not two or three
[00:20:21.320 --> 00:20:21.320]   I'm hopelessly overwhelmed by emails and if it's not two or three
[00:20:21.320 --> 00:20:21.320]   I'm hopelessly overwhelmed by emails and if it's not two or three
[00:20:21.320 --> 00:20:21.320]   I'm hopelessly overwhelmed by emails and if it's not two or three
[00:20:21.320 --> 00:20:21.320]   I'm hopelessly overwhelmed by emails and if it's not two or three
[00:20:21.360 --> 00:20:51.340]   the best I want to do it but it's just really hard and so people either their staff or they themselves are basically constantly filtering and the shorter your question the better so I would do it basically just like this I would say to them I have a podcast that is devoted to this topic I'd love to interview you because you're an expert on this and specifically I want to find out about subject a because that relates to the topic and the subject that relates to the topic
[00:20:51.360 --> 00:21:21.360]   I'm hopelessly overwhelmed by emails and if it's not two or three
[00:21:21.360 --> 00:21:21.360]   I'm hopelessly overwhelmed by emails and if it's not two or three
[00:21:21.360 --> 00:21:21.360]   I'm hopelessly overwhelmed by emails and if it's not two or three
[00:21:21.360 --> 00:21:21.360]   I'm hopelessly overwhelmed by emails and if it's not two or three
[00:21:21.360 --> 00:21:21.360]   I'm hopelessly overwhelmed by emails and if it's not two or three
[00:21:21.360 --> 00:21:21.360]   I'm hopelessly overwhelmed by emails and if it's not two or three
[00:21:21.360 --> 00:21:21.360]   I'm hopelessly overwhelmed by emails and if it's not two or three
[00:21:21.360 --> 00:21:21.360]   I'm hopelessly overwhelmed by emails and if it's not two or three
[00:21:21.360 --> 00:21:21.360]   I'm hopelessly overwhelmed by emails and if it's not two or three
[00:21:21.360 --> 00:21:21.360]   I'm hopelessly overwhelmed by emails and if it's not two or three
[00:21:21.360 --> 00:21:21.360]   I'm hopelessly overwhelmed by emails and if it's not two or three
[00:21:21.360 --> 00:21:21.360]   I'm hopelessly overwhelmed by emails and if it's not two or three
[00:21:21.360 --> 00:21:51.380]  , I'm hopelessly overwhelmed by emails and if it's not two or three
[00:21:51.380 --> 00:21:51.380]   I'm hopelessly overwhelmed by emails and if it's not two or three
[00:21:51.380 --> 00:21:51.380]   I'm hopelessly overwhelmed by emails and if it's not two or three
[00:21:51.380 --> 00:21:51.380]   I'm hopelessly overwhelmed by emails and if it's not two or three
[00:21:51.380 --> 00:21:51.380]   I'm hopelessly overwhelmed by emails and if it's not two or three
[00:21:51.380 --> 00:21:51.380]   I'm hopelessly overwhelmed by emails and if it's not two or three
[00:21:51.380 --> 00:21:51.380]   I'm hopelessly overwhelmed by emails and if it's not two or three
[00:21:51.380 --> 00:21:51.380]   I'm hopelessly overwhelmed by emails and if it's not two or three
[00:21:51.380 --> 00:21:51.380]   I'm hopelessly overwhelmed by emails and if it's not two or three
[00:21:51.380 --> 00:21:51.380]   I'm hopelessly overwhelmed by emails and if it's not two or three
[00:21:51.380 --> 00:21:51.380]   I'm hopelessly overwhelmed by emails and if it's not two or three
[00:21:51.400 --> 00:22:21.400]   I'm hopelessly overwhelmed by emails and if it's not two or three
[00:22:21.400 --> 00:22:21.400]   I'm hopelessly overwhelmed by emails and if it's not two or three
[00:22:21.400 --> 00:22:21.400]   I'm hopelessly overwhelmed by emails and if it's not two or three
[00:22:21.400 --> 00:22:21.400]   I'm hopelessly overwhelmed by emails and if it's not two or three
[00:22:21.400 --> 00:22:21.400]   I'm hopelessly overwhelmed by emails and if it's not two or three
[00:22:21.400 --> 00:22:21.400]   I'm hopelessly overwhelmed by emails and if it's not two or three
[00:22:21.400 --> 00:22:21.400]   I'm hopelessly overwhelmed by emails and if it's not two or three
[00:22:21.400 --> 00:22:21.400]   I'm hopelessly overwhelmed by emails and if it's not two or three
[00:22:21.400 --> 00:22:21.400]   I'm hopelessly overwhelmed by emails and if it's not two or three
[00:22:21.400 --> 00:22:21.400]   I'm hopelessly overwhelmed by emails and if it's not two or three
[00:22:21.400 --> 00:22:21.400]   I'm hopelessly overwhelmed by emails and if it's not two or three
[00:22:21.400 --> 00:22:21.400]   I'm hopelessly overwhelmed by emails and if it's not two or three
[00:22:21.400 --> 00:22:51.420]   I'm hopelessly overwhelmed by emails and if it's not two or three
[00:22:51.420 --> 00:22:51.420]   I'm hopelessly overwhelmed by emails and if it's not two or three
[00:22:51.420 --> 00:22:51.420]   I'm hopelessly overwhelmed by emails and if it's not two or three
[00:22:51.420 --> 00:22:51.420]   I'm hopelessly overwhelmed by emails and if it's not two or three
[00:22:51.420 --> 00:22:51.420]   I'm hopelessly overwhelmed by emails and if it's not two or three
[00:22:51.420 --> 00:22:51.420]   I'm hopelessly overwhelmed by emails and if it's not two or three
[00:22:51.420 --> 00:22:51.420]   I'm hopelessly overwhelmed by emails and if it's not two or three
[00:22:51.420 --> 00:22:51.420]   I'm hopelessly overwhelmed by emails and if it's not two or three
[00:22:51.420 --> 00:22:51.420]   I'm hopelessly overwhelmed by emails and if it's not two or three
[00:22:51.420 --> 00:22:51.420]   I'm hopelessly overwhelmed by emails and if it's not two or three
[00:22:51.420 --> 00:22:51.420]   I'm hopelessly overwhelmed by emails and if it's not two or three
[00:22:51.440 --> 00:23:21.440]   I'm hopelessly overwhelmed by emails and if it's not two or three
[00:23:21.440 --> 00:23:21.440]   I'm hopelessly overwhelmed by emails and if it's not two or three
[00:23:21.440 --> 00:23:21.440]   I'm hopelessly overwhelmed by emails and if it's not two or three
[00:23:21.440 --> 00:23:21.440]   I'm hopelessly overwhelmed by emails and if it's not two or three
[00:23:21.440 --> 00:23:21.440]   I'm hopelessly overwhelmed by emails and if it's not two or three
[00:23:21.440 --> 00:23:21.440]   I'm hopelessly overwhelmed by emails and if it's not two or three
[00:23:21.440 --> 00:23:21.440]   I'm hopelessly overwhelmed by emails and if it's not two or three
[00:23:21.440 --> 00:23:21.440]   I'm hopelessly overwhelmed by emails and if it's not two or three
[00:23:21.440 --> 00:23:21.440]   I'm hopelessly overwhelmed by emails and if it's not two or three
[00:23:21.440 --> 00:23:21.440]   I'm hopelessly overwhelmed by emails and if it's not two or three
[00:23:21.440 --> 00:23:21.440]   I'm hopelessly overwhelmed by emails and if it's not two or three
[00:23:21.440 --> 00:23:21.440]   I'm hopelessly overwhelmed by emails and if it's not two or three
[00:23:21.440 --> 00:23:51.460]  , I'm hopelessly overwhelmed by emails and if it's not two or three
[00:23:51.460 --> 00:23:51.460]   I'm hopelessly overwhelmed by emails and if it's not two or three
[00:23:51.460 --> 00:23:51.460]   I'm hopelessly overwhelmed by emails and if it's not two or three
[00:23:51.460 --> 00:23:51.460]   I'm hopelessly overwhelmed by emails and if it's not two or three
[00:23:51.460 --> 00:23:51.460]   I'm hopelessly overwhelmed by emails and if it's not two or three
[00:23:51.460 --> 00:23:51.460]   I'm hopelessly overwhelmed by emails and if it's not two or three
[00:23:51.460 --> 00:23:51.460]   I'm hopelessly overwhelmed by emails and if it's not two or three
[00:23:51.460 --> 00:23:51.460]   I'm hopelessly overwhelmed by emails and if it's not two or three
[00:23:51.460 --> 00:23:51.460]   I'm hopelessly overwhelmed by emails and if it's not two or three
[00:23:51.460 --> 00:23:51.460]   I'm hopelessly overwhelmed by emails and if it's not two or three
[00:23:51.460 --> 00:23:51.460]   I'm hopelessly overwhelmed by emails and if it's not two or three
[00:23:51.480 --> 00:24:21.480]   I'm hopelessly overwhelmed by emails and if it's not two or three
[00:24:21.480 --> 00:24:21.480]   I'm hopelessly overwhelmed by emails and if it's not two or three
[00:24:21.480 --> 00:24:21.480]   I'm hopelessly overwhelmed by emails and if it's not two or three
[00:24:21.480 --> 00:24:21.480]   I'm hopelessly overwhelmed by emails and if it's not two or three
[00:24:21.480 --> 00:24:21.480]   I'm hopelessly overwhelmed by emails and if it's not two or three
[00:24:21.480 --> 00:24:21.480]   I'm hopelessly overwhelmed by emails and if it's not two or three
[00:24:21.480 --> 00:24:21.480]   I'm hopelessly overwhelmed by emails and if it's not two or three
[00:24:21.480 --> 00:24:21.480]   I'm hopelessly overwhelmed by emails and if it's not two or three
[00:24:21.480 --> 00:24:21.480]   I'm hopelessly overwhelmed by emails and if it's not two or three
[00:24:21.480 --> 00:24:21.480]   I'm hopelessly overwhelmed by emails and if it's not two or three
[00:24:21.480 --> 00:24:21.480]   I'm hopelessly overwhelmed by emails and if it's not two or three
[00:24:21.480 --> 00:24:21.480]   I'm hopelessly overwhelmed by emails and if it's not two or three
[00:24:21.520 --> 00:24:51.500]  , I'm hopelessly overwhelmed by emails and if it's not two or three
[00:24:51.500 --> 00:24:51.500]   I'm hopelessly overwhelmed by emails and if it's not two or three
[00:24:51.500 --> 00:24:51.500]   I'm hopelessly overwhelmed by emails and if it's not two or three
[00:24:51.500 --> 00:24:51.500]   I'm hopelessly overwhelmed by emails and if it's not two or three
[00:24:51.500 --> 00:24:51.500]   I'm hopelessly overwhelmed by emails and if it's not two or three
[00:24:51.500 --> 00:24:51.500]   I'm hopelessly overwhelmed by emails and if it's not two or three
[00:24:51.500 --> 00:24:51.500]   I'm hopelessly overwhelmed by emails and if it's not two or three
[00:24:51.500 --> 00:24:51.500]   I'm hopelessly overwhelmed by emails and if it's not two or three
[00:24:51.500 --> 00:24:51.500]   I'm hopelessly overwhelmed by emails and if it's not two or three
[00:24:51.500 --> 00:24:51.500]   I'm hopelessly overwhelmed by emails and if it's not two or three
[00:24:51.500 --> 00:24:51.500]   I'm hopelessly overwhelmed by emails and if it's not two or three
[00:24:51.520 --> 00:25:21.520]   I'm hopelessly overwhelmed by emails and if it's not two or three
[00:25:21.520 --> 00:25:21.520]   I'm hopelessly overwhelmed by emails and if it's not two or three
[00:25:21.520 --> 00:25:21.520]   I'm hopelessly overwhelmed by emails and if it's not two or three
[00:25:21.520 --> 00:25:21.520]   I'm hopelessly overwhelmed by emails and if it's not two or three
[00:25:21.520 --> 00:25:21.520]   I'm hopelessly overwhelmed by emails and if it's not two or three
[00:25:21.520 --> 00:25:21.520]   I'm hopelessly overwhelmed by emails and if it's not two or three
[00:25:21.520 --> 00:25:21.520]   I'm hopelessly overwhelmed by emails and if it's not two or three
[00:25:21.520 --> 00:25:21.520]   I'm hopelessly overwhelmed by emails and if it's not two or three
[00:25:21.520 --> 00:25:21.520]   I'm hopelessly overwhelmed by emails and if it's not two or three
[00:25:21.520 --> 00:25:21.520]   I'm hopelessly overwhelmed by emails and if it's not two or three
[00:25:21.520 --> 00:25:21.520]   I'm hopelessly overwhelmed by emails and if it's not two or three
[00:25:21.520 --> 00:25:21.520]   I'm hopelessly overwhelmed by emails and if it's not two or three
[00:25:21.520 --> 00:25:51.540]   I'm hopelessly overwhelmed by emails and if it's not two or three
[00:25:51.540 --> 00:25:51.540]   I'm hopelessly overwhelmed by emails and if it's not two or three
[00:25:51.540 --> 00:25:51.540]   I'm hopelessly overwhelmed by emails and if it's not two or three
[00:25:51.540 --> 00:25:51.540]   I'm hopelessly overwhelmed by emails and if it's not two or three
[00:25:51.540 --> 00:25:51.540]   I'm hopelessly overwhelmed by emails and if it's not two or three
[00:25:51.540 --> 00:25:51.540]   I'm hopelessly overwhelmed by emails and if it's not two or three
[00:25:51.540 --> 00:25:51.540]   I'm hopelessly overwhelmed by emails and if it's not two or three
[00:25:51.540 --> 00:25:51.540]   I'm hopelessly overwhelmed by emails and if it's not two or three
[00:25:51.540 --> 00:25:51.540]   I'm hopelessly overwhelmed by emails and if it's not two or three
[00:25:51.540 --> 00:25:51.540]   I'm hopelessly overwhelmed by emails and if it's not two or three
[00:25:51.540 --> 00:25:51.540]   I'm hopelessly overwhelmed by emails and if it's not two or three
[00:25:51.560 --> 00:26:21.560]   I'm hopelessly overwhelmed by emails and if it's not two or three
[00:26:21.560 --> 00:26:21.560]   I'm hopelessly overwhelmed by emails and if it's not two or three
[00:26:21.560 --> 00:26:21.560]   I'm hopelessly overwhelmed by emails and if it's not two or three
[00:26:21.560 --> 00:26:21.560]   I'm hopelessly overwhelmed by emails and if it's not two or three
[00:26:21.560 --> 00:26:21.560]   I'm hopelessly overwhelmed by emails and if it's not two or three
[00:26:21.560 --> 00:26:21.560]   I'm hopelessly overwhelmed by emails and if it's not two or three
[00:26:21.560 --> 00:26:21.560]   I'm hopelessly overwhelmed by emails and if it's not two or three
[00:26:21.560 --> 00:26:21.560]   I'm hopelessly overwhelmed by emails and if it's not two or three
[00:26:21.560 --> 00:26:21.560]   I'm hopelessly overwhelmed by emails and if it's not two or three
[00:26:21.560 --> 00:26:21.560]   I'm hopelessly overwhelmed by emails and if it's not two or three
[00:26:21.560 --> 00:26:21.560]   I'm hopelessly overwhelmed by emails and if it's not two or three
[00:26:21.560 --> 00:26:21.560]   I'm hopelessly overwhelmed by emails and if it's not two or three
[00:26:21.600 --> 00:26:51.580]  , I'm hopelessly overwhelmed by emails and if it's not two or three
[00:26:51.580 --> 00:26:51.580]   I'm hopelessly overwhelmed by emails and if it's not two or three
[00:26:51.580 --> 00:26:51.580]   I'm hopelessly overwhelmed by emails and if it's not two or three
[00:26:51.580 --> 00:26:51.580]   I'm hopelessly overwhelmed by emails and if it's not two or three
[00:26:51.580 --> 00:26:51.580]   I'm hopelessly overwhelmed by emails and if it's not two or three
[00:26:51.580 --> 00:26:51.580]   I'm hopelessly overwhelmed by emails and if it's not two or three
[00:26:51.580 --> 00:26:51.580]   I'm hopelessly overwhelmed by emails and if it's not two or three
[00:26:51.580 --> 00:26:51.580]   I'm hopelessly overwhelmed by emails and if it's not two or three
[00:26:51.580 --> 00:26:51.580]   I'm hopelessly overwhelmed by emails and if it's not two or three
[00:26:51.580 --> 00:26:51.580]   I'm hopelessly overwhelmed by emails and if it's not two or three
[00:26:51.580 --> 00:26:51.580]   I'm hopelessly overwhelmed by emails and if it's not two or three
[00:26:51.580 --> 00:26:51.580]   I'm hopelessly overwhelmed by emails and if it's not two or three
[00:26:51.600 --> 00:27:21.600]   I'm hopelessly overwhelmed by emails and if it's not two or three
[00:27:21.600 --> 00:27:21.600]   I'm hopelessly overwhelmed by emails and if it's not two or three
[00:27:21.600 --> 00:27:21.600]   I'm hopelessly overwhelmed by emails and if it's not two or three
[00:27:21.600 --> 00:27:21.600]   I'm hopelessly overwhelmed by emails and if it's not two or three
[00:27:21.600 --> 00:27:21.600]   I'm hopelessly overwhelmed by emails and if it's not two or three
[00:27:21.600 --> 00:27:21.600]   I'm hopelessly overwhelmed by emails and if it's not two or three
[00:27:21.600 --> 00:27:21.600]   I'm hopelessly overwhelmed by emails and if it's not two or three
[00:27:21.600 --> 00:27:21.600]   I'm hopelessly overwhelmed by emails and if it's not two or three
[00:27:21.600 --> 00:27:21.600]   I'm hopelessly overwhelmed by emails and if it's not two or three
[00:27:21.600 --> 00:27:21.600]   I'm hopelessly overwhelmed by emails and if it's not two or three
[00:27:21.600 --> 00:27:21.600]   I'm hopelessly overwhelmed by emails and if it's not two or three
[00:27:21.600 --> 00:27:21.600]   I'm hopelessly overwhelmed by emails and if it's not two or three
[00:27:21.600 --> 00:27:51.620]  , I'm hopelessly overwhelmed by emails and if it's not two or three
[00:27:51.620 --> 00:27:51.620]   I'm hopelessly overwhelmed by emails and if it's not two or three
[00:27:51.620 --> 00:27:51.620]   I'm hopelessly overwhelmed by emails and if it's not two or three
[00:27:51.620 --> 00:27:51.620]   I'm hopelessly overwhelmed by emails and if it's not two or three
[00:27:51.620 --> 00:27:51.620]   I'm hopelessly overwhelmed by emails and if it's not two or three
[00:27:51.620 --> 00:27:51.620]   I'm hopelessly overwhelmed by emails and if it's not two or three
[00:27:51.620 --> 00:27:51.620]   I'm hopelessly overwhelmed by emails and if it's not two or three
[00:27:51.620 --> 00:27:51.620]   I'm hopelessly overwhelmed by emails and if it's not two or three
[00:27:51.620 --> 00:27:51.620]   I'm hopelessly overwhelmed by emails and if it's not two or three
[00:27:51.620 --> 00:27:51.620]   I'm hopelessly overwhelmed by emails and if it's not two or three
[00:27:51.620 --> 00:27:51.620]   I'm hopelessly overwhelmed by emails and if it's not two or three
[00:27:51.640 --> 00:28:21.640]   I'm hopelessly overwhelmed by emails and if it's not two or three
[00:28:21.640 --> 00:28:21.640]   I'm hopelessly overwhelmed by emails and if it's not two or three
[00:28:21.640 --> 00:28:21.640]   I'm hopelessly overwhelmed by emails and if it's not two or three
[00:28:21.640 --> 00:28:21.640]   I'm hopelessly overwhelmed by emails and if it's not two or three
[00:28:21.640 --> 00:28:21.640]   I'm hopelessly overwhelmed by emails and if it's not two or three
[00:28:21.640 --> 00:28:21.640]   I'm hopelessly overwhelmed by emails and if it's not two or three
[00:28:21.640 --> 00:28:21.640]   I'm hopelessly overwhelmed by emails and if it's not two or three
[00:28:21.640 --> 00:28:21.640]   I'm hopelessly overwhelmed by emails and if it's not two or three
[00:28:21.640 --> 00:28:21.640]   I'm hopelessly overwhelmed by emails and if it's not two or three
[00:28:21.640 --> 00:28:21.640]   I'm hopelessly overwhelmed by emails and if it's not two or three
[00:28:21.640 --> 00:28:21.640]   I'm hopelessly overwhelmed by emails and if it's not two or three
[00:28:21.640 --> 00:28:21.640]   I'm hopelessly overwhelmed by emails and if it's not two or three
[00:28:21.640 --> 00:28:51.660]  , I'm hopelessly overwhelmed by emails and if it's not two or three
[00:28:51.660 --> 00:28:51.660]   I'm hopelessly overwhelmed by emails and if it's not two or three
[00:28:51.660 --> 00:28:51.660]   I'm hopelessly overwhelmed by emails and if it's not two or three
[00:28:51.660 --> 00:28:51.660]   I'm hopelessly overwhelmed by emails and if it's not two or three
[00:28:51.660 --> 00:28:51.660]   I'm hopelessly overwhelmed by emails and if it's not two or three
[00:28:51.660 --> 00:28:51.660]   I'm hopelessly overwhelmed by emails and if it's not two or three
[00:28:51.660 --> 00:28:51.660]   I'm hopelessly overwhelmed by emails and if it's not two or three
[00:28:51.660 --> 00:28:51.660]   I'm hopelessly overwhelmed by emails and if it's not two or three
[00:28:51.660 --> 00:28:51.660]   I'm hopelessly overwhelmed by emails and if it's not two or three
[00:28:51.660 --> 00:28:51.660]   I'm hopelessly overwhelmed by emails and if it's not two or three
