
[00:00:00.000 --> 00:00:05.280]   As a parent or mentor you have the awesome opportunity to help a young person build a future
[00:07:07.020 --> 00:07:11.020]   but you you can't you you have to make a determination at that point and
[00:07:11.020 --> 00:07:15.440]   what I what I will say is if you are in that boat just kind of
[00:07:15.440 --> 00:07:22.300]   experiments a little bit with it push it a little bit and then and then let it go and learn from that lesson and
[00:07:22.300 --> 00:07:27.300]   Maybe find an alternative do a little bit better the next time. So let's begin with
[00:07:27.300 --> 00:07:30.340]   discussion on digital privacy
[00:07:30.340 --> 00:07:33.880]   Because well, obviously there are different levels
[00:07:33.880 --> 00:07:38.780]   I think most of us some of the simplest steps that we could take that can dramatically improve our
[00:07:38.780 --> 00:07:45.460]   Personal privacy is in the area of digital privacy. Let's say that I come to you and I'm concerned about
[00:07:45.460 --> 00:07:49.900]   About the internet. It's not that I have anything going on
[00:07:49.900 --> 00:07:54.340]   I'm just someone who's saying well, I noticed that people are getting doxxed or I noticed that you know
[00:07:54.340 --> 00:08:00.020]   Something could happen and my information could be made public and that could be really concerning to me
[00:08:00.260 --> 00:08:06.100]   What are some of the basic steps that you think everyone should take with regard to digital privacy?
[00:08:06.100 --> 00:08:08.200]   well
[00:08:08.200 --> 00:08:10.200]   You should definitely be concerned about
[00:08:10.200 --> 00:08:14.020]   Digital and internet privacy even if you're not a public figure
[00:08:14.020 --> 00:08:16.820]   Obviously if you are some kind of public figure you should be very concerned
[00:08:16.820 --> 00:08:22.400]   I give examples in the introduction to my book about how these days if you apply for a job
[00:08:22.400 --> 00:08:26.040]   They might do a background check on you. They might check all of your social media
[00:08:26.040 --> 00:08:30.080]   There's one guy who posted on Twitter a 300 page document
[00:08:30.080 --> 00:08:34.340]   categorizing all of his social media posts by various
[00:08:34.340 --> 00:08:38.340]   Fouls basically and suffice to say this guy didn't get the job
[00:08:38.340 --> 00:08:43.620]   So there's an endless 300 page document was the hiring companies analysis of him, correct?
[00:08:43.620 --> 00:08:48.760]   And there are entire companies that do these background checks. And of course, there's a new there's a new industry
[00:08:49.320 --> 00:08:56.460]   Called open source intelligence and they are looking for all kinds of your information that's out there on the internet
[00:08:56.460 --> 00:09:01.400]   Whether that's for marketing whether that's just to give to law enforcement. There's all kinds of things that can go wrong
[00:09:01.400 --> 00:09:04.920]   So number one, there are a few things you can do and these are not very difficult
[00:09:04.920 --> 00:09:07.880]   First of all you advocate using a VPN
[00:09:07.880 --> 00:09:14.780]   Definitely pay for a VPN. There are a few good ones out there. You can check out proton VPN
[00:09:15.360 --> 00:09:19.960]   Express VPN is getting a little bit too big for its britches, but that's still very good
[00:09:19.960 --> 00:09:21.960]   You have more that you have a variety of these
[00:09:21.960 --> 00:09:26.680]   what you're really looking for is something that's paid and is therefore going to be reliable and
[00:09:26.680 --> 00:09:30.480]   Something that is not logging your information a VPN will basically
[00:09:30.480 --> 00:09:37.360]   Make sure that your internet service provider whether you're at home and that's Cox or Xfinity or you're at the Starbucks
[00:09:37.360 --> 00:09:40.080]   down the road, they will not see your
[00:09:40.080 --> 00:09:42.480]   browsing activity
[00:09:42.480 --> 00:09:43.800]   and
[00:09:43.800 --> 00:09:48.720]   Likewise, if you go to Google or you go to some website, they are not going to
[00:09:48.720 --> 00:09:55.480]   See a recognizable IP address so there they won't be able to build up a dossier on you. So a VPN is
[00:09:55.480 --> 00:10:02.200]   Definitely the first thing that you should do number two, I would say definitely get into the private messaging
[00:10:02.200 --> 00:10:08.800]   Now you don't have to funnel everybody in your life into private messaging. One thing I do as I say
[00:10:09.480 --> 00:10:15.800]   Look close family. If you want to talk to me, this is where I'll be. I'll be on signal. I will be on wire
[00:10:15.800 --> 00:10:22.280]   I will be on session. Maybe even whatsapp whatsapp have some have some problems with it, but it's better than nothing
[00:10:22.280 --> 00:10:24.360]   It's still end-to-end encrypted. So I
[00:10:24.360 --> 00:10:29.520]   people cannot see whatsapp Facebook cannot see the content of your
[00:10:29.520 --> 00:10:34.340]   Conversation and your text but definitely get on to private messengers
[00:10:34.340 --> 00:10:39.580]   These are by and large free though. Of course, you want to donate to things like signal if you use them often
[00:10:39.580 --> 00:10:48.340]   So that's that's a big step. If you are messaging your girlfriend on Facebook, just tell her let's let's go to signal and and do that
[00:10:48.340 --> 00:10:50.060]   so VPNs
[00:10:50.060 --> 00:10:52.860]   private messaging, of course, I should have said this first which is to
[00:10:52.860 --> 00:10:55.620]   do more things offline and
[00:10:55.620 --> 00:11:02.360]   This is a difficult one most people when they want advice they want a list of okay
[00:11:02.360 --> 00:11:07.180]   What are all the services I should be using? What should I be paying for? How can somebody else give me privacy?
[00:11:07.180 --> 00:11:09.180]   and that's kind of a
[00:11:09.180 --> 00:11:10.500]   contradiction of
[00:11:10.500 --> 00:11:12.380]   What privacy is entirely?
[00:11:12.380 --> 00:11:19.000]   So you want to do fewer things online if you want privacy have have fewer accounts go
[00:11:19.000 --> 00:11:19.940]   first of all
[00:11:19.940 --> 00:11:26.140]   Go through your accounts and see what you all have out there and then start to go in there and get rid of the ones
[00:11:26.140 --> 00:11:28.140]   That you don't need
[00:11:28.140 --> 00:11:31.480]   Tone down social media. We'll get time. We'll get to that in a second
[00:11:32.260 --> 00:11:37.260]   I use a lot of I like to buy my books in print. I don't need
[00:11:37.260 --> 00:11:41.460]   Amazon seeing a list of how quickly I read on Kindle and
[00:11:41.460 --> 00:11:44.120]   What I'm interested in and what?
[00:11:44.120 --> 00:11:48.700]   Particular pages I focus on there's a lot of information they have on you
[00:11:48.700 --> 00:11:54.540]   So I just try to do more things in person buy more things in cash in person and to avoid
[00:11:54.540 --> 00:11:59.300]   Especially always online services. I prefer free and open source software
[00:11:59.700 --> 00:12:04.940]   So I don't use instead of an office 365, which is Microsoft's product now
[00:12:04.940 --> 00:12:10.220]   Where they're monitoring every keystroke. I just download in a Libra office and
[00:12:10.220 --> 00:12:15.540]   Sure, it takes there's a few different things, but I'm perfectly fine using Libra office
[00:12:15.540 --> 00:12:18.860]   It's a piece of software that is free and open source
[00:12:18.860 --> 00:12:25.700]   I can see everything that's going into it and it does not it's not connected to the Internet at all times. So just
[00:12:27.020 --> 00:12:31.060]   realize how much you are using the Internet and whether that's through your phone or
[00:12:31.060 --> 00:12:34.860]   Your entertainment or you just have all of these
[00:12:34.860 --> 00:12:42.120]   Even financial apps that are looking at what you're spending and and measuring
[00:12:42.120 --> 00:12:44.820]   I'm an advocate of going back to some of the
[00:12:44.820 --> 00:12:47.820]   physical
[00:12:47.820 --> 00:12:51.980]   Some of the physical methods and just doing a evaluation of
[00:12:51.980 --> 00:12:55.060]   Your Alliance on the Internet and cutting that down a little bit
[00:12:55.180 --> 00:13:00.700]   So I want to go back because I think if we're gonna approach this in a practical way, which is my intention
[00:13:00.700 --> 00:13:04.620]   probably the simplest place to start with privacy is
[00:13:04.620 --> 00:13:07.620]   publishing less I
[00:13:07.620 --> 00:13:11.020]   Think I don't want to gloss over what you said about social media
[00:13:11.020 --> 00:13:17.420]   It's astonishing the personal details that we share in a very public format
[00:13:17.420 --> 00:13:21.860]   And there are things that perhaps we know about hey, I'm on vacation right now for years
[00:13:21.980 --> 00:13:28.900]   That has been something that thoughtful police officers have warned people against don't post I'm on vacation. Don't post your vacation photos
[00:13:28.900 --> 00:13:32.460]   Because someone can easily track down your house and target it
[00:13:32.460 --> 00:13:39.340]   I don't know that it happens that much but it certainly does happen and it's fairly easy for it to happen in a modern world
[00:13:39.340 --> 00:13:42.540]   especially if your social media posts are in your
[00:13:42.540 --> 00:13:46.780]   Your legal name if you have a legal name, that's John Smith
[00:13:46.780 --> 00:13:53.500]   and you know that you're on vacation and I can go to your town and if your profile says where you live and I can
[00:13:53.500 --> 00:13:54.580]   go to your
[00:13:54.580 --> 00:13:59.580]   County recorders I can find your address and I know there's a pretty good chance that that house is unoccupied
[00:13:59.580 --> 00:14:02.780]   If you're actively posting photos when you're on vacation
[00:14:02.780 --> 00:14:07.620]   So I think you can minimize output with regard to social media to your point
[00:14:07.620 --> 00:14:11.460]   posting on social media is is a
[00:14:11.980 --> 00:14:17.660]   Significant risk for most people because the post that seems innocuous to you
[00:14:17.660 --> 00:14:22.140]   May be the post that eventually undoes your whole career
[00:14:22.140 --> 00:14:27.780]   I think the best example that I like to point to this was is Justine Sacco many years ago
[00:14:27.780 --> 00:14:33.100]   She was the lady who was flying to Africa and she posted a poorly worded joke
[00:14:33.100 --> 00:14:38.260]   But she was just making a joke and it was intended to be a form of self-deprecating humor
[00:14:38.260 --> 00:14:42.180]   Where she was pointing out that she was privileged and yet the joke was badly
[00:14:42.180 --> 00:14:48.500]   Misinterpreted and when she was on an airline flight her entire life unraveled because of a post she made on Twitter and we see this
[00:14:48.500 --> 00:14:56.460]   again and again and again where somebody posts something and they word it poorly and yet it winds up backfiring on them and
[00:14:56.460 --> 00:14:59.340]   So one simple strategy is post less. I
[00:14:59.340 --> 00:15:04.420]   Personally am NOT particularly skilled at the use of humor or sarcasm
[00:15:04.860 --> 00:15:08.180]   Especially in 240 characters or 280 characters
[00:15:08.180 --> 00:15:12.420]   And so I've tried to cut pull back from that because I don't do well in that format
[00:15:12.420 --> 00:15:19.340]   And I think that in a modern world of social media can actually be a competitive advantage for you to have fewer posts
[00:15:19.340 --> 00:15:25.420]   Do you think if you go for a job? Do you think an employer is suspicious if you don't have a social media presence?
[00:15:25.420 --> 00:15:29.300]   So yes, yes, they might be suspicious
[00:15:30.060 --> 00:15:35.100]   But they will just have to live with that now if you do find that
[00:15:35.100 --> 00:15:38.560]   Your employers and you're trying to get a job are suspicious
[00:15:38.560 --> 00:15:44.420]   You might keep your Facebook account and your social media and just pare it down
[00:15:44.420 --> 00:15:52.140]   So let's go into my my number four point then which is to tone down social media. Everything that you've said is is correct
[00:15:52.140 --> 00:15:56.020]   What you post on social media can cost you your job
[00:15:56.620 --> 00:15:59.300]   It can cost you I believe here's a
[00:15:59.300 --> 00:16:01.940]   statistic
[00:16:01.940 --> 00:16:03.580]   31/3 of all
[00:16:03.580 --> 00:16:04.620]   divorce
[00:16:04.620 --> 00:16:11.220]   Hearings meant use the word Facebook in them. So there's all kinds of reasons why you might want to tone down the social media
[00:16:11.220 --> 00:16:16.600]   I'm not trying to ruin people's fun here. But what if you had a social media account and it wasn't your name
[00:16:16.600 --> 00:16:19.980]   It was your initials. What if you did not make it publicly available?
[00:16:19.980 --> 00:16:23.660]   What if you made sure that you were not tagged in your posts?
[00:16:23.660 --> 00:16:28.780]   What if you didn't use geolocation so people didn't know exactly where you were?
[00:16:28.780 --> 00:16:31.380]   what if you
[00:16:31.380 --> 00:16:33.540]   decided to
[00:16:33.540 --> 00:16:40.300]   Communicate with your followers or your friends outside of that social media on one of the private encrypted
[00:16:40.300 --> 00:16:44.220]   Messengers that we just discussed there are all kinds of ways to tone this down
[00:16:44.220 --> 00:16:46.060]   and
[00:16:46.060 --> 00:16:53.380]   Let's not forget that Facebook and a lot of these companies are using your images and they're using your text or AI and facial
[00:16:53.380 --> 00:16:57.980]   Recognition and all these kind of things that could be used later on in unsavory ways
[00:16:57.980 --> 00:17:01.580]   And of course we have all the stuff happening with kovat
[00:17:01.580 --> 00:17:05.340]   If you say X Y or Z that could absolutely
[00:17:05.340 --> 00:17:10.020]   There's all kinds of examples we could point to cost you your job cost you all kinds of things
[00:17:10.020 --> 00:17:12.060]   So tone down the social media
[00:17:12.060 --> 00:17:17.940]   I'm not I'm not saying to ruin your fun by doing that but there you can certainly do less
[00:17:17.940 --> 00:17:22.700]   You don't have to have your own photo on there. Just have a fun photo of a cat or something
[00:17:22.700 --> 00:17:26.500]   It doesn't have to be your face. You can interact with the people you want to interact with
[00:17:26.500 --> 00:17:28.300]   and
[00:17:28.300 --> 00:17:30.880]   But and say the witty things that you want to say
[00:17:30.880 --> 00:17:36.680]   But in a more pared down and thoughtful way and if you need examples of what can happen to you social media
[00:17:36.680 --> 00:17:42.580]   Just go to Amazon look at the first introduction of my book, which you can see for free. You'll get a list of many examples
[00:17:42.580 --> 00:17:48.140]   Tell us your favorite story. What's the one that usually is super surprising to people?
[00:17:48.900 --> 00:17:53.140]   Well, here's a here's a good example. So a guy I think he's a
[00:17:53.140 --> 00:17:59.140]   He was a he was a jeweler. I believe like a jeweler rapper kind of figure
[00:17:59.140 --> 00:18:05.060]   He was in Miami and he posts a photo of all of his bling spread out on his hotel bed
[00:18:05.060 --> 00:18:09.180]   well surprise surprise he goes out for the night and he comes back and his
[00:18:09.180 --> 00:18:13.180]   Room has been busted into and all of his stuff has been taken
[00:18:13.460 --> 00:18:18.300]   So of course thieves unsavory people saw that he posted it
[00:18:18.300 --> 00:18:20.460]   They knew he was in Miami because he said so
[00:18:20.460 --> 00:18:26.620]   so it was a matter of looking at the photos seeing where he might be calling around to a few hotels using a little bit of
[00:18:26.620 --> 00:18:29.380]   social engineering
[00:18:29.380 --> 00:18:35.680]   Discovering where he was and then breaking in there and and taking I think it was millions of dollars worth of his stuff
[00:18:35.680 --> 00:18:38.460]   so just one one small example of
[00:18:39.580 --> 00:18:44.340]   Of how you're not thinking about these things can come back to bite you pays to be thoughtful
[00:18:44.340 --> 00:18:46.500]   I think that my only comment is I
[00:18:46.500 --> 00:18:53.340]   I pared down my social media use when I got into privacy. I actually deleted a couple of my accounts
[00:18:53.340 --> 00:18:56.060]   And I regretted
[00:18:56.060 --> 00:18:58.340]   Isn't I regretted some of the deletions?
[00:18:58.340 --> 00:19:04.940]   But that was largely because I make money from my social media and it provides a valuable
[00:19:05.140 --> 00:19:08.820]   Way for me to keep in contact with my listeners. And so I
[00:19:08.820 --> 00:19:13.860]   Reestablished after fully deleting several of my accounts. I reestablished
[00:19:13.860 --> 00:19:21.360]   Several of my accounts and got them back because I realized that I needed them and I wanted them and I genuinely
[00:19:21.360 --> 00:19:26.340]   Appreciated them for their ability to influence my business
[00:19:26.340 --> 00:19:32.540]   And so my number one thing is if you're not making money with social media, then you should seriously consider just dumping it
[00:19:32.860 --> 00:19:36.260]   But I do understand kind of an in-between area
[00:19:36.260 --> 00:19:39.500]   it's hard to say that there is a
[00:19:39.500 --> 00:19:42.060]   It's hard to say that there is a positive
[00:19:42.060 --> 00:19:48.300]   Benefit for most people from social media the way that most people use it. My observation is that more people are angry
[00:19:48.300 --> 00:19:52.260]   They feel the the data is pretty clear that people are angry
[00:19:52.260 --> 00:19:59.020]   They're upset about the arguments that invade their life on a daily basis. Many people are upset. They feel less worthy
[00:19:59.020 --> 00:20:05.340]   They lack self-confidence because they see other people's continual flow of peak moments and they don't understand that
[00:20:05.340 --> 00:20:08.460]   Those are just peak moments even if you know it intellectually
[00:20:08.460 --> 00:20:13.460]   It feels like everyone else is sitting on a beach with a cocktail in their hand having a great old time with all their good
[00:20:13.460 --> 00:20:19.820]   Looking friends and here I am poor little old me dumpy old me sitting at home alone lonely right now. It's it's just not
[00:20:19.820 --> 00:20:28.780]   Overall productive unless you're using it to make money. One thing I've never regretted doing though is simply deleting past history
[00:20:29.780 --> 00:20:36.020]   On Twitter. This is the easiest I run tweet delete and I've been on Twitter since 2008
[00:20:36.020 --> 00:20:40.460]   But I have it set up various times where just automatically deletes all tweets older than a month
[00:20:40.460 --> 00:20:44.660]   You can set it where it's older than six months older than a year. I removed
[00:20:44.660 --> 00:20:51.420]   Over a decade worth of history from Facebook back when there was a Facebook tool that allowed me to do it fairly easily
[00:20:51.420 --> 00:20:55.140]   Facebook no longer allows that tool to work
[00:20:55.820 --> 00:20:58.820]   But they do offer more ability to archive things
[00:20:58.820 --> 00:21:06.220]   I've deleted a huge amount of history from all the other ones and that's always felt better because I
[00:21:06.220 --> 00:21:11.980]   Don't have any skeletons in my younger closet. I didn't say I didn't post racist stuff online
[00:21:11.980 --> 00:21:15.580]   I didn't do anything particularly scandalous and whatnot
[00:21:15.580 --> 00:21:22.540]   But still what you realize is that the person that I was is not the person that I am and while for my own records
[00:21:22.540 --> 00:21:27.620]   It's nice to sometimes go back and say hey, who am I now? And and what do I know now?
[00:21:27.620 --> 00:21:32.660]   I don't necessarily want to be judged by the person that I was back then
[00:21:32.660 --> 00:21:37.580]   So I think that even if you do have if you do have something that you're ashamed of in the past get rid of it
[00:21:37.580 --> 00:21:44.180]   Now before you're applying for something but even not I I just appreciate being able to be in the moment and not being so tied
[00:21:44.180 --> 00:21:52.100]   To my past. Do you have any great tools for people who want to kind of simplify their previous life without actually deleting accounts all the way
[00:21:53.100 --> 00:21:55.100]   Yeah, I don't know that
[00:21:55.100 --> 00:21:58.380]   Particular tools for social media come to mind
[00:21:58.380 --> 00:22:03.060]   I'm a big proponent of just making your own list and doing things manually
[00:22:03.060 --> 00:22:06.820]   But tweet delete that sounds like a that sounds like a good tool
[00:22:06.820 --> 00:22:11.340]   I was going to say when you when you say that you don't have skeletons in the closet
[00:22:11.340 --> 00:22:14.700]   I think that people who ten years ago said that
[00:22:14.700 --> 00:22:18.380]   There were two sexes right might these days
[00:22:19.020 --> 00:22:25.860]   Come to regret that and it might even be illegal in certain countries to say that by hate speech laws
[00:22:25.860 --> 00:22:29.240]   so you never know the the way that the
[00:22:29.240 --> 00:22:31.300]   winds
[00:22:31.300 --> 00:22:38.660]   Will be going and so you are you are correct and and right to want to keep control of that
[00:22:38.660 --> 00:22:43.380]   But I do want to speak to a demographic of your audience who is probably
[00:22:44.500 --> 00:22:50.780]   budding entrepreneurs people who are starting up businesses and when they go to YouTube when they when they listen to the podcast, they're told that
[00:22:50.780 --> 00:22:53.580]   they need to
[00:22:53.580 --> 00:22:59.420]   Be on all platforms and they need to be engaged with their audience and they need to be on Facebook and Instagram and all these
[00:22:59.420 --> 00:23:01.420]   Places I'm not saying that's not true
[00:23:01.420 --> 00:23:05.140]   But in my experience and I think this is something that you've done as well
[00:23:05.140 --> 00:23:10.260]   Joshua is if you have a very good product and you put it on enough places
[00:23:11.940 --> 00:23:17.580]   You will you will get a following and I think that some entrepreneurs go a little bit too far
[00:23:17.580 --> 00:23:23.420]   They think that they have to be everywhere that they have to reveal every part of their life that they have to treat their audience
[00:23:23.420 --> 00:23:25.180]   buddy, buddy
[00:23:25.180 --> 00:23:28.500]   But I know I know people who have done well by
[00:23:28.500 --> 00:23:34.460]   by not advertising by not being on social media in that kind of pronounced way and so
[00:23:34.460 --> 00:23:40.980]   You know, if you put your podcast on Spotify and Apple, that's most people right there. You put it on YouTube
[00:23:41.140 --> 00:23:47.060]   You put it you create a patreon account. You're probably doing pretty well. And if you have a good thing it it will get noticed
[00:23:47.060 --> 00:23:49.580]   and just a
[00:23:49.580 --> 00:23:53.340]   just some thoughts on the entrepreneurs out there who
[00:23:53.340 --> 00:23:59.420]   Are told that they need to be on social media. Maybe that's not the case. Let's switch to
[00:23:59.420 --> 00:24:03.420]   financial privacy you talked briefly about
[00:24:03.420 --> 00:24:09.420]   Spending privacy, which I think is some of the simplest areas to ways to be private
[00:24:10.020 --> 00:24:12.820]   first make the case as to why somebody
[00:24:12.820 --> 00:24:20.500]   it's always easy to say I've got nothing to hide and we are without question fully agreed that
[00:24:20.500 --> 00:24:25.020]   Saying we've got nothing to hide and actually having nothing to hide
[00:24:25.020 --> 00:24:30.680]   Are two different things right the the quote we were talking earlier. You said the quote
[00:24:30.680 --> 00:24:32.940]   Do you remember who to attribute it to?
[00:24:32.940 --> 00:24:34.500]   Cardinal Rishalu
[00:24:34.500 --> 00:24:40.500]   He says that give me six lines from the hand of the most honest of men and I will find something in them
[00:24:40.500 --> 00:24:42.500]   Which will hang him. Yeah, so
[00:24:42.500 --> 00:24:47.260]   Yeah, you're right that you don't know. Well, let's let's let's give one example
[00:24:47.260 --> 00:24:51.500]   There's a lot of Americans listening one in 20 of you are going to spend time in jail
[00:24:51.500 --> 00:24:55.300]   That's just how our justice system is in this country
[00:24:55.300 --> 00:25:01.300]   We incarcerate a lot of people or the United States incarcerates a lot of people and so you have your Christmas gathering here
[00:25:01.300 --> 00:25:02.580]   And you have 20 of your family in there
[00:25:02.580 --> 00:25:07.740]   one of them is going to or has spent time in jail and so the way it works is you might go to a
[00:25:07.740 --> 00:25:08.740]   jury and
[00:25:08.740 --> 00:25:16.860]   Maybe if the attorney and the judge are a little bit tech savvy they might for example want to subpoena your your Amazon
