
[00:00:00.000 --> 00:00:06.620]   Praise and possessions.
[00:04:15.640 --> 00:04:19.240]   that destroyed your soul?
[00:04:19.240 --> 00:04:25.400]   The very possessions that you preferred over me?
[00:04:25.400 --> 00:04:38.600]   Christ-replacing, Christ-belittling idols have no currency in heaven."
[00:04:38.600 --> 00:04:44.880]   And he will turn his face away and you will perish forever.
[00:04:44.880 --> 00:04:53.440]   What you just tried to do with your money, that ransom, pay.
[00:04:53.440 --> 00:05:03.280]   For the many, for the elect of God, the ransom is paid and you preferred not to be a part
[00:05:03.280 --> 00:05:04.720]   of it.
[00:05:04.720 --> 00:05:08.280]   You preferred not to be with Jesus.
[00:05:08.280 --> 00:05:13.160]   You preferred to make crystal clear you were not elect.
[00:05:13.160 --> 00:05:14.920]   That's what you meant to do.
[00:05:14.920 --> 00:05:18.480]   You're going to go with the alternative treasure.
[00:05:18.480 --> 00:05:24.120]   "Oh, my, don't do that."
[00:05:24.120 --> 00:05:31.200]   That's verses 36 and 37, and the intention is to clarify how the me and my gospel of
[00:05:31.200 --> 00:05:36.280]   verse 35 is more precious than things.
[00:05:36.280 --> 00:05:40.000]   Do you feel freedom welling up in your heart right now?
[00:05:40.000 --> 00:05:41.000]   I do.
[00:05:41.000 --> 00:05:42.360]   I mean, there are temptations.
[00:05:42.360 --> 00:05:46.120]   73, with stuff.
[00:05:46.120 --> 00:05:49.120]   I need all the help I can get to be free.
[00:05:49.120 --> 00:05:50.120]   Right?
[00:05:50.120 --> 00:05:51.800]   You do too.
[00:05:51.800 --> 00:05:59.640]   Free, free, free from the main idols in the world, possessions and praise.
[00:05:59.640 --> 00:06:01.480]   Let's look at praise.
[00:06:01.480 --> 00:06:06.720]   Verse 38, "For whoever is ashamed of me and my words."
[00:06:06.720 --> 00:06:11.800]   And notice again, me, me, my words.
[00:06:11.800 --> 00:06:14.120]   Verse 35 said, "Me and the gospel."
[00:06:14.120 --> 00:06:16.120]   Here it's me and my words.
[00:06:16.120 --> 00:06:24.280]   "Whoever is ashamed of me and my words in this adulterous and sinful generation, of
[00:06:24.280 --> 00:06:30.440]   him will the Son of Man be ashamed when he comes in the glory of his Father and with
[00:06:30.440 --> 00:06:33.040]   the holy angels."
[00:06:33.040 --> 00:06:39.200]   So Jesus is making clear there are two audiences for our lives.
[00:06:39.200 --> 00:06:44.520]   Number one, this adulterous and sinful generation.
[00:06:44.520 --> 00:06:50.800]   Adulterous, not mainly because they sleep around, but because they find more pleasure
[00:06:50.800 --> 00:06:57.000]   in God's creation than in God, and thus they commit adultery against God, which is
[00:06:57.000 --> 00:07:00.600]   the essence of sin.
[00:07:00.600 --> 00:07:03.880]   Adulterous and sinful generation.
[00:07:03.880 --> 00:07:11.720]   The other audience is three, the coming of the Son of Man or the Son of Man at his coming,
[00:07:11.720 --> 00:07:19.240]   his glorious Father, and millions, I'm going to say millions from Daniel 7, millions of
[00:07:19.240 --> 00:07:21.560]   holy angels.
[00:07:21.560 --> 00:07:27.240]   That's a lot of glorious beings to smile at you or turn away.
[00:07:27.240 --> 00:07:32.840]   And the question for us is, whose approval do we crave most?
[00:07:32.840 --> 00:07:39.160]   Whose praise are you most desperate not to lose?
[00:07:39.160 --> 00:07:44.240]   In whose presence do you fear most being shamed?
[00:07:44.240 --> 00:07:48.600]   Which relationship is most precious to you?
[00:07:48.600 --> 00:07:55.080]   Which brings us back now to verse 35, "Whoever would save his life will lose it."
[00:07:55.080 --> 00:08:03.960]   That is, whoever lives to save his reputation, to avoid shame, to save his acceptance with
[00:08:03.960 --> 00:08:12.760]   the people that matter to him, namely an adulterous and sinful generation, which points out the
[00:08:12.760 --> 00:08:19.160]   inanity of it all, will lose his respectable and popular life.
[00:08:19.160 --> 00:08:26.320]   The Son of Man, the Son of Man, the all-glorious Father, the millions of holy angels will,
[00:08:26.320 --> 00:08:31.480]   in one terrifying moment, turn their face away in eternal shame.
[00:08:31.480 --> 00:08:36.120]   If you have tried to save, "I've got to save my reputation.
[00:08:36.120 --> 00:08:38.520]   I've got to save my acceptance.
[00:08:38.520 --> 00:08:44.720]   I've got to save how cool I am in the lives of everybody," you're going to die.
[00:08:44.720 --> 00:08:50.720]   And millions of angels, the noblest creatures in the universe under God, will turn their
[00:08:50.720 --> 00:08:53.120]   face away.
[00:08:53.120 --> 00:08:59.080]   But the second half of verse 35, "Whoever loses his life on account of me and the gospels
[00:08:59.080 --> 00:09:00.080]   will save it."
[00:09:00.080 --> 00:09:08.280]   In other words, whoever experiences me and my suffering and my rejection, my death, my
[00:09:08.280 --> 00:09:15.160]   shameful crucifixion, my resurrection, whoever experiences all that is more precious than
[00:09:15.160 --> 00:09:26.480]   the respectability of popularity, more precious than being accepted, being admired by an adulterous
[00:09:26.480 --> 00:09:32.840]   and sinful generation, you're going to live forever under the smile of the Son of Man
[00:09:32.840 --> 00:09:36.260]   and his Father and millions of angels.
[00:09:36.260 --> 00:09:38.640]   So here's the sum of the matter.
[00:09:38.640 --> 00:09:45.880]   Mark 8, 31 to 38 is first news, the greatest news in the world.
[00:09:45.880 --> 00:09:52.160]   Verse 31, "The Son of Man must suffer many things.
[00:09:52.160 --> 00:09:55.080]   He must be rejected.
[00:09:55.080 --> 00:09:57.600]   He must be killed.
[00:09:57.600 --> 00:10:00.600]   And he must rise again.
[00:10:00.600 --> 00:10:09.080]   The merciful, sovereign, all-controlling God planned it, prophesied it, performed it, suffering,
[00:10:09.080 --> 00:10:14.500]   rejection, death, resurrection of the Son of Man.
[00:10:14.500 --> 00:10:20.600]   And therefore, it's not random, it's gospel.
[00:10:20.600 --> 00:10:22.040]   It's ransom.
[00:10:22.040 --> 00:10:23.800]   It's grace.
[00:10:23.800 --> 00:10:30.200]   The way in to the gospel so that you not only experience the suffering, the rejection, the
[00:10:30.200 --> 00:10:38.040]   death, but the resurrection unto eternal joy with Jesus, the way into that is to experience
[00:10:38.040 --> 00:10:45.580]   the birth of a new self, a self that looks at the suffering, the rejection, the killing,
[00:10:45.580 --> 00:10:55.920]   the rising of Jesus, and then looks at possessions and looks at praise and says, "Possession-loving
[00:10:55.920 --> 00:11:02.840]   self, praise-loving self, I deny you.
[00:11:02.840 --> 00:11:04.000]   I kill you.
[00:11:04.000 --> 00:11:05.320]   I reckon you dead.
[00:11:05.320 --> 00:11:07.760]   You have no dominion in my life."
[00:11:07.760 --> 00:11:10.040]   That's a new man.
[00:11:10.040 --> 00:11:11.040]   That's a miracle.
[00:11:11.040 --> 00:11:13.480]   That's salvation.
[00:11:13.480 --> 00:11:21.360]   And if it costs me my life to deny you, you possession-loving self, you praise-loving
[00:11:21.360 --> 00:11:29.640]   self, if it costs me my life to deny you, I'll die gladly to be with Jesus forever.
[00:11:29.640 --> 00:11:31.120]   That's the point of this text.
[00:11:31.120 --> 00:11:32.120]   Amen.
[00:11:32.120 --> 00:11:36.080]   Dying to self-praise and dying to a love of possessions.
[00:11:36.080 --> 00:11:40.400]   You can listen to or watch the entire 2019 Gospel Coalition National Conference message
[00:11:40.400 --> 00:11:46.400]   online at DesiringGod.org and search for its title, "The Golden Stitches of Sovereignty,"
[00:11:46.400 --> 00:11:50.000]   preached a little over a year ago on April 1st, 2019.
[00:11:50.000 --> 00:11:51.000]   Thanks for listening today.
[00:11:51.000 --> 00:11:55.160]   If you haven't done so, you can get new episodes as soon as they launch by subscribing to Ask
[00:11:55.160 --> 00:11:59.240]   Pastor John in your favorite podcast app in Spotify or by subscribing to DG's YouTube
[00:11:59.240 --> 00:12:00.240]   channel.
[00:12:00.240 --> 00:12:03.800]   And to find other episodes in our archive or to submit a question to us of your own,
[00:12:03.800 --> 00:12:09.240]   go online to DesiringGod.org/AskPastorJohn.
[00:12:09.240 --> 00:12:11.280]   Well is God humble?
[00:12:11.280 --> 00:12:13.240]   Is God humble?
[00:12:13.240 --> 00:12:15.200]   It seems like such a simple question, doesn't it?
[00:12:15.200 --> 00:12:16.200]   It's not.
[00:12:16.200 --> 00:12:20.360]   It's actually a really great question, exactly the kind of question we have come to expect
[00:12:20.360 --> 00:12:22.920]   from our perceptive listeners out there.
[00:12:22.920 --> 00:12:23.920]   Keep them coming.
[00:12:23.920 --> 00:12:26.200]   Thank you for sending in great questions like this one.
[00:12:26.200 --> 00:12:27.200]   Is God humble?
[00:12:27.200 --> 00:12:28.640]   I'm your host Tony Rehnke.
[00:12:28.640 --> 00:12:29.640]   That's next time on Friday.
[00:12:29.640 --> 00:12:30.160]   We'll see you then.
[00:12:30.160 --> 00:12:31.160]   .
[00:12:31.160 --> 00:12:32.160]   .
[00:12:32.160 --> 00:12:33.160]   .
[00:12:33.160 --> 00:12:34.160]   .
[00:12:34.160 --> 00:12:35.160]   .
[00:12:36.160 --> 00:12:37.160]   .
[00:12:37.160 --> 00:12:47.160]   [BLANK_AUDIO]

