
[00:00:00.000 --> 00:00:05.800]   The holidays start here at Ralph's with a variety of options to celebrate traditions old and new.
[00:10:19.400 --> 00:10:26.400]   And it's not only because you face fewer distractions, but it's actually the act of writing longhand,
[00:10:26.400 --> 00:10:30.400]   especially if someone has learned it and has learned how to be competent and fluid in it.
[00:10:30.400 --> 00:10:39.400]   The act of writing with pen and paper allows your thoughts to be better, more clear, probably because you're slowed down.
[00:10:39.400 --> 00:10:48.400]   I could cite even today a couple of authors that I know of who are very skilled, perfectly competent typists, etc.,
[00:10:48.400 --> 00:10:59.400]   who choose to write their books with pen and paper in the old-fashioned way rather than writing directly into a word processor.
[00:10:59.400 --> 00:11:07.400]   I don't think that's the norm, to be clear. I think that most authors today use a word processor, use keyboarding to enter their text
[00:11:07.400 --> 00:11:12.400]   or use voice dictation because of the superior speed, because of the better editing ability, etc.
[00:11:12.400 --> 00:11:17.400]   But throughout history, most of the great works of literature have been written with pen and paper.
[00:11:17.400 --> 00:11:25.400]   And the process of creating something with pen and paper is quite slow compared to keyboarding,
[00:11:25.400 --> 00:11:34.400]   which allows you to spend more time crafting your thoughts, making them clearer, using more elegant prose,
[00:11:34.400 --> 00:11:39.400]   driving right to the heart of the matter, being more concise with your expression.
[00:11:39.400 --> 00:11:42.400]   All of these are benefits of writing with a pen and paper.
[00:11:42.400 --> 00:11:50.400]   And so even today I know of some best-selling authors, again, who still create their first draft by hand
[00:11:50.400 --> 00:11:54.400]   because it slows them down and allows them to create better ideas.
[00:11:54.400 --> 00:11:59.400]   I think this is something that as we teach writing to our children we should keep in mind,
[00:11:59.400 --> 00:12:07.400]   that it is very useful for our children to be forced to slow down and consider their thinking.
[00:12:07.400 --> 00:12:15.400]   Now, quick comment on the topic of cursive. I myself do think that cursive should be taught and that it is important.
[00:12:15.400 --> 00:12:23.400]   I can't imagine, when I write, I always write in cursive. It's a far superior technology to manuscript printing.
[00:12:23.400 --> 00:12:29.400]   There is an excellent argument to be made, however, that it's an outdated technology.
[00:12:29.400 --> 00:12:31.400]   And I've gone back and forth on this.
[00:12:31.400 --> 00:12:37.400]   Originally, when I started homeschooling our children, my wife and I decided that we were just going to teach cursive first.
[00:12:37.400 --> 00:12:43.400]   We came across some people who recommended this and the articles were persuasive to me, so we just started with cursive.
[00:12:43.400 --> 00:12:47.400]   We didn't teach our children handwriting. We started with cursive.
[00:12:47.400 --> 00:12:58.400]   Unfortunately, what we found in the fullness of time was that, at least my eldest, who is male, he just printed anyway.
[00:12:58.400 --> 00:13:07.400]   And what happened is, because he was never taught to print, he just printed himself based upon reading the letters and observing them.
[00:13:07.400 --> 00:13:11.400]   So his stroke order was all wrong, letters were poorly formed, etc.
[00:13:11.400 --> 00:13:21.400]   So for a time I just tossed the cursive into the back of the cupboard and we went through and tried to instruct him in some remedial letter formation,
[00:13:21.400 --> 00:13:25.400]   so at least you can get stroke order a little bit better, etc.
[00:13:25.400 --> 00:13:30.400]   That particular child, also being a boy, suffers from pencil allergies like many boys seem to.
[00:13:30.400 --> 00:13:36.400]   I don't think there's anything fundamentally wrong. I've done some tests and whatnot and everything seems fine.
[00:13:36.400 --> 00:13:39.400]   But still, I just said, "No, there's no point in forcing this too much."
[00:13:39.400 --> 00:13:48.400]   But it's actually a weakness right now in our homeschool that I intend to go back and we're going to go back and really become skilled in writing in cursive.
[00:13:48.400 --> 00:13:54.400]   And it is a fundamentally important technology to make writing smooth and easy.
[00:13:54.400 --> 00:14:03.400]   And it has the benefit of being faster than printing and it may also have these benefits that can impact the brain and brain power.
[00:14:03.400 --> 00:14:08.400]   And to be able to sit down and comfortably and smoothly write an essay with few mistakes,
[00:14:08.400 --> 00:14:15.400]   I just think it's easier to do that when you're writing by hand and it builds a skill set that is quite useful.
[00:14:15.400 --> 00:14:22.400]   Now, continuing to art, I think of this kind of writing as a form of art.
[00:14:22.400 --> 00:14:28.400]   And I think that art is something else that we should focus on as a way of enhancing cognitive ability.
[00:14:28.400 --> 00:14:32.400]   There are two ways to think about art or using art.
[00:14:32.400 --> 00:14:39.400]   The first is in terms of appreciating art, taking it in, viewing art or engaging with art as a consumer.
[00:14:39.400 --> 00:14:46.400]   And then there is the expression of producing art, drawing a picture, making a painting, creating something with your hands.
[00:14:46.400 --> 00:14:58.400]   Both aspects of art are useful and while one may be more effective at making you "smarter", they're still both useful.
[00:14:58.400 --> 00:15:05.400]   Let me read to you an article here that I found on a website called bebrainfit.com.
[00:15:05.400 --> 00:15:09.400]   It's called "The Mental Health Benefits of Art Are for Everyone".
[00:15:09.400 --> 00:15:15.400]   As always, you will have to judge the claims, but it's useful to know about them.
[00:15:15.400 --> 00:15:23.400]   "Creating art relieves stress, encourages creative thinking, increases brain plasticity, and imparts other mental health benefits.
[00:15:23.400 --> 00:15:27.400]   And anyone can do art."
[00:15:27.400 --> 00:15:33.400]   "Art washes from the soul the dust of everyday life." Pablo Picasso.
[00:15:33.400 --> 00:15:39.400]   There are a lot of misconceptions about what constitutes art and its usefulness as a therapeutic tool.
[00:15:39.400 --> 00:15:44.400]   Some think that you have to create paintings or sculptures to be considered a real artist.
[00:15:44.400 --> 00:15:48.400]   Others believe that you are either born with artistic talent or not.
[00:15:48.400 --> 00:15:56.400]   Many who don't consider themselves to be gifted artistically feel that there is no point in creating art since they won't be satisfied with the results.
[00:15:56.400 --> 00:16:02.400]   Another myth is that you have to work with an art therapist to experience any emotional benefits from creating art.
[00:16:02.400 --> 00:16:09.400]   But we are all born with an innate desire to express ourselves and art encompasses a wider range of activities than you might imagine.
[00:16:09.400 --> 00:16:16.400]   Here are some of the best ways in which creative expression can benefit mental health, making you a happier, healthier person.
[00:16:16.400 --> 00:16:19.400]   How Creating Art Relieves Stress
[00:16:19.400 --> 00:16:29.400]   Activities like painting, sculpting, drawing, and photography are relaxing and rewarding hobbies that can lower your stress level and leave you feeling mentally clear and calm.
[00:16:29.400 --> 00:16:34.400]   Creating art provides a distraction, giving your brain a break from your usual thoughts.
[00:16:34.400 --> 00:16:40.400]   The average person has roughly 70,000 thoughts per day and 90% of them are exactly the same day in and day out.
[00:16:40.400 --> 00:16:48.400]   When you are totally immersed in a creative endeavor, you may find yourself in what's known as "the zone" or a state of "flow".
[00:16:48.400 --> 00:16:54.400]   This meditative-like state focuses your mind and temporarily pushes aside all your worries.
[00:16:54.400 --> 00:17:09.400]   Hundreds of years ago, Leonardo da Vinci noticed that "painting embraces all the ten functions of the eye, that is to say, darkness, light, body and color, shape and location, distance and closeness, motion and rest."
[00:17:09.400 --> 00:17:18.400]   Creating art trains you to concentrate on details and pay more attention to your environment. In this way, it acts like meditation.
[00:17:18.400 --> 00:17:33.400]   A popular art trend for stress relief is adult coloring books.
[00:17:33.400 --> 00:17:35.400]   Art encourages creative thinking.
[00:17:35.400 --> 00:17:47.400]   Lawrence Katz, PhD, is an internationally recognized pioneer in neuron regeneration research and author of "Keep Your Brain Alive! 83 Neurobic Exercises to Help Prevent Memory Loss and Increase Mental Fitness."
[00:17:47.400 --> 00:17:56.400]   He found that mental decline was due mainly to the loss of communication between brain cells, not from the death of brain cells themselves.
[00:17:56.400 --> 00:18:03.400]   Dr. Katz coined the phrase "neurobics" to describe brain exercises that use the senses in new and novel ways.
[00:18:03.400 --> 00:18:10.400]   Creating art certainly fits this definition. It encourages creative thinking and lets you come up with your own unique solutions.
[00:18:10.400 --> 00:18:15.400]   Out-of-the-box thinking also stimulates the brain to grow new neurons.
[00:18:15.400 --> 00:18:18.400]   Creative thinking – a whole brain activity
[00:18:18.400 --> 00:18:23.400]   Contrary to popular belief, creative thinking does not mean using just the right side of your brain.
[00:18:23.400 --> 00:18:28.400]   What it does do, in fact, is get both hemispheres of your brain communicating with each other.
[00:18:28.400 --> 00:18:37.400]   The concept of left brain/right brain dominance never had a strong foundation in science in the first place, and now this theory has been totally debunked.
[00:18:37.400 --> 00:18:43.400]   It also promotes the stereotype that you can't be both analytical and creative, which is obviously not true.
[00:18:43.400 --> 00:18:51.400]   Some of the greatest minds of all time, including Leonardo da Vinci and Albert Einstein, were simultaneously analytical and creative.
[00:18:51.400 --> 00:19:01.400]   The most complicated functions that humans perform, such as thinking creatively, learning a language, or playing or listening to music, all require whole brain thinking.
[00:19:01.400 --> 00:19:07.400]   It goes on to talk about how art boosts self-esteem and a sense of accomplishment.
[00:19:07.400 --> 00:19:12.400]   And then we talk about this, how art affects the brain, increased connectivity and plasticity.
[00:19:12.400 --> 00:19:19.400]   Every time you engage in a new or complex activity, your brain creates new connections between brain cells.
[00:19:19.400 --> 00:19:26.400]   Your brain's ability to grow connections and change throughout your lifetime is called brain plasticity, or neuroplasticity.
[00:19:26.400 --> 00:19:30.400]   Creating art stimulates communication between various parts of the brain.
[00:19:30.400 --> 00:19:38.400]   In this way, creating art has been proven to increase psychological and emotional resilience, making you more resistant to stress.
[00:19:38.400 --> 00:19:44.400]   It's thought that intelligence depends more on the number of brain connections than the size of the brain.
[00:19:44.400 --> 00:19:53.400]   Albert Einstein's brain was on the small side of average, but it did have an unusually high connectivity between the right and left hemispheres.
[00:19:53.400 --> 00:19:56.400]   How art makes children better students for life
[00:19:56.400 --> 00:20:02.400]   Educators and parents alike have long suspected that music and arts programs make for overall better students.
[00:20:02.400 --> 00:20:06.400]   Now, with neuroimaging, science can back this up.
[00:20:06.400 --> 00:20:10.400]   Children with musical training perform better in math, language, and reading.
[00:20:10.400 --> 00:20:14.400]   Early music lessons enhance brain plasticity and connectivity.
[00:20:14.400 --> 00:20:22.400]   There's evidence that the brain-enhancing benefits of music lessons received during childhood can follow through into adulthood, lasting a lifetime.
[00:20:22.400 --> 00:20:26.400]   The benefit of visual art programs are equally impressive.
[00:20:26.400 --> 00:20:31.400]   Art lessons increase brain plasticity, fluid intelligence, IQ, and attention.
[00:20:31.400 --> 00:20:35.400]   They improve overall behavior and reduce impulsiveness.
[00:20:35.400 --> 00:20:41.400]   Etiko goes on and talks briefly about budget cuts in art programs, and then we read this section here.
[00:20:41.400 --> 00:20:45.400]   Viewing art increases empathy, tolerance, and feelings of love.
[00:20:45.400 --> 00:20:52.400]   A study of over 10,000 students found that a one-hour trip to an art museum changed the way they thought and felt.
[00:20:52.400 --> 00:20:56.400]   Students who visited a museum not only showed improved critical thinking skills,
[00:20:56.400 --> 00:21:03.400]   they also exhibited greater empathy regarding how people lived in the past and expressed greater tolerance towards people different than themselves.
[00:21:03.400 --> 00:21:08.400]   Professor Samir Zeki, a neurobiologist at the University College London,
[00:21:08.400 --> 00:21:13.400]   discovered that simply the act of viewing art gives pleasure, much like falling in love.
[00:21:13.400 --> 00:21:22.400]   Brain scans revealed that looking at works of art triggers a surge of dopamine in the same area of the brain that registers romantic love.
[00:21:22.400 --> 00:21:30.400]   And then skipping down, one other last interesting comment on art and dementia patients.
[00:21:30.400 --> 00:21:35.400]   Art enhances cognitive abilities and memory, even for people with serious brain disorders.
[00:21:35.400 --> 00:21:40.400]   Dementia is mainly thought of as a memory loss problem, but patients also experience other symptoms,
[00:21:40.400 --> 00:21:45.400]   such as agitation, aggression, anxiety, depression, and insomnia.
[00:21:45.400 --> 00:21:49.400]   Drug treatment for dementia symptoms is generally not very successful.
[00:21:49.400 --> 00:21:54.400]   When dementia patients are encouraged to create visual art, they derive obvious pleasure from it.
[00:21:54.400 --> 00:22:00.400]   It improves their social behavior and self-esteem and reduces psychiatric symptoms.
[00:22:00.400 --> 00:22:05.400]   Goes on, talks about other expressions of art and art therapy.
[00:22:05.400 --> 00:22:07.400]   But I think that gives a good enough overview.
[00:22:07.400 --> 00:22:10.400]   Basically, art is good, art is useful.
[00:22:10.400 --> 00:22:16.400]   And art is useful both in terms of consuming it as well as in creating it.
[00:22:16.400 --> 00:22:18.400]   And both have their place and both are useful.
[00:22:18.400 --> 00:22:22.400]   There probably is a really good symbiotic relationship between the two.
[00:22:22.400 --> 00:22:25.400]   That the more you consume art, the more you want to create it.
[00:22:25.400 --> 00:22:30.400]   And the more you create art, the more of an avid consumer of art you wind up being.
[00:22:30.400 --> 00:22:33.400]   And so we can start this cycle anywhere.
[00:22:33.400 --> 00:22:40.400]   Now, I myself, unfortunately, was prey to the idea when I was younger that I was not very creative.
[00:22:40.400 --> 00:22:43.400]   I never learned how to draw, I never took an art class.
[00:22:43.400 --> 00:22:49.400]   And for a long period of my life, I thought to myself, "Oh, I'm just not very creative."
[00:22:49.400 --> 00:22:53.400]   Since then, I have come to a very different belief.
[00:22:53.400 --> 00:22:56.400]   I've come to the belief that I am actually exceedingly creative.
[00:22:56.400 --> 00:23:01.400]   I'm very creative, just like virtually everyone.
[00:23:01.400 --> 00:23:05.400]   If we don't hammer it out of people and say, "You're not creative," children are all creative.
[00:23:05.400 --> 00:23:08.400]   They're creative in different ways, certainly, but children are generally all creative.
[00:23:08.400 --> 00:23:11.400]   You and I are certainly creative.
[00:23:11.400 --> 00:23:15.400]   What I never had was I never had a lot of training regarding art.
[00:23:15.400 --> 00:23:19.400]   I never had a lot of art appreciation, and I never had a lot of training.
[00:23:19.400 --> 00:23:23.400]   Now, of course, I had one college class, art appreciation, and that helped something.
[00:23:23.400 --> 00:23:31.400]   But I think that art appreciation is something that we can and should facilitate into our children's lives more and more.
[00:23:31.400 --> 00:23:33.400]   A couple of thoughts on how to do this.
[00:23:33.400 --> 00:23:41.400]   Number one, in the Charlotte Mason tradition of homeschooling, we do this in the form of what's called picture study.
[00:23:41.400 --> 00:23:46.400]   It's a very simple process, but we basically show our children beautiful pictures and talk about them.
[00:23:46.400 --> 00:23:49.400]   Now for a limited time at Del Amo Motorsports of Orange County.
[00:23:49.400 --> 00:23:56.400]   Get financing as low as 1.99% for 36 months on Select 2023 Can-Am Maverick X3.
[00:23:56.400 --> 00:24:02.400]   Considering the Mavericks taking home trophies everywhere from King of the Hammers to Uncle Ned's Backcountry Rally,
[00:24:02.400 --> 00:24:07.400]   you're not going to find a better deal on front row seats to a championship winner.
[00:24:07.400 --> 00:24:10.400]   Don't lose out on your chance to get a Maverick X3.
[00:24:10.400 --> 00:24:14.400]   Visit Del Amo Motorsports of Orange County in Santa Ana and get yours.
[00:24:14.400 --> 00:24:17.400]   Offer in soon. See dealer for details.
[00:24:17.400 --> 00:24:19.400]   This is a technique that anybody can integrate.
[00:24:19.400 --> 00:24:27.400]   And to teach you about it, I'm going to play a portion of the audio from a lady that I respect and admire hugely,
[00:24:27.400 --> 00:24:33.400]   named Sonia Schaefer, who has a company named simply Charlotte Mason.
[00:24:33.400 --> 00:24:38.400]   And this is from an instructional video that she has on YouTube called "How to Do Picture Study."
[00:24:38.400 --> 00:24:42.400]   And just sit back and enjoy the instructions so that you can do this with your own children.
[00:24:42.400 --> 00:24:44.400]   Let's walk through a picture study.
[00:24:44.400 --> 00:25:01.400]   Picture study is one of the easiest things to add to your homeschool and one of the most enriching.
[00:25:01.400 --> 00:25:04.400]   Let's walk through how to do it.
[00:25:04.400 --> 00:25:12.400]   You'll need to select an artist and have a good-sized picture by that artist for your picture study lesson.
[00:25:12.400 --> 00:25:17.400]   All right, let's do a picture study, and then we'll walk through the steps that we used.
[00:25:17.400 --> 00:25:23.400]   For this picture study, we'll use "The Milkmaid" by Johannes Vermeer.
[00:25:23.400 --> 00:25:25.400]   You ready? All right.
[00:25:25.400 --> 00:25:30.400]   Look at the picture until you can close your eyes and see it in detail.
[00:25:30.400 --> 00:25:35.400]   If one part is a bit fuzzy, open your eyes and look at that part again.
[00:25:35.400 --> 00:25:38.400]   Take as long as you need.
[00:25:38.400 --> 00:25:42.400]   Now, describe the picture without looking.
[00:25:42.400 --> 00:25:46.400]   Try to start big and then work your way down to the details.
[00:25:46.400 --> 00:25:51.400]   Go ahead, pause here, and try to describe it aloud.
[00:25:51.400 --> 00:25:55.400]   When you're done with your description, look at the picture again
[00:25:55.400 --> 00:26:01.400]   to clarify or confirm any parts that you were uncertain about or couldn't remember clearly.
[00:26:01.400 --> 00:26:10.400]   In this picture, we gaze upon a servant carefully pouring milk from a pitcher into a ceramic vessel.
[00:26:10.400 --> 00:26:17.400]   The richly colored apron she's wearing was, ironically, very costly to paint
