
[00:00:00.000 --> 00:00:04.660]   Elite status with airlines and hotels. Who needs it, right? Well, six months ago,
[00:04:54.380 --> 00:05:00.080]   really slashed the earnings of their most inexpensive fare class in terms of number of points
[00:05:00.080 --> 00:05:05.880]   you'll earn. Flight credits you get from canceled reservations or refunded flights are only going to last
[00:05:05.880 --> 00:05:12.900]   one year or even six months with those fares. And so lots of changes. So having A-list will actually avoid a lot of
[00:05:12.900 --> 00:05:18.460]   these. You'll get to pick seats, change your flights, early boarding, free checked bags and all that stuff. So I'm actually
[00:05:18.460 --> 00:05:23.980]   really happy that I ended up with this status this year because once these changes go into effect,
[00:05:23.980 --> 00:05:27.800]   this will add some value and who knows where we'll be traveling on Southwest later.
[00:05:27.800 --> 00:05:34.040]   That said, it's kind of what made Southwest. And now Southwest just feels like every other airline.
[00:05:34.040 --> 00:05:39.160]   Every other airline now made all of their flights cancelable and refundable into credit
[00:05:39.160 --> 00:05:43.700]   that last one year. All the other airlines have no free checked bags unless you have a credit card
[00:05:43.700 --> 00:05:49.180]   status and they have basic economy and all these seat rules. So not sure what would make Southwest
[00:05:49.180 --> 00:05:56.820]   any different or preferable other than maybe a slight preference for less mechanical issues because
[00:05:56.820 --> 00:06:01.520]   they seem to only operate one or two airline types. So I know that is one of the reasons they've done
[00:06:01.520 --> 00:06:06.180]   that. But for the most part, sometimes if we're going on a trip during ski season, we think Southwest's
[00:06:06.180 --> 00:06:09.580]   great. We get all these free checked bags and we're going to be needing them. Going forward,
[00:06:09.580 --> 00:06:15.000]   that's just not going to be the case. So a little bit of a segue, but that was how I ended up with
[00:06:15.000 --> 00:06:20.680]   Southwest A-list status this year. I also ended up with United Silver. And based in the Bay Area,
[00:06:20.680 --> 00:06:28.280]   United is probably the best airline for coverage in terms of direct flights from SFO. And I don't know
[00:06:28.280 --> 00:06:34.240]   how it happened because I don't fly that much, but I just barely made it into enough premier qualifying
[00:06:34.240 --> 00:06:40.340]   points to end up with silver, which is their lowest tier of status, gets you almost no benefits other
[00:06:40.340 --> 00:06:45.300]   than a checked bag. And you can pick preferred seats. You can't even pick economy plus seats with
[00:06:45.300 --> 00:06:50.780]   extra leg room until 24 hours before departure, at which point they are almost always taken or only
[00:06:50.780 --> 00:06:56.800]   middle seats left. And so I think the reason I got there was that I was right towards the end of the
[00:06:56.800 --> 00:07:03.860]   year. And I was close enough that if I paid, it was like $150 to upgrade a flight from economy to
[00:07:03.860 --> 00:07:08.080]   business for a flight where business meant nothing, like flying down to Los Angeles from San Francisco,
[00:07:08.080 --> 00:07:12.100]   but that pushed me over the edge. And I figured depending on how much we fly United this year
[00:07:12.100 --> 00:07:16.140]   and whether we're checking bags and traveling as a family and wanting to pick good seats, probably worth
[00:07:16.140 --> 00:07:20.980]   it for a couple hundred dollars, especially when that hundred dollars comes with some benefit
[00:07:20.980 --> 00:07:26.920]   and additional miles crude. So probably $80 or something. And now, sure enough, we are flying
[00:07:26.920 --> 00:07:31.960]   United in the near future and we'll be checking a few bags and that will probably have ended up saving
[00:07:31.960 --> 00:07:38.600]   us more money than it cost. Next, I ended up with Delta status. Shout out to Josh, who I met on our
[00:07:38.600 --> 00:07:45.080]   Iceland trip. He was trying to strategize his way to get to Diamond on Delta. And I spent a lot of time
[00:07:45.080 --> 00:07:49.760]   brainstorming some ideas and giving him some tools that he could probably use to make that happen.
[00:07:50.040 --> 00:07:55.940]   And as a thank you, which was not necessary at all, he used one of his Delta medallion benefits
[00:07:55.940 --> 00:08:01.480]   from hitting Diamond to gift me gold status. And so I'm going to do my best to put that to good work.
[00:08:01.480 --> 00:08:05.940]   I mentioned Josh, who I met on Iceland. We met so many awesome people on Iceland that I'm sure I will
[00:08:05.940 --> 00:08:11.700]   be friends with for a very long time. If you want to go on a trip and meet interesting people that are
[00:08:11.700 --> 00:08:19.100]   also listeners of this show, highly recommend checking it out. We have, I think, two or three spots left on the
[00:08:19.100 --> 00:08:24.400]   second Iceland trip this year, leaving September 28th. So you can go to all the hacks.com slash
[00:08:24.400 --> 00:08:28.280]   Iceland. If you want to have an experience like that, it was absolutely incredible. One of the best
[00:08:28.280 --> 00:08:34.620]   trips I've ever taken. Then next there was Alaska MVP. Now I did a status match from built and that
[00:08:34.620 --> 00:08:39.980]   expired in January. So I went into the year with that status. But if you asked me a couple of weeks
[00:08:39.980 --> 00:08:45.520]   ago, I would have said, didn't matter. I don't really fly Alaska a lot. And then somehow just in the
[00:08:45.520 --> 00:08:50.680]   first two and a half months of the year, almost every trip I've needed to take, I've been on Alaska
[00:08:50.680 --> 00:08:57.220]   and I'm already halfway back to MVP status on Alaska. And so just to make sure that I had enough points
[00:08:57.220 --> 00:09:02.920]   to get there, because for whatever reason, it seems like I'm flying Alaska a lot. And I already have some
[00:09:02.920 --> 00:09:08.320]   flights in later in the year on Alaska. I ended up picking up the Alaska business card, not only because
[00:09:08.320 --> 00:09:14.040]   it had a great signup bonus of 75,000 points, you get a companion fare. So for $99, I think you get
[00:09:14.040 --> 00:09:20.640]   a buy one, get one. But you can earn up to 30,000 elite qualifying miles with spend. So that'll make
[00:09:20.640 --> 00:09:26.780]   sure that I get over the hurdle to get back to MVP, maybe even MVP gold, which based on how much I'm
[00:09:26.780 --> 00:09:33.040]   flying Alaska might actually be the primary airline I fly over United. Built also has a promo that I didn't
[00:09:33.040 --> 00:09:38.260]   realize was recurring, where you can status match to Air France and get gold status there. I thought
[00:09:38.260 --> 00:09:42.460]   it was a one time thing. But the more I read about it, it seems like you can do it every single year.
[00:09:42.460 --> 00:09:47.420]   But until I book a flight on Air France, it doesn't seem like there's any benefit to doing this,
[00:09:47.420 --> 00:09:51.480]   especially if I have Delta status, you know, the Sky Team status from Air France wouldn't matter
[00:09:51.480 --> 00:09:57.120]   either. Funny enough, the one airline that I probably haven't flown in the last five years,
[00:09:57.120 --> 00:10:00.900]   which is American, and obviously, there's plenty of airlines around the world that I haven't flown,
[00:10:00.900 --> 00:10:06.880]   but the one US based mainstream airline that I haven't flown is the one I'm most intrigued about
[00:10:06.880 --> 00:10:12.200]   trying to earn their status. And for people who don't know, American implemented this loyalty point
[00:10:12.200 --> 00:10:17.760]   system where you can earn almost every tier of their status except for their kind of coveted hidden
[00:10:17.760 --> 00:10:23.780]   invite only concierge key just by spending on a credit card, or earning points from shopping portals,
[00:10:23.780 --> 00:10:29.460]   booking hotels, all that stuff. You don't actually have to fly the airline at all. And I thought going into
[00:10:29.460 --> 00:10:34.200]   the year once I was booking these Alaska flights that it might be the right path because almost
[00:10:34.200 --> 00:10:39.280]   every benefit of Alaska elite status is also given to people with American elite status.
[00:10:39.280 --> 00:10:45.460]   And so I ended up also getting the American business card this year, they do have this really interesting
[00:10:45.460 --> 00:10:50.920]   promo going on this year, where best I understand, at least on the business card, when you add an
[00:10:50.920 --> 00:10:57.080]   authorized employee card, whoever the employee is earns loyalty points, and the main cardholder does.
[00:10:57.260 --> 00:11:03.540]   So if I were to use that card and try to earn loyalty points, using an employee card for my wife, we would
[00:11:03.540 --> 00:11:09.380]   both end up with American status. There are milestone rewards along the way. So we both get those milestone
[00:11:09.380 --> 00:11:14.400]   rewards. For some reason, that makes no sense to me. And I'm going to come back to this at the end of talking about
[00:11:14.400 --> 00:11:19.580]   all these statuses. I want to do this. I don't fly American, their route network from the Bay Area is pretty
[00:11:19.580 --> 00:11:25.820]   terrible. The only place I've ever considered flying them is to Los Angeles, where every time I've done that five,
[00:11:25.820 --> 00:11:30.560]   six years ago, it seems like you always land at a remote terminal that you need to take a bus to, which is the most
[00:11:30.560 --> 00:11:38.200]   inconvenient thing. It's certainly not fast. And so I have no idea why I'm interested in this. But it does seem a little bit like a
[00:11:38.200 --> 00:11:44.500]   game, right? Going down the path of Oh, what kinds of things can I do to earn extra loyalty points? I signed up for this
[00:11:44.500 --> 00:11:50.680]   newsletter called loyalty point hunters. And so I get these like, Oh, here's this offer where you buy a meal kit. And the discount
[00:11:50.680 --> 00:11:55.260]   basically makes it $5. But you get 1000s of loyalty points. And a part of me just really wants to play
[00:11:55.260 --> 00:11:59.860]   this game. And then a part of me thinks it's absolutely crazy, because I never fly American. So
[00:11:59.860 --> 00:12:06.200]   I'm going to address my own problems after I run through this inventory. But I figured it's kind of
[00:12:06.200 --> 00:12:12.360]   helpful to hear where all these statuses came from how I ended up with them. Because they do provide a ton
[00:12:12.360 --> 00:12:17.160]   of benefit when you have a lot of statuses, you're boarding early, you're earning more points,
[00:12:17.160 --> 00:12:21.880]   you're not paying for check bags, all kinds of things like that. I am happy I have them. I just
[00:12:21.880 --> 00:12:27.480]   think to some extent, it's a little crazy, given that we're not flying that often. On the flip side,
[00:12:27.480 --> 00:12:31.920]   I really love it. And it's kind of a game. So if I treat it from that perspective, then it's really
[00:12:31.920 --> 00:12:36.480]   interesting. This episode is brought to you by thrive market. You know, that feeling when you're standing
[00:12:36.480 --> 00:12:40.920]   in the grocery store staring at labels trying to figure out what's actually healthy, but that ingredient
[00:12:40.920 --> 00:12:46.000]   list is so confusing. With two young kids, we are constantly trying to make sure the whole family
[00:12:46.000 --> 00:12:51.040]   eats clean, healthy food, but it can be a lot of work to make that happen. And that's why I love
[00:12:51.040 --> 00:12:56.720]   thrive market. They're my go to online grocery store for getting healthy essentials delivered straight to
[00:12:56.720 --> 00:13:02.360]   our door without ever having to leave the house. Unfortunately, there are over 10,000 food additives
[00:13:02.360 --> 00:13:07.440]   allowed in the US, and it's hard to know what's actually safe. So I love that thrive market bans over
[00:13:07.440 --> 00:13:13.000]   1000 harmful ingredients. Their team does all the hard work and make sure every product meets high
[00:13:13.000 --> 00:13:18.240]   quality, clean standards. For example, one product we love from thrive is simple mills. We feel so good
[00:13:18.240 --> 00:13:23.680]   giving it to our kids. Their sea salt, almond flour crackers are fantastic. But lately, I just can't
[00:13:23.680 --> 00:13:29.320]   stop snacking on their sweet thins. Also thrive market has tons of filters. So you can easily shop by
[00:13:29.320 --> 00:13:33.420]   whatever you need. Whether you want to find what's on sale, you're looking for gluten free snacks,
[00:13:33.420 --> 00:13:38.880]   or you want some high protein meals. I especially love that last one because I find the more protein
[00:13:38.880 --> 00:13:45.640]   I get the less likely I am to binge on those simple mills sweet thins. Ready to make the switch head to
[00:13:45.640 --> 00:13:53.680]   chrishutchins.com slash thrive market to get 30% off your first order, plus a free $60 gift. This episode
[00:13:53.680 --> 00:13:58.860]   is brought to you by guilt. Now when it comes to building wealth, taxes are such a big part of the
[00:13:58.860 --> 00:14:04.980]   strategy. And as tax time gets closer, getting prepared now is so important. And now that I'm working
[00:14:04.980 --> 00:14:10.040]   with Gelt, I finally feel like I have a partner I can trust to handle everything for my personal and
[00:14:10.040 --> 00:14:15.660]   business taxes. You can think of Gelt as the ultimate modern CPA. Of course, they have an in-house team of
[00:14:15.660 --> 00:14:21.000]   expert CPAs to work with who can help you determine the most effective tax strategies to minimize risk
[00:14:21.000 --> 00:14:26.840]   and grow your wealth. But they also have an amazing tech platform that gives you personalized guidance to
[00:14:26.840 --> 00:14:32.400]   maximize deductions, tax credits, and savings. Beyond that, the tax library you get access to as a client
[00:14:32.400 --> 00:14:37.560]   has dozens of in-depth guides on things like choosing retirement plans, taxes for parents,
[00:14:37.560 --> 00:14:43.980]   qualified business income or QBI, and much more. So if you're ready for a more premium proactive tax
[00:14:43.980 --> 00:14:51.000]   strategy to optimize and file your taxes, definitely check out Gelt. And as a viewer, you can skip the
[00:14:51.000 --> 00:14:57.220]   waitlist. Just head to chrishutchins.com slash Gelt, G-E-L-T. Again, that's chrishutchins.com
[00:14:57.220 --> 00:15:02.740]   slash Gelt or find the link in the description to stop overpaying on taxes. Okay, when it comes to
[00:15:02.740 --> 00:15:08.800]   hotels, I'll start with Marriott because one of the perks of hitting Marriott Titanium, which requires
[00:15:08.800 --> 00:15:14.560]   75 nights, is that you actually get United Silver status. So one of the things I was thinking about
[00:15:14.560 --> 00:15:19.560]   last year was, gosh, if we fly United enough that it would be valuable to pick the right seats, get
[00:15:19.560 --> 00:15:24.600]   free check bags, all those kinds of things. Should I just get it by trying to do more Marriott nights or
[00:15:24.600 --> 00:15:30.120]   should I get it by going for United status itself? Because it's not reciprocal the other way. I don't
[00:15:30.120 --> 00:15:35.420]   think United Silver gets you anything meaningful on Marriott. I do think if you earned high enough
[00:15:35.420 --> 00:15:41.240]   United status, you would, but I certainly haven't. To do that, though, you need to spend 75 nights in
[00:15:41.240 --> 00:15:48.680]   Marriott, which I probably spent nowhere near 75. However, with the right set of Marriott cards,
[00:15:48.680 --> 00:15:53.960]   you get a huge head start. So most of the consumer cards give you 15 nights towards your status.
[00:15:54.120 --> 00:16:00.540]   And then on top of that, if you get the Bonvoy Brilliant card, that gets you 25 nights. And then
[00:16:00.540 --> 00:16:05.980]   the business cards will also get you 15 nights. So if you have both, you can get 15 nights. And if one
[00:16:05.980 --> 00:16:11.300]   of your consumer cards is the Brilliant card, then you get 40 nights. The funny thing is, though, if you're
[00:16:11.300 --> 00:16:16.680]   really chasing that status, that Brilliant card also comes with Platinum status, which I think is the
[00:16:16.680 --> 00:16:23.580]   most important status for Marriott stays because it gets you the free breakfast, the upgrades and late
[00:16:23.640 --> 00:16:27.760]   checkout and all those things. Do you have a higher priority on those upgrades with higher status? Yes.
[00:16:27.760 --> 00:16:32.760]   But it clears the hurdle of I'm staying at a resort, I want the free breakfast, I want a lot of those
[00:16:32.760 --> 00:16:37.780]   perks. And so you just get that with the card. So if you're someone who cares about Marriott status,
[00:16:37.780 --> 00:16:41.440]   that card will just get it to you. You don't have to worry about anything. The other thing that's
[00:16:41.440 --> 00:16:46.800]   interesting is Marriott does have this lifetime status program. And I'm at the point going into this
[00:16:46.800 --> 00:16:52.040]   year, I had eight years of being Platinum. Last year, I didn't have it. So I ended up opening up the
[00:16:52.040 --> 00:16:58.420]   Brilliant card, because that would clock me in at Platinum status for 2024. I would have it also in
[00:16:58.420 --> 00:17:05.240]   2025. So that would take me to nine. And next year will take me to 10. And so by holding that card for
[00:17:05.240 --> 00:17:10.780]   what will end up being about 15 months, that should put me over the threshold to have Platinum on Marriott
[00:17:10.780 --> 00:17:14.860]   for the rest of my life. And I will never have to hold a card or think about status at all. So I'm
[00:17:14.860 --> 00:17:21.080]   really excited about that. Now, does it make sense to push for titanium on Marriott or,
[00:17:21.080 --> 00:17:25.980]   you know, silver on United? I'm not sure. I still have to think about that. Because I'm starting out
[00:17:25.980 --> 00:17:30.660]   with 40 nights, that still is 25 nights in a Marriott, which is a lot of nights. There is one
[00:17:30.660 --> 00:17:36.280]   credit card, I can't remember the name of it. It's a chase one that lets you earn elite nights by spending,
[00:17:36.280 --> 00:17:40.120]   but it is almost prohibitively expensive. That's something I'm thinking about. But
[00:17:40.120 --> 00:17:46.840]   Marriott is a program where recent devaluations, which I'll talk about in a bit, have just made it
[00:17:46.840 --> 00:17:53.300]   a little tricky to be really loved. In fact, in the points and miles world, anytime a loyalty program
[00:17:53.300 --> 00:17:58.920]   does something that people don't like, the term that I've now heard everyone using is that they've
[00:17:58.920 --> 00:18:04.080]   gotten bond void. Because Marriott just continues to make things difficult for everyone. There's
[00:18:04.080 --> 00:18:09.640]   literally a matrix that I'll link to in the show notes that you need to follow to try to figure out
[00:18:09.640 --> 00:18:13.440]   whether you're actually going to get a free breakfast based on how you booked your reservation,
[00:18:13.440 --> 00:18:17.020]   where you're staying, what chain, etc. They don't make things simple or straightforward
[00:18:17.020 --> 00:18:22.980]   whatsoever. So that's Marriott. Where I actually switched all my loyalty this year to was Hyatt.
[00:18:22.980 --> 00:18:28.760]   So last year, going into the year, I thought, this status of Hyatt seems to be the thing everyone
[00:18:28.760 --> 00:18:33.760]   in the points and miles world loves. I've never had Hyatt status. I rarely had ever stayed at a Hyatt
[00:18:33.760 --> 00:18:38.440]   hotel. And it was very hard to get. And so the reason why most people seem to love this status is
[00:18:38.440 --> 00:18:44.200]   because you really get treated like an elite member of their loyalty program, because it's a lot harder
[00:18:44.200 --> 00:18:49.040]   to get. Marriott, you can get, you know, platinum status with a credit card. Hilton, you can get
[00:18:49.040 --> 00:18:54.560]   diamond status, their top tier with a credit card. I think IHG, you can also do that. So if you want to
[00:18:54.560 --> 00:19:01.380]   get top tier status on Hyatt, it is way harder. You need to spend 60 nights in a Hyatt, or you need to
[00:19:01.380 --> 00:19:07.580]   augment those 60 nights by spending a ton of money on one of their credit cards. And each one of those credit
[00:19:07.580 --> 00:19:13.060]   cards for every $10,000 you spend, you get five elite nights, which means to get all the way to 60,
[00:19:13.060 --> 00:19:19.320]   you need to spend $120,000. Now, if you have a lot of tax payments, business expenses, or you're running
[00:19:19.320 --> 00:19:24.620]   a gift card site, you might have the spend to do it. But you might be asking yourself, is it even worth
[00:19:24.620 --> 00:19:30.780]   it? Now, if you're earning one Hyatt point per dollar at 1.7 cents per point, depending on who you
[00:19:30.780 --> 00:19:36.140]   ask, maybe you could call it 1.3, 1.5. It's not as good as other cards that might earn you three or four
[00:19:36.140 --> 00:19:41.620]   points until you think about it in the context of getting all the way to the status. So when I mapped
[00:19:41.620 --> 00:19:46.980]   out, what would it look like to get to 60 nights? How would I make it happen? Along the way, Hyatt gives
[00:19:46.980 --> 00:19:54.360]   you all these milestone rewards, right? For every 20, 40, 50, 60 threshold, you're getting sweet upgrade
[00:19:54.360 --> 00:19:58.680]   awards. You're getting free night certificates. You're getting bonus points. You're getting these
[00:19:58.680 --> 00:20:03.120]   things called a guest of honor certificate, which I will probably be doing a giveaway for later this year,
[00:20:03.120 --> 00:20:09.680]   where you can gift someone else globalist status for a stay up to seven nights. And so when you add
[00:20:09.680 --> 00:20:16.720]   all those in, I put the value of spending money on that Hyatt card at about 3.4% back because you were
[00:20:16.720 --> 00:20:23.400]   getting the points and those perks, which made it worth going for. But it was over $100,000 of spend,
[00:20:23.400 --> 00:20:28.160]   which I didn't have entirely. Now, I did have some stays at Hyatt, so I didn't need to spend all of them.
[00:20:28.480 --> 00:20:33.120]   But I ended up doing what I'd always heard people do and never done myself last year,
[00:20:33.120 --> 00:20:37.940]   which was I ended up going on what's called a mattress run. And so I found a category one property,
[00:20:37.940 --> 00:20:44.080]   which is the lowest tier. I found it at an off peak time. And I found it locally. So I only had
[00:20:44.080 --> 00:20:51.760]   to drive 20, 30 minutes to get to. And I ended up checking into this hotel for about three or 3,500
[00:20:51.760 --> 00:20:57.820]   points a night. And one of the perks of the Hyatt business card is you get a 10% rebate. So 3150 a
[00:20:57.820 --> 00:21:02.820]   night, which those points were points I'd already used from spending on the card. So it kind of felt
[00:21:02.820 --> 00:21:09.340]   like a free stay. And I drove down, I checked in for a seven night stay. And I never stayed at the
[00:21:09.340 --> 00:21:14.460]   hotel once. I went to the front desk and I told them a story of, I'm checking in this hotel, I don't
[00:21:14.460 --> 00:21:18.620]   know if I'm going to stay here. And I don't know how many nights I'll be here. But if you could leave
[00:21:18.620 --> 00:21:22.680]   this room available, I will check in with you regularly. So you know that I might come back,
[00:21:22.680 --> 00:21:27.040]   I would really appreciate it. I put the do not disturb sign on. And every two days, I would text
[00:21:27.040 --> 00:21:31.180]   the front desk and say, I don't know if I'll need this room, but please keep it open for me. And they
[00:21:31.180 --> 00:21:37.700]   had no problem. The seven nights posted. And it was a lot easier than spending an extra, I don't know,
[00:21:37.700 --> 00:21:42.540]   for seven nights, you could probably call it somewhere on the order of $15,000 on the card. So
[00:21:42.540 --> 00:21:48.180]   ended up going for that. I'm really excited to put that to use this year, especially because
[00:21:48.180 --> 00:21:53.640]   one of the features of Hyatt that is unique is it's very easy to book suites. And so if you're
[00:21:53.640 --> 00:21:58.060]   traveling with a family, and you have kids that go to bed early, and you don't want to have to spend
[00:21:58.060 --> 00:22:04.400]   the time after they're in bed in a quiet, dark room sitting there being silent, not even being able to
[00:22:04.400 --> 00:22:10.020]   see much, you can book a suite. And Hyatt lets you confirm those suites at booking, or use suite upgrade
[00:22:10.020 --> 00:22:15.100]   awards to confirm them for no additional cost. And so doing that is just such a great experience when
[00:22:15.100 --> 00:22:18.400]   traveling with kids. So that's one of the reasons I'm excited about Hyatt Globalist,
[00:22:18.400 --> 00:22:22.620]   among lots of others. So I will probably share more about that at the end of the year once we've
[00:22:22.620 --> 00:22:29.560]   been able to use that status. On the other two hotel statuses, there was a built promo to get a core
[00:22:29.560 --> 00:22:36.760]   platinum status. So I did that. And we have the Hilton Aspire card, which includes free Hilton diamond
[00:22:36.760 --> 00:22:42.240]   status. And those Hilton cards, which right now have really great signup bonuses, you can go to
[00:22:42.240 --> 00:22:47.140]   all the hacks.com slash cards and check them out. But they just make it so easy to earn free nights.
[00:22:47.140 --> 00:22:51.660]   And as much as I love Hyatt, for certain reasons, married for some reasons, the thing I love about
[00:22:51.660 --> 00:22:57.060]   Hilton is that their free night certificates are good for any category hotel, as long as they have
[00:22:57.060 --> 00:23:02.980]   standard room availability. So we use those hotel certificates last year to stay at a hotel that
[00:23:02.980 --> 00:23:08.960]   was three or $4,000 a night. And right now open a card, the signup bonus includes a certificate.
[00:23:09.460 --> 00:23:13.980]   Some of the cards, you get another one when you spend $15,000. Some of them, it's $30,000. It really
[00:23:13.980 --> 00:23:19.000]   depends. There's a different flavor of card for everyone. But the Aspire card also comes with diamond
[00:23:19.000 --> 00:23:24.100]   status on Hilton, which is their top tier. So that's how we ended up with four hotel status tiers. I guess
[00:23:24.100 --> 00:23:29.800]   I don't have any IHG status, but haven't stayed in an IHG hotel for a really long time. So I thought
[00:23:29.800 --> 00:23:36.100]   it'd be interesting to share all of that, because that's how I ended up where we are today. And I did all of
[00:23:36.100 --> 00:23:43.360]   that despite feeling like status wasn't an important thing. And I'm not really sure why we didn't even
[00:23:43.360 --> 00:23:48.940]   have a lot of travel planned this year. And as I reflect on this, and in the spirit of my conversation
[00:23:48.940 --> 00:23:53.280]   with Simon Sinek, I will try to be a little bit more vulnerable. Like, I think I just have a little
[00:23:53.280 --> 00:23:59.820]   bit of a problem where I enjoy figuring out a system and trying to kind of level up in the same way as a
[00:23:59.820 --> 00:24:04.460]   kid, I enjoyed playing Super Mario and trying to get to the end of the game. It was figure out all
[00:24:04.460 --> 00:24:07.660]   the strategies and the tactics to get through the level and get to the next one and get to the next
