
[00:00:00.000 --> 00:00:29.980]   Thank you.
[00:04:05.640 --> 00:04:09.800]   You have to, like, make extra provisions to, like, make extra provisions to take the chat from here back to Discord or whatever.
[00:04:09.800 --> 00:04:13.140]   But I think the built-in recording is, is really nice for Zoom.
[00:04:13.140 --> 00:04:15.660]   And it doesn't seem to be issues with, like, sharing screen or whatever.
[00:04:15.660 --> 00:04:20.260]   So, anyways, that, that, that's kind of, like, my summarized differences between the two.
[00:04:20.260 --> 00:04:21.120]   Oh, okay.
[00:04:21.120 --> 00:04:22.040]   K-Ball's here, nice.
[00:04:22.040 --> 00:04:24.480]   Like, the, the, the summary is, like, oh, it works.
[00:04:24.480 --> 00:04:25.580]   Yeah.
[00:04:25.580 --> 00:04:26.380]   Yeah.
[00:04:26.760 --> 00:04:30.280]   Yeah, that is the unfortunate summary of Discord is, oh, it doesn't.
[00:04:30.280 --> 00:04:36.780]   All right.
[00:04:36.780 --> 00:04:37.800]   Uh, let's roll.
[00:04:37.800 --> 00:04:43.000]   I think, uh, Manuel, if I read the channel correctly, you're going to do a YOLO Manus overview?
[00:04:43.000 --> 00:04:53.780]   Uh, yeah, just in general, maybe, like, it's been a while since I showed, like, I think the last time I, like, presented stuff was, like, a decade ago.
[00:04:53.780 --> 00:04:55.800]   Like, I don't think I was using agents.
[00:04:56.800 --> 00:05:05.340]   So, I'm just going to show, like, a few of the things that, I don't know, mostly I'm curious to hear what other people actually do, because, uh, there's so much happening.
[00:05:05.340 --> 00:05:08.840]   But the way I use, um, I have, like, three big subscriptions, right?
[00:05:08.840 --> 00:05:18.280]   I have Manus, the 200 bucks a month, OpenAI, 200 bucks a month, and then Amcode, kind of, like, the rest of my bank account.
[00:05:19.020 --> 00:05:27.240]   Um, so I'll just show, I'll just show, like, a couple of things that I, that I find really, really fun to do, um, with that compute.
[00:05:27.240 --> 00:05:30.960]   So let me see, how can I share my Linux?
[00:05:30.960 --> 00:05:32.620]   Um,
[00:05:36.620 --> 00:05:40.120]   Hold on, I was trying to be clever, actually, was I trying to be clever?
[00:05:40.120 --> 00:05:42.720]   It's called the window projector.
[00:05:42.720 --> 00:05:45.540]   There we go.
[00:05:45.540 --> 00:05:47.960]   All right.
[00:05:47.960 --> 00:05:58.400]   Um, so the first thing that I like doing, which is, like, not all that surprising, is I use O3 for pretty much every little question that I have that pops into my mind.
[00:05:58.400 --> 00:06:04.760]   I'll just put into O3, um, I don't know, so this is something we have to deal with at work.
[00:06:04.760 --> 00:06:06.500]   We're like little Redis questions, right?
[00:06:06.500 --> 00:06:10.940]   Like, um, nothing too crazy here, except I do it for everything.
[00:06:10.940 --> 00:06:19.400]   So I have like, I don't know, 50 per day and I'll put like, if I'm watching a documentary, if I'm watching like anything, I'll just put it in here.
[00:06:19.400 --> 00:06:25.720]   Um, because I'm curious, but it also gives me like the trace of the things that I've been doing in the past.
[00:06:25.720 --> 00:06:30.880]   Right. So like, because of the memories of chat GPT, those things will actually come up.
[00:06:30.880 --> 00:06:35.220]   The next time I asked for a code example, I will like say, oh, you were interested in radio last week.
[00:06:35.220 --> 00:06:40.600]   Let me, let me do like a radio, radios, uh, program.
[00:06:40.600 --> 00:06:54.040]   Um, and then what I'll often do after that is, um, have it do like a table of content for a book because it's already searched all kinds of resources.
[00:06:54.040 --> 00:06:59.440]   And then depending on how good they are, I'll just like write the book after that.
[00:06:59.440 --> 00:07:07.540]   So usually two, three chapters in one deep research, once you have the table of contents works pretty well and it's, it has like a consistent style.
[00:07:07.540 --> 00:07:11.260]   So you can actually do some pretty, pretty exhaustive things.
[00:07:11.920 --> 00:07:24.220]   Um, so nothing still like a pretty standard way of doing things where I think things that might become interesting is like, I print them out and then I bind them with like a binding machine.
[00:07:24.220 --> 00:07:27.700]   So now I'm starting to have like quite a few background.
[00:07:27.700 --> 00:07:33.980]   Um, but so that, that, that means I have like a ton of little books about topics that interest me.
[00:07:33.980 --> 00:07:42.520]   And because I keep coming back to the same technologies or to the same topics, I just know, oh, I actually have like a book about, you know, just like this topic.
[00:07:42.520 --> 00:07:50.980]   So the printing out is maybe like the most important part for me is that it allows me to take that away from the computer and actually have the time to digest.
[00:07:50.980 --> 00:07:54.940]   because it's easy to generate like 20 pages on the computer, then you'll never read them.
[00:07:54.940 --> 00:08:06.740]   Um, while like reading them, when I go to the coffee shop in the morning is like a really good way to absorb what actually, what I actually researched the day before.
[00:08:06.740 --> 00:08:09.080]   And also it's like the perfect magazine, right?
[00:08:09.080 --> 00:08:10.360]   It's like long form.
[00:08:10.360 --> 00:08:13.740]   Every article is about like exactly what I'm interested in right now.
[00:08:13.740 --> 00:08:18.880]   So I highly recommend just like printing these guys out.
[00:08:19.600 --> 00:08:22.280]   Um, and they can be like the most ridiculous things.
[00:08:22.280 --> 00:08:26.080]   Like I was looking at some kind of like legacy COBOL like language.
[00:08:26.080 --> 00:08:29.680]   And I was like, I don't know very much about it.
[00:08:29.680 --> 00:08:35.800]   Like, you know, write a book about why it's cool and how to use it and I'll print it out.
[00:08:35.800 --> 00:08:40.860]   And now I'll, you know, next time I'll come across it, I'll be like, yeah, I read, I read an article about that.
[00:08:40.860 --> 00:08:49.280]   Um, so those are the O3 techniques, which, you know, nothing too, nothing too crazy.
[00:08:49.300 --> 00:08:57.460]   What you can do, however, where it starts to become quite fun and man, their search sucks so bad.
[00:08:57.460 --> 00:08:59.680]   It's crazy.
[00:08:59.680 --> 00:09:01.540]   I had something, I think it was this one.
[00:09:01.540 --> 00:09:02.740]   Actually, I'm lucky.
[00:09:02.740 --> 00:09:05.320]   Um, I got into radio.
[00:09:05.320 --> 00:09:11.180]   So I've got all these like little, little boards to do ham radio, like wifi sniffing.
[00:09:11.260 --> 00:09:23.440]   And, um, yeah, those titles, I won't be able to find it, but I basically asked O3 to write me the table of contents for a course with like code examples.
[00:09:24.280 --> 00:09:31.000]   So not a full book, but like a, you know, like a two, three page document with step-by-step instructions on how to build a certain type of software.
[00:09:31.000 --> 00:09:34.060]   Paste it down into M code or like lot code.
[00:09:34.780 --> 00:09:38.440]   And then I said, you're a teacher, you know, here's the plan.
[00:09:38.440 --> 00:09:40.540]   Please teach me how to build this.
[00:09:40.540 --> 00:09:47.800]   So not like asking M code to build the whole thing, but actually to become a teacher that could also write the code when I wanted to write it or like.
[00:09:48.140 --> 00:10:04.040]   You know, create like test test programs to test my implementation, but that was really fun because suddenly I had this like agent that was able to write a lot of code to test the stuff that I just did, but also explain what I just did.
[00:10:04.040 --> 00:10:17.700]   And also had like a stack of documents to, um, to basically answer my questions as they become more, more, um, more complicated.
[00:10:17.700 --> 00:10:33.860]   Um, so to PDF is like, they added that actually before I was using 10 doc, but now they have a PDF export for, for, um, for the deep research and actually looks really, really similar to what I used to have before.
[00:10:34.520 --> 00:10:39.920]   Um, but if you, if you want like a, a pen doc template that looks like this for Markdown, I can, I can give you one.
[00:10:39.920 --> 00:10:55.180]   Um, so yeah, so the, the course, the course or three to course to cloud code is something that's pretty new that I haven't done very much, but it was really, really fun to, to do that.
[00:10:55.180 --> 00:11:00.620]   And I actually used it for the, I used it yesterday because I have to like copy.
[00:11:01.220 --> 00:11:05.740]   I have to mirror my flash drive to an external drive to replace it.
[00:11:05.740 --> 00:11:08.420]   And I was like, I, every time I do this, I'm like kind of lost.
[00:11:08.420 --> 00:11:11.280]   So I had it walk me through it.
[00:11:11.280 --> 00:11:16.600]   It was said like, oh, if we use F disk, you can see, see that and that, and that you should do X.
[00:11:16.640 --> 00:11:18.140]   And then I still did it by hand.
[00:11:18.140 --> 00:11:31.100]   Like I didn't write, like I used it as a, it was actually a little bit tricky to get it, to not execute it, but it was like, it was quite interesting to walk me through the commands and tell me what they're for and what they were seeing.
[00:11:31.100 --> 00:11:32.480]   Like what I should be looking for.
[00:11:32.480 --> 00:11:37.400]   Um, so using cloud code as a, as a tutor is a, is a, is really cool.
[00:11:37.400 --> 00:11:40.460]   And because it's able to execute programs.
[00:11:40.460 --> 00:11:45.920]   I had it walk me through this hardware thing and I just connected like the hardware bootloader.
[00:11:46.580 --> 00:11:51.560]   through the computer and it was able to like talk to the hardware and show me different things to do on the hardware.
[00:11:51.560 --> 00:11:53.420]   It's like, it told me like, press this button.
[00:11:53.420 --> 00:11:54.140]   I was like, okay.
[00:11:54.140 --> 00:11:57.740]   And then, uh, I said, like, I don't see you pressing this button.
[00:11:57.740 --> 00:11:59.700]   I think the bootloader is not installed correctly.
[00:11:59.700 --> 00:12:01.220]   And then it like installed the bootloader.
[00:12:01.220 --> 00:12:03.020]   And then it said, you know, press the button.
[00:12:03.020 --> 00:12:07.400]   So stuff that was, that was really kind of annoying to do by hand.
[00:12:07.400 --> 00:12:08.360]   Um,
[00:12:10.520 --> 00:12:12.140]   any, any questions so far?
[00:12:12.140 --> 00:12:12.860]   Um,
[00:12:12.860 --> 00:12:22.620]   otherwise I'm going to move to the, to the Manus part and the Manus part is like the extension of what I do in O3 is like, I put every little ridiculous.
[00:12:22.620 --> 00:12:25.200]   Idea that I have in there.
[00:12:25.200 --> 00:12:29.180]   So I've been like on a QEMU trip lately.
[00:12:29.180 --> 00:12:35.100]   So the kind of prompts that I put into Manus is like, install QEMU and build an operating system.
[00:12:35.100 --> 00:12:36.920]   And I'll just be like, let's see what happens.
[00:12:36.920 --> 00:12:38.360]   Um,
[00:12:38.900 --> 00:12:44.600]   and it actually did, uh, do something that boots and actually evaluates lists, but it.
[00:12:44.600 --> 00:12:46.340]   Kind of doesn't fully work.
[00:12:46.340 --> 00:12:51.800]   But now now I know how far I can get, for example, with that is like, it's able to install QEMU.
[00:12:51.800 --> 00:12:53.540]   It's able to run a bootloader.
[00:12:53.540 --> 00:12:55.520]   It's able to like correct the bootloader.
[00:12:55.520 --> 00:13:01.520]   If it doesn't boot correctly, I had to write like a window manager, which was also fun.
[00:13:01.520 --> 00:13:07.280]   Um, so every kind of little, little thing that I, that I want to at least get a sense of.
[00:13:07.280 --> 00:13:14.720]   Not only where the AI is at, but like kind of what the landscape is, um, to orient myself, maybe a little bit more.
[00:13:14.720 --> 00:13:18.680]   Uh, I will put in there and then Manus is kind of like a really a slot machine.
[00:13:18.680 --> 00:13:20.420]   Sometime they will always tell you it worked.
[00:13:20.420 --> 00:13:24.740]   And then sometimes you look inside and it's like, there's nothing there.
[00:13:24.740 --> 00:13:27.860]   It's just like a script that says, hello, I am successful.
[00:13:27.860 --> 00:13:29.540]   And you're like, well, that was great.
[00:13:29.540 --> 00:13:33.540]   And then sometimes the whole thing works really well and it's really useful.
[00:13:34.100 --> 00:13:43.600]   So because I have so many of those, what I'll do on kind of every Saturday is that I will download them.
[00:13:44.660 --> 00:13:47.120]   And then it's like, kind of like opening presents.
[00:13:47.120 --> 00:13:54.080]   So I will download them and then I will basically start trying them out one after the other.
[00:13:54.080 --> 00:13:55.880]   See like, oh, does this actually work?
[00:13:55.880 --> 00:14:03.160]   Or, um, you know, what is like the result of these different programs?
[00:14:03.160 --> 00:14:09.340]   And some of them are then useful and I'll just like move them over to my main repositories and use them there.
[00:14:09.340 --> 00:14:14.400]   The, so for example, yeah, this was one where it was like, oh, cool.
[00:14:14.400 --> 00:14:16.780]   I made like a whole like drone navigation software.
[00:14:16.780 --> 00:14:18.700]   And then it was like a JPEG.
[00:14:18.700 --> 00:14:22.240]   Like it looked super cool in the screenshots.
[00:14:22.240 --> 00:14:24.580]   And I was like, oh yeah, it's just a screenshot of a screenshot.
[00:14:24.580 --> 00:14:26.560]   So not very helpful.
[00:14:26.560 --> 00:14:27.460]   Um,
[00:14:27.460 --> 00:14:32.440]   so
[00:14:33.440 --> 00:14:44.320]   Um, yeah, I mean, I guess I am already kind of at the end of, of the concrete stuff, but it's like, it's like more of a practice and obviously it costs money, right?
[00:14:44.320 --> 00:14:46.120]   Like each of these is about 10 bucks.
[00:14:46.120 --> 00:14:51.240]   Uh, but every topic that I have, I kind of put in there when I'm discussing with people.
[00:14:51.240 --> 00:14:56.760]   So for example, I was talking about MeshTastic and I was like, oh, wouldn't it be cool to have like a BBS?
[00:14:56.760 --> 00:15:01.660]   So the first thing I was, you know, let, let's just deploy the, the simulators.
[00:15:01.660 --> 00:15:02.740]   Can Manus do that.
[00:15:02.740 --> 00:15:11.980]   And then once I saw that it was able to run the simulators, I asked it, like, just build a BBS on top of this MeshTastic simulator.
[00:15:11.980 --> 00:15:15.220]   And it, this thing is actually pretty decent and works pretty well.
[00:15:16.100 --> 00:15:22.580]   Um, so it's always, it's always like, it feels a little bit like presence where suddenly you're like, oh, this thing that we were just like talking about yesterday.
[00:15:22.580 --> 00:15:26.060]   It's just like, it's there now, you know, it's just like, um,
[00:15:26.420 --> 00:15:30.500]   like a year ago, I was joking on a podcast with Simon Willis.
[00:15:30.500 --> 00:15:31.100]   Simon Willis.
[00:15:31.100 --> 00:15:37.580]   And I said, like, you know, if you recorded everything we're talking about and you just fed it into the AI, it would be able to kind of build it.
[00:15:38.380 --> 00:15:45.140]   And we're kind of there now, right, where you can just have a conversation transcript and so like, make a list of all the cool stuff we talked about.
[00:15:45.140 --> 00:15:55.900]   And then you paste it into magnets, um, and it's, it's, I find it always like a really good starting point because you haven't really controlled how it was built.
[00:15:55.900 --> 00:15:57.540]   Like, you don't know anything about it, right?
[00:15:57.540 --> 00:16:03.340]   It's like the same as stumbling upon something on GitHub and being like, I don't know if it's good.
[00:16:03.340 --> 00:16:10.300]   Um, is that because, however, there was like a context where you asked for it.
[00:16:10.300 --> 00:16:14.820]   We often I'll have like a couple of three worries that are related to it.
[00:16:14.820 --> 00:16:20.580]   And those I can then put into the repo and then start building out the system in full.
[00:16:20.580 --> 00:16:20.900]   Right.
[00:16:20.900 --> 00:16:33.420]   So like, for example, the, the, the chat system over Redis, I turned into an MCP, which was pretty, which was pretty funny is like, um, if you want to coordinate agents.
[00:16:34.540 --> 00:16:40.780]   The most effective thing I've found so far is to give them a Slack workspace and like literally call it Slack.
[00:16:40.780 --> 00:16:48.100]   With channels and then give them like a Jira board, which is called Jira, but it's just like a little SQLite tool.
[00:16:48.100 --> 00:16:50.820]   And let them use that.
[00:16:50.820 --> 00:16:54.260]   And they're pretty good at coordinating once they know that they have Slack.
[00:16:54.260 --> 00:16:56.900]   Um, anyway.
[00:16:59.180 --> 00:17:04.700]   I think that was like the fastest, maybe that I, that I went through is, uh, do people have, um, yeah.
[00:17:04.700 --> 00:17:07.740]   So I'm got, I hope I pronounced that correctly.
[00:17:07.740 --> 00:17:10.860]   Uh, man is basically spins up a VM.
[00:17:10.860 --> 00:17:15.980]   Uh, let me, let me actually, maybe since not everybody uses man is like 18 times a day.
[00:17:15.980 --> 00:17:18.460]   Maybe I can show a little bit more about how it works.
[00:17:19.260 --> 00:17:27.860]   So what Manus does is it will spin up a VM, which you can see here on the left.
[00:17:27.860 --> 00:17:29.580]   Uh, it can do a couple of things.
[00:17:29.580 --> 00:17:30.740]   It can browse the internet.
[00:17:30.740 --> 00:17:33.660]   So it can have like a graphical browser.
[00:17:33.660 --> 00:17:37.260]   It captures like a, a, uh, command line.
[00:17:37.260 --> 00:17:45.420]   Um, for a long time, I tried to get it to, to run darker things or like run things on the host.
[00:17:46.500 --> 00:17:48.460]   And that was a little bit troublesome.
[00:17:48.460 --> 00:17:52.260]   Like I like using Kubernetes and I was like, I can't install Kubernetes on this thing.
[00:17:52.260 --> 00:17:55.940]   And then I realized, like, if you tell it, you have QEMU, then it's able to install
[00:17:55.940 --> 00:17:57.260]   Kubernetes on QEMU.
[00:17:57.260 --> 00:18:00.340]   And then you have like a whole, a whole system.
[00:18:00.340 --> 00:18:03.020]   Um, so we'll have this Linux thing here.
[00:18:03.020 --> 00:18:06.820]   And then usually, so let me, let me just start one.
[00:18:06.820 --> 00:18:10.980]   Um, so build a.
[00:18:13.420 --> 00:18:20.300]   AI agent that uses a VM to run code act style commands.
[00:18:20.300 --> 00:18:26.620]   Then you relate the LLM run the VM and QEMU.
[00:18:26.620 --> 00:18:30.020]   And then I'll just put that in.
[00:18:30.020 --> 00:18:30.260]   Right.
[00:18:30.260 --> 00:18:35.340]   It's like, so now you'll be able to see how it works, but this is kind of on rails.
[00:18:35.340 --> 00:18:38.140]   At this point, I turned on like the extended thinking down here.
[00:18:39.140 --> 00:18:42.780]   Um, and you can, you can cue commands.
[00:18:42.780 --> 00:18:45.820]   Like I can interact with it and say like, oh, it takes screenshots.
[00:18:47.820 --> 00:18:50.580]   Um, and simulate, I don't know.
[00:18:50.580 --> 00:18:54.900]   Controlling and I'm not going to put too much craziness in here.
[00:18:54.900 --> 00:19:01.580]   Um, and simulate a stopping agent.
[00:19:01.580 --> 00:19:03.780]   Um, so you'll see it here.
[00:19:03.780 --> 00:19:05.100]   It's like opening the browser.
[00:19:05.100 --> 00:19:06.220]   It's like searching the web.
[00:19:06.220 --> 00:19:06.540]   Right.
[00:19:06.540 --> 00:19:09.220]   Um, and it has a bunch of tools.
[00:19:09.220 --> 00:19:10.780]   They add stuff pretty often.
[00:19:10.780 --> 00:19:14.860]   Um, so they have like a video generation.
[00:19:14.860 --> 00:19:16.700]   Now they have all your generation.
[00:19:16.700 --> 00:19:18.860]   Uh, you can start connecting.
[00:19:18.860 --> 00:19:23.180]   I don't know if you can connect MCPs yet, but you don't need to connect an MCP.
[00:19:23.180 --> 00:19:23.380]   Right.
[00:19:23.380 --> 00:19:25.660]   Like you can just install your own tool.
[00:19:25.660 --> 00:19:27.300]   You can just tell it like, oh, install.
[00:19:28.100 --> 00:19:35.020]   Um, I'm, I'm going to say like use Golang and use the go, go, golems glaze library.
[00:19:35.020 --> 00:19:39.620]   I don't know, but you can just tell it to do these kinds of things.
[00:19:39.620 --> 00:19:42.620]   And it will also like, remember little knowledge suggestions here.
[00:19:42.620 --> 00:19:47.340]   So again, nothing like too crazy, but when building an AI agent that simulates a
[00:19:47.340 --> 00:19:49.620]   shopping agent, take screenshots, use Golang.
[00:19:49.620 --> 00:19:52.900]   It's like, okay, well, I don't think I'll do that all too often.
[00:19:52.900 --> 00:19:59.620]   Um, but overall it's like, it's pretty fast and it has the, one of the reasons why I
[00:19:59.620 --> 00:20:03.260]   really like it as well as just, it has like a mobile app, right?
[00:20:03.260 --> 00:20:06.380]   Like everybody is building like a cloud code orchestrator.
[00:20:06.380 --> 00:20:07.420]   Um,
[00:20:08.540 --> 00:20:11.820]   this is actually working pretty well, right?
[00:20:11.820 --> 00:20:14.660]   Like this is the current one and you can, um,
[00:20:14.660 --> 00:20:22.180]   you can see it go the same as on the, on the main screen.
[00:20:22.180 --> 00:20:28.300]   When I do it, how long is the, how long is the delay?
[00:20:28.300 --> 00:20:32.020]   I don't know.
[00:20:32.020 --> 00:20:33.100]   There we go.
[00:20:33.100 --> 00:20:35.300]   So that's it.
[00:20:35.300 --> 00:20:36.460]   Like you kind of let it run.
[00:20:36.460 --> 00:20:41.140]   And then at the end, it will give you, it often suggests to create a website, which has
[00:20:41.140 --> 00:20:43.620]   the grade in quality in the last couple of weeks.
[00:20:43.620 --> 00:20:47.780]   Um, but you can see it here, like reading documentation.
[00:20:47.780 --> 00:20:49.380]   It's, it's really fast.
[00:20:49.380 --> 00:20:53.540]   As far as I can tell, like, I'm not really sure how they, I think it's,
[00:20:53.540 --> 00:20:57.780]   it used to be open AI under the hood.
[00:20:57.780 --> 00:21:00.460]   I think now they switched to Sonic, I'm not, I'm not fully sure.
[00:21:00.460 --> 00:21:04.460]   Um, so you can choose the model.
[00:21:04.460 --> 00:21:07.900]   You can't, you can choose very much in here in the settings.
[00:21:07.900 --> 00:21:13.580]   You can kind of, um, not control very much.
[00:21:13.580 --> 00:21:19.060]   They have a feature now to like connect a cloud browser, wait, right.
[00:21:19.060 --> 00:21:20.780]   Where you can log into other pages.
[00:21:20.780 --> 00:21:25.420]   I didn't get it to work, but that was also the early day where I tried it.
[00:21:25.420 --> 00:21:31.620]   Um, what I often do is like, I create like a six hour scoped key and then just put, paste
[00:21:31.620 --> 00:21:36.860]   the key in there, uh, when I want to give it access to other models or, or things like
[00:21:36.860 --> 00:21:37.060]   this.
[00:21:37.060 --> 00:21:42.940]   So I've done that pretty often where just like, give it either, uh, like an open AI API key.
[00:21:42.940 --> 00:21:47.540]   I had like a bunch of things where I had it built like a video analyzer.
[00:21:47.540 --> 00:21:54.380]   Um, and yeah, stream video segmentation.
[00:21:54.380 --> 00:21:56.620]   I think I just pasted like a Gemini key in there.
[00:21:56.620 --> 00:22:01.500]   Um, and so at the end you end up having like a list of files and then
[00:22:01.500 --> 00:22:04.380]   uh, zip file with which you can download all things.
[00:22:04.380 --> 00:22:09.500]   You, you have the opportunity to follow up, but then it will like do the kind of slop follow
[00:22:09.500 --> 00:22:12.100]   up where it'll just like add to whatever's existing.
[00:22:12.100 --> 00:22:15.980]   So you just end up having like three copies of the same project in the same directory.
[00:22:15.980 --> 00:22:17.100]   It's like a little bit annoying.
[00:22:17.100 --> 00:22:24.300]   Um, I tried to teach it git, but it's not great at that.
[00:22:24.300 --> 00:22:27.380]   Um, so I'll turn a pro product.
[00:22:27.380 --> 00:22:31.380]   I think there's like scout.new was one that I tried out quite a bit.
[00:22:32.180 --> 00:22:37.780]   Um, that even seemed better back then, but you know, got to choose your, your battles.
[00:22:37.780 --> 00:22:41.140]   So scout.new is one like the new open AI stuff, I guess is one.
[00:22:41.140 --> 00:22:42.300]   I don't know.
[00:22:42.300 --> 00:22:46.900]   Do people here know about more alternate pro products?
[00:22:49.140 --> 00:22:54.020]   I thought there was somebody that got interviewed on the latent space podcast that had like a model
[00:22:54.020 --> 00:22:55.220]   plus sandbox thing.
[00:22:55.220 --> 00:22:59.380]   I can't remember the name of it off the top of my head or who the founders were, but I'm just curious
[00:22:59.380 --> 00:23:04.100]   if there's like a list of these type of products that, uh, and then like, why you like this one?
[00:23:04.100 --> 00:23:07.060]   And I, and I, it sounds like mostly because it's one of the only ones that exists.
[00:23:07.060 --> 00:23:09.220]   I like this one.
[00:23:09.220 --> 00:23:10.500]   Cause it's the first one I tried.
[00:23:10.500 --> 00:23:14.260]   I, I think they'll probably be all like pretty, pretty equivalent, right?
[00:23:14.260 --> 00:23:18.900]   Scout was nice because it was like a little bit more exhaustive.
[00:23:18.900 --> 00:23:23.700]   It felt like, so maybe I should try that one out again, but they keep giving me like twice
[00:23:23.700 --> 00:23:24.180]   a credit.
[00:23:24.180 --> 00:23:26.020]   So I'm like, I know why they do it.
[00:23:26.020 --> 00:23:27.220]   And it's so that I stay right.
[00:23:27.220 --> 00:23:30.900]   It's like, if I cancel, I won't get my double credits next time or something.
[00:23:30.900 --> 00:23:37.860]   Um, and I figured that it's going to be like coding agents or whatever.
[00:23:37.860 --> 00:23:40.660]   It's like, they catch up to each other really quickly.
[00:23:40.660 --> 00:23:44.420]   Cause at the end of the day, it's like a fairly simple loop around a model.
[00:23:44.420 --> 00:23:48.100]   So, you know, I, I like the UI.
[00:23:48.100 --> 00:23:50.660]   It's like, not, it works really nicely.
[00:23:50.660 --> 00:23:53.220]   The mobile app is really nice too.
[00:23:53.220 --> 00:23:57.780]   So I'm like, you know, I'll just keep, keep using that for now.
[00:23:57.780 --> 00:24:09.380]   So, yeah, I, I mean, I guess you can see how it, how it works.
[00:24:09.380 --> 00:24:11.620]   It's like basically a coding agent.
[00:24:11.620 --> 00:24:16.340]   And then, uh, I've got a couple of prompting tricks, which is like, I give it Tmux and ask
