
[00:00:00.000 --> 00:00:05.140]   Your credit score has so much information in it that impacts how much you pay for everything from
[00:02:49.520 --> 00:02:55.480]   reports' accuracy, fairness, and privacy, granting consumers the right to view their reports, dispute
[00:02:55.480 --> 00:03:00.940]   inaccurate information, and know when their credit information impacted decisions such as lending or
[00:03:00.940 --> 00:03:05.280]   employment. Today, the credit reporting industry is still dominated by those three major bureaus,
[00:03:05.280 --> 00:03:10.700]   Equifax, Experian, and TransUnion, which use really sophisticated scoring models like the VICO score
[00:03:10.700 --> 00:03:14.660]   to objectively assess consumer credit worthiness and manage financial risk.
[00:03:14.660 --> 00:03:19.380]   Now, a question you might be wondering, at least I was, is why haven't these three bureaus merged to
[00:03:19.380 --> 00:03:24.440]   one since they're all doing something very similar? Well, my research and chat GPT didn't lead to a
[00:03:24.440 --> 00:03:30.020]   compelling answer other than that's how things evolved, competition is good, and there's lots of
[00:03:30.020 --> 00:03:35.680]   antitrust regulation issues when there becomes just one agency. But practically, they are all about the
[00:03:35.680 --> 00:03:40.660]   same, but not exactly the same. So let's dig in a little more. Let's start with what a credit
[00:03:40.660 --> 00:03:46.440]   report is. It is a record of your financial life, at least as it relates to borrowing and
[00:03:46.440 --> 00:03:52.240]   liabilities. The record's primarily kept by those three bureaus I mentioned, and it's used to create
[00:03:52.240 --> 00:03:56.960]   your credit score, but it doesn't actually contain a credit score. It does include a lot of your
[00:03:56.960 --> 00:04:02.260]   personally identifiable information, or PII. It has things like your address, your past addresses,
[00:04:02.260 --> 00:04:07.720]   your name, other names you've used, your date of birth. It does also include some of your work history,
[00:04:08.400 --> 00:04:13.940]   and public records information like bankruptcies. For the purpose of a credit report, bankruptcies do
[00:04:13.940 --> 00:04:19.140]   stay on your credit report for a while. If you file a chapter 7, it's on 10 years. If you file a chapter
[00:04:19.140 --> 00:04:25.480]   13, it stays on for 7 years. But the meat of your credit report is the credit section, which is divided
[00:04:25.480 --> 00:04:32.820]   into two parts, adverse and satisfactory accounts. All the information in this section is voluntarily
[00:04:32.820 --> 00:04:38.660]   reported by lenders, and each account is recorded along with the age of the account and lots of other
[00:04:38.660 --> 00:04:44.800]   information like your highest balance, the date it was first seen, last activity. I'm even seeing the
[00:04:44.800 --> 00:04:51.120]   scheduled payment amount on some of mine. The adverse lines of credit are those that have not been paid,
[00:04:51.120 --> 00:04:56.340]   have missed payments, and were sent to collections or charged off. Like chapter 13 bankruptcies,
[00:04:56.660 --> 00:05:02.100]   debt in this section typically gets removed after seven years, but credit bureaus still keep it on file.
[00:05:02.100 --> 00:05:09.640]   And if you apply for a line of credit that's over $150,000, think a mortgage, or $150,000 face value
[00:05:09.640 --> 00:05:16.660]   life insurance policy, or if you apply for a job with an annual salary of over $75,000, that older
[00:05:16.660 --> 00:05:22.660]   information can be released upon request. Any lines of credit in good standing, revolving, or installment
[00:05:22.660 --> 00:05:28.500]   make up the satisfactory account section, which is where most of the things that I hope all of you
[00:05:28.500 --> 00:05:33.220]   all are seeing on your credit report live. Finally, the credit report does have a record of all the
[00:05:33.220 --> 00:05:39.820]   inquiries made on that report, whether it's by you or other financial institutions, both hard and soft
[00:05:39.820 --> 00:05:45.820]   inquiries. And the difference being that a soft inquiry is one that can check your credit, but not make a
[00:05:45.820 --> 00:05:51.540]   lending decision. So a soft inquiry actually has no impact on your score, and you might have tons of them.
[00:05:51.540 --> 00:05:57.380]   They usually come from when you're checking your own credit or a credit reporting tool you're using, or
[00:05:57.380 --> 00:06:03.140]   some banks use them to give you a pre-approval, so they can look at your credit report, decide if they are
[00:06:03.140 --> 00:06:07.860]   going to lend you money. When they come to the point which they will lend you money, or approve you for a credit
[00:06:07.860 --> 00:06:13.500]   card and actually issue it, they have to issue what's called a hard inquiry, which is officially making a lending
[00:06:13.500 --> 00:06:19.440]   decision, and that does stay on your credit report, and that can affect your score, and we'll get to scores in a
[00:06:19.440 --> 00:06:25.120]   little bit. For example, when I went through my credit report, I can see 22 different accounts. Now, the funny
[00:06:25.120 --> 00:06:31.360]   thing is, of those 22 accounts, three of them don't actually show up on my TransUnion report, two don't
[00:06:31.360 --> 00:06:37.680]   show up on Equifax, one doesn't show up on Experian, and they're not all the same. Now, to be fair, that does
[00:06:37.680 --> 00:06:45.360]   include closed accounts. So of my active accounts, which is just 12, only one of those accounts doesn't show up
[00:06:45.360 --> 00:06:50.940]   on one report, and it's from a random fintech startup. So for the most part, my active current
[00:06:50.940 --> 00:06:55.920]   accounts are still being reported to all three credit bureaus. Additionally, if I look at the
[00:06:55.920 --> 00:07:02.060]   inquiry section, it's also a little off, and I have two recent inquiries from Equifax, six from TransUnion,
[00:07:02.060 --> 00:07:09.520]   six from Experian, but only two of those total 14 inquiries are actually the same, so it's 12 total
[00:07:09.520 --> 00:07:14.700]   inquiries. And that's because most of the time someone's looking to make a lending decision. And
[00:07:14.700 --> 00:07:18.440]   when I say lending decision, that could be approve you for a mortgage or an auto loan or approve you
[00:07:18.440 --> 00:07:25.280]   for a credit card. They're only pulling one report from one agency. And so in occasion, like I mentioned,
[00:07:25.280 --> 00:07:30.120]   two of them, they pulled multiple reports, but that doesn't always happen. Do keep in mind, I am in a
[00:07:30.120 --> 00:07:35.900]   situation where I don't have any collections or public records or delinquent payments that made it to my
[00:07:35.900 --> 00:07:40.780]   credit report. So none of that information is there. I don't actually have a lot of info on what
[00:07:40.780 --> 00:07:45.400]   that looks like because I can't view other people's credit reports, which is a very good thing. I will
[00:07:45.400 --> 00:07:50.640]   say one thing when it comes to delinquent payments. If you are delinquent by less than 30 days, most of
[00:07:50.640 --> 00:07:55.420]   those issuers aren't going to report that if you correct it before the 30 day mark. So it's not all
[00:07:55.420 --> 00:08:00.320]   delinquent payments. Finally, there is another notable thing missing, and that is all nine of my business
[00:08:00.320 --> 00:08:05.000]   credit cards. I'll get to that a little bit later, but most business credit cards don't report on your
[00:08:05.000 --> 00:08:10.200]   credit report, at least not your personal credit report. I also opened a Citibank card at the end
[00:08:10.200 --> 00:08:14.880]   of February. That wasn't on my credit report. It hasn't made it there yet. I'm recording this in
[00:08:14.880 --> 00:08:20.880]   the middle of March. And our mortgage, for whatever reason, the mortgage lender we have doesn't report
[00:08:20.880 --> 00:08:26.320]   that to the credit bureaus. Turns out there is actually not an easy defined way that I could say,
[00:08:26.320 --> 00:08:31.340]   hey, can you start doing this? I could make the request, but there's no way to require anyone to do it.
[00:08:31.340 --> 00:08:36.600]   It's all voluntary. But also, I'm not sure, and I'll get to this later, whether it would be worth
[00:08:36.600 --> 00:08:41.100]   adding. I do have a mortgage of a high balance. I don't know if that would benefit me, but I will
[00:08:41.100 --> 00:08:45.960]   get to that later. So at least for now, I haven't requested it get added. This episode is brought to
[00:08:45.960 --> 00:08:51.540]   you by Superhuman. Now, I've used Superhuman for years, and I think it's hands down the best way to do
[00:08:51.540 --> 00:08:56.920]   email, assuming you value your time, which I absolutely assume you do. That's because Superhuman
[00:08:56.920 --> 00:09:01.960]   is the ultimate solution for inbox decluttering and enhanced productivity. It's also the fastest
[00:09:01.960 --> 00:09:06.940]   email experience out there, and I'm certain I've saved dozens, if not hundreds of hours a year using
[00:09:06.940 --> 00:09:12.440]   Superhuman. They have every feature you could ever want built in. Split inboxes for prioritizing what
[00:09:12.440 --> 00:09:18.620]   matters, keyboard shortcuts and snippets for everything. AI tools to draft responses and summarize emails,
[00:09:19.120 --> 00:09:24.840]   automated reminders, and integrated calendars. And if you're using Superhuman for teams, you get shared
[00:09:24.840 --> 00:09:31.140]   conversations and drafts that will help you respond faster and reduce deal cycles. Best of all, Superhuman
[00:09:31.140 --> 00:09:36.580]   works with your existing Gmail or Outlook. So unless you love wasting away hours of your day to email, you
[00:09:36.580 --> 00:09:42.300]   have to check out Superhuman. And every one of you can get your first month free at chrishutchins.com
[00:09:42.300 --> 00:09:48.120]   slash superhuman. Again, that's chrishutchins.com slash superhuman. Or click the link in the
[00:09:48.120 --> 00:09:52.360]   description to get back hours of your time each week. This episode is brought to you by
[00:09:52.360 --> 00:09:57.960]   Masterclass. I have learned so much about everything from communication to leadership to negotiation from
[00:09:57.960 --> 00:10:03.200]   business experts on this show. But if you're like me, you are always hungry for more. And that's when
[00:10:03.200 --> 00:10:08.080]   I turn to Masterclass. It's the only streaming platform where you can learn and grow with over
[00:10:08.080 --> 00:10:15.040]   200 of the world's best. And for just $10 a month, an annual membership with Masterclass gets you unlimited
[00:10:15.040 --> 00:10:19.280]   access to every instructor on your phone, computer, smart TV, or
[00:10:19.280 --> 00:10:23.520]   or even in audio mode. I've leveled up my investing with Ray Dalio, perfected pizza
[00:10:23.520 --> 00:10:27.760]   pizza making with Tony Gimignani and picked up so many great business lessons from Howard
[00:10:27.760 --> 00:10:55.760]   Schultz, Rosalind Brewer, Bob Iger and so many more all through Masterclass. But recently, I wanted to set up some great habits for 2025. And I took James Clear's class on habits and it was so helpful. And it's not just me that loves it. 88% of members feel that Masterclass has made a positive impact on their lives. Plus, every new membership comes with a 30 day money back guarantee. So you have to check out Masterclass. And right now, our listeners will get an additional 15% off any annual membership at chrishutchins.com.
[00:10:55.760 --> 00:11:02.200]   So that's what's on the report. But how do you get your report? Well, it's easy. You can request your credit report from all three bureaus for free by going to annualcreditreport.com. You can also call and I'm sure there's an address you can mail. But doing it online is super easy.
[00:11:02.200 --> 00:11:32.140]   You can request your credit report from all three bureaus for free by going to annualcreditreport.com. You can also call and I'm sure there's an address you can mail. But doing it online is super easy. There are hundreds of other sites out there that will sell you your credit report. As far as I can tell, they are all an absolute waste of money. Because you can get your credit report for free. Additionally, many sites like Credit Karma or maybe your bank or
[00:11:32.140 --> 00:11:44.820]   credit union will give you your credit report free. But the ones you get from annualcreditreport.com are straight from the credit bureaus. And I found them to be really comprehensive, easy to use. And like I said, free.
[00:11:45.260 --> 00:11:58.160]   Now, despite the domain name annual credit report, this is no longer annual. It used to be that you could only get your credit report once a year. During the pandemic, they made some changes. And now all three credit bureaus allow you to get your credit report every single week.
[00:11:58.380 --> 00:12:14.640]   Now, when you first get your report, I'd encourage you to read it carefully because there might be information on there that you don't recognize. Now, sometimes that might be an old credit card that you forgot about. But other times it could be something that isn't correct. And maybe it's not nefarious. Maybe it's not bad, but it's just inaccurate.
[00:12:14.860 --> 00:12:31.700]   In either case, you'll want to dispute something that you don't recognize. And you can do that by contacting the credit reporting company directly. You could do that by calling them, going to the website. But believe it or not, the gold standard for disputing is to actually send a letter. And the CFPB does have free templates.
[00:12:31.940 --> 00:12:48.880]   Those disputes must be handled by you, the person impacted. Even some of these fancy credit monitoring services that we'll talk about later can only offer you templates or get on a conference call with you because ultimately you have to be the one that disputes it. So they don't really offer anything that you can't do yourself.
[00:12:48.880 --> 00:13:18.760]   Now, filing those disputes can have an immediate impact on your credit score, which is great. So definitely do that. But if there are things that are accurate, but impacting you negatively, maybe you missed a payment many years ago. Reminder, after seven years, those negative items should be removed from your report, but it doesn't always happen. So if you find anything that's over that limit, you can also request that be removed. Now, it doesn't erase it from the world. If you have debt and you owe someone money, a financial institution, for example, and it's been eight years,
[00:13:18.760 --> 00:13:34.340]   and you remove it from your credit report, you still owe that money. So you can't rely on the fact that you've removed it from your credit report to erase that debt. Additionally, there is a rule recently that the CFPB passed that said medical debt should also be getting removed from your credit report as well.
[00:13:34.340 --> 00:13:48.360]   So last on reports, let's talk briefly about credit freezes, fraud alerts, and credit monitoring. Earlier, I explained how a hard inquiry is when a lender is making a decision like approving you for a new loan or a new credit card. Freezing your credit will prevent those inquiries.
[00:13:48.640 --> 00:14:11.220]   And thus prevent a lender from opening an account for you. Now, that can be a good thing if someone else is trying to open an account in your name. This will prevent that from happening. Now, it will also prevent you from opening up your own credit card or loan if you don't remember to unfreeze your credit before doing that. You get denied immediately, and you end up having a call to get things reconsidered once you've unfrozen your credit.
[00:14:11.640 --> 00:14:17.080]   I've done this a few times and thought, gosh, why didn't I get approved for this card? Oh, I forgot to unfreeze my credit.
[00:14:17.080 --> 00:14:24.100]   That said, I do think the upside of preventing someone from opening an account in your name is worth the effort, so I do keep my credit frozen.
[00:14:24.100 --> 00:14:31.960]   And you have to do that with all three major credit bureaus one by one, but fortunately, it's easy and you can do it for free on all of their websites.
[00:14:32.240 --> 00:14:40.640]   Separate from that, you can also set up what's called a fraud alert. There are three options. There's your initial fraud alert, your extended fraud alert, and an active duty alert.
[00:14:40.900 --> 00:14:54.240]   They all simply require a business who you're talking to about a loan or a mortgage or a new credit card to contact you directly to verify your identity before opening up any new accounts in your name.
[00:14:54.240 --> 00:15:02.760]   So what happens is you'll go online, you'll apply for a credit card or an auto loan, and then you'll get a phone call from that lender trying to make sure that was really you.
[00:15:02.900 --> 00:15:07.720]   So it doesn't prevent them from doing it like a freeze would, but it requires an extra step.
[00:15:07.720 --> 00:15:16.600]   So if you want to be able to sign up for a credit card online, get immediately approved, get your virtual card numbers and start spending that card, this could slow that down.
[00:15:16.600 --> 00:15:21.080]   But if you want to protect your identity, which is what this is for, it can be super helpful.
[00:15:21.080 --> 00:15:26.700]   So this is primarily for that use case, someone who's worried about their identity getting stolen, and that lasts for one year.
[00:15:26.820 --> 00:15:34.740]   You can extend it for seven years, but only if you're a victim of identity theft, and you actually need to prove and provide some supporting evidence of that.
[00:15:34.740 --> 00:15:38.400]   Finally, if you're an active duty military, you can get an active duty fraud alert.
[00:15:38.400 --> 00:15:40.320]   It is also only good for one year.
[00:15:40.320 --> 00:15:47.300]   I tried to research how this was any different than an initial fraud alert because both of them can be renewed, and I couldn't figure it out.
[00:15:47.300 --> 00:15:49.200]   If anyone knows, feel free to let me know.
[00:15:49.200 --> 00:15:56.040]   But to set up any of these, you actually only need to notify one of the credit bureaus, and they will inform the other two.
[00:15:56.040 --> 00:15:58.960]   Finally, let's talk credit monitoring.
[00:15:58.960 --> 00:16:00.900]   There are many free services.
[00:16:00.900 --> 00:16:11.760]   Credit Karma has one, Experian has one, Capital One and Chase have one built into their portals, and they'll continually monitor your credit, often giving you a free credit score, and they can alert you of any changes.
[00:16:11.760 --> 00:16:18.060]   Those changes can be fraud, errors, or even just the inquiry that someone is checking your credit.
[00:16:18.060 --> 00:16:23.420]   Anytime I apply for a new credit card, I end up getting three or four emails from all these services saying,
[00:16:23.580 --> 00:16:26.220]   Oh, we saw a new inquiry once that card of cards approved.
[00:16:26.220 --> 00:16:29.360]   Oh, we saw a new line of credit on your report, that kind of stuff.
[00:16:29.360 --> 00:16:38.520]   There are also a number of paid services, and best I can tell, they market themselves as credit monitoring and credit scores and that kind of stuff.
[00:16:38.520 --> 00:16:52.960]   But their main benefit over what you can do for yourself for free seems to be much more focused on cybersecurity, providing you with access to VPNs or password managers or insurance or litigation support in case your identity is stolen.
[00:16:53.160 --> 00:17:07.040]   When it comes to actually credit monitoring, I haven't found anything that you can pay for that does more than you can do on your own, other than maybe simplifying the interface, making it faster or easier to get your credit reports.
[00:17:07.100 --> 00:17:11.680]   But they're not actually doing anything unique, and they can't freeze or unfreeze for you.
[00:17:11.680 --> 00:17:13.420]   They can't dispute things for you.
[00:17:13.420 --> 00:17:16.060]   In my opinion, they are all useless.
[00:17:16.060 --> 00:17:19.620]   Now, I talked about credit reports and the three major bureaus.
[00:17:19.620 --> 00:17:28.660]   Turns out there are a few other credit bureaus and similar agencies that, as long as we're going down this rabbit hole, I thought I'd touch on before I jump into credit scores.
[00:17:29.140 --> 00:17:30.460]   So, the first one is Inovus.
[00:17:30.460 --> 00:17:32.840]   They are another credit reporting agency.
[00:17:32.840 --> 00:17:36.320]   Creditors generally use them for identity verification or fraud prevention.
[00:17:36.320 --> 00:17:45.920]   But I ran my Inovus report, and unlike my credit report with 22 items, this only had five items, and it was pretty limited, and there was not that much information.
[00:17:45.920 --> 00:17:51.260]   It was free to check, so I'm glad I got to do it to be able to tell you about it, but it was not that informative.
[00:17:51.260 --> 00:17:53.720]   The next is Checks with an X.
[00:17:53.720 --> 00:17:56.580]   They are to bank accounts, as credit bureaus are to credit.
[00:17:57.000 --> 00:18:08.460]   If you're opening a new bank account, many banks query Checks' database for red flags in your banking history, and if you have a frozen Checks report, it typically means you will get denied for a new bank account.
[00:18:08.460 --> 00:18:13.340]   Now, later I'll talk about a few bank accounts I tried to open in the process of doing this research.
[00:18:13.340 --> 00:18:18.940]   One of them did not error out when I had my Checks report locked, and one of them said, hey, your Checks report's locked.
[00:18:18.940 --> 00:18:19.880]   Can you go fix that?
[00:18:19.880 --> 00:18:25.600]   One thing you can do when using Checks is you can opt out of pre-approved offers of credit or insurance.
[00:18:26.180 --> 00:18:32.960]   I don't like doing that because there are a lot of credit card companies that send elevated offers that I want to be able to get access to.
[00:18:32.960 --> 00:18:48.280]   What I did notice looking through my own report, which I did pull, is that it does have some of my personal information, a few inquiries from credit union accounts mostly, and then a ton of requests and inquiries from TransUnion slash Credit Karma.
[00:18:48.420 --> 00:18:54.740]   So I think Credit Karma is just querying all the things they have access to query to get as much data about you as they can.
[00:18:54.740 --> 00:18:59.200]   Kind of makes me wonder if I should delete my Credit Karma account, but I have not.
[00:18:59.200 --> 00:19:00.360]   And they do give you a score.
[00:19:00.360 --> 00:19:04.160]   The score took me an extra day from the actual disclosure report.
[00:19:04.700 --> 00:19:06.520]   I got a score of 682.
[00:19:06.520 --> 00:19:08.580]   I didn't have a lot of context on that.
[00:19:08.580 --> 00:19:13.760]   They said it ranges from 100 to 899 with higher score, meaning lower risk.
[00:19:13.760 --> 00:19:23.440]   But I did find a third-party website that said the way they look at these risk levels is depending on how risk-tolerant you are as a bank,
[00:19:23.620 --> 00:19:27.800]   you want to have something above a 525 to a 580.
[00:19:27.800 --> 00:19:34.260]   So I guess I am not at any of the cutoffs for a risky bank account user, which hopefully makes sense.
[00:19:34.260 --> 00:19:36.840]   I don't think I've been doing anything crazy to be put in that camp.
[00:19:36.840 --> 00:19:40.520]   But this was much more about bank accounts than credit, so I will move on.
[00:19:40.520 --> 00:19:41.960]   Another one is Clarity Services.
[00:19:41.960 --> 00:19:47.040]   They're kind of more for alternative financial services like payday loans or rent-to-loan agreements.
[00:19:47.040 --> 00:19:48.500]   You can freeze your report.
[00:19:48.500 --> 00:19:51.340]   It might prevent someone from taking out one of those things in your name.
[00:19:51.540 --> 00:19:56.300]   I went in to try to check on my report, and I just got an error that said unable to process.
[00:19:56.300 --> 00:20:01.120]   In order to do that, please send us a written request in the mail with all this information.
[00:20:01.120 --> 00:20:02.880]   I didn't go down that process at all.
[00:20:02.880 --> 00:20:06.580]   Another one is the National Consumer Telecom and Utilities Exchange.
[00:20:06.580 --> 00:20:10.820]   They focus on data from telecom, TV, utility accounts.
[00:20:10.820 --> 00:20:17.080]   You could freeze your report if you wanted to prevent someone from opening up a phone plan or a utility account in your name.
[00:20:17.440 --> 00:20:21.220]   I got a score on my report of 756.
[00:20:21.220 --> 00:20:23.340]   I have no idea what that actually means.
[00:20:23.340 --> 00:20:28.360]   The only thing on my report was an old Verizon account that showed as being closed that I paid my bills.
[00:20:28.360 --> 00:20:32.120]   And then yet again, another 61 inquiries from Credit Karma.
[00:20:32.120 --> 00:20:32.900]   Two more.
[00:20:32.900 --> 00:20:35.560]   One is the Early Warning Services report.
[00:20:35.960 --> 00:20:42.820]   Early Warning Services is owned by the seven largest banks in the U.S., and they gather and report information about your banking history.
[00:20:42.820 --> 00:20:47.600]   The information is pulled by banks when determining if you qualify for a new account.
[00:20:47.600 --> 00:20:56.580]   So similar to Chex, except this one was quite a bit more comprehensive and had a lot of information, mostly from those large banks.
[00:20:56.960 --> 00:21:01.360]   A lot of the fintech banks I've opened accounts in didn't show up on this report.
[00:21:01.360 --> 00:21:07.100]   But I will say that more than 80% of the banks pull your banking reports when they look for new account applications.
[00:21:07.100 --> 00:21:13.580]   So I'd say your Chex and your Early Warning Systems reports are really relied upon if you're getting a new bank account.
[00:21:13.580 --> 00:21:17.620]   I don't know what you might find on there, but it's free to pull both of them.
[00:21:17.620 --> 00:21:20.680]   So it's always interesting to do that if you are interested.
[00:21:20.940 --> 00:21:23.120]   But I didn't really learn anything from doing that.
[00:21:23.120 --> 00:21:25.640]   Last is LexisNexis.
[00:21:25.640 --> 00:21:31.620]   If anyone ever remembers looking up data, they are a big data provider across lots of verticals.
[00:21:31.620 --> 00:21:33.840]   But they do have a lot of information on consumers.
[00:21:33.840 --> 00:21:38.160]   They have public records information, insurance claim information, policy data.
[00:21:38.160 --> 00:21:42.860]   You can go in and request that, which I did and said it would come in the next two weeks.
[00:21:42.860 --> 00:21:44.020]   So I don't have anything to relate.
[00:21:44.020 --> 00:21:45.000]   You can freeze it.
[00:21:45.000 --> 00:21:46.240]   So there's an option to go freeze it.
[00:21:46.240 --> 00:21:47.400]   And then there's an opt-out.
[00:21:47.400 --> 00:21:54.740]   And one of the interesting things in here was there's opt-in, which I don't know why anyone would click that says allow for the sale of my personal information.
[00:21:54.740 --> 00:22:00.940]   And by the way, these opt-out things, they didn't show me the options until I changed my state to California.
[00:22:00.940 --> 00:22:05.920]   So I imagine there is some law in California that they're required to make it really easy.
[00:22:05.920 --> 00:22:11.600]   But I would assume, maybe incorrectly, that anyone can opt-out, but maybe it's not as easy.
[00:22:11.600 --> 00:22:17.940]   They had a partial opt-out that said, hey, allow for the sale of my professional information, but don't sell my personal information.
[00:22:17.940 --> 00:22:22.880]   And then they had a full opt-out that says, do not sell or share my personal information.
[00:22:22.880 --> 00:22:27.040]   And then a sub box that says, limit the use of my sensitive personal information.
[00:22:27.040 --> 00:22:32.920]   I don't really know why I would not fully opt-out and limit the use of my personal information.
[00:22:33.380 --> 00:22:37.480]   I care a lot about having my personal information not completely out all over the internet.
[00:22:37.480 --> 00:22:42.360]   So I fully opted out of LexisNexis after I requested my report.
[00:22:42.360 --> 00:22:43.340]   We'll see what's in there.
[00:22:43.340 --> 00:22:49.080]   This actually reminded me of something I've talked about in the past in episode 78, which is about your personal information.
[00:22:49.380 --> 00:23:02.760]   And so LexisNexis isn't necessarily a data broker, but one of the other places, if you're going through this process of trying to find all of your information, what's being stored and shared about you, is searching yourself online.
[00:23:02.760 --> 00:23:10.960]   And unfortunately, unless you've already gone through a process I'll describe, you will find your name and address and phone number on lots of different websites.
[00:23:11.220 --> 00:23:15.560]   There are hundreds of data brokers that are continuously publishing all that information.
[00:23:15.560 --> 00:23:18.640]   And the good news is that you can opt-out of a lot of them.
[00:23:18.640 --> 00:23:25.060]   So most of those websites have a place where you can scroll to the bottom, click opt-out, and submit a form and request they remove your information.
[00:23:25.060 --> 00:23:28.600]   The bad news is that information is constantly popping up.
[00:23:28.600 --> 00:23:31.880]   And so when I first encountered this, I tried to go through this myself.
[00:23:31.880 --> 00:23:44.180]   I probably spent 10 or 12 hours removing data and made it about 10% of the way through a list that I found of all the data brokers and decided that I was going to find a company that does this well and just pay for it.
[00:23:44.180 --> 00:23:49.040]   And so what started as a search for the best company to do this ended up with a partnership.
[00:23:49.040 --> 00:23:52.060]   So full disclosure, the company I use is DeleteMe.
[00:23:52.060 --> 00:23:55.420]   I actually pay them for my entire family to use DeleteMe.
[00:23:55.420 --> 00:23:58.900]   I don't get that for free, but they are a partner of the show.
[00:23:58.900 --> 00:24:02.100]   They remove your personal information from hundreds of data broker websites.
[00:24:02.100 --> 00:24:05.220]   They continuously scan to keep that information off.
[00:24:05.220 --> 00:24:15.220]   The reason that's important is, unfortunately, these data brokers have both information on their website, and they typically have a whole bundle of information that they're reselling to other people.
[00:24:15.220 --> 00:24:25.880]   And so, unfortunately, even though I got all my information removed, DeleteMe keeps scanning and finds it over and over again, which is annoying, but I'm glad that there is a service doing that for me.
[00:24:25.880 --> 00:24:36.340]   Last month, I looked and they reviewed over 16,000 listings, and they removed 80 of them from 53 different data brokers and found 570 pieces of PII.
[00:24:36.340 --> 00:24:37.960]   So that's just my personal report.
[00:24:37.960 --> 00:24:40.360]   If you're interested, go check it out.
[00:24:40.360 --> 00:24:46.800]   You can get 20% off for you or your entire family at allthehacks.com slash DeleteMe.
[00:24:46.980 --> 00:24:50.220]   That's allthehacks.com slash DeleteMe.
[00:24:50.220 --> 00:24:52.400]   All right, let's talk credit scores.
[00:24:52.400 --> 00:24:59.640]   Because a little difference in credit score can result in a huge change in the price you pay for different lending situations.
[00:24:59.640 --> 00:25:03.540]   The easiest way to look at the value of this is to look at a mortgage.
[00:25:03.540 --> 00:25:07.380]   Now, a low credit score might just completely shut you out of a mortgage.
[00:25:07.520 --> 00:25:09.280]   So, obviously, that's a huge impact.
[00:25:09.280 --> 00:25:15.380]   But even the difference between a high and a low score, and I say low score, I still mean a qualifying score.
