
[00:00:00.000 --> 00:00:22.980]   Hey everybody, my name is Doug Guthrie. I'm a solutions engineer at BrainTrust. As you can
[00:03:01.760 --> 00:03:15.280]   I think this is a, you know, obviously this is an intro to evals track. And what better way to start this out with some really, you know, influential people in the space talking about evals and why they are so important.
[00:03:15.280 --> 00:03:21.800]   So why would you think about evals, right? They, they, they help you answer questions. So here's, here's a few of them.
[00:03:21.800 --> 00:03:28.800]   When I change the underlying model to my application, is it, is it getting better or is it getting worse?
[00:03:28.800 --> 00:03:35.320]   When I change my prompt, right? When I change certain, certain things about the application, is it getting better or is it getting worse?
[00:03:35.320 --> 00:03:47.320]   We want to get away from not having a rigorous sort of process around building with large language models, which as you all know, right, non-deterministic outputs creates somewhat of a challenge.
[00:03:47.320 --> 00:03:55.160]   And without evals in place, it becomes really, really hard to, to create a good application that we can put into production.
[00:03:55.160 --> 00:04:01.440]   Maybe some other ones, like obviously being able to detect regressions within the, within the code.
[00:04:01.440 --> 00:04:10.320]   I think the other, the other thing that Ankur mentioned to me when I first started, which I didn't really mention this, but this is my, my third week at, at BrainTrust as a solutions engineer.
[00:04:10.320 --> 00:04:21.440]   But one of the things that he mentioned to me that I thought really resonated was, uh, evals are a really great way, I think people think of them as almost like unit tests for, uh, for our, you know, our applications.
[00:04:21.440 --> 00:04:31.000]   But he kind of described it in another way of like, this is a really great way for us to play offense, uh, as opposed to just playing defense, where I think maybe unit tests are, are kind of used for.
[00:04:31.000 --> 00:04:39.000]   This can actually be used as a tool to, to really help, uh, create a lot of rigor around us building and developing these applications.
[00:04:39.000 --> 00:04:44.880]   And ensuring that we actually build, uh, things that we can put into production.
[00:04:44.880 --> 00:04:50.360]   Maybe from like a business perspective, uh, why would you think about running evals or using evals?
[00:04:50.360 --> 00:05:03.040]   Uh, here's a few here, uh, if you have, um, evals running both offline and online, you create this feedback loop or this flywheel effect that I think Manu mentioned in the, in the keynote, in the keynote, excuse me.
[00:05:03.040 --> 00:05:11.920]   Um, and this flywheel effect allows us to, you know, uh, cut dev time, allows us to, uh, enhance the quality of this application that we're putting out in production.
[00:05:11.920 --> 00:05:28.920]   If you're able to connect the things that are happening in, in real life with your users in production and being able to, uh, filter those logs down, add those spans to data sets, inform what you're doing in an offline way creates, uh, that, that flywheel effect that becomes really powerful from a development perspective.
[00:05:28.920 --> 00:05:47.800]   Uh, again, a little bit more on the, on the customer side, here's a few of our customers and some of the outcomes that they've, that they've seen using brain trust, whether it's, uh, moving a little bit faster, pushing more AI features into production or just increasing the quality of, of the applications that they have.
[00:05:47.800 --> 00:05:57.320]   So let's, let's, let's start talking a little bit about the, the core concepts of, of, of brain trust.
[00:05:57.320 --> 00:06:06.760]   Obviously we're here to talk about evals, uh, the, the, the things that I think, um, you see like these arrow, these arrows going, uh, one way and the other.
[00:06:06.760 --> 00:06:10.880]   This again is that, that flywheel effect that, that I described earlier.
[00:06:10.880 --> 00:06:20.080]   Um, there's the, the prompt engineering aspect of this, uh, in brain trust, think of, uh, this playground that we have as an IDE for LLM outputs.
[00:06:20.080 --> 00:06:30.520]   Uh, the playgrounds allow for that rapid prototyping as we make those changes, as we change the underlying model, what is the impact to that, to that, uh, particular, uh, task or that application.
[00:06:30.520 --> 00:06:37.560]   Then those evals allow us to understand the improvement or the regression of those changes and then the observability aspect, right?
[00:06:37.560 --> 00:06:50.600]   This is the, the logs that we're generating in production, the, the ability to, uh, uh, uh, have a human review those logs in a really easy, uh, intuitive interface and then have user feedback from actual users be logged into the application as well.
[00:06:50.600 --> 00:06:53.560]   So what is an eval?
[00:06:53.560 --> 00:06:59.080]   Yeah, you probably, uh, heard this, uh, several times today throughout the week if you stopped by the booth.
[00:06:59.080 --> 00:07:04.760]   But sort of our definition here is that structured test that checks how well your AI system performs, right?
[00:07:04.760 --> 00:07:09.800]   It helps you measure these things that are important, quality, reliability, uh, correctness.
[00:07:09.800 --> 00:07:14.920]   So what are the ingredients in an eval, right?
[00:07:14.920 --> 00:07:16.600]   I've been talking a little bit about task, right?
[00:07:16.600 --> 00:07:20.760]   This is the thing, uh, the code or the prompt that we want to, uh, evaluate.
[00:07:20.760 --> 00:07:27.000]   The, the really cool thing about brain trust is that this can be as simple as a, as a sim, excuse me, a single prompt.
[00:07:27.000 --> 00:07:31.800]   Or it could be this, this full sort of agentic workflow where we're, uh, calling out the tools.
[00:07:31.800 --> 00:07:36.280]   There's no sort of limit on to the, uh, the, the complexity that we put into this task.
[00:07:36.280 --> 00:07:39.400]   The only thing it requires is an input and an output.
[00:07:39.400 --> 00:07:41.560]   The second thing is a data set.
[00:07:41.560 --> 00:07:43.960]   This is our, uh, real world examples.
[00:07:43.960 --> 00:07:50.280]   This is, uh, essentially what we're gonna run the task against to understand how well, uh, our application is performing.
[00:07:50.280 --> 00:07:53.000]   And how we do that is via scores.
[00:07:53.000 --> 00:07:56.840]   So the score is really the, the logic behind your evals.
[00:07:56.840 --> 00:07:59.240]   There's, there's a couple different ways to think about this.
[00:07:59.240 --> 00:08:01.320]   There's the LLM as a judge type score.
[00:08:01.320 --> 00:08:11.080]   So, uh, you give it the, the output and some criteria and it is able to assess, uh, like say, I want, uh, based on this output, is this excellent?
[00:08:11.080 --> 00:08:12.920]   Is this fair, is this poor?
[00:08:12.920 --> 00:08:17.640]   And then those outputs then correspond to, you know, 0.5 or 1.
[00:08:17.640 --> 00:08:19.400]   Uh, you also have code based scores, right?
[00:08:19.400 --> 00:08:29.560]   These are maybe a little bit more heuristic or binary, but, uh, we can use both of these to really aid in the development of that, of that eval and ensuring that we're building a really good application.
[00:08:29.560 --> 00:08:40.440]   Uh, I think I just sort of mentioned this here as well, but like the, the two mental models here of, of evals, there's, there's offline and online.
[00:08:40.440 --> 00:08:41.720]   Offline is pre-production.
[00:08:41.720 --> 00:08:44.680]   This is us actually doing that, that iteration.
[00:08:44.680 --> 00:08:48.600]   It's, uh, identifying and resolving issues before deployment.
[00:08:48.600 --> 00:08:50.840]   Uh, this is where we're defining those tasks.
[00:08:50.840 --> 00:08:54.120]   It's where we're defining those scores, uh, online evals.
[00:08:54.120 --> 00:08:58.200]   This is that real time tracing of, of, of the application in production.
[00:08:58.200 --> 00:09:04.280]   It's logging the model inputs and the outputs, uh, the intermediate steps, the tool calls, everything that's happening.
[00:09:04.280 --> 00:09:12.760]   It allows us to diagnose performance and reliability issues, latency, uh, based on how you instrument your, your application with brain trust.
[00:09:12.760 --> 00:09:22.360]   We can pull back lots of different metrics related to cost and tokens and duration and all of these things help inform, uh, how we build this application.
[00:09:22.360 --> 00:09:27.880]   Um, I'll, I'll jump into a little bit more of like how we can instrument our app, uh,
[00:09:27.880 --> 00:09:29.160]   for online evals.
[00:09:29.160 --> 00:09:35.000]   Uh, we're going to first, I think, talk a little bit more of the offline before doing that.
[00:09:35.000 --> 00:09:39.400]   Uh, maybe just like level set on how to improve.
[00:09:39.400 --> 00:09:46.840]   I think one of the, the, the, the things that I've seen, uh, in the last few days here, the conversations that I've had, it's like almost, how do I get started?
[00:09:46.840 --> 00:09:50.760]   Or what do I do if X or, you know, those types of questions.
[00:09:50.760 --> 00:09:58.920]   The other thing I heard from Anker, uh, very early on is that like, just get started, create that baseline that you can then iterate and build from.
[00:09:58.920 --> 00:10:06.840]   Uh, I think a lot of people get caught in like creating this, this golden data set of test cases, uh, that they, they can then like iterate from.
[00:10:06.840 --> 00:10:15.000]   Um, start, you, you don't necessarily have to do that, start and build that, uh, that baseline, establish that foundation that you can then improve upon.
[00:10:15.000 --> 00:10:21.240]   But this is a really good sort of matrix of like, uh, if I have good output, but a low score, what do I do?
[00:10:21.240 --> 00:10:36.600]   Right. Improve your evals. If I have bad output and a high score, improve your, your evals or your scoring, but really good kind of like high level, uh, understanding of, of where to start to target your, your efforts when you are building these apps and you're in, you're creating evals.
[00:10:36.600 --> 00:10:42.600]   So let's jump into the actual components that I just, that I just talked about.
[00:10:42.600 --> 00:10:46.920]   So within the brain trust platform, we have a task, uh, again, this could be a prompt.
[00:10:46.920 --> 00:10:51.480]   This could be like this full agentic workflow, uh, very basic, you, you see that, that gif running.
[00:10:51.480 --> 00:10:53.320]   This is a prompt within the platform.
[00:10:53.320 --> 00:10:57.000]   You specify an underlying model that you wanted to use.
[00:10:57.000 --> 00:10:59.000]   You give it a, a system prompt.
[00:10:59.000 --> 00:11:01.240]   You can also, uh, give it access to tools.
[00:11:01.240 --> 00:11:03.960]   It has access to mustache, mustache templating.
[00:11:03.960 --> 00:11:11.480]   So you can pass in variables like user questions or, um, you know, the input from the user, its chat history or metadata, right?
[00:11:11.480 --> 00:11:16.440]   So when we actually go and want to parse through these logs, the metadata becomes actually beneficial.
[00:11:16.440 --> 00:11:19.880]   Uh, enabling us to do that in a really easy way.
[00:11:19.880 --> 00:11:26.520]   Um, going forward, uh, maybe we have a multi-turn sort of chat type scenario where we want to add
[00:11:26.520 --> 00:11:31.960]   uh, additional messages for the system and the assistant and the user, uh, and our tool calls as well.
[00:11:31.960 --> 00:11:37.720]   Uh, the, uh, the, the platform allows for that just via this, uh, plus this messages, uh, button.
[00:11:37.720 --> 00:11:41.080]   And then you're able to add those different messages to the prompt.
[00:11:41.080 --> 00:11:45.160]   Um, also we can add tools.
[00:11:45.160 --> 00:11:48.600]   So oftentimes the, the, the prompt will, will need access to, to something, right?
[00:11:48.600 --> 00:11:51.160]   Maybe it's a, a rag type workflow.
[00:11:51.160 --> 00:11:53.080]   Maybe it's doing web search, whatever it is.
[00:11:53.080 --> 00:11:57.000]   We can now use those tools as part of that prompt, right?
[00:11:57.000 --> 00:12:03.000]   And so when you use sort of encode in that prompt, like make sure you use X tool, uh, this prompt has access
[00:12:03.000 --> 00:12:04.840]   to that tool while it's running.
[00:12:04.840 --> 00:12:11.320]   Uh, the last one, this is actually a feature that is in beta right now.
[00:12:11.320 --> 00:12:16.200]   Uh, it's actually creating more of that agentic type workflow within your, uh, within the brain
[00:12:16.200 --> 00:12:17.640]   trust platform itself.
[00:12:17.640 --> 00:12:22.760]   So it's, it's a way right now, at least to chain together prompts where the, the output of one
[00:12:22.760 --> 00:12:24.760]   now becomes the input of the other.
[00:12:24.760 --> 00:12:29.880]   But if you think back maybe to, to this slide, if I have sort of, um, this prompt that has access
[00:12:29.880 --> 00:12:34.920]   to tools, you, you create a pretty powerful system here where you're able to go from, uh,
[00:12:34.920 --> 00:12:40.040]   maybe that first step that has X access to a certain tool and we get some output from that.
[00:12:40.040 --> 00:12:43.960]   We can then go to that next step that has access to maybe some other tools, right?
[00:12:43.960 --> 00:12:48.200]   That's sort of like maybe multi-agent type of workflow we can create with the underlying tools
[00:12:48.200 --> 00:12:49.000]   within those prompts.
[00:12:49.000 --> 00:12:54.840]   The second thing that I talked about is data sets, right?
[00:12:54.840 --> 00:12:59.560]   These are our test cases that we want to give to the, the task to run.
[00:12:59.560 --> 00:13:01.160]   So we can sort of iterate over that.
[00:13:01.160 --> 00:13:04.920]   We can get the output and then going down a little bit further, actually score that.
[00:13:04.920 --> 00:13:08.760]   But this is, um, obviously really important when we're, when we're running our evals.
[00:13:08.760 --> 00:13:12.440]   And then when we are, uh, trying to pull from production, right?
[00:13:12.440 --> 00:13:17.640]   The, the actual logs that are happening, we can add those, those, uh, spans, those traces
[00:13:17.640 --> 00:13:19.080]   to the data sets in a really easy way.
[00:13:19.080 --> 00:13:21.000]   And I can show you what that looks like.
[00:13:21.000 --> 00:13:25.000]   But, uh, if you look there at the bottom, the only thing that's required is the, the input.
[00:13:25.000 --> 00:13:27.720]   Uh, you also have the ability to add, uh, expected.
[00:13:27.720 --> 00:13:31.080]   So what is the expected output for that input, right?
[00:13:31.080 --> 00:13:35.960]   You can sort of like, uh, create some sort of score that looks at the output with the expected.
[00:13:35.960 --> 00:13:40.680]   There is a, a score called Levenstein that allows you to, you know, measure the, the, the difference
[00:13:40.680 --> 00:13:41.320]   between those two.
[00:13:41.320 --> 00:13:45.080]   So you can do some different things based on what you provide to that data set.
[00:13:45.080 --> 00:13:46.440]   You also have metadata as well.
[00:13:46.440 --> 00:13:50.840]   Again, being able to filter down different things, pulling the data set maybe into your own code base.
[00:13:50.840 --> 00:13:54.360]   And I want to filter by again, X, Y, or Z via the metadata.
[00:13:54.360 --> 00:13:55.240]   That's all possible.
[00:13:55.240 --> 00:14:01.320]   Uh, I mentioned this a little bit ago, but just start small and iterate, right?
[00:14:01.320 --> 00:14:04.520]   You don't have to create this golden data set to, to get started here.
[00:14:04.520 --> 00:14:10.360]   Um, just, just start and then, uh, then continue to iterate and build from that baseline.
[00:14:11.080 --> 00:14:13.640]   Uh, the human review portion also becomes really powerful.
[00:14:13.640 --> 00:14:18.280]   Again, when we have stuff, uh, being logged within production, having humans actually go
[00:14:18.280 --> 00:14:22.600]   through those logs and, you know, there's lots of different ways to filter it down to the things
[00:14:22.600 --> 00:14:24.040]   that they should be looking at.
[00:14:24.040 --> 00:14:29.000]   And then we can now decide to add those things to certain data sets that then inform, uh,
[00:14:29.000 --> 00:14:30.680]   the offline evals that we're running.
[00:14:30.680 --> 00:14:40.120]   Uh, the last thing, the last ingredient here that we need for our, excuse me, uh, for our evals are our scores.
[00:14:40.120 --> 00:14:43.000]   We have both code base scores, right?
[00:14:43.000 --> 00:14:49.240]   Again, this is like more of those binary type conditions, but you can actually, uh, code TypeScript or Python.
[00:14:49.240 --> 00:14:54.200]   You can do that within the UI, as you see over there on the bottom left, or you can within your own code base,
[00:14:54.200 --> 00:14:56.680]   create that score and then push it into brain trust.
[00:14:56.680 --> 00:14:58.440]   So we can use it in the platform.
[00:14:58.440 --> 00:15:01.880]   Other users who are maybe aren't in the code base can use that score as well.
[00:15:01.880 --> 00:15:06.280]   The other score that we have access to is called LLM as a judge.
[00:15:06.280 --> 00:15:10.040]   So this allows us to use an LLM to sort of judge the output.
[00:15:10.040 --> 00:15:15.880]   We can give it the, the set of criteria that indicates what a good or a fair or a bad score,
[00:15:15.880 --> 00:15:19.160]   or whatever it is, you, you get to decide, uh, what that looks like.
[00:15:19.160 --> 00:15:24.120]   So you give it that criteria and it says, if it's good, uh, I want to do a one.
[00:15:24.120 --> 00:15:26.040]   If it's bad, I want to do a zero.
[00:15:26.040 --> 00:15:31.560]   But this starts to create the scores, uh, that we can use in that offline, in that online sense.
[00:15:31.560 --> 00:15:37.720]   The other thing to call out here is that we have, um, internally built a package called auto evals.
[00:15:37.720 --> 00:15:40.120]   So this is something that you can now pull into your project.
[00:15:40.120 --> 00:15:44.840]   These are out of the box scores that are both LLM as a judge, as well as code base.
[00:15:44.840 --> 00:15:47.800]   And so it just allows you to get started very, very quickly.
[00:15:47.800 --> 00:15:52.840]   Another thing I heard Ankur mention is, um, maybe starting with Levenstein,
[00:15:52.840 --> 00:15:57.080]   maybe not the best score in a lot of cases, but again, it establishes a baseline.
[00:15:57.080 --> 00:16:00.600]   Very, very little development work for, for, uh, our users,
[00:16:00.600 --> 00:16:03.080]   but it creates that thing that we can then build from.
[00:16:03.080 --> 00:16:08.440]   And now you have, uh, a direction, a direction to go in to go build maybe that more custom score.
[00:16:08.440 --> 00:16:14.120]   Some of the things that we've heard from our customers,
[00:16:14.120 --> 00:16:17.080]   some tips that, um, that, you know, important to think about.
[00:16:17.080 --> 00:16:21.560]   A lot of our customers are using higher quality models for scoring.
[00:16:21.560 --> 00:16:25.320]   Uh, even if the prompt uses a cheaper model, just, just makes a lot of sense.
[00:16:25.320 --> 00:16:28.040]   Like while we're running that application to use the cheaper model,
[00:16:28.040 --> 00:16:31.720]   but use the, the more expensive one to actually go out and score it.
[00:16:31.720 --> 00:16:36.680]   Um, also break your scoring into, uh, very focused areas.
[00:16:36.680 --> 00:16:40.680]   So, uh, the example that I'll show is a, an application that,
[00:16:40.680 --> 00:16:43.560]   that generates a change log from a series of commits.
[00:16:43.560 --> 00:16:46.520]   So I could create a score that says assess my accuracy,
[00:16:46.520 --> 00:16:48.600]   my formatting, and my correctness.
[00:16:48.600 --> 00:16:54.120]   Or I could create three different scores that assess accuracy and then formatting and then correctness.
[00:16:54.120 --> 00:16:58.600]   So have your scores be very targeted to the thing, uh, that they're supposed to be doing.
[00:16:58.600 --> 00:17:03.720]   Uh, test your score pump, excuse me, prompts in the playground before use.
[00:17:03.720 --> 00:17:07.240]   And then avoid, avoid overloading the score or prompt with context.
[00:17:07.240 --> 00:17:09.240]   Uh, focus it on the relevant input and the output.
[00:17:09.240 --> 00:17:18.120]   Uh, couple things here, here's where, uh, over on the left we have our playgrounds.
[00:17:18.120 --> 00:17:22.120]   This is where we do that, that sort of like rapid iteration where we can pull in those prompts.
[00:17:22.120 --> 00:17:26.200]   We can pull in those agents, add our data sets and add our scores.
[00:17:26.200 --> 00:17:30.440]   And we can click run and it'll go out and sort of churn through that data set that we've defined.
[00:17:30.440 --> 00:17:36.280]   And it will give you a sense for how well your task is performing against the data set with the scores that we define.
[00:17:36.280 --> 00:17:39.640]   But this is the place where, uh, developers, uh, PMs.
[00:17:39.640 --> 00:17:44.600]   We even have a healthcare company that has doctors coming into the platform and interacting with the
[00:17:44.600 --> 00:17:46.840]   playground and even doing human review as well.
[00:17:46.840 --> 00:17:50.200]   Uh, depends a little bit obviously on, on the organization.
[00:17:50.200 --> 00:17:52.360]   The thing on the right is our experiments.
[00:17:52.360 --> 00:17:55.960]   This is our sort of like snapshot in time of those evals.
[00:17:55.960 --> 00:17:59.720]   So imagine now like as we are doing this development and we're trying to understand,
[00:17:59.720 --> 00:18:04.120]   uh, like the last, you know, the last month or so, are, are we getting better, right?
[00:18:04.120 --> 00:18:07.720]   The, the, the changes that we are making, the model changes, whatever it is,
[00:18:07.720 --> 00:18:12.600]   are we improving our, our application and the experiments is a really great way to,
[00:18:12.600 --> 00:18:13.560]   to understand that.
[00:18:13.560 --> 00:18:16.600]   Uh, really important maybe to call out as well.
[00:18:16.600 --> 00:18:17.480]   You can see in the bottom, right?
[00:18:17.480 --> 00:18:20.600]   The evals can happen from, uh, the application, right?
[00:18:20.600 --> 00:18:23.720]   The, the brain trust platform as well as via the SDK.
[00:18:23.720 --> 00:18:26.680]   Cool.
[00:18:26.680 --> 00:18:30.760]   Maybe just really quick because, uh, nobody likes looking at, at slides all the time.
[00:18:30.760 --> 00:18:31.640]   I, I certainly don't.
[00:18:31.640 --> 00:18:37.080]   Uh, maybe if you haven't seen brain trust yet, this is maybe a good, a good quick demo.
[00:18:37.560 --> 00:18:41.320]   Uh, so again, like the, the, uh, the idea here is I have this, this application.
[00:18:41.320 --> 00:18:42.920]   I'll just give you, I'll show you over here.
[00:18:42.920 --> 00:18:46.280]   Uh, you give it a GitHub repository URL.
[00:18:46.280 --> 00:18:52.360]   It, uh, grabs the most recent commits and then creates a change log from there.
[00:18:52.360 --> 00:18:55.560]   And then once this completes, you can even provide some user feedback.
[00:18:55.560 --> 00:18:58.440]   But this is the thing that we want to, uh, evaluate.
[00:18:58.440 --> 00:19:03.080]   So what I can do, uh, I'll go into my, my playground, right?
[00:19:03.080 --> 00:19:07.320]   This is the place where I can start to, uh, run those, those, uh, those experiments.
[00:19:07.320 --> 00:19:09.800]   Or I can start to iterate on that prompt that I have.
[00:19:09.800 --> 00:19:15.000]   From my project, I've actually loaded in two different, uh, two different prompts.
[00:19:15.000 --> 00:19:19.960]   So maybe I'll, before going into the playground, I've actually created these two prompts within
[00:19:19.960 --> 00:19:22.680]   my code base and I pushed them into the brain trust platform.
[00:19:22.680 --> 00:19:28.200]   I've also created a dataset in that code base and I've also created some scores, right?
[00:19:28.200 --> 00:19:31.080]   These are the ingredients that we need to run our evals.
[00:19:31.080 --> 00:19:35.880]   So now when we have, we have those, we have those different components.
[00:19:35.880 --> 00:19:38.120]   Now we're able to start to iterate here.
[00:19:38.120 --> 00:19:43.400]   So I'm going to actually create a net new playground and I will load in one of these prompts.
[00:19:43.400 --> 00:19:48.440]   So again, here's my first prompt.
[00:19:48.440 --> 00:19:51.720]   Uh, my first prompt has a model associated with it.
[00:19:51.720 --> 00:19:56.360]   What becomes really cool here is the ability to, to like, to iterate on the underlying model,
[00:19:56.360 --> 00:19:56.600]   right?
[00:19:56.600 --> 00:20:00.760]   I think a lot of us are, we have access to a lot of underlying providers and we want
[00:20:00.760 --> 00:20:06.520]   to be able to understand if I change this or if I, you know, a provider adds a new model,
[00:20:06.520 --> 00:20:08.200]   what is the impact to my application?
[00:20:08.200 --> 00:20:13.480]   So I can duplicate this prompt and maybe change this to GPT 4.1.
[00:20:13.480 --> 00:20:14.760]   I can run this.
[00:20:14.760 --> 00:20:21.320]   Before I run it, I have to add all of my components.
[00:20:21.320 --> 00:20:25.720]   So I'll add my, my dataset and then I can add my different scores that I've, uh,
[00:20:25.720 --> 00:20:27.720]   that I've configured here for my change log.
[00:20:27.720 --> 00:20:34.440]   And so I can click run and then now we'll understand here, what is the effect of changing the model,
[00:20:35.160 --> 00:20:39.080]   uh, for this particular task with the scores that I've configured against this dataset.
[00:20:39.080 --> 00:20:43.320]   So this will churn through all of these in, in parallel and we'll start to get some results back.
[00:20:43.320 --> 00:20:46.760]   Uh, lots of different ways to actually start to look at this data.
[00:20:46.760 --> 00:20:50.680]   I always like coming over to the summary layout because I can understand like, um,
[00:20:50.680 --> 00:20:54.840]   um, you can see over here, this is my base task right here and then my comparison task.
[00:20:54.840 --> 00:21:00.680]   So I can understand, uh, looks like, you know, on average, uh, that the base is performing a little
[00:21:00.680 --> 00:21:04.280]   bit better than my, uh, comparison task on my completeness score.
[00:21:04.280 --> 00:21:07.160]   Uh, it's varying a little bit worse on my accuracy score.
[00:21:07.160 --> 00:21:10.760]   Uh, both of them are, you know, zero percent on my formatting.
[00:21:10.760 --> 00:21:16.440]   So probably have some work to do there, but you can start to see how you can use this type of interface
[00:21:16.440 --> 00:21:18.280]   to iterate very quickly, right?
[00:21:18.280 --> 00:21:24.680]   Now, uh, the other thing that, um, maybe shouldn't do, but, uh, I can't resist because we just released
[00:21:24.680 --> 00:21:27.080]   this today is this new loop feature.
[00:21:27.080 --> 00:21:32.440]   So imagine you are, uh, you know, you're a user within brain trust and before this,
[00:21:32.440 --> 00:21:37.560]   you would sort of manually iterate here and creating net new prompts, uh, making modifications,
[00:21:37.560 --> 00:21:38.600]   changing the model.
[00:21:38.600 --> 00:21:42.200]   What if you could now utilize AI to go and do that for you?
[00:21:42.200 --> 00:21:48.280]   So any sort of like cursor like, uh, interface, we can ask it to optimize a prompt.
[00:21:48.280 --> 00:21:53.640]   And I think the really unique thing here is it has access to those, uh, those evaluation results.
[00:21:53.640 --> 00:21:58.920]   And so when it goes to go, uh, change that prompt, it understands that it changes the prompt.
[00:21:58.920 --> 00:22:00.120]   It runs the evaluation.
[00:22:00.120 --> 00:22:03.240]   It understands if it got better relative to the scores that we defined.
[00:22:03.240 --> 00:22:07.080]   So you can see if it's going to go through here, it'll fetch some eval results.
[00:22:07.080 --> 00:22:10.280]   Uh, you'll probably see a diff here very, very soon.
[00:22:10.280 --> 00:22:14.040]   If we don't, I won't, I won't hang out here too long, but I do want to highlight one of the things
[00:22:14.040 --> 00:22:19.080]   that we are releasing that really enables our users to iterate in a really, uh, really fast way.
[00:22:19.080 --> 00:22:21.000]   So here's my, my change.
[00:22:22.120 --> 00:22:27.720]   We can click accept and then it'll actually go out and run that eval again or it would.
[00:22:27.720 --> 00:22:33.480]   Uh, I think I have an issue with my anthropic API keys, but the idea here again is like we can
[00:22:33.480 --> 00:22:37.640]   create that very rapid, uh, iterative feedback loop here within the playground.
[00:22:37.640 --> 00:22:41.800]   The other thing here is, uh, we can run these as experiments.
[00:22:41.800 --> 00:22:48.280]   So this is, um, this is where we can start to create those snapshots in time of that eval.
[00:22:48.280 --> 00:22:53.720]   And again, see as I make these changes to that, that application, how is it sort of performed
[00:22:53.720 --> 00:22:53.880]   over time?
[00:22:53.880 --> 00:22:56.040]   I want to make sure I don't, I don't want to go down.
[00:22:56.040 --> 00:23:00.520]   I don't want to like, uh, decrease the performance of my scores relative to obviously the last time
[00:23:00.520 --> 00:23:05.880]   it ran, but, uh, looking out over the last month, six months, whatever it is that we're tracking.
[00:23:09.880 --> 00:23:19.320]   So that was very, very, uh, brief sort of intro to like evals via the UI, right?
[00:23:19.320 --> 00:23:24.680]   Again, like just to summarize, we need a task, we need a dataset and we need at least one score.
[00:23:24.680 --> 00:23:27.880]   We can pull those into the playground and now we can start to iterate.
[00:23:27.880 --> 00:23:33.320]   We can save these via experiments. Uh, and now we can, we have a way in which we can understand
[00:23:33.320 --> 00:23:38.280]   how well this application is performing, right? This is no longer like qualitative, right? This isn't
[00:23:38.280 --> 00:23:43.320]   like, Hey, I think this got better. That output looks better. There is actual rigor behind this now.
[00:23:43.320 --> 00:23:49.320]   Um, customers oftentimes ask though, like, I don't really want to use, or I'm not going to use the,
[00:23:49.320 --> 00:23:53.320]   the platform as much. I'd rather use this from my, my code base. Is that possible?
[00:23:53.320 --> 00:23:59.720]   Uh, and it is. Uh, so, uh, we have, uh, Python SDK. We have a TypeScript SDK. There, there's some
[00:23:59.720 --> 00:24:04.680]   other ones as well, Go, Java, Kotlin. Uh, for the most part, most of our users are using, uh, Python
[00:24:04.680 --> 00:24:10.280]   or TypeScript. Here's a, just a couple examples of what this might look like from an SDK perspective.
[00:24:10.280 --> 00:24:17.640]   Um, actually, if you all aren't, uh, opposed to looking at, uh, some code, here's just a, a really
