
[00:00:00.000 --> 00:00:22.640]   Hello, so I'm Ben Kuss, I'm CTO of Boxx and I'm going to talk today about our journey of through
[00:08:39.360 --> 00:08:44.720]   it doesn't work right. And so this became this kind of set of challenges that we focused on. And so
[00:08:44.720 --> 00:08:47.840]   customers were looking for speed. They're looking for affordability. They're making this work. They're
[00:08:47.840 --> 00:08:53.520]   saying, if AI is this future awesome thing, then like, you know, show it to me. And so we're in on
[00:08:53.520 --> 00:09:00.800]   these more complex documents. So at this point, we kind of hit our despair moment. Our, we thought
[00:09:00.800 --> 00:09:04.560]   LLMs were the solution to everything. We thought that like, we could have these AI models that worked.
[00:09:04.560 --> 00:09:09.200]   But then we actually struggled. Like, what do you do now? How do you fix this? And I know, let's just
[00:09:09.200 --> 00:09:13.920]   wait until the next Gemini model or, you know, OpenAI seems to be on top of this. So like,
[00:09:13.920 --> 00:09:19.680]   wait till the next one, which is part of it, right? The models do get better. But the fragility of the
[00:09:19.680 --> 00:09:26.320]   architecture was one that was, we weren't really going to be able to solve on our own. So naturally,
[00:09:26.320 --> 00:09:35.600]   one of the answers that we came up with was bringing agentic approaches to everything that we do. And this
[00:09:35.600 --> 00:09:41.600]   is really the one of the key things that I want to sort of bring out in this session is that it certainly was
[00:09:41.600 --> 00:09:47.360]   not obvious that the way to fix all these problems in something like data extraction was to do agentic
[00:09:47.360 --> 00:09:51.600]   style of interactions. And when I say agentic, I mean, an AI agent that does something like this,
[00:09:51.600 --> 00:09:57.840]   I am on instructions, objectives, with the model background tools, we can make have secure access,
[00:09:57.840 --> 00:10:01.520]   of course, it has memory from the purposes of advancing and being able to look up information
[00:10:01.520 --> 00:10:10.880]   inside of the system, but also with a full directed graph. So the ability to orchestrate it to be able to do
[00:10:10.880 --> 00:10:14.960]   things like where you say, do this, then this, then this, either it comes up with its own plan, or we
[00:10:14.960 --> 00:10:20.640]   actually can orchestrate it ourselves, because we have knowledge of what we want to do. And this was for us,
[00:10:20.640 --> 00:10:24.000]   um, I mean, it's controversial, like, it was like our engineers, like, what are you talking about? Like,
[00:10:24.000 --> 00:10:29.360]   let's just make the OCR better, like, like, let's just add another step somewhere, like, let's just add a post-processing,
[00:10:29.360 --> 00:10:33.760]   uh, regular expression checks. And then, and then, of course, everybody always like, I have a way to do
[00:10:33.760 --> 00:10:38.160]   this, um, based on the old way of doing this. Why don't we make training ML model? Like, why don't we
[00:10:38.160 --> 00:10:42.960]   fine tune? And then, and then, and so suddenly, all of the genericness of it would be get lost in this process.
[00:10:42.960 --> 00:10:51.120]   So, um, we came up with a mechanism, which was a, uh, so this is, uh, I think, like, kind of land graph
[00:10:51.120 --> 00:10:58.720]   style of agentic, uh, capabilities. And, um, so we still, we went, uh, we still had the same inputs and outputs.
[00:10:59.440 --> 00:11:05.040]   In document with fields, out answers. However, the approach was an agentic approach.
[00:11:05.040 --> 00:11:11.600]   And so, um, you know, we played with all the models, uh, reflecting, uh, back and forth and criticism,
[00:11:11.600 --> 00:11:17.520]   uh, being able to, uh, uh, separate it in multiple tasks, uh, to be able to have different multi-agent
[00:11:17.520 --> 00:11:21.680]   systems work on this. And we ended up with something like this, where you have a step where you prepare
[00:11:21.680 --> 00:11:26.320]   the fields, you go through, you group the fields. We learned quickly that, like, if there's like a set of
[00:11:26.320 --> 00:11:29.840]   fields that are like customers, uh, from a contract and then are like, uh, like parties,
[00:11:29.840 --> 00:11:32.960]   and then somewhere else there's like the address of the parties, like you need the AI to handle those
[00:11:32.960 --> 00:11:37.680]   together. Otherwise it's like, you have three parties and two sets of addresses, which don't
[00:11:37.680 --> 00:11:43.360]   match. So we, so we had to break up intelligently the set of fields. We had to go through and we had to,
[00:11:43.360 --> 00:11:49.040]   um, uh, uh, like, uh, uh, do multiple queries on a document. Then after we got that, we would then
[00:11:49.040 --> 00:11:54.000]   use a set of tools to check in and double check the results. In some cases we use OCR. We would then
[00:11:54.000 --> 00:11:58.320]   double check it by looking at pictures of the pages, um, and, and, and using multiple models. Sometimes
[00:11:58.320 --> 00:12:02.400]   they vote and they're like, wow, like, this is a hard question. Three, three models from different
[00:12:02.400 --> 00:12:07.120]   vendors. Uh, two of them think this is the answer. That was probably a good answer. Um, and then on to the
[00:12:07.120 --> 00:12:12.560]   idea of the LM as a judge, not just a judge to tell you that this is a, um, this is the answer,
[00:12:12.560 --> 00:12:18.560]   but a judge to tell you, uh, Hey, uh, here's some feedback, keep trying. Now, of course this takes a
[00:12:18.560 --> 00:12:22.800]   little bit longer. Um, but, uh, this is something that then leads to the kind of accuracy that you'd
[00:12:22.800 --> 00:12:30.400]   want overall. And so for us, this was the, um, the, uh, uh, the architecture that then helped us solve
[00:12:30.400 --> 00:12:36.160]   a set of problems. And it became, um, interesting because every time there was a new set of challenges,
[00:12:36.160 --> 00:12:41.840]   the answer was not rethink everything, or let's then try like a whole new set of like,
[00:12:41.840 --> 00:12:46.240]   oh, we're gonna give us six months and we'll come up with a new idea. But, uh, I wonder if we change
[00:12:46.240 --> 00:12:50.320]   that prompt on that one note, or I wonder if we add another double check at the end, then we can
[00:12:50.320 --> 00:12:54.320]   actually start to solve this problem. So we bring the power of AI intelligence to help us then solve
[00:12:54.320 --> 00:13:00.480]   something that we used to think of as a standard function. Um, and then not only that, it helped us
[00:13:00.480 --> 00:13:04.480]   in other ways. Like, so we were naturally as an unstructured content store, like one of the first things
[00:13:04.480 --> 00:13:08.320]   you always see people, if I can give you a demo right now, it's, I have a bunch of documents,
[00:13:08.320 --> 00:13:11.600]   I have a question. And then we had the same thing that a judge and it'd be like, you'll tell us like,
[00:13:11.600 --> 00:13:16.560]   oh, that was a good answer or that wasn't. And then why not just, if it's not a good answer,
[00:13:16.560 --> 00:13:21.920]   we'll take another beat and, and tell the AI, like, uh, try again, before you tell the user this answer,
[00:13:21.920 --> 00:13:26.880]   like, I want you to, um, uh, like reflect on it for a second. And this kind of thing just leads to higher
[00:13:26.880 --> 00:13:32.480]   accuracy. And then it also leads to much more complexity. So we just announced our deep research capabilities on
[00:13:32.480 --> 00:13:36.240]   your content. So in the same way that like open AI, uh, or Gemini does deep research on the internet,
[00:13:36.240 --> 00:13:41.040]   we let you do deep research on your data inbox would look something like this. So this would be like
[00:13:41.040 --> 00:13:45.600]   roughly the, the directed graph that you'd have where you'd go through, you know, first we searched for
[00:13:45.600 --> 00:13:49.440]   the data, kind of do that for a while, figure out what's relevant, double check, then make an outline,
[00:13:49.440 --> 00:13:54.560]   kind of prepare a plan, go through, um, uh, make, make a, a process. And this is all agentic thinking.
[00:13:54.560 --> 00:13:59.520]   And it, and, and this kind of thing wouldn't really be possible if we hadn't kind of laid the front,
[00:13:59.520 --> 00:14:06.400]   the framework of having an agentic foundation overall. So, um, I will leave you with, uh, these,
[00:14:06.400 --> 00:14:11.280]   uh, a few lessons learned here. Um, so this is based on our time in the last few years. Um,
[00:14:11.280 --> 00:14:19.040]   the first is, uh, that, um, it wasn't obvious to us at first, but the agentic, uh, abstraction layer
[00:14:19.040 --> 00:14:24.240]   from an architecture perspective is actually quite clean. It is, it is very, um, once you start to
[00:14:24.240 --> 00:14:28.800]   think this way, it is very natural to think, I'm going to run an intelligent workflow, an intelligent
[00:14:28.800 --> 00:14:33.520]   directed graph powered by a models are every step to be able to accomplish a task. Not everything,
[00:14:33.520 --> 00:14:38.720]   but sometimes that's a great, that's great approach. And this, and this is independent of some,
[00:14:38.720 --> 00:14:43.440]   of a high scale set of, of, uh, sort of distributed system design and, and, and both are important.
[00:14:43.440 --> 00:14:46.720]   Like at some point you have to deal with, you know, a hundred million documents that day at the same,
[00:14:46.720 --> 00:14:51.040]   other point you have to deal with that one. And so being able to separate these two systems into
[00:14:51.040 --> 00:14:54.160]   like somebody who thinks about the agentic framework is somebody who thinks about the,
[00:14:54.160 --> 00:14:59.200]   how to scale a generic process is this is, this is very helpful to keep these distinct.
[00:14:59.200 --> 00:15:03.440]   Um, also it's just easy to evolve. Like, uh, in that deep research example,
[00:15:03.440 --> 00:15:07.280]   one of our biggest, we, we, we, we did it and then it worked really well, except for the output
[00:15:07.280 --> 00:15:12.080]   was kind of sloppy. And so we were like, ah, I guess we gotta redesign the whole thing or add another
[00:15:12.080 --> 00:15:16.880]   note at the end to say, summarize this and according to this. And it would just take that in and just
[00:15:16.880 --> 00:15:22.880]   redo the output. So not that long to fix. And this was something that was not obvious to me until later,
[00:15:22.880 --> 00:15:29.520]   which is that, um, if you're going to be using, um, a agentic, uh, uh, AI with a team who's been around
[00:15:29.520 --> 00:15:33.360]   for a while, like you start to need to get them to think about agentic
[00:15:33.360 --> 00:15:37.920]   first kind of thinking AI first thinking. And one way to do that is to, um, let them build something
[00:15:37.920 --> 00:15:42.480]   so that they can start to think, oh, like this is not only how we can build more things, but also
[00:15:42.480 --> 00:15:46.320]   because we're also a platform for our enterprise customers, they can think about how to make it
[00:15:46.320 --> 00:15:51.200]   better, make it better for them. So things like, uh, really doubling down on the idea of, um,
[00:15:51.200 --> 00:15:56.240]   we publish MCP servers. What are the tools like for them? What can we do to make it easier? How can we
[00:15:56.240 --> 00:16:04.560]   do our agent to agent communications and so on? So, um, this is, uh, all kind of summed up with is if
[00:16:04.560 --> 00:16:10.560]   you're confronted with a challenge, the lesson that we learned is that if it's plausible that a set of AI
[00:16:10.560 --> 00:16:16.240]   models, uh, could help you solve that problem, then you should build this AI agentic architecture early.
[00:16:16.240 --> 00:16:20.480]   If I go back in time, I would wish to be done this sooner because then we've kind of, uh, have been able to
[00:16:20.480 --> 00:16:25.760]   continue to take advantage of that. Um, and so that's my, uh, that's my journey and that's my, my, my lesson
[00:16:25.760 --> 00:16:40.080]   three. Uh, so thank you. Uh, Ankur, are we, um, two minutes? Okay. So, um, if anybody, what? Two questions.
[00:16:40.080 --> 00:16:42.080]   Okay. If anybody has any questions, I'm happy to answer them.
[00:16:42.080 --> 00:16:50.240]   Uh, question being, is this available as API? Yes. Um, so we're very API first oriented, so we have an
[00:16:50.240 --> 00:16:53.760]   agent API that you can call upon these agents to do things and give them the arguments. So yes,
[00:16:53.760 --> 00:16:59.840]   uh, we, we, we provide, uh, uh, uh, uh, agent, uh, just APIs across everything and tools, um, to,
[00:16:59.840 --> 00:17:07.840]   to call our APIs. Um, uh, okay.
[00:17:07.840 --> 00:17:15.680]   Were you primarily just evaluating your agents to develop on this dashboard or on their links?
[00:17:15.680 --> 00:17:20.000]   Can you explain when you start using, uh, a more manual approach as well? Um,
[00:17:20.000 --> 00:17:24.160]   In terms of valuing our agents, uh, and how do we do that? Um, so we, we not only use, uh, LM as a
[00:17:24.160 --> 00:17:27.760]   judge, but we also create an eval set. So we have our standard set of eval sets. Um, and then we've
[00:17:27.760 --> 00:17:31.920]   learned that, um, since the AI gets so good over time, we created a challenge set of eval sets to,
[00:17:31.920 --> 00:17:35.920]   so that we can better explore like things that not everybody asked, but if they did, it would be really
[00:17:35.920 --> 00:17:40.400]   hard. And then that way you can better decide on whether or not you're not only prepared for now,
[00:17:40.400 --> 00:17:45.680]   but as people get more challenging things, we, we know that we can grow across that. So a mixture of eval sets,
[00:17:45.680 --> 00:17:50.560]   plus LM as a judge, plus the idea of just having people give feedback. We, we have limited ability
[00:17:50.560 --> 00:17:54.640]   to look as an enterprise company, what's happening, but, but the, the idea of them telling us this is
[00:17:54.640 --> 00:17:55.840]   still useful in all cases.
[00:18:01.600 --> 00:18:06.960]   you can yell if you want, I'll hear you. Uh, so, uh, and I, it's the first time you talk, so apologies
[00:18:06.960 --> 00:18:10.400]   about it. Yeah. Asked a bunch of the floor and you would talk about that. It seems like you're
[00:18:10.400 --> 00:18:15.600]   mostly building agents, but he's going to get out of the box, you know, center fine tuning. Why are you
[00:18:15.600 --> 00:18:20.240]   supposed to put it? Uh, so the question being, why bother with agents if you can fine tune a model? Um,
[00:18:20.240 --> 00:18:25.520]   no, no, I'm just saying, have you tried, have you tried fine tuning? Yeah, we're, we're, um,
[00:18:25.520 --> 00:18:30.800]   we're pretty anti fine tuning at this moment because, um, of the challenges of once you fine
[00:18:30.800 --> 00:18:35.280]   tune something, you have to then fine tune all of the evolutions of them going forward. We support
[00:18:35.280 --> 00:18:41.200]   multiple models, Gemini, Lama, uh, open AI, Anthropic, and it's just hard to consistently
[00:18:41.200 --> 00:18:45.760]   fine tune across the board in ways that like not only they've been usually just the next version of
[00:18:45.760 --> 00:18:48.960]   the model gets better. So we've, we've got, we've gotten to the point where we use these prompts or
[00:18:48.960 --> 00:18:53.280]   cache prompts or agenticness as opposed to fine tuning. That's the approach for our particular use cases.
[00:18:53.280 --> 00:19:04.960]   It works quite well. Okay. Thank you, everyone.

