
[00:00:00.040 --> 00:00:09.460]   intelig
[00:27:20.200 --> 00:27:20.200]   I could take personal responsibility for everything that happens in my life, be hit by a drunk driver and become a quadriplegic. So we all have to concede as in some ways obvious, but of course useful to acknowledge that we all have to concede.
[00:27:20.200 --> 00:27:20.200]   So we all have to concede as in some ways obvious, but of course useful to acknowledge that we all have to concede.
[00:27:20.200 --> 00:27:20.200]   So we all have to concede as in some ways obvious, but of course useful to acknowledge that we all have to concede.
[00:27:20.200 --> 00:27:20.200]   So we all have to concede as in some ways obvious, but of course useful to acknowledge that we all have to concede.
[00:27:20.220 --> 00:27:50.220]   I'm not saying that we all have to concede.
[00:27:50.220 --> 00:27:50.220]   I'm not saying that we all have to concede.
[00:27:50.220 --> 00:27:50.220]   I'm not saying that we all have to concede.
[00:27:50.220 --> 00:27:50.220]   I'm not saying that we all have to concede.
[00:27:50.220 --> 00:27:50.220]   I'm not saying that we all have to concede.
[00:27:50.220 --> 00:27:50.220]   I'm not saying that we all have to concede.
[00:27:50.220 --> 00:27:50.220]   I'm not saying that we all have to concede.
[00:27:50.220 --> 00:27:50.220]   I'm not saying that we all have to concede.
[00:27:50.220 --> 00:27:50.220]   I'm not saying that we all have to concede.
[00:27:50.220 --> 00:27:50.220]   I'm not saying that we all have to concede.
[00:27:50.220 --> 00:27:50.220]   I'm not saying that we all have to concede.
[00:27:50.220 --> 00:27:50.220]   I'm not saying that we all have to concede.
[00:27:50.220 --> 00:27:50.220]   I'm not saying that we all have to concede.
[00:27:50.220 --> 00:27:50.220]   I'm not saying that we all have to concede.
[00:27:50.220 --> 00:27:50.220]   I'm not saying that we all have to concede.
[00:27:50.220 --> 00:28:20.240]   I'm not saying that we all have to concede.
[00:28:20.240 --> 00:28:20.240]   I'm not saying that we all have to concede.
[00:28:20.240 --> 00:28:20.240]   I'm not saying that we all have to concede.
[00:28:20.240 --> 00:28:20.240]   I'm not saying that we all have to concede.
[00:28:20.240 --> 00:28:20.240]   I'm not saying that we all have to concede.
[00:28:20.260 --> 00:28:50.260]   I'm not saying that we all have to concede.
[00:28:50.260 --> 00:28:50.260]   I'm not saying that we all have to concede.
[00:28:50.260 --> 00:28:50.260]   I'm not saying that we all have to concede.
[00:28:50.260 --> 00:28:50.260]   I'm not saying that we all have to concede.
[00:28:50.260 --> 00:28:50.260]   I'm not saying that we all have to concede.
[00:28:50.260 --> 00:28:50.260]   I'm not saying that we all have to concede.
[00:28:50.260 --> 00:28:50.260]   I'm not saying that we all have to concede.
[00:28:50.260 --> 00:28:50.260]   I'm not saying that we all have to concede.
[00:28:50.260 --> 00:28:50.260]   I'm not saying that we all have to concede.
[00:28:50.260 --> 00:28:50.260]   I'm not saying that we all have to concede.
[00:28:50.260 --> 00:28:50.260]   I'm not saying that we all have to concede.
[00:28:50.260 --> 00:28:50.260]   I'm not saying that we all have to concede.
[00:28:50.260 --> 00:28:50.260]   I'm not saying that we all have to concede.
[00:28:50.260 --> 00:28:50.260]   I'm not saying that we all have to concede.
[00:28:50.260 --> 00:28:50.260]   I'm not saying that we all have to concede.
[00:28:50.260 --> 00:29:20.280]  ,
[00:29:20.280 --> 00:29:20.280]   and I'm not saying that we all have to concede.
[00:29:20.280 --> 00:29:20.280]   and I'm not saying that we all have to concede.
[00:29:20.280 --> 00:29:20.280]   and I'm not saying that we all have to concede.
[00:29:20.280 --> 00:29:20.280]   and I'm not saying that we all have to concede.
[00:29:20.280 --> 00:29:20.280]   and I'm not saying that we all have to concede.
[00:29:20.280 --> 00:29:20.280]   and I'm not saying that we all have to concede.
[00:29:20.300 --> 00:29:50.300]   I'm not saying that we all have to concede.
[00:29:50.300 --> 00:29:50.300]   and I'm not saying that we all have to concede.
[00:29:50.300 --> 00:29:50.300]   and I'm not saying that we all have to concede.
[00:29:50.300 --> 00:29:50.300]   and I'm not saying that we all have to concede.
[00:29:50.300 --> 00:29:50.300]   and I'm not saying that we all have to concede.
[00:29:50.300 --> 00:29:50.300]   and I'm not saying that we all have to concede.
[00:29:50.300 --> 00:29:50.300]   and I'm not saying that we all have to concede.
[00:29:50.300 --> 00:29:50.300]   and I'm not saying that we all have to concede.
[00:29:50.300 --> 00:29:50.300]   and I'm not saying that we all have to concede.
[00:29:50.300 --> 00:29:50.300]   and I'm not saying that we all have to concede.
[00:29:50.300 --> 00:29:50.300]   and I'm not saying that we all have to concede.
[00:29:50.300 --> 00:29:50.300]   and I'm not saying that we all have to concede.
[00:29:50.300 --> 00:29:50.300]   and I'm not saying that we all have to concede.
[00:29:50.300 --> 00:29:50.300]   and I'm not saying that we all have to concede.
[00:29:50.300 --> 00:30:20.320]   and I'm not saying that we all have to concede.
[00:30:20.320 --> 00:30:20.320]   and I'm not saying that we all have to concede.
[00:30:20.320 --> 00:30:20.320]   and I'm not saying that we all have to concede.
[00:30:20.320 --> 00:30:20.320]   and I'm not saying that we all have to concede.
[00:30:20.320 --> 00:30:20.320]   and I'm not saying that we all have to concede.
[00:30:20.320 --> 00:30:20.320]   and I'm not saying that we all have to concede.
[00:30:20.320 --> 00:30:20.320]   and I'm not saying that we all have to concede.
[00:30:20.320 --> 00:30:20.320]   and I'm not saying that we all have to concede.
[00:30:20.320 --> 00:30:20.320]   and I'm not saying that we all have to concede.
[00:30:20.320 --> 00:30:20.320]   and I'm not saying that we all have to concede.
[00:30:20.340 --> 00:30:50.340]   and I'm not saying that we all have to concede.
[00:30:50.340 --> 00:30:50.340]   and I'm not saying that we all have to concede.
[00:30:50.340 --> 00:30:50.340]   and I'm not saying that we all have to concede.
[00:30:50.340 --> 00:30:50.340]   and I'm not saying that we all have to concede.
[00:30:50.340 --> 00:30:50.340]   and I'm not saying that we all have to concede.
[00:30:50.340 --> 00:30:50.340]   and I'm not saying that we all have to concede.
[00:30:50.340 --> 00:30:50.340]   and I'm not saying that we all have to concede.
[00:30:50.340 --> 00:30:50.340]   and I'm not saying that we all have to concede.
[00:30:50.340 --> 00:30:50.340]   and I'm not saying that we all have to concede.
[00:30:50.340 --> 00:30:50.340]   and I'm not saying that we all have to concede.
[00:30:50.340 --> 00:30:50.340]   and I'm not saying that we all have to concede.
[00:30:50.340 --> 00:30:50.340]   and I'm not saying that we all have to concede.
[00:30:50.340 --> 00:30:50.340]   and I'm not saying that we all have to concede.
[00:30:50.340 --> 00:30:50.340]   and I'm not saying that we all have to concede.
[00:30:50.340 --> 00:31:20.360]   and I'm not saying that we all have to concede.
[00:31:20.360 --> 00:31:20.360]   and I'm not saying that we all have to concede.
[00:31:20.360 --> 00:31:20.360]   and I'm not saying that we all have to concede.
[00:31:20.360 --> 00:31:20.360]   and I'm not saying that we all have to concede.
[00:31:20.360 --> 00:31:20.360]   and I'm not saying that we all have to concede.
[00:31:20.360 --> 00:31:20.360]   and I'm not saying that we all have to concede.
[00:31:20.380 --> 00:31:50.380]   I'm not saying that we all have to concede.
[00:31:50.380 --> 00:31:50.380]   I'm not saying that we all have to concede.
[00:31:50.380 --> 00:31:50.380]   I'm not saying that we all have to concede.
[00:31:50.380 --> 00:31:50.380]   I'm not saying that we all have to concede.
[00:31:50.380 --> 00:31:50.380]   I'm not saying that we all have to concede.
[00:31:50.380 --> 00:31:50.380]   I'm not saying that we all have to concede.
[00:31:50.380 --> 00:31:50.380]   I'm not saying that we all have to concede.
[00:31:50.380 --> 00:31:50.380]   I'm not saying that we all have to concede.
[00:31:50.380 --> 00:31:50.380]   I'm not saying that we all have to concede.
[00:31:50.380 --> 00:31:50.380]   I'm not saying that we all have to concede.
[00:31:50.380 --> 00:31:50.380]   I'm not saying that we all have to concede.
[00:31:50.380 --> 00:31:50.380]   I'm not saying that we all have to concede.
[00:31:50.380 --> 00:31:50.380]   I'm not saying that we all have to concede.
[00:31:50.380 --> 00:31:50.380]   I'm not saying that we all have to concede.
[00:31:50.380 --> 00:31:50.380]   I'm not saying that we all have to concede.
[00:31:50.380 --> 00:32:20.400]   I'm not saying that we all have to concede.
[00:32:20.400 --> 00:32:20.400]   I'm not saying that we all have to concede.
[00:32:20.400 --> 00:32:20.400]   I'm not saying that we all have to concede.
[00:32:20.420 --> 00:32:50.420]   I'm not saying that we all have to concede.
[00:32:50.420 --> 00:32:50.420]   I'm not saying that we all have to concede.
[00:32:50.420 --> 00:32:50.420]   I'm not saying that we all have to concede.
[00:32:50.420 --> 00:32:50.420]   I'm not saying that we all have to concede.
[00:32:50.420 --> 00:32:50.420]   I'm not saying that we all have to concede.
[00:32:50.420 --> 00:32:50.420]   I'm not saying that we all have to concede.
[00:32:50.420 --> 00:32:50.420]   I'm not saying that we all have to concede.
[00:32:50.420 --> 00:32:50.420]   I'm not saying that we all have to concede.
[00:32:50.420 --> 00:32:50.420]   I'm not saying that we all have to concede.
[00:32:50.420 --> 00:32:50.420]   I'm not saying that we all have to concede.
[00:32:50.420 --> 00:32:50.420]   I'm not saying that we all have to concede.
[00:32:50.420 --> 00:32:50.420]   I'm not saying that we all have to concede.
[00:32:50.420 --> 00:32:50.420]   I'm not saying that we all have to concede.
[00:32:50.420 --> 00:32:50.420]   I'm not saying that we all have to concede.
[00:32:50.420 --> 00:32:50.420]   I'm not saying that we all have to concede.
[00:32:50.420 --> 00:33:20.440]  , .
[00:33:20.440 --> 00:33:20.440]   .
[00:33:20.480 --> 00:33:45.620]   even
[00:33:45.620 --> 00:33:48.560]   verses cannot I is a co� 對啊 desde이죠, and,,,,,,,,,. include a�G�G�ב� drunk� sub� Spiritual decía difficult 3'm الله're go dolls is the person is a good jacket to do the way of the
[00:33:48.560 --> 00:33:49.940]   But,
[00:33:50.140 --> 00:33:53.160]   be
[00:33:53.160 --> 00:34:01.400]   2019 e,
[00:34:01.400 --> 00:34:19.980]   reduce else. You, I think, be,,,,,,, , . I'm just which li
[00:34:20.160 --> 00:34:41.660]  oncé, this is a question I was asked, and I think it's really, really, really important. And I think it's important to have a conversation with someone who's really focused on the personal responsibility end of the spectrum where I'm really focused on the, you know, kind of big picture context that individuals have to operate in, because I think you and I can learn so much from one another. I've learned so much already from this conversation.
[00:34:42.380 --> 00:34:53.220]   con
[00:34:53.220 --> 00:35:10.480]   staffunge Teaching'll at a little about他們gan, and, and, and, and, And, And, The, I, worked,utto, remembrance, Nether, over, charm, in, territory, form, the about, blood, car, car, a,ilah, cut, Tree, mattered, feel, wow, wake, go, smartphone Datいや,�對了, cheer though,� F. new, bus, там, На,arded. haird�oring. doin,� spite, stock. ast. SE's Gra,andır. г죠,應該, выгляд,ier, Ver, Milton, 취: a 9/
[00:35:10.560 --> 00:35:21.740]   learned
[00:35:21.740 --> 00:35:37.660]   a,,,,
[00:35:40.580 --> 00:36:10.580]  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[00:36:10.580 --> 00:36:10.600]   The people who are working for the federal government and to find their lives disrupted probably ought to be thankful because usually when you're working for the federal government, you're not going to be able to find a job.
[00:36:10.600 --> 00:36:10.600]   The people who are working for the federal government and to find their lives disrupted probably ought to be thankful because usually when you're working for the federal government and to find their lives disrupted, you're not going to be able to find a job.
[00:36:10.600 --> 00:36:10.600]   The people who are working for the federal government and to find their lives disrupted probably ought to be thankful because usually when you're working for the federal government and to find their lives disrupted, you're not going to be able to find a job.
[00:36:10.620 --> 00:36:40.620]   The people who are working for the federal government and to find their lives disrupted, you're not going to be able to find a job.
[00:36:40.620 --> 00:36:40.620]   The people who are working for the federal government and to find their lives disrupted, you're not going to be able to find a job.
[00:36:40.620 --> 00:36:40.620]   The people who are working for the federal government and to find their lives disrupted, you're not going to be able to find a job.
[00:36:40.620 --> 00:36:40.620]   The people who are working for the federal government and to find their lives disrupted, you're not going to be able to find a job.
[00:36:40.620 --> 00:36:40.620]   The people who are working for the federal government and to find their lives disrupted, you're not going to find a job.
[00:36:40.620 --> 00:36:40.620]   The people who are working for the federal government and to find their lives disrupted, you're not going to find a job.
[00:36:40.620 --> 00:37:10.640]  ,
[00:37:10.640 --> 00:37:10.640]   The people who are working for the federal government and to find their lives disrupted, you're not going to find a job.
[00:37:10.640 --> 00:37:10.640]   The people who are working for the federal government and to find their lives disrupted, you're not going to find a job.
[00:37:10.640 --> 00:37:10.640]   The people who are working for the federal government and to find their lives disrupted, you're not going to find a job.
[00:37:10.680 --> 00:37:22.600]   small
[00:37:22.600 --> 00:37:39.700]   and at go remembered你说 mud was, and, and, and,,,,,,, with the do de be後ya silent Đâyhak I plant di Ведь ind I am alem. I'm. I. I. I. I. I. I. ".., "., "., ", ", ", ", ",,,,,,,,,,,,,,,,,,,,,, said,,, didn, art, para onhour to maisMore here maybe okay maybe make for будете force de
[00:37:39.820 --> 00:37:50.020]   talk
[00:37:50.020 --> 00:37:50.700]   make,
[00:37:50.700 --> 00:38:09.200]   Jing ou 5 eatingав Только showed the ent, and, and, and, it, and, and, and, and, and, is, and, dri Ник,. M.不過 counts.知.實. E. didnt. buy.ahl.ций.े. Пон. several least. ever. ह.96. pick the awesome. sound. errand. cin.ominé. dell.이었 the--A R-I-M-~!-T-S-I-G-I- denied-G-and- Mam-a-G- described-G-G- schön-G-G-G-G- lipstick-G-E-G-G-G-G-G... on- sur-集-‑KA- compatible- tell- de-
[00:38:09.280 --> 00:38:22.860]   That really gave me pause, and it's funny, I've been thinking about it since, because this is going to make you laugh, but it actually has not ever dawned on me, even knowing that the federal government has been in crisis.
[00:38:22.860 --> 00:38:33.740]   Um, it's never dawned on me that a federal job is now not a secure job anymore because of the many shutdowns and the political maneuvering, what have you.
[00:38:33.740 --> 00:38:38.740]   I chalk that sort of ignorance of mine up to age a little bit.
[00:38:38.740 --> 00:38:38.740]   I chalk that sort of ignorance of mine up to age a little bit.
[00:38:38.740 --> 00:38:38.740]   And by ignorance, I mean, I'm not sure if I'm going to be able to do it.
[00:38:38.740 --> 00:38:38.740]   I'm not sure if I'm going to be able to do it.
[00:38:38.740 --> 00:38:38.740]   I'm not sure if I'm going to be able to do it.
[00:38:38.740 --> 00:38:38.740]   I'm not sure if I'm going to be able to do it.
[00:38:38.740 --> 00:38:38.740]   I'm not sure if I'm going to be able to do it.
[00:38:38.780 --> 00:39:08.260]  , I'm not sure if I'm going to be able to do it.
[00:39:08.260 --> 00:39:08.300]   I'm not sure if I'm going to be able to do it.
[00:39:08.300 --> 00:39:08.340]   I'm not sure if I'm going to be able to do it.
[00:39:08.340 --> 00:39:08.380]   I'm not sure if I'm going to be able to do it.
[00:39:08.380 --> 00:39:08.420]   I'm not sure if I'm going to be able to do it.
[00:39:08.420 --> 00:39:08.460]   I'm not sure if I'm going to be able to do it.
[00:39:08.460 --> 00:39:08.660]   I'm not sure if I'm going to be able to do it.
[00:39:08.660 --> 00:39:08.700]   I'm not sure if I'm not sure if I'm going to do it.
[00:39:08.740 --> 00:39:15.660]   mean
[00:39:15.660 --> 00:39:19.120]   I over out and
[00:39:19.120 --> 00:39:22.520]   existed. I, and,,,,,,,, los россий Mill Zhuungvel armor. I'm the control. I'm a tight. I'm a count. And I'm a Поэтому. I'm a right. I'm a. I'm a. I'm. I'm a. I'm a. I'm a. S.ão. Like, as,osen. clairelet, little, with, not, banana, e, Tar, has, co,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ер, START
[00:39:22.520 --> 00:39:35.600]   моя
[00:39:35.600 --> 00:39:37.000]   filming using like, decGER soравля brown include the did versa
[00:39:37.040 --> 00:39:44.480]   ک
[00:39:44.480 --> 00:39:47.420]   whole,,,,
[00:39:47.420 --> 00:40:04.460]   talk end not what is the in the con the be the levers辦法rage Bradley 소� Viv Rem und處 You Ober improve the S nghi was like, you.計, you, you, the, and,ไ, the, in, read these, in, pense, ac, re, talk, but, even,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,'m, З còn FEMAC Juan I'm surrounded an proceeds該 leave the
[00:40:04.640 --> 00:40:14.860]   рассказ
[00:40:14.860 --> 00:40:15.620]   not,
[00:40:15.620 --> 00:40:33.240]   picture though B Z G "
[00:40:34.660 --> 00:40:41.680]   Min
[00:40:41.680 --> 00:40:46.760]   work. W Go providersların. Co is a itself, and, on, on,aram, weekly,enn,IN,N, Tennessee,O, mister, wäh, happy, cả, co,bo, when I think the set the chose the main the weigh the'm the no mash the pushed the ache the can. And I think the he's the say the In the and I'm the and theastre the I'm the vie the integrated the Ye's the geb the crystalline the CNE the 피� the however the awarded the swings the
[00:41:04.080 --> 00:41:14.980]   on
[00:41:14.980 --> 00:41:15.260]   e the,,, hype
[00:41:15.260 --> 00:41:33.880]   Quick And I got at face
[00:41:34.080 --> 00:41:40.560]   but unfortunately, I would say what I try to do is look at the hard facts.
[00:41:40.560 --> 00:41:47.560]   And my concern is that that seems to be difficult to do.
[00:41:47.560 --> 00:41:48.900]   And I haven't gotten to it yet.
[00:41:48.900 --> 00:41:51.540]   But it was supposed to be before Christmas.
[00:41:51.540 --> 00:41:54.980]   I was going to do yet another show, which is a common theme on Radical Personal Finance.
[00:41:54.980 --> 00:41:57.700]   Yet another show on the federal debt.
[00:41:57.700 --> 00:42:01.260]   We are in an incredible territory for the last year.
[00:42:01.260 --> 00:42:03.880]   In 2018, the federal deficit.
[00:42:04.120 --> 00:42:34.100]  , which is almost a trillion dollars.
[00:42:34.100 --> 00:42:34.100]   It's on track for that in 2019.
[00:42:34.100 --> 00:42:34.100]   And yet, we are arguing about $5.7 billion over funding for a border wall and ignoring a trillion dollar deficit. And unfortunately, basically, we have two political parties. Those who want to spend all the money times three and those who want to spend all the money times two. And there's really no functional difference between those because at the end of the day, we're past all the money. The money is gone.
[00:42:34.100 --> 00:42:34.100]   And there's really no functional difference between those because at the end of the day, we're past all the money. The money is gone.
[00:42:34.100 --> 00:42:34.100]   And there's really no functional difference between those because at the end of the day, we're past all the money. The money is gone.
[00:42:34.100 --> 00:42:34.100]   And there's really no functional difference between those because at the end of the day, we're past all the money. The money is gone.
[00:42:34.140 --> 00:42:44.420]   perd town
[00:42:44.420 --> 00:42:46.120]   газ just А Il Name
[00:44:00.380 --> 00:44:00.380]   and
[00:44:29.140 --> 00:44:29.140]   and
[00:44:29.140 --> 00:44:29.140]   and
[00:44:29.140 --> 00:44:29.200]   and
[00:44:29.200 --> 00:44:29.220]   and
[00:44:29.220 --> 00:44:29.260]   and
[00:44:29.260 --> 00:44:29.300]   and
[00:44:58.080 --> 00:44:58.320]   and I think that's a great question. They are saying that the American Empire is dying. How do we help individuals to survive the decline and collapse of the American Empire? Now, how do you and I as individuals succeed in the face of collapse? And how do we help those around us who we can affect succeed in the face of collapse? And that's my question. I assume at this point that it's a fact that the American Empire will die and is dying and it will take several decades until it ultimately dies. Now, how do I help individual people prosper in the face of that? Because at the end of the day, when individuals are dying, they're not going to be able to survive. So, I think that's a great question.
[00:44:58.320 --> 00:44:58.320]   I think that's a great question.
[00:44:58.320 --> 00:44:58.320]   I think that's a great question.
