
[00:00:00.000 --> 00:00:01.260]   I'm Bill Gurley.
[00:02:20.480 --> 00:02:22.720]   We had industrial-grade mesh Wi-Fi,
[00:02:22.720 --> 00:02:28.640]   you could mount it on a telephone pole and bathe a city in Wi-Fi broadband.
[00:02:28.640 --> 00:02:29.680]   It was awesome.
[00:02:29.680 --> 00:02:33.280]   We were so excited about it, we were changing the world, it was disruptive.
[00:02:33.280 --> 00:02:36.320]   Google got excited about it, Earthlink got excited about it.
[00:02:36.320 --> 00:02:39.680]   But the customer I loved the most that got excited about were mayors.
[00:02:39.680 --> 00:02:41.920]   There were hundreds of mayors all over the country
[00:02:41.920 --> 00:02:46.480]   that wanted to provide free Wi-Fi service across their downtown area.
[00:02:46.480 --> 00:02:49.200]   It would help with public safety, economic development,
[00:02:49.200 --> 00:02:50.960]   and of course, digital divide.
[00:02:50.960 --> 00:02:55.760]   So we were so thrilled, I was so pumped, I was sure we had a winner here.
[00:02:55.760 --> 00:02:58.560]   And then one day, these two people got excited,
[00:02:58.560 --> 00:03:00.720]   which turned out not to be a good thing.
[00:03:00.720 --> 00:03:06.000]   This is Mayor Street of Philadelphia and his CIO, Diana Neff.
[00:03:06.000 --> 00:03:08.080]   They got just as excited as I did.
[00:03:08.080 --> 00:03:13.520]   They were idealistic, they were, you know, optimistic,
[00:03:13.520 --> 00:03:16.720]   maybe they were quixotic, maybe I was too.
[00:03:16.720 --> 00:03:20.320]   Because the next thing that happened is what caused me to get that meeting.
[00:03:20.320 --> 00:03:24.960]   You can't read this, but it says, "Lobbyists try to kill Philly wireless plan."
[00:03:24.960 --> 00:03:26.160]   And in the article, it says,
[00:03:26.160 --> 00:03:29.040]   "Philly's plan to offer an inexpensive wireless internet service,
[00:03:29.040 --> 00:03:33.920]   the most ambitious yet, collided with commercial interest."
[00:03:33.920 --> 00:03:35.680]   Collided with commercial interest.
[00:03:35.680 --> 00:03:38.960]   There were no voters or citizens up in arms about this.
[00:03:38.960 --> 00:03:40.720]   Commercial interest.
[00:03:40.720 --> 00:03:42.320]   How many of you, I know this is a younger crowd,
[00:03:42.320 --> 00:03:45.760]   how many of you are old enough to remember Schoolhouse Rock?
[00:03:45.760 --> 00:03:46.720]   Awesome.
[00:03:46.720 --> 00:03:50.400]   So, like you, I learned about how Congress works
[00:03:50.400 --> 00:03:53.840]   by ABC Saturday morning television.
[00:03:53.840 --> 00:03:58.080]   And they told us, there's a phrase in this, I looked up the script,
[00:03:58.080 --> 00:04:00.160]   it said, "Some folks back home want it all."
[00:04:00.160 --> 00:04:02.240]   So they called their local congressman,
[00:04:02.240 --> 00:04:06.240]   implying that the people that have the need are the citizens
[00:04:06.240 --> 00:04:08.480]   and the people that write the law, the congressman.
[00:04:08.480 --> 00:04:11.920]   Imagine how surprised I was when I read this.
[00:04:11.920 --> 00:04:14.720]   "Philadelphia was embarking on the research phase of the project
[00:04:14.720 --> 00:04:19.120]   when Verizon successfully pushed a bill through the state legislature."
[00:04:19.120 --> 00:04:21.840]   Verizon's writing legislation?
[00:04:21.840 --> 00:04:23.040]   How does that work?
[00:04:23.040 --> 00:04:26.320]   (Laughter)
[00:04:26.320 --> 00:04:29.360]   Now, it turns out, this wasn't even our biggest problem
[00:04:29.360 --> 00:04:34.560]   because another company's headquartered in Philadelphia named Comcast.
[00:04:34.560 --> 00:04:37.200]   They had put a bill on Governor Rindle's desk,
[00:04:37.200 --> 00:04:41.520]   proposal drafted by lobbyists for the telecommunications companies.
[00:04:41.520 --> 00:04:44.000]   This isn't what I learned on Schoolhouse Rock.
[00:04:44.000 --> 00:04:50.480]   (Laughter)
[00:04:50.480 --> 00:04:53.600]   The governor whose bill that was on the desk of is Ed Rindle.
[00:04:53.600 --> 00:04:54.960]   He's on the right.
[00:04:54.960 --> 00:04:58.720]   Before he was governor, he was mayor of Philadelphia.
[00:04:58.720 --> 00:05:00.960]   The gentleman in the middle is named Michael Nutter.
[00:05:00.960 --> 00:05:03.920]   He would go on to replace Street and was a longtime council member.
[00:05:03.920 --> 00:05:06.960]   But the guy on the left was the real nemesis.
[00:05:06.960 --> 00:05:11.440]   This is David Cohen, chief lobbyist for Comcast.
[00:05:11.440 --> 00:05:15.920]   Now, David Cohen is to corporate lobbying what Bob Marley is to reggae.
[00:05:15.920 --> 00:05:18.080]   He's like - (Laughter)
[00:05:18.080 --> 00:05:21.200]   There's no second.
[00:05:21.200 --> 00:05:26.560]   The New York Times did a profile of him called "Comcast Real Repairman,"
[00:05:26.560 --> 00:05:29.760]   in which they say he's the most important executive in the whole company,
[00:05:29.760 --> 00:05:32.320]   and I fundamentally believe that.
[00:05:32.320 --> 00:05:36.080]   It also says he's probably one of the most savvy corporate political operatives
[00:05:36.080 --> 00:05:38.240]   in the history of US business.
[00:05:38.240 --> 00:05:40.480]   The article on the right from the "Enquirer"
[00:05:40.480 --> 00:05:45.040]   calls him "Philadelphia's most powerful unelected official."
[00:05:45.040 --> 00:05:47.440]   I don't even know how you can put those words together.
[00:05:47.440 --> 00:05:49.760]   (Laughter)
[00:05:49.760 --> 00:05:53.280]   So here we are, in our little conference room
[00:05:53.280 --> 00:05:56.560]   with our spousal-enhanced checkbooks,
[00:05:56.560 --> 00:06:00.720]   and this is like a second grader challenging Michael Jordan
[00:06:00.720 --> 00:06:02.960]   to a game of one-on-one for money.
[00:06:02.960 --> 00:06:05.120]   Like, we were pissing in the ocean.
[00:06:05.120 --> 00:06:09.840]   We had no chance. No chance.
[00:06:09.840 --> 00:06:12.880]   Now guess who offers city-wide Wi-Fi?
[00:06:12.880 --> 00:06:16.160]   That one's easy.
[00:06:16.160 --> 00:06:17.760]   AT&T would join this fight.
[00:06:17.760 --> 00:06:22.480]   Within two years, they would outlaw municipal broadband in over 22 states.
[00:06:22.480 --> 00:06:24.320]   They'd just write it into the books
[00:06:24.320 --> 00:06:31.040]   and just took the power of these local decision-makers away from them,
[00:06:31.040 --> 00:06:36.880]   all in the interest of the commercial interest, not the citizen.
[00:06:36.880 --> 00:06:39.680]   I want to talk about another piece of telecom legislation.
[00:06:39.680 --> 00:06:43.680]   My partnership back in those days invested in telecom equipment,
[00:06:43.680 --> 00:06:48.320]   and so we were very interested in the Telecommunications Act of 1996.
[00:06:48.320 --> 00:06:54.080]   This was heralded as the most important telecommunications reform in 62 years.
[00:06:54.080 --> 00:06:55.360]   Now this one's simple.
[00:06:55.360 --> 00:06:59.040]   I'm just going to use the headlines from Wikipedia.
[00:06:59.040 --> 00:07:02.960]   The Telecommunications Act of 1996 had two goals,
[00:07:02.960 --> 00:07:05.680]   to promote competition
[00:07:05.680 --> 00:07:09.600]   and to encourage the rapid development of new technologies.
[00:07:09.600 --> 00:07:11.600]   Let's see how things went.
[00:07:11.600 --> 00:07:14.560]   (Laughter)
[00:07:14.560 --> 00:07:20.800]   In 1996, the top four had 48% market share.
[00:07:20.800 --> 00:07:25.520]   Four or five years later, after this heralded legislation,
[00:07:25.520 --> 00:07:28.160]   they're up to 85%.
[00:07:28.160 --> 00:07:29.600]   That didn't work.
[00:07:29.600 --> 00:07:31.600]   (Laughter)
[00:07:31.600 --> 00:07:34.480]   Let's check in on the second one.
[00:07:34.480 --> 00:07:36.240]   Were they promoting innovation?
[00:07:36.240 --> 00:07:40.480]   This is a chart of VC dollars into telecom equipment.
[00:07:40.480 --> 00:07:45.440]   This used to be 15% of what VCs did.
[00:07:45.440 --> 00:07:48.160]   Within 10 years, it had gone below 1%,
[00:07:48.160 --> 00:07:50.960]   and a year later, the NVCA stopped tracking it.
[00:07:50.960 --> 00:07:54.720]   Now, if you want to talk to one of the expert VCs
[00:07:54.720 --> 00:07:57.200]   in telecommunications equipment,
[00:07:57.200 --> 00:08:00.160]   it'll be easy to do because they're retired.
[00:08:00.160 --> 00:08:02.160]   (Laughter)
[00:08:02.160 --> 00:08:03.600]   This market's gone.
[00:08:03.600 --> 00:08:06.720]   There is no more innovation in telecom equipment.
[00:08:06.720 --> 00:08:08.160]   So what happens here?
[00:08:08.160 --> 00:08:12.400]   How can you possibly have a super important bill
[00:08:12.400 --> 00:08:16.160]   signed by and implemented by one of the most heralded presidents
[00:08:16.160 --> 00:08:20.240]   in our generation that doesn't just fail?
[00:08:20.240 --> 00:08:22.720]   Failing would be things stay the same,
[00:08:22.720 --> 00:08:24.400]   and you don't accomplish the goal.
[00:08:24.400 --> 00:08:26.480]   This did even worse.
[00:08:26.480 --> 00:08:31.600]   It created the opposite thing of what it was supposed to go do.
[00:08:31.600 --> 00:08:33.760]   Let me introduce you to George Stigler.
[00:08:33.760 --> 00:08:37.680]   He's the 1982 Nobel Prize winner in economics
[00:08:37.680 --> 00:08:40.880]   and the father of regulatory capture.
[00:08:40.880 --> 00:08:42.480]   This is his most famous quote.
[00:08:42.480 --> 00:08:45.440]   "As a rule, regulation is acquired by the industry
[00:08:45.440 --> 00:08:49.120]   and is designed and operated primarily for its benefit."
[00:08:49.120 --> 00:08:53.040]   I like to say regulation is the friend of the incumbent.
[00:08:53.040 --> 00:08:55.280]   Quick audience, interaction moment.
[00:08:55.280 --> 00:08:57.440]   That's the one thing I want you to take away.
[00:08:57.440 --> 00:08:59.120]   So on the count of three, scream,
[00:08:59.120 --> 00:09:01.280]   "Regulation is the friend of the incumbent."
[00:09:01.280 --> 00:09:03.120]   One, two, three.
[00:09:03.120 --> 00:09:06.160]   (Audience) Regulation is the friend of the incumbent.
[00:09:06.160 --> 00:09:09.120]   Yes! Amen!
[00:09:09.120 --> 00:09:10.160]   All right.
[00:09:10.160 --> 00:09:14.800]   (Applause)
[00:09:14.800 --> 00:09:17.840]   So this is the only slide I have with bullets
[00:09:17.840 --> 00:09:22.960]   because this is going to be a two-minute regulatory capture 101,
[00:09:22.960 --> 00:09:25.200]   all from George Stigler's notes.
[00:09:25.200 --> 00:09:26.240]   The first thing he says,
[00:09:26.240 --> 00:09:29.440]   "In regulatory capture, special interest is prioritized
[00:09:29.440 --> 00:09:31.520]   over the general interest of the public."
[00:09:31.520 --> 00:09:33.600]   Sound familiar from my other stories?
[00:09:33.600 --> 00:09:36.720]   Leading to a net loss for society.
[00:09:36.720 --> 00:09:40.160]   A net loss for society, that's important.
[00:09:40.160 --> 00:09:44.960]   The two mechanisms they usually use is the second bullet,
[00:09:44.960 --> 00:09:49.680]   limited market entry and price protection or even price increases,
[00:09:49.680 --> 00:09:51.280]   which I'll show you more of.
[00:09:51.280 --> 00:09:54.560]   And then the mechanisms of influence are money,
[00:09:54.560 --> 00:09:56.880]   made worse by Citizens United,
[00:09:56.880 --> 00:10:00.000]   exposure, just time around people,
[00:10:00.000 --> 00:10:02.720]   and then three, revolving doors.
[00:10:02.720 --> 00:10:06.080]   This is super important, and I'll show you one great example of that.
[00:10:06.080 --> 00:10:08.400]   That's people moving in and out.
[00:10:08.400 --> 00:10:10.640]   When they interviewed Christie on the pod the other day,
[00:10:10.640 --> 00:10:14.000]   they were talking about this in the military.
[00:10:14.000 --> 00:10:14.640]   All right.
[00:10:14.640 --> 00:10:19.040]   This is a piece of Morgan Stanley research from 1999.
[00:10:19.040 --> 00:10:23.440]   Someone took the time to go study five pieces of major US legislation
[00:10:23.440 --> 00:10:24.960]   that had happened over the years
[00:10:24.960 --> 00:10:29.680]   and how the incumbent stocks did after the legislation.
[00:10:29.680 --> 00:10:33.360]   And let's just steal a few sentences from this.
[00:10:33.360 --> 00:10:35.520]   "Conclude that landmark regulatory action
[00:10:35.520 --> 00:10:37.600]   is a tendency to improve returns
[00:10:37.600 --> 00:10:40.480]   for the largest players in the targeted industry.
[00:10:40.480 --> 00:10:43.120]   Long-term investors should consider capitalizing
[00:10:43.120 --> 00:10:46.800]   on any temporary weakness caused by market reaction to regulation.
[00:10:46.800 --> 00:10:48.640]   Many attempts to increase competition
[00:10:48.640 --> 00:10:51.920]   or improve customer experience have failed.
[00:10:51.920 --> 00:10:54.560]   This is reinforcing what Stigler taught us."
[00:10:54.560 --> 00:10:56.640]   Here's a very simple, quick one.
[00:10:56.640 --> 00:11:01.040]   Number of new banks in the US, 2009, nothing.
[00:11:01.040 --> 00:11:02.880]   Dodd-Frank.
[00:11:02.880 --> 00:11:04.880]   Like, that's what happens.
[00:11:04.880 --> 00:11:05.600]   All right.
[00:11:05.600 --> 00:11:06.880]   Two really good stories.
[00:11:06.880 --> 00:11:11.440]   You might not even believe them because they're so outlandish.
[00:11:11.440 --> 00:11:14.240]   Does everyone know who Epic is?
[00:11:14.240 --> 00:11:16.080]   It's hard to know because they're not public.
[00:11:16.080 --> 00:11:19.040]   It's a very large private company in Wisconsin
[00:11:19.040 --> 00:11:22.720]   that is the largest player in medical EHR software,
[00:11:22.720 --> 00:11:23.760]   medical records.
[00:11:23.760 --> 00:11:26.560]   And this is their CEO, Judith Faulkner.
[00:11:26.560 --> 00:11:31.440]   Now, in-- get the year right-- 2009,
[00:11:31.440 --> 00:11:35.040]   Obama put her on his health IT council.
[00:11:35.040 --> 00:11:37.760]   She was the only corporate representative.
[00:11:37.760 --> 00:11:43.040]   Should not surprise you that she's a major donor to Obama.
[00:11:43.040 --> 00:11:46.560]   Now, Obama passed the American Recovery Act.
[00:11:46.560 --> 00:11:48.400]   That was his big piece of stimulus,
[00:11:48.400 --> 00:11:52.000]   kind of like Biden's Inflation Act that happened recently.
[00:11:52.000 --> 00:11:55.760]   And tucked underneath that, easy to hide in this big bill,
[00:11:55.760 --> 00:11:58.240]   is an act that was-- the acronym's HITECH.
[00:11:58.240 --> 00:12:00.800]   It's this Health Information Technology thing.
[00:12:00.800 --> 00:12:04.320]   And then they created an agency called ONC that oversaw it.
[00:12:04.320 --> 00:12:07.840]   Now, this is the part you're not going to believe.
[00:12:07.840 --> 00:12:09.840]   They came up with a brilliant idea.
[00:12:09.840 --> 00:12:14.480]   I have to assume she helped encourage this.
[00:12:14.480 --> 00:12:23.440]   Doctors would receive $44,000 each if they bought software.
[00:12:23.440 --> 00:12:25.080]   $38 billion.
[00:12:25.080 --> 00:12:25.680]   This is true.
[00:12:25.680 --> 00:12:26.520]   You can look it up.
[00:12:26.520 --> 00:12:27.840]   I'm not making it up.
[00:12:27.840 --> 00:12:31.640]   $44,000, give it to a doctor, implement some software.
[00:12:31.640 --> 00:12:32.720]   Many of you run companies.
[00:12:32.720 --> 00:12:33.920]   That'd be pretty cool, right?
[00:12:33.920 --> 00:12:35.080]   The government passed a law.
[00:12:35.080 --> 00:12:37.160]   If they buy your software, they get money.
[00:12:37.160 --> 00:12:38.160]   Make it a lot easier.
[00:12:41.320 --> 00:12:44.840]   Now, you may be thinking, are doctors needy?
[00:12:44.840 --> 00:12:46.080]   But here's the catch.
[00:12:46.080 --> 00:12:49.000]   Remember, this happened because of the mortgage meltdown.
[00:12:49.000 --> 00:12:51.600]   Doctors own multiple homes, so they have multiple mortgages.
[00:12:51.600 --> 00:12:52.080]   So they--
[00:12:52.080 --> 00:12:56.760]   [LAUGHTER]
[00:12:56.760 --> 00:12:58.680]   They probably needed the assistance.
[00:12:58.680 --> 00:13:01.040]   Now, there's two more things about this act
[00:13:01.040 --> 00:13:02.240]   that are also unbelievable.
[00:13:02.240 --> 00:13:04.560]   First, there's a flaw.
[00:13:04.560 --> 00:13:07.560]   If someone said, yeah, I'm going to pay people to buy software,
[00:13:07.560 --> 00:13:08.880]   most people would be like, well, you're
[00:13:08.880 --> 00:13:09.520]   going to have a problem.
[00:13:09.520 --> 00:13:10.360]   They're going to buy it, and they're not
[00:13:10.360 --> 00:13:11.280]   going to use it, right?
[00:13:11.280 --> 00:13:12.720]   Well, they thought of that.
[00:13:12.720 --> 00:13:14.280]   So guess what?
[00:13:14.280 --> 00:13:19.200]   The second phase, doctors got paid $17,000 more
[00:13:19.200 --> 00:13:21.160]   to prove they were using it.
[00:13:21.160 --> 00:13:24.360]   It was called meaningful use, plastered all over the website
[00:13:24.360 --> 00:13:26.880]   of all the HR vendors at the time.
[00:13:26.880 --> 00:13:30.080]   It gets even better.
[00:13:30.080 --> 00:13:37.240]   So the ONC decided the threshold of features
[00:13:37.240 --> 00:13:42.240]   you would need for your software to comply with this mandate.
[00:13:42.240 --> 00:13:46.200]   And I'm assuming they kind of took Epic's feature set
[00:13:46.200 --> 00:13:48.520]   and plowed it into this spreadsheet.
[00:13:48.520 --> 00:13:51.760]   But they got the Department of Justice
[00:13:51.760 --> 00:13:55.200]   to enforce people that didn't have the feature set that
[00:13:55.200 --> 00:13:57.240]   were getting the payments.
[00:13:57.240 --> 00:14:03.520]   And you had three record fines, $155 million, $57 million,
[00:14:03.520 --> 00:14:08.040]   $145 million against the lesser competitors of Epic.
[00:14:08.040 --> 00:14:09.840]   Unreal.
[00:14:09.840 --> 00:14:12.080]   If you've studied the innovators' dilemma,
[00:14:12.080 --> 00:14:14.520]   the way startups disrupt is they come in
[00:14:14.520 --> 00:14:17.840]   with lower feature products, but a feature that really matters
[00:14:17.840 --> 00:14:22.000]   to the customer, and a simpler product, and they move up.
[00:14:22.000 --> 00:14:26.160]   They put a brick wall there, so you couldn't come up.
[00:14:26.160 --> 00:14:28.400]   It's just amazing.
[00:14:28.400 --> 00:14:30.440]   Obama, in an interview with Ezra Klein,
[00:14:30.440 --> 00:14:32.720]   said this was the most disappointing part
[00:14:32.720 --> 00:14:34.000]   of Obamacare.
[00:14:34.000 --> 00:14:35.860]   I mean, I think if any of us were
[00:14:35.860 --> 00:14:38.320]   in the room when they scratched this thing out,
[00:14:38.320 --> 00:14:40.240]   I could have told them it would have failed.
[00:14:40.240 --> 00:14:42.200]   I mean, paying people to do stuff is just--
[00:14:42.200 --> 00:14:43.440]   it's not going to work.
[00:14:43.440 --> 00:14:47.640]   Now, you may ask, am I unhappy with Judith?
[00:14:47.640 --> 00:14:49.280]   I'm disgusted with it.
[00:14:49.280 --> 00:14:55.520]   But if I were a judge in the Olympic regulatory capture
[00:14:55.520 --> 00:14:57.760]   competition, I'm giving her a 10.
[00:14:57.760 --> 00:14:59.240]   [LAUGHTER]
[00:14:59.240 --> 00:15:02.320]   [APPLAUSE]
[00:15:02.320 --> 00:15:04.120]   This is fantastic.
[00:15:04.120 --> 00:15:06.720]   Fantastic.
[00:15:06.720 --> 00:15:07.480]   All right, one more.
[00:15:07.480 --> 00:15:08.280]   Revolving doors.
[00:15:08.280 --> 00:15:09.320]   This is one more.
[00:15:09.320 --> 00:15:11.560]   So many of you know what this is.
[00:15:11.560 --> 00:15:16.120]   This is a COVID rapid antigen test.
[00:15:16.120 --> 00:15:19.320]   Now, this is based on a very simple piece of technology--
[00:15:19.320 --> 00:15:23.280]   hopefully, David will confirm this when he comes back up--
[00:15:23.280 --> 00:15:25.240]   called a lateral flow assay.
[00:15:25.240 --> 00:15:30.160]   Now, this technology was developed 80 years ago in 1943,
[00:15:30.160 --> 00:15:32.040]   and it's a complete commodity.
[00:15:32.040 --> 00:15:33.880]   The packaging almost doesn't matter.
[00:15:33.880 --> 00:15:36.080]   You could probably use the strip without it.
[00:15:36.080 --> 00:15:38.280]   Now, before I tell you what happened in the US,
[00:15:38.280 --> 00:15:40.120]   let me tell you what happened in Europe.
[00:15:40.120 --> 00:15:43.000]   Germany leaned heavily into rapid tests.
[00:15:43.000 --> 00:15:45.120]   They got their scientists together,
[00:15:45.120 --> 00:15:50.680]   and they evaluated 122 different vendors
[00:15:50.680 --> 00:15:53.080]   and validated 96 of them.
[00:15:53.080 --> 00:15:54.440]   Here they are on the right.
[00:15:54.440 --> 00:15:58.160]   96 different vendors that they OKed.
[00:15:58.160 --> 00:16:00.840]   And as a result, in the German market,
[00:16:00.840 --> 00:16:07.280]   you could buy five tests for 3.75 or 75 euro cents a test.
[00:16:07.280 --> 00:16:08.600]   UK leaned in as well.
[00:16:08.600 --> 00:16:11.280]   They got them in such numbers and so cheap
[00:16:11.280 --> 00:16:14.320]   they distributed them to people's homes.
[00:16:14.320 --> 00:16:16.160]   So what was going on in the US?
[00:16:16.160 --> 00:16:19.080]   Around that time, the New York Times
[00:16:19.080 --> 00:16:21.640]   did an article like, here's what's
[00:16:21.640 --> 00:16:22.880]   going on with antigen tests.
[00:16:22.880 --> 00:16:24.760]   First of all, they fought them forever,
[00:16:24.760 --> 00:16:26.680]   and I think that may be captured as well,
[00:16:26.680 --> 00:16:29.280]   because the hospitals were making a ton of money on PCR
[00:16:29.280 --> 00:16:29.920]   tests.
[00:16:29.920 --> 00:16:33.080]   I think they made as much money as they did on vaccines.
[00:16:33.080 --> 00:16:35.040]   But that's another story.
[00:16:35.040 --> 00:16:37.280]   Here it says, all the manufacturings
[00:16:37.280 --> 00:16:40.560]   are ramping up production, but right now they're hard to find.
[00:16:40.560 --> 00:16:42.920]   And then it lists which tests are available,
[00:16:42.920 --> 00:16:47.120]   and they only list three vendors-- Abbott, Ellumi,
[00:16:47.120 --> 00:16:48.280]   and Quidel.
[00:16:48.280 --> 00:16:49.360]   Three vendors.
[00:16:49.360 --> 00:16:52.600]   Now, you can play along on your phone
[00:16:52.600 --> 00:16:53.880]   if you want to go on LinkedIn.
[00:16:53.880 --> 00:16:55.760]   This guy's name is Timothy Stenzel.
[00:16:55.760 --> 00:17:01.800]   Now, he works for the FDA, and he
[00:17:01.800 --> 00:17:04.520]   runs the group that oversees which antigen test gets
[00:17:04.520 --> 00:17:05.440]   approved.
[00:17:05.440 --> 00:17:08.240]   I know this because he would write scathing letters
[00:17:08.240 --> 00:17:12.360]   to the ones he rejected that you can also look up online.
[00:17:12.360 --> 00:17:14.640]   Now, guess what?
[00:17:14.640 --> 00:17:18.520]   You're not going to be surprised.
[00:17:18.520 --> 00:17:24.880]   Five years at Quidel, four years at Abbott.
[00:17:24.880 --> 00:17:33.560]   It gets worse.
[00:17:33.560 --> 00:17:36.920]   President Biden decided finally to lean into antigen tests
[00:17:36.920 --> 00:17:39.920]   and authorized $2 billion to go purchase tests.
[00:17:39.920 --> 00:17:42.000]   He should have gone to Germany and bought them out
[00:17:42.000 --> 00:17:43.680]   of the stores, but instead--
[00:17:43.680 --> 00:17:45.120]   [LAUGHTER]
[00:17:45.120 --> 00:17:47.600]   [APPLAUSE]
[00:17:48.600 --> 00:17:51.560]   [APPLAUSE]
[00:17:51.560 --> 00:17:54.400]   But instead, he bought them from these guys.
[00:17:54.400 --> 00:17:56.920]   Now, I don't know if you've ever used this test.
[00:17:56.920 --> 00:17:59.240]   All that packaging is complete and utter bullshit
[00:17:59.240 --> 00:17:59.960]   and unnecessary.
[00:17:59.960 --> 00:18:02.920]   That popsicle stick thing, like, everyone else
[00:18:02.920 --> 00:18:04.920]   uses the lateral flow SA plastic thing
[00:18:04.920 --> 00:18:06.120]   that you can buy super cheap.
[00:18:06.120 --> 00:18:09.360]   This was over-engineered.
[00:18:09.360 --> 00:18:12.720]   And then I get really pissed, because the Wall Street
[00:18:12.720 --> 00:18:15.360]   Journal wrote an article that was
[00:18:15.360 --> 00:18:20.800]   a victory lap for Abbott's antigen test execution
[00:18:20.800 --> 00:18:22.840]   and how well they did in the market.
[00:18:22.840 --> 00:18:24.720]   And I've never met Brianna or Peter,
[00:18:24.720 --> 00:18:26.480]   but I hope they get to watch this,
[00:18:26.480 --> 00:18:29.120]   because the first thing they should have done in the article
[00:18:29.120 --> 00:18:32.000]   is put a big picture of Timothy Stenzel,
[00:18:32.000 --> 00:18:34.800]   because that's why this thing worked.
[00:18:34.800 --> 00:18:40.240]   And they write the eye-catching card on a lollipop stick
[00:18:40.240 --> 00:18:42.840]   as if, oh, it was so cute, everyone bought it.
[00:18:42.840 --> 00:18:49.760]   Like, if you tried to sell that thing in Germany,
[00:18:49.760 --> 00:18:51.320]   how many would sell?
[00:18:51.320 --> 00:18:52.560]   Zero.
[00:18:52.560 --> 00:18:54.120]   Like, at $12 a test.
[00:18:54.120 --> 00:18:57.600]   Yesterday, just for kicks, kind of, I went online.
