
[00:00:00.000 --> 00:00:01.000]   BG Squared.
[00:02:53.000 --> 00:02:59.000]   It's not systematic issues that are stuck because too much lick prep relative to the new reality.
[00:02:59.000 --> 00:03:01.000]   Valuations have shifted.
[00:03:01.000 --> 00:03:03.000]   The cost of capital is radically different.
[00:03:03.000 --> 00:03:10.000]   You may have, on the way up as people took more risk, you tried crazier things.
[00:03:10.000 --> 00:03:17.000]   You're willing to make investments in businesses you might not if the cost of capital is a lot lower.
[00:03:17.000 --> 00:03:19.000]   You name a stadium for five years as a crypto company.
[00:03:19.000 --> 00:03:21.000]   You might do that.
[00:03:21.000 --> 00:03:22.000]   Then all of a sudden, it's a lot lower.
[00:03:22.000 --> 00:03:24.000]   Then all of a sudden, it's gone.
[00:03:24.000 --> 00:03:31.000]   Now the commitment to naming the stadium is greater than the market cap.
[00:03:31.000 --> 00:03:33.000]   I assume you're referring to so far.
[00:03:33.000 --> 00:03:35.000]   That may not be true for FTX.
[00:03:35.000 --> 00:03:41.000]   Just as an example, it might be a disproportionate value of your market cap.
[00:03:41.000 --> 00:03:43.000]   Anyway, it's tough.
[00:03:43.000 --> 00:03:48.000]   In this particular case, because that's what you asked, it turns out '09 wasn't that bad.
[00:03:48.000 --> 00:03:50.000]   If we have an '09, that'll be pretty good.
[00:03:50.000 --> 00:03:51.000]   Things got turned around pretty quickly.
[00:03:51.000 --> 00:03:53.000]   '01 was very abrupt.
[00:03:53.000 --> 00:04:02.000]   We didn't really start to see liquidity again until, with a few exceptions, Elon mentioned PayPal, but '05, '06.
[00:04:02.000 --> 00:04:04.000]   It was a long walk in the desert.
[00:04:04.000 --> 00:04:08.000]   A lot of great companies were started, but a lot of founders gave up at that time, right?
[00:04:08.000 --> 00:04:09.000]   Yeah.
[00:04:09.000 --> 00:04:18.000]   Look, I think if you're an early-stage investor or if you're an early-stage founder that's just getting going or even an early-stage company,
[00:04:18.000 --> 00:04:20.000]   because if you haven't scaled out yet, this price is going to go up.
[00:04:20.000 --> 00:04:22.000]   If you haven't scaled out yet, this probably hasn't affected you.
[00:04:22.000 --> 00:04:25.000]   It could be wonderful.
[00:04:25.000 --> 00:04:28.000]   Your access to talent is going to be a lot easier.
[00:04:28.000 --> 00:04:33.000]   People are going to be more pragmatic and rational, but it's usually a long window on the other side.
[00:04:33.000 --> 00:04:41.000]   The other challenge you have here is in '20, we basically had a mini pullback in March of 2020,
[00:04:41.000 --> 00:04:46.000]   but then the Fed hit so hard that things just blasted off again.
[00:04:46.000 --> 00:04:49.000]   Now, you guys have talked about this, but that tool is not in the toolbox.
[00:04:49.000 --> 00:04:51.000]   Brad?
[00:04:51.000 --> 00:04:55.000]   So one of the things I was talking to somebody last night, and this audience is amazing.
[00:04:55.000 --> 00:04:58.000]   I was talking to somebody last night, and they said, "So how does it work?
[00:04:58.000 --> 00:05:00.000]   You just get together and talk?"
[00:05:00.000 --> 00:05:07.000]   And I said, "What I love about this group is there are hundreds of hours of data and research that we're constantly challenged with.
[00:05:07.000 --> 00:05:09.000]   We all know where we are.
[00:05:09.000 --> 00:05:11.000]   We know what just happened."
[00:05:11.000 --> 00:05:18.000]   And I think grounding ourselves in just a few facts to try to figure out what the next step is,
[00:05:18.000 --> 00:05:23.000]   what the next six months are going to be, because we have founders here trying to run their businesses.
[00:05:23.000 --> 00:05:24.000]   Can I raise capital?
[00:05:24.000 --> 00:05:26.000]   Are we bouncing straight back from where we were?
[00:05:26.000 --> 00:05:33.000]   So very quickly, this chart just tells us, you know, the iron law of investing is interest rates.
[00:05:33.000 --> 00:05:40.000]   A 1% change in rates leads to a 15% or 20% change in a multiple.
[00:05:40.000 --> 00:05:47.000]   And so the reason multiples have collapsed here for all these businesses is because expectations as to inflation
[00:05:47.000 --> 00:05:50.000]   and rates has changed dramatically.
[00:05:50.000 --> 00:05:53.000]   I hear a lot of talk about 1999, 2000.
[00:05:53.000 --> 00:05:57.000]   So if it's all about rates, let's just look at those two things.
[00:05:57.000 --> 00:05:59.000]   We plotted them here together.
[00:05:59.000 --> 00:06:02.000]   This is 19 to 22 on the bottom.
[00:06:02.000 --> 00:06:03.000]   It shows what rates did.
[00:06:03.000 --> 00:06:05.000]   We took them to zero.
[00:06:05.000 --> 00:06:10.000]   The Fed is now saying our neutral rate is 2% to 3%, and people are hyperventilating.
[00:06:10.000 --> 00:06:12.000]   Look at where we were in 2000.
[00:06:12.000 --> 00:06:15.000]   Look at what the cost of capital was in 2000.
[00:06:15.000 --> 00:06:16.000]   Crazy, right?
[00:06:16.000 --> 00:06:17.000]   And so this idea --
[00:06:17.000 --> 00:06:18.000]   8% mortgage rates.
[00:06:18.000 --> 00:06:20.000]   And by the way, the delta there, right?
[00:06:20.000 --> 00:06:24.000]   We went from just above 5 up to 6 and a half, right?
[00:06:24.000 --> 00:06:28.000]   So we're talking about going from 2 and a half back to 2 and a half or 3.
[00:06:28.000 --> 00:06:34.000]   But the big question is, are we going back to 2 and a half or 3, or are they behind the curve, lost in the weeds,
[00:06:34.000 --> 00:06:37.000]   and we're going to have to go to 4 to 5 to kill inflation?
[00:06:37.000 --> 00:06:43.000]   Well, everybody was saying inflation, you know, inflation is here to stay forever.
[00:06:43.000 --> 00:06:45.000]   Remember, when we report on core CPI,
[00:06:45.000 --> 00:06:46.000]   it's what happened last month.
[00:06:46.000 --> 00:06:48.000]   It is not a forward-looking indicator.
[00:06:48.000 --> 00:06:50.000]   So we peaked in core CPI.
[00:06:50.000 --> 00:06:52.000]   Consumer price index, explain what it is.
[00:06:52.000 --> 00:06:56.000]   Consumer price -- this is the basket of goods and services that we all go out and spend money on.
[00:06:56.000 --> 00:06:59.000]   So the Fed is focused on the demand side of the equation.
[00:06:59.000 --> 00:07:03.000]   They know they hopped us up on a bunch of Red Bull and cocaine to survive the pandemic.
[00:07:03.000 --> 00:07:04.000]   And now --
[00:07:04.000 --> 00:07:07.000]   I thought you were talking about last night for sacks, but keep going.
[00:07:07.000 --> 00:07:10.000]   You still haven't said a word all day.
[00:07:10.000 --> 00:07:11.000]   Look at you.
[00:07:11.000 --> 00:07:12.000]   I'm not going to say a word.
[00:07:12.000 --> 00:07:13.000]   I'm going to say a word.
[00:07:13.000 --> 00:07:14.000]   I'm going to say a word.
[00:07:14.000 --> 00:07:15.000]   I'm going to say a word.
[00:07:15.000 --> 00:07:16.000]   I'm going to say a word.
[00:07:16.000 --> 00:07:17.000]   I'm going to say a word.
[00:07:17.000 --> 00:07:18.000]   I'm going to say a word.
[00:07:18.000 --> 00:07:19.000]   I'm going to say a word.
[00:07:19.000 --> 00:07:20.000]   I'm going to say a word.
[00:07:20.000 --> 00:07:21.000]   I'm going to say a word.
[00:07:21.000 --> 00:07:22.000]   I'm going to say a word.
[00:07:22.000 --> 00:07:23.000]   I'm going to say a word.
[00:07:23.000 --> 00:07:24.000]   I'm going to say a word.
[00:07:24.000 --> 00:07:25.000]   I'm going to say a word.
[00:07:25.000 --> 00:07:26.000]   I'm going to say a word.
[00:07:26.000 --> 00:07:27.000]   I'm going to say a word.
[00:07:27.000 --> 00:07:28.000]   I'm going to say a word.
[00:07:28.000 --> 00:07:29.000]   I'm going to say a word.
[00:07:29.000 --> 00:07:30.000]   I'm going to say a word.
[00:07:30.000 --> 00:07:31.000]   I'm going to say a word.
[00:07:31.000 --> 00:07:32.000]   I'm going to say a word.
[00:07:32.000 --> 00:07:33.000]   I'm going to say a word.
[00:07:33.000 --> 00:07:34.000]   I'm going to say a word.
[00:07:34.000 --> 00:07:35.000]   I'm going to say a word.
[00:07:35.000 --> 00:07:36.000]   I'm going to say a word.
[00:07:36.000 --> 00:07:37.000]   I'm going to say a word.
[00:07:37.000 --> 00:07:38.000]   I'm going to say a word.
[00:07:38.000 --> 00:07:39.000]   I'm going to say a word.
[00:07:39.000 --> 00:07:40.000]   I'm going to say a word.
[00:07:40.000 --> 00:07:41.000]   I'm going to say a word.
[00:07:41.000 --> 00:07:42.000]   I'm going to say a word.
[00:07:42.000 --> 00:07:43.000]   I'm going to say a word.
[00:07:43.000 --> 00:07:44.000]   I'm going to say a word.
[00:07:44.000 --> 00:07:45.000]   I'm going to say a word.
[00:07:45.000 --> 00:07:46.000]   I'm going to say a word.
[00:07:46.000 --> 00:07:47.000]   I'm going to say a word.
[00:07:47.000 --> 00:07:48.000]   I'm going to say a word.
[00:07:48.000 --> 00:07:49.000]   I'm going to say a word.
[00:07:49.000 --> 00:07:50.000]   I'm going to say a word.
[00:07:50.000 --> 00:07:51.000]   I'm going to say a word.
[00:07:51.000 --> 00:07:52.000]   I'm going to say a word.
[00:07:52.000 --> 00:07:53.000]   I'm going to say a word.
[00:07:53.000 --> 00:07:54.000]   I'm going to say a word.
[00:07:54.000 --> 00:07:55.000]   I'm going to say a word.
[00:07:55.000 --> 00:07:56.000]   I'm going to say a word.
[00:07:56.000 --> 00:07:57.000]   I'm going to say a word.
[00:07:57.000 --> 00:07:58.000]   I'm going to say a word.
[00:07:58.000 --> 00:07:59.000]   I'm going to say a word.
[00:07:59.000 --> 00:08:00.000]   I'm going to say a word.
[00:08:00.000 --> 00:08:01.000]   I'm going to say a word.
[00:08:01.000 --> 00:08:02.000]   I'm going to say a word.
[00:08:02.000 --> 00:08:03.000]   I'm going to say a word.
[00:08:03.000 --> 00:08:04.000]   I'm going to say a word.
[00:08:04.000 --> 00:08:05.000]   I'm going to say a word.
[00:08:05.000 --> 00:08:06.000]   I'm going to say a word.
[00:08:06.000 --> 00:08:07.000]   I'm going to say a word.
[00:08:07.000 --> 00:08:08.000]   I'm going to say a word.
[00:08:08.000 --> 00:08:09.000]   I'm going to say a word.
[00:08:09.000 --> 00:08:10.000]   I'm going to say a word.
[00:08:10.000 --> 00:08:11.000]   I'm going to say a word.
[00:08:11.000 --> 00:08:12.000]   I'm going to say a word.
[00:08:12.000 --> 00:08:13.000]   I'm going to say a word.
[00:08:13.000 --> 00:08:14.000]   I'm going to say a word.
[00:08:14.000 --> 00:08:15.000]   I'm going to say a word.
[00:08:15.000 --> 00:08:16.000]   I'm going to say a word.
[00:08:16.000 --> 00:08:17.000]   I'm going to say a word.
[00:08:17.000 --> 00:08:18.000]   I'm going to say a word.
[00:08:18.000 --> 00:08:19.000]   I'm going to say a word.
[00:08:19.000 --> 00:08:20.000]   I'm going to say a word.
[00:08:20.000 --> 00:08:21.000]   I'm going to say a word.
[00:08:21.000 --> 00:08:22.000]   I'm going to say a word.
[00:08:22.000 --> 00:08:23.000]   I'm going to say a word.
[00:08:23.000 --> 00:08:24.000]   I'm going to say a word.
[00:08:24.000 --> 00:08:25.000]   I'm going to say a word.
[00:08:25.000 --> 00:08:26.000]   I'm going to say a word.
[00:08:26.000 --> 00:08:27.000]   I'm going to say a word.
[00:08:27.000 --> 00:08:28.000]   I'm going to say a word.
[00:08:28.000 --> 00:08:29.000]   I'm going to say a word.
[00:08:29.000 --> 00:08:30.000]   I'm going to say a word.
[00:08:30.000 --> 00:08:31.000]   I'm going to say a word.
[00:08:31.000 --> 00:08:32.000]   I'm going to say a word.
[00:08:32.000 --> 00:08:33.000]   I'm going to say a word.
[00:08:33.000 --> 00:08:34.000]   I'm going to say a word.
[00:08:34.000 --> 00:08:35.000]   I'm going to say a word.
[00:08:35.000 --> 00:08:36.000]   I'm going to say a word.
[00:08:36.000 --> 00:08:37.000]   I'm going to say a word.
[00:08:37.000 --> 00:08:38.000]   I'm going to say a word.
[00:08:38.000 --> 00:08:39.000]   I'm going to say a word.
[00:08:39.000 --> 00:08:40.000]   I'm going to say a word.
[00:08:40.000 --> 00:08:41.000]   I'm going to say a word.
[00:08:41.000 --> 00:08:42.000]   I'm going to say a word.
[00:08:42.000 --> 00:08:43.000]   I'm going to say a word.
[00:08:43.000 --> 00:08:44.000]   I'm going to say a word.
[00:08:44.000 --> 00:08:45.000]   I'm going to say a word.
[00:08:45.000 --> 00:08:46.000]   I'm going to say a word.
[00:08:46.000 --> 00:08:47.000]   I'm going to say a word.
[00:08:47.000 --> 00:08:48.000]   I'm going to say a word.
[00:08:48.000 --> 00:08:49.000]   I'm going to say a word.
[00:08:49.000 --> 00:08:50.000]   I'm going to say a word.
[00:08:50.000 --> 00:08:51.000]   I'm going to say a word.
[00:08:51.000 --> 00:08:52.000]   I'm going to say a word.
[00:08:52.000 --> 00:08:53.000]   I'm going to say a word.
[00:08:53.000 --> 00:08:54.000]   I'm going to say a word.
[00:08:54.000 --> 00:08:55.000]   I'm going to say a word.
[00:08:55.000 --> 00:08:56.000]   I'm going to say a word.
[00:08:56.000 --> 00:08:57.000]   I'm going to say a word.
[00:08:57.000 --> 00:08:58.000]   I'm going to say a word.
[00:08:58.000 --> 00:08:59.000]   I'm going to say a word.
[00:08:59.000 --> 00:09:00.000]   I'm going to say a word.
[00:09:00.000 --> 00:09:01.000]   I'm going to say a word.
[00:09:01.000 --> 00:09:02.000]   I'm going to say a word.
[00:09:02.000 --> 00:09:03.000]   I'm going to say a word.
[00:09:03.000 --> 00:09:04.000]   I'm going to say a word.
[00:09:04.000 --> 00:09:05.000]   I'm going to say a word.
[00:09:05.000 --> 00:09:06.000]   I'm going to say a word.
[00:09:06.000 --> 00:09:07.000]   I'm going to say a word.
[00:09:07.000 --> 00:09:08.000]   I'm going to say a word.
[00:09:08.000 --> 00:09:09.000]   I'm going to say a word.
[00:09:09.000 --> 00:09:10.000]   I'm going to say a word.
[00:09:10.000 --> 00:09:11.000]   I'm going to say a word.
[00:09:11.000 --> 00:09:12.000]   I'm going to say a word.
[00:09:12.000 --> 00:09:13.000]   I'm going to say a word.
[00:09:13.000 --> 00:09:14.000]   I'm going to say a word.
[00:09:14.000 --> 00:09:15.000]   I'm going to say a word.
[00:09:15.000 --> 00:09:16.000]   I'm going to say a word.
[00:09:16.000 --> 00:09:17.000]   I'm going to say a word.
[00:09:17.000 --> 00:09:18.000]   I'm going to say a word.
[00:09:18.000 --> 00:09:19.000]   I'm going to say a word.
[00:09:19.000 --> 00:09:20.000]   I'm going to say a word.
[00:09:20.000 --> 00:09:21.000]   I'm going to say a word.
[00:09:21.000 --> 00:09:22.000]   I'm going to say a word.
[00:09:22.000 --> 00:09:23.000]   I'm going to say a word.
[00:09:23.000 --> 00:09:24.000]   I'm going to say a word.
[00:09:24.000 --> 00:09:25.000]   I'm going to say a word.
[00:09:25.000 --> 00:09:26.000]   I'm going to say a word.
[00:09:26.000 --> 00:09:27.000]   I'm going to say a word.
[00:09:27.000 --> 00:09:28.000]   I'm going to say a word.
[00:09:28.000 --> 00:09:29.000]   I'm going to say a word.
[00:09:29.000 --> 00:09:30.000]   I'm going to say a word.
[00:09:30.000 --> 00:09:31.000]   I'm going to say a word.
[00:09:31.000 --> 00:09:32.000]   I'm going to say a word.
[00:09:32.000 --> 00:09:33.000]   I'm going to say a word.
[00:09:33.000 --> 00:09:34.000]   I'm going to say a word.
[00:09:34.000 --> 00:09:35.000]   I'm going to say a word.
[00:09:35.000 --> 00:09:36.000]   I'm going to say a word.
[00:09:36.000 --> 00:09:37.000]   I'm going to say a word.
[00:09:37.000 --> 00:09:38.000]   I'm going to say a word.
[00:09:38.000 --> 00:09:39.000]   I'm going to say a word.
[00:09:39.000 --> 00:09:40.000]   I'm going to say a word.
[00:09:40.000 --> 00:09:41.000]   I'm going to say a word.
[00:09:41.000 --> 00:09:42.000]   I'm going to say a word.
[00:09:42.000 --> 00:09:43.000]   I'm going to say a word.
[00:09:43.000 --> 00:09:44.000]   I'm going to say a word.
[00:09:44.000 --> 00:09:45.000]   I'm going to say a word.
[00:09:45.000 --> 00:09:46.000]   I'm going to say a word.
[00:09:46.000 --> 00:09:47.000]   I'm going to say a word.
[00:09:47.000 --> 00:09:48.000]   I'm going to say a word.
[00:09:48.000 --> 00:09:49.000]   I'm going to say a word.
[00:09:49.000 --> 00:09:50.000]   I'm going to say a word.
[00:09:50.000 --> 00:09:51.000]   I'm going to say a word.
[00:09:51.000 --> 00:09:52.000]   I'm going to say a word.
[00:09:52.000 --> 00:09:53.000]   I'm going to say a word.
[00:09:53.000 --> 00:09:54.000]   I'm going to say a word.
[00:09:54.000 --> 00:09:55.000]   I'm going to say a word.
[00:09:55.000 --> 00:09:56.000]   I'm going to say a word.
[00:09:56.000 --> 00:09:57.000]   I'm going to say a word.
[00:09:57.000 --> 00:09:58.000]   I'm going to say a word.
[00:09:58.000 --> 00:09:59.000]   I'm going to say a word.
[00:09:59.000 --> 00:10:00.000]   I'm going to say a word.
[00:10:00.000 --> 00:10:01.000]   I'm going to say a word.
[00:10:01.000 --> 00:10:02.000]   I'm going to say a word.
[00:10:02.000 --> 00:10:03.000]   I'm going to say a word.
[00:10:03.000 --> 00:10:04.000]   I'm going to say a word.
[00:10:04.000 --> 00:10:05.000]   I'm going to say a word.
[00:10:05.000 --> 00:10:06.000]   I'm going to say a word.
[00:10:06.000 --> 00:10:07.000]   I'm going to say a word.
[00:10:07.000 --> 00:10:08.000]   I'm going to say a word.
[00:10:08.000 --> 00:10:09.000]   I'm going to say a word.
[00:10:09.000 --> 00:10:10.000]   I'm going to say a word.
[00:10:10.000 --> 00:10:11.000]   I'm going to say a word.
[00:10:11.000 --> 00:10:12.000]   I'm going to say a word.
[00:10:12.000 --> 00:10:13.000]   I'm going to say a word.
[00:10:13.000 --> 00:10:14.000]   I'm going to say a word.
[00:10:14.000 --> 00:10:15.000]   I'm going to say a word.
[00:10:15.000 --> 00:10:16.000]   I'm going to say a word.
[00:10:16.000 --> 00:10:17.000]   I'm going to say a word.
[00:10:17.000 --> 00:10:18.000]   I'm going to say a word.
[00:10:18.000 --> 00:10:19.000]   I'm going to say a word.
[00:10:19.000 --> 00:10:20.000]   I'm going to say a word.
[00:10:20.000 --> 00:10:21.000]   I'm going to say a word.
[00:10:21.000 --> 00:10:22.000]   I'm going to say a word.
[00:10:22.000 --> 00:10:23.000]   I'm going to say a word.
[00:10:23.000 --> 00:10:24.000]   I'm going to say a word.
[00:10:24.000 --> 00:10:25.000]   I'm going to say a word.
[00:10:25.000 --> 00:10:26.000]   I'm going to say a word.
[00:10:26.000 --> 00:10:27.000]   I'm going to say a word.
[00:10:27.000 --> 00:10:28.000]   I'm going to say a word.
[00:10:28.000 --> 00:10:29.000]   I'm going to say a word.
[00:10:29.000 --> 00:10:30.000]   I'm going to say a word.
[00:10:30.000 --> 00:10:31.000]   I'm going to say a word.
[00:10:31.000 --> 00:10:32.000]   I'm going to say a word.
[00:10:32.000 --> 00:10:33.000]   I'm going to say a word.
[00:10:33.000 --> 00:10:34.000]   I'm going to say a word.
[00:10:34.000 --> 00:10:35.000]   I'm going to say a word.
[00:10:35.000 --> 00:10:36.000]   I'm going to say a word.
[00:10:36.000 --> 00:10:37.000]   I'm going to say a word.
[00:10:37.000 --> 00:10:38.000]   I'm going to say a word.
[00:10:38.000 --> 00:10:39.000]   I'm going to say a word.
[00:10:39.000 --> 00:10:40.000]   I'm going to say a word.
[00:10:40.000 --> 00:10:41.000]   I'm going to say a word.
[00:10:41.000 --> 00:10:42.000]   I'm going to say a word.
[00:10:42.000 --> 00:10:43.000]   I'm going to say a word.
[00:10:43.000 --> 00:10:44.000]   I'm going to say a word.
[00:10:44.000 --> 00:10:45.000]   I'm going to say a word.
[00:10:45.000 --> 00:10:46.000]   I'm going to say a word.
[00:10:46.000 --> 00:10:47.000]   I'm going to say a word.
[00:10:47.000 --> 00:10:48.000]   I'm going to say a word.
[00:10:48.000 --> 00:10:49.000]   I'm going to say a word.
[00:10:49.000 --> 00:10:50.000]   I'm going to say a word.
[00:10:50.000 --> 00:10:51.000]   I'm going to say a word.
[00:10:51.000 --> 00:10:52.000]   I'm going to say a word.
[00:10:52.000 --> 00:10:53.000]   I'm going to say a word.
[00:10:53.000 --> 00:10:54.000]   I'm going to say a word.
[00:10:54.000 --> 00:10:55.000]   I'm going to say a word.
[00:10:55.000 --> 00:10:56.000]   I'm going to say a word.
[00:10:56.000 --> 00:10:57.000]   I'm going to say a word.
[00:10:57.000 --> 00:10:58.000]   I'm going to say a word.
[00:10:58.000 --> 00:10:59.000]   I'm going to say a word.
[00:10:59.000 --> 00:11:00.000]   I'm going to say a word.
[00:11:00.000 --> 00:11:01.000]   I'm going to say a word.
[00:11:01.000 --> 00:11:02.000]   I'm going to say a word.
[00:11:02.000 --> 00:11:03.000]   I'm going to say a word.
[00:11:03.000 --> 00:11:04.000]   I'm going to say a word.
[00:11:04.000 --> 00:11:05.000]   I'm going to say a word.
[00:11:05.000 --> 00:11:06.000]   I'm going to say a word.
[00:11:06.000 --> 00:11:07.000]   I'm going to say a word.
[00:11:07.000 --> 00:11:08.000]   I'm going to say a word.
[00:11:08.000 --> 00:11:09.000]   I'm going to say a word.
[00:11:09.000 --> 00:11:10.000]   I'm going to say a word.
[00:11:10.000 --> 00:11:11.000]   I'm going to say a word.
[00:11:11.000 --> 00:11:12.000]   I'm going to say a word.
[00:11:12.000 --> 00:11:13.000]   I'm going to say a word.
[00:11:13.000 --> 00:11:14.000]   I'm going to say a word.
[00:11:14.000 --> 00:11:15.000]   I'm going to say a word.
[00:11:15.000 --> 00:11:16.000]   I'm going to say a word.
[00:11:16.000 --> 00:11:17.000]   I'm going to say a word.
[00:11:17.000 --> 00:11:18.000]   I'm going to say a word.
[00:11:18.000 --> 00:11:19.000]   I'm going to say a word.
[00:11:19.000 --> 00:11:20.000]   I'm going to say a word.
[00:11:20.000 --> 00:11:21.000]   I'm going to say a word.
[00:11:21.000 --> 00:11:22.000]   I'm going to say a word.
[00:11:22.000 --> 00:11:23.000]   I'm going to say a word.
[00:11:23.000 --> 00:11:24.000]   I'm going to say a word.
[00:11:24.000 --> 00:11:25.000]   I'm going to say a word.
[00:11:25.000 --> 00:11:26.000]   I'm going to say a word.
[00:11:26.000 --> 00:11:27.000]   I'm going to say a word.
[00:11:27.000 --> 00:11:28.000]   I'm going to say a word.
[00:11:28.000 --> 00:11:29.000]   I'm going to say a word.
[00:11:29.000 --> 00:11:30.000]   I'm going to say a word.
[00:11:30.000 --> 00:11:31.000]   I'm going to say a word.
[00:11:31.000 --> 00:11:32.000]   I'm going to say a word.
[00:11:32.000 --> 00:11:33.000]   I'm going to say a word.
[00:11:33.000 --> 00:11:34.000]   I'm going to say a word.
[00:11:34.000 --> 00:11:35.000]   I'm going to say a word.
[00:11:35.000 --> 00:11:36.000]   I'm going to say a word.
[00:11:36.000 --> 00:11:37.000]   I'm going to say a word.
[00:11:37.000 --> 00:11:38.000]   I'm going to say a word.
[00:11:38.000 --> 00:11:39.000]   I'm going to say a word.
[00:11:39.000 --> 00:11:40.000]   I'm going to say a word.
[00:11:40.000 --> 00:11:41.000]   I'm going to say a word.
[00:11:41.000 --> 00:11:42.000]   I'm going to say a word.
[00:11:42.000 --> 00:11:43.000]   I'm going to say a word.
[00:11:43.000 --> 00:11:44.000]   I'm going to say a word.
[00:11:44.000 --> 00:11:45.000]   I'm going to say a word.
[00:11:45.000 --> 00:11:46.000]   I'm going to say a word.
[00:11:46.000 --> 00:11:47.000]   I'm going to say a word.
[00:11:47.000 --> 00:11:48.000]   I'm going to say a word.
[00:11:48.000 --> 00:11:49.000]   I'm going to say a word.
[00:11:49.000 --> 00:11:50.000]   I'm going to say a word.
[00:11:50.000 --> 00:11:51.000]   I'm going to say a word.
[00:11:51.000 --> 00:11:52.000]   I'm going to say a word.
[00:11:52.000 --> 00:11:53.000]   I'm going to say a word.
[00:11:53.000 --> 00:11:54.000]   I'm going to say a word.
[00:11:54.000 --> 00:11:55.000]   I'm going to say a word.
[00:11:55.000 --> 00:11:56.000]   I'm going to say a word.
[00:11:56.000 --> 00:11:57.000]   I'm going to say a word.
[00:11:57.000 --> 00:11:58.000]   I'm going to say a word.
[00:11:58.000 --> 00:11:59.000]   I'm going to say a word.
[00:11:59.000 --> 00:12:00.000]   I'm going to say a word.
[00:12:00.000 --> 00:12:01.000]   I'm going to say a word.
[00:12:01.000 --> 00:12:02.000]   I'm going to say a word.
[00:12:02.000 --> 00:12:03.000]   I'm going to say a word.
[00:12:03.000 --> 00:12:04.000]   I'm going to say a word.
[00:12:04.000 --> 00:12:05.000]   I'm going to say a word.
[00:12:05.000 --> 00:12:06.000]   I'm going to say a word.
[00:12:06.000 --> 00:12:07.000]   I'm going to say a word.
[00:12:07.000 --> 00:12:08.000]   I'm going to say a word.
[00:12:08.000 --> 00:12:09.000]   I'm going to say a word.
[00:12:09.000 --> 00:12:10.000]   I'm going to say a word.
[00:12:10.000 --> 00:12:11.000]   I'm going to say a word.
[00:12:11.000 --> 00:12:12.000]   I'm going to say a word.
[00:12:12.000 --> 00:12:13.000]   I'm going to say a word.
[00:12:13.000 --> 00:12:14.000]   I'm going to say a word.
[00:12:14.000 --> 00:12:15.000]   I'm going to say a word.
[00:12:15.000 --> 00:12:16.000]   I'm going to say a word.
