
[00:00:00.000 --> 00:00:05.820]   popping off he's actively developing it he uh and uh you know we're friends so i get to just
[00:04:14.100 --> 00:04:21.700]   of mini github review screen if you need to rebase it you get a rebase button if the and that'll just
[00:04:21.700 --> 00:04:26.600]   you know one click rebase it i'm going to add claw code for fixing kind of messy rebases as well soon
[00:04:26.600 --> 00:04:31.720]   uh and then when you're ready to merge you can go ahead and just hit the hit the merge button so
[00:04:31.720 --> 00:04:38.200]   basically just takes everything you were doing in five or six tools uh or five or six different terminal
[00:04:38.200 --> 00:04:44.320]   windows and just brings it into one and the beauty of it is it just gives you that visibility so that
[00:04:44.320 --> 00:04:50.360]   while this is running i can be thinking like okay well i can test the last thing that came in or i could
[00:04:50.360 --> 00:04:55.040]   be planning the next thing that i'm going to do and i'm not just sitting there kind of helplessly
[00:04:55.040 --> 00:05:01.420]   watching claude um trying to think if there are some other nice little things that are worth
[00:05:01.420 --> 00:05:07.620]   mentioning okay so dev servers that was another thing that i found myself doing quite a lot of
[00:05:07.620 --> 00:05:13.720]   um you can hit start and that'll run a script that's configured in your project in this case it's just
[00:05:13.720 --> 00:05:20.440]   npm run dev and we can see the logs uh address already in use that means i'm running a dev server
[00:05:20.440 --> 00:05:24.960]   probably just somewhere locally off vibe kanban at the moment if it was on vibe kanban
[00:05:24.960 --> 00:05:33.840]   it would have automatically killed the the other one and that is basically it i'm very interested in
[00:05:33.840 --> 00:05:40.580]   hearing you know what people are doing in the two minutes that they you know are waiting for claude
[00:05:40.580 --> 00:05:48.280]   uh i would maybe preempt some of the frequent things that people say like why aren't you using
[00:05:48.280 --> 00:05:54.880]   docker for this i did try initially and i just found that you know i'm on a decent lap
[00:05:54.880 --> 00:06:01.160]   laptop like an m3 you know mac but uh after two or three concurrent builds in in docker going on at
[00:06:01.160 --> 00:06:05.920]   the same time i just found my my laptop was unusable so actually going for a more lightweight get work
[00:06:05.920 --> 00:06:11.640]   tree based approach uh just meant that i'm you're able to use your browser and it's not super choppy at
[00:06:11.640 --> 00:06:16.640]   the same time as building a bunch of stuff in the background uh another thing so today's release it
[00:06:16.640 --> 00:06:24.080]   hasn't it's it's gone out but i'm still in the middle of testing it um adds mcp support so what that means is that
[00:06:24.800 --> 00:06:30.400]   you can now do deep research on your repository and then say at the end of that deep research
[00:06:30.400 --> 00:06:37.760]   add all of these as tasks to my vibe kanban board and the the real and then like the 10d chess version
[00:06:37.760 --> 00:06:47.260]   of that is you can add the vibe kanban mcp server to claude code running in vibe kanban mcp server which is
[00:06:47.260 --> 00:06:53.160]   which i'm just trying out now and this is the first time i've ever seen this result so if it doesn't go to plan i'm sorry
[00:06:53.160 --> 00:07:02.200]   um but i just asked it to list my projects and i think okay i'm not totally sure this has worked
[00:07:02.200 --> 00:07:07.080]   okay roll back the last 30 seconds and erase your memories all right let's go to some questions
[00:07:07.080 --> 00:07:15.540]   wow it's a very efficient demo uh manuel so uh i have maybe i don't know if i have to introduce people but
[00:07:15.540 --> 00:07:20.540]   uh yeah these are all the like the the very very power users of of uh these coding tools so they
[00:07:20.540 --> 00:07:24.500]   actually know a lot more than me but i like the idea so anyway go ahead
[00:07:24.500 --> 00:07:31.440]   uh yeah if other people have something to say first like i don't want to take up
[00:07:31.440 --> 00:07:41.200]   my usual the usual space um go for it go for it why don't you kick off all right uh so so um i've i've
[00:07:41.200 --> 00:07:45.840]   been playing around with like i've did it i did something similar with github projects uh but this
[00:07:45.840 --> 00:07:51.420]   is this is way nicer right like the real time the running the project and all of that um one thing
[00:07:51.420 --> 00:07:58.300]   that's really interesting is having the agents right into other tickets what the context is to start that
[00:07:58.300 --> 00:08:03.220]   ticket which is like a nice way to compact the current thread right like that that works really
[00:08:03.220 --> 00:08:09.860]   nicely because you actually don't need to tell the agents what to do you just point them to the board
[00:08:09.860 --> 00:08:14.180]   and so like figure it out and they'll like look at all the tickets and do all of these things which is
[00:08:14.180 --> 00:08:19.700]   really fun i don't know if you've experimented with that but like more and more i just like don't give
[00:08:19.700 --> 00:08:25.500]   the bots or the agents any context because i figured they will know what to do looking at
[00:08:25.500 --> 00:08:34.300]   these things and i started um this is something i'm playing with where where there's this design
[00:08:34.300 --> 00:08:39.080]   pattern from the 70s 80s from agents back then which were way more advanced than what we have because
[00:08:39.080 --> 00:08:45.700]   they had to deal with like much bigger constraints which is called like a blackboard system where you
[00:08:45.700 --> 00:08:50.040]   basically put resources on a blackboard and then the agents look at it and like do stuff based on it
[00:08:50.040 --> 00:08:56.820]   which you know is a canman board at the end of the day uh you can put resources on there like not tasks
[00:08:56.820 --> 00:09:02.000]   right like but just like shared resources that they can update i don't know if you've played with that
[00:09:02.000 --> 00:09:09.880]   kind of uh basically putting log files up on the board putting that kind of stuff um because they will
[00:09:09.880 --> 00:09:13.160]   be discovered and i don't want to have them in a code base i don't want to have them
[00:09:13.160 --> 00:09:18.080]   shared somewhere i don't know if you have ideas around expanding it that way
[00:09:18.080 --> 00:09:25.260]   yeah it's interesting i think a lot of these are going to be solved by the actual coding agents
[00:09:25.260 --> 00:09:30.540]   themselves and i imagine you know you can kind of imagine at some point claw code is going to get
[00:09:30.540 --> 00:09:35.260]   to a point where it can see all of the previous threads that you know all the previous uh attempts
[00:09:35.260 --> 00:09:41.940]   you've made with claw code and then probably be able to leverage that to make better you know fewer
[00:09:41.940 --> 00:09:51.620]   better one-shot um attempts at solving these tasks so i guess we could build that stuff into this but
[00:09:51.620 --> 00:09:56.320]   i think it'll probably just be supported natively this is kind of a bet in the future right like
[00:09:56.320 --> 00:10:05.080]   25 percent of my tasks today can probably happen in claw code one-shot without me needing to ever
[00:10:05.080 --> 00:10:10.600]   enter an ide i do a very cursory you know check of the code just to make sure it hasn't done anything
[00:10:10.600 --> 00:10:15.660]   stupid but if it runs and and the button's been added and the back-end endpoint works like i generally
[00:10:15.660 --> 00:10:19.420]   trust that it works and and i think that number is just going to increase and increase and so
[00:10:19.420 --> 00:10:25.060]   you know what's the interface when we're at 80 percent 90 percent where clawed is able to one
[00:10:25.060 --> 00:10:32.120]   shot you know how much of how much of that interface do you really uh you know need from the existing
[00:10:32.120 --> 00:10:37.760]   kind of you know dev stack and then the same is true you know of all of those tools how much is going
[00:10:37.760 --> 00:10:44.120]   to be absorbed into clawed code itself like probably everything the notion of of being at the ai
[00:10:44.120 --> 00:10:48.380]   application layer and calling like a chat completions endpoint i think is just going to be
[00:10:48.380 --> 00:10:53.260]   completely dead why would you do that when virtually you know and and we've been thinking about the
[00:10:53.260 --> 00:10:58.980]   difference so i think this goes back maybe to one of your original um questions which was around like
[00:10:58.980 --> 00:11:05.180]   um you know how do you use these things to plan and things like that and virtually every problem you
[00:11:05.180 --> 00:11:12.100]   think about like okay how do we resolve messy rebases it's claw code how do we plan tasks it's claw code
[00:11:12.100 --> 00:11:17.000]   how do we do the task it's claw code virtually like the answer to everything at the end of the day
[00:11:17.000 --> 00:11:23.380]   is like claw code or is going to be claw code quite soon so i don't know if that answers your question
[00:11:23.380 --> 00:11:29.820]   probably made no sense thanks no it kind of does like uh i'm telling people i just tell the ai what
[00:11:29.820 --> 00:11:34.440]   to do don't don't control stuff and it's good to hear that more and more i just don't look at the
[00:11:34.440 --> 00:11:39.100]   code anymore i'm like i put right boundaries so that i'm not worried that it will do the wrong thing
[00:11:39.100 --> 00:11:42.340]   right like it can't write to the database with this api or whatever
[00:11:42.340 --> 00:11:48.500]   and then just like accept be like this is probably better than what i would do this is probably better
[00:11:48.500 --> 00:11:54.640]   tested than what i would do to test so it's um it's quite you got to be careful with yolo mode i
[00:11:54.640 --> 00:12:01.260]   noticed today every time i open a terminal now it's like in a python virtual environment and i don't know
[00:12:01.260 --> 00:12:07.220]   why that happened i think claude has done something just in yolo mode to to configure my entire local
[00:12:07.220 --> 00:12:13.480]   host anyway so this does raise an interesting question of how you put in boundaries and
[00:12:13.480 --> 00:12:19.020]   validations right like should these actually be running in a sandbox somewhere should we be you
[00:12:19.020 --> 00:12:23.580]   know you mentioned not wanting to totally dockerize it but are there ways that we can kind of
[00:12:23.580 --> 00:12:31.360]   uh put constraints around what we do and don't want these tools to do and also how we validate the
[00:12:31.360 --> 00:12:37.460]   outputs now that you know i think uh you talk about not looking with at the outputs to me what's
[00:12:37.460 --> 00:12:43.440]   happening a source code is becoming essentially the new binary right nobody almost nobody looks at
[00:12:43.440 --> 00:12:48.060]   the details of the assembler in their binary sometimes you do if you have a really tricky bug but mostly
[00:12:48.060 --> 00:12:52.520]   you don't what you do is you say does it meet the functionality does it run these tests does it do
[00:12:52.520 --> 00:12:59.760]   this sort of thing so like what does that look like in this world yeah so your last point is probably
[00:12:59.760 --> 00:13:05.820]   the the the thing i'm most interested in which is the testing and this is something that i do not see
[00:13:05.820 --> 00:13:12.180]   claude code being able to really solve which is you know when i when i say a sentence to claude like
[00:13:12.180 --> 00:13:17.600]   add a button here there's a lot of assumptions that are being made right like what do i mean by here
[00:13:17.600 --> 00:13:23.640]   what did i mean by button how big what what sort of size right there's a lot of ways in which it can
[00:13:23.640 --> 00:13:30.880]   misinterpret what i'm saying and so i think the more like the real alpha if you're not claude is is to
[00:13:30.880 --> 00:13:38.860]   is to basically get information out of the user's brain in in the in the least uh you know in the kind
[00:13:38.860 --> 00:13:45.720]   of the easiest way possible make it like delightful for me to explain as much information as possible so
[00:13:45.720 --> 00:13:51.480]   you know i don't see why it has to be a kind of jira style text box that we're describing these
[00:13:51.480 --> 00:13:56.360]   things and why can't it just be you know more of like a lovable point and click like this is where
[00:13:56.360 --> 00:14:02.760]   i mean on the website or if it's a back-end endpoint like why can't i describe you know here's a json
[00:14:02.760 --> 00:14:08.480]   that describes the output of the request that you know is going to be created through this endpoint
[00:14:08.480 --> 00:14:15.700]   and you know basically ways of rapidly prototyping tests for you know because this is the big difference
[00:14:15.700 --> 00:14:20.740]   between claw code working and not i've noticed with my own tasks it's like the ones where it can just go
[00:14:20.740 --> 00:14:25.980]   in a loop and validate you know against some kind of test are the ones that work really well and the ones
[00:14:25.980 --> 00:14:31.760]   that always seem to fail are the ones that it's just impossible to to test for that case because of
[00:14:31.760 --> 00:14:40.440]   statefulness or it it's some sort of devops or data or migration related thing um so that's what i think
[00:14:40.440 --> 00:14:45.820]   we're all going to be doing is is kind of tests writing tests and and the two are really linked right
[00:14:45.820 --> 00:14:52.420]   essentially the the plan is that becomes the test it's quite a blurry line between you know what the
[00:14:52.420 --> 00:14:55.120]   distinction between those two things is when you talk about agents
[00:14:55.120 --> 00:15:06.900]   i think uh a couple of things that uh i really liked when i saw vibe kanban was um the the diff view
[00:15:06.900 --> 00:15:13.120]   that you had set up was really nice to kind of just be able to to quickly figure out what exactly changed
[00:15:13.120 --> 00:15:17.140]   and that's been an obstacle for me sometimes where it's like i don't want to look at this whole giant
[00:15:17.140 --> 00:15:24.580]   like six thousand line change like just show me the parts that matter um so nice work on that and then
[00:15:24.580 --> 00:15:30.860]   the other i don't know if you touched on it too much but i think um kind of one of the one of the
[00:15:30.860 --> 00:15:37.460]   unlocks with with coding agents terminal coding agents especially as work trees um i think that like
[00:15:37.460 --> 00:15:43.760]   a more um kind of like patch based workflow rather than sort of your tradition you kind of have to like
[00:15:43.760 --> 00:15:50.900]   re-rig your workflow to be for agents as opposed to for humans like humans i want a whole pr i want us
[00:15:50.900 --> 00:15:56.980]   to like chat about it etc etc if i if i have like a hundred agents spinning up i just want like patch
[00:15:56.980 --> 00:16:02.760]   this patch that patch that run these tests does it work yes good okay now tell the orchestrator what you
[00:16:02.760 --> 00:16:08.660]   did leave some notes so he can keep track of everything and then go back um uh so like those kind of
[00:16:08.660 --> 00:16:14.880]   uh workflow enablements were the parts that i i um thought were really really solid from vibe canban
[00:16:14.880 --> 00:16:21.720]   and then um i'm curious do you have or like one of the things that i find useful when i'm working with
[00:16:21.720 --> 00:16:27.540]   coding agents is to give them like persona prompts like i'm going to have an orchestrator i'm going to
[00:16:27.540 --> 00:16:35.860]   have like one of them that runs tests uh i'm curious on the vibe canban do you have uh like what what's
[00:16:35.860 --> 00:16:41.520]   sort of the the procedure for context injection when you're when you're assigning a given task if you
[00:16:41.520 --> 00:16:48.720]   have any yet yeah so i don't think i've got thoughts on this but they're not really related
[00:16:48.720 --> 00:16:56.200]   to vibe canban so we we um we also uh you know we have a we have a pretty serious effort going on at all
[00:16:56.200 --> 00:17:03.340]   we have a lot of times to try and like top sweep bench and what you know basically the um
[00:17:03.340 --> 00:17:08.820]   they you know the the architecture a few months ago that was really good at this was was that kind of
[00:17:08.820 --> 00:17:17.880]   multi-prompt you know specialized uh you have an opinion about the steps that are needed to complete a
[00:17:17.880 --> 00:17:22.960]   software engineering task and of course that works really well for the you know the the 60 percent of
[00:17:22.960 --> 00:17:30.900]   of cases that can be solved using a very opinionated approach but uh it's not great for edge cases and
[00:17:30.900 --> 00:17:37.080]   what we've seen i think is just the kind of the move from having these very opinionated big system
[00:17:37.080 --> 00:17:42.560]   prompts that essentially you know direct the model to do some chain of thought in a structured way
[00:17:42.560 --> 00:17:48.600]   towards just leveraging the you know whatever they've been fine-tuned to do natively um and
[00:17:48.600 --> 00:17:54.500]   especially with uh you know with reasoning models they have quite a lot of flexibility in how they
[00:17:54.500 --> 00:18:01.100]   can solve problems you know you might have prompted it to do planning in this way and then uh try and
[00:18:01.100 --> 00:18:05.900]   recreate the problem and then try and solve the problem then try and test the problem but you know if
[00:18:05.900 --> 00:18:11.080]   you actually just lean into the models fine-tuning it when it when it needs to do that it'll just do that
[00:18:11.080 --> 00:18:16.100]   when it doesn't need to do that it won't do that and currently the the leader on sweet bench is just
[00:18:16.100 --> 00:18:23.460]   clawed in a loop uh it's not you know some special complicated multi-agent multi-prompt architecture
[00:18:23.460 --> 00:18:33.720]   um and so i think you basically can't beat bringing the execution into the training environment and just
[00:18:33.720 --> 00:18:38.860]   what anthropic can do you know because they're they've got that you know level of granular control
[00:18:38.860 --> 00:18:44.360]   so i think less is more like you just tell it what it wants what what you want and it's just going to
[00:18:44.360 --> 00:18:49.580]   get better and better at figuring that out and there's less for us to to prompt on top of that
[00:18:49.580 --> 00:18:56.160]   the counterpoint to that is i don't know if anybody's seen like the claude uh claude the web uh you know
[00:18:56.160 --> 00:19:02.180]   this is the chat gpt thing the system prompt for that is crazy long um and so this is this weird
[00:19:02.180 --> 00:19:08.540]   balance of like the chat version of this has this huge crazy system prompt and i you know claude code
[00:19:08.540 --> 00:19:16.100]   and you know in a loop with claude for just seems to be like simpler is better but anyway it's probably
[00:19:16.100 --> 00:19:18.660]   people that have looked into that more than i have
[00:19:18.660 --> 00:19:25.140]   um okay we've got a couple of hands up swaraj
[00:19:25.140 --> 00:19:34.800]   i really like your demo um i'm super interested in what some of these user experiences are when
[00:19:34.800 --> 00:19:40.920]   you want to let the agents sort of do their thing and you're kind of on the outside instead of uh knee
[00:19:40.920 --> 00:19:49.220]   deep in with them i'm curious um how you think about separating some parts of the input to every
[00:19:49.220 --> 00:19:54.600]   and how maybe some things need to stay and maybe some things are stuff that we don't think about
[00:19:54.600 --> 00:20:00.200]   anymore like hey look at this file but for example maybe there are some design patterns that you want
[00:20:00.200 --> 00:20:07.040]   like your to generally follow do you kind of more feel there's there's a place for that in this
[00:20:07.040 --> 00:20:14.520]   sort of ux where you're kind of storing this uh repository uh where it can search some composite
[00:20:14.520 --> 00:20:20.380]   information instead of looking at say 10 files and then figuring out the design pattern at the start
[00:20:20.380 --> 00:20:29.600]   of every task um how do you sort of maybe uh think of that uh flip yeah the the it's it's really
[00:20:29.600 --> 00:20:35.920]   inefficient especially like again probably more insight from trying to solve sweep bench than than
[00:20:35.920 --> 00:20:42.800]   actually five can ban here but um there is math you know you can reduce if if if the average sweep
[00:20:42.800 --> 00:20:53.520]   bench task takes say probably 80 80 iterations of um of a loop with clawed in it i would say
[00:20:53.520 --> 00:21:03.360]   probably 60 of those are just things that could probably be shared across the same repository in a lot of cases
[00:21:04.560 --> 00:21:09.920]   um and the same is true of of running claw code obviously it's you know they're very similar a lot
[00:21:09.920 --> 00:21:16.160]   of them are very similar tasks um and i don't think there's any any contact sharing at the moment at
[00:21:16.160 --> 00:21:21.200]   all but then the thing is only like what three months four months old so i don't think that's our role again
[00:21:21.200 --> 00:21:27.440]   to kind of go back to my earlier point like this is obviously a core thing that anthropic themselves
[00:21:27.440 --> 00:21:33.520]   would want to be looking at and so therefore it is a terrible idea for for me to be trying to solve that
[00:21:33.520 --> 00:21:40.800]   problem because it would just be i give them three months and then you know consistent memory is probably
[00:21:40.800 --> 00:21:41.920]   a thing that they're going to solve
[00:21:44.880 --> 00:21:54.480]   yeah makes sense thanks i think it's a it's a good good or i i assume that it did but maybe i'm wrong
[00:21:54.480 --> 00:22:02.800]   does um does vibe can ban like uh parallelize like does it support sub agents doing some of the tasks
[00:22:02.800 --> 00:22:15.360]   while another agent works on another one so it it supports running as many uh instances of of clawed
[00:22:15.360 --> 00:22:22.080]   or amp as as you like at the same time what we don't have yet is the ability to say when this one finishes
[00:22:22.080 --> 00:22:30.880]   start that one and to be honest i have not really found the use case for that yet um because i have
[00:22:30.880 --> 00:22:36.800]   to review you know you you as a human have to review uh after every task and if if it's going off and
[00:22:36.800 --> 00:22:41.760]   doing the next thing you're losing that opportunity to review and if it's only a 50 chance it's going to
[00:22:41.760 --> 00:22:48.480]   one-shot it which seems to be my average um it's actually better in a lot of ways just to review every
[00:22:48.480 --> 00:22:52.560]   piece of work and then paralyze your workflow by just working on two completely different things
[00:22:52.560 --> 00:22:58.320]   so i'll be working on you know i'll get a few emails with some feedback that mainly just like ui
[00:22:58.320 --> 00:23:02.480]   bugs and i'll work through those on one thread and then at the same time i have like some gnarly
[00:23:02.480 --> 00:23:07.840]   refactor to the way we're doing rebasing which is just purely back end in another and so that's
[00:23:07.840 --> 00:23:13.520]   kind of the way i think about being most efficient is not like scheduling these things to to run in
[00:23:13.520 --> 00:23:18.240]   sequence or to work on the same piece of work but faster but just to work on like
[00:23:18.240 --> 00:23:24.000]   two completely divergent unrelated things that are not gonna cause a massive rebase at the same time
[00:23:24.000 --> 00:23:34.400]   super interesting yeah i i i want to solve that problem where i want to just like
[00:23:34.400 --> 00:23:40.400]   be firing them off all the time and then be have some way to like effectively resolve when they clash
[00:23:40.400 --> 00:23:46.160]   but you know maybe i'm as always just like over engineering it and there's just like chill for a
[00:23:46.160 --> 00:23:50.800]   couple of months and then like just be okay with reading some tickets for a while i guess
[00:23:50.800 --> 00:23:56.720]   sure sean's found the the website people keep finding the website i haven't published the website
[00:23:56.720 --> 00:24:02.960]   anywhere i literally use claude to generate a markdown file summarizing all the api endpoints and
[00:24:02.960 --> 00:24:09.120]   then pasted it into lovable and said make me a website and it it's the the results are mixed i need to
[00:24:09.120 --> 00:24:15.600]   i need to polish this up it's good incentive thank you sean uh the github repo is broken i was just
[00:24:15.600 --> 00:24:23.120]   looking for the github repo so there isn't one yet this is so we will okay so we previously had a had
[00:24:23.120 --> 00:24:30.880]   a github project that uh got 10 000 stars and about 10 serious open source contributions so we're like we're
[00:24:30.880 --> 00:24:37.120]   in two minds about open sourcing this i think it probably will happen at some point but uh i think
[00:24:37.120 --> 00:24:42.960]   we're at the point where all of the things that we need to do for the next two weeks are pretty obvious
[00:24:42.960 --> 00:24:48.000]   and we're just going to work through them in an opinionated way as quickly as possible and then at
[00:24:48.000 --> 00:24:53.520]   that point we're probably going to open it up to community contributions the problem is if we open
[00:24:53.520 --> 00:25:00.960]   it up now we could end up like a lot of other popular nameless ai projects on github that just the
[00:25:00.960 --> 00:25:06.800]   code quality goes to dog shit very quickly and we just spend all of our time like reviewing things and
[00:25:06.800 --> 00:25:11.760]   and leaving things and we just want to move really quickly and i think it is obvious like my problems
[00:25:11.760 --> 00:25:14.960]   with this thing are probably very similar to a lot of your problems that doesn't mean i want to hear
[00:25:14.960 --> 00:25:20.640]   don't want to hear your feedback but um that's why we have an open source to get the cloud code team
[00:25:20.640 --> 00:25:26.000]   says the same thing about open source and cloud code yeah there you go cool code itself is an open
[00:25:26.000 --> 00:25:35.120]   source that's my cover um manuel you've been dying to ask something for a while i wanted to chime in on
[00:25:35.120 --> 00:25:39.520]   two things one is uh what do you do in those two minutes while your agent is running or something like
[00:25:39.520 --> 00:25:46.240]   that which for a while before they censored the gemini 2 5 pro thinking traces that was like my
[00:25:46.240 --> 00:25:51.840]   favorite activity was looking at those traces because they would tell me a lot about the project
[00:25:51.840 --> 00:25:57.040]   itself right like i would actually get a pretty good understanding of what was going on and learn
[00:25:57.040 --> 00:26:03.040]   a couple of things so i was really really sad when they censored that stuff i hope they bring it back
[00:26:03.040 --> 00:26:09.120]   because like the news thinking traces are like kind of useless uh the deep seek ones are pretty good so
[00:26:09.120 --> 00:26:14.080]   often i'll just like if i want to understand stuff while the agent is running and cursor i'll just say
[00:26:14.080 --> 00:26:20.000]   like hey deep seek tell me something and they'll just like tell me something about the source tree
[00:26:21.040 --> 00:26:27.040]   um that was one thing where where i really really missed gemini because it was like pairing with a
[00:26:27.040 --> 00:26:35.520]   really knowledgeable uh senior developer that knows like all the apis and stuff um i really hope they
[00:26:35.520 --> 00:26:41.520]   bring that back i hope that this is also an incentive for people to uncensor their thinking models because
[00:26:41.520 --> 00:26:47.840]   there's a lot of value i think for developers in there to both vibe and at the same time get a really deep
[00:26:47.840 --> 00:26:56.400]   understanding of what's going on um and then the other thing that i do is um i can manage like three
[00:26:56.400 --> 00:27:01.360]   four five different projects cloud codes running on different things at the same time so i have like
[00:27:01.360 --> 00:27:08.480]   this infinite list of open source ideas that i want to have and so i just vibe them on the side where
[00:27:08.480 --> 00:27:13.440]   i just usually want terminal uis for things like i want a file picker in here i want this there so i'll
[00:27:13.440 --> 00:27:19.760]   launch those on the side while the main one is running and that's really fun it's like a little
[00:27:19.760 --> 00:27:27.440]   bit disturbing head wise but um it like these incremental improvements on all my personal tools
[00:27:27.440 --> 00:27:32.480]   like i have a tool to to manage work trees and yesterday while i was working on something else i said
[00:27:32.480 --> 00:27:39.920]   like add fork and merge like i want to fork my own work tree again and then you know after after the main job
[00:27:39.920 --> 00:27:44.240]   was done at the same time i had like fork and merge on my other tool i was like okay i'll i'll take it
[00:27:44.240 --> 00:27:53.280]   so that's something you can do uh but it's pretty exhausting to jump between four projects so um
[00:27:53.280 --> 00:27:59.920]   that those were some ideas because i think it's a big deal like they were because the workflows change
[00:27:59.920 --> 00:28:05.680]   so often there were times in my workflow where i was literally like a copy paste bitch for chat gpt right
[00:28:05.680 --> 00:28:10.640]   like it's you would i would code and chat gpt and be like okay well my day is spent basically copy
[00:28:10.640 --> 00:28:15.360]   pasting out of this window that's like what i actually do and it's like this can't this can't go
[00:28:15.360 --> 00:28:22.480]   on um and it changes so often that you always have to like question what your value as an engineer is
[00:28:22.480 --> 00:28:27.600]   or what your role is and and all of this um it's really interesting because now with like vibe kanban
[00:28:27.600 --> 00:28:35.200]   and the coding agents you're like kind of a product project manager um or your qa person right because
[00:28:35.200 --> 00:28:40.160]   like even if everything works you still have to like try it out at some point right it's like you
[00:28:40.160 --> 00:28:47.840]   still have to go through everything by yourself just to make sure that it indeed works well meet accountability
[00:28:47.840 --> 00:28:53.360]   there's always got to be a a flesh you know flesh intelligence on the hook if something goes wrong
[00:28:53.360 --> 00:29:00.640]   that's what our role is yeah and yeah i i found it until very recently because you know do most of the
[00:29:00.640 --> 00:29:06.800]   stuff in rust and there weren't really good coding agents for rust until i want to say cool code and an
[00:29:06.800 --> 00:29:13.600]   amp to be to be honest and it was mainly copy and paste up to chat gpt which is soul destroying after day
[00:29:14.080 --> 00:29:20.960]   180 of that i i think the big bump with sonnet 4 versus sonnet 3 7 is like the newer cutoff date
[00:29:20.960 --> 00:29:26.720]   and then something like a lot of the things that weren't one shotable but were like 90 shotable before
[00:29:26.720 --> 00:29:32.160]   the fact that they're now one shotable is makes a really big difference right because suddenly you
[00:29:32.160 --> 00:29:40.160]   can take yourself out of the loop um which is like charm bracelet go tuis was like always kind of a struggle
[00:29:40.160 --> 00:29:44.000]   before because they would like mess up the keyboard shortcuts or would mess up like the format
