
[00:00:00.000 --> 00:00:09.680]   So today, it's my pleasure to welcome Joshua Batson from Anthropic.
[00:05:24.960 --> 00:05:28.440]   AI art will make designers obsolete.
[00:05:28.440 --> 00:05:29.720]   AI accepting the job.
[00:05:29.720 --> 00:05:31.280]   And it's got so many fingers.
[00:05:33.280 --> 00:05:35.020]   This is, like, now out of date, right?
[00:05:35.020 --> 00:05:39.280]   Like, people have figured out how to keep the finger count down to at most five per hand.
[00:05:39.280 --> 00:05:47.420]   You know, the new Chachi Biki model, right, can do, like, extremely realistic people, and they all have five fingers now.
[00:05:47.420 --> 00:05:53.260]   But, like, that wasn't exactly solved by figuring out, like, why are there so many fingers on these?
[00:05:53.260 --> 00:05:55.580]   You know, just sort of, like, other methods got through it.
[00:05:55.580 --> 00:06:02.320]   But, like, presumably, you kind of bat down some of this weirdness, and now it's just the weirdness is more sophisticated.
[00:06:02.320 --> 00:06:09.960]   So, as the models get better, you need to get better at understanding just where, like, the craziness has sort of gone.
[00:06:09.960 --> 00:06:17.100]   So, as the frontier moves forward, like, maybe it's not five fingers, but there might be subtly other things that are wrong.
[00:06:17.760 --> 00:06:23.020]   And when I think about interpretability, which is sort of, like, what did the model learn exactly?
[00:06:23.020 --> 00:06:25.120]   How is it represented inside the model?
[00:06:25.120 --> 00:06:26.380]   How does it manifest in behaviors?
[00:06:26.380 --> 00:06:32.480]   I am sort of thinking ahead to when, you know, most of the simple interactions seem to go well.
[00:06:32.480 --> 00:06:37.440]   And then it's, like, are these going well because fundamentally the model learned something, like, deep and true?
[00:06:37.440 --> 00:06:40.720]   Or because you've managed to kind of beat this down, like, the finger problem.
[00:06:40.720 --> 00:06:45.440]   But, like, if you went out to the edge of the model's capabilities, it would all be seven fingers again.
[00:06:45.440 --> 00:06:46.460]   But you can't tell.
[00:06:46.860 --> 00:06:52.260]   And also, because it seems pretty reliable, you've delegated a lot of decision-making and trust to these models.
[00:06:52.260 --> 00:06:55.300]   And it's in the corner you can no longer verify where things get weird.
[00:06:55.300 --> 00:06:59.600]   So, for that reason, we kind of want to understand, you know, what's going on with these capabilities.
[00:06:59.600 --> 00:07:02.860]   All right.
[00:07:02.860 --> 00:07:07.960]   So, this will be a bit of a review at the beginning of, like, why models are hard to understand.
[00:07:07.960 --> 00:07:12.240]   Some strategies for picking them apart.
[00:07:12.740 --> 00:07:20.340]   And then three main lessons I think we've learned about how models work inside that, like, aren't obvious from a black box way of engaging with them.
[00:07:22.140 --> 00:07:35.800]   So, here are sort of three statements that are, like, somewhere between myths or things that are out of date or, like, true if you interpret them in one way philosophically but missing the point.
[00:07:35.800 --> 00:07:48.380]   And so, these statements are that models just pattern match to similar training data examples, that they use only, like, shallow and simple heuristics and reasoning, and that they just kind of work one word at a time.
[00:07:48.380 --> 00:07:53.620]   You know, just kind of, like, gutting out the next thing and some, like, eruption of spontaneity.
[00:07:53.620 --> 00:08:00.160]   And I think, you know, we find that models learn and can compose pretty abstract representations inside.
[00:08:00.840 --> 00:08:08.560]   That they perform rather complex and often heavily parallel computations is not serial, so they're doing a bunch of things at once at the same time.
[00:08:08.560 --> 00:08:11.720]   And also, that they plan many tokens into the future.
[00:08:11.720 --> 00:08:19.420]   So, even though they say one word at a time, they're often thinking ahead quite far to be able to make something coherent, which will work for that.
[00:08:21.040 --> 00:08:21.260]   Okay.
[00:08:21.260 --> 00:08:26.240]   This is probably a review for this class, but we've made these nice slides, and I think it's nice to go through anyway.
[00:08:26.240 --> 00:08:30.040]   So, you have a chat bot, which is, hello, how can I assist you is an answer.
[00:08:30.040 --> 00:08:32.500]   How does this actually happen, right?
[00:08:32.500 --> 00:08:37.780]   You know, it is saying one word at a time by just predicting the next word.
[00:08:37.780 --> 00:08:44.720]   So, how goes through Claude and predicts can, and how can goes to I, and how can I goes to assist, and how can I assist goes to you.
[00:08:44.900 --> 00:08:54.500]   So, you can reduce the problem to the computation that gives you the next word, and that is a neural network here.
[00:08:54.500 --> 00:08:56.100]   I've drawn, like, a fully connected network.
[00:08:56.100 --> 00:09:01.720]   To turn language into language, passing through numbers, you have to turn things into vectors first.
[00:09:01.720 --> 00:09:07.700]   So, there's an embedding, so every word or token in the vocabulary has an embedding, which is a list of numbers or a vector.
[00:09:09.140 --> 00:09:16.600]   Morally speaking, you basically just concatenate those together and run them through, you know, a massive, you know, neural network with a lot of weights.
[00:09:16.600 --> 00:09:25.460]   Out comes a score for every word in the vocabulary, and the model says the highest scoring word, modulosum, temperature, to introduce randomness.
[00:09:25.460 --> 00:09:28.160]   Transformer architectures are more complex.
[00:09:28.160 --> 00:09:37.560]   There's these residual connections, alternating attention, and MLP blocks, which you could think of as, like, baking in really strong priors into a massive MLP.
[00:09:38.960 --> 00:09:41.480]   But, in some sense, that's just about efficiency.
[00:09:41.480 --> 00:09:50.300]   So, a metaphor we found used, which is also biological, is that language models should be thought of as grown, not built.
[00:09:50.300 --> 00:09:54.020]   Like, you kind of start with this randomly initialized thing, an architecture, which is like a scaffold.
[00:09:54.020 --> 00:09:55.900]   You, like, give it some data.
[00:09:55.900 --> 00:10:01.140]   Maybe that's, like, a nutrients, and then the loss is, like, the sun, and it grows towards that.
[00:10:01.520 --> 00:10:06.100]   And so, you get this kind of organic thing, which has been made by the end of it.
[00:10:06.100 --> 00:10:13.320]   And, you know, but the way that it grew, you don't really have any access to.
[00:10:13.320 --> 00:10:16.760]   The scaffold you have access to.
[00:10:16.760 --> 00:10:20.580]   But that's like looking at a model at a knit, which tends not to be that interesting.
[00:10:21.680 --> 00:10:21.960]   Okay.
[00:10:21.960 --> 00:10:25.600]   So, of course, like, we have the models.
[00:10:25.600 --> 00:10:32.580]   And so, there is a tautological answer to what are they doing, which I already told you, which is they turn the words into numbers.
[00:10:32.580 --> 00:10:33.900]   They do a bunch of mat moles.
[00:10:33.900 --> 00:10:35.960]   They apply, like, simple functions.
[00:10:35.960 --> 00:10:38.180]   It's just math all the way through.
[00:10:38.180 --> 00:10:39.540]   And then you get something out.
[00:10:39.540 --> 00:10:40.380]   And it's like, that's it.
[00:10:40.380 --> 00:10:41.360]   That's what the model does.
[00:10:42.200 --> 00:10:48.200]   And I think that's an unsatisfying answer because you can't reason about it, right?
[00:10:48.200 --> 00:10:54.100]   Like, that answer to how do models work, like, doesn't tell you about what behaviors they should or shouldn't be able to do or kind of any of those things.
[00:10:54.100 --> 00:11:02.460]   So, the first thing you might hope is that the neurons inside the neural network might have interpretable roles.
[00:11:03.300 --> 00:11:06.320]   You know, people were hoping it's going back to the first networks in the 80s.
[00:11:06.320 --> 00:11:11.240]   And there was a bit of a resurgence in deep learning, a kind of small one.
[00:11:11.240 --> 00:11:14.540]   Chris Ola, who leads the team at Anthropic, got really into this 10 years ago.
[00:11:14.540 --> 00:11:19.200]   You just, like, look at a neuron and you ask, when does this fire?
[00:11:19.200 --> 00:11:21.100]   For what inputs is this neuron active?
[00:11:21.100 --> 00:11:24.720]   And then you just sort of see, like, do those form a coherent class, right?
[00:11:24.720 --> 00:11:27.180]   This is the car detector neuron in a vision model.
[00:11:27.180 --> 00:11:28.340]   This is the eye detector.
[00:11:28.340 --> 00:11:31.220]   This is, like, the edge detector if it's early in the model, you know.
[00:11:31.760 --> 00:11:37.960]   They found, like, the Donald Trump neuron in a clip model, for example.
[00:11:37.960 --> 00:11:46.480]   But it turns out that in language models, when you do this, you just say, which sentences cause this neuron to activate?
[00:11:46.480 --> 00:11:51.000]   The answer doesn't make that much sense.
[00:11:51.000 --> 00:11:58.380]   So, here's a visualization of a bunch of example text for which a neuron in a model activates.
[00:11:59.220 --> 00:12:04.200]   And there's just a lot of stuff.
[00:12:04.200 --> 00:12:12.280]   There's, like, code and some Chinese and some math and hemlock for Socrates.
[00:12:12.280 --> 00:12:16.480]   It's not especially clear.
[00:12:16.480 --> 00:12:19.520]   And, like, of course, there's no reason it would need to be, right?
[00:12:19.580 --> 00:12:20.760]   Like, it's just learn to function.
[00:12:20.760 --> 00:12:24.300]   And so asking for a neuron to be interpretable is, like, a bit of a Hail Mary.
[00:12:24.300 --> 00:12:27.560]   And it's pretty cool that that, like, works sometimes.
[00:12:27.560 --> 00:12:29.600]   But it's, like, not particularly systematic.
[00:12:31.480 --> 00:12:45.540]   So there's a prior from neuroscience is that, like, maybe while there's a whole bunch of neurons going on or something, that at any given moment, maybe the model's, like, not thinking of that many things at once.
[00:12:45.540 --> 00:12:57.020]   Maybe there's some sparsity here, where if there were a map of the concepts the model is using or the subroutines it's using or something, that on any given token, it's only using a few at a time.
[00:12:58.220 --> 00:13:03.920]   And that's just, you know, maybe a slightly better guess than maybe the neurons are interpretable.
[00:13:03.920 --> 00:13:06.700]   It's, like, not necessarily a great prior, but it's something you can work with.
[00:13:06.700 --> 00:13:17.580]   And so you can fit linear combinations of neurons such that each activation vector is a sparse combination of these dictionary elements.
[00:13:17.580 --> 00:13:19.600]   This is called dictionary learning, classical ML.
[00:13:19.600 --> 00:13:21.800]   And we just did it.
[00:13:21.800 --> 00:13:26.880]   So you just, like, gather a bunch of activations from the model when you put through a trillion texts or something.
[00:13:27.020 --> 00:13:32.220]   And then you take those vectors, you look for dictionaries, and then you look at when are those dictionary components active.
[00:13:32.220 --> 00:13:34.500]   And lo and behold, it's way better.
[00:13:34.500 --> 00:13:43.120]   So, you know, we had a paper last year, which was just, like, here's a bunch of them where we fit about 30 million features on quad 3 sonnet on the middle layer of the model.
[00:13:43.120 --> 00:13:47.900]   So you just say, you know, what are the atoms of computation or representation inside that model?
[00:13:47.900 --> 00:13:55.580]   This was one of my favorites, where this linear combination is present, or it's, like, a dot product where the vector is large.
[00:13:56.140 --> 00:13:58.460]   When the input is about the Golden Gate Bridge.
[00:13:58.460 --> 00:14:04.240]   And that is true if it is, like, an explicit mention of the Golden Gate Bridge in English on the left.
[00:14:04.240 --> 00:14:07.320]   Also true if it's translated into another language.
[00:14:07.320 --> 00:14:10.680]   Also true if it's an image of the Golden Gate Bridge.
[00:14:10.680 --> 00:14:14.400]   Also true, it turns out, if it's an indirect mention.
[00:14:14.660 --> 00:14:22.480]   So you're, like, I was driving from San Francisco to Marin, right, which, you know, you cross the bridge to do.
[00:14:22.480 --> 00:14:25.420]   And the same feature is active there, right?
[00:14:25.420 --> 00:14:29.220]   So it's, like, some relatively general concept, also in, like, San Francisco landmarks, et cetera.
[00:14:29.220 --> 00:14:32.440]   So these combinations of neurons are interpretable.
[00:14:32.440 --> 00:14:33.520]   We were happy with this.
[00:14:33.520 --> 00:14:36.680]   There's things that are more abstract, you know, notions of inner conflict.
[00:14:36.680 --> 00:14:45.220]   There was a feature for, like, bugs in code that, like, fired on kind of small bugs, like division by zero or typos or something.
[00:14:45.220 --> 00:14:50.660]   In many different programming languages, if you suppressed it, the model would act like there wasn't a bug.
[00:14:50.660 --> 00:14:54.580]   If you activated it, the model would give you a traceback as if there were a bug.
[00:14:54.660 --> 00:14:58.880]   And so, you know, it sort of had this general properties.
[00:14:58.880 --> 00:15:05.900]   But there was something very unsatisfying about this, which is, like, how does it know it's the Golden Gate Bridge?
[00:15:05.900 --> 00:15:09.780]   And so what?
[00:15:09.780 --> 00:15:13.020]   You know, what does it do with that information, right?
[00:15:13.020 --> 00:15:17.080]   So even if you manage to, like, piece apart the representations, that's just a cross-section.
[00:15:17.080 --> 00:15:18.500]   It kind of doesn't give you the why.
[00:15:18.500 --> 00:15:19.800]   And the how, it just gives you the what.
[00:15:20.580 --> 00:15:25.820]   And so we wanted to find ways of connecting these features together.
[00:15:25.820 --> 00:15:30.960]   So you start from the input words, and you're going to process these to higher-order representations,
[00:15:30.960 --> 00:15:34.160]   and eventually it'll say something, and try to trace that through.
[00:15:34.160 --> 00:15:37.140]   How are the features chosen to be shared earlier?
[00:15:37.140 --> 00:15:40.060]   Through optimization.
[00:15:40.060 --> 00:15:48.020]   So very concretely, you have a matrix, which is, like, you take a billion examples of activation vectors,
[00:15:48.020 --> 00:15:50.040]   and then you've got demodel here.
[00:15:50.240 --> 00:15:51.060]   That's a matrix.
[00:15:51.060 --> 00:16:04.420]   And you try to factorize that matrix into a product of a fixed dictionary of atoms times a sparse matrix of which atoms are present in which example.
[00:16:04.420 --> 00:16:11.300]   And you just have an objective function, which is this should reconstruct the data and some L1 penalty to encourage sparsity.
[00:16:11.300 --> 00:16:17.200]   It's a joint optimization problem.
[00:16:17.200 --> 00:16:18.700]   Yeah, that's right.
[00:16:18.700 --> 00:16:19.560]   That's right.
[00:16:19.900 --> 00:16:24.100]   So we tried being clever about this.
[00:16:24.100 --> 00:16:27.580]   There's, like, a beautiful, rich literature on dictionary learning.
[00:16:27.580 --> 00:16:31.340]   But after a few months of that, the bitter lesson got us.
[00:16:31.340 --> 00:16:39.220]   And it turned out that you could just use, like, a one-layer sparse autoencoder, which you can, like, put in Torch and then just, like, train on your GPUs.
[00:16:39.220 --> 00:16:42.400]   And, like, that scaling was more important than being clever yet again.
[00:16:42.400 --> 00:16:43.740]   So that's what it is.
[00:16:43.740 --> 00:16:44.900]   It's a sort of sparse autoencoder.
[00:16:46.960 --> 00:16:52.160]   So here's a prompt.
[00:16:52.160 --> 00:16:57.040]   Okay, so the capital of the state containing Dallas is Austin.
[00:16:57.040 --> 00:16:58.440]   This is true.
[00:16:59.700 --> 00:17:03.900]   That's because the state containing Dallas is Texas.
[00:17:03.900 --> 00:17:04.320]   Texas?
[00:17:04.320 --> 00:17:04.840]   Good.
[00:17:04.840 --> 00:17:07.480]   Did the model do that?
[00:17:07.480 --> 00:17:08.640]   Was it, like, Texas?
[00:17:08.640 --> 00:17:09.760]   So Austin?
[00:17:09.760 --> 00:17:11.440]   Or is it, like, I don't know.
[00:17:11.440 --> 00:17:12.500]   It's seen a lot of training data.
[00:17:12.500 --> 00:17:13.780]   Like, was this just in it?
[00:17:14.240 --> 00:17:16.000]   And it's just, like, reciting the answer.
[00:17:16.000 --> 00:17:18.020]   You know, people, there's a lot of eval contamination.
[00:17:18.020 --> 00:17:20.360]   Like, a lot of Mlu made it into people's training sets.
[00:17:20.360 --> 00:17:21.100]   So you get high scores.
[00:17:21.100 --> 00:17:24.060]   Well, just knew the answer to that, literally, because it had seen it.
[00:17:24.060 --> 00:17:26.160]   So did it literally see this before?
[00:17:26.160 --> 00:17:28.220]   Or is it kind of thinking Texas like you did?
[00:17:34.400 --> 00:17:35.340]   It's thinking about Texas.
[00:17:35.340 --> 00:17:46.100]   So I'll tell you, this is like a cartoon, and we can slowly through this, like, pick, you know, break away these abstractions to, like, literally what we did.
[00:17:46.100 --> 00:17:57.700]   But I'll sort of start by saying that you should think of each of these as sort of bundles of features, which are, again, atoms we sort of learned through an optimization process.
[00:17:57.700 --> 00:18:07.180]   We label the role of each feature by looking at when it's active and trying to see if we can describe kind of in language, you know, what that feature is doing.
[00:18:07.180 --> 00:18:14.760]   And then the connections between them are actually direct causal connections as the model, you know, processes this in a forward pass.
[00:18:15.360 --> 00:18:18.920]   And so what we do is we break apart the model into pieces.
[00:18:18.920 --> 00:18:24.020]   We ask, you know, which pieces are active, can we interpret them separately, and then how does it flow?
[00:18:24.020 --> 00:18:31.340]   And so in this case, we found, you know, a bunch of features related to capitals, a bunch related to states in the abstract, a bunch related to Dallas.
[00:18:31.340 --> 00:18:35.760]   We found some features that were, like, you can think of as, like, motor neurons.
[00:18:35.760 --> 00:18:36.980]   They make the model do something.
[00:18:36.980 --> 00:18:39.000]   In this case, they make it say the name of a capital.
[00:18:39.000 --> 00:18:42.480]   Like, they make it say a bunch of state capitals or country capitals or something.
[00:18:42.480 --> 00:18:43.900]   So that's a start.
[00:18:44.860 --> 00:18:46.200]   But also it has to get it right.
[00:18:46.200 --> 00:18:50.840]   And so, you know, there's some mapping from Dallas into Texas.
[00:18:52.040 --> 00:18:53.620]   And there's a pile of features there.
[00:18:53.620 --> 00:18:58.200]   Some are, like, you know, discussions of, like, Texas politics.
[00:18:58.200 --> 00:19:01.240]   Some are, like, phrases like everything's bigger in Texas.
[00:19:03.080 --> 00:19:07.060]   And once you have Texas in a capital, you get saying Austin in particular.
[00:19:07.060 --> 00:19:12.320]   And, you know, if you're saying a state capital and also you're saying Austin, what you get is, like, Austin coming out.
[00:19:12.320 --> 00:19:14.120]   There's some interesting straight lines, though.
[00:19:14.120 --> 00:19:17.780]   You know, so, like, Texas also feeds into Austin directly, right?
[00:19:18.240 --> 00:19:20.680]   If you're thinking about Texas, you might just be thinking about Austin.
[00:19:20.680 --> 00:19:27.380]   And so, you know, I'll get into more of how we build this.
[00:19:27.380 --> 00:19:34.600]   But, you know, this gives you a sort of a picture in terms of these atoms or dictionary elements we've learned.
[00:19:35.960 --> 00:19:38.260]   And you might want to check that they make sense.
[00:19:38.260 --> 00:19:41.220]   So then you can do interventions on the model, the leading pieces of this.
[00:19:41.220 --> 00:19:43.560]   Like, in neuroscience, these would be ablations of neurons or something.
[00:19:43.560 --> 00:19:47.100]   And then you see if the output of the model changes as you would expect.
[00:19:47.100 --> 00:19:51.000]   Someone on Zoom asked, though, words like that.
[00:19:51.000 --> 00:19:55.900]   Also, Austin frequently hear together an internet attack suggesting simple statistical functions.
[00:19:55.900 --> 00:19:58.840]   So is this a way of over-complicating things?
[00:19:58.840 --> 00:20:06.720]   I think that people have found that transformers have outperformed back-of-end for most tasks.
[00:20:06.720 --> 00:20:13.460]   So, you know, Houston also occurs, you know, with Dallas and the training data.
[00:20:13.460 --> 00:20:14.680]   And the model doesn't say Houston.
[00:20:14.680 --> 00:20:16.860]   So it must be using the capital and Dallas.
[00:20:16.860 --> 00:20:26.020]   In this case, I think you could say, you know, maybe if you just had capital and Dallas, then it would say Austin.
[00:20:26.020 --> 00:20:27.580]   And that's actually true, I think.
[00:20:27.580 --> 00:20:29.740]   Some of these edges were pretty weak.
[00:20:29.740 --> 00:20:35.180]   And it turns out you could just say the capital, you know, make something ungrammatical.
[00:20:35.280 --> 00:20:37.420]   Just like, you know, the capital of Dallas is.
[00:20:37.420 --> 00:20:38.460]   And it will say Austin.
[00:20:38.460 --> 00:20:43.380]   And that's an interesting thing, where I think you look at the graph and this edge is weak.
[00:20:43.380 --> 00:20:48.600]   And it indicates that actually maybe it is just like if you have capital and Dallas in proximity, you might get Austin.
[00:20:48.600 --> 00:20:50.160]   Which is then causally true.
[00:20:50.160 --> 00:20:51.700]   Yes.
[00:20:51.700 --> 00:20:56.680]   It's like a, I mean, how about this, a layer, a layer, a layer, a layer.
[00:20:56.680 --> 00:21:03.440]   The structure of that, I mean, the capsule is a, you don't have the layer and the above the layer.
[00:21:03.440 --> 00:21:03.820]   Yeah.
[00:21:04.340 --> 00:21:09.720]   So this is the flow through layers of the model.
[00:21:09.720 --> 00:21:10.300]   Okay.
[00:21:10.300 --> 00:21:11.480]   Upstairs.
[00:21:11.480 --> 00:21:12.900]   And we've done some proving here.
[00:21:12.900 --> 00:21:18.000]   So I will show in more detail.
[00:21:18.000 --> 00:21:20.660]   Let me just see when we're going to get to that.
[00:21:20.660 --> 00:21:20.900]   Yeah.
[00:21:20.900 --> 00:21:24.520]   So I'm going to give you a lot more detail in just about a slide on the technical side.
[00:21:24.520 --> 00:21:24.760]   Yes.
[00:21:26.980 --> 00:21:49.080]   We did a scan where we trained dictionaries of different sizes and we, you know, you get some tradeoff of the compute you spend and the amount or the accuracy of the approximation.
[00:21:49.160 --> 00:21:51.780]   Like, you know, these are supposed to reconstruct the activations.
[00:21:51.780 --> 00:21:52.760]   How well does that happen?
[00:21:52.760 --> 00:21:54.460]   The bigger the dictionary, the better it does.
[00:21:54.540 --> 00:21:58.340]   Also, the denser it is, the less sparse it is, the better that does.
[00:21:58.340 --> 00:22:00.380]   But you pay some price on interpretability at some point.
[00:22:00.380 --> 00:22:04.260]   So we did a bunch of sweeps and then we did something that seems good enough.
[00:22:04.260 --> 00:22:12.080]   There's still a bunch of errors and, you know, I'll show you later how those show out to, you know, mean that we can't explain, you know, a lot of things.
[00:22:12.140 --> 00:22:24.280]   So, yeah, literally what we do here is train the sparse replacement model.
[00:22:24.280 --> 00:22:28.080]   So the basic idea is you have a model of residual stream, those are LPs.
[00:22:28.080 --> 00:22:29.660]   We're going to forget about attention right now.
[00:22:29.660 --> 00:22:33.560]   And we're going to try to approximate that with these cross-layered transcoders.
[00:22:33.560 --> 00:22:35.060]   And so what do I mean by that?
[00:22:35.060 --> 00:22:37.960]   So a transcoder is something that, like, you know, moves information.
[00:22:37.960 --> 00:22:45.000]   So it emulates the MLPs, but the cross-layer is this ensemble of them emulates all the MLPs.
[00:22:45.000 --> 00:22:49.420]   There's an architecture called dense net from a few years ago, right, where every layer writes to every subsequent layer.
[00:22:49.420 --> 00:22:51.020]   And this is like that.
[00:22:51.020 --> 00:23:02.260]   So the basic idea is that this ensemble of CLTs have to take in the inputs of all the MLPs stacked together and produce the vector of all of their outputs at once.
[00:23:02.960 --> 00:23:10.040]   And a reason to do this is, like, there's no particular reason to think that, like, the atomic units of computation have to live in one layer.
[00:23:10.040 --> 00:23:14.220]   If there's two consecutive layers in a deep model, those neurons are almost interchangeable.
[00:23:14.220 --> 00:23:15.100]   People have done experiments.
[00:23:15.100 --> 00:23:23.260]   You can actually swap the order of transformer layers without damaging performance that much, which means that, like, indexing that hard on the existing layer is maybe unwise.
[00:23:23.320 --> 00:23:25.300]   So we just say, okay, you know, these can skip to the end.
[00:23:25.300 --> 00:23:29.820]   This ends up making the interpretability easier because sometimes it's just bigram statistics.
[00:23:29.820 --> 00:23:30.560]   I see this word.
[00:23:30.560 --> 00:23:31.380]   I say that word.
[00:23:31.380 --> 00:23:37.360]   That's evident at layer one, but you have to keep propagating it all the way through to get it out.
[00:23:37.360 --> 00:23:44.160]   And so here we could make that be one feature instead of, you know, dozens of features and consecutive layers interacting.
[00:23:45.340 --> 00:23:47.220]   And then we just train that optimization.
[00:23:47.220 --> 00:23:50.280]   You've got a loss on accuracy and a loss on sparsity.
[00:23:50.280 --> 00:23:54.800]   Okay.
