
[00:00:00.000 --> 00:00:03.160]   (projector whirring)
[00:07:49.240 --> 00:07:52.120]   Fast forward today, I've lost 40% year to date
[00:07:52.120 --> 00:07:53.400]   on those SPAC bets.
[00:07:53.400 --> 00:07:55.320]   A couple of tickers there in the chart,
[00:07:55.320 --> 00:07:56.760]   you can look it up on YouTube.
[00:07:56.760 --> 00:08:00.120]   And I'm down about 7% from the cost basis of my ETFs.
[00:08:00.120 --> 00:08:03.120]   So in total, my portfolio is down 23% from cost basis.
[00:08:03.120 --> 00:08:05.120]   I've seen stats that you've shared
[00:08:05.120 --> 00:08:07.760]   about one year, three year, five year average returns
[00:08:07.760 --> 00:08:09.760]   from the market bottom and bear markets.
[00:08:09.760 --> 00:08:11.280]   Given them, I won't need the money for a long time.
[00:08:11.280 --> 00:08:13.840]   Should I just cut my losses on the speculative side
[00:08:13.840 --> 00:08:15.800]   and plow that cash in ETFs?
[00:08:15.800 --> 00:08:18.200]   Not to brag, but I can't continue investing my Roth
[00:08:18.200 --> 00:08:20.800]   starting in 2023 due to hitting the income limit.
[00:08:20.800 --> 00:08:21.640]   So good for you.
[00:08:21.640 --> 00:08:26.000]   That's about $128,000 individuals, about $180,000 joint.
[00:08:26.000 --> 00:08:27.680]   I still believe in one of those companies
[00:08:27.680 --> 00:08:29.000]   could kill it the next three to five years,
[00:08:29.000 --> 00:08:30.640]   but I'm trying to be a level head investor.
[00:08:30.640 --> 00:08:32.440]   Help me, Adam.
[00:08:32.440 --> 00:08:33.280]   - All right.
[00:08:33.280 --> 00:08:35.280]   I think the first question is like, okay, that's fine.
[00:08:35.280 --> 00:08:38.120]   You still believe, but is 50% really
[00:08:38.120 --> 00:08:40.520]   the right asset allocation here for SPACs?
[00:08:40.520 --> 00:08:45.840]   Not gonna lie that I don't have a 50% allocation to SPACs.
[00:08:45.840 --> 00:08:47.080]   That seems a little on the high end to me.
[00:08:47.080 --> 00:08:49.680]   So I think figure out a more reasonable level
[00:08:49.680 --> 00:08:50.880]   of what you think the SPAC could be.
[00:08:50.880 --> 00:08:52.680]   And you still wanna let these run a little bit
[00:08:52.680 --> 00:08:55.960]   if on the off chance that some of them end up doing well.
[00:08:55.960 --> 00:08:58.680]   But could you do that from 10 or 20% maybe
[00:08:58.680 --> 00:09:00.080]   and not 50% of your portfolio?
[00:09:00.080 --> 00:09:01.640]   Because the whole thing is like
[00:09:01.640 --> 00:09:03.600]   the regret minimization framework is
[00:09:03.600 --> 00:09:04.800]   how am I gonna feel if I'm wrong
[00:09:04.800 --> 00:09:06.480]   and these stocks continue to get hammered
[00:09:06.480 --> 00:09:07.640]   versus how will I feel if I'm right
[00:09:07.640 --> 00:09:08.840]   and some of these work out.
[00:09:08.840 --> 00:09:10.320]   If some of these work out spectacularly
[00:09:10.320 --> 00:09:12.800]   over three to five years and you have a smaller allocation,
[00:09:12.800 --> 00:09:15.080]   it's still probably gonna be a big help to your portfolio,
[00:09:15.080 --> 00:09:16.960]   even if it's more like 10% of your allocation.
[00:09:16.960 --> 00:09:18.520]   But what's the tax stuff here?
[00:09:18.520 --> 00:09:19.640]   I know he can't do the Roth anymore
[00:09:19.640 --> 00:09:20.800]   because he's making more money,
[00:09:20.800 --> 00:09:23.480]   but what's the tax side of things here?
[00:09:23.480 --> 00:09:24.840]   - Yeah, I was gonna,
[00:09:24.840 --> 00:09:26.960]   my point was actually not gonna be tax related, Ben.
[00:09:26.960 --> 00:09:29.280]   It was just gonna be like the losses are the losses, right?
[00:09:29.280 --> 00:09:30.840]   I mean, they're in the rear view mirror, they're done.
[00:09:30.840 --> 00:09:33.440]   So like, I think it's this investor problem
[00:09:33.440 --> 00:09:35.520]   where we always anchor to our purchase prices
[00:09:35.520 --> 00:09:36.560]   if that matters.
[00:09:36.560 --> 00:09:38.280]   I think you hit the right point is that
[00:09:38.280 --> 00:09:40.880]   do you wanna be this lever to SPACs?
[00:09:40.880 --> 00:09:43.400]   Ben, do you have any idea what the market cap is of SPACs?
[00:09:43.400 --> 00:09:45.600]   Like just as a, is that an asset class?
[00:09:45.600 --> 00:09:46.600]   Like what do you even call that?
[00:09:46.600 --> 00:09:47.680]   I have no clue.
[00:09:47.680 --> 00:09:50.440]   - It's gotta be pretty small.
[00:09:50.440 --> 00:09:52.880]   So yeah, that's a good point
[00:09:52.880 --> 00:09:55.440]   that like the overweight here is enormous.
[00:09:55.440 --> 00:09:56.880]   And your point about the losses,
[00:09:56.880 --> 00:09:58.720]   stocks are down this year and bonds are down this year.
[00:09:58.720 --> 00:10:00.320]   So this is the kind of thing where
[00:10:00.320 --> 00:10:02.320]   if you want to have a get out of jail free card
[00:10:02.320 --> 00:10:05.160]   from your portfolio, you could basically start over
[00:10:05.160 --> 00:10:06.120]   because you have the losses.
[00:10:06.120 --> 00:10:08.920]   So it's kind of like, okay, free and clear.
[00:10:08.920 --> 00:10:11.440]   If you had 100% cash today, what would you do?
[00:10:11.440 --> 00:10:12.520]   What would your portfolio look like?
[00:10:12.520 --> 00:10:13.800]   And would it still really look like this
[00:10:13.800 --> 00:10:17.320]   with SPACs that are down 40, 50%?
[00:10:17.320 --> 00:10:18.200]   Would it still look like that?
[00:10:18.200 --> 00:10:21.440]   Or are you just using the anchoring bias
[00:10:21.440 --> 00:10:23.280]   where you wanna get back and break even?
[00:10:23.280 --> 00:10:24.640]   So I think that's the kind of thing where you start
[00:10:24.640 --> 00:10:27.040]   and you go, okay, what if I started from ground zero today?
[00:10:27.040 --> 00:10:28.720]   And you can, because you have those losses
[00:10:28.720 --> 00:10:31.600]   to use potentially, would you have this same portfolio?
[00:10:31.600 --> 00:10:33.600]   And a lot of people probably wouldn't say yes.
[00:10:33.600 --> 00:10:34.840]   - Yeah, I think that's great.
[00:10:34.840 --> 00:10:36.760]   And 40% SPAC losses,
[00:10:36.760 --> 00:10:38.480]   that makes the cryptocurrency position
[00:10:38.480 --> 00:10:41.280]   look like a bargain right in the grand scheme of things.
[00:10:41.280 --> 00:10:44.720]   Like FTX investors are calling, they want these SPAC losses
[00:10:44.720 --> 00:10:47.600]   'cause ultimately that is a chance to recover.
[00:10:47.600 --> 00:10:48.440]   But no, but I think that's it.
[00:10:48.440 --> 00:10:50.360]   And I think you hit the point is that,
[00:10:50.360 --> 00:10:52.480]   do you still believe in this investment now?
[00:10:52.480 --> 00:10:54.840]   My other thing, Ben, just correct me if I'm wrong here,
[00:10:54.840 --> 00:10:56.280]   like you kind of have to be all in
[00:10:56.280 --> 00:10:57.720]   on these volatile investments or not.
[00:10:57.720 --> 00:11:00.800]   Like you can't let the like one year of volatility
[00:11:00.800 --> 00:11:02.320]   make or break your decisions here
[00:11:02.320 --> 00:11:04.240]   because you're just always gonna sell when they decline.
[00:11:04.240 --> 00:11:05.760]   Right, and you're always gonna hold when they--
[00:11:05.760 --> 00:11:08.080]   - And if that one year can make or break your decisions,
[00:11:08.080 --> 00:11:10.320]   then you're obviously too overweight there.
[00:11:10.320 --> 00:11:12.080]   Yeah, right size the ship.
[00:11:12.080 --> 00:11:14.440]   I don't know, if you speculate with 5% of your portfolio
[00:11:14.440 --> 00:11:16.160]   and it turns out to be a grand slam,
[00:11:16.160 --> 00:11:17.800]   it's still gonna be such a meaningful amount
[00:11:17.800 --> 00:11:19.240]   that you're gonna be fine.
[00:11:19.240 --> 00:11:20.080]   - Yep, yep.
[00:11:20.080 --> 00:11:21.920]   So I would argue, Adam, at age 28,
[00:11:21.920 --> 00:11:25.400]   you just paid some tuition to the market to learn a lesson.
[00:11:25.400 --> 00:11:27.320]   And ultimately, yeah, if you still believe
[00:11:27.320 --> 00:11:30.160]   in these companies, I would argue now is not the time,
[00:11:30.160 --> 00:11:32.560]   but I wouldn't look at the loss that happened
[00:11:32.560 --> 00:11:34.400]   and let that drive your decision going forward
[00:11:34.400 --> 00:11:35.840]   'cause what happened is over
[00:11:35.840 --> 00:11:38.640]   and the future is not just unknown, it's unknowable.
[00:11:38.640 --> 00:11:41.040]   - Yeah, all right, next question.
[00:11:41.040 --> 00:11:43.880]   - So this question from Michael for Ben.
[00:11:43.880 --> 00:11:47.360]   A little curious here, a big fan of everything you do.
[00:11:47.360 --> 00:11:50.920]   Peloton is a pretty common topic of conversation
[00:11:50.920 --> 00:11:52.400]   and I look forward to their earnings.
[00:11:52.400 --> 00:11:55.720]   So Michael can be in complete shock to how the stock reads.
[00:11:55.720 --> 00:11:57.680]   My question is, what do you think about Netflix
[00:11:57.680 --> 00:11:59.800]   buying them, them being Peloton?
[00:11:59.800 --> 00:12:02.120]   No FTC concerns, adding that subscription tiers
[00:12:02.120 --> 00:12:04.520]   easily integrated and they can start having workout videos
[00:12:04.520 --> 00:12:06.680]   in separate session on their platform.
[00:12:06.680 --> 00:12:08.280]   My wife does most of her home workouts
[00:12:08.280 --> 00:12:09.640]   based on some YouTube videos
[00:12:09.640 --> 00:12:11.360]   and she would be all over this.
[00:12:11.360 --> 00:12:13.720]   Am I crazy thinking that this has been overlooked
[00:12:13.720 --> 00:12:16.360]   and could be a slam dunk for Netflix?
[00:12:16.360 --> 00:12:18.040]   With love, Michael.
[00:12:18.040 --> 00:12:20.240]   - All right, I'm not really an M&A expert here,
[00:12:20.240 --> 00:12:23.520]   but Ben's rule of thumb when it comes to all things fitness.
[00:12:23.520 --> 00:12:26.360]   Every exercise routine and diet at some point
[00:12:26.360 --> 00:12:28.160]   is going to end up being a fad.
[00:12:28.160 --> 00:12:30.480]   And that's like the biggest reason I never,
[00:12:30.480 --> 00:12:31.680]   I'm not trying to pat myself on the back,
[00:12:31.680 --> 00:12:33.400]   but that's a bigger reason I never really bought the,
[00:12:33.400 --> 00:12:34.240]   thought to buy the stock,
[00:12:34.240 --> 00:12:35.440]   even though I really enjoy the product.
[00:12:35.440 --> 00:12:38.200]   I use the product, the Peloton product all the time.
[00:12:38.200 --> 00:12:40.160]   And I think that the reason is a lot of people
[00:12:40.160 --> 00:12:42.600]   use the analogy that personal finance
[00:12:42.600 --> 00:12:46.200]   and staying fit physically is a very good analogy
[00:12:46.200 --> 00:12:47.040]   for the same thing, right?
[00:12:47.040 --> 00:12:48.520]   They're both simple, but not easy, right?
[00:12:48.520 --> 00:12:49.840]   To stay fit, you eat healthy
[00:12:49.840 --> 00:12:51.760]   and you exercise on a regular basis.
[00:12:51.760 --> 00:12:53.800]   And then to build wealth, you spend less than you earn
[00:12:53.800 --> 00:12:55.000]   and you invest the difference, right?
[00:12:55.000 --> 00:12:56.280]   It's simple, but not easy.
[00:12:56.280 --> 00:12:58.760]   But I've used this analogy before, it's a great one,
[00:12:58.760 --> 00:13:00.400]   but I've come around to the idea that like,
[00:13:00.400 --> 00:13:01.600]   I kind of disagree with it now
[00:13:01.600 --> 00:13:04.960]   because you can automate a lot of your finances, right?
[00:13:04.960 --> 00:13:06.640]   You can automate your contributions,
[00:13:06.640 --> 00:13:09.440]   you can automate your rebalancing, tax loss harvesting.
