
[00:00:00.000 --> 00:00:03.380]   "Mariam" asks, "Hello Lex.
[00:02:10.600 --> 00:02:14.320]   Exercise, heck yeah, every single day.
[00:02:14.320 --> 00:02:15.980]   I don't really, especially running.
[00:02:15.980 --> 00:02:18.460]   I don't like running, that's why I do it.
[00:02:19.960 --> 00:02:23.520]   I don't, especially don't like starting to run.
[00:02:23.520 --> 00:02:25.880]   Getting out there, starting to run the first mile,
[00:02:25.880 --> 00:02:30.880]   first two miles is something that I don't want to do
[00:02:30.880 --> 00:02:33.700]   in the moment and I do it.
[00:02:33.700 --> 00:02:37.920]   I think that's those little moments.
[00:02:37.920 --> 00:02:41.680]   You know, it sounds dramatic to call that suffering,
[00:02:41.680 --> 00:02:46.680]   but it really is discomfort,
[00:02:47.460 --> 00:02:52.460]   struggle that trains your mind in the way that
[00:02:52.460 --> 00:02:56.100]   in other things that you are deeply passionate about
[00:02:56.100 --> 00:02:58.540]   that are long-term parts of your life,
[00:02:58.540 --> 00:03:02.860]   allows you to pursue them long-term through the dark parts,
[00:03:02.860 --> 00:03:04.740]   through the struggle,
[00:03:04.740 --> 00:03:08.620]   through the suffering of mental and physical.
[00:03:08.620 --> 00:03:10.580]   So mental is the self-doubt.
[00:03:10.580 --> 00:03:13.540]   You know, there's so many days I wake up full of doubt.
[00:03:14.420 --> 00:03:19.420]   And I think those days, those moments
[00:03:19.420 --> 00:03:24.440]   are not something you can take on without practice.
[00:03:24.440 --> 00:03:26.720]   It's, especially if you do difficult things,
[00:03:26.720 --> 00:03:30.180]   especially if you do things that are not traditional
[00:03:30.180 --> 00:03:35.180]   or so on, but really everybody hits the wall
[00:03:35.180 --> 00:03:38.180]   often enough if you do something big.
[00:03:38.180 --> 00:03:42.980]   I think that's something you have to take seriously
[00:03:42.980 --> 00:03:45.260]   and you have to practice and practice and practice.
[00:03:45.260 --> 00:03:50.220]   And a big part of practice, at least for me, is habits.
[00:03:50.220 --> 00:03:55.220]   So most things I have noticed myself getting good at
[00:03:55.220 --> 00:04:00.940]   and most things I care about that I want to solve
[00:04:00.940 --> 00:04:04.900]   are things I do every day without exception.
[00:04:04.900 --> 00:04:08.220]   To me, to me, it's better to do something
[00:04:08.220 --> 00:04:12.300]   for one minute a day, every day, without exception,
[00:04:13.020 --> 00:04:18.020]   than doing it once a month for an entire day.
[00:04:18.020 --> 00:04:23.860]   I think there's something about that ritual
[00:04:23.860 --> 00:04:26.540]   that multiplies your mind's ability
[00:04:26.540 --> 00:04:31.540]   to really take on the full depths of whatever the task is.
[00:04:31.540 --> 00:04:33.700]   (silence)
[00:04:33.700 --> 00:04:35.860]   (silence)
[00:04:35.860 --> 00:04:38.020]   (silence)
[00:04:38.020 --> 00:04:40.180]   (silence)
[00:04:40.180 --> 00:04:42.340]   (silence)
[00:04:42.340 --> 00:04:44.500]   (silence)
[00:04:44.500 --> 00:04:46.660]   (silence)
[00:04:46.660 --> 00:04:48.820]   (silence)
[00:04:48.820 --> 00:04:58.820]   [BLANK_AUDIO]

