
[00:00:00.000 --> 00:00:01.500]   So that's our plan.
[00:09:24.800 --> 00:09:29.160]   The midlife crisis came at a similar point in people's lives
[00:09:29.160 --> 00:09:30.840]   as their 30s went into their 40s,
[00:09:30.840 --> 00:09:32.240]   but it was much more haphazard,
[00:09:32.240 --> 00:09:34.320]   self-focused and less intentional.
[00:09:34.320 --> 00:09:37.120]   The midlife crisis was famously characterized
[00:09:37.120 --> 00:09:40.740]   by people realizing, oh my God, my life is halfway done.
[00:09:40.740 --> 00:09:42.040]   What am I doing?
[00:09:42.040 --> 00:09:44.760]   Let me respond haphazardly.
[00:09:44.760 --> 00:09:46.540]   I'll buy a sports car.
[00:09:46.540 --> 00:09:49.580]   I'll get divorced and married a 25 year old.
[00:09:49.580 --> 00:09:53.920]   I'll do a dramatic sort of visible
[00:09:53.920 --> 00:09:56.980]   narcissistic lifestyle changes to try to distract
[00:09:56.980 --> 00:09:59.660]   or stave off or avoid the inevitable conclusion
[00:09:59.660 --> 00:10:00.700]   that I'm getting older.
[00:10:00.700 --> 00:10:02.460]   That's very different than the deeper reset,
[00:10:02.460 --> 00:10:04.460]   which is much more intentional,
[00:10:04.460 --> 00:10:07.880]   much more focused on your whole life, your whole family,
[00:10:07.880 --> 00:10:10.720]   much more focused on amplifying meaning,
[00:10:10.720 --> 00:10:14.020]   not avoiding things that are distressing.
[00:10:14.020 --> 00:10:17.060]   So what might go into a deeper reset?
[00:10:17.060 --> 00:10:18.900]   Well, here are some things I've seen.
[00:10:18.900 --> 00:10:23.960]   Work simplification is a big part of that.
[00:10:23.960 --> 00:10:28.080]   So people really rethinking the role of work.
[00:10:28.080 --> 00:10:32.020]   So we get a lot of, for example, lead stepping.
[00:10:32.020 --> 00:10:34.980]   That's a term for where you've been going up the ladder
[00:10:34.980 --> 00:10:36.740]   at your organization and you say, you know what?
[00:10:36.740 --> 00:10:38.960]   I'm fine where I am right now for a while.
[00:10:38.960 --> 00:10:41.580]   Let me step off the ladder onto a ledge
[00:10:41.580 --> 00:10:43.420]   where I can just hang out.
[00:10:43.420 --> 00:10:46.860]   So without the need to strive to get to the next level,
[00:10:46.860 --> 00:10:49.900]   it reduces the pressure and the amount of work on your plate.
[00:10:49.900 --> 00:10:52.300]   So as you approach middle age as a millennial,
[00:10:52.300 --> 00:10:55.740]   you may already have a lot of career capital,
[00:10:55.740 --> 00:10:58.020]   have a really a job that's at that right balance.
[00:10:58.020 --> 00:10:59.560]   You have a lot of leverage, a lot of autonomy.
[00:10:59.560 --> 00:11:01.560]   It's probably a reasonable place
[00:11:01.560 --> 00:11:03.540]   where you could let step for a while
[00:11:03.540 --> 00:11:06.880]   without it being boring or as it would be
[00:11:06.880 --> 00:11:08.000]   if you tried when you're 22
[00:11:08.000 --> 00:11:09.540]   and you're still in an entry-level position.
[00:11:09.540 --> 00:11:11.680]   So we definitely see work simplification.
[00:11:11.680 --> 00:11:13.920]   People also going all remote
[00:11:13.920 --> 00:11:15.800]   could be a work simplification move.
[00:11:15.800 --> 00:11:18.620]   Reduced hours is a work simplification move.
[00:11:18.620 --> 00:11:20.920]   Freelancers or people running small businesses,
[00:11:20.920 --> 00:11:24.780]   eliminating streams of income,
[00:11:24.780 --> 00:11:26.920]   the focus on just a smaller number of things
[00:11:26.920 --> 00:11:27.920]   is work simplification.
[00:11:27.920 --> 00:11:31.160]   So it's all about reducing that work volume
[00:11:31.160 --> 00:11:32.520]   that's coming at you from your job.
[00:11:32.520 --> 00:11:34.040]   That's common in deep resets.
[00:11:34.040 --> 00:11:36.400]   A term that I just made up,
[00:11:36.400 --> 00:11:37.760]   but I'm trying to popularize,
[00:11:37.760 --> 00:11:41.640]   candle fire, capital F-I-R-E,
[00:11:41.640 --> 00:11:43.040]   goes along with this.
[00:11:43.040 --> 00:11:46.080]   So FIRE is this millennial movement,
[00:11:46.080 --> 00:11:48.120]   financial independence, retire early,
[00:11:48.120 --> 00:11:49.480]   that we've talked about on the show before.
[00:11:49.480 --> 00:11:51.940]   And it was a movement that came out of the tech world
[00:11:51.940 --> 00:11:54.560]   about super aggressively saving
[00:11:54.560 --> 00:11:56.160]   while living aggressively cheaply
[00:11:56.160 --> 00:11:59.040]   so that you could achieve financial independence
[00:11:59.040 --> 00:12:01.120]   at a relatively young age.
[00:12:01.120 --> 00:12:03.800]   What I think we're seeing a lot more of now
[00:12:03.800 --> 00:12:05.840]   is what I call candle fire,
[00:12:05.840 --> 00:12:09.120]   the candle being referenced to a small flame,
[00:12:09.120 --> 00:12:10.480]   in which the idea is not,
[00:12:10.480 --> 00:12:13.180]   oh, I need to be financially independent.
[00:12:13.180 --> 00:12:16.540]   That is, I can live entirely off of my saved assets,
[00:12:16.540 --> 00:12:19.360]   but instead, let's bring down our cost of living
[00:12:19.360 --> 00:12:24.360]   substantially so that with a simplified work portfolio,
[00:12:25.280 --> 00:12:27.320]   we can still support ourselves.
[00:12:27.320 --> 00:12:29.400]   So it's not leaving work
[00:12:29.400 --> 00:12:31.360]   and living entirely off your investments.
[00:12:31.360 --> 00:12:34.220]   It's moving to the cheaper location,
[00:12:34.220 --> 00:12:36.840]   getting rid of one of the cars,
[00:12:36.840 --> 00:12:38.200]   moving to the cheaper location.
[00:12:38.200 --> 00:12:40.200]   We're homeschooling instead of private school.
[00:12:40.200 --> 00:12:42.340]   Our expenses are lower,
[00:12:42.340 --> 00:12:44.600]   so now I don't have to work as much,
[00:12:44.600 --> 00:12:45.980]   but I'm going to leverage the fact
[00:12:45.980 --> 00:12:47.240]   that I have a lot of career capital.
[00:12:47.240 --> 00:12:49.380]   I'm 35, I know what I'm doing, I'm in demand.
[00:12:49.380 --> 00:12:50.220]   It's not that hard for me
[00:12:50.220 --> 00:12:53.040]   to negotiate a part-time contractor position.
[00:12:53.040 --> 00:12:53.880]   It's half the money.
[00:12:53.880 --> 00:12:56.840]   I live on half the expenses, and there we go.
[00:12:56.840 --> 00:12:58.400]   We have a nice life with a lot less work.
[00:12:58.400 --> 00:13:00.520]   So candle fire, we're gonna see a lot of that.
[00:13:00.520 --> 00:13:03.880]   That's gonna go alongside work simplification.
[00:13:03.880 --> 00:13:05.120]   Relocation is big.
[00:13:05.120 --> 00:13:07.160]   We saw a lot of this during the pandemic.
[00:13:07.160 --> 00:13:09.680]   I call it intentional relocation
[00:13:09.680 --> 00:13:14.200]   'cause it's moving for intentional value-based reasons.
[00:13:14.200 --> 00:13:16.740]   Two examples from my own life.
[00:13:16.740 --> 00:13:20.640]   We have friends who were kind of overwhelmed
[00:13:20.640 --> 00:13:24.040]   by the crowdedness and the stress
[00:13:24.040 --> 00:13:26.460]   of the Washington, D.C. suburbs.
[00:13:26.460 --> 00:13:30.040]   Both their jobs were remote for the most part.
[00:13:30.040 --> 00:13:31.460]   They really like outdoor activities.
[00:13:31.460 --> 00:13:32.860]   They really like skiing.
[00:13:32.860 --> 00:13:35.340]   God help them.
[00:13:35.340 --> 00:13:37.280]   They were trying to get their skiing in each year
[00:13:37.280 --> 00:13:38.440]   in West Virginia.
[00:13:38.440 --> 00:13:41.080]   There's only so many mountains around here.
[00:13:41.080 --> 00:13:43.000]   They're not that great.
[00:13:43.000 --> 00:13:45.980]   And so they moved to Colorado, right outside Boulder,
[00:13:45.980 --> 00:13:47.540]   half hour from a great ski slope,
[00:13:47.540 --> 00:13:50.980]   mount the bike all the time, intentional relocation.
[00:13:50.980 --> 00:13:53.660]   Another friend of mine worked for the government,
[00:13:53.660 --> 00:13:55.260]   was a lawyer for the government.
[00:13:55.260 --> 00:13:57.380]   They're enjoying life here,
[00:13:57.380 --> 00:14:01.500]   but his family was from Santa Fe,
[00:14:01.500 --> 00:14:04.720]   and they're like a long-running Santa Fe family,
[00:14:04.720 --> 00:14:06.340]   sort of like his family runs the town.
[00:14:06.340 --> 00:14:08.640]   They've been there since you were fighting off
[00:14:08.640 --> 00:14:10.380]   Indian raid-type things.
[00:14:10.380 --> 00:14:11.820]   And they were all there.
[00:14:11.820 --> 00:14:14.300]   So he negotiated like, hey, in the height of the pandemic,
[00:14:14.300 --> 00:14:17.060]   when anything went, he negotiated a permanent remote work,
[00:14:17.060 --> 00:14:18.060]   and they moved to Santa Fe.
[00:14:18.060 --> 00:14:18.900]   He sends me photos.
[00:14:18.900 --> 00:14:21.820]   He has a cool Adobe style house with a hill in the backyard.
[00:14:21.820 --> 00:14:23.060]   There's a gazebo at the top of it.
[00:14:23.060 --> 00:14:24.440]   He goes up there to watch the sunset.
[00:14:24.440 --> 00:14:25.820]   All of his family's there.
[00:14:25.820 --> 00:14:27.660]   It's all thickly connected connections,
[00:14:27.660 --> 00:14:29.660]   intentional relocation.
[00:14:29.660 --> 00:14:31.740]   You're gonna see a lot more of that.
[00:14:31.740 --> 00:14:33.940]   We will also see deep community involvement.
[00:14:33.940 --> 00:14:36.820]   This is something else that happens in deep resets,
[00:14:36.820 --> 00:14:39.900]   where people get deeply involved in communities
[00:14:39.900 --> 00:14:41.600]   that are meaningful for them.
[00:14:41.600 --> 00:14:43.900]   This could be family communities.
[00:14:43.900 --> 00:14:45.980]   Like my friend who moved back to Santa Fe
[00:14:45.980 --> 00:14:50.980]   is now deeply connected to all sorts of different relatives.
[00:14:50.980 --> 00:14:52.260]   They're in each other's lives.
[00:14:52.260 --> 00:14:53.440]   There's pluses and minuses,
[00:14:53.440 --> 00:14:58.100]   but generally we're a familial tribal species,
[00:14:58.100 --> 00:14:59.340]   so that's usually positive.
[00:14:59.340 --> 00:15:01.780]   Sometimes it'll be, let's say like a faith-based community.
[00:15:01.780 --> 00:15:06.140]   I'm gonna get really seriously involved in my temple,
[00:15:06.140 --> 00:15:09.680]   right, in my whatever, my mosque.
[00:15:09.680 --> 00:15:12.460]   Maybe it's more like an activist community.
[00:15:12.460 --> 00:15:14.860]   This is a cause that's important to me,
[00:15:14.860 --> 00:15:16.340]   and I'm gonna get deeply involved in it.
[00:15:16.340 --> 00:15:17.780]   So we're seeing more of investment
[00:15:17.780 --> 00:15:21.060]   of amplifying time spent in things like that that are useful.
[00:15:21.060 --> 00:15:23.460]   And then finally, deep play and self-development.
[00:15:23.460 --> 00:15:26.900]   People dedicating serious time to,
[00:15:26.900 --> 00:15:28.620]   it might be leisure activities.
[00:15:28.620 --> 00:15:31.500]   I mean, I think my brother is an example of this.
[00:15:31.500 --> 00:15:34.380]   Outdoor activities, in particular mountain-based activities
[00:15:34.380 --> 00:15:36.300]   are really important to him,
[00:15:36.300 --> 00:15:37.500]   and they've really built a lifestyle
[00:15:37.500 --> 00:15:40.500]   that involves lots of trips to the mountains,
[00:15:40.500 --> 00:15:43.980]   hiking, alpine skiing, mountain biking,
[00:15:43.980 --> 00:15:47.340]   trail running, and he's built the way his life works,
[00:15:47.340 --> 00:15:50.220]   his schedule, to do a lot of that.
[00:15:50.220 --> 00:15:51.780]   But you might see this with other types
[00:15:51.780 --> 00:15:53.460]   of self-development as well.
[00:15:53.460 --> 00:15:56.840]   Someone, you know, I'm really going to invest in philosophy.
[00:15:56.840 --> 00:15:59.660]   I wanna become an expert on this type of philosophy,
[00:15:59.660 --> 00:16:00.760]   health and fitness.
[00:16:00.760 --> 00:16:03.500]   I'm gonna spend a lot of time outside.
[00:16:03.500 --> 00:16:04.780]   I'll give you one more example.
[00:16:04.780 --> 00:16:07.460]   There's a writer who wrote the book.
[00:16:07.460 --> 00:16:09.200]   His name's Christopher McDougall.
[00:16:09.200 --> 00:16:12.860]   He wrote the book "Born to Run,"
[00:16:12.860 --> 00:16:16.100]   which was a surprise bestseller
[00:16:16.100 --> 00:16:21.100]   that started the barefoot or Vibram shoe running craze.
[00:16:21.100 --> 00:16:24.940]   And it's a cool book about a New York-based reporter
[00:16:24.940 --> 00:16:28.060]   who runs a lot and just was trashing his knees.
[00:16:28.060 --> 00:16:30.300]   And he goes and spends time
[00:16:30.300 --> 00:16:33.160]   with this native tribe in Mexico
[00:16:33.160 --> 00:16:35.380]   that do these long endurance runs.
[00:16:35.380 --> 00:16:37.620]   It's a tradition, and they do it barefoot.
[00:16:37.620 --> 00:16:39.820]   And he goes down this rabbit hole and, you know,
[00:16:39.820 --> 00:16:42.220]   finds out that, okay, actually barefoot movement's
[00:16:42.220 --> 00:16:43.100]   what we're meant to do.
[00:16:43.100 --> 00:16:44.660]   And you put in these big cushioned shoes,
[00:16:44.660 --> 00:16:46.140]   you get hurt, et cetera.
[00:16:46.140 --> 00:16:49.160]   Anyways, he writes this book, "New York-Based Reporter."
[00:16:49.160 --> 00:16:51.340]   Ends up really getting into this type of stuff,
[00:16:51.340 --> 00:16:53.900]   relocates to a farm.
[00:16:53.900 --> 00:16:56.060]   I believe he's in Lancaster County, Pennsylvania,
[00:16:56.060 --> 00:16:57.100]   so an Amish country.
