
[00:00:00.040 --> 00:00:11.440]   Hello I'm Armin and sometimes recently rather more common than not I'm sharing
[00:06:33.620 --> 00:06:47.620]   And to create these tools, you're kind of in a situation where you want to be able to see what they do and interrupt and steer them.
[00:06:47.620 --> 00:06:56.620]   So it's a little bit of a combination of both hands off and hands on, which is very different from tools which are fully detached.
[00:06:56.620 --> 00:06:58.620]   Devin is a good example here.
[00:06:58.620 --> 00:07:15.620]   I think a lot of the tools that sit as GitHub extensions on the pull request are a little bit like this, because it's much harder to understand if a change that you're doing to a prompt or a tool setup or something like this has a positive or negative effect.
[00:07:15.620 --> 00:07:26.620]   So these command line based tools or these IDE integrated tools, they make it easier to do rather quick experimentation, but it is still very hard.
[00:07:26.620 --> 00:07:29.620]   And we'll share a little bit later of why I think it's so hard to evaluate these.
[00:07:29.620 --> 00:07:40.620]   So last time I talked about this, I think I made this assumption that there's a little bit more of an understanding of how these tools work.
[00:07:40.620 --> 00:07:48.620]   And I actually think that what I've discovered over the last couple of weeks is that there is a lack of understanding how they actually work.
[00:07:48.620 --> 00:07:52.620]   And this does make a sense a little bit because on one hand, it seems very simple.
[00:07:52.620 --> 00:07:56.620]   It's a LLM that runs inference and then calls a bunch of tools.
[00:07:56.620 --> 00:08:12.620]   But if you go into the nitty gritty details of how these agents work, there are some really rather important aspects to it that can fundamentally change how they behave.
[00:08:12.620 --> 00:08:21.620]   And this also directly translates to their capabilities and what they cost and how long they run.
[00:08:21.620 --> 00:08:25.620]   So the very basic behavior is obvious, right?
[00:08:25.620 --> 00:08:30.620]   There's an agent decoding tool which has a system prompt that tells it something.
[00:08:30.620 --> 00:08:38.620]   It takes a user prompt and then it runs into a loop with a bunch of tools until the agent thinks it's done.
[00:08:38.620 --> 00:08:54.620]   But how all of this goes together and how they are actually capable of doing that and why we're actually seeing progress in these tools, I think, is rather subtle.
[00:08:54.620 --> 00:08:59.620]   So the most important tools that an agent needs is the ability to read a file.
[00:08:59.620 --> 00:09:00.620]   And what does it mean?
[00:09:00.620 --> 00:09:07.620]   It basically means that the agent is interested in seeing something and it reads the file and it reads it into its context.
[00:09:07.620 --> 00:09:11.620]   In order to understand which files it might want to read, it needs to find this code.
[00:09:11.620 --> 00:09:25.620]   And so, for instance, Cloud Code and a bunch of other tools, they use tools like grep, usually ripgrep, to have an idea of what they're looking for and then to find the file names and then to use that to pull it into the context.
[00:09:25.620 --> 00:09:30.620]   The combination of grep and the read file that will bring files into context.
[00:09:30.620 --> 00:09:37.620]   Once it has determined that they want to make some changes, it needs to use another tool to change the files on disk.
[00:09:37.620 --> 00:09:46.620]   And then for the agent decoding loop to work best, you need to be able to execute commands.
[00:09:46.620 --> 00:09:50.620]   And this is particularly important for things like, can this even compile?
[00:09:50.620 --> 00:10:05.620]   The most useful ability for an agent in many ways is just to understand if linters pass, if the compiler is able to compile it, and is it able to run the program that you have just changed.
[00:10:05.620 --> 00:10:11.620]   For some things, it also is capable of doing web searches or fetching remote files, things like that.
[00:10:11.620 --> 00:10:13.620]   These are also useful.
[00:10:13.620 --> 00:10:28.620]   And with these tools, there are some rather subtle aspects to it which influence the quality of this.
[00:10:28.620 --> 00:10:40.620]   And I will go into this, but what you should think of with these tools is that you don't wake up in the morning and you determine as an agent decoding tool writer that you want to add a new tool to it.
[00:10:40.620 --> 00:10:51.620]   In a way you are, because this is what MCP does, but the best performing tools, they have been trained into the LLM in one form or another.
[00:10:51.620 --> 00:10:55.620]   So the foundation model that you're using to some degree is an understanding of these tools.
[00:10:55.620 --> 00:11:12.620]   And the consequence of this fundamental understanding of tooling is that there is some sort of binding between a particular coding agent or the tool used by an agent decoding agent and the model that it's using.
[00:11:12.620 --> 00:11:20.620]   So there are different kinds of models that you can use.
[00:11:20.620 --> 00:11:23.620]   So for instance, Sonnet, you can use GPT-5.
[00:11:23.620 --> 00:11:31.620]   And some of these models have been trained, not just with the knowledge that a tool exists, but also seemingly with a whole bunch of examples of what it means.
[00:11:31.620 --> 00:11:41.620]   And Tropic actually does a pretty good job at documenting most of these tools in their documentation.
[00:11:41.620 --> 00:11:49.620]   So if you go to the API documentation on the Sonnet family of models or the Opus family of models, they will document these tools.
[00:11:49.620 --> 00:11:52.620]   So as far as a bash tool, so it understands how to run bash commands.
[00:11:52.620 --> 00:11:55.620]   And through the bash command, it also understands how to run Python.
[00:11:55.620 --> 00:11:58.620]   It has a code execution command.
[00:11:58.620 --> 00:12:04.620]   It has this computer use command, neither of which I believe are actually being used by cloud code.
[00:12:04.620 --> 00:12:07.620]   I think they might be used by cloud desktop, although I'm not sure.
[00:12:07.620 --> 00:12:16.620]   There's a text editor command that has been specifically trained on manipulating text, web search command, and so forth.
[00:12:16.620 --> 00:12:27.620]   But for instance, if you use the GPT-OSS model, you will rather quickly figure out that it loves to call a tool called search, even if it hasn't been supplied to the context, particularly in the smaller model.
[00:12:27.620 --> 00:12:41.620]   And there the sort of the interesting element of this is that Codex also doesn't have a search tool, even though Codex is written by OpenAI, who also supplied GPT-OSS.
[00:12:41.620 --> 00:12:52.620]   And the answer seemingly is that this is a tool that's being executed by the inference platform and not by the coding agent.
[00:12:52.620 --> 00:13:01.620]   And this is probably similar to the web search tool, although again, I'm not really familiar how it's supposed to be used, but these tools effectively do not provide.
[00:13:01.620 --> 00:13:07.620]   Normally, if you run a tool, you basically say like, hey, here are the tools that you can use.
[00:13:07.620 --> 00:13:18.620]   The LLM exposes, will reply, so it will reply with a JSON blob or some XML blob or something similar, saying like, hey, I want to use this tool.
[00:13:18.620 --> 00:13:25.620]   Then you would, in the agentic coding loop, execute a tool and provide the results back, and it makes another turn.
[00:13:25.620 --> 00:13:36.620]   So with the server side or inference side tools, what actually happens is that you're not supposed to be able to call these tools because they will be called automatically behind the scenes.
[00:13:36.620 --> 00:13:43.620]   The results of those tools invocation will be immediately fed back into the prompt, and then they make a turn further.
[00:13:43.620 --> 00:13:56.620]   And one of the results of this is the primary result of this is that if your agent does not match the tools with those models, then the experience that you're going to get from that agent is worse.
[00:13:56.620 --> 00:14:24.620]   And I really, really don't want to name any agentic coding tools today, but particularly coding tools that allow you to swap out the model and that are kind of open ended to which model you can use are also not necessarily going to map the tools exactly with either prompt and or tool naming or tool providing to those models.
[00:14:24.620 --> 00:14:30.620]   And you can sort of see this a little bit with a GPT-5 release.
[00:14:30.620 --> 00:14:39.620]   There were a bunch of day one tools that came out, which had access to GPT-5 for two weeks or more.
[00:14:39.620 --> 00:14:46.620]   And at least on the first two days when I tried them, they outperformed tools which only added support for GPT-5 on the first day.
[00:14:46.620 --> 00:14:58.620]   Presumably because they got a little bit of a heads up of how they should match up prompts and tool usage.
[00:14:58.620 --> 00:15:07.620]   It's not just the tools that you provide that can have a significant impact on the agent's performance.
[00:15:07.620 --> 00:15:14.620]   In some cases, there are pre-flights and post-flights to each agentic coding loop.
[00:15:14.620 --> 00:15:20.620]   So I will go with the example of Claude here, Claude code.
[00:15:20.620 --> 00:15:30.620]   There's a little spinning indicator to the left of your prompt, which sort of makes up a little fancy cutie description.
[00:15:30.620 --> 00:15:38.620]   And that comes by running the request also through Haiku, which is one of the fast models.
[00:15:38.620 --> 00:15:46.620]   And they will also for any tool usage that is emitted by the main model, which is usually Sonnet or Opus.
[00:15:46.620 --> 00:15:52.620]   They will also run it through Haiku in a form of like LLM as a judge to figure out if it's safe to run this tool or not.
[00:15:52.620 --> 00:16:06.620]   Which, for instance, means that it's much less likely that Claude code will delete the wrong file or will work outside of its working directory,
[00:16:06.620 --> 00:16:11.620]   or at least outside of your project's directory than an agent that skips that step.
[00:16:11.620 --> 00:16:23.620]   It is very possible for an agent to emit commands which are highly inappropriate to use.
[00:16:23.620 --> 00:16:31.620]   And having the second LLM make a sanity check on it will get rid of some of those users.
[00:16:31.620 --> 00:16:33.620]   Not all of them, but some of them.
[00:16:33.620 --> 00:16:39.620]   And so, for instance, I know for a fact that not every single agentic coding tool that exists today
[00:16:39.620 --> 00:16:44.620]   is safe to run with EULO mode, which is basically full permissions.
[00:16:44.620 --> 00:16:53.620]   In fact, quite a few of them do not properly protect to the same degree that some others do.
[00:16:53.620 --> 00:17:00.620]   There's a second problem also, which is that once you give the agent the ability to run code,
[00:17:00.620 --> 00:17:06.620]   you also have to figure out what to do if that code doesn't run properly.
[00:17:06.620 --> 00:17:18.620]   And there are definitely big quality differences in the tool's ability to run executables.
[00:17:18.620 --> 00:17:24.620]   So, for instance, some tools get stuck and never recover.
[00:17:24.620 --> 00:17:33.620]   I ran this yesterday. I will not name the agent that I was using, but I ran an agent yesterday at night before I went to bed.
[00:17:33.620 --> 00:17:37.620]   Actually, I ran three agents with one prompt overnight.
[00:17:37.620 --> 00:17:41.620]   Same prompt, just to see how they're using the same model differently.
[00:17:41.620 --> 00:17:46.620]   And two out of three agents got stuck and never recovered.
[00:17:46.620 --> 00:17:49.620]   And they got stuck in different places.
[00:17:49.620 --> 00:17:56.620]   One of them got stuck because they ran a tool which brought up the prompt and they just didn't figure out and didn't kill it.
[00:17:56.620 --> 00:18:03.620]   And the other one got stuck because it made an HTTP request seemingly that got stuck somehow.
[00:18:03.620 --> 00:18:05.620]   And it didn't recover from that.
[00:18:05.620 --> 00:18:09.620]   And I could see that it was doing that because there was no tool usage being,
[00:18:09.620 --> 00:18:13.620]   or I was assuming it was doing this because there was no tool usage at that time.
[00:18:13.620 --> 00:18:19.620]   It was effectively an inference step and the token counter did not increase anymore.
[00:18:19.620 --> 00:18:21.620]   And it was just stuck there.
[00:18:21.620 --> 00:18:30.620]   And it was either because the response that it got back from the server let it locally get stuck in a loop.
[00:18:30.620 --> 00:18:42.620]   But my point here is that there are some tools which have been already battle tested for autonomous use for extended period of time.
[00:18:42.620 --> 00:18:50.620]   And some of which haven't, even though they might be using the exact same underlying model.
[00:18:50.620 --> 00:19:03.620]   And so this really puts us in this really unfortunate situation where it is, even with the same model, very hard to evaluate the quality of an agent.
[00:19:03.620 --> 00:19:08.620]   And seemingly, I think to me, it has become harder.
[00:19:08.620 --> 00:19:16.620]   If you look at Sweebench, for instance, or things like this, you will get a bunch of numbers, but they don't necessarily tell you everything.
[00:19:16.620 --> 00:19:20.620]   There are too many different workloads that we're throwing at these things.
[00:19:20.620 --> 00:19:26.620]   And there also seems to be some form of benchmark manipulation going on.
[00:19:26.620 --> 00:19:30.620]   I don't think this is necessarily nefarious.
[00:19:30.620 --> 00:19:36.620]   This might just be an accidental benchmark optimization by just running it in a Sweebench and see how it's doing.
[00:19:36.620 --> 00:19:41.620]   And if those tests don't change all that much, then maybe just optimize towards that.
[00:19:41.620 --> 00:19:49.620]   But for instance, when GPT-5 launched, it looked very appealing.
[00:19:49.620 --> 00:19:56.620]   It's very appealing and it probably is very appealing that it is significantly cheaper than the Antropic models are.
[00:19:56.620 --> 00:20:11.620]   The problem today is that if I just compare their official CLI or cursor with cloud code, I noticed that it uses many more tokens and many more turns.
[00:20:11.620 --> 00:20:22.620]   Some of the savings that you get from the cheaper per token costs are negated by less efficient agentic loops.
[00:20:22.620 --> 00:20:28.620]   And even inference and turns doesn't necessarily tell you how long it's going to take.
[00:20:28.620 --> 00:20:38.620]   because there are also other things that influence the overall speed that it takes you to get a good result.
[00:20:38.620 --> 00:20:49.620]   So there is actually some benefit to one-shotting a good result because you are less likely to go into iteration, which might be slow.
[00:20:49.620 --> 00:21:05.620]   On the other hand, if you are making iterative improvements and you also run the right tools all the time afterwards,
[00:21:05.620 --> 00:21:10.620]   sometimes that can actually result in a better code quality overall.
[00:21:10.620 --> 00:21:17.620]   I think that Sonnet loves to write wrong code, but because it is also rather eager to run the tools,
[00:21:17.620 --> 00:21:29.620]   it overall results in better looking code quicker than you would achieve that same result right now in some versions of GPT-5.
[00:21:29.620 --> 00:21:43.620]   And some agents are at least functionally capable of parallelization, even though that is not necessarily always possible.
[00:21:43.620 --> 00:21:49.620]   But there's so many different ways in which these models can and these agents can behave differently.
[00:21:49.620 --> 00:21:51.620]   That's very, very hard to evaluate.
[00:21:51.620 --> 00:22:04.620]   And I just generally want to caution everybody on a lot of takes that you can get on Twitter and elsewhere because it is really, really hard to,
[00:22:04.620 --> 00:22:10.620]   I think at least, it is really hard to get a good sense of what works and doesn't work.
[00:22:10.620 --> 00:22:17.620]   And I also noticed that in many ways what prevents me from using a tool today is actually not necessarily the quality of the code that it writes
[00:22:17.620 --> 00:22:20.620]   or the quality of the inference, but really annoying things.
[00:22:20.620 --> 00:22:30.620]   So for instance, one of the agents that I actually think I would like quite a lot, I don't enjoy the user interface of.
[00:22:30.620 --> 00:22:32.620]   And so I'm less likely to use that.
[00:22:32.620 --> 00:22:35.620]   Another person might have a different opinion on it.
[00:22:35.620 --> 00:22:46.620]   But there's so many different kind of things that influence how you interact with a tool that it can also then compromise the results that you're going to get.
[00:22:46.620 --> 00:22:49.620]   So it is very hard to evaluate.
[00:22:49.620 --> 00:22:58.620]   And I think that a lot of people are attached to one of the tools that they're using, particularly if you already start paying for it.
[00:22:58.620 --> 00:23:13.620]   And I do think it's important for us to get some better sentiment of evaluating this, in particular also because I think it's unsustainable to have that many tools that we'll have to consolidate down.
[00:23:13.620 --> 00:23:18.620]   And the way we're evaluating sometimes is just really kind of wrong.
[00:23:18.620 --> 00:23:28.620]   Particularly, I think in the last two weeks there was a lot of discussion about like who has the nicest looking terminal UI or the best performing terminal UI.
[00:23:28.620 --> 00:23:38.620]   I also don't like how the terminal renderer of most of those tools chitters around and is annoying.
[00:23:38.620 --> 00:23:44.620]   At the same time, that's not the most pressing issue that I have with an authentic coding tool.
[00:23:44.620 --> 00:23:49.620]   And I also think that long term, the terminal UI is not where we want to end up.
[00:23:49.620 --> 00:23:59.620]   So there are many ways to evaluate it, but really what we should be evaluating on is like how good is it day to day in solving the problems that we're throwing at these tools.
[00:23:59.620 --> 00:24:13.620]   And I don't think we're doing a particularly good job right now, or at least in general, I find Twitter to be a horrible source of high signal information on that topic.
[00:24:13.620 --> 00:24:19.620]   For evaluating models, I think it's even harder because there's so many trade offs on it.
[00:24:19.620 --> 00:24:25.620]   At the moment, I think there are basically a handful of models that are capable of doing this.
[00:24:25.620 --> 00:24:32.620]   The most significant ones are, of course, the entropic models, Opus and Sonnet, GPT-5.
[00:24:32.620 --> 00:24:34.620]   Actually, there's also Gemini in there.
[00:24:34.620 --> 00:24:42.620]   I kind of forgot about this, but I think GPT-5 and Gemini are both fantastic models for code generation.
[00:24:42.620 --> 00:24:51.620]   Gemini didn't perform particularly great for tool usage, some of which can be compensated by the tool.
[00:24:51.620 --> 00:25:00.620]   So Gemini CLI, for instance, got quite a bit better recently by just recovering better from bad tool usage.
[00:25:00.620 --> 00:25:13.620]   I think with GPT-5, it's a little bit too early to say, but it looks from the initial feedback on people that got it already for two weeks or so that it's pretty capable.
[00:25:13.620 --> 00:25:21.620]   And then there's a growing number of open weights models that are at least capable of tool calls.
[00:25:21.620 --> 00:25:24.620]   And I think they are very interesting for all kinds of different reasons.
[00:25:24.620 --> 00:25:37.620]   So for instance, Quen3Coder, I don't know if it has been trained on any particular tool, but seemingly it is at least quite a capable tool caller.
[00:25:39.620 --> 00:25:41.620]   I think this is very interesting.
[00:25:41.620 --> 00:25:47.620]   Kimi is also a seemingly capable tool caller.
[00:25:47.620 --> 00:25:50.620]   There's also the GLM model, which I haven't tried yet.
[00:25:50.620 --> 00:25:54.620]   Many of these models, though, the open weight ones come in very different sizes.
[00:25:54.620 --> 00:25:58.620]   So if you go to open router, you can pick different ones.
[00:25:58.620 --> 00:26:01.620]   If you run them locally, they can run through different systems.
[00:26:01.620 --> 00:26:07.620]   Like there's a pretty significant difference in behavior sometimes between LM Studio and OLAMA.
[00:26:07.620 --> 00:26:15.620]   On open router, it's almost a slot machine about if that model comes as advertised or not.
[00:26:15.620 --> 00:26:20.620]   I forgot for which model it was.
[00:26:20.620 --> 00:26:30.620]   It might have been GPT-OSS where people reported a wildly different measured performance difference for tool calling reliability between the different providers on open router.
[00:26:30.620 --> 00:26:45.620]   And it also looked like the initial source release of the Harmony new token system, whatever you want to call this, had some bugs that people walked around in different ways.
[00:26:45.620 --> 00:26:50.620]   So all of this makes it just so much harder to evaluate this.
[00:26:50.620 --> 00:26:52.620]   And I want to reiterate this.
[00:26:52.620 --> 00:27:04.620]   I think it's very hard to estimate the costs right now because just because a token is cheaper doesn't mean that you're going to be cheaper off than with another one.
[00:27:04.620 --> 00:27:19.620]   And also, I think I didn't write this here, but I think another way of also estimating this is there was a lot of excitement in the first couple of days for Cerebus and Grok that they are going to be dramatically faster for these agents.
[00:27:19.620 --> 00:27:24.620]   So for instance, but the challenge is that it doesn't seem like that is a consistent experience.
[00:27:24.620 --> 00:27:35.620]   And in some cases, just being faster doesn't help you if you're also worse or that inference is necessarily the most expensive piece here.
[00:27:35.620 --> 00:27:47.620]   So for instance, pure throughput in some cases is higher on some hosting platforms, but time to first token is also higher, which in many cases compensates a lot.
[00:27:47.620 --> 00:27:50.620]   So it is really, really, really hard to evaluate.
[00:27:50.620 --> 00:27:52.620]   I just want to point this out once again.
[00:27:52.620 --> 00:27:59.620]   I have no idea how to do this better yet, but many of the benchmarks are kind of misleading.
[00:27:59.620 --> 00:28:04.620]   And I think we need to just share a little bit the practical results and experience that we have.
[00:28:04.620 --> 00:28:11.620]   This is basically just why is everything so crazy.
[00:28:11.620 --> 00:28:15.620]   It's very clear that there is something really cool here.
[00:28:15.620 --> 00:28:27.620]   There's a lot of value being possible with these models, particularly if the agent and tool combination works out really well.
[00:28:27.620 --> 00:28:34.620]   I think almost everybody can use one of the agents to build another agent.
[00:28:34.620 --> 00:28:40.620]   So there's only going to be more for a little while on these just because it's so much fun to build them to.
[00:28:40.620 --> 00:28:45.620]   And it's kind of shocking how many people raise money right now on more coding agents.
[00:28:45.620 --> 00:28:51.620]   I don't understand the motivation here, but it doesn't stop.
[00:28:51.620 --> 00:28:52.620]   There's so many more.
[00:28:52.620 --> 00:28:59.620]   And because we haven't found a good way to evaluate them, I think it's also very hard to evaluate the quality of an agent.
[00:28:59.620 --> 00:29:02.620]   I'm evaluating the quality of one agent in particular.
[00:29:02.620 --> 00:29:07.620]   I still use cloud code most of the time because I got used to that.
[00:29:07.620 --> 00:29:20.620]   And I have one eval where I run in regular intervals the same task on my code base just to see if it doesn't get worse.
[00:29:20.620 --> 00:29:29.620]   I basically want to make sure that my code base stays in a state where the agent doesn't get meaningfully worse.
[00:29:29.620 --> 00:29:36.620]   But even that evaluation, I can only run against cloud code just because of some of the behaviors that it has.
[00:29:36.620 --> 00:29:46.620]   I currently have this not set up in a way where I could use OpenCode here or where I could use Crush or Gemini CLI.
[00:29:46.620 --> 00:29:51.620]   This is very specific to how I'm evaluating cloud code.
[00:29:51.620 --> 00:29:55.620]   And this is just for me to evaluate that my code base does not get worse.
[00:29:55.620 --> 00:30:02.620]   Last thing here is pricing.
[00:30:02.620 --> 00:30:05.620]   There was an interview with Dario recently.
[00:30:05.620 --> 00:30:16.620]   It was a podcast somewhere where he mentioned that they underestimated how many people would use the CloudMax subscription to the degree that they did.
[00:30:16.620 --> 00:30:25.620]   I know a handful of people that have gotten a lot of value out of it.
[00:30:25.620 --> 00:30:30.620]   Thousands of dollars worth of value out of a $200 subscription.
[00:30:30.620 --> 00:30:37.620]   So there is some pressure coming in right now to put higher rate limits up.
[00:30:37.620 --> 00:30:50.620]   But if you look into how could you get tokens cheaper, you will discover that it's not possible for you to come to those token pricing through self-hosting.
[00:30:50.620 --> 00:30:55.620]   There are H100s, H200s, B200s, whatever they are called on the Internet.
[00:30:55.620 --> 00:30:57.620]   You can rent them for a couple of hours.
[00:30:57.620 --> 00:30:58.620]   You can rent them for longer.
[00:30:58.620 --> 00:31:08.620]   But if you want to end up with a self-hosted open weights model, it is going to be more expensive than if you buy those minutes on open router.
[00:31:08.620 --> 00:31:11.620]   That's the situation that we find ourselves in today.
[00:31:11.620 --> 00:31:16.620]   And your experience is also not necessarily going to work all that well.
[00:31:16.620 --> 00:31:22.620]   Even some of the open weights models require a lot of hacks for you to self-host them reliably.
[00:31:22.620 --> 00:31:31.620]   And that might also explain why some of the model providers that you can find on open router for the same model have worse performance.
[00:31:31.620 --> 00:31:33.620]   There's a lot of stuff in the stack.
[00:31:33.620 --> 00:31:44.620]   So for instance, when GPT-OSS launched, there were a bunch of bugs filed against open code and other tools that the responses coming from GPT-OSS were wrong.
[00:31:44.620 --> 00:31:55.620]   But it was actually a bug or a slash limitation in the underlying O, LAMA, and LM Studio where that issue appeared.
[00:31:55.620 --> 00:32:03.620]   And so fixing that problem in open code would not be correct because the transformation should happen one layer down.
[00:32:03.620 --> 00:32:10.620]   But at the same time, as I have already seen, some fixes landing in some of the coding tools specifically for that.
[00:32:10.620 --> 00:32:19.620]   So it's kind of tricky to say where this goes.
[00:32:19.620 --> 00:32:26.620]   I think right now there's only limited motivation for people to get these open models running.
[00:32:26.620 --> 00:32:28.620]   But some people are trying, right?
[00:32:28.620 --> 00:32:33.620]   And so maybe as the cost might go down, there might be more people trying it.
[00:32:33.620 --> 00:32:35.620]   There might be better tooling around it.
[00:32:35.620 --> 00:32:41.620]   You might actually get to the point where maybe 10 people can share to H200 and get a recent experience out of it.
[00:32:41.620 --> 00:32:43.620]   But we're not there today.
[00:32:43.620 --> 00:32:51.620]   And even more so locally running models, I think it's just going to have a really bad time with them.
[00:32:51.620 --> 00:32:54.620]   I try regularly to see how far they get.
[00:32:54.620 --> 00:33:05.620]   And GPT-OSS and a bunch of other sequence recoder, the smaller variant, they're definitely capable of running, but they give up early.
[00:33:05.620 --> 00:33:08.620]   They sometimes call the wrong tools.
[00:33:08.620 --> 00:33:14.620]   I haven't found a good agent decoding tool that is really tweaked for them.
[00:33:14.620 --> 00:33:17.620]   So it's just too early right now.
[00:33:17.620 --> 00:33:24.620]   But I would just generally say, unless you're really motivated to try this, there's not much of a point in doing that.
[00:33:24.620 --> 00:33:29.620]   There's a price pressure per token that's visible.
[00:33:29.620 --> 00:33:33.620]   GPT-5 launched for a lower token price than the Antropic models.
[00:33:33.620 --> 00:33:36.620]   But overall, we are using many more tokens.
[00:33:36.620 --> 00:33:43.620]   The problems that we are throwing at these agents, they are still largely constrained by how much we can throw into the context.
[00:33:43.620 --> 00:33:50.620]   And so for quite a while longer, the number of tokens we're going to throw at these are going to go up.
[00:33:50.620 --> 00:33:55.620]   And so as a result, I just generally expect that the cost will go up.
[00:33:55.620 --> 00:33:57.620]   And that's all I have at the moment.
[00:33:57.620 --> 00:34:00.620]   So I have absolutely no recommendations of which agents you should be using.
[00:34:00.620 --> 00:34:04.620]   But I just want to share a little bit what I've learned on this.
