
[00:00:00.040 --> 00:00:10.320]   ấy en the,
[00:08:39.240 --> 00:08:39.240]   You have to pay off those expenses in six months.
[00:08:39.240 --> 00:08:39.240]   You have to pay off those expenses in six months.
[00:08:39.240 --> 00:08:39.240]   You have to pay off those expenses in six months.
[00:08:39.240 --> 00:08:39.240]   You have to pay off those expenses in six months.
[00:08:39.240 --> 00:08:39.240]   You have to pay off those expenses in six months.
[00:08:39.240 --> 00:08:39.240]   You have to pay off those expenses in six months.
[00:08:39.240 --> 00:08:39.240]   You have to pay off those expenses in six months.
[00:08:39.240 --> 00:08:39.240]   You have to pay off those expenses in six months.
[00:08:39.240 --> 00:08:39.240]   You have to pay off those expenses in six months.
[00:08:39.240 --> 00:08:39.240]   You have to pay off those expenses in six months.
[00:08:39.240 --> 00:09:09.260]   and you get your freedom back much more quickly.
[00:09:09.280 --> 00:09:39.280]   You have to pay off those expenses in six months.
[00:09:39.280 --> 00:09:39.280]   You have to pay off those expenses in six months.
[00:09:39.280 --> 00:09:39.280]   You have to pay off those expenses in six months.
[00:09:39.280 --> 00:09:39.280]   You have to pay off those expenses in six months.
[00:09:39.280 --> 00:09:39.280]   You have to pay off those expenses in six months.
[00:09:39.280 --> 00:09:39.280]   You have to pay off those expenses in six months.
[00:09:39.280 --> 00:09:39.280]   You have to pay off those expenses in six months.
[00:09:39.280 --> 00:09:39.280]   You have to pay off those expenses in six months.
[00:09:39.280 --> 00:09:39.280]   You have to pay off those expenses in six months.
[00:09:39.280 --> 00:09:39.280]   You have to pay off those expenses in six months.
[00:09:39.280 --> 00:09:39.280]   You have to pay off those expenses in six months.
[00:09:39.280 --> 00:09:39.280]   You have to pay off those expenses in six months.
[00:09:39.280 --> 00:09:39.280]   You have to pay off those expenses in six months.
[00:09:39.280 --> 00:09:39.280]   You have to pay off those expenses in six months.
[00:09:39.280 --> 00:09:39.280]   You have to pay off those expenses in six months.
[00:09:39.280 --> 00:09:39.280]   You have to pay off those expenses in six months.
[00:09:39.300 --> 00:10:09.300]   You have to pay off those expenses in six months.
[00:10:09.300 --> 00:10:09.300]   You have to pay off those expenses in six months.
[00:10:09.300 --> 00:10:09.300]   You have to pay off those expenses in six months.
[00:10:09.300 --> 00:10:09.300]   You have to pay off those expenses in six months.
[00:10:09.300 --> 00:10:09.300]   You have to pay off those expenses in six months.
[00:10:09.300 --> 00:10:09.300]   You have to pay off those expenses in six months.
[00:10:09.300 --> 00:10:09.300]   You have to pay off those expenses in six months.
[00:10:09.300 --> 00:10:09.300]   You have to pay off those expenses in six months.
[00:10:09.300 --> 00:10:09.300]   You have to pay off those expenses in six months.
[00:10:09.300 --> 00:10:09.300]   You have to pay off those expenses in six months.
[00:10:09.300 --> 00:10:09.300]   You have to pay off those expenses in six months.
[00:10:09.320 --> 00:10:39.320]   You have to pay off those expenses in six months.
[00:10:39.320 --> 00:10:39.320]   You have to pay off those expenses in six months.
[00:10:39.320 --> 00:10:39.320]   You have to pay off those expenses in six months.
[00:10:39.320 --> 00:10:39.320]   You have to pay off those expenses in six months.
[00:10:39.320 --> 00:10:39.320]   You have to pay off those expenses in six months.
[00:10:39.320 --> 00:10:39.320]   You have to pay off those expenses in six months.
[00:10:39.320 --> 00:10:39.320]   You have to pay off those expenses in six months.
[00:10:39.320 --> 00:10:39.320]   You have to pay off those expenses in six months.
[00:10:39.320 --> 00:10:39.320]   You have to pay off those expenses in six months.
[00:10:39.320 --> 00:10:39.320]   You have to pay off those expenses in six months.
[00:10:39.320 --> 00:10:39.320]   You have to pay off those expenses in six months.
[00:10:39.320 --> 00:10:39.320]   You have to pay off those expenses in six months.
[00:10:39.320 --> 00:10:39.320]   You have to pay off those expenses in six months.
[00:10:39.340 --> 00:11:09.340]   You have to pay off those expenses in six months.
[00:11:09.340 --> 00:11:09.340]   You have to pay off those expenses in six months.
[00:11:09.340 --> 00:11:09.340]   You have to pay off those expenses in six months.
[00:11:09.340 --> 00:11:09.340]   You have to pay off those expenses in six months.
[00:11:09.340 --> 00:11:09.340]   You have to pay off those expenses in six months.
[00:11:09.340 --> 00:11:09.340]   You have to pay off those expenses in six months.
[00:11:09.340 --> 00:11:09.340]   You have to pay off those expenses in six months.
[00:11:09.340 --> 00:11:09.340]   You have to pay off those expenses in six months.
[00:11:09.340 --> 00:11:09.340]   You have to pay off those expenses in six months.
[00:11:09.340 --> 00:11:09.340]   You have to pay off those expenses in six months.
[00:11:09.340 --> 00:11:09.340]   You have to pay off those expenses in six months.
[00:11:09.340 --> 00:11:09.340]   You have to pay off those expenses in six months. You have to pay off those expenses in six months.
[00:11:09.360 --> 00:11:39.360]   You have to pay off those expenses in six months.
[00:11:39.360 --> 00:11:39.360]   You have to pay off those expenses in six months.
[00:11:39.360 --> 00:11:39.360]   You have to pay off those expenses in six months.
[00:11:39.360 --> 00:11:39.360]   You have to pay off those expenses in six months.
[00:11:39.360 --> 00:11:39.360]   You have to pay off those expenses in six months.
[00:11:39.360 --> 00:11:39.360]   You have to pay off those expenses in six months.
[00:11:39.360 --> 00:11:39.360]   You have to pay off those expenses in six months.
[00:11:39.360 --> 00:11:39.360]   You have to pay off those expenses in six months.
[00:11:39.360 --> 00:11:39.360]   You have to pay off those expenses in six months.
[00:11:39.360 --> 00:11:39.360]   You have to pay off those expenses in six months.
[00:11:39.360 --> 00:11:39.360]   You have to pay off those expenses in six months.
[00:11:39.360 --> 00:11:39.360]   You have to pay off those expenses in six months.
[00:11:39.360 --> 00:11:39.360]   You have to pay off those expenses in six months.
[00:11:39.360 --> 00:12:09.380]  ,
[00:12:09.380 --> 00:12:09.380]   You have to pay off those expenses in six months.
[00:12:09.380 --> 00:12:09.380]   You have to pay off those expenses in six months.
[00:12:09.380 --> 00:12:09.380]   You have to pay off those expenses in six months.
[00:12:09.380 --> 00:12:09.380]   You have to pay off those expenses in six months.
[00:12:09.380 --> 00:12:09.380]   You have to pay off those expenses in six months.
[00:12:09.380 --> 00:12:09.380]   You have to pay off those expenses in six months.
[00:12:09.380 --> 00:12:09.380]   You have to pay off those expenses in six months.
[00:12:09.380 --> 00:12:09.380]   You have to pay off those expenses in six months.
[00:12:09.380 --> 00:12:09.380]   You have to pay off those expenses in six months.
[00:12:09.380 --> 00:12:09.380]   You have to pay off those expenses in six months.
[00:12:09.380 --> 00:12:09.380]   You have to pay off those expenses in six months.
[00:12:09.380 --> 00:12:09.380]   You have to pay off those expenses in six months.
[00:12:09.400 --> 00:12:39.400]   You have to pay off those expenses in six months.
[00:12:39.400 --> 00:12:39.400]   You have to pay off those expenses in six months.
[00:12:39.400 --> 00:12:39.400]   You have to pay off those expenses in six months.
[00:12:39.400 --> 00:12:39.400]   You have to pay off those expenses in six months.
[00:12:39.400 --> 00:12:39.400]   You have to pay off those expenses in six months.
[00:12:39.400 --> 00:12:39.400]   You have to pay off those expenses in six months.
[00:12:39.400 --> 00:12:39.400]   You have to pay off those expenses in six months.
[00:12:39.400 --> 00:12:39.400]   You have to pay off those expenses in six months.
[00:12:39.400 --> 00:12:39.400]   You have to pay off those expenses in six months.
[00:12:39.400 --> 00:12:39.400]   You have to pay off those expenses in six months.
[00:12:39.400 --> 00:12:39.400]   You have to pay off those expenses in six months.
[00:12:39.400 --> 00:12:39.400]   You have to pay off those expenses in six months.
[00:12:39.400 --> 00:12:39.400]   You have to pay off those expenses in six months.
[00:12:39.400 --> 00:12:39.400]   You have to pay off those expenses in six months.
[00:12:39.400 --> 00:12:39.400]   You have to pay off those expenses in six months.
[00:12:39.400 --> 00:12:39.400]   You have to pay off those expenses in six months.
[00:12:39.420 --> 00:13:09.420]   You have to pay off those expenses in six months.
[00:13:09.420 --> 00:13:09.420]   You have to pay off those expenses in six months.
[00:13:09.420 --> 00:13:09.420]   You have to pay off those expenses in six months.
[00:13:09.420 --> 00:13:09.420]   You have to pay off those expenses in six months.
[00:13:09.420 --> 00:13:09.420]   You have to pay off those expenses in six months.
[00:13:09.420 --> 00:13:09.420]   You have to pay off those expenses in six months.
[00:13:09.420 --> 00:13:09.420]   You have to pay off those expenses in six months.
[00:13:09.420 --> 00:13:09.420]   You have to pay off those expenses in six months.
[00:13:09.420 --> 00:13:09.420]   You have to pay off those expenses in six months.
[00:13:09.420 --> 00:13:09.420]   You have to pay off those expenses in six months.
[00:13:09.440 --> 00:13:39.440]   You have to pay off those expenses in six months.
[00:13:39.440 --> 00:13:39.440]   You have to pay off those expenses in six months.
[00:13:39.440 --> 00:13:39.440]   You have to pay off those expenses in six months.
[00:13:39.440 --> 00:13:39.440]   You have to pay off those expenses in six months.
[00:13:39.440 --> 00:13:39.440]   You have to pay off those expenses in six months.
[00:13:39.440 --> 00:13:39.440]   You have to pay off those expenses in six months.
[00:13:39.440 --> 00:13:39.440]   You have to pay off those expenses in six months.
[00:13:39.440 --> 00:13:39.440]   You have to pay off those expenses in six months.
[00:13:39.440 --> 00:13:39.440]   You have to pay off those expenses in six months.
[00:13:39.440 --> 00:13:39.440]   You have to pay off those expenses in six months.
[00:13:39.440 --> 00:13:39.440]   You have to pay off those expenses in six months.
[00:13:39.460 --> 00:14:09.460]   You have to pay off those expenses in six months.
[00:14:09.460 --> 00:14:09.460]   You have to pay off those expenses in six months.
[00:14:09.460 --> 00:14:09.460]   You have to pay off those expenses in six months.
[00:14:09.460 --> 00:14:09.460]   You have to pay off those expenses in six months.
[00:14:09.460 --> 00:14:09.460]   You have to pay off those expenses in six months.
[00:14:09.460 --> 00:14:09.460]   You have to pay off those expenses in six months.
[00:14:09.460 --> 00:14:09.460]   You have to pay off those expenses in six months.
[00:14:09.460 --> 00:14:09.460]   You have to pay off those expenses in six months.
[00:14:09.460 --> 00:14:09.460]   You have to pay off those expenses in six months.
[00:14:09.460 --> 00:14:09.460]   You have to pay off those expenses in six months.
[00:14:09.460 --> 00:14:09.460]   You have to pay off those expenses in six months.
[00:14:09.460 --> 00:14:09.460]   You have to pay off those expenses in six months.
[00:14:09.460 --> 00:14:09.460]   You have to pay off those expenses in six months. You have to pay off those expenses in six months.
[00:14:09.460 --> 00:14:39.480]  ,
[00:14:39.480 --> 00:14:39.480]   You have to pay off those expenses in six months.
[00:14:39.480 --> 00:14:39.480]   You have to pay off those expenses in six months.
[00:14:39.480 --> 00:14:39.480]   You have to pay off those expenses in six months.
[00:14:39.480 --> 00:14:39.480]   You have to pay off those expenses in six months.
[00:14:39.480 --> 00:14:39.480]   You have to pay off those expenses in six months.
[00:14:39.480 --> 00:14:39.480]   You have to pay off those expenses in six months.
[00:14:39.480 --> 00:14:39.480]   You have to pay off those expenses in six months.
[00:14:39.480 --> 00:14:39.480]   You have to pay off those expenses in six months.
[00:14:39.480 --> 00:14:39.480]   You have to pay off those expenses in six months.
[00:14:39.480 --> 00:14:39.480]   You have to pay off those expenses in six months.
[00:14:39.480 --> 00:14:39.480]   You have to pay off those expenses in six months.
[00:14:39.500 --> 00:15:09.500]   You have to pay off those expenses in six months.
[00:15:09.500 --> 00:15:09.500]   You have to pay off those expenses in six months.
[00:15:09.500 --> 00:15:09.500]   You have to pay off those expenses in six months.
[00:15:09.500 --> 00:15:09.500]   You have to pay off those expenses in six months.
[00:15:09.500 --> 00:15:09.500]   You have to pay off those expenses in six months.
[00:15:09.500 --> 00:15:09.500]   You have to pay off those expenses in six months.
[00:15:09.500 --> 00:15:09.500]   You have to pay off those expenses in six months.
[00:15:09.500 --> 00:15:09.500]   You have to pay off those expenses in six months.
[00:15:09.500 --> 00:15:09.500]   You have to pay off those expenses in six months.
[00:15:09.500 --> 00:15:09.500]   You have to pay off those expenses in six months.
[00:15:09.500 --> 00:15:09.500]   You have to pay off those expenses in six months.
[00:15:09.500 --> 00:15:09.500]   You have to pay off those expenses in six months.
[00:15:09.500 --> 00:15:09.500]   You have to pay off those expenses in six months.
[00:15:09.500 --> 00:15:09.500]   You have to pay off those expenses in six months.
[00:15:09.500 --> 00:15:09.500]   You have to pay off those expenses in six months.
[00:15:09.500 --> 00:15:09.500]   You have to pay off those expenses in six months.
[00:15:09.500 --> 00:15:39.520]   You have to pay off those expenses in six months.
[00:15:39.520 --> 00:15:39.520]   You have to pay off those expenses in six months.
[00:15:39.520 --> 00:15:39.520]   You have to pay off those expenses in six months.
[00:15:39.520 --> 00:15:39.520]   You have to pay off those expenses in six months.
[00:15:39.520 --> 00:15:39.520]   You have to pay off those expenses in six months.
[00:15:39.520 --> 00:15:39.520]   You have to pay off those expenses in six months.
[00:15:39.540 --> 00:16:09.540]   You have to pay off those expenses in six months.
[00:16:09.540 --> 00:16:09.540]   You have to pay off those expenses in six months.
[00:16:09.540 --> 00:16:09.540]   You have to pay off those expenses in six months.
[00:16:09.540 --> 00:16:09.540]   You have to pay off those expenses in six months.
[00:16:09.540 --> 00:16:09.540]   You have to pay off those expenses in six months.
[00:16:09.540 --> 00:16:09.540]   You have to pay off those expenses in six months.
[00:16:09.540 --> 00:16:09.540]   You have to pay off those expenses in six months.
[00:16:09.540 --> 00:16:09.540]   You have to pay off those expenses in six months.
[00:16:09.540 --> 00:16:09.540]   You have to pay off those expenses in six months.
[00:16:09.540 --> 00:16:09.540]   You have to pay off those expenses in six months.
[00:16:09.540 --> 00:16:09.540]   You have to pay off those expenses in six months.
[00:16:09.540 --> 00:16:09.540]   You have to pay off those expenses in six months.
[00:16:09.540 --> 00:16:09.540]   You have to pay off those expenses in six months.
[00:16:09.540 --> 00:16:09.540]   You have to pay off those expenses in six months.
[00:16:09.540 --> 00:16:09.540]   You have to pay off those expenses in six months.
[00:16:09.540 --> 00:16:09.540]   You have to pay off those expenses in six months.
[00:16:09.540 --> 00:16:39.560]   to pay off those expenses in six months.
[00:16:39.560 --> 00:16:39.560]   You have to pay off those expenses in six months.
[00:16:39.560 --> 00:16:39.560]   You have to pay off those expenses in six months.
[00:16:39.560 --> 00:16:39.560]   You have to pay off those expenses in six months.
[00:16:39.560 --> 00:16:39.560]   You have to pay off those expenses in six months.
[00:16:39.560 --> 00:16:39.560]   You have to pay off those expenses in six months.
[00:16:39.560 --> 00:16:39.560]   You have to pay off those expenses in six months.
[00:16:39.560 --> 00:16:39.560]   You have to pay off those expenses in six months.
[00:16:39.560 --> 00:16:39.560]   You have to pay off those expenses in six months.
[00:16:39.560 --> 00:16:39.560]   You have to pay off those expenses in six months.
[00:16:39.580 --> 00:17:09.580]   You have to pay off those expenses in six months.
[00:17:09.580 --> 00:17:09.580]   You have to pay off those expenses in six months.
[00:17:09.580 --> 00:17:09.580]   You have to pay off those expenses in six months.
[00:17:09.580 --> 00:17:09.580]   You have to pay off those expenses in six months.
[00:17:09.580 --> 00:17:09.580]   You have to pay off those expenses in six months.
[00:17:09.580 --> 00:17:09.580]   You have to pay off those expenses in six months.
[00:17:09.580 --> 00:17:09.580]   You have to pay off those expenses in six months.
[00:17:09.580 --> 00:17:09.580]   You have to pay off those expenses in six months.
[00:17:09.580 --> 00:17:09.580]   You have to pay off those expenses in six months.
[00:17:09.580 --> 00:17:09.580]   You have to pay off those expenses in six months.
[00:17:09.580 --> 00:17:09.580]   You have to pay off those expenses in six months.
[00:17:09.580 --> 00:17:09.580]   You have to pay off those expenses in six months.
[00:17:09.580 --> 00:17:09.580]   You have to pay off those expenses in six months.
[00:17:09.580 --> 00:17:09.580]   You have to pay off those expenses in six months.
[00:17:09.580 --> 00:17:09.580]   You have to pay off those expenses in six months.
[00:17:09.580 --> 00:17:09.580]   You have to pay off those expenses in six months.
[00:17:09.580 --> 00:17:39.600]   You have to pay off those expenses in six months.
[00:17:39.600 --> 00:17:39.600]   You have to pay off those expenses in six months.
[00:17:39.600 --> 00:17:39.600]   You have to pay off those expenses in six months.
[00:17:39.600 --> 00:17:39.600]   You have to pay off those expenses in six months.
[00:17:39.600 --> 00:17:39.600]   You have to pay off those expenses in six months.
[00:17:39.600 --> 00:17:39.600]   You have to pay off those expenses in six months.
[00:17:39.600 --> 00:17:39.600]   You have to pay off those expenses in six months.
[00:17:39.600 --> 00:17:39.600]   You have to pay off those expenses in six months.
[00:17:39.600 --> 00:17:39.600]   You have to pay off those expenses in six months.
[00:17:39.600 --> 00:17:39.600]   You have to pay off those expenses in six months.
[00:17:39.620 --> 00:18:09.620]   You have to pay off those expenses in six months.
[00:18:09.620 --> 00:18:09.620]   You have to pay off those expenses in six months.
[00:18:09.620 --> 00:18:09.620]   You have to pay off those expenses in six months.
[00:18:09.620 --> 00:18:09.620]   You have to pay off those expenses in six months.
[00:18:09.620 --> 00:18:09.620]   You have to pay off those expenses in six months.
[00:18:09.620 --> 00:18:09.620]   You have to pay off those expenses in six months.
[00:18:09.620 --> 00:18:09.620]   You have to pay off those expenses in six months.
[00:18:09.620 --> 00:18:09.620]   You have to pay off those expenses in six months.
[00:18:09.620 --> 00:18:09.620]   You have to pay off those expenses in six months.
[00:18:09.620 --> 00:18:09.620]   You have to pay off those expenses in six months.
[00:18:09.620 --> 00:18:09.620]   You have to pay off those expenses in six months.
[00:18:09.620 --> 00:18:09.620]   You have to pay off those expenses in six months.
[00:18:09.620 --> 00:18:09.620]   You have to pay off those expenses in six months.
[00:18:09.620 --> 00:18:09.620]   You have to pay off those expenses in six months.
[00:18:09.620 --> 00:18:09.620]   You have to pay off those expenses in six months.
[00:18:09.620 --> 00:18:09.620]   You have to pay off those expenses in six months.
[00:18:09.620 --> 00:18:39.640]   You have to pay off those expenses in six months.
[00:18:39.640 --> 00:18:39.640]   You have to pay off those expenses in six months.
[00:18:39.640 --> 00:18:39.640]   You have to pay off those expenses in six months.
[00:18:39.640 --> 00:18:39.640]   You have to pay off those expenses in six months.
[00:18:39.640 --> 00:18:39.640]   You have to pay off those expenses in six months.
[00:18:39.640 --> 00:18:39.640]   You have to pay off those expenses in six months.
[00:18:39.640 --> 00:18:39.640]   You have to pay off those expenses in six months.
[00:18:39.640 --> 00:18:39.640]   You have to pay off those expenses in six months.
[00:18:39.640 --> 00:18:39.640]   You have to pay off those expenses in six months.
[00:18:39.640 --> 00:18:39.640]   You have to pay off those expenses in six months.
[00:18:39.660 --> 00:19:09.660]   You have to pay off those expenses in six months.
[00:19:09.660 --> 00:19:09.660]   You have to pay off those expenses in six months.
[00:19:09.660 --> 00:19:09.660]   You have to pay off those expenses in six months.
[00:19:09.660 --> 00:19:09.660]   You have to pay off those expenses in six months.
[00:19:09.660 --> 00:19:09.660]   You have to pay off those expenses in six months.
[00:19:09.660 --> 00:19:09.660]   You have to pay off those expenses in six months.
[00:19:09.660 --> 00:19:09.660]   You have to pay off those expenses in six months.
[00:19:09.660 --> 00:19:09.660]   You have to pay off those expenses in six months.
[00:19:09.660 --> 00:19:09.660]   You have to pay off those expenses in six months.
[00:19:09.660 --> 00:19:09.660]   You have to pay off those expenses in six months.
[00:19:09.660 --> 00:19:09.660]   You have to pay off those expenses in six months.
[00:19:09.660 --> 00:19:09.660]   You have to pay off those expenses in six months.
[00:19:09.660 --> 00:19:09.660]   You have to pay off those expenses in six months.
[00:19:09.660 --> 00:19:09.660]   You have to pay off those expenses in six months.
[00:19:09.660 --> 00:19:09.660]   You have to pay off those expenses in six months.
[00:19:09.660 --> 00:19:09.660]   You have to pay off those expenses in six months.
[00:19:09.660 --> 00:19:39.680]   You have to pay off those expenses in six months.
[00:19:39.680 --> 00:19:39.680]   You have to pay off those expenses in six months.
[00:19:39.680 --> 00:19:39.680]   You have to pay off those expenses in six months.
[00:19:39.680 --> 00:19:39.680]   You have to pay off those expenses in six months.
[00:19:39.680 --> 00:19:39.680]   You have to pay off those expenses in six months.
[00:19:39.680 --> 00:19:39.680]   You have to pay off those expenses in six months.
[00:19:39.680 --> 00:19:39.680]   You have to pay off those expenses in six months.
[00:19:39.700 --> 00:20:09.700]   You have to pay off those expenses in six months.
